practical,"a. concerned with actual use or practice
s. having or put to a practical purpose or use"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
set,"n. a group of things of the same kind that belong together and are so used
n. (mathematics) an abstract collection of numbers or symbols
n. several exercises intended to be done in series
n. an unofficial association of people or groups"
settle,"n. a long wooden bench with a back
v. settle into a position, usually on a surface or ground
v. settle conclusively; come to terms
v. take up residence and become established"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
shock,"n. the violent interaction of individuals or groups entering into combat
n. (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor
n. an instance of agitation of the earth's crust
n. an unpleasant or disappointing surprise"
shine,"v. emit light; be bright, as of the sun or a light
v. be distinguished or eminent
v. be clear and obvious
v. throw or flash the light of (a lamp)"
path,"n. a way especially designed for a particular use
n. an established line of travel or access
n. a line or route along which something travels or moves"
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
warn,"v. notify of danger, potential harm, or risk
v. admonish or counsel in terms of someone's behavior
v. ask to go away
v. notify, usually in advance"
watch,"n. a small portable timepiece
n. a period of time (4 or 2 hours) during which some of a ship's crew are on duty
n. a purposeful surveillance to guard or observe
n. the period during which someone (especially a guard) is on duty"
weak,"a. wanting in physical strength
s. tending downward in price
s. deficient or lacking in some skill
s. (used of verbs) having standard (or regular) inflection"
suppose,v. express a supposition
trade,"n. the commercial exchange (buying and selling on domestic or international markets) of goods and services
n. the skilled practice of a practical occupation
n. the business given to a commercial establishment by its customers
v. engage in the trade of"
remind,v. put in the mind of someone
return,"n. a coming to or returning home
n. the occurrence of a change in direction back in the opposite direction
n. the act of going back to a prior location
n. the income or profit arising from such transactions as the sale of land or other property"
search,"n. the activity of looking thoroughly in order to find something or someone
n. an investigation seeking answers
n. an operation that determines whether one or more of a set of items has a specified property
n. the examination of alternative hypotheses"
program,"n. a system of projects or services intended to meet a public need
n. an announcement of the events that will occur as part of a theatrical or sporting event
n. (computer science) a sequence of instructions that a computer can interpret and execute
n. a performance (or series of performances) at a public presentation"
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
promise,"n. a verbal commitment by one person to another agreeing to do (or not to do) something in the future
n. grounds for feeling hopeful about the future
v. make a promise or commitment
v. promise to undertake or give"
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
suit,"n. a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n. (slang) a businessman dressed in a business suit
n. a petition or appeal made to a person of superior status or rank
n. playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
smooth,"n. the act of smoothing
v. make smooth or smoother, as if by rubbing
v. free from obstructions
a. having a surface free from roughness or bumps or ridges or irregularities"
standard,"n. a basis for comparison; a reference point against which other things can be evaluated
n. a board measure = 1980 board feet
n. the value behind the money in a monetary system
n. an upright pole or beam (especially one used as a support)"
weigh,"v. have a certain weight
v. determine the weight of
v. to be oppressive or burdensome"
weight,"n. the vertical force exerted by a mass as a result of gravity
n. sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n. the relative importance granted to something
n. an artifact that is heavy"
until,"prep. To; unto; towards; -- used of material objects.
prep. To; up to; till; before; -- used of time; as, he staid
   until evening; he will not come back until the end of the month.
conj. As far as; to the place or degree that; especially, up to
   the time that; till. See Till, conj."
would,"imp. of Will
v. t. Commonly used as an auxiliary verb, either in the past
   tense or in the conditional or optative present. See 2d & 3d Will.
n. See 2d Weld."
rather,"r. on the contrary; rather (or instead), he wrote her a letter""
r. to some (great or small) extent"
shut,a. not open
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
pay,"v. give money, usually in exchange for goods or services
v. do or give something to somebody in return
v. be worth it
v. render"
wage,n. something that remunerates
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
trust,"n. something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)
n. the trait of believing in the honesty and reliability of others
n. a consortium of independent organizations formed to limit competition by controlling the production and distribution of a product or service
v. have confidence or faith in"
rely,v have confidence or faith in
sight,"n. an instance of visual perception
n. anything that is seen
n. the ability to see; the visual faculty
n. a range of mental vision"
view,"n. the visual percept of a region
n. the act of looking or seeing or observing
n. the range of the eye
n. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
scenery,"n. the painted structures of a stage set that are intended to suggest a particular locale
n. the appearance of a place"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
pleasant,"a. affording pleasure; being in harmony with your taste or likings
s. (of persons) having pleasing manners or behavior"
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
patience,n. good-natured tolerance of delay or incompetence
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
partner,"n. a person who is a member of a partnership
v. provide with a partner
v. act as a partner"
part-time,a. involving less than the standard or customary time for an activity
pour,"v. cause to run
v. move in large numbers
v. flow in a spurt
v. supply in large amounts or quantities"
reality,"n. the state of being actual or real
n. the state of the world as it really is rather than as you might want it to be
n. the quality possessed by something that is real"
truth,"n. a fact that has been verified
n. conformity to reality or actuality
n. a true statement
n. United States abolitionist and feminist who was freed from slavery and became a leading advocate of the abolition of slavery and for the rights of women (1797-1883)"
plenty,n. a full supply
violent,"a. acting with or marked by or resulting from great force or energy or emotional intensity
s. effected by force or injury rather than natural causes
s. (of colors or sounds) intensely vivid or loud"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
sudden,a. happening without warning or in a short space of time
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
strike,"n. a group's refusal to work in protest against low pay or bad work conditions
n. an attack that is intended to seize or inflict damage on or destroy an objective
n. a score in tenpins: knocking down all ten with the first ball
n. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"
relax,"v. become less tense, rest, or take one's ease
v. make less taut
v. cause to feel relaxed
v. become less tense, less formal, or less restrained, and assume a friendlier manner"
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
sail,"n. a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
n. any structure that resembles a sail
v. traverse or travel on (a body of water)
v. travel on water propelled by wind"
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
vast,s unusually great in size or amount or degree or especially extent or scope
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
wonder,"n. the feeling aroused by something strange and surprising
n. something that causes feelings of wonder
v. have a wish or desire to know something
v. place in doubt or express doubtful speculation"
wonderful,s extraordinarily good or great; used especially as intensifiers
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
professor,n. someone who is a member of the faculty at a college or university
spare,"n. a score in tenpins; knocking down all ten after rolling two balls
v. refrain from harming
v. save or relieve from an experience or action
v. give up what is not strictly needed"
praise,"n. an expression of approval and commendation
n. offering words of homage as an act of worship
v. express approval of"
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
president,"n. an executive officer of a firm or corporation
n. the chief executive of a republic
n. the officer who presides at the meetings of an organization
n. the head administrative officer of a college or university"
treasure,"n. accumulated wealth in the form of money or jewels etc.
n. any possession that is highly valued by its owner
n. a collection of precious things"
treatment,"n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
n. the management of someone or something
n. a manner of dealing with something artistically"
similar,"a. marked by correspondence or resemblance
s. (of words) expressing closely related meanings"
pardon,"n. a warrant granting release from punishment for an offense
v. grant a pardon to"
transport,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes
v. move something or somebody around; usually over long distances
v. move while supporting, either in a vehicle or in one's hands or on one's body
v. transport commercially"
respond,v. respond favorably or as hoped
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
reply,n. the speech act of continuing a conversational exchange
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
slight,"v. pay no attention to, disrespect"
smart,"n. a kind of pain such as that caused by a wound or a burn or a sore
a. showing mental alertness and calculation and resourcefulness
s. painfully severe
s. quick and brisk"
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
voyage,"n. a journey to some distant place
v. travel on water propelled by wind or by other means"
universe,"n. everything that exists anywhere
n. everything stated or assumed in a given discussion"
university,"n. the body of faculty and students at a university
n. establishment where a seat of higher learning is housed, including administrative and living quarters as well as facilities for research and teaching
n. a large and diverse institution of higher learning created to educate for life and for a profession and to grant degrees"
relation,"n. an abstraction belonging to or characteristic of two entities or parts together
n. an act of narration
n. (usually plural) mutual dealings or connections among persons or groups"
relationship,"n. a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)
n. a state of connectedness between people (especially an emotional connection)
n. a state involving mutual dealings between people or parties or countries"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
though,r. (postpositive) however
through,"s. (of a route or journey etc.) continuing without requiring stops or changes
r. from beginning to end
r. over the whole distance
r. to completion"
while,n. a period of indeterminate length (usually short) marked by some action or condition
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
petrol,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
recycle,"v. cause to repeat a cycle
v. use again after processing"
sink,"n. plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n. (technology) a process that acts to absorb or remove energy or a substance from a system
v. fall or descend to a lower place or level
v. cause to sink"
primary,"n. a preliminary election where delegates or nominees are chosen
n. one of the main flight feathers projecting along the outer edge of a bird's wing
n. (astronomy) a celestial body (especially a star) relative to other objects in orbit around it
a. of first rank or importance or value; direct and immediate rather than secondary"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
repair,"n. the act of putting something in working order again
n. a formal way of referring to the condition of something
v. restore by replacing a part or putting together what is torn or broken
v. move, travel, or proceed toward some place"
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
relief,"n. the feeling that comes when something burdensome is removed or reduced
n. the condition of being comfortable or relieved (especially after being relieved of distress)
n. (law) redress awarded by a court
n. assistance in time of difficulty"
shoulder,"n. the part of the body between the neck and the upper arm
n. a cut of meat including the upper joint of the foreleg
n. a ball-and-socket joint between the head of the humerus and a cavity of the scapula
n. the part of a garment that covers or fits over the shoulder"
package,"n. a collection of things wrapped or boxed together
n. a wrapped container"
shortcoming,n a failing or deficiency
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
victory,n. a successful ending of a struggle or contest
repeat,"n. an event that repeats
v. to say, state, or perform again
v. to say again or imitate
v. do over"
surrounding,"v extend on all sides of simultaneously; encircle
v envelop completely
v surround so as to force to give up
v surround with a wall in order to fortify
s closely encircling"
review,"n. an essay or article that gives a critical evaluation (as of a book or play)
n. (accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data
n. a periodical that publishes critical essays on current affairs or literature or art
n. (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
surface,"n. the outer boundary of an artifact or a material layer constituting or resembling such a boundary
n. the extended two-dimensional outer boundary of a three-dimensional object
n. the outermost level of the land or sea
n. a superficial aspect as opposed to the real nature of something"
suspect,"n. someone who is under suspicion
v. imagine to be the case or true or probable
v. hold in suspicion; believe to be guilty"
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
retell,"v render verbally, ""recite a poem""
v make into fiction
v to say, state, or perform again"
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
wander,v. go via an indirect route or at no set pace
passage,"n. the act of passing from one state or place to the next
n. a section of text; particularly a section of medium length
n. a way through or along which someone or something may pass
n. a journey usually by ship"
paragraph,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
v. divide into paragraphs, as of text
v. write about in a paragraph
v. write paragraphs; work as a paragrapher"
passenger,n. a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
phrase,"n. an expression consisting of one or more words forming a grammatical constituent of a sentence
n. a short musical passage
n. dance movements that are linked in a single choreographic sequence
v. divide, combine, or mark into phrases"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
statement,"n. a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
n. (music) the presentation of a musical theme
n. a nonverbal message
n. a document showing credits and debits"
status,n. the relative position or standing of things or especially persons in a society
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
physics,"n. the science of matter and energy and their interactions
n. the physical properties, phenomena, and laws of something"
palace,"n. a large and stately mansion
n. the governing group of a kingdom
n. a large ornate exhibition hall
n. official residence of an exalted person (as a sovereign)"
passport,n. a document issued by a country to a citizen allowing that person to travel abroad and re-enter the home country
penny,"n. a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
n. a coin worth one-hundredth of the value of the basic unit"
underground,"n. a secret group organized to overthrow a government or occupation force
r. in or into hiding or secret operation
r. beneath the surface of the earth"
page,"n. one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
n. English industrialist who pioneered in the design and manufacture of aircraft (1885-1962)
n. United States diplomat and writer about the Old South (1853-1922)
n. a boy who is employed to run errands"
pain,"n. a symptom of some physical hurt or disorder
n. emotional distress; a fundamental feeling that people try to avoid
n. a somatic sensation of acute discomfort
n. a bothersome annoying person"
paint,"n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
v. make a painting
v. apply paint to; coat with paint
v. make a painting of"
pair,"n. a set of two similar things considered as a unit
n. two people considered as a unit
n. a poker hand with 2 cards of the same value
v. form a pair or pairs"
panda,"n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
paper,"n. a material made of cellulose pulp derived mainly from wood or rags or certain grasses
n. a medium for written communication
n. a scholarly article describing the results of observations or stating hypotheses
v. cover with paper"
parent,"n. a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
n. an organism (plant or animal) from which younger ones are obtained"
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
part,"n. something determined in relation to something that includes it
n. something less than the whole of a human artifact
n. a portion of a natural object
n. that which concerns a person with regard to a particular role or situation"
party,"n. an organization to gain political power
n. a group of people gathered together for pleasure
n. a band of people associated temporarily in some activity
n. an occasion on which people can assemble for social interaction and entertainment"
pass,"n. (military) a written leave of absence
n. (American football) a play that involves one player throwing the ball to a teammate
n. the location in a range of mountains of a geological formation that is lower than the surrounding peaks
n. any authorization to pass or go somewhere"
past,"n. the time that has elapsed
n. a earlier period in someone's life (especially one that they have reason to keep secret)
n. a verb tense that expresses actions or states in the past
a. earlier than the present time; no longer current"
pattern,"n. a model considered worthy of imitation
v. form a pattern"
P.C.,n a small digital computer based on a microprocessor and designed to be used by one person at a time
P.E.,n. the 17th letter of the Hebrew alphabet
pea,"n. seed of a pea plant used for food
n. the fruit or seed of a pea plant
n. a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds"
peace,"n. the state prevailing during the absence of war
n. harmonious relations; freedom from disputes
n. the absence of mental stress or anxiety
n. the general security of public places"
peach,"n. cultivated in temperate regions
n. downy juicy fruit with sweet yellowish or whitish flesh"
