catastrophic,s. extremely harmful; bringing physical or financial ruin
sidle,"v. move unobtrusively or furtively
v. move sideways"
Slinky,a. Thin; lank.
souped-up,none
spread,"n. process or result of distributing or extending over a wide expanse of space
n. a tasty mixture to be spread on bread or crackers or used in preparing other dishes
n. two facing pages of a book or other publication
n. the expansion of a person's girth (especially at middle age)"
stake,"n. instrument of execution consisting of a vertical post that a victim is tied to for burning
n. the money risked on a gamble
n. a strong wooden or metal post with a point at one end so it can be driven into the ground
v. mark with a stake"
tidal,a. of or relating to or caused by tides
tread,"n. the grooved surface of a pneumatic tire
n. the part (as of a wheel or shoe) that makes contact with the ground
n. structural member consisting of the horizontal part of a stair or step
v. tread or stomp heavily or roughly"
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
velvet,"n. a silky densely piled fabric with a plain back
s. smooth and soft to sight or hearing or touch or taste
s. resembling velvet in having a smooth soft surface"
wager,"n the act of gambling
n the money risked on a gamble
v stake on the outcome of an issue
v maintain with or as if with a bet"
wedge,"n. any shape that is triangular in cross section
n. (golf) an iron with considerable loft and a broad sole
n. something solid that is usable as an inclined plane (shaped like a V) that can be pushed between two things to separate them
v. squeeze like a wedge into a tight space"
zigzag,"n. an angular shape characterized by sharp turns in alternating directions
v. travel along a zigzag path
s. having short sharp turns or angles"
tidal wave,none
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
addicted,a. compulsively or physiologically dependent on something habit-forming
alcoholic,"n. a person who drinks alcohol to excess habitually
a. characteristic of or containing alcohol
s. addicted to alcohol"
alienate,v. make withdrawn or isolated or emotionally dissociated
alienation,"n. the feeling of being alienated from other people
n. separation resulting from hostility
n. (law) the voluntary and absolute transfer of title and possession of real property from one person to another"
binge,"n any act of immoderate indulgence
n an occasion for excessive eating or drinking
v overeat or eat immodestly; make a pig of oneself"
converse,"n. a proposition obtained by conversion
v. carry on a conversation
s. of words so related that one reverses the relation denoted by the other
s. turned about in order or relation"
cyberspace,n a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
depressed,"s. lower than previously
s. flattened downward as if pressed from above or flattened along the dorsal and ventral surfaces"
dramatically,"r. in a very impressive manner
r. in a dramatic manner
r. with respect to dramatic value"
exaggeration,"n. the act of making something more noticeable than usual
n. making to seem more important than it really is"
forum,"n. a public meeting or assembly for open discussion
n. a public facility to meet for open discussion"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
fragmentation,"n. the disintegration of social norms governing behavior and thought and social relationships
n. (computer science) the condition of a file that is broken up and stored in many different locations on a magnetic disk
n. the scattering of bomb fragments after the bomb explodes"
globalization,n. growth to a global or worldwide scale
gratification,"n. state of being gratified or satisfied
n. the act or an instance of satisfying"
modal,"s. relating to or constituting the most frequent value in a distribution
a. of or relating to a musical mode; especially written in an ecclesiastical mode
a. relating to or expressing the mood of a verb"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
oyster,"n. marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters
n. a small muscle on each side of the back of a fowl
v. gather oysters, dig oysters"
perceive,"v. to become aware of through the senses
v. become conscious of"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
simulated,s. reproduced or made to resemble; imitative in character
skew,"v. turn or place at an angle
s. having an oblique or slanting direction or position"
surf,"n. waves breaking on the shore
v. switch channels, on television"
apprehend,v. anticipate with dread or anxiety
artistry,n a superior skill that you can learn by study and practice and observation
char,"n. a charred substance
n. any of several small trout-like fish of the genus Salvelinus
v. burn to charcoal
v. burn slightly and superficially so as to affect color"
constitute,v. form or compose
continuation,"n the act of continuing an activity without interruption
n a part added to a book or play that continues and extends it
n a Gestalt principle of organization holding that there is an innate tendency to perceive a line as continuing its established direction
n the consequence of being lengthened in duration"
counterpoise,"n a weight that balances another weight
v constitute a counterweight or counterbalance to"
dispatch,"n. an official report (usually sent in haste)
n. the act of sending off something
n. the property of being prompt and efficient
n. killing a person or animal"
intact,"s. (of a woman) having the hymen unbroken
s. undamaged in any way"
ledge,n. a projecting ridge on a mountain or submerged under water
outskirt,n. a part of the city far removed from the center
peril,"n a source of danger; a possibility of incurring loss or misfortune
n a state of danger involving risk
n a venture undertaken without regard to possible loss or injury
v pose a threat to; present a danger to
v put in a dangerous, disadvantageous, or difficult position"
pulse,"n. the rhythmic contraction and expansion of the arteries with each beat of the heart
n. the rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health
n. edible seeds of various pod-bearing plants (peas or beans or lentils etc.)
v. produce or modulate (as electromagnetic waves) in the form of short bursts or pulses or cause an apparatus to produce pulses"
rubble,n the remains of something that has been destroyed or broken up
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
unearthly,"s concerned with or affecting the spirit or soul
s suggesting the operation of supernatural influences"
wreckage,n. the remaining parts of something that has been wrecked
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
affecting,s. arousing affect
atavistic,s. characteristic of an atavist
attachment,"n. a feeling of affection for a person or an institution
n. a supplementary part or accessory
n. a writ authorizing the seizure of property that may be needed for the payment of a judgment in a judicial proceeding"
bonding,"n. a close personal relationship that forms between people (as between husband and wife or parent and child)
n. (dentistry) a technique for repairing a tooth; resinous material is applied to the surface of the tooth where it adheres to the tooth's enamel
n. fastening firmly together"
buddy,n. a close friend who accompanies his buddies in their activities
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
celluloid,"n. highly flammable substance made from cellulose nitrate and camphor; used in e.g. motion-picture and X-ray film; its use has decreased with the development of nonflammable thermoplastics
s. artificial as if portrayed in a film"
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
chum,n. bait consisting of chopped fish and fish oils that are dumped overboard to attract fish
claustrophobic,"s. uncomfortably closed or hemmed in
s. suffering from claustrophobia; abnormally afraid of closed-in places"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
cosmic,"a. of or from or pertaining to or characteristic of the cosmos or universe
s. inconceivably extended in space or time"
cull,"n. the person or thing that is rejected or set aside as inferior in quality
v. remove something that has been rejected"
drastically,r. in a drastic manner
flick,"n. a light sharp contact (usually with something flexible)
n. a short stroke
v. look through a book or other written material
v. twitch or flutter"
fragility,"n. quality of being easily damaged or destroyed
n. lack of physical strength"
grievance,"n. an allegation that something imposes an illegal obligation or denies some legal right or causes injustice
n. a complaint about a (real or imaginary) wrong that causes resentment and is grounds for action"
loathsome,"s causing or able to cause nausea
s highly offensive; arousing aversion or disgust"
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
palpably,r. so as to be palpable
pan,"n. cooking utensil consisting of a wide metal vessel
n. (Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat's legs and horns and ears; identified with Roman Sylvanus or Faunus
n. shallow container made of metal
n. chimpanzees; more closely related to Australopithecus than to other pongids"
primal,"s serving as an essential component
s having existed from the beginning; in an earliest or original stage or state"
resiliency,"n an occurrence of rebounding or springing back
n the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit"
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
shoot-out,n a fight involving shooting small arms with the intent to kill or frighten
sidekick,n a close friend who accompanies his buddies in their activities
tapestry,"n. something that resembles a tapestry in its complex pictorial designs
n. a heavy textile with a woven design; used for curtains and upholstery
n. a wall hanging of heavy handwoven fabric with pictorial designs"
tissue,"n. part of an organism consisting of an aggregate of cells having a similar structure and function
n. a soft thin (usually translucent) paper"
trenchmate,none
trendiness,none
vérité,none
wretched,"s of very poor quality or condition
s characterized by physical misery
s very unhappy; full of misery
s morally reprehensible
s deserving or inciting pity"
backdrop,n. scenery hung at back of stage
barbecue,"n. meat that has been barbecued or grilled in a highly seasoned sauce
n. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n. a rack to hold meat for cooking over hot charcoal usually out of doors"
bonnet,"n. a hat tied under the chin
v. dress in a bonnet"
cliché,none
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
enlightenment,"n. education that results in understanding and the spread of knowledge
n. a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine"
expatriate,"v. expel from a country
v. move away from one's native country and adopt a new residence abroad"
fleeciness,none
folly,"n. the trait of acting stupidly or rashly
n. the quality of being rash and foolish
n. foolish or senseless behavior"
goggle-eyed,s with eyes or mouth open in surprise
heritage,n. practices that are handed down from the past by tradition
immersed,"v thrust or throw into
v devote (oneself) fully to
v enclose or envelop completely, as if by swallowing
v cause to be immersed"
jarring,s. making or causing a harsh and irritating sound
lacuna,n. a blank gap or missing part
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
make-believe,"n. the enactment of a pretense
s. imagined as in a play"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
personify,v. attribute human qualities to something
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
reenactment,n. performing a role in an event that occurred at an earlier time
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
resonate,"v. sound with resonance
v. be received or understood"
riposte,"n. (fencing) a counterattack made immediately after successfully parrying the opponents lunge
v. make a return thrust"
sinister,s. on or starting from the wearer's left
skirmish,v. engage in a skirmish
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
swell,"n. the undulating movement of the surface of the open sea
n. a rounded elevation (especially one on an ocean floor)
n. a crescendo followed by a decrescendo
v. increase in size, magnitude, number, or intensity"
twinge,"n. a sharp stab of pain
v. feel a sudden sharp, local pain"
unease,"n physical discomfort (as mild sickness or depression)
n the trait of seeming ill at ease"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
arrogance,n. overbearing pride evidenced by a superior manner toward inferiors
benefactor,n. a person who helps people or institutions (especially with financial help)
burlesque,"n. a theatrical entertainment of broad and earthy humor; consists of comic skits and short turns (and sometimes striptease)
a. relating to or characteristic of a burlesque"
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
caricature,"n. a representation of a person that is exaggerated for comic effect
v. represent in or produce a caricature of"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
conceit,"n. an elaborate poetic image or a far-fetched comparison of very dissimilar things
n. a witty or ingenious turn of phrase
n. an artistic device or effect
n. the trait of being unduly vain and conceited; false pride"
conceive,v. become pregnant; undergo conception
conversationalist,n. someone skilled at conversation
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
demon,n. someone extremely diligent or skillful
downright,"s. characterized by plain blunt honesty
r. thoroughgoing"
exhausting,s. producing exhaustion
gloom,"n. a state of partial or total darkness
n. a feeling of melancholy apprehension
n. an atmosphere of depression and melancholy"
grandeur,"n the quality of being magnificent or splendid or grand
n the quality of elevation of mind and exaltation of character or ideals or conduct"
groveling,"v show submission or fear
s totally submissive"
harangue,"n. a loud bombastic declamation expressed with strong emotion
v. deliver a harangue to; address forcefully"
idiotic,"s insanely irresponsible
s incongruous; inviting ridicule
s having a mental age of three to seven years"
infidelity,n. the quality of being unfaithful
libretto,n. the words of an opera or musical play
loftily,r. in a lofty manner
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
mistress,"n. an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man
n. a woman master who directs the work of others"
nerve,n. any bundle of nerve fibers running to various organs and tissues of the body
pamphlet,"n a small book usually having a paper cover
n a brief treatise on a subject of interest; published in the form of a booklet"
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
rajah,n a prince or king in India
rave,"n. a dance party that lasts all night and electronically synthesized music is played
n. an extravagantly enthusiastic review
v. participate in an all-night techno dance party
v. praise enthusiastically"
recipient,n. a person who receives something
shudder,"v. tremble convulsively, as from fear or excitement"
stupendous,s so great in size or force or extent as to elicit awe
suicidal,s dangerous to yourself or your interests
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
tiresome,s so lacking in interest as to cause mental weariness
torment,"v. torment emotionally or mentally
v. treat cruelly"
undersized,s smaller than normal for its kind
unscrupulous,a. without scruples or principles
vegetarianism,n. a diet excluding all meat and fish
volubility,n the quality of being facile in speech and writing
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
assemble,"v. create by putting components or members together
v. get people together"
athwart,r. at right angles to the center line of a ship
awkwardly,r. in an awkward manner
bonsai,n. a dwarfed ornamental tree or shrub grown in a tray or shallow pot
cache,"n. a hidden storage space (for money or provisions or weapons)
n. (computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics"
close-cropped,none
deceased,"n someone who is no longer alive
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
s dead"
dignified,"a. having or expressing dignity; especially formality or stateliness in bearing or appearance
s. having or showing self-esteem"
disinfectant,n. an agent (as heat or radiation or a chemical) that destroys microorganisms that might carry disease
dome,"n. a concave shape whose distinguishing characteristic is that the concavity faces downward
n. a stadium that has a roof
n. a hemispherical roof"
facsimile,"n. an exact copy or reproduction
n. duplicator that transmits the copy by wire or radio"
forceps,n. an extractor consisting of a pair of pincers used in medical treatment (especially for the delivery of babies)
furtive,s. marked by quiet and caution and secrecy; taking pains to avoid being observed
heft,"n. the property of being large in mass
v. test the weight of something by lifting it"
inert,"s. unable to move or resist motion
s. having only a limited ability to react chemically; chemically inactive
s. slow and apathetic"
kickshaw,n something considered choice to eat
oatmeal,"n. porridge made of rolled oats
n. meal made from rolled or ground oats"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
prune,n. dried plum
repose,"n. a disposition free from stress or emotion
v. put or confide something in a person or thing
v. lie when dead"
scab,"n. someone who works (or provides workers) during a strike
n. the crustlike surface of a healing skin lesion
v. form a scab"
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
shard,n. a broken piece of a brittle artifact
snowbound,s. confined or shut in by heavy snow
stance,n. standing posture
stump,"n. the base part of a tree that remains standing after the tree has been felled
n. the part of a limb or tooth that remains after the rest is removed
n. (cricket) any of three upright wooden posts that form the wicket
v. cause to be perplexed or confounded"
tan,"n. a browning of the skin resulting from exposure to the rays of the sun
n. a light brown the color of topaz
v. treat skins and hides with tannic acid so as to convert them into leather
v. get a tan, from wind or sun"
vile,"s morally reprehensible
s causing or able to cause nausea"
scrambled egg,none
abundant,a. present in great quantity
cadence,"n. the close of a musical section
n. a recurrent rhythmical series"
catfish,"n. flesh of scaleless food fish of the southern United States; often farmed
n. any of numerous mostly freshwater bottom-living fishes of Eurasia and North America with barbels like whiskers around the mouth"
critique,"n an essay or article that gives a critical evaluation (as of a book or play)
n a serious examination and judgment of something
v appraise critically"
daze,"n. the feeling of distress and disbelief that you have when something bad happens accidentally
n. confusion characterized by lack of clarity"
dubious,s. not convinced
grit,"n. a hard coarse-grained siliceous sandstone
v. cover with a grit
v. clench together"
humiliate,v. cause to feel shame; hurt the pride of
kinship,n. (anthropology) relatedness or connection by blood or marriage or adoption
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
mentor,"n. a wise and trusted guide and advisor
v. serve as a teacher or trusted counselor"
nondenominational,s. not restricted to a particular religious denomination
oratorical,s. characteristic of an orator or oratory
pound,"n. 16 ounces avoirdupois
n. a unit of apothecary weight equal to 12 ounces troy
n. a nontechnical unit of force equal to the mass of 1 pound with an acceleration of free fall equal to 32 feet/sec/sec
n. United States writer who lived in Europe; strongly influenced the development of modern literature (1885-1972)"
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
resurrect,"v. cause to become alive again
v. return from the dead"
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
savor,"v. taste appreciatively
v. give taste to"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
smirk,"n. a smile expressing smugness or scorn instead of pleasure
v. smile affectedly or derisively"
snicker,"n. a disrespectful laugh
v. laugh quietly"
stutter,"n a speech disorder involving hesitations and involuntary repetitions of certain sounds
v speak haltingly"
traumatic,"a. of or relating to a physical injury or wound to the body
s. psychologically painful;"
trilogy,n. a set of three literary or dramatic works related in subject or theme
tutelage,n. teaching pupils individually (usually by a tutor hired privately)
vent,"n. a hole for the escape of gas or air
n. external opening of urinary or genital system of a lower vertebrate
n. a fissure in the earth's crust (or in the surface of some other planet) through which molten lava and gases erupt
n. a slit in a garment (as in the back seam of a jacket)"
vibrant,"s. vigorous and animated
s. of sounds that are strong and resonating
s. of colors that are bright and striking"
wry,s. bent to one side
atomize,"v. spray very finely
v. break up into small particles"
bosky,s. covered with or consisting of bushes or thickets
boutique,n. a shop that sells women's clothes and jewelry
congregate,"v. come together, usually for a purpose"
cruise,"n. an ocean trip taken for pleasure
v. drive around aimlessly but ostentatiously and at leisure
v. travel at a moderate speed
v. look for a sexual partner in a public place"
disdain,"n lack of respect accompanied by a feeling of intense dislike
n a communication that indicates lack of respect by patronizing the recipient
v look down on with disdain
v reject with contempt"
exertion,n use of physical or mental energy; hard work
exurb,none
fetid,s. offensively malodorous
Fonda-ize,none
gregarious,"a. (of animals) tending to form a group with others of the same species
s. instinctively or temperamentally seeking and enjoying the company of others
a. (of plants) growing in groups that are close together"
grievous,s. causing or marked by grief or anguish
idiocy,n. extreme mental retardation
insolence,n. an offensive disrespectful impudent act
insomniac,"n. someone who cannot sleep
s. experiencing or accompanied by sleeplessness"
lunacy,n. obsolete terms for legal insanity
pampering,"s. gratifying tastes, appetites, or desires"
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
precondition,"n. a condition that is a prerequisite
v. put into the required condition beforehand"
pretense,"n. the act of giving a false appearance
n. pretending with intention to deceive
n. imaginative intellectual play"
prim,"v. assume a prim appearance
v. contract one's lips
v. dress primly"
quaintly,"r. in a strange but not unpleasant manner
r. in a quaint old-fashioned manner"
reel,"n. a roll of photographic film holding a series of frames to be projected by a movie projector
n. music composed for dancing a reel
n. winder consisting of a revolving spool with a handle; attached to a fishing rod
n. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
rururb,none
scurry,v. to move about or proceed hurriedly
simulation,"n. the act of imitating the behavior of some situation or some process by means of something suitably analogous (especially for the purpose of study or personnel training)
n. (computer science) the technique of representing the real world by a computer program"
sleek,s. well-groomed and neatly tailored; especially too well-groomed
slump,"n. a noticeable deterioration in performance or quality
v. assume a drooping posture or carriage
v. fall or sink heavily
v. fall heavily or suddenly; decline markedly"
solitude,"n. a state of social isolation
n. the state or situation of being alone
n. a solitary place"
spindly,s long and lean
unisex,s. not distinguished on the basis of sex
urbane,s showing a high degree of refinement and the assurance that comes from wide social experience
well-groomed,"s. having tasteful clothing and being scrupulously neat
s. having your hair neatly brushed and combed"
cavalryman,"n. a soldier in a motorized army unit
n. a soldier mounted on horseback"
colossal,s. so great in size or force or extent as to elicit awe
conflagration,n. a very intense and uncontrolled fire
contrivance,"n. the faculty of contriving; inventive skill
n. an elaborate or deceitful scheme contrived to deceive or evade
n. an artificial or unnatural or obviously contrived arrangement of details or parts etc."
crumble,"v. fall apart
v. break or fall apart into fragments"
debris,n. the remains of something that has been destroyed or broken up
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
devastate,v. overwhelm or overpower
disrupt,v. throw into disorder
dynamite,"n. an explosive containing nitrate sensitized with nitroglycerin absorbed on wood pulp
v. blow up with dynamite"
flank,"n. the side of military or naval formation
n. a subfigure consisting of a side of something
n. a cut from the fleshy part of an animal's side between the ribs and the leg
n. the side between ribs and hipbone"
fling,"n. the act of flinging
v. throw with force or recklessness
v. move in an abrupt or headlong manner"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
ghetto,"n. formerly the restricted quarter of many European cities in which Jews were required to live
n. any segregated mode of living or working that results from bias or stereotyping
n. a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
go-cart,"n an enclosing framework on casters or wheels; helps babies learn to walk
n wheeled vehicle that can be pushed by a person; may have one or two or four wheels
n a small vehicle with four wheels in which a baby or child is pushed around"
gracious,"a. characterized by charm, good taste, and generosity of spirit
s. disposed to bestow favors"
gut,"n. a narrow channel or strait
v. empty completely; destroy the inside of
v. remove the guts of"
