abase,v cause to feel shame; hurt the pride of
hyperbole,n. extravagant exaggeration
hypochondriac,"n. a patient with imaginary symptoms and ailments
s. suffering from hypochondria"
hypocritical,s. professing feelings or virtues one does not have
hypothetical,"n. a hypothetical possibility, circumstance, statement, proposal, situation, etc."
ichthyology,n. the branch of zoology that studies fishes
icon,"n. (computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
n. a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church"
iconoclastic,"s. characterized by attack on established beliefs or institutions
s. destructive of images used in religious worship; said of religions, such as Islam, in which the representation of living things is prohibited"
ideology,n. imaginary or visionary theorization
idiom,n. an expression whose meanings cannot be inferred from the meanings of the words that make it up
idiosyncrasy,n. a behavioral attribute that is distinctive and peculiar to an individual
idolatry,"n. religious zeal; the willingness to serve God
n. the worship of idols; the worship of images that are not God"
ignite,v. cause to start burning; subject to fire or great heat
ignoble,"a. completely lacking nobility in character or quality or purpose
s. not of the nobility"
ignominy,n a state of dishonor
illicit,a. contrary to accepted morality (especially sexual morality) or convention
illimitable,s. without limits in extent or size or quantity
illuminate,v. add embellishments and paintings to (medieval manuscripts)
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
illusory,s based on or having the nature of an illusion
imbalance,n. a lack of balance or state of disequilibrium
imbibe,v. receive into the mind and retain
immaculate,"s. completely neat and clean
s. free from stain or blemish"
imminent,s close in time; about to occur
immune,"n. a person who is immune to a particular infection
a. relating to the condition of immunity
s. secure against
s. relating to or conferring immunity (to disease or infection)"
immutable,a. not subject or susceptible to change or variation in form or quality or nature
impair,v. make worse or less effective
impale,v. kill by piercing with a spear or sharp pole
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
impartial,a. showing lack of favoritism
impasse,"n a situation in which no progress can be made or no advancement is possible
n a street with only one way in or out"
impassive,s. having or revealing little emotion or sensibility; not easily aroused or excited
impeach,"v. challenge the honesty or veracity of
v. charge (a public official) with an offense or misdemeanor committed while in office"
impecunious,s not having enough money to pay for necessities
impede,v. be a hindrance or obstacle to
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
impel,v. urge or force (a person) to an action; constrain or motivate
impenetrable,"a. not admitting of penetration or passage into or through
s. impossible to understand"
impending,"v be imminent or about to happen
s close in time; about to occur"
impenitent,"a. not penitent or remorseful
s. impervious to moral persuasion"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
imperceptible,a. impossible or difficult to perceive by the mind or senses
imperial,"n. a small tufted beard worn by Emperor Napoleon III
n. a piece of luggage carried on top of a coach
a. relating to or associated with an empire
a. of or belonging to the British Imperial System of weights and measures"
imperious,s having or showing arrogant superiority to and disdain of those one views as unworthy
impermeable,a. preventing especially liquids to pass or diffuse through
impertinent,s. characterized by a lightly pert and exuberant quality
imperturbable,s. not easily perturbed or excited or upset; marked by extreme calm and composure
impetuous,s. marked by violent force
impetus,"n a force that moves something along
n the act of applying force suddenly"
impiety,n. unrighteousness by virtue of lacking respect for a god
impinge,v. impinge or infringe upon
impious,"a. lacking piety or reverence for a god
s. lacking due respect or dutifulness"
implacable,a. incapable of being placated
implausible,a. having a quality that provokes disbelief
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
imply,"v. express or state indirectly
v. suggest as a logically necessary consequence; in logic
v. have as a necessary feature"
importune,v. beg persistently and urgently
impostor,n a person who makes deceitful pretenses
impotent,"a. lacking power or ability; morality without technology is impotent""- Freeman J.Dyson
a. (of a male) unable to copulate"
impoverish,v. make poor
impregnable,"s. immune to attack; incapable of being tampered with
s. incapable of being overcome, challenged or refuted"
impromptu,"n. an extemporaneous speech or remark
n. a short musical passage that seems to have been made spontaneously without advance preparation"
impropriety,"n. an improper demeanor
n. the condition of being improper"
improvident,a. not provident; not providing for the future
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
imprudent,"a. not prudent or wise
s. lacking wise self-restraint"
impudence,n. an impudent statement
impugn,v. attack as false or wrong
impunity,n. exemption from punishment or loss
inane,s devoid of intelligence
incandescent,"s. emitting light as a result of being heated
s. characterized by ardent emotion or intensity or brilliance"
incantation,n. a ritual recitation of words or sounds believed to have a magical effect
incapacitate,"v make unable to perform a certain action
v injure permanently"
incarcerate,"v lock up or confine, in or as in a jail"
incendiary,"a. involving deliberate burning of property
s. arousing to action or rebellion
s. capable of catching fire spontaneously or causing fires or burning readily"
incense,"n. a substance that produces a fragrant odor when burned
n. the pleasing scent produced when incense is burned"
incentive,n. a positive motivational influence
inception,n an event that is a beginning; a first part or stage of subsequent events
incessant,s uninterrupted in time and indefinitely long continuing
inchoate,s only partly in existence; imperfectly formed
incidence,"n. the relative frequency of occurrence of something
n. the striking of a light beam on a surface"
incipient,s. only partly in existence; imperfectly formed
incisive,s. suitable for cutting or piercing
incite,v. provoke or stir up
inclement,"a. (of weather or climate) severe
a. used of persons or behavior; showing no clemency or mercy"
incline,"v. bend or turn (one's ear) towards a speaker in order to listen well
v. lower or bend (the head or upper body), as in a nod or bow
v. feel favorably disposed or willing"
inclined,"a. (often followed by `to') having a preference, disposition, or tendency
a. at an angle to the horizontal or vertical position"
inclusive,a. including much or everything; and especially including stated limits
incorrigible,a. impervious to correction by punishment
incriminate,v. suggest that someone is guilty
incrustation,"n. the formation of a crust
n. a decorative coating of contrasting material that is applied to a surface as an inlay or overlay"
incubate,v. grow under conditions that promote development
inculcate,v. teach and impress by frequent repetitions or admonitions
incumbent,"n. the official who holds an office
s. lying or leaning on something else
s. necessary (for someone) as a duty or responsibility; morally binding
s. currently holding an office"
incur,v. make oneself subject to; bring upon oneself; become liable to
incursion,"n. the act of entering some territory or domain (often in large numbers)
n. the mistake of incurring liability or blame"
indefatigable,s. showing sustained enthusiastic action with unflagging vitality
indelible,s. cannot be removed or erased
indentation,"n. a concave cut into a surface or edge (as in a coastline)
n. the space left between the margin and the start of an indented line
n. the act of cutting into an edge with toothlike notches or angular incisions"
indenture,"n. formal agreement between the issuer of bonds and the bondholders as to terms of the debt
n. a contract binding one party into the service of another for a specified term
v. bind by or as if by indentures, as of an apprentice or servant"
indeterminate,"a. not precisely determined or established; not fixed or known in advance
a. having a capacity for continuing to grow at the apex
s. of uncertain or ambiguous nature"
indict,v. accuse formally of a crime
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
indigent,s poor enough to need help from others
indoctrinate,v. teach doctrines to; teach uncritically
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
indomitable,s. impossible to subdue
indubitable,s too obvious to be doubted
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
indulgent,"a. characterized by or given to yielding to the wishes of someone
s. tolerant or lenient
s. being favorably inclined"
industrious,"s characterized by hard work and perseverance
s working hard to promote an enterprise"
inebriated,"v fill with sublime emotion
v make drunk (with alcoholic drinks)
v become drunk or drink excessively
a stupefied or excited by a chemical substance (especially alcohol)"
ineffable,s. too sacred to be uttered
ineffectual,"a not producing an intended effect
s producing no result or effect
s lacking in power or forcefulness"
inefficacious,a. lacking the power to produce a desired effect
inept,s. revealing lack of perceptiveness or judgment or finesse
inequity,n injustice by virtue of not conforming with rules or standards
inert,"s. unable to move or resist motion
s. having only a limited ability to react chemically; chemically inactive
s. slow and apathetic"
inevitable,"n. an unavoidable event
a. incapable of being avoided or prevented
s. invariably occurring or appearing"
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
infallible,a. incapable of failure or error
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
infernal,"n. an inhabitant of Hell
a. characteristic of or resembling Hell
a. of or pertaining to or characteristic of a very uncontrolled and intense fire"
infidel,n a person who does not acknowledge your god
infiltrate,"v. cause (a liquid) to enter by penetrating the interstices
v. enter a group or organization in order to spy on the members
v. pass into or through by filtering or permeating
v. pass through an enemy line; in a military conflict"
infinitesimal,"n. (mathematics) a variable that has zero as its limit
s. infinitely or immeasurably small"
infirmity,n. the state of being weak in health or body (especially from old age)
inflated,"v exaggerate or make bigger
v fill with gas or air
v cause prices to rise by increasing the available currency or credit
v increase the amount or availability of, creating a rise in value
v become inflated
s enlarged beyond truth or reasonableness
s pretentious (especially with regard to language or ideals)"
influx,n the process of flowing in
infusion,"n. a solution obtained by steeping or soaking a substance (usually in water)
n. the process of extracting certain active properties (as a drug from a plant) by steeping or soaking (usually in water)
n. (medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)
n. the act of infusing or introducing a certain modifying element or quality"
ingenious,s showing inventiveness and skill
ingenuous,a. characterized by an inability to mask your feelings; not devious
ingratiate,v. gain favor with somebody by deliberate efforts
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
inimical,s not friendly
iniquitous,s. characterized by iniquity; wicked because it is believed to be a sin
initiate,"n. someone who has been admitted to membership in a scholarly field
n. people who have been introduced to the mysteries of some field or activity
v. take the lead or initiative in; participate in the development of
v. accept people into an exclusive society or group, usually with some rite"
innocuous,"a. not injurious to physical or mental health
s. not causing disapproval"
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
innuendo,n an indirect (and usually malicious) implication
insalubrious,s. detrimental to health
insensible,"a. incapable of physical sensation
s. unaware of or indifferent to
s. unresponsive to stimulation"
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
insinuate,v. introduce or insert (oneself) in a subtle manner
insipid,s. lacking interest or significance or impact
insolence,n. an offensive disrespectful impudent act
insomnia,n. an inability to sleep; chronic sleeplessness
instigate,"v provoke or stir up
v serve as the inciting cause of"
insubordination,"n. defiance of authority
n. an insubordinate act"
insurgent,"n. a person who takes part in an armed rebellion against the constituted authority (especially in the hope of improving conditions)
s. in opposition to a civil authority or government"
insurmountable,a. not capable of being surmounted or overcome
insurrection,n organized opposition to authority; a conflict in which one faction tries to wrest control from another
intangible,"n. assets that are saleable though not material or physical
a. (of especially business assets) not having physical substance or intrinsic productive value
a. incapable of being perceived by the senses especially the sense of touch
s. hard to pin down or identify"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
inter,v place in a grave or tomb
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
interloper,n someone who intrudes on the privacy or property of another without permission
interment,n the ritual placing of a corpse in a grave
interminable,s tiresomely long; seemingly without end
interrogate,"v. transmit (a signal) for setting off an appropriate response, as in telecommunication
v. pose a series of questions to"
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
intractable,a. not tractable; difficult to manage or mold
intransigence,n the trait of being intransigent; stubbornly refusing to compromise
intricate,s. having many complexly arranged elements; elaborate
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
introspective,a. given to examining own sensory and perceptual experiences
intrude,"v. enter uninvited
v. search or inquire in a meddlesome way
v. thrust oneself in as if by force"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
inundate,"v. fill or cover completely, usually with water"
inured,"v cause to accept or become hardened to; habituate
s made tough by habitual exposure"
invalidate,"v. declare invalid
v. show to be invalid
v. take away the legal force of or render ineffective"
invasive,"a. relating to a technique in which the body is entered by puncture or incision
a. marked by a tendency to spread especially into healthy tissue"
invert,"v. make an inversion (in a musical composition)
v. reverse the position, order, relation, or condition of"
invidious,s containing or implying a slight or showing prejudice
invigorate,"v. impart vigor, strength, or vitality to"
invincible,s. incapable of being overcome or subdued
invocation,"n. a prayer asking God's help as part of a religious service
n. an incantation used in conjuring or summoning a devil
n. the act of appealing for help"
invoke,v. cite as an authority; resort to
invulnerable,a. immune to attack; impregnable
iota,n. the 9th letter of the Greek alphabet
irascible,"s quickly aroused to anger
s characterized by anger"
ire,"n a strong emotion; a feeling that is oriented toward some real or supposed grievance
n belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
iridescent,s. having a play of lustrous rainbow colors
irksome,s so lacking in interest as to cause mental weariness
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
irrational,"a. not consistent with or using reason
a. real but not expressible as the quotient of two integers"
irremediable,a. impossible to remedy or correct or redress
irreverent,a. showing lack of due respect or veneration
irrevocable,a. incapable of being retracted or revoked
itinerant,"n. a laborer who moves from place to place as demanded by employment
s. traveling from place to place to work"
jabber,n. rapid and indistinct speech
jaded,"s. exhausted
s. dulled by surfeit"
jargon,n. specialized technical terminology characteristic of a particular subject
jaundiced,"s. affected by jaundice which causes yellowing of skin etc
s. showing or affected by prejudice or envy or distaste"
jeopardize,"v pose a threat to; present a danger to
v put at risk"
jettison,"v. throw away, of something encumbering
v. throw as from an airplane"
jocular,"s characterized by jokes and good humor
r with humor"
jollity,n. feeling jolly and jovial and full of good humor
jostle,"n. the act of jostling (forcing your way by pushing)
v. make one's way by jostling, pushing, or shoving
v. come into rough contact with while moving"
jubilation,"n a feeling of extreme joy
n a joyful occasion for special festivities to mark some happy event
n the utterance of sounds expressing great joy"
judicious,s. marked by the exercise of good judgment or common sense in practical matters
juncture,"n. an event that occurs at a critical time
n. a crisis situation or point in time when a critical decision must be made"
junta,n a group of military officers who rule a country after seizing power
jurisprudence,n. the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do
justification,"n. something (such as a fact or circumstance) that shows an action to be reasonable or necessary
n. a statement in explanation of some action or belief
n. the act of defending or explaining or making excuses for by reasoning"
kaleidoscope,"n. a complex pattern of constantly changing colors and shapes
n. an optical toy in a tube; it produces symmetrical patterns as bits of colored glass are reflected by mirrors"
kindle,"v. catch fire
v. cause to start burning"
kindred,s. related by blood or marriage
kinetic,"a. relating to the motion of material bodies and the forces associated therewith
s. characterized by motion"
kleptomaniac,n. someone with an irrational urge to steal in the absence of an economic motive
knave,"n a deceitful and unreliable scoundrel
n one of four face cards in a deck bearing a picture of a young prince"
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
laborious,s characterized by effort to the point of exhaustion; especially physical effort
labyrinth,"n complex system of paths or tunnels in which it is easy to get lost
n a complex system of interconnecting cavities; concerned with hearing and equilibrium"
laceration,"n. a torn ragged wound
n. the act of lacerating"
lachrymose,s showing sorrow
lackadaisical,s. idle or indolent especially in a dreamy way
lackluster,"s. lacking brilliance or vitality
s. lacking luster or shine"
laconic,"s brief and to the point; effectively cut short; `yes'"""
laggard,"n someone who takes more time than necessary; someone who lags behind
s wasting time"
lament,"n. a cry of sorrow and grief
v. express grief verbally"
lampoon,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
v ridicule with satire"
languid,s lacking spirit or liveliness
lassitude,"n a state of comatose torpor (as found in sleeping sickness)
n a feeling of lack of interest or energy
n weakness characterized by a lack of vitality or energy"
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
latitude,"n. the angular distance between an imaginary line around a heavenly body parallel to its equator and the equator itself
n. freedom from normal restraints in conduct
n. an imaginary line around the Earth parallel to the equator
n. scope for freedom of e.g. action or thought; freedom from restriction"
laud,"v. praise, glorify, or honor"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
lax,"s. lacking in rigor or strictness
a. pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')
a. lacking in strength or firmness or resilience
s. emptying easily or excessively"
leaven,"n. a substance used to produce fermentation in dough or a liquid
n. an influence that works subtly to lighten or modify something"
leery,s. openly distrustful and unwilling to confide
legacy,n (law) a gift of personal property by will
legend,n. a story about mythical or supernatural beings or events
legerdemain,n an illusory feat; considered magical by naive observers
leniency,"n mercifulness as a consequence of being lenient or tolerant
n a disposition to yield to the wishes of someone
n lightening a penalty or excusing from a chore by judges or parents or teachers"
lethal,s of an instrument of certain death
lethargic,a. deficient in alertness or activity
levitate,"v. cause to rise in the air and float, as if in defiance of gravity
v. be suspended in the air, as if in defiance of gravity"
levity,"n. feeling an inappropriate lack of seriousness
n. a manner lacking seriousness"
levy,"n. a charge imposed and collected
n. the act of drafting into military service
v. impose and collect"
lewd,s. suggestive of or tending to moral looseness
lexicographer,n. a compiler or writer of a dictionary; a student of the lexical component of language
lexicon,"n a language user's knowledge of words
n a reference book containing an alphabetical list of words with information about them"
liaison,n. a channel for communication between groups
libel,"n. a false and malicious publication printed for the purpose of defaming a living person
n. the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks
v. print slanderous statements against"
liberator,n. someone who releases people from captivity or bondage
licentious,s. lacking moral discipline; especially sexually unrestrained
lilliputian,"n. a very small person (resembling a Lilliputian)
n. a 6-inch tall inhabitant of Lilliput in a novel by Jonathan Swift
a. tiny; relating to or characteristic of the imaginary country of Lilliput"
limber,"n. a two-wheeled horse-drawn vehicle used to pull a field gun or caisson
v. attach the limber
v. cause to become limber"
limpid,s. (of language) transparently clear; easily understandable
linchpin,n. pin inserted through an axletree to hold a wheel on
lineage,n. the descendants of one individual
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
linguistic,"a. consisting of or related to language
a. of or relating to the scientific study of language"
liniment,n. a medicinal liquid that is rubbed into the skin to relieve muscular stiffness and pain
lionize,v. assign great social importance to
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
listless,s. lacking zest or vivacity
litany,"n. any long and tedious address or recital
n. a prayer consisting of a series of invocations by the priest with responses from the congregation"
lithe,s moving and bending with ease
litigation,n. a legal proceeding in a court; a judicial contest to determine and enforce legal rights
loath,s. unwillingness to do something contrary to your custom
loathe,v find repugnant
lofty,"s of high moral or intellectual value; elevated in nature or style
s of imposing height; especially standing out above others
s having or displaying great dignity or nobility"
log,"n. a segment of the trunk of a tree when stripped of branches
n. a written record of messages sent or received
n. a written record of events on a voyage (of a ship or plane)
n. measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"
loiter,v. be about
loll,"v hang loosely or laxly
v be lazy or idle"
longevity,"n. duration of service
n. the property of being long-lived"
lope,v. run easily
lout,n. an awkward stupid person
lucid,s. having a clear mind
lucrative,s. producing a sizeable profit
ludicrous,"s broadly or extravagantly humorous; resembling farce
s incongruous; inviting ridicule"
lugubrious,s. excessively mournful
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
lumber,"n. the wood of trees cut and prepared for use as building material
v. move heavily or clumsily"
luminary,n. a celebrity who is an inspiration to others
luminous,s softly bright or radiant
lunar,a. of or relating to or associated with the moon
lunge,"n. (fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward
v. make a thrusting forward movement"
lurid,"s. horrible in fierceness or savagery
s. glaringly vivid and graphic; marked by sensationalism
s. shining with an unnatural red glow as of fire seen through smoke
s. ghastly pale"
lurk,"v. lie in wait, lie in ambush, behave in a sneaky and secretive manner"
luster,"n. a quality that outshines the usual
n. a surface coating for ceramics or porcelain"
lustrous,s. brilliant
luxuriant,"s marked by complexity and richness of detail
s displaying luxury and furnishing gratification to the senses
s produced or growing in extreme abundance"
machination,n a crafty and involved plot to achieve your (usually sinister) ends
madrigal,"n. an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form
v. sing madrigals"
maelstrom,n a powerful circular current of water (usually the result of conflicting tides)
magnanimous,"s noble and generous in spirit
s generous and understanding and tolerant"
magnate,n a very wealthy or powerful businessman
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
maladroit,a. not adroit
malady,n. any unwholesome or desperate condition
malaise,n. physical discomfort (as mild sickness or depression)
malapropism,n. the unintentional misuse of a word by confusion with one that sounds similar
malcontent,n. a person who is discontented or disgusted
malediction,n the act of calling down a curse that invokes evil (and usually serves as an insult)
malefactor,n someone who has committed a crime or has been legally convicted of a crime
malevolent,s. wishing or appearing to wish evil to others; arising from intense ill will or hatred
malfeasance,n. wrongful conduct by a public official
malicious,a. having the nature of or resulting from malice
malign,a. evil or harmful in nature or influence
malignant,a. dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)
malingerer,n. someone shirking their duty by feigning illness or incapacity
malleable,"s easily influenced
s capable of being shaped or bent or drawn out"
mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
mammoth,n. any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
manifesto,n. a public declaration of intentions (as issued by a political party or government)
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
mannered,s. having unnatural mannerisms
marital,a. of or relating to the state of marriage
maritime,s. bordering on or living or characteristic of those near the sea
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
martinet,n. someone who demands exact conformity to rules and forms
martyr,"n. one who suffers for the sake of principle
n. one who voluntarily suffers death as the penalty for refusing to renounce their religion
v. kill as a martyr
v. torture and torment like a martyr"
masochist,n. someone who obtains pleasure from receiving punishment
material,"n. the tangible substance that goes into the makeup of a physical object
n. information (data or ideas or observations) that can be used or reworked into a finished form
n. things needed for doing or making something
n. a person judged suitable for admission or employment"
materialism,"n. a desire for wealth and material possessions with little interest in ethical or spiritual matters
n. (philosophy) the philosophical theory that matter is the only reality"
maternal,"a. characteristic of a mother
a. relating to or derived from one's mother"
maudlin,s effusively or insincerely emotional
maul,"n. a heavy long-handled hammer used to drive stakes or wedges
v. split (wood) with a maul and wedges
v. injure badly by beating"
maverick,"n. someone who exhibits great independence in thought and action
n. an unbranded range animal (especially a stray calf); belongs to the first person who puts a brand on it"
mawkish,s effusively or insincerely emotional
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
meager,a. deficient in amount or quality or extent
meander,"n. a bend or curve, as in a stream or river"
meddlesome,s intrusive in a meddling or offensive manner
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
meditation,"n. continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature
n. (religion) contemplation of spiritual matters (usually on religious or philosophical subjects)"
medley,n. a musical composition consisting of a series of songs or other musical pieces from various sources
meek,"s. humble in spirit or manner; suggesting retiring mildness or even cowed submissiveness
s. very docile
s. evidencing little spirit or courage; overly submissive or compliant"
melancholy,"n. a feeling of thoughtful sadness
n. a constitutional tendency to be gloomy and depressed
s. characterized by or causing or expressing sadness"
mellifluous,s pleasing to the ear
membrane,"n. a thin pliable sheet of material
n. a pliable sheet of tissue that covers or lines or connects the organs or cells of animals or plants"
memento,n. a reminder of past events
menagerie,"n. a collection of live animals for study or display
n. the facility where wild animals are housed for exhibition"
mendacious,"s. given to lying
s. intentionally untrue"
mendicant,s. practicing beggary
menial,n. a domestic servant
mentor,"n. a wise and trusted guide and advisor
v. serve as a teacher or trusted counselor"
mercenary,"n. a person hired to fight for another country than their own
s. serving for wages in a foreign army"
mercurial,"a. relating to or under the (astrological) influence of the planet Mercury
a. relating to or having characteristics (eloquence, shrewdness, swiftness, thievishness) attributed to the god Mercury
a. relating to or containing or caused by mercury"
merger,"n the combination of two or more commercial companies
n an occurrence that involves the production of a union"
mesmerize,"v attract strongly, as if with a magnet
v induce hypnosis in"
metallurgical,a. of or relating to metallurgy
metamorphosis,"n. the marked and rapid transformation of a larva into an adult that occurs in some animals
n. a complete change of physical form or substance especially as by magic or witchcraft"
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
metaphysical,"a. pertaining to or of the nature of metaphysics
s. without material form or substance
s. highly abstract and overly theoretical"
methodical,s. characterized by method and orderliness
meticulous,"s. marked by precise accordance with details
s. marked by extreme care in treatment of details"
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
mettle,n the courage to carry on
miasma,"n. an unwholesome atmosphere
n. unhealthy vapors rising from the ground or other sources"
microcosm,n. a miniature model of something
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
migratory,a. used of animals that move seasonally
milieu,n. the environmental condition
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
mimicry,n. the resemblance of an animal species to another species or to natural objects; provides concealment and protection from predators
mincing,"v make less severe or harsh
v walk daintily
v cut into small pieces
s affectedly dainty or refined"
minuscule,"n. a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts
a. of or relating to a small cursive script developed from uncial; 7th to 9th centuries
s. very small"
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
minutiae,n a small or minor detail
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
mire,"n. a soft wet area of low-lying land that sinks underfoot
n. a difficulty or embarrassment that is hard to extricate yourself from
v. cause to get stuck as if in a mire"
mirth,n great merriment
misanthrope,n. someone who dislikes people in general
misapprehension,n an understanding of something that is not correct
miscellany,"n a collection containing a variety of sorts of things
n an anthology of short literary pieces and poems and ballads etc."
mischance,"n an unpredictable outcome that is unfortunate
n an instance of misfortune"
misconception,n. an incorrect conception
misconstrue,v. interpret in the wrong way
misdemeanor,n. a crime less serious than a felony
miserly,s (used of persons or behavior) characterized by or indicative of lack of generosity
misgiving,n. doubt about someone's honesty
mishap,n. an instance of misfortune
misnomer,n. an incorrect or unsuitable name
misrepresent,v. represent falsely
missile,n. a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
mock,"n. the act of mocking or ridiculing
v. treat with contempt
v. imitate with mockery and derision
s. constituting a copy or imitation of something"
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
modicum,n. a small or moderate or token amount
modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
mollify,v. make less rigid or softer
momentous,s. of very great significance
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
monarchy,n. an autocracy governed by a monarch who usually inherits the authority
monolithic,s. characterized by massiveness and rigidity and total uniformity
montage,n a paste-up made by sticking together pieces of paper or photographs to form an artistic image
monumental,"a. relating or belonging to or serving as a monument
s. of outstanding significance"
moodiness,"n. a sullen gloomy feeling
n. having temperamental and changeable moods"
moratorium,"n. a legally authorized postponement before some obligation must be discharged
n. suspension of an ongoing activity"
morbid,s. suggesting an unhealthy mental state
morose,s showing a brooding ill humor
mortify,"v. practice self-denial of one's body and appetites
v. hold within limits and control"
