abase,v cause to feel shame; hurt the pride of
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
acquittal,n. a judgment of not guilty
acrid,"s strong and sharp
s harsh or corrosive in tone"
acrimonious,s. marked by strong resentment or cynicism
acrophobia,n. a morbid fear of great heights
actuarial,a. of or relating to the work of an actuary
actuate,"v put in motion or move to act
v give an incentive for action"
acuity,n. sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart)
acumen,n. a tapering point
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
adage,n a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
adapt,"v. make fit for, or change to suit a new purpose"
addendum,n. textual matter that is added onto a publication; usually at the end
addiction,"n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n. an abnormally strong craving
n. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master"
addle,"v. mix up or confuse
v. become rotten"
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
adept,s. having or showing knowledge and skill and aptitude
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adherent,s. sticking fast
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
admonish,v. take to task
admonition,"n. cautionary advice about something imminent (especially imminent danger or other unpleasantness)
n. a firm rebuke"
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
adroit,a. quick or skillful or adept in action or thought
adulation,n. servile flattery; exaggerated and hypocritical praise
adulterate,s. mixed with impurities
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
adventitious,s. associated by chance and not an integral part
adversary,n. someone who offers opposition
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
advocacy,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
aerie,"n. the lofty nest of a bird of prey (such as a hawk or eagle)
n. any habitation at a high altitude"
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
affable,s. diffusing warmth and friendliness
affected,"a. acted upon; influenced
a. speaking or behaving in an artificial way to make an impression"
affidavit,n. written declaration made under oath; a written statement sworn to be true before someone legally authorized to administer an oath
affiliation,"n. a social or business relationship
n. the act of becoming formally connected or joined"
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
affirmation,"n. the act of affirming or asserting or stating something
n. (religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)
n. a judgment by a higher court that the judgment of a lower court was correct and should stand"
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
affliction,"n. a state of great suffering and distress due to adversity
n. a condition of suffering or distress due to ill health
n. a cause of great suffering and distress"
affluence,n. abundant wealth
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
agglomeration,"n. a jumbled collection or mass
n. the act of collecting in a mass; the act of agglomerating"
aggrandize,v add details to
astute,s. marked by practical hardheaded intelligence
aghast,"s. struck with fear, dread, or consternation"
agility,n. the gracefulness of a person or animal that is quick and nimble
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agnostic,"n. someone who is doubtful or noncommittal about something
n. a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
a. of or pertaining to an agnostic or agnosticism"
agrarian,s. relating to rural matters
alacrity,n. liveliness and eagerness
alchemy,n. a pseudoscientific forerunner of chemistry in medieval times
alcove,n. a small recess opening off a larger room
alias,"n. a name that has been assumed temporarily
r. as known or named at another time or place"
alienate,v. make withdrawn or isolated or emotionally dissociated
alimentary,s. of or providing nourishment
alimony,n. court-ordered support paid by one spouse to another after they are separated
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
allege,v. report or maintain
allegiance,n. the loyalty that citizens owe to their country (or subjects to their sovereign)
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
alleviate,"v provide physical relief, as from pain
v make easier"
alliteration,n. use of the same consonant at the beginning of each stressed syllable in a line of verse
allocate,v. distribute according to a plan or set apart for a special purpose
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
allude,v. make a more or less disguised reference to
allure,n. the power to entice or attract through personal charm
allusion,n. passing reference or indirect mention
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
aloof,"s. remote in manner
r. in an aloof manner"
altercation,n noisy quarrel
altruistic,a. showing unselfish concern for the welfare of others
amalgamate,s. joined together into a whole
amass,"v collect or gather
v get or gather together"
ambidextrous,"a. equally skillful with each hand
s. marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another"
ambience,"n a particular environment or surrounding influence
n the atmosphere of an environment"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambivalence,n. mixed feelings or emotions
ambulatory,"n. a covered walkway (as in a cloister)
a. relating to or adapted for walking"
ameliorate,"v to make better
v get better"
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amend,v. make amendments to
amenities,"n things that make you comfortable and at ease
n pleasantness resulting from agreeable conditions"
amiable,s. disposed to please
amicable,a. characterized by friendship and good will
amiss,"s. not functioning properly
r. in an improper or mistaken or unfortunate manner"
amity,"n. a cordial disposition
n. a state of friendship and cordiality"
amnesty,"n. a period during which offenders are exempt from punishment
n. the formal act of liberating someone
v. grant a pardon to (a group of people)"
amoral,none
amorous,"s inclined toward or displaying love
s expressive of or exciting sexual love or romance"
amorphous,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form"
amphibian,"n. a flat-bottomed motor vehicle that can travel on land or water
n. an airplane designed to take off and land on water
n. cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form"
amphitheater,"n. a sloping gallery with seats for spectators (as in an operating room or theater)
n. an oval large stadium with tiers of seats; an arena in which contests and spectacles are held"
amplify,v. increase the volume of
amulet,n. a trinket or piece of jewelry usually hung about the neck and thought to be a magical protection against evil or disease
anachronistic,s chronologically misplaced
analgesic,"n. a medicine used to relieve pain
s. capable of relieving pain"
analogous,"s. similar or equivalent in some respects though otherwise dissimilar
a. corresponding in function but not in evolutionary origin"
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
anarchist,n. an advocate of anarchism
anathema,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication"
ancestry,n. inherited properties shared with others of your bloodline
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
ancillary,s furnishing added support
anecdote,n. short account of an incident (especially a biographical one)
anemia,"n. a deficiency of red blood cells
n. a lack of vitality
n. genus of terrestrial or lithophytic ferns having pinnatifid fronds; chiefly of tropical America"
anesthetic,"n. a drug that causes temporary loss of bodily sensations
s. characterized by insensibility"
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
angular,"a. measured by an angle or by the rate of change of an angle
a. having angles or an angular shape"
animated,"a. having life or vigor or spirit
s. made to appear to move as living creatures do"
animosity,n. a feeling of ill will arousing active hostility
animus,n a feeling of ill will arousing active hostility
annals,"n. reports of the work of a society or learned body etc
n. a chronological account of events in successive years"
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
annihilate,v kill in large numbers
annotate,v. add explanatory notes to or supply with critical comments
annuity,n. income from capital investment paid in a series of regular payments
annul,"v declare invalid
v cancel officially"
anoint,"v. choose by or as if by divine intervention
v. administer an oil or ointment to; often in a religious ceremony of blessing"
anomalous,s. deviating from the general or common order or type
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
anonymity,n. the state of being anonymous
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
antagonism,"n. the relation between opposing principles or forces or factors
n. an actively expressed feeling of dislike and hostility
n. (biochemistry) interference in or inhibition of the physiological action of a chemical substance by another having a similar structure"
antecede,v be earlier in time; go back further
antecedent,"n. a preceding occurrence or cause or event
n. anything that precedes something similar in time
n. the referent of an anaphor; a phrase or clause that is referred to by an anaphoric pronoun"
antediluvian,"n. any of the early patriarchs who lived prior to the Noachian deluge
a. of or relating to the period before the biblical flood
s. so extremely old as seeming to belong to an earlier period"
anthem,n. a song of devotion or loyalty (as to a nation or school)
anthology,n. a collection of selected literary passages
anthropocentric,a. human-centered
anthropoid,"n. person who resembles a nonhuman primate
n. any member of the suborder Anthropoidea including monkeys and apes and hominids
s. resembling apes"
anthropologist,n. a social scientist who specializes in anthropology
anthropomorphic,s. suggesting human characteristics for animals or inanimate things
anticlimax,"n. a disappointing decline after a previous rise
n. a change from a serious subject to a disappointing one"
antidote,n. a remedy that stops or controls the effects of a poison
antipathy,"n. a feeling of intense dislike
n. the object of a feeling of intense aversion; something to be avoided"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
antiseptic,"n. a substance that destroys micro-organisms that carry disease without harming body tissues
a. thoroughly clean and free of or destructive to disease-causing organisms
s. clean and honest
s. freeing from error or corruption"
antithesis,"n. exact opposite
n. the juxtaposition of contrasting words or ideas to give a feeling of balance"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
aperture,"n. a device that controls amount of light admitted
n. a natural opening in something
n. an man-made opening; usually small"
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
aphasia,n. inability to use or understand language (spoken or written) because of a brain lesion
aphorism,n. a short pithy instructive saying
apiary,n. a shed containing a number of beehives
aplomb,n. great coolness and composure under strain
apocalyptic,"s. prophetic of devastation or ultimate doom
a. of or relating to an apocalypse"
apocryphal,"s. being of questionable authenticity
a. of or belonging to the Apocrypha"
apogee,"n. a final climactic stage
n. apoapsis in Earth orbit; the point in its orbit where a satellite is at the greatest distance from the Earth"
apolitical,s. politically neutral
apologist,n. a person who argues to defend or justify some policy or institution
apotheosis,"n model of excellence or perfection of a kind; one having no equal
n the elevation of a person (as to the status of a god)"
appall,"v strike with disgust or revulsion
v fill with apprehension or alarm; cause to be unpleasantly surprised"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
apparition,"n. a ghostly appearing figure
n. the appearance of a ghostlike figure
n. something existing in perception only"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
appellation,n. identifying word or words by which someone or something is called and classified or distinguished from others
append,"v. add to the very end
v. fix to; attach"
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
apposite,s. being of striking appropriateness and pertinence
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
apprehend,v. anticipate with dread or anxiety
apprenticeship,n. the position of apprentice
apprise,"v inform (somebody) of something
v make aware of
v gain in value
v increase the value of"
approbation,"n. official approval
n. official recognition or approval"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
apropos,a. of an appropriate or pertinent nature
aptitude,n. inherent ability
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
aquiline,s. curved down like an eagle's beak
arable,s. (of farmland) capable of being farmed productively
arbiter,"n. someone with the power to settle matters at will
n. someone chosen to judge and decide a disputed issue"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arbitrator,n someone chosen to judge and decide a disputed issue
arboretum,n. a facility where trees and shrubs are cultivated for exhibition
arcade,"n. a covered passageway with shops and stalls on either side
n. a structure composed of a series of arches supported by columns"
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
archaic,s. little evolved from or characteristic of an earlier ancestral type
archetype,n something that serves as a model or a basis for making copies
archipelago,n. a group of many islands in a large body of water
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
aria,n. an elaborate song for solo voice
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
aristocracy,"n a privileged class holding hereditary titles
n the most powerful members of a society"
armada,n. a large fleet
aromatic,"a. (chemistry) of or relating to or containing one or more benzene rings
s. having a strong pleasant odor"
arousal,"n. the act of arousing
n. a state of heightened physiological activity
n. awakening from sleep"
arraign,"v. call before a court to answer an indictment
v. accuse of a wrong or an inadequacy"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
arrears,"n. the state of being behind in payments
n. an unpaid overdue debt"
arrest,n. the state of inactivity following an interruption
arrogance,n. overbearing pride evidenced by a superior manner toward inferiors
arroyo,n. a stream or brook
arsenal,"n. all the weapons and equipment that a country has
n. a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
artifact,n. a man-made object taken as a whole
artifice,n a deceptive maneuver (especially to avoid capture)
artisan,n a skilled worker who practices some trade or handicraft
artless,"a. simple and natural; without cunning or deceit
s. showing lack of art
s. (of persons) lacking art or knowledge"
ascendancy,n the state that exists when one person or group has power over another
ascertain,v. learn or discover with certainty
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
aseptic,s. free of or using methods to keep free of pathological microorganisms
ashen,"s. anemic looking from illness or emotion
s. made of wood of the ash tree"
asinine,s. devoid of intelligence
askance,"s. (used especially of glances) directed to one side with or as if with doubt or suspicion or envy
r. with suspicion or disapproval
r. with a side or oblique glance"
askew,"s. turned or twisted toward one side
r. turned or twisted to one side"
asperity,"n. something hard to endure
n. harshness of manner"
aspirant,"n. an ambitious and aspiring young person
s. desiring or striving for recognition or advancement"
assail,v. attack someone physically or emotionally
assay,"n. an appraisal of the state of affairs
n. a substance that is undergoing an analysis of its components
n. a written report of the results of an analysis of the composition of some substance"
asymmetric,a characterized by asymmetry in the spatial arrangement or placement of parts or components
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
assessment,"n. an amount determined as payable
n. the market value set on assets"
assiduous,s. marked by care and persistent effort
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
assuage,"v cause to be more favorably inclined; gain the good will of
v satisfy (thirst)
v provide physical relief, as from pain"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
asteroid,"n. any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)
s. shaped like a star"
astigmatism,"n. (ophthalmology) impaired eyesight resulting usually from irregular conformation of the cornea; common in nearsighted people
n. (optics) defect in an optical system in which light rays from a single point fail to converge in a single focal point"
attentive,a. (often followed by `to') giving care or attention
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
atypical,"a. not representative of a group, class, or type
s. deviating from normal expectations; somewhat odd, strange, or abnormal"
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
audit,"n. a methodical examination or review of a condition or situation
v. examine carefully for accuracy with the intent of verification
v. attend academic courses without getting credit"
auditory,a. of or relating to the process of hearing
augment,"v. enlarge or increase
v. grow or intensify"
augury,n. an event that is experienced as indicating important things to come
august,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
auroral,"a. of or relating to the atmospheric phenomenon auroras
a. characteristic of the dawn"
auspicious,a. auguring favorable circumstances and good luck
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
authenticate,v. establish the authenticity of something
authoritarian,"n. a person who behaves in a tyrannical manner
s. characteristic of an absolute ruler or absolute rule; having absolute sovereignty
s. expecting unquestioning obedience"
authoritative,"s. having authority or ascendancy or influence
s. of recognized authority or excellence
s. sanctioned by established authority"
autocratic,s. offensively self-assured or given to exercising usually unwarranted power
automaton,"n. someone who acts or responds in a mechanical or apathetic way
n. a mechanism that can move automatically"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
autopsy,"n. an examination and dissection of a dead body to determine cause of death or the changes produced by disease
v. perform an autopsy on a dead body; do a post-mortem"
auxiliary,s. functioning in a supporting capacity
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
avarice,"n. reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
n. extreme greed for material wealth"
avenge,v take revenge for a perceived wrong
averse,s (usually followed by `to') strongly opposed
aversion,n. the act of turning yourself (or your gaze) away
avert,v. turn away or aside
aviary,n. a building where birds are kept
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
avocation,n. an auxiliary activity
avow,v. admit openly and bluntly; make no bones about
avuncular,"a. resembling a uncle in kindness or indulgence
a. being or relating to an uncle"
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
axiom,n. (logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident
babble,"n. gibberish resembling the sounds of a baby
v. utter meaningless sounds, like a baby, or utter in an incoherent way
v. to talk foolishly"
bacchanalian,s. used of riotously drunken merrymaking
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
badinage,n. frivolous banter
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
baleful,"s. deadly or sinister
s. threatening or foreshadowing evil or tragic developments"
balk,"n. the area on a billiard table behind the balkline
n. an illegal pitching motion while runners are on base"
ballast,"n. any heavy material used to stabilize a ship or airship
n. coarse gravel laid to form a bed for streets and railroads
n. an attribute that tends to give stability in character and morals; something that steadies the mind or feelings
n. an electrical device for starting and regulating fluorescent and discharge lamps"
balm,n. any of various aromatic resinous substances used for healing and soothing
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
banal,s. repeated too often; overfamiliar through overuse
bane,n. something causing misery or death
bantering,s. cleverly amusing in tone
barb,"n. the pointed part of barbed wire
n. a subsidiary point facing opposite from the main point that makes an arrowhead or spear hard to remove
n. one of the parallel filaments projecting from the main shaft of a feather"
bard,"n. a lyric poet
n. an ornamental caparison for a horse"
barrage,"n. the rapid and continuous delivery of linguistic communication (spoken or written)
n. the heavy fire of artillery to saturate an area rather than hit a specific target"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
barricade,"n. a barrier (usually thrown up hastily) to impede the advance of an enemy
v. render unsuitable for passage
v. prevent access to by barricading
v. block off with barricades"
barterer,n. a trader who exchanges goods and not money
bask,v. be exposed
bastion,"n. a group that defends a principle
n. a stronghold into which people could go for shelter during a battle
n. projecting part of a rampart or other fortification"
bate,"v. moderate or restrain; lessen the force of
v. flap the wings wildly or frantically; used of falcons
v. soak in a special solution to soften and remove chemicals used in previous treatments"
bauble,n. a mock scepter carried by a court jester
bawdy,s. humorously vulgar
beatific,s. experiencing or bestowing celestial joy
beatitude,n. one of the eight sayings of Jesus at the beginning of the Sermon on the Mount; in Latin each saying begins with `beatus' (blessed)
bedizen,"v. decorate tastelessly
v. dress up garishly and tastelessly"
bedraggle,"v. make wet and dirty, as from rain"
beeline,n. the most direct route
befuddle,v. make stupid with alcohol
beget,v. make children
begrudge,v. wish ill or allow unwillingly
beguile,"v influence by slyness
v attract; cause to be enamored"
behemoth,"n someone or something that is abnormally large and powerful
n a person of exceptional importance and reputation"
belabor,"v. to work at or to absurd length
v. attack verbally with harsh criticism"
belated,s. after the expected or usual time; delayed
beleaguer,"v annoy persistently
v surround so as to force to give up"
belie,"v be in contradiction with
v represent falsely"
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
bellicose,s having or showing a ready disposition to fight
belligerent,s. engaged in war
bemoan,v regret strongly
bemused,s. deeply absorbed in thought
benediction,n. a ceremonial prayer invoking divine protection
benefactor,n. a person who helps people or institutions (especially with financial help)
beneficial,s. promoting or enhancing well-being
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bequeath,v. leave or give by will after one's death
berate,v censure severely or angrily
bereft,s. unhappy in love; suffering from unrequited love
berserk,"n one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury
s frenzied as if possessed by a demon"
beseech,v ask for or request earnestly
beset,"v. assail or attack on all sides: ""The zebra was beset by leopards"""
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
besmirch,"v charge falsely or with malicious intent; attack the good name and reputation of someone
v smear so as to make dirty or stained"
bestial,s resembling a beast; showing lack of human sensibility
bestow,v. give as a gift
betoken,"v be a signal for or a symptom of
v indicate by signs"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
bevy,"n. a large gathering of people of a particular type
n. a flock of birds (especially when gathered close together on the ground)"
biased,s. favoring one person or side over another
bicameral,"a. composed of two legislative bodies
s. consisting of two chambers"
bicker,n. a quarrel about petty points
biennial,"n. (botany) a plant having a life cycle that normally takes two seasons from germination to death to complete; flowering biennials usually bloom and fruit in the second season
a. having a life cycle lasting two seasons
s. occurring every second year"
bigotry,n. the intolerance and prejudice of a bigot
