a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
ball,"n. round object that is hit or thrown or kicked in games
n. an object with a spherical shape
n. the people assembled at a lavish formal dance
n. a spherical object used as a plaything"
banana,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh"
basketball,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball"
be,"v. have the quality of being; (copula, used with an adjective or a predicate noun)
v. be identical to; be someone or something
v. occupy a certain position or area; be somewhere
v. happen, occur, take place; this was during the visit to my parents' house"""
am,"n a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms
n a master's degree in arts and sciences
n modulation of the amplitude of the (radio) carrier wave
v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
is,"v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
are,n. a unit of surface area equal to 100 square meters
bear,"n. massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n. an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price
v. have
v. move while holding up or supporting"
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
before,"r earlier in time; previously
r at or in the front"
begin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
v. have a beginning, in a temporal, spatial, or evaluative sense
v. set in motion, cause to start
v. begin to speak or say"
behind,"s. having the lower score or lagging position in a contest
r. in or to or toward the rear
r. remaining in a place or condition that has been left or departed from
r. of timepieces"
beside,"n. At the side of; on one side of.
n. Aside from; out of the regular course or order of; in a
   state of deviation from; out of.
n. Over and above; distinct from; in addition to.
adv. On one side.
adv. More than that; over and above; not included in the
   number, or in what has been mentioned; moreover; in addition."
between,"r. in the interval
r. in between"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
bike,"n a motor vehicle with two wheels and a strong frame
n a wheeled vehicle that has two wheels and is moved by foot pedals
v ride a bicycle"
bicycle,"n. a wheeled vehicle that has two wheels and is moved by foot pedals
v. ride a bicycle"
bird,"n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n. the flesh of a bird or fowl (wild or domestic) used as food
v. watch and study birds in their natural habitat"
birthday,"n. an anniversary of the day on which a person was born (or the celebration of it)
n. the date on which a person was born"
black,"n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
n. popular child actress of the 1930's (born in 1928)
n. a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
blackboard,n. sheet of slate; for writing with chalk
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
boat,"n. a small vessel for travel on water
v. ride in a boat on water"
body,"n. the entire structure of an organism (an animal, plant, or human being)
n. a group of persons associated by some common tie or occupation and regarded as an entity
n. a natural object consisting of a dead animal or person
n. an individual 3-dimensional object that has mass and that is distinguishable from other objects"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
box,"n. a (usually rectangular) container; may have a lid
n. private area in a theater or grandstand where a small group can watch the performance
n. the quantity contained in a box
n. a rectangular drawing"
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
breakfast,"n. the first meal of the day (usually in the morning)
v. eat an early morning meal
v. provide breakfast for"
bring,"v. take something or somebody with oneself somewhere
v. cause to come into a particular state or condition
v. cause to happen or to occur as a consequence
v. go or come after and bring or take back"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
brown,"n. an orange of low brightness and saturation
n. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)
n. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
v. fry in a pan until it changes color"
bus,"n. a vehicle carrying many passengers; used for public transport
n. a car that is old and unreliable
v. send or move around by bus
v. ride in a bus"
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
but,r and nothing more
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
by,r. so as to pass a given point
cake,"n. a block of solid substance (such as soap or wax)
n. baked goods made from or based on a mixture of flour, sugar, eggs, and fat"
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
can,"n. airtight sealed metal container for food or drink or paint etc.
n. the quantity contained in a can
n. a buoy with a round bottom and conical top
v. preserve in a can or tin"
candy,n. a rich sweet made of flavored sugar and often combined with fruit or nuts
cap,"n. a tight-fitting headdress
n. a top (as for a bottle)
n. something serving as a cover or protection
n. a fruiting structure resembling an umbrella or a cone that forms the top of a stalked fleshy fungus such as a mushroom"
car,"n. a motor vehicle with four wheels; usually propelled by an internal combustion engine
n. a wheeled vehicle adapted to the rails of railroad
n. the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant
n. where passengers ride up and down"
card,"n. one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
n. a card certifying the identity of the bearer
n. a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures)
n. thin cardboard, usually rectangular"
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
chair,"n. a seat for one person, with a support for the back
n. a particular seat in an orchestra
v. act or preside as chair, as of an academic department in a university"
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
child,"n. a young person of either sex
n. a human offspring (son or daughter) of any age
n. an immature childish person
n. a member of a clan or tribe"
children,"n a young person of either sex
n a human offspring (son or daughter) of any age
n an immature childish person
n a member of a clan or tribe"
China,"n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
n. high quality porcelain originally made only in China"
Chinese,"n. any of the Sino-Tibetan languages spoken in China; regarded as dialects of a single language (even though they are mutually unintelligible) because they share an ideographic writing system
n. a native or inhabitant of Communist China or of Nationalist China
a. of or pertaining to China or its peoples or cultures"
cinema,n. a theater where films are shown
city,"n. a large and densely populated urban area; may include several independent administrative districts
n. an incorporated administrative district established by state charter
n. people living in a large densely populated municipality"
class,"n. a collection of things sharing a common attribute
n. a body of students who are taught together
n. people having the same social, economic, or educational status
n. a league ranked by quality"
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
clever,s. showing inventiveness and skill
clock,"n. a timepiece that shows the time of day
v. measure the time or duration of an event or action or the person who performs an action in a certain period of time"
close,"v. move so that an opening or passage is obstructed; make shut
v. become closed
v. finish or terminate (meetings, speeches, etc.)
v. complete a business deal, negotiation, or an agreement"
clothes,"n clothing in general
v provide with clothes or put clothes on
v furnish with power or authority; of kings or emperors
v cover as if with clothing"
cloudy,"s. lacking definite form or limits
a. full of or covered with clouds
s. (of liquids) clouded as with sediment"
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
colour,"n any material used for its color
n a race with skin pigmentation different from the white race (especially Blacks)
n (physics) the characteristic of quarks that determines their role in the strong interaction
n interest and variety and intensity
n the timbre of a musical sound
n a visual attribute of things that results from the light they emit or transmit or reflect
n an outward or token appearance or form that is deliberately misleading
n the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation
v modify or bias
v decorate with colors
v give a deceptive explanation or excuse for
v affect as in thought or feeling
v add color to
v change color, often in an undesired manner
a having or capable of producing colors"
color,"n. a visual attribute of things that results from the light they emit or transmit or reflect
n. interest and variety and intensity
n. the timbre of a musical sound"
come,"v. move toward, travel toward something or somebody or approach something or somebody
v. come to pass; arrive, as in due course
v. reach or enter a state, relation, condition, use, or position
v. to be the product or result"
computer,n. a machine for performing calculations automatically
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
cousin,n. the child of your aunt or uncle
cow,"n. female of domestic cattle: ""`moo-cow' is a child's term""
n. mature female of mammals of which the male is called `bull'
n. a large unpleasant woman"
crayon,"n. writing implement consisting of a colored stick of composition wax used for writing and drawing
v. write, draw, or trace with a crayon"
cry,"n. a loud utterance; often in protest or opposition
n. a loud utterance of emotion (especially when inarticulate)
n. a fit of weeping
n. the characteristic utterance of an animal"
dad,n. an informal term for a father; probably derived from baby talk
dance,"n. an artistic form of nonverbal communication
n. a party of people assembled for dancing
n. a party for social dancing
v. move in a graceful and rhythmical way"
day,"n. time for Earth to make a complete rotation on its axis
n. some point or period in time
n. a day assigned to a particular purpose or observance
n. the time after sunrise and before sunset while it is light outside"
dear,"s. with or in a close or intimate relationship
s. earnest"
desk,n. a piece of furniture with a writing surface and usually drawers or other compartments
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
dinner,"n. the main meal of the day served in the evening or at midday
n. a party of people assembled to have dinner together"
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
do,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
dog,"n. a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n. informal term for a man"
door,"n. a swinging or sliding barrier that will close the entrance to a room or building or vehicle
n. anything providing a means of access (or escape)
n. a structure where people live or work (usually ordered along a street or road)
n. a room that is entered via a door"
down,"n. soft fine feathers
n. (American football) a complete play to advance the football
n. English physician who first described Down's syndrome (1828-1896)
n. (usually plural) a rolling treeless highland with little soil"
draw,"n. a gully that is shallower than a ravine
n. the finish of a contest in which the score is tied and the winner is undecided
n. anything (straws or pebbles etc.) taken or chosen at random
n. a playing card or cards dealt or taken from the pack"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
drink,"n. a single serving of a beverage
n. the act of drinking alcoholic beverages to excess
n. any large deep body of water
v. take in liquids"
driver,"n. the operator of a motor vehicle
n. someone who drives animals that pull a vehicle
n. a golfer who hits the golf ball with a driver
n. (computer science) a program that determines how a computer will communicate with a peripheral device"
duck,"n. small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n. (cricket) a score of nothing by a batsman
n. flesh of a duck (domestic or wild)
n. a heavy cotton fabric of plain weave; used for clothing and tents"
ear,"n. the sense organ for hearing and equilibrium
n. good hearing
n. attention to what is said
n. fruiting spike of a cereal plant especially corn"
early,"a. at or near the beginning of a period of time or course of events or before the usual or expected time
a. being or occurring at an early stage of development
s. belonging to the distant past
s. very young"
easy,"a. posing no difficulty; requiring little effort
s. not hurried or forced
a. free from worry or anxiety
s. affording pleasure"
eat,"v. take in solid food
v. eat a meal; take a meal
v. worry or cause anxiety in a persistent way"
egg,"n. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
n. oval reproductive body of a fowl (especially a hen) used as food
v. throw eggs at
v. coat with beaten egg"
elephant,"n. five-toed pachyderm
n. the symbol of the Republican Party; introduced in cartoons by Thomas Nast in 1874"
email,"n (computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
v communicate electronically on the computer"
English,"n. an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most of the commonwealth countries
n. the people of England
n. the discipline that studies the English language and literature"
evening,"n. the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n. a later concluding time period
n. the early part of night (from dinner until bedtime) spent in a special way"
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
exercise,"n. the activity of exerting your muscles in various ways to keep fit
n. systematic training by multiple repetitions
n. a task performed or problem solved in order to develop skill or understanding
n. (usually plural) a ceremony that involves processions and speeches"
eye,"n. the organ of sight
n. good discernment (either visually or as if visually)
n. attention to what is seen
n. a small hole or loop (as in a needle)"
face,"n. the front of the human head from the forehead to the chin and ear to ear
n. the general outward appearance of something
n. the striking or working surface of an implement
n. a part of a person that is used to refer to a person"
family,"n. a social unit living together
n. primary social group; parents and children
n. people descended from a common ancestor
n. (biology) a taxonomic group containing one or more genera"
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
far,"a. located at a great distance in time or space or degree
s. being of a considerable distance or length
s. being the animal or vehicle on the right or being on the right side of an animal or vehicle
s. beyond a norm in opinion or actions"
farm,"n. workplace consisting of farm buildings and cultivated land as a unit
v. be a farmer; work as a farmer
v. collect fees or profits"
farmer,"n. a person who operates a farm
n. United States civil rights leader who in 1942 founded the Congress of Racial Equality (born in 1920)
n. an expert on cooking whose cookbook has undergone many editions (1857-1915)"
fast,"n. abstaining from food
v. abstain from certain foods, as for religious or medical reasons
v. abstain from eating
a. acting or moving or capable of acting or moving quickly"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
favourite,"n a competitor thought likely to win
n a special loved one
n something regarded with special favor or liking
s appealing to the general public
s preferred above all others and treated with partiality"
favorite,"n. something regarded with special favor or liking
s. appealing to the general public"
feel,"n. an intuitive awareness; 
n. manual stimulation of the genital area for sexual pleasure
v. undergo an emotional sensation or be in a particular state of mind
v. perceive by a physical sensation, e.g., coming from the skin or muscles"
film,"n. a medium that disseminates moving pictures
n. photographic material consisting of a base of celluloid covered with a photographic emulsion; used to make negatives or transparencies
n. a thin coating or layer
n. a thin sheet of (usually plastic and usually transparent) material used to wrap or cover things"
find,"v. come upon, as if by accident; meet with
v. come upon after searching; find the location of something that was missed or lost
v. come to believe on the basis of emotion, intuitions, or indefinite grounds
v. obtain through effort or management"
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
floor,"n. the inside lower horizontal surface (as of a room, hallway, tent, or other structure)
n. a structure consisting of a room or set of rooms at a single position along a vertical scale
n. a lower limit
n. the ground on which people and animals move about"
flower,"n. a plant cultivated for its blooms or blossoms
n. reproductive organ of angiosperm plants especially one having showy or colorful parts
n. the period of greatest prosperity or productivity"
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
food,"n. any substance that can be metabolized by an animal to give energy and build tissue
n. any solid substance (as opposed to liquid) that is used as a source of nourishment
n. anything that provides mental stimulus for thinking"
foot,"n. the part of the leg of a human being below the ankle joint
n. a linear unit of length equal to 12 inches or a third of a yard
n. the lower part of anything
n. any of various organs of locomotion or attachment in invertebrates"
feet,"n the part of the leg of a human being below the ankle joint
n a linear unit of length equal to 12 inches or a third of a yard
n the lower part of anything
n the pedal extremity of vertebrates other than human beings
n lowest support of a structure
n any of various organs of locomotion or attachment in invertebrates
n travel by walking
n a member of a surveillance team who works on foot or rides as a passenger
n an army unit consisting of soldiers who fight on foot
n (prosody) a group of 2 or 3 syllables forming the basic unit of poetic rhythm
n a support resembling a pedal extremity"
football,"n. any of various games played with a ball (round or oval) in which two teams try to kick or carry or propel the ball into each other's goal
n. the inflated oblong ball used in playing American football"
for,"prep. In the most general sense, indicating that in consideration
   of, in view of, or with reference to, which anything is done or takes
   place.
prep. Indicating the antecedent cause or occasion of an action;
   the motive or inducement accompanying and prompting to an act or state;
   the reason of anything; that on account of which a thing is or is done.
prep. Indicating the remoter and indirect object of an act; the
   end or final cause with reference to which anything is, acts, serves,
   or is done.
prep. Indicating that in favor of which, or in promoting which,
   anything is, or is done; hence, in behalf of; in favor of; on the side
   of; -- opposed to against.
prep. Indicating that toward which the action of anything is
   directed, or the point toward which motion is made; /ntending to go to.
prep. Indicating that on place of or instead of which anything
   acts or serves, or that to which a substitute, an equivalent, a
   compensation, or the like, is offered or made; instead of, or place of.
prep. Indicating that in the character of or as being which
   anything is regarded or treated; to be, or as being.
prep. Indicating that instead of which something else controls in
   the performing of an action, or that in spite of which anything is
   done, occurs, or is; hence, equivalent to notwithstanding, in spite of;
   -- generally followed by all, aught, anything, etc.
prep. Indicating the space or time through which an action or
   state extends; hence, during; in or through the space or time of.
prep. Indicating that in prevention of which, or through fear of
   which, anything is done.
conj. Because; by reason that; for that; indicating, in Old
   English, the reason of anything.
conj. Since; because; introducing a reason of something before
   advanced, a cause, motive, explanation, justification, or the like, of
   an action related or a statement made. It is logically nearly
   equivalent to since, or because, but connects less closely, and is
   sometimes used as a very general introduction to something suggested by
   what has gone before.
n. One who takes, or that which is said on, the affrimative side;
   that which is said in favor of some one or something; -- the antithesis
   of against, and commonly used in connection with it."
friend,"n. a person you know well and regard with affection and trust
n. a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
from,"prep. Out of the neighborhood of; lessening or losing proximity
   to; leaving behind; by reason of; out of; by aid of; -- used whenever
   departure, setting out, commencement of action, being, state,
   occurrence, etc., or procedure, emanation, absence, separation, etc.,
   are to be expressed. It is construed with, and indicates, the point of
   space or time at which the action, state, etc., are regarded as setting
   out or beginning; also, less frequently, the source, the cause, the
   occasion, out of which anything proceeds; -- the aritithesis and
   correlative of to; as, it, is one hundred miles from Boston to
   Springfield; he took his sword from his side; light proceeds from the
   sun; separate the coarse wool from the fine; men have all sprung from
   Adam, and often go from good to bad, and from bad to worse; the merit
   of an action depends on the principle from which it proceeds; men judge
   of facts from personal knowledge, or from testimony."
fruit,"n. the ripened reproductive body of a seed plant
n. the consequence of some effort or action
v. cause to bear fruit
v. bear fruit"
game,"n. a contest with rules to determine a winner
n. a single play of a sport or other contest
n. an amusement or pastime
n. animal hunted for food or sport"
get,"n. a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
v. come into the possession of something concrete or abstract
v. cause to move; cause to be in a certain position or condition
v. succeed in catching or seizing, especially after a chase"
girl,"n. a young woman
n. a friendly informal reference to a grown woman"
give,"n. the elasticity of something that can be stretched and returns to its original length
v. cause to have, in the abstract sense or physical sense
v. transfer possession of something concrete or abstract to somebody
v. convey or reveal information"
go,"n. a time for working (after which you will be relieved by someone else)
n. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters
v. follow a procedure or take a course
v. move away from a place into another direction"
good,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified"
goodbye,n a farewell remark
bye,n. you advance to the next round in a tournament without playing an opponent
grandfather,n. the father of your father or mother
grandpa,n the father of your father or mother
grandmother,n the mother of your father or mother
grandma,n. the mother of your father or mother
grass,"n. narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n. German writer of novels and poetry and plays (born 1927)
v. shoot down, of birds
v. cover with grass"
great,"n. a person who has achieved distinction and honor in some field
s. relatively large in size or number or extent; larger than others of its kind
s. of major significance or importance
s. remarkable or out of the ordinary in degree or magnitude or effect"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
hair,"n. a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
n. filamentous hairlike growth on a plant
n. any of the cylindrical filaments characteristically growing from the epidermis of a mammal
n. a filamentous projection or process on an organism"
half,"n. one of two divisions into which some games or performances are divided: the two divisions are separated by an interval
s. consisting of one of two equivalent parts in value or quantity
s. partial
a. (of siblings) related through one parent only"
hand,"n. the (prehensile) extremity of the superior limb
n. ability
n. a position given by its location to the side of an object
n. the cards held in a card game by a given player at any given time"
happy,"a. enjoying or showing or marked by joy or pleasure
s. well expressed and to the point"
have,"v. have or possess, either in a concrete or an abstract sense
v. have as a feature
v. have a personal or business relationship with someone
v. have left"
has,"n (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day
v have or possess, either in a concrete or an abstract sense
v have as a feature
v go through (mental or physical states or experiences)
v have ownership or possession of
v cause to move; cause to be in a certain position or condition
v serve oneself to, or consume regularly
v have a personal or business relationship with someone
v organize or be responsible for
v have left
v be confronted with
v undergo
v suffer from; be ill with
v cause to do; cause to act in a specified manner
v receive willingly something given or offered
v get something; come into possession of
v undergo (as of injuries and illnesses)
v achieve a point or goal
v cause to be born
v have sex with; archaic use"
he,n. the 5th letter of the Hebrew alphabet
head,"n. the upper part of the human body or the front part of the body in animals; contains the face and brains
n. a single domestic animal
n. a person who is in charge
n. the front of a military formation or procession"
healthy,"a. having or indicating good health in body or mind; free from infirmity or disease
s. financially secure and functioning well
s. promoting health; healthful
s. exercising or showing good judgment"
hear,"v. perceive (sound) via the auditory sense
v. examine or hear (evidence or a case) by judicial process
v. receive a communication from someone"
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
hello,n. an expression of greeting
help,"v. give help or assistance; be of service
v. improve the condition of
v. be of use
v. contribute to the furtherance of"
her,"pron. & a. The form of the objective and the possessive case of
   the personal pronoun she; as, I saw her with her purse out.
pron. pl. Alt. of Here"
here,"n. the present location; this place
s. being here now
r. in or at this place; where the speaker or writer is
r. in this circumstance or respect or on this point or detail"
hi,"n an expression of greeting
n a state in the United States in the central Pacific on the Hawaiian Islands"
high,"n. a lofty level or position or degree
n. an air mass of higher than normal pressure
n. a state of sustained elation
n. a state of altered consciousness induced by alcohol or narcotics"
him,"pron. Them. See Hem.
pron. The objective case of he. See He."
his,"pron. Belonging or pertaining to him; -- used as a pronominal
   adjective or adjective pronoun; as, tell John his papers are ready;
   formerly used also for its, but this use is now obsolete.
pron. The possessive of he; as, the book is his."
holiday,n. a day on which work is suspended by law or custom
home,"n. where you live at a particular time
n. the country or state or city where you live
n. place where something began and flourished
n. an environment offering affection and security"
horse,"n. solid-hoofed herbivorous quadruped domesticated since prehistoric times
n. a padded gymnastic apparatus on legs
v. provide with a horse or horses"
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
