coda,n the closing section of a musical composition
myriad,n. a large indefinite number
ironclad,"n. a wooden warship of the 19th century that is plated with iron or steel armor
s. sheathed in iron plates for protection
s. inflexibly entrenched and unchangeable"
nomad,n. a member of a people who have no permanent home but move about according to the seasons
goad,"n. a verbalization that encourages you to attempt something
v. urge with or as if with a goad
v. stab or urge on as if with a pointed stick"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
self-absorbed,s. absorbed in your own interests or thoughts etc
barefaced,"s with no effort to conceal
s unrestrained by convention or propriety"
wrongheaded,s. obstinately perverse in judgment or opinion
levelheaded,s exercising or showing good judgment
jaded,"s. exhausted
s. dulled by surfeit"
lopsided,s. having one side lower or smaller or lighter than the other
backhanded,s. roundabout or ambiguous
ham-handed,"s lacking physical movement skills, especially with the hands"
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
secluded,"v keep away from others
s hidden from general view or use
s providing privacy or seclusion"
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
dogged,s. stubbornly unyielding
far-fetched,s. highly imaginative but unlikely
wretched,"s of very poor quality or condition
s characterized by physical misery
s very unhappy; full of misery
s morally reprehensible
s deserving or inciting pity"
polished,"a. perfected or made shiny and smooth
s. showing a high degree of refinement and the assurance that comes from wide social experience"
cherished,s. characterized by feeling or showing fond affection for
watershed,n. a ridge of land that separates two adjacent river systems
full-bodied,s. marked by richness and fullness of flavor
dignified,"a. having or expressing dignity; especially formality or stateliness in bearing or appearance
s. having or showing self-esteem"
serried,s. (especially of rows as of troops or mountains) pressed together
half-baked,s. insufficiently cooked
wicked,a. morally bad in principle or practice
dappled,s. having spots or patches of color
ingrained,"v thoroughly work in
v produce or try to produce a vivid impression of
s (used especially of ideas or principles) deeply rooted; firmly fixed or held"
thick-skinned,s. insensitive to criticism
cramped,s. constricted in size
ill-bred,s. (of persons) lacking in refinement or grace
kindred,s. related by blood or marriage
mannered,s. having unnatural mannerisms
unlettered,"s having little acquaintance with writing
s uneducated in general; lacking knowledge or sophistication"
shred,"n. a tiny or scarcely detectable amount
v. tear into shreds"
enamored,s. marked by foolish or unreasoning fondness
measured,s. the rhythmic arrangement of syllables
versed,"n an injectable form of benzodiazepine (trade name Versed) useful for sedation and for reducing pain during uncomfortable medical procedures
v compose verses or put into verse
v familiarize through thorough study or experience
s thoroughly acquainted through study or experience"
depressed,"s. lower than previously
s. flattened downward as if pressed from above or flattened along the dorsal and ventral surfaces"
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
dated,s. marked by features of the immediate and usually discounted past
variegated,"v change the appearance of, especially by marking with different colors
v make something more diverse and varied
s having a variety of colors"
corrugated,s. shaped into alternating parallel grooves and ridges
calculated,"v make a mathematical calculation or computation
v judge to be probable
v keep an account of
v predict in advance
v specifically design a product, event, or activity for a certain public
v have faith or confidence in
s carefully thought out in advance"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
disaffected,s. discontented as toward authority
merited,a. properly deserved
acquainted,s. having fair knowledge of
disjointed,"s. taken apart at the joints
s. separated at the joint"
unwonted,s. out of the ordinary
devoted,"s. zealous in devotion or affection
s. (followed by `to') dedicated exclusively to a purpose or use"
halfhearted,s. feeling or showing little interest or enthusiasm
stouthearted,s used especially of persons
concerted,s. involving the joint activity of two or more
disinterested,s. unaffected by self-interest
tightfisted,s unwilling to part with money
committed,"a. bound or obligated, as under a pledge to a particular cause, action, or attitude"
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
contrived,s. showing effects of planning or manipulation
reserved,"a. set aside for the use of a particular person or party
a. marked by self-restraint and reticence"
hackneyed,s repeated too often; overfamiliar through overuse
upbraid,v express criticism towards
rabid,a. of or infected by rabies
morbid,s. suggesting an unhealthy mental state
turbid,s (of liquids) clouded as with sediment
placid,s. (of a body of water) free from disturbance by heavy waves
flaccid,s. drooping without elasticity; wanting in stiffness
viscid,s having the sticky properties of an adhesive
lucid,s. having a clear mind
pellucid,"s transmitting light; able to be seen through with clarity
s (of language) transparently clear; easily understandable"
sordid,s. meanly avaricious and mercenary
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
turgid,"s ostentatiously lofty in style
s abnormally distended especially by fluids or gas"
squalid,"s morally degraded
s foul and run-down and repulsive"
pallid,"s abnormally deficient in color as suggesting physical or emotional distress
s (of light) lacking in intensity or brightness; dim or feeble
s lacking in vitality or interest or effectiveness"
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
stolid,s having or revealing little emotion or sensibility; not easily aroused or excited
timid,"n. people who are fearful and cautious
a. showing fear and lack of confidence"
paranoid,"n. a person afflicted with paranoia
s. suffering from paranoia"
vapid,s. lacking significance or liveliness or spirit or zest
intrepid,s invulnerable to fear or intimidation
tepid,"s moderately warm
s feeling or showing little interest or enthusiasm"
insipid,s. lacking interest or significance or impact
limpid,s. (of language) transparently clear; easily understandable
torpid,"s slow and apathetic
s in a condition of biological rest or suspended animation"
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
hybrid,"n. a composite of mixed origin
n. (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
s. produced by crossbreeding"
acrid,"s strong and sharp
s harsh or corrosive in tone"
florid,"s elaborately or excessively ornamented
s inclined to a healthy reddish color often associated with outdoor life"
torrid,"s. emotionally charged and vigorously energetic
s. extremely hot"
lurid,"s. horrible in fierceness or savagery
s. glaringly vivid and graphic; marked by sensationalism
s. shining with an unnatural red glow as of fire seen through smoke
s. ghastly pale"
fetid,s. offensively malodorous
languid,s lacking spirit or liveliness
avid,"s. (often followed by `for') ardently or excessively desirous
s. marked by active interest and enthusiasm"
fervid,"s characterized by intense emotion
s extremely hot"
piebald,s having sections or patches colored differently and usually brightly
ribald,n. a ribald person; someone who uses vulgar and offensive language
herald,n. (formal) a person who announces important news
gild,"v. decorate with, or as if with, gold leaf or liquid gold"
chokehold,"n. a restraining hold; someone loops the arm around the neck of another person in a tight grip, usually from behind"
withhold,"v. hold back; refuse to hand over or share
v. retain and refrain from disbursing; of payments"
uphold,"v. stand up for; stick up for; of causes, principles, or ideals
v. support against an opponent"
untold,s. of an incalculable amount
husband,n. a married man; a woman's partner in marriage
offhand,"s. casually thoughtless or inconsiderate
r. without previous thought or preparation
r. in a casually inconsiderate manner"
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
countermand,n. a contrary command cancelling or reversing a previous command
strand,"n. a pattern forming a unity within a larger structural whole
n. line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
n. a poetic term for a shore (as the area periodically covered and uncovered by the tides)
n. a street in west central London famous for its theaters and hotels"
grandstand,"n. the audience at a stadium or racetrack
n. a stand at a racecourse or stadium consisting of tiers with rows of individual seats that are under a protective roof
v. perform ostentatiously in order to impress the audience and with an eye to the applause"
descend,"v. move downward and lower, but not necessarily all the way"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
reprehend,v. express strong disapproval of
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
rend,v. tear or be torn violently
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
distend,"v. cause to expand as it by internal pressure
v. swell from or as if from internal pressure"
rescind,v cancel officially
abscond,v. run away; usually includes taking something or somebody along
moribund,s. being on the point of death; breathing your last
fecund,"s. capable of producing offspring or vegetation
s. intellectually productive"
rubicund,s. inclined to a healthy reddish color often associated with outdoor life
jocund,s full of or showing high-spirited merriment
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
hidebound,s. stubbornly conservative and narrow-minded
confound,"v be confusing or perplexing to; cause to be unable to think clearly
v mistake one thing for another"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
foreground,"n. the part of a scene that is near the viewer
n. (computer science) a window for an active application
v. move into the foreground to make more visible or prominent"
sound,"n. the particular auditory effect produced by a given cause
n. the subjective sensation of hearing something
n. mechanical vibrations transmitted by an elastic medium
n. the sudden occurrence of an audible event"
slipshod,s marked by great carelessness
falsehood,n. a false statement
prod,"n. a pointed instrument that is used to prod into a state of motion
v. urge on; cause to act"
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
sluggard,n. an idle slothful person
diehard,n one who adheres to traditional views
dullard,"n a person who is not very bright
n a person who evokes boredom"
canard,n. a deliberately misleading fabrication
aboveboard,s. without concealment or deception; honest
hoard,"n. a secret store of valuables or money
v. save up as for future use"
retard,"v. cause to move more slowly or operate at a slower rate
v. be delayed"
safeguard,"v. make safe
v. escort safely"
awkward,"s. causing inconvenience
a. lacking grace or skill in manner or movement or performance
s. difficult to handle or manage especially because of shape
s. not elegant or graceful in expression"
untoward,"s not in keeping with accepted standards of what is right or proper in polite society
s contrary to your interests or welfare"
wayward,s resistant to guidance or discipline
haphazard,"s. dependent upon or characterized by chance
s. marked by great carelessness
r. without care; in a slapdash manner"
undergird,"v. lend moral support to
v. make secure underneath"
accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
concord,"n. capital of the state of New Hampshire; located in south central New Hampshire on the Merrimack river
n. town in eastern Massachusetts near Boston where the first battle of the American Revolution was fought
v. arrange by concord or agreement"
discord,"n. lack of agreement or harmony
n. disagreement among those expected to cooperate
n. strife resulting from a lack of agreement"
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
foreword,n. a short introductory essay preceding the text of a book
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
shroud,"n. a line that suspends the harness from the canopy of a parachute
v. cover as if with a shroud
v. form a cover like a shroud
v. wrap in a shroud"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
minutiae,n a small or minor detail
imbibe,v. receive into the mind and retain
gibe,"n an aggressive remark directed at a person like a missile and intended to have a telling effect
v be compatible, similar or consistent; coincide in their characteristics
v laugh at with contempt and derision"
jibe,v. shift from one side of the ship to the other
bribe,"n. payment made to a person in a position of trust to corrupt his judgment
v. make illegal payments to in exchange for favors or influence"
circumscribe,"v. draw a line around
v. to draw a geometric figure around another figure so that the two are in contact but do not intersect"
proscribe,v command against
diatribe,n thunderous verbal attack
xenophobe,none
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
preface,"n a short introductory essay preceding the text of a book
v furnish with a preface or introduction"
efface,v. make inconspicuous
solace,n. comfort in disappointment or misery
commonplace,"s. completely ordinary and unremarkable
s. not challenging; dull and lacking excitement"
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
jaundice,"n. yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia
v. distort adversely
v. affect with, or as if with, jaundice"
cowardice,n. the trait of lacking courage
edifice,n a structure that has a roof and walls and stands more or less permanently in one place
splice,"n. a junction where two things (as paper or film or magnetic tape) have been joined together
v. join the ends of
v. join together so as to form new genetic combinations"
rejoice,v. feel happiness or joy
avarice,"n. reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
n. extreme greed for material wealth"
caprice,n. a sudden desire
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
novice,n. someone new to a field or activity
arrogance,n. overbearing pride evidenced by a superior manner toward inferiors
allegiance,n. the loyalty that citizens owe to their country (or subjects to their sovereign)
variance,"n. the second moment around the mean; the expected value of the square of the deviations of a random variable from its mean value
n. an official dispensation to act contrary to a rule or regulation (typically a building regulation)"
lance,"v. move quickly, as if by cutting one's way
v. pierce with a lance, as in a knights' fight
v. open by piercing with a lancet"
surveillance,n. close observation of a person or group (usually by the police)
penance,"n. a Catholic sacrament; repentance and confession and atonement and absolution
n. voluntary self-punishment in order to atone for some wrongdoing"
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
appurtenance,"n equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
n a supplementary component that improves capability"
provenance,n where something originated or was nurtured in its early existence
dissonance,n. disagreeable sounds
forbearance,n. a delay in enforcing rights or claims or privileges; refraining from acting
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
remonstrance,n the act of expressing earnest opposition or protest
malfeasance,n. wrongful conduct by a public official
complaisance,n. a disposition or tendency to yield to the will of others
obeisance,"n bending the head or body or knee as a sign of reverence or submission or shame or greeting
n the act of obeying; dutiful or submissive behavior with respect to another person"
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
puissance,n. power to influence or coerce
impuissance,n powerlessness revealed by an inability to act
pittance,n. an inadequate payment
nuance,n. a subtle difference in meaning or opinion or attitude
abeyance,n. temporary cessation or suspension
decadence,n the state of being degenerate in mental or moral qualities
credence,n. the mental attitude that something is believable and should be accepted as true
resurgence,n bringing again into activity and prominence
prescience,n. the power to foresee the future
resilience,"n. the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit
n. an occurrence of rebounding or springing back"
consilience,n. Act of concurring; coincidence; concurrence.
somnolence,n a very sleepy state
persistence,"n the property of a continuous and connected period of time
n persistent determination
n the act of persisting or persevering; continuing or repeating behavior"
confluence,"n. a place where things merge or flow together (especially rivers)
n. a flowing together"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
evince,v give expression to
province,n. the proper sphere or extent of your activities
wince,"n. the facial expression of sudden pain
n. a reflex response to sudden pain
v. make a face indicating disgust or dislike"
ensconce,v. fix firmly
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
coerce,"v. to cause to do through pressure or necessity, by physical, moral or intellectual means :""She forced him to take a job in the city"""
acquiesce,v to agree or express agreement
coalesce,v. fuse or cause to grow together
convalesce,v get over an illness or shock
effervesce,v become bubbly or frothy or foaming
seduce,"v. induce to have sex
v. lure or entice away from duty, principles, or proper conduct"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
truce,n a state of peace agreed to between opponents so they can discuss peace terms
barricade,"n. a barrier (usually thrown up hastily) to impede the advance of an enemy
v. render unsuitable for passage
v. prevent access to by barricading
v. block off with barricades"
cascade,"n. a small waterfall or series of small waterfalls
n. a succession of stages or operations or processes or units
v. rush down in big quantities, like a cascade
v. arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible"
renegade,n. someone who rebels and becomes an outlaw
accolade,n a tangible symbol signifying approval or distinction
abrade,v. wear away
masquerade,"n. a party of guests wearing costumes and masks
n. making a false outward show
v. take part in a masquerade
v. pretend to be someone or something that you are not"
retrograde,"v. move backward in an orbit, of celestial bodies
v. move in a direction contrary to the usual one
v. move back"
tirade,n. a speech of violent denunciation
dissuade,v. turn away from by persuasion
pervade,v spread or diffuse through
cede,"v give over; surrender or relinquish to the physical control of another
v relinquish possession or control over"
accede,v. take on duties or office
secede,v. withdraw from an organization or communion
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
impede,v. be a hindrance or obstacle to
supersede,v take the place or move into the position of
chide,v censure severely or angrily
glide,"n. the activity of flying a glider
v. move smoothly and effortlessly
v. fly in or as if in a glider plane
v. cause to move or pass silently, smoothly, or imperceptibly"
backslide,"v drop to a lower level, as in one's morals or standards"
bromide,n. any of the salts of hydrobromic acid; formerly used as a sedative but now generally replaced by safer drugs
deride,v. treat or speak of with contempt
override,"n. a manually operated device to correct the operation of an automatic device
v. prevail over
v. counteract the normal operation of (an automatic gear shift in a vehicle)
v. ride (a horse) too hard"
subside,"v. wear off or die down
v. sink to a lower level or form a depression
v. sink down or precipitate"
forebode,v make a prediction about; tell in advance
decode,v. convert code into ordinary language
implode,v. burst inward
discommode,v to cause inconvenience or discomfort to
avant-garde,"n. any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
s. radically new or original"
preclude,"v. make impossible, especially beforehand"
elude,"v. escape, either physically or mentally
v. be incomprehensible to; escape understanding by"
allude,v. make a more or less disguised reference to
collude,v act in unison or agreement and in secret towards a deceitful or illegal purpose
denude,v. lay bare
prude,n. a person excessively concerned about propriety and decorum
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
