coda,n the closing section of a musical composition
distract,v. draw someone's attention away from something
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
tact,n. consideration in dealing with others and avoiding giving offense
disinfect,v. destroy microorganisms or pathogens by cleansing
abject,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
deject,v lower someone's spirits; make downhearted
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
deflect,"v. turn from a straight course, fixed direction, or line of interest
v. turn aside and away from an initial or intended course"
reflect,"v. manifest or bring back
v. to throw or bend back (from a surface)
v. be bright by reflecting or casting light
v. show an image of"
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
circumspect,s. heedful of potential consequences
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
resurrect,"v. cause to become alive again
v. return from the dead"
dissect,v. cut open or cut apart
contradict,"v. be in contradiction with
v. deny the truth of"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
indict,v. accuse formally of a crime
interdict,"n. an ecclesiastical censure by the Roman Catholic Church withdrawing certain sacraments and Christian burial from a person or all persons in a particular district
n. a court order prohibiting a party from doing a certain activity
v. destroy by firepower, such as an enemy's line of communication"
derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
evict,"v. expel or eject without recourse to legal process
v. expel from one's property or force to move out by a legal process"
sacrosanct,s must be kept sacred
succinct,s briefly giving the gist of something
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
concoct,"v. make a concoction (of) by mixing
v. prepare or cook by mixing ingredients"
obstruct,"v. hinder or prevent the progress or accomplishment of
v. block passage through
v. shut out from view or get in the way so as to hide from sight"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
abet,"v. assist or encourage, usually in some wrongdoing"
dulcet,"s. extremely pleasant in a gentle way
s. pleasing to the ear"
fleet,"n. group of aircraft operating together under the same ownership
n. group of motor vehicles operating together under the same ownership
n. a group of steamships operating together under the same ownership
n. a group of warships organized as a tactical unit"
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
discreet,a. marked by prudence or modesty and wise self-restraint
cachet,"n. an indication of approved or superior status
n. a warrant formerly issued by a French king who could warrant imprisonment or death in a signed letter under his seal
n. a seal on a letter"
epithet,n. descriptive word or phrase
whet,"v. make keen or more acute
v. sharpen by rubbing, as on a whetstone"
plummet,v. drop sharply
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
martinet,n. someone who demands exact conformity to rules and forms
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
beset,"v. assail or attack on all sides: ""The zebra was beset by leopards"""
onset,n. the beginning or early stages
cosset,v treat with excessive indulgence
outset,n the time at which something is supposed to begin
daft,s informal or slang terms for mentally irregular
graft,"n. (surgery) tissue or organ transplanted from a donor to a recipient; in some cases the patient can be both donor and recipient
n. the act of grafting something onto something else
v. cause to grow together parts from different plants"
waft,"v. be driven or carried along, as by the air
v. blow gently"
deft,s. skillful in physical movements; especially of the hands
rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
spendthrift,n. someone who spends money prodigally
sift,"v. move as if through a sieve
v. separate by passing through a sieve or other straining device to separate out coarser elements"
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
blight,"n. a state or condition being blighted
n. any plant disease resulting in withering without rotting
v. cause to suffer a blight"
plight,n. a solemn pledge of fidelity
slight,"v. pay no attention to, disrespect"
forthright,"s characterized by directness in manner or speech; without subtlety or evasion
r directly and without evasion; not roundabout"
airtight,"s. having no weak points
s. not allowing air or gas to pass in or out"
fraught,"s. marked by distress
s. filled with or attended with"
distraught,s. deeply agitated especially from emotion
overwrought,s deeply agitated especially from emotion
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
tacit,s implied by or inferred from actions or statements
elicit,v. derive by reason
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
discredit,"v. cause to be distrusted or disbelieved
v. damage the reputation of"
pundit,n someone who has been admitted to membership in a scholarly field
counterfeit,"n. a copy that is represented as the original
a. not genuine; imitating something superior"
forfeit,"n. something that is lost or surrendered as a penalty; 
n. a penalty for a fault or mistake that involves losing or giving up something
n. the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
v. lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime"
surfeit,"n. the state of being more than full
v. supply or feed to surfeit
v. indulge (one's appetite) to satiety"
discomfit,v cause to lose one's composure
flit,"n. a sudden quick movement
n. a secret move (to avoid paying debts)
v. move along rapidly and lightly; skim or dart"
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
manumit,v. free from slavery or servitude
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
maladroit,a. not adroit
decrepit,s. lacking bodily or muscular strength or vitality
grit,"n. a hard coarse-grained siliceous sandstone
v. cover with a grit
v. clench together"
posit,"n (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v put (something somewhere) firmly
v put before
v take as a given; assume as a postulate or axiom"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
bruit,v tell or spread rumors
wit,n. a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
outwit,v. beat through cleverness and wit
exalt,"v. raise in rank, character, or status"
heartfelt,s earnest
tilt,"n. a slight but noticeable partiality
n. the property possessed by a line or surface that departs from the vertical
v. charge with a tilt"
wilt,"n. any plant disease characterized by drooping and shriveling; usually caused by parasites attacking the roots
n. causing to become limp or drooping
v. lose strength
v. become limp"
dolt,n a person who is not very bright
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
molt,n. periodic shedding of the cuticle in arthropods or the outer skin in reptiles
revolt,v. make revolution
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
occult,"n. supernatural practices and techniques
v. become concealed or hidden from view or have its light extinguished
v. hide from view
s. hidden and difficult to see"
tumult,"n. a state of commotion and noise and confusion
n. violent agitation"
exult,v. feel extreme happiness or elation
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
intoxicant,"n. a drug that can produce a state of intoxication
s. causing"
scant,v. limit in quality or quantity
pedant,n. a person who pays more attention to formal rules and book learning than they merit
ascendant,"n. position or state of being dominant or in control
s. tending or directed upward
s. most powerful or important or influential"
abundant,a. present in great quantity
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
verdant,s. characterized by abundance of verdure
mordant,n. a substance used to treat leather or other materials before dyeing; aids in dyeing process
miscreant,n a person without moral scruples
extravagant,s. recklessly wasteful
penchant,n a strong liking
trenchant,"s having keenness and forcefulness and penetration in thought, expression, or intellect
s characterized by or full of force and vigor
s clearly or sharply defined to the mind"
disenchant,v. free from enchantment
sycophant,n. a person who tries to please someone in order to gain a personal advantage
insouciant,s marked by blithe unconcern
valiant,s. having or showing valor
pliant,"s capable of being influenced or formed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
compliant,a. disposed or willing to comply
nonchalant,s marked by blithe unconcern
jubilant,"s joyful and proud especially because of triumph or success
s full of high-spirited delight"
vigilant,s carefully observant or attentive; on the lookout for possible danger
gallant,"s. unflinching in battle or action
s. having or displaying great dignity or nobility"
supplant,v. take the place or move into the position of
slant,"n. a biased way of looking at or presenting something
v. lie obliquely
v. present with a bias"
petulant,s easily irritated or annoyed
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
stagnant,s. not growing or changing; without force or vitality
pregnant,a. carrying developing offspring within the body or being about to produce new life
malignant,a. dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)
poignant,s. keenly distressing to the mind or feelings
repugnant,s offensive to the mind
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
resonant,s. characterized by resonance
consonant,"n. a speech sound that is not a vowel
n. a letter of the alphabet standing for a spoken consonant
s. involving or characterized by harmony"
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
rant,"v. talk in a noisy, excited, or declamatory manner"
protuberant,s curving outward
exuberant,s. produced or growing in extreme abundance
preponderant,s having superior power and influence
itinerant,"n. a laborer who moves from place to place as demanded by employment
s. traveling from place to place to work"
aspirant,"n. an ambitious and aspiring young person
s. desiring or striving for recognition or advancement"
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
errant,"s. straying from the right course or from accepted standards
s. uncontrolled motion that is irregular or unpredictable"
aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
recalcitrant,s. marked by stubborn resistance to authority
tyrant,"n. a cruel and oppressive dictator
n. in ancient Greece, a ruler who had seized power without legal right to it
n. any person who exercises power in a cruel way"
conversant,s. (usually followed by `with') well informed about or knowing thoroughly
incessant,s uninterrupted in time and indefinitely long continuing
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
reluctant,"s. disinclined to become involved
s. not eager"
exorbitant,s. greatly exceeding bounds of reason or moderation
incogitant,a. Toughtless; inconsiderate.
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
repentant,a feeling or expressing remorse for misdeeds
extant,a. still in existence; not extinct or destroyed or lost
piquant,"s. having an agreeably pungent taste
s. engagingly stimulating or provocative"
truant,"n. one who is absent from school without permission
s. absent without permission"
savant,n someone who has been admitted to membership in a scholarly field
relevant,a. having a bearing on or connection with the subject at issue
observant,"s. paying close attention especially to details
s. quick to notice; showing quick and keen perception"
flamboyant,s. marked by ostentation but often tasteless
buoyant,"s. tending to float on a liquid or rise in air or gas
s. characterized by liveliness and lightheartedness"
cognizant,a (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
recumbent,s lying down; in a position of comfort or rest
incumbent,"n. the official who holds an office
s. lying or leaning on something else
s. necessary (for someone) as a duty or responsibility; morally binding
s. currently holding an office"
complacent,s. contented to a fault with oneself or one's actions
beneficent,"a. doing or producing good
s. generous in assistance to the poor"
magnificent,s characterized by grandeur
munificent,s very generous
reticent,"s. temperamentally disinclined to talk
s. reluctant to draw attention to yourself"
nascent,a. being born or beginning
iridescent,s. having a play of lustrous rainbow colors
incandescent,"s. emitting light as a result of being heated
s. characterized by ardent emotion or intensity or brilliance"
quiescent,"s. not active or activated
s. marked by a state of tranquil repose
s. being quiet or still or inactive"
evanescent,s. tending to vanish like vapor
reminiscent,s serving to bring to mind
translucent,s. allowing light to pass through diffusely
dent,"n. an appreciable consequence (especially a lessening)
n. an impression in a surface (as made by a blow)"
decadent,"n. a person who has fallen into a decadent state (morally or artistically)
s. marked by excessive self-indulgence and moral decay"
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
strident,s. being sharply insistent on being heard
provident,"a. providing carefully for the future
s. careful in regard to your own interests"
resplendent,s having great beauty and splendor
impudent,s. marked by casual disrespect
prudent,a. careful and sensible; marked by sound judgment
imprudent,"a. not prudent or wise
s. lacking wise self-restraint"
indigent,s poor enough to need help from others
negligent,a. characterized by neglect and undue lack of concern
diligent,"s. quietly and steadily persevering especially in detail or exactness
a. characterized by care and perseverance in carrying out tasks"
intransigent,"s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
exigent,s. requiring precise accuracy
indulgent,"a. characterized by or given to yielding to the wishes of someone
s. tolerant or lenient
s. being favorably inclined"
refulgent,s radiating or as if radiating light
effulgent,s radiating or as if radiating light
plangent,s. loud and resounding
tangent,"n. a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point
n. ratio of the opposite to the adjacent side of a right-angled triangle"
stringent,s demanding strict attention to rules and procedures
pungent,s. strong and sharp
cogent,s. powerfully persuasive
insurgent,"n. a person who takes part in an armed rebellion against the constituted authority (especially in the hope of improving conditions)
s. in opposition to a civil authority or government"
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
omniscient,s infinitely wise
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
salient,"n. (military) the part of the line of battle that projects closest to the enemy
a. (of angles) pointing outward at an angle of less than 180 degrees
s. represented as leaping (rampant but leaning forward)"
emollient,"n toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin
s having a softening or soothing effect especially to the skin"
ebullient,s. joyously unrestrained
lenient,"s. not strict
s. characterized by tolerance and mercy"
sapient,s acutely insightful and wise
incipient,s. only partly in existence; imperfectly formed
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
transient,"n. one who stays for only a short time
n. (physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load"
insentient,a. devoid of feeling and consciousness and animation
subservient,s. compliant and obedient to authority
prevalent,s most frequent or common
ambivalent,s. uncertain or unable to decide about what course to follow
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
redolent,s. (used with `of' or `with') noticeably odorous
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
insolent,"s marked by casual disrespect
s unrestrained by convention or propriety"
malevolent,s. wishing or appearing to wish evil to others; arising from intense ill will or hatred
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
truculent,s. defiantly aggressive
fraudulent,s intended to deceive
virulent,a. infectious; having the ability to cause disease
lament,"n. a cry of sorrow and grief
v. express grief verbally"
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
commencement,n. an academic exercise in which diplomas are conferred
rapprochement,n the reestablishing of cordial relations
vehement,s. characterized by great force or energy
clement,"a. (of weather or climate) physically mild
a. (used of persons or behavior) inclined to show mercy"
inclement,"a. (of weather or climate) severe
a. used of persons or behavior; showing no clemency or mercy"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
self-abasement,n voluntary self-punishment in order to atone for some wrongdoing
segment,"n. one of the parts into which something naturally divides
v. divide into segments
v. divide or split up"
figment,n. a contrived or fantastic idea
pigment,"n. dry coloring material (especially a powder to be mixed with a liquid to produce paint, etc.)
n. any substance whose presence in plant or animal tissues produces a characteristic color
v. acquire pigment; become colored or imbued
v. color or dye with a pigment"
blandishment,"n. flattery intended to persuade
n. the act of urging by means of teasing or flattery"
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
foment,v. bathe with warm water or medicated lotions
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
immanent,"a. of a mental act performed entirely within the mind
s. of qualities that are spread throughout something"
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
preeminent,s greatest in importance or degree or significance or achievement
pertinent,s. having precise or logical relevance to the matter at hand
impertinent,s. characterized by a lightly pert and exuberant quality
proponent,n a person who pleads for a cause or propounds an idea
exponent,"n. someone who expounds and interprets or explains
n. a mathematical notation indicating the number of times a quantity is multiplied by itself"
spent,"v pass time in a specific way
v pay out
v spend completely
a depleted of energy, force, or strength
s drained of energy or effectiveness; extremely tired; completely exhausted"
transparent,s. easily understood or seen through (because of a lack of subtlety)
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
belligerent,s. engaged in war
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
resent,v. feel bitter or indignant about
misrepresent,v. represent falsely
consent,n. permission to do something
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
penitent,"n. (Roman Catholic Church) a person who repents for wrongdoing (a Roman Catholic may be admitted to penance under the direction of a confessor)
a. feeling or expressing remorse for misdeeds"
impenitent,"a. not penitent or remorseful
s. impervious to moral persuasion"
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
malcontent,n. a person who is discontented or disgusted
impotent,"a. lacking power or ability; morality without technology is impotent""- Freeman J.Dyson
a. (of a male) unable to copulate"
inadvertent,s happening by chance or unexpectedly or unintentionally
inconsistent,"a. displaying a lack of consistency
s. not capable of being made consistent or harmonious"
intermittent,s. stopping and starting at irregular intervals
fluent,s. smooth and unconstrained in movement
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
grandiloquent,"s. lofty in style
s. puffed up with vanity"
congruent,a. coinciding when superimposed
incongruent,a. not congruent
solvent,"n. a liquid substance capable of dissolving other substances
a. capable of meeting financial obligations"
circumvent,"v surround so as to force to give up
v beat through cleverness and wit
v avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
fervent,s. extremely hot
taint,"n the state of being contaminated
v place under suspicion or cast doubt upon
v contaminate with a disease or microorganism"
mint,"n. any north temperate plant of the genus Mentha with aromatic leaves and small mauve flowers
n. any member of the mint family of plants
n. the leaves of a mint plant used fresh or candied
n. a candy that is flavored with a mint oil"
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
stint,"n. an individual's prescribed share of work
v. supply sparingly and with restricted quantities"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
daunt,v. cause to lose courage
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
vaunt,n. extravagant self-praise
blunt,"v. make less intense
v. make less sharp
s. having a broad or rounded end
s. used of a knife or other blade; not sharp"
paramount,s having superior power and influence
tantamount,s being essentially equal to something
surmount,v. be on top of
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
bigot,n. a prejudiced person who is intolerant of any opinions differing from his own
riot,"n. a public act of violence by an unruly mob
v. take part in a riot; disturb the public peace by engaging in a riot"
patriot,n. one who loves and defends his or her country
jot,"n a brief (and hurriedly handwritten) note
n a slight but appreciable amount
v write briefly or hurriedly; write a short note of"
zealot,n. a member of an ancient Jewish sect in Judea in the first century who fought to the death against the Romans and who killed or persecuted Jews who collaborated with the Romans
clot,"n. a lump of material formed from the content of a liquid
v. change from a liquid to a thickened or solid state
v. cause to change from a liquid to a solid or thickened state"
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
apt,"s. (usually followed by `to') naturally disposed toward
s. at risk of or subject to experiencing something usually unpleasant
s. mentally quick and resourceful"
adapt,"v. make fit for, or change to suit a new purpose"
rapt,s feeling great rapture or delight
inept,s. revealing lack of perceptiveness or judgment or finesse
nondescript,n. a person is not easily classified and not very interesting
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
preempt,"v. acquire for oneself before others can do so
v. take the place of or have precedence over
v. gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land)"
unkempt,"s. not neatly combed
s. not properly maintained or cared for"
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
dart,"n. a small narrow pointed missile that is thrown or shot
n. a tapered tuck made in dressmaking
v. run or move very quickly or hastily
v. move with sudden speed"
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
thwart,"n. a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat
v. hinder or prevent (the efforts, plans, or desires) of"
stalwart,"s. dependable
s. used especially of persons"
disconcert,"v cause to feel embarrassment
v cause to lose one's composure"
inert,"s. unable to move or resist motion
s. having only a limited ability to react chemically; chemically inactive
s. slow and apathetic"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
subvert,v. destroy completely
advert,"n a public promotion of some product or service
v give heed (to)
v make a more or less disguised reference to
v make reference to"
divert,"v. send on a course or in a direction different from the planned or intended one
v. withdraw (money) and move into a different location, often secretly and with dishonest intentions"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
overt,a. open and observable; not secret or hidden
covert,"n. a flock of coots
a. secret or hidden; not openly practiced or engaged in or shown or avowed
s. (of a wife) being under the protection of her husband"
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
flirt,n. playful behavior intended to arouse sexual interest
escort,"n. the act of accompanying someone or something in order to protect them
n. an attendant who is employed to accompany someone
v. accompany as an escort"
exhort,"v spur on or encourage especially by cheers and shouts
v force or impel in an indicated direction"
rapport,n. a relationship of mutual understanding or trust and agreement between people
purport,"v. have the often specious appearance of being, intending, or claiming"
consort,"n. the husband or wife of a reigning monarch
v. keep company with; hang out with"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
contort,v. twist and press out of shape
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
extort,"v. obtain through intimidation
v. obtain by coercion or intimidation
v. get or cause to become in a difficult or laborious manner"
curt,"s marked by rude or peremptory shortness
s brief and to the point; effectively cut short; `yes'"""
blurt,v utter impulsively
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
bombast,n. pompous or pretentious talk or writing
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
fast,"n. abstaining from food
v. abstain from certain foods, as for religious or medical reasons
v. abstain from eating
a. acting or moving or capable of acting or moving quickly"
steadfast,s. firm and dependable especially in loyalty
blast,"n. a very long fly ball
n. an explosion (as of dynamite)
v. make a strident sound
v. use explosives on"
iconoclast,"n. a destroyer of images used in religious worship
n. someone who attacks cherished ideas or traditional institutions"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
ingest,"v serve oneself to, or consume regularly
v take up mentally"
jest,n. activity characterized by good humor
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
crest,"n. the top line of a hill, mountain, or wave
n. (heraldry) in medieval times, an emblem used to decorate a helmet
n. a showy growth of e.g. feathers or skin on the head of a bird or other animal
v. reach a high point"
arrest,n. the state of inactivity following an interruption
wrest,"v. obtain by seizing forcibly or violently, also metaphorically"
detest,v dislike intensely; feel antipathy or aversion towards
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
gist,"n the central meaning or theme of a speech or literary work
n the choicest or most essential or most vital part of some idea or experience"
anarchist,n. an advocate of anarchism
list,"n. a database containing an ordered array of items (names or topics)
v. give or make a list of; name individually; give the names of
v. include in a list
v. cause to lean to the side"
jingoist,n an extreme bellicose nationalist
exhaust,"n. gases ejected from an engine as waste products
n. system consisting of the parts of an engine through which burned gases or steam are discharged
v. wear out completely
v. use up the whole supply of"
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
gust,n. a strong current of air
august,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
oust,"v. remove from a position or office
v. remove and replace"
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
juggernaut,"n. a massive inexorable force that seems to crush everything in its way
n. a crude idol of Krishna"
taut,"s. pulled or drawn tight
s. subjected to great tension; stretched tight"
debut,"n. the presentation of a debutante in society
v. present for the first time to the public
v. appear for the first time in public
v. make one's debut"
glut,n. the quality of being so overabundant that prices fall
clout,"n. a target used in archery
v. strike hard, especially with the fist"
flout,"v treat with contemptuous disregard
v laugh at with contempt and derision"
pout,"n. a disdainful grimace
v. make a sad face and thrust out one's lower lip"
