alter,"v. make an alteration to
v. remove the ovaries of"
congress,"n. the legislature of the United States government
n. a meeting of elected or appointed representatives
n. a national legislative assembly"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
regularly,"r. in a regular manner
r. having a regular form
r. in a regular way without variation"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
complicated,s. difficult to analyze or understand
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
timely,"s. before a time limit expires
s. done or happening at the appropriate or proper time"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
apparently,r. from appearances alone
discourage,v. deprive of courage or hope; take away hope from; cause to feel discouraged
encounter,n. a casual meeting with a person or thing
honeymoon,"n. a holiday taken by a newly married couple
n. the early (usually calm and harmonious) period of a relationship; business or political
v. spend a holiday after one's marriage"
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
ask ... out on a date,none
inspire,"v. heighten or intensify
v. supply the inspiration for"
poster,n. a sign posted in a public place as an advertisement
dealer,"n. a firm engaged in trading
n. a seller of illicit goods
n. the person who distributes the playing cards in a card game"
instruct,"v. give instructions or directions for some task
v. make aware of"
insult,n. a deliberately offensive act or something producing the effect of deliberate disrespect
behavior,"n. manner of acting or controlling yourself
n. the action or reaction of something (as a machine or substance) under specified circumstances
n. (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"
childish,s. indicating a lack of maturity
persuade,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
bodyguard,"n. someone who escorts and protects a prominent person
n. a group of men who escort and protect some important person"
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
cooperation,"n. joint operation or action
n. the practice of cooperating"
remark,"n. a statement that expresses a personal opinion or belief or adds information
n. explicit notice"
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
via,"n. A road way.
prep. By the way of; as, to send a letter via Queenstown to
   London."
Southeast Asia,none
scold,n. someone (especially a woman) who annoys people by constantly finding fault
secretly,"r. in secrecy; not openly
r. not openly; inwardly"
strongly,r. with strength or in a strong manner
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
whisper,"n. speaking softly without vibration of the vocal cords
v. speak softly; in a low voice"
nevertheless,r despite anything to the contrary (usually following a concession)
opposition,"n. the relation between opposed entities
n. a contestant that you are matched against
n. a body of people united in opposing something
n. a direction opposite to another"
amazing,"s. surprising greatly
s. inspiring awe or admiration or wonder"
wink,"n. closing one eye quickly as a signal
v. signal by winking
v. force to go away by blinking"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
existing,"s. presently existing
s. existing in something specified"
bite,"n. a wound resulting from biting by an animal or a person
n. a light informal meal
n. (angling) an instance of a fish taking the bait
n. the act of gripping or chewing off with the teeth and jaws"
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
occasionally,r. now and then or here and there
chew,"n. a wad of something chewable as tobacco
n. biting and grinding food in your mouth so it becomes soft enough to swallow
v. chew (food); to bite and grind with the teeth"
slipper,n. low footwear that can be slipped on and off easily; usually worn indoors
affection,n. a positive feeling of liking
chop,"n. the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
n. a small cut of meat including part of a rib
n. a jaw
n. a tennis return made with a downward motion that puts backspin on the ball"
stew,"n. food prepared by stewing especially meat or fish with vegetables
v. bear a grudge; harbor ill feelings
v. cook slowly and for a long time in liquid"
meanwhile,"r. at the same time but in another place
r. during the intervening time"
enthusiastic,a. having or showing great excitement and interest
clap,"v. put quickly or forcibly
v. cause to strike the air in flight
v. clap one's hands together
v. strike the air in flight"
mayor,n. the head of a city government
clip,"n. any of various small fasteners used to hold loose articles together
n. an article of jewelry that can be clipped onto a hat or dress
n. the act of clipping or snipping
n. a sharp slanting blow"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
desirable,"a. worth having or seeking or achieving
s. worthy of being chosen especially as a spouse"
crawl,"n. a very slow movement
n. a swimming stroke; arms are moved alternately overhead accompanied by a flutter kick
n. a slow mode of locomotion on hands and knees or dragging the body
v. move slowly; in the case of people or animals with the body near the ground"
creep,"n. someone unpleasantly strange or eccentric
n. a slow longitudinal movement or deformation
n. a pen that is fenced so that young animals can enter but adults cannot
v. grow or spread, often in such a way as to cover (a surface)"
outer,"a. being on the outside or further from a center
s. located outside
s. being on or toward the outside of the body"
dash,"n. distinctive and stylish elegance
n. a quick run
n. a footrace run at top speed
n. the longer of the two telegraphic signals used in Morse code"
coward,"n. a person who shows fear or timidity
n. English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)"
railroad crossing,none
descend,"v. move downward and lower, but not necessarily all the way"
briefly,r. for a short time
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
heroic,"a. relating to or characteristic of heroes of antiquity
s. having or displaying qualities appropriate for heroes"
in a attempt to do,none
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
tractor,"n. a wheeled vehicle with large wheels; used in farming and other applications
n. a truck that has a cab but no body; used for pulling large trailers or vans"
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
linen,"n. a fabric woven with fibers from the flax plant
n. a high-quality paper made of linen fibers or with a linen finish
n. white goods or clothing made with linen cloth"
grasp,v. hold firmly
bloody,"v. cover with blood
a. having or covered with or accompanied by blood
r. extremely"
sword,n. a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
puppy,"n. a young dog
n. an inexperienced young person"
hop,"n. the act of hopping; jumping upward or forward (especially on one foot)
n. twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
n. an informal dance where popular music is played
v. jump lightly"
meadow,n a field where grass or alfalfa are grown to be made into hay
kneel,"n. supporting yourself on your knees
v. rest one's weight on one's knees"
voyage,"n. a journey to some distant place
v. travel on water propelled by wind or by other means"
leap,"n. a light, self-propelled movement upwards or forwards
n. an abrupt transition
n. the distance leaped (or to be leaped)
v. pass abruptly from one state or topic to another"
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
inn,n a hotel providing overnight lodging for travelers
nap,"n. a soft or fuzzy surface texture
n. sleeping for a short period of time (usually not in bed)
v. take a siesta"
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
coach,"n. (sports) someone in charge of training an athlete or a team
n. a person who gives private instruction (as in singing, acting, etc.)
n. a carriage pulled by four horses with one driver
v. teach and supervise (someone); act as a trainer or coach (to), as in sports"
pitch,"n. the property of sound that varies with variation in the frequency of vibration
n. (baseball) the act of throwing a baseball by a pitcher to a batter
n. a vendor's position (especially on the sidewalk)
n. degree of deviation from a horizontal plane"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
correctly,r. in an accurate manner
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
pursuit,"n. the act of pursuing in an effort to overtake or capture
n. a search for an alternative that meets cognitive criteria"
seize,"v. take hold of; grab
v. take or capture by force
v. hook by a pull on the line
v. affect"
cheerleader,"n. an enthusiastic and vocal supporter
n. someone who leads the cheers by spectators at a sporting event"
sew,"v. fasten by sewing; do needlework
v. create (clothes) with cloth"
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
sidewalk,n. walk consisting of a paved area for pedestrians; usually beside a street or roadway
snap,"n. a spell of cold weather
n. the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand
n. a sudden breaking
n. a fastener used on clothing; fastens with a snapping sound"
translation,"n. a written communication in a second language having the same meaning as the written communication in a first language
n. a uniform movement without rotation
n. (mathematics) a transformation in which the origin of the coordinate system is moved to another position but the direction of each axis remains the same
n. (genetics) the process whereby genetic information coded in messenger RNA directs the formation of a specific protein at a ribosome in the cytoplasm"
spill,"n. liquid that is spilled
n. the act of allowing a fluid to escape
n. a sudden drop from an upright position
v. cause or allow (a liquid substance) to run or flow from a container"
bitterly,"r. with bitterness, in a resentful manner
r. indicating something hard to accept"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
scarcely,"r only a very short time before
r almost not"
spoonful,n as much as a spoon will hold
ginger,"n. perennial plants having thick branching aromatic rhizomes and leafy reedlike stems
n. dried ground gingerroot
n. pungent rhizome of the common ginger plant; used fresh as a seasoning especially in Asian cookery
v. add ginger to in order to add flavor"
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
a spoonful of ...,none
athletic,"a. relating to or befitting athletics or athletes
s. having a sturdy and well proportioned body"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
awfully,"r used as intensifiers
r of a dreadful kind
r in a terrible manner"
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
knight,"n. originally a person of noble birth trained to arms and chivalry; today in Great Britain a person honored by the sovereign for personal merit
n. a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa)
v. raise (someone) to knighthood"
wander,v. go via an indirect route or at no set pace
mist,"n. a thin fog with condensation near the ground
v. become covered with mist
v. spray finely or cover with mist"
weave,"n. pattern of weaving or structure of a fabric
v. interlace by or as if by weaving
v. create a piece of cloth by interlacing strands of fabric, such as wool or cotton
v. to move or cause to move in a sinuous, spiral, or circular course"
dragon,"n. a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings
n. a fiercely vigilant and unpleasant woman
n. any of several small tropical Asian lizards capable of gliding by spreading winglike membranes on each side of the body"
whip,"n. an instrument with a handle and a flexible lash that is used for whipping
n. a legislator appointed by the party to enforce discipline
n. a dessert made of sugar and stiffly beaten egg whites or cream and usually flavored with fruit
n. (golf) the flexibility of the shaft of a golf club"
barely,r. only a very short time before
competitor,n the contestant you hope to defeat
cute,s. obviously contrived to charm
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
v. utter a yawn, as from lack of oxygen or when one is tired"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
accomplish,"v put in effect
v to gain with effort"
commission,"n. a fee for services rendered based on a percentage of an amount received or collected or agreed to be paid (as distinguished from a salary)
n. the act of granting authority to undertake certain functions
n. the state of being in good working order and ready for operation
n. a formal statement of a command or injunction to do something"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
regarding,"v deem to be
v look at attentively
v connect closely and often incriminatingly"
physician,n a licensed medical practitioner
adapt,"v. make fit for, or change to suit a new purpose"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
increasingly,r. advancing in amount or intensity
enjoyable,s. affording satisfaction or pleasure
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
finding,"n. the decision of a court on issues of fact or law
n. something that is found"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
concerning,"v be relevant to
v be on the mind of"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
electrical,a. relating to or concerned with electricity
invention,"n. the creation of something in the mind
n. a creation (a new device or process) resulting from study and experimentation
n. the act of inventing"
await,v look forward to the probable occurrence of
attraction,"n. the force by which one object attracts another
n. an entertainment that is offered to the public
n. the quality of arousing interest; being attractive or something that attracts
n. a characteristic that provides pleasure and attracts"
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
poisonous,"s. having the qualities or effects of a poison
s. not safe to eat
s. marked by deep ill will; deliberately harmful"
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
halfway,"s. at a point midway between two extremes
s. including only half or a portion
r. at half the distance; at the middle"
manual,"n. a small handbook
a. of or relating to the hands
a. requiring human effort
s. doing or requiring physical work"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
illustration,"n. artwork that helps make something clear or attractive
n. a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand"
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
poverty,n. the state of having little or no money and few or no material possessions
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
compete,v. compete for something; engage in a contest; measure oneself against others
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
the Olympics,none
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
task,v. assign a task to
conquer,v. overcome by conquest
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
scenery,"n. the painted structures of a stage set that are intended to suggest a particular locale
n. the appearance of a place"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
lace,"n. a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)
n. a delicate decorative fabric woven in an open web of symmetrical patterns
v. do lacework
v. draw through eyes or holes"
demonstrate,v. march in protest; take part in a demonstration
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
depart,"v. leave
v. go away or leave"
destination,n. the ultimate goal for which something is done
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
bonus,"n. anything that tends to arouse
n. an additional payment (or other remuneration) to employees as a means of increasing output"
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
large quantities of ...,none
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
profitable,a. yielding material gain or profit
enable,v. render capable or able for some task
enclose,"v. close in; darkness enclosed him""
v. surround completely"
packet,"n. (computer science) a message or message fragment
n. a small package or bundle"
endure,"v put up with something or somebody unpleasant
v face and withstand with courage
v continue to live through hardship or adversity
v undergo or be subjected to
v last and be usable
v persist for a specified period of time
v continue to exist"
shortage,"n the property of being an amount by which something is less than expected or required
n an acute insufficiency"
actively,r. in an active manner
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
volunteer,"n. (military) a person who freely enlists for service
n. a person who performs voluntary work
v. tell voluntarily
v. agree freely"
millionaire,n. a person whose material wealth is valued at more than a million dollars
proudly,r. with pride; in a proud manner
exhibit,"n. an object or statement produced before a court of law and referred to while giving evidence
v. show an attribute, property, knowledge, or skill"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
stormy,"a. (especially of weather) affected or characterized by storms or commotion
s. characterized by violent emotions or behavior"
flee,v. run away quickly
parliament,n. a legislative assembly in certain countries
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
govern,"v. direct or strongly influence the behavior of
v. exercise authority over; as of nations
v. require to be in a certain grammatical case, voice, or mood"
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
efficient,a. being effective without wasting time or effort or expense
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
treatment,"n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
n. the management of someone or something
n. a manner of dealing with something artistically"
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
lodge,"n. English physicist who studied electromagnetic radiation and was a pioneer of radiotelegraphy (1851-1940)
n. small house at the entrance to the grounds of a country mansion; usually occupied by a gatekeeper or gardener
n. a small (rustic) house used as a temporary shelter
n. any of various Native American dwellings"
injure,v. cause injuries or bodily harm to
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
wildlife,n. all living things (except people) that are undomesticated
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
interfere,v. come between so as to be hindrance or obstacle
negotiation,"n. a discussion intended to produce an agreement
n. the activity or business of negotiating an agreement; coming to terms"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
invade,"v. march aggressively into another's territory by military force for the purposes of conquest and occupation
v. occupy in large numbers or live on a host
v. penetrate or assault, in a harmful or injurious way"
mercy,"n. something for which to be thankful
n. alleviation of distress; showing great kindness toward the distressed"
nowadays,r. in these times
