weigh,"v. have a certain weight
v. determine the weight of
v. to be oppressive or burdensome"
special,"n. a special offering (usually temporary and at a reduced price) that is featured in advertising
n. a dish or meal given prominence in e.g. a restaurant
n. a television production that features a particular person or work or topic
s. for a special service or occasion"
path,"n. a way especially designed for a particular use
n. an established line of travel or access
n. a line or route along which something travels or moves"
may,n. the month following April and preceding June
lost,"a. no longer in your possession or control; unable to be found or recovered
a. spiritually or physically doomed or destroyed
a. not gained or won
s. incapable of being recovered or regained"
worry,"n. a strong feeling of anxiety
v. be worried, concerned, anxious, troubled, or uneasy
v. be concerned with
v. disturb the peace of mind of; afflict with mental agitation or distress"
follow,"v. to travel behind, go after, come after
v. come as a logical consequence; follow logically
v. travel along a certain course
v. come after in time, as a result"
in the middle,none
look out,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
no smoking,none
no swimming,none
get lost,none
some time,r. at some indefinite or unstated time
on the way,none
reuse,v use again after processing
can,"n. airtight sealed metal container for food or drink or paint etc.
n. the quantity contained in a can
n. a buoy with a round bottom and conical top
v. preserve in a can or tin"
rubber,"n. an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
n. any of various synthetic elastic materials whose properties resemble natural rubber
s. returned for lack of funds"
vase,n. an open jar of glass or porcelain used as an ornament or to hold flowers
pen holder,n. A handle for a pen.
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
rubbish bin,none
truck,"n. an automotive vehicle suitable for hauling
v. convey (goods etc.) by truck"
piece,"n. a separate part of a whole
n. an item that is an instance of some type; 
n. an instance of some kind
n. an artistic or literary composition"
cloth,n artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
throw away,"n. words spoken in a casual way with conscious under-emphasis
s. intended to be thrown away after use"
fairy tale,"n. a story about fairies; told to amuse children
n. an interesting but highly implausible story; often told as an excuse"
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
well-known,s. widely or fully known
stronger,"a having strength or power greater than average or expected
s not faint or feeble
s having or wielding force or authority
a having a strong physiological or chemical effect
s immune to attack; incapable of being tampered with
s of good quality and condition; solidly built
s of verbs not having standard (or regular) inflection
s being distilled rather than fermented; having a high alcoholic content
s freshly made or left
s strong and sure"
than,"conj. A particle expressing comparison, used after certain
   adjectives and adverbs which express comparison or diversity, as more,
   better, other, otherwise, and the like. It is usually followed by the
   object compared in the nominative case. Sometimes, however, the object
   compared is placed in the objective case, and than is then considered
   by some grammarians as a preposition. Sometimes the object is expressed
   in a sentence, usually introduced by that; as, I would rather suffer
   than that you should want.
adv. Then. See Then."
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
blow off,"n. A blowing off steam, water, etc.;
adj. as, a blow-off cock or pipe.
adj. An outburst of temper or excitement."
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
Western,"n. a film about life in the western United States during the period of exploration and development
n. a sandwich made from a western omelet
a. relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts
a. of or characteristic of regions of the United States west of the Mississippi River"
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
laugh at,none
jack-o'-lantern,n. lantern carved from a pumpkin
pea,"n. seed of a pea plant used for food
n. the fruit or seed of a pea plant
n. a leguminous plant of the genus Pisum with small white flowers and long green pods containing edible green seeds"
pod,"n. the vessel that contains the seeds of a plant (not the seeds themselves)
n. a several-seeded dehiscent fruit as e.g. of a leguminous plant
n. a group of aquatic mammals
n. a detachable container of fuel on an airplane"
forever,r. for a very long or seemingly endless time
bigger,s. large or big relative to something else
excited,a. in an aroused state
bullet,n. a projectile that is fired from a gun
lazy,s. moving slowly and gently
roof,"n. a protective covering that covers or forms the top of a building
n. protective covering on top of a motor vehicle
n. the inner top surface of a covered area or hollow space
v. provide a building with a roof; cover a building with a roof"
yard,"n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n. the enclosed land around a house or other building
n. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)
n. a tract of land where logs are accumulated"
hit,"n. (baseball) a successful stroke in an athletic contest (especially in baseball)
n. the act of contacting one thing with another
n. a conspicuous success
n. a dose of a narcotic drug"
see the world,none
one by one,none
look out of,none
