looter,n someone who takes spoils or plunder (as in war)
calling,"n the particular occupation for which you are trained
v assign a specified (usually proper) proper name to
v ascribe a quality to or give a name of a common noun that reflects a quality
v get or try to get into communication (with someone) by telephone
v utter a sudden loud cry
v order, request, or command to come
v pay a brief visit
v call a meeting; invite or command to meet
v read aloud to check for omissions or absentees
v send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message
v utter a characteristic note or cry
v stop or postpone because of adverse conditions, such as bad weather
v greet, as with a prescribed form, title, or name
v make a stop in a harbour
v demand payment of (a loan)
v make a demand, as for a card or a suit or a show of hands
v give the calls (to the dancers) for a square dance
v indicate a decision in regard to
v make a prediction about; tell in advance
v require the presentation of for redemption before maturation
v challenge (somebody) to make good on a statement; charge with or censure for an offense
v declare in the capacity of an umpire or referee
v lure by imitating the characteristic call of an animal
v order or request or give a command for
v order, summon, or request for a specific duty or activity, work, role
v utter in a loud voice or announce
v challenge the sincerity or truthfulness of
v consider or regard as being
v rouse somebody from sleep with a call"
displeasure,n. the feeling of being displeased or annoyed or dissatisfied with someone or something
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
unorthodox,a. breaking with convention or tradition
unwise,s. showing or resulting from lack of judgment or wisdom
playmate,n. a companion at play
lawful,"a. conformable to or allowed by law
s. according to custom or rule or natural law
s. authorized, sanctioned by, or in accordance with law"
tarmac,"n a paving material of tar and broken stone; mixed in a factory and shaped during paving
n a paved surface having compressed layers of broken rocks held together with tar
v surface with macadam"
readership,n. the audience reached by written communications (books or magazines or newspapers etc.)
caseload,none
like-minded,s. of the same turn of mind
statehood,"n. The condition of being a State; as, a territory seeking
   Statehood."
conjecture,n. reasoning that involves the formation of conclusions from incomplete evidence
roaring,r. extremely
respecting,"v regard highly; think much of
v show respect towards"
atypical,"a. not representative of a group, class, or type
s. deviating from normal expectations; somewhat odd, strange, or abnormal"
duffel,n. a coarse heavy woolen fabric
seethe,"v. be in an agitated emotional state
v. foam as if boiling
v. boil vigorously"
reek,"v. smell badly and offensively
v. be wet with sweat or blood, as of one's face
v. give off smoke, fumes, warm vapour, steam, etc."
whitetail,n common North American deer; tail has a white underside
contraption,n a device or control that is very useful for a particular job
starboard,"n. the right side of a ship or aircraft to someone who is aboard and facing the bow or nose
v. turn to the right, of helms or rudders
s. located on the right side of a ship or aircraft"
mistreat,v. treat badly
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
palatable,a. acceptable to the taste or mind
undisclosed,s. not made known
absently,r. in an absentminded or preoccupied manner
barbarian,s. without civilizing influences
freighter,n a cargo ship
vestibule,n. any of various bodily cavities leading to another cavity (as of the ear or vagina)
sear,v. make very hot and dry
hitch,"n. a connection between a vehicle and the load that it pulls
n. a knot that can be undone by pulling against the strain that holds it; a temporary knot
n. the uneven manner of walking that results from an injured leg
v. to hook or entangle"
penthouse,n. an apartment located on the top floors of a building
bistro,n. a small informal restaurant; serves wine
spurt,v. gush forth in a sudden stream or jet
bog,n. wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
pretension,"n. a false or unsupportable quality
n. the advancing of a claim"
bohemian,"n. a native or inhabitant of Bohemia in the Czech Republic
n. a nonconformist writer or artist who lives an unconventional life
a. of or relating to Bohemia or its language or people
s. unconventional in especially appearance and behavior"
squat,"n. the act of assuming or maintaining a crouching position with the knees bent and the buttocks near the heels
v. sit on one's heels
v. be close to the earth, or be disproportionately wide
v. occupy (a dwelling) illegally"
extant,a. still in existence; not extinct or destroyed or lost
zap,"n. a sudden event that imparts energy or excitement, usually with a dramatic impact
v. strike suddenly and with force
v. kill with or as if with a burst of gunfire or electric current or as if by shooting"
deviant,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
s markedly different from an accepted norm"
adequacy,"n. the quality of being able to meet a need satisfactorily: ""he questioned the adequacy of the usual sentimental interpretation of the Golden Rule"""
exquisitely,r in a delicate manner
avian,a. pertaining to or characteristic of birds
resourceful,s. having inner resources; adroit or imaginative
cuddle,"n. a close and affectionate (and often prolonged) embrace
v. move or arrange oneself in a comfortable and cozy position
v. hold (a person or thing) close, as for affection, comfort, or warmth"
connoisseur,n. an expert able to appreciate a field; especially in the fine arts
complacency,n. the feeling you have when you are satisfied with yourself
ethnography,n. the branch of anthropology that provides scientific description of individual human societies
netting,n. creating nets
micro,s. extremely small in scale or scope or capability
overthrow,"n. the termination of a ruler or institution (especially by force)
v. cause the downfall of; of rulers"
swat,"n. a sharp blow
v. hit swiftly with a violent blow"
emblazon,v. decorate with heraldic arms
lengthwise,a. running or extending in the direction of the length of a thing
taboo,"n. a prejudice (especially in Polynesia and other South Pacific islands) that prohibits the use or mention of something because of its sacred nature
n. an inhibition or ban resulting from social custom or emotional aversion
v. declare as sacred and forbidden
s. forbidden to profane use especially in South Pacific islands"
stimulant,"n. a drug that temporarily quickens some vital process
s. that stimulates"
somatic,s affecting or characteristic of the body as opposed to the mind or spirit
optic,"n the organ of sight
a of or relating to or resembling the eye
a relating to or using sight"
insertion,n. the act of putting one thing into another
inflatable,s. designed to be filled with air or gas
lander,"n. a town in central Wyoming
n. a space vehicle that is designed to land on the moon or another planet"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
judgement,"n the legal document stating the reasons for a judicial decision
n an opinion formed by judging something
n the cognitive process of reaching a decision or drawing conclusions
n the mental ability to understand and discriminate between relations
n the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
n (law) the determination by a court of competent jurisdiction on matters submitted to it
n the act of judging or assessing a person or situation or event"
seawater,n. water containing salts
read,"n. something that is read
v. interpret something that is written or printed
v. have or contain a certain wording or form
v. look at, interpret, and say out loud something that is written or printed"
streamlined,"s. made efficient by stripping off nonessentials
s. designed or arranged to offer the least resistant to fluid flow"
jokingly,r. in jest
nomad,n. a member of a people who have no permanent home but move about according to the seasons
sleepless,"s experiencing or accompanied by sleeplessness
s always watchful"
gall,"n. a skin sore caused by chafing
n. abnormal swelling of plant tissue caused by insects or microorganisms or injury
v. irritate or vex"
skunk,n. American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae
doubling,"n. increase by a factor of two
n. raising the stakes in a card game by a factor of 2"
coldly,r. in a cold unemotional manner
soot,v. coat with soot
yam,"n. edible tuber of any of several yams
n. any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots
n. sweet potato with deep orange flesh that remains moist when baked"
modular,s. constructed with standardized units or dimensions allowing flexibility and variety in use
inextricably,r. in an inextricable manner
archipelago,n. a group of many islands in a large body of water
congested,s. overfull as with blood
nimble,"s moving quickly and lightly
s mentally quick"
gale,n. a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
feverish,"s. marked by intense agitation or emotion
s. having or affected by a fever"
labour,"n a social class comprising those who do manual labor or work for wages
n concluding state of pregnancy; from the onset of contractions to the birth of a child
n a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries
n productive work (especially physical work done for wages)
v work hard
v strive and make an effort to reach a goal
v undergo the efforts of childbirth"
interviewee,n. a person who is interviewed
secession,"n. an Austrian school of art and architecture parallel to the French art nouveau in the 1890s
n. the withdrawal of eleven southern states from the Union in 1860 which precipitated the American Civil War
n. formal separation from an alliance or federation"
dehydration,"n. dryness resulting from the removal of water
n. depletion of bodily fluids
n. the process of extracting moisture"
desirability,n. the quality of being worthy of desiring
religiosity,n. exaggerated or affected piety and religious zeal
soloist,n. a musician who performs a solo
uplifting,n. the rise of something
divergence,"n. the act of moving away in different direction from a common point
n. an infinite series that has no limit"
karate,n. a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent
accordion,n. a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player
misplace,"v. place (something) where one cannot find it again
v. place or position wrongly; put in the wrong position"
eyesight,n. normal use of the faculty of vision
extol,"v praise, glorify, or honor"
tenacious,"a good at remembering
s stubbornly unyielding
s sticking together"
tenacity,n persistent determination
checker,"n. an attendant who checks coats or baggage
n. one who checks the correctness of something
n. one of the flat round pieces used in playing the game of checkers"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
freshness,"n. the property of being pure and fresh (as if newly made); not stale or deteriorated
n. originality by virtue of being refreshingly novel
n. an alert and refreshed state"
befall,v. become of; happen to
sixty-five,none
custodian,n. one having charge of buildings or grounds or animals
genealogy,"n. successive generations of kin
n. the study or investigation of ancestry and family history"
likable,s. easy to like; agreeable
countdown,n. counting backward from an arbitrary number to indicate the time remaining before some event (such as launching a space vehicle)
incessant,s uninterrupted in time and indefinitely long continuing
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
rotating,"v turn on or around an axis or a center
v exchange on a regular basis
v perform a job or duty on a rotating basis
v cause to turn on an axis or center
v turn outward
v plant or grow in a fixed cyclic order of succession"
couture,n. high fashion designing and dressmaking
tinge,v. affect as in thought or feeling
spinning,n. creating thread
stationery,n. paper cut to an appropriate size for writing letters; usually with matching envelopes
corrugated,s. shaped into alternating parallel grooves and ridges
sumptuous,s rich and superior in quality
featured,"s. made a feature or highlight; given prominence
s. having facial features as specified; usually used in combination"
grouse,"n. flesh of any of various grouse of the family Tetraonidae; usually roasted; flesh too dry to broil
n. popular game bird having a plump body and feathered legs and feet
v. hunt grouse"
decaying,"v lose a stored charge, magnetic flux, or current
v fall into decay or ruin
v undergo decay or decomposition"
dumping,n. selling goods abroad at a price below that charged in the domestic market
newsstand,n. a stall where newspapers and other periodicals are sold
panda,"n large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae
n reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas"
vogue,"n. the popular taste at a given time
n. a current state of general acceptance and use"
ridicule,"n. language or behavior intended to mock or humiliate
v. subject to laughter or ridicule"
pale,"v. turn pale, as if in fear
s. very light colored; highly diluted with white
s. (of light) lacking in intensity or brightness; dim or feeble
s. lacking in vitality or interest or effectiveness"
crucifix,"n. representation of the cross on which Jesus died
n. a gymnastic exercise performed on the rings when the gymnast supports himself with both arms extended horizontally"
federalism,n. the idea of a federal organization of more or less self-governing units
sap,"n. a watery solution of sugars, salts, and minerals that circulates through the vascular system of a plant
v. excavate the earth beneath"
nondescript,n. a person is not easily classified and not very interesting
disrespect,"n. an expression of lack of respect
n. a disrespectful mental attitude
v. show a lack of respect for"
commandment,n. something that is commanded
sash,n. a framework that holds the panes of a window in the window frame
intricacy,n marked by elaborately complex detail
fireball,"n. a ball of fire (such as the sun or a ball-shaped discharge of lightning)
n. the luminous center of a nuclear explosion"
rowdy,"n a cruel and brutal fellow
s disturbing the public peace; loud and rough"
stash,"n a secret store of valuables or money
v save up as for future use"
humble,"v. cause to be unpretentious
s. low or inferior in station or quality
a. marked by meekness or modesty; not arrogant or prideful
s. used of unskilled work (especially domestic work)"
turban,n. a traditional Muslim headdress consisting of a long scarf wrapped around the head
attached,"a. used of buildings joined by common sidewalls
a. associated in an exclusive sexual relationship
s. fond and affectionate"
anal,"a. of or related to the anus
a. a stage in psychosexual development when the child's interest is concentrated on the anal region; fixation at this stage is said to result in orderliness, meanness, stubbornness, compulsiveness, etc."
jobless,s not having a job
loom,"n. a textile machine for weaving yarn into a textile
v. come into view indistinctly, often threateningly
v. appear very large or occupy a commanding position
v. weave on a loom"
virginity,n. the condition or quality of being a virgin
blankly,r. without expression; in a blank manner
spherical,a. of or relating to spheres or resembling a sphere
maroon,"n. a person who is stranded (as on an island)
n. a dark purplish-red to dark brownish-red color
n. an exploding firework used as a warning signal
v. leave stranded or isolated with little hope of rescue"
edifice,n a structure that has a roof and walls and stands more or less permanently in one place
longer-term,none
doorman,n someone who guards an entrance
trusting,"v have confidence or faith in
v allow without fear
v be confident about something
v expect and wish
v confer a trust upon
v extend credit to; I won't pay her debts anymore""
a inclined to believe or confide readily; full of trust"
laid-back,s unhurried and relaxed
undefeated,a. victorious
deformed,s. so badly formed or out of shape as to be ugly
epithet,n. descriptive word or phrase
five-day,none
awry,r. away from the correct or expected course
fudge,"n. soft creamy candy
v. tamper, with the purpose of deception"
co-author,"v be a co-author on (a book, a paper)"
noose,"n. a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled
v. make a noose in or of
v. secure with a noose"
snuff,"n. the charred portion of a candlewick
n. a pinch of smokeless tobacco inhaled at a single time
n. finely powdered tobacco for sniffing up the nose
v. sniff or smell inquiringly"
sin,"n. estrangement from god
n. an act that is regarded by theologians as a transgression of God's will
n. (Akkadian) god of the Moon; counterpart of Sumerian Nanna
n. the 21st letter of the Hebrew alphabet"
cinder,n. a fragment of incombustible matter left after a wood or coal or charcoal fire
odyssey,"n. a long wandering and eventful journey
n. a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy"
grandiose,"s. impressive because of unnecessary largeness or grandeur; used to show disapproval
s. affectedly genteel"
outside,"n. the region that is outside of something
n. the outer side or surface of something
a. relating to or being on or near the outer side or limit
s. originating or belonging beyond some bounds:""the outside world"""
unequivocally,r in an unambiguous manner
supple,v. make pliant and flexible
scourge,"n. a whip used to inflict punishment (often used for pedantic humor)
v. punish severely; excoriate"
sandwich,"n. two (or more) slices of bread with a filling between them
v. make into a sandwich
v. insert or squeeze tightly between two people or objects"
spontaneity,n. the quality of being spontaneous and coming from natural feelings without constraint
throes,n. violent pangs of suffering
austerity,n. the trait of great self-denial (especially refraining from worldly pleasures)
belie,"v be in contradiction with
v represent falsely"
unworthy,a. lacking in value or merit
infrequent,a. not frequent; not occurring regularly or at short intervals
comical,s arousing or provoking laughter
smelly,s offensively malodorous
squirt,"v. cause to come out in a squirt
v. wet with a spurt of liquid"
sweeten,"v. make sweeter in taste
v. make sweeter, more pleasant, or more agreeable"
removable,a. capable of being removed or taken away or dismissed
minnow,n. very small European freshwater fish common in gravelly streams
ranked,"v take or have a position relative to others
v assign a rank or rating to
v take precedence or surpass others in rank
s arranged in a sequence of grades or ranks"
wasteland,n an uninhabited wilderness that is worthless for cultivation
vocalist,n a person who sings
outfitter,"n. someone who sells men's clothes
n. a shop that provides equipment for some specific purpose"
fraternal,"a. of or relating to a fraternity or society of usually men
a. (of twins) derived from two separate fertilized ova"
splinter,"n. a small thin sharp bit or wood or glass or metal
v. break up into splinters or slivers"
martyrdom,n. death that is imposed because of the person's adherence of a religious faith or cause
compressor,n. a mechanical device that compresses gasses
naturalistic,s. representing what is real; not abstract or ideal
filler,"n. used for filling cracks or holes in a surface
n. 100 filler equal 1 forint in Hungary
n. copy to fill space between more important articles in the layout of a magazine or newspaper
n. the tobacco used to form the core of a cigar"
sympathizer,"n. commiserates with someone who has had misfortune
n. someone who shares your feelings or opinions and hopes that you will be successful"
spate,"n (often followed by `of') a large number or amount or extent
n a sudden forceful flow
n the occurrence of a water flow resulting from sudden rain or melting snow"
massacre,v. kill a large number of people indiscriminately
dam,"n. a barrier constructed to contain the flow of water or to keep out the sea
n. female parent of an animal especially domestic livestock
v. obstruct with, or as if with, a dam"
hairstyle,n the arrangement of the hair (especially a woman's hair)
inexplicably,adv. In an inexplicable manner.
apologetic,a. offering or expressing apology
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
intone,"v utter monotonously and repetitively and rhythmically
v recite with musical intonation; recite as a chant or a psalm
v speak carefully, as with rising and falling pitch or in a particular tone"
repayment,n. payment of a debt or obligation
categorical,a. relating to or included in a category or categories
diligence,"n. conscientiousness in paying proper attention to a task; giving the degree of care required in a given situation
n. persevering determination to perform a task"
throb,"n. a deep pulsating type of pain
n. an instance of rapid strong pulsation (of the heart)
v. pulsate or pound with abnormal force"
loner,n. a person who avoids the company or assistance of others
enslave,v. make a slave of; bring into servitude
hoard,"n. a secret store of valuables or money
v. save up as for future use"
bleach,"n. the whiteness that results from removing the color from something
n. the act of whitening something by bleaching it (exposing it to sunlight or using a chemical bleaching agent)
v. remove color from
v. make whiter or lighter"
nourishment,n. the act of nourishing
fat-free,a without fat or fat solids
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
cheery,s. bright and pleasant; promoting a feeling of cheer
drove,"n. a group of animals (a herd or flock) moving together
n. a moving crowd
n. a stonemason's chisel with a broad edge for dressing stone"
overlay,"n. a layer of decorative material (such as gold leaf or wood veneer) applied over a surface
v. put something on top of something else"
awful,s. causing fear or dread or terror
every,"s. (used of count nouns) each and all of the members of a group considered singly and without exception
s. each and all of a series of entities or intervals as specified"
distinguishing,"v mark as different
v detect with the senses
v be a distinctive feature, attribute, or trait; sometimes in a very positive sense
v make conspicuous or noteworthy
v identify as in botany or biology, for example"
discord,"n. lack of agreement or harmony
n. disagreement among those expected to cooperate
n. strife resulting from a lack of agreement"
schoolhouse,n a building where young people receive education
icing,n. (ice hockey) the act of shooting the puck from within your own defensive area the length of the rink beyond the opponent's goal
anyplace,r at or in or to any place; (`anyplace' is used informally for `anywhere')
restrained,"s. cool and formal in manner
a. under restraint"
fictitious,"s formed or conceived by the imagination
s adopted in order to deceive"
embankment,n. a long artificial mound of stone or earth; built to hold back water or to support a road or as protection
ripen,"v. cause to ripen or develop fully
v. grow ripe"
methodical,s. characterized by method and orderliness
blacksmith,n. a smith who forges and shapes iron with a hammer and anvil
restraining,"v keep under control; keep in check
v place limits on (extent or access)
v to close within bounds, limit or hold back from movement
v hold back
v to compel or deter by or as if by threats"
interdependent,s. mutually dependent
conceptually,r. in a conceptual manner
old-timer,n. an elderly man
fluid,"n. a substance that is fluid at room temperature and pressure
n. continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
s. subject to change; variable
s. characteristic of a fluid; capable of flowing and easily changing shape"
induct,"v. place ceremoniously or formally in an office or position
v. admit as a member
v. introduce or initiate"
at-bat,none
bridal,"n. archaic terms for a wedding or wedding feast
a. of or relating to a wedding
a. of or pertaining to a bride"
consequent,s following or accompanying as a consequence
riverbank,n. the bank of a river
audiotape,"n. a tape recording of sound
n. magnetic tape for use in recording sound"
post-traumatic,none
pummel,"v. strike, usually with the fist"
fearsome,s causing fear or dread or terror
discouraging,"a. depriving of confidence or hope or enthusiasm and hence often deterring action
s. expressing disapproval"
grading,n. changing the ground level to a smooth horizontal or gently sloping surface
affluence,n. abundant wealth
documented,a. furnished with or supported by documents
crimson,"n. a deep and vivid red color
s. characterized by violence or bloodshed
s. (especially of the face) reddened or suffused with or as if with blood from emotion or exertion"
Kenyan,"n. a native or inhabitant of Kenya
a. of or relating to or characteristic of Kenya or its people"
throbbing,"n. a sound with a strong rhythmic beat
s. pounding or beating strongly or violently"
Nordic,"a. of or relating to or constituting the Scandinavian group of languages
a. relating to Germany and Scandinavia
s. resembling peoples of Scandinavia"
dabble,"v. dip a foot or hand briefly into a liquid
v. play in or as if in water, as of small children
v. work with in an amateurish manner
v. bob forward and under so as to feed off the bottom of a body of water"
spice,"n. aromatic substances of vegetable origin used as a preservative
n. any of a variety of pungent aromatic vegetable substances used for flavoring food
v. make more interesting or flavorful"
Pulitzer,n. United States newspaper publisher (born in Hungary) who established the Pulitzer prizes (1847-1911)
tycoon,n a very wealthy or powerful businessman
blower,n. a device that produces a current of air
agility,n. the gracefulness of a person or animal that is quick and nimble
shyness,n. a feeling of fear of embarrassment
stagnation,"n. a state of inactivity (in business or art etc)
n. inactivity of liquids; being stagnant; standing still; without current or circulation"
evergreen,"n. a plant having foliage that persists and remains green throughout the year
a. (of plants and shrubs) bearing foliage throughout the year"
definitively,adv. In a definitive manner.
huff,"n. a state of irritation or annoyance
v. inhale recreational drugs"
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
one-hour,none
molasses,n. thick dark syrup produced by boiling down juice from sugar cane; especially during sugar refining
wobbly,n. a member of the Industrial Workers of the World
meaty,"a. like or containing meat; let's have a meaty meal""
s. being on topic and prompting thought"
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
indignant,s. angered at something unjust or wrong
greenery,n. green foliage
smolder,"v. burn slowly and without a flame
v. have strong suppressed feelings"
thirty-three,s being three more than thirty
gauze,"n. (medicine) bleached cotton cloth of plain weave used for bandages and dressings
n. a net of transparent fabric with a loose open weave"
soft-spoken,s. having a speaking manner that is not loud or harsh
nuts,"n usually large hard-shelled seed
n Egyptian goddess of the sky
n a small (usually square or hexagonal) metal block with internal screw thread to be fitted onto a bolt
n half the width of an em
n a whimsically eccentric person
n someone who is so ardently devoted to something that it resembles an addiction
n one of the two male reproductive glands that produce spermatozoa and secrete androgens
v gather nuts
s informal or slang terms for mentally irregular"
escalator,n. a stairway whose steps move continuously on a circulating belt
dizziness,n. a reeling sensation; a feeling that you are about to fall
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
brazen,"v. face with defiance or impudence
a. made of or resembling brass (as in color or hardness)"
Basque,"n. a member of a people of unknown origin living in the western Pyrenees in France and Spain
n. the language of the Basque people; of no known relation to any other language"
innuendo,n an indirect (and usually malicious) implication
howling,"n a long loud emotional utterance
v emit long loud cries
v cry loudly, as of animals
v make a loud noise, as of wind, water, or vehicles
v laugh unrestrainedly and heartily
s extraordinarily good or great; used especially as intensifiers"
medallion,"n. any of various large ancient Greek coins
n. a circular helping of food (especially a boneless cut of meat)
n. an emblem indicating that a taxicab is registered"
pot,"n. metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
n. the quantity contained in a pot
n. a container in which plants are cultivated
n. the cumulative amount involved in a game (such as poker)"
quickest,r. most quickly
speculator,"n. someone who makes conjectures without knowing the facts
n. someone who risks losses for the possibility of considerable gains"
undeniably,r. to an undeniable degree or in an undeniable manner
infraction,n a crime less serious than a felony
adaptable,a. capable of adapting (of becoming or being made suitable) to a particular situation or use
malfunction,"n. a failure to function normally
v. fail to function or function improperly"
retina,n. the innermost light-sensitive membrane covering the back wall of the eyeball; it is continuous with the optic nerve
botanist,n. a biologist specializing in the study of plants
trailhead,n the beginning of a trail
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
sentry,n a person employed to keep watch for some anticipated event
high-tech,a. resembling or making use of highly advanced technology or devices
rigidity,n. the physical property of being stiff and resisting bending
Trojan,"n. a native of ancient Troy
n. a program that appears desirable but actually contains something harmful
a. of or relating to the ancient city of Troy or its inhabitants"
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
cosmological,"a pertaining to the branch of astronomy dealing with the origin and history and structure and dynamics of the universe
a pertaining to the branch of philosophy dealing with the elements and laws and especially the characteristics of the universe such as space and time and causality"
deft,s. skillful in physical movements; especially of the hands
hairdresser,n. someone who cuts or beautifies hair
ballast,"n. any heavy material used to stabilize a ship or airship
n. coarse gravel laid to form a bed for streets and railroads
n. an attribute that tends to give stability in character and morals; something that steadies the mind or feelings
n. an electrical device for starting and regulating fluorescent and discharge lamps"
misinformation,n. information that is incorrect
sickening,"v cause aversion in; offend the moral sense of
v get sick
v upset and make nauseated
v make sick or ill
s causing or able to cause nausea"
worst-case,none
up-front,s. frank and honest
impunity,n. exemption from punishment or loss
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
cower,"v crouch or curl up
v show submission or fear"
swagger,"v. act in an arrogant, overly self-assured, or conceited manner"
outage,"n. the amount of something (as whiskey or oil) lost in storage or transportation
n. a temporary suspension of operation (as of computers)"
rightfully,r. by right
reprimand,v. rebuke formally
clock,"n. a timepiece that shows the time of day
v. measure the time or duration of an event or action or the person who performs an action in a certain period of time"
