campus,n. a field on which the buildings of a university are situated
commute,"n. a regular journey of some distance to and from your place of work
v. exchange positions without a change in value
v. travel back and forth regularly, as between one's place of work and home
v. exchange a penalty for a less severe one"
adulthood,"n. the period of time in your life after your physical growth has stopped and you are fully developed
n. the state (and responsibilities) of a person who has attained maturity"
sibling,n. a person's brother or sister
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
lifetime,n the period during which something is functional (as between birth and death)
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
nagging,"v bother persistently with trivial complaints
v worry persistently
v remind or urge constantly
s continually complaining or faultfinding"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
dishonest,a. deceptive or fraudulent; disposed to cheat or defraud or deceive
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
lookout,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
selfish,a. concerned chiefly or only with yourself and your advantage to the exclusion of others
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
cure,"v. prepare by drying, salting, or chemical processing in order to preserve
v. make (substances) hard and improve their usability
v. be or become preserved"
psychiatrist,n. a physician who specializes in psychiatry
handy,"n. United States blues musician who transcribed and published traditional blues music (1873-1958)
s. easy to reach
s. easy to use
s. skillful with the hands"
therapist,n. a person skilled in a particular type of therapy
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
dive into sth.,none
hang out,n a frequently visited place
hang out with,none
there's no denying,none
there's no denying sth.,none
there's no denying that,none
for nothing,none
lose touch,none
associate with,none
make sure,none
take sth. seriously,none
parkway,n a wide scenic road planted with trees
driveway,n. a road leading up to a private house
shipment,"n goods carried by a large vehicle
n the act of sending off something"
cargo,n. goods carried by a large vehicle
breathe,"v. draw air into, and expel out of, the lungs
v. be alive
v. impart as if by breathing
v. allow the passage of air through"
invisible,a. impossible or nearly impossible to see; imperceptible by the eye
inescapable,"s impossible to avoid or evade:""inescapable conclusion"""
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
escape,"n. the act of escaping physically
n. an inclination to retreat from unpleasant realities through diversion or fantasy
n. an avoidance of danger or difficulty
n. a means or way of escaping"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
paradox,n. (logic) a statement that contradicts itself
darkroom,n. a room in which photographs are developed
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
daydream,v. have dreamlike musings or fantasies while awake
tomboy,n. a girl who behaves in a boyish manner
midwife,n. a woman skilled in aiding the delivery of babies
quicksand,"n. a treacherous situation that tends to entrap and destroy
n. a pit filled with loose wet sand into which objects are sucked down"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
tablecloth,n. a covering spread over a dining table
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
asylum,"n a shelter from danger or hardship
n a hospital for mentally incompetent or unbalanced person"
verbally,"r. as a verb
r. by means of language"
insane,a. afflicted with or characteristic of mental derangement
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
blunt,"v. make less intense
v. make less sharp
s. having a broad or rounded end
s. used of a knife or other blade; not sharp"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
oversee,v. watch and direct
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
marvel,v. express astonishment or surprise about something
lunacy,n. obsolete terms for legal insanity
tongue,"n. a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
n. any long thin projection that is transient
n. a manner of speaking
n. the tongue of certain animals used as meat"
alarm,"n. fear resulting from the awareness of danger
n. a device that signals the occurrence of some undesirable event
n. an automatic signal (usually a sound) warning of danger
v. warn or arouse to a sense of danger or call to a state of preparedness"
column,"n. a line of units following one after another
n. a vertical glass tube used in column chromatography; a mixture is poured in the top and washed through a stationary substance where components of the mixture are adsorbed selectively to form colored bands
n. a vertical array of numbers or other information
n. anything that approximates the shape of a column or tower"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
contradict,"v. be in contradiction with
v. deny the truth of"
creative,"a. having the ability or power to create
s. promoting construction or creation"
fearful,"s. experiencing or showing fear
s. extremely distressing
s. timid by nature or revealing timidity"
asymmetry,n. (mathematics) a lack of symmetry
at least,none
take sth. for granted,none
step back,none
take place,none
broad daylight,none
in broad daylight,none
quite a lot,none
quite a bit,none
quite a few,none
wind up,s. operated by a mechanism
burn up,none
burn down,none
slow up,none
slow down,n. the act of slowing down or falling behind
fill in,n someone who takes the place of another (as when things get dangerous or difficult)
fill out,none
go off,none
add up,none
contradict yourself,none
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
frustrating,"s. discouraging by hindering
s. preventing realization or attainment of a desire"
fruitless,s unproductive of success
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
semester,"n. one of two divisions of an academic year
n. half a year; a period of 6 months"
dedicated,a. devoted to a cause or ideal or purpose
slave,"n. a person who is owned by someone
n. someone who works as hard as a slave
n. someone entirely dominated by some influence or person
v. work very hard, like a slave"
flashcard,n a card with words or numbers or pictures that is flashed to a class by the teacher
preparation,"n. the activity of putting or setting in order in advance of some act or purpose
n. (music) a note that produces a dissonant chord is first heard in a consonant chord"
presentation,"n. the activity of formally presenting something (as a prize or reward)
n. a show or display; the act of presenting something to sight or view
n. the act of making something publicly available; presenting news or other information by broadcasting or printing it
n. the act of presenting a proposal"
drawer,"n. a boxlike container in a piece of furniture; made so as to slide in and out
n. the person who writes a check or draft instructing the drawee to pay someone else"
silverware,n. tableware made of silver or silver plate or pewter or stainless steel
dump,"n. a piece of land where waste materials are dumped
n. (computer science) a copy of the contents of a computer storage device; sometimes used in debugging programs
n. a place where supplies can be stored
v. throw away as refuse"
flight,"n. a formation of aircraft in flight
n. an instance of traveling by air
n. a stairway (set of steps) between one floor or landing and the next
n. an air force unit smaller than a squadron"
stair,n support consisting of a place to rest the foot while ascending or descending a stairway
punctuation,"n. something that makes repeated and regular interruptions or divisions
n. the marks used to clarify meaning by indicating separation of words into sentences and clauses and phrases
n. the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases"
forgive,"v. stop blaming or grant forgiveness
v. absolve from payment"
frustration,"n. the feeling that accompanies an experience of being thwarted in attaining your goals
n. an act of hindering someone's plans or efforts
n. a feeling of annoyance at being hindered or criticized"
hardship,n. something that causes or entails suffering
exhausting,s. producing exhaustion
devote,v. set aside or apart for a specific purpose or use
depressing,a. causing sad feelings of gloom and inadequacy
recipe,n. directions for making something
disaster,n. an act that has disastrous consequences
exception,"n. a deliberate act of omission
n. an instance that does not conform to a rule or generalization; the only exception was her last child""
n. grounds for adverse criticism"
assured,"s. marked by assurance; exhibiting confidence
s. characterized by certainty or security"
onus,n an onerous or difficult concern
respectfully,r. in a respectful manner
by and large,none
for all,none
give up,none
at the same time,none
all too often,none
rest assured,none
rest assured that,none
fool around,none
set aside,s reserved in advance
for now,none
hospitality,n kindness in welcoming guests or strangers
squirm,"n the act of wiggling
v to move in a twisting or contorted motion, (especially when struggling)"
nicety,"n conformity with some esthetic standard of correctness or propriety
n a subtle difference in meaning or opinion or attitude"
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
token,"n. an individual instance of a type of symbol
n. something serving as a sign of something else
n. a metal or plastic disk that can be redeemed or used in designated slot machines"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
potluck,n. whatever happens to be available especially when offered to an unexpected guest or when brought by guests and shared by all
informal,"a. not formal
s. not officially recognized or controlled
a. used of spoken and written language"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
customary,s. in accordance with convention or custom
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
dessert,n. a dish served as the last course of a meal
chit-chat,"n. light informal conversation for social occasions
v. talk socially without exchanging too much information"
snoop,n. a spy who makes uninvited inquiries into the private affairs of others
housewarming,n. a party of people assembled to celebrate moving into a new home
unannounced,s. without warning or announcement
thumb,"n. the thick short innermost digit of the forelimb
n. the part of a glove that provides a covering for the thumb"
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
pest,"n. a persistently annoying person
n. any unwanted and destructive insect or other animal that attacks food or crops or livestock etc."
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
hospitable,"a. favorable to life and growth
a. disposed to treat guests and strangers with cordiality and generosity
s. having an open mind"
folk,n. people in general (often used in the plural)
entertain,"v. provide entertainment for
v. take into consideration, have in view"
legendary,s. so celebrated as to having taken on the nature of a legend
mat,"n. a thick flat pad used as a floor covering
n. mounting consisting of a border or background for a picture
n. sports equipment consisting of a piece of thick padding on the floor for gymnastic sports
n. a mass that is densely tangled or interwoven"
wipe,v. rub with a circular motion
feel at home,none
on time,none
or else,none
wear out your welcome,none
above all,none
drop by,none
rule of thumb,none
for days at a time,none
for weeks at a time,none
in particular,none
welcome sb. with open arms,none
welcome sth. with open arms,none
greet sb. with open arms,none
greet sth. with open arms,none
cheek,"n. either side of the face below the eyes
v. speak impudently to"
greet,"v. express greetings upon meeting someone
v. send greetings to
v. react to in a certain way
v. be perceived by"
Parisian,"n. a native or resident of Paris
a. of or relating to or characteristic of Paris or its inhabitants"
midway,"n. the place at a fair or carnival where sideshows and similar amusements are located
n. naval battle of World War II (June 1942); American planes based on land and on carriers decisively defeated a Japanese fleet on its way to invade the Midway Islands"
arouse,"v. call forth (emotions, feelings, and responses)
v. to begin moving, ""As the thunder started the sleeping children began to stir""
v. stimulate sexually"
breadth,n. the capacity to understand a broad range of topics
finding,"n. the decision of a court on issues of fact or law
n. something that is found"
conclusion,"n. an intuitive assumption
n. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)
n. a final settlement
n. the last section of a communication"
Italian,"n. a native or inhabitant of Italy
n. the Romance language spoken in Italy
a. of or pertaining to or characteristic of Italy or its people or culture or language"
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
puzzled,"v be a mystery or bewildering to
v be uncertain about; think about without fully understanding or being able to decide
s filled with bewilderment"
crowded,a. overfilled or compacted or concentrated
Spanish,"n. the Romance language spoken in most of Spain and the countries colonized by Spain
n. the people of Spain
a. of or relating to or characteristic of Spain or the people of Spain"
uneasy,"a. lacking a sense of security or affording no ease or reassurance
s. relating to bodily unease that causes discomfort"
weird,"s. strikingly odd or unusual; some weird effect of shadow""- Bram Stoker"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
cigarette,n. finely ground tobacco wrapped in paper; for smoking
unnecessary,a. not necessary
perceive,"v. to become aware of through the senses
v. become conscious of"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
waiter,"n. a person whose occupation is to serve at table (as in a restaurant)
n. a person who waits or awaits"
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
miserable,"s. very unhappy; full of misery
s. characterized by physical misery"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
tolerance,"n. the power or capacity of an organism to tolerate unfavorable environmental conditions
n. the act of tolerating something
n. willingness to recognize and respect the beliefs or practices of others"
suitable,s. meant or adapted for an occasion or use
dressing gown,none
the length and breadth of,none
get on,none
carry on,none
back away,none
refer to sb.,none
refer to sth.,none
reserve the right to do sth.,none
get tired of sth.,none
grow tired of sth.,none
get tired of doing sth.,none
grow tired of doing sth.,none
turn round and do sth.,none
come to an end,none
technical,"n. a pickup truck with a gun mounted on it
a. of or relating to technique or proficiency in a practical skill
a. characterizing or showing skill in or specialized knowledge of applied arts and sciences
a. of or relating to a practical subject that is organized according to scientific principles"
management,"n. the act of managing something
n. those in charge of running a business"
brainchild,n a product of your creative thinking and work
debut,"n. the presentation of a debutante in society
v. present for the first time to the public
v. appear for the first time in public
v. make one's debut"
chat,n. an informal conversation
networking,v communicate with and within a group
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
billion,"n. the number that is represented as a one followed by 12 zeros; in the United Kingdom the usage followed in the United States is frequently seen
n. the number that is represented as a one followed by 9 zeros
s. denoting a quantity consisting of one thousand million items or units in the United States
s. denoting a quantity consisting of one million million items or units in Great Britain"
globally,r. throughout the world
seeker,"n. someone making a search or inquiry
n. a missile equipped with a device that is attracted toward some kind of emission (heat or light or sound or radio waves)"
provider,n. someone who provides the means for subsistence
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
locate,"v. discover the location of; determine the place of; find by searching or examining
v. assign a location to"
comparison,"n. the act of examining resemblances
n. relation based on similarities and differences
n. qualities that are comparable"
limit,"n. the greatest possible degree of something
n. as far as something can go
n. the boundary of a specific area
n. the mathematical value toward which a function goes as the independent variable approaches infinity"
commercial,"n. a commercially sponsored ad on radio or television
a. connected with or engaged in or sponsored by or used in commerce or commercial enterprises
a. of or relating to commercialism
s. of the kind or quality used in commerce; average or inferior"
revolution,"n. a drastic and far-reaching change in ways of thinking and behaving
n. the overthrow of a government by those who are governed"
e-commerce,n. commerce conducted electronically (as on the internet)
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
visa,"n. an endorsement made in a passport that allows the bearer to enter the country issuing it
v. provide (a passport) with a visa
v. approve officially"
download,v. transfer a file or program from a central computer to a smaller computer or to a computer at a remote location
consumer,n. a person who uses goods or services
globe,n. a sphere on which a map (especially of the earth) is represented
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
retail,"n. the selling of goods to consumers; usually in small quantities and not for resale
v. be sold at the retail level
v. sell on the retail market
r. at a retail price"
payment,"n. a sum of money paid or a claim discharged
n. the act of paying money"
wave,"n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
n. a movement like that of a sudden occurrence or increase in a specified phenomenon
n. (physics) a movement up and down or back and forth
n. something that rises rapidly"
scanner,"n. someone who scans verse to determine the number and prosodic value of the syllables
n. an electronic device that generates a digital representation of an image for data input to a computer
n. a radar dish that rotates or oscillates in order to scan a broad area
n. a radio receiver that moves automatically across some selected range of frequencies looking for some signal or condition"
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
fingertip,n. the end (tip) of a finger
go live,none
bring about,none
thanks to,none
keep in touch,none
as long as,none
be limited to sth.,none
at your fingertips,none
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
resort-wear,none
mall,"n a public area set aside as a pedestrian walk
n mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
retailer,n. a merchant who sells goods at retail
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
superimpose,v. place on top of
reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
bar code,none
daring,"n a challenge to do something dangerous or foolhardy
n the trait of being willing to undertake things that involve risk or danger
v take upon oneself; act presumptuously, without permission
v to be courageous enough to try or do something
v challenge
s disposed to venture or take risks
s radically new or original"
thumbs-down,none
coupon,"n. a negotiable certificate that can be detached and redeemed as needed
n. a test sample of some substance"
life-size,s. being of the same size as an original
irresistible,"a. impossible to resist; overpowering
s. overpoweringly attractive"
summer-weight,none
fanciful,"s. indulging in or influenced by fancy
s. not based on fact; unreal
s. having a curiously intricate quality"
transparency,"n. permitting the free passage of electromagnetic radiation
n. the quality of being clear and transparent"
peak,n. the top or extreme point of something (usually a mountain or hill)
gasoline,n. a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
index,"n. a numerical scale used to compare variables with one another or with some reference number
n. a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time
n. an alphabetical listing of names and topics along with page numbers where they are discussed
n. the finger next to the thumb"
discount store,none
flood,"n. the rising of a body of water and its overflowing onto normally dry land
n. an overwhelming number or amount
n. light that is a source of artificial illumination having a broad beam; used in photography
n. a large flow"
instance,"n an occurrence of something
n an item of information that is typical of a class or group
v clarify by giving an example of"
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
click,"n. depression of a button on a computer mouse
v. make a clicking or ticking sound
v. produce a click
v. become clear or enter one's consciousness or emotions"
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
wage,n. something that remunerates
talent,n. a person who possesses unusual innate ability in some field or activity
cloud computing,none
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
try on,n putting clothes on to see whether they fit
by name,n. A nickname.
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
come true,none
a wealth of,none
as well,none
no wonder,none
small wonder,none
little wonder,none
it's no wonder,none
it's small wonder,none
it's little wonder,none
flood the market,none
unfreeze,"v become or cause to become soft or liquid
v make (assets) available"
dim,"v. switch (a car's headlights) from a higher to a lower beam
v. become dim or lusterless
v. make dim or lusterless
s. lacking in light; not bright or harsh"
icy,"s. covered with or containing or consisting of ice
s. shiny and slick as with a thin coating of ice"
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
bossy,s offensively self-assured or given to exercising usually unwarranted power
uptight,s being in a tense state
obsess,v. be preoccupied with something
upcoming,s of the relatively near future
wedding,"n. the social event at which the ceremony of marriage is performed
n. a party of people at a wedding"
coronation,n. the ceremony of installing a new monarch
jealous,s. suspicious or unduly suspicious or fearful of being displaced by a rival
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
revenge,v. take revenge for a perceived wrong
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
crown,"n. the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy
n. the part of a tooth above the gum that is covered with enamel
n. a wreath or garland worn on the head to signify victory
n. an ornamental jeweled headdress signifying sovereignty"
vicious,"s (of persons or their actions) able or disposed to inflict pain or suffering
s having the nature of vice
s bringing or deserving severe rebuke or censure
s marked by deep ill will; deliberately harmful"
creature,"n. a human being; `wight' is an archaic term
n. a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
cooperation,"n. joint operation or action
n. the practice of cooperating"
defeat,n. an unsuccessful ending to a struggle or contest
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
core,"n. a small group of indispensable persons or things
n. the center of an object
n. the central part of the Earth
n. a cylindrical sample of soil or rock obtained with a hollow drill"
constantly,"r. without variation or change, in every case
r. without interruption"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
chorus,"n. any utterance produced simultaneously by a group
n. a group of people assembled to sing together
n. a body of dancers or singers who perform together
n. a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
lovable,a. having characteristics that attract love or affection
clarity,n. free from obscurity and easy to understand; the comprehensibility of clear expression
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
charming,"s. pleasing or delighting
s. possessing or using or characteristic of or appropriate to supernatural powers"
infatuation,"n. a foolish and usually extravagant passion or love or admiration
n. an object of extravagant short-lived passion"
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
