participate,v. share in something
hunter,"n. someone who hunts game
n. a person who searches for something
n. a watch with a hinged metal lid to protect the crystal"
skin,"n. a natural protective body covering and site of the sense of touch
n. an outer surface (usually thin)
n. a person's skin regarded as their life
n. a bag serving as a container for liquids; it is made from the hide of an animal"
the Antarctic,none
on one's way,none
Norwegian,"n. a native or inhabitant of Norway
n. a Scandinavian language that is spoken in Norway
a. of or relating to Norway or its people or culture or language"
preparation,"n. the activity of putting or setting in order in advance of some act or purpose
n. (music) a note that produces a dissonant chord is first heard in a consonant chord"
sledge,"v. transport in a sleigh
v. ride in or travel with a sledge"
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
shock,"n. the violent interaction of individuals or groups entering into combat
n. (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor
n. an instance of agitation of the earth's crust
n. an unpleasant or disappointing surprise"
goal,"n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
n. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
n. a successful attempt at scoring"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
exhausted,"s. drained of energy or effectiveness; extremely tired; completely exhausted
a. depleted of energy, force, or strength
s. drained physically"
run out of,none
hopeless,"a. without hope because there seems to be no possibility of comfort or success
s. of a person unable to do something skillfully
s. certain to fail
s. (informal to emphasize how bad it is) beyond hope of management or reform"
cheerful,"a. being full of or promoting cheer; having or showing good spirits
s. pleasantly (even unrealistically) optimistic"
distant,"a. separated in space or coming from or going to a distance
a. far apart in relevance or relationship or kinship
s. separate or apart in time
s. located far away spatially"
carry on,none
within,r on the inside
sadness,"n. emotions experienced when not in a state of well-being
n. the state of being sad"
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
patience,n. good-natured tolerance of delay or incompetence
nationality,"n. people having common origins or traditions and often comprising a nation
n. the status of belonging to a particular nation by birth or naturalization"
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
Arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
transport,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes
v. move something or somebody around; usually over long distances
v. move while supporting, either in a vehicle or in one's hands or on one's body
v. transport commercially"
observe,"v. watch attentively
v. behave as expected during of holidays or rites
v. stick to correctly or closely
v. conform one's action or practice to"
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
survival,"n. a state of surviving; remaining alive
n. a natural process resulting in the evolution of organisms best adapted to the environment
n. something that survives"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
limit,"n. the greatest possible degree of something
n. as far as something can go
n. the boundary of a specific area
n. the mathematical value toward which a function goes as the independent variable approaches infinity"
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
minibus,n. a light bus (4 to 10 passengers)
cyclist,n. a person who rides a bicycle
motorist,n. someone who drives (or travels in) an automobile
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
jam,"n. preserve of crushed fruit
v. push down forcibly
v. crush or bruise
v. interfere with or prevent the reception of signals"
traffic jam,none
actually,"r. in actual fact
r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
r. at the present moment
r. as a sentence modifier to add slight emphasis"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
flat,"n. a level tract of land
n. a shallow box in which seedlings are started
n. a musical notation indicating one half step lower than the note named
n. a deflated pneumatic tire"
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
convenient,a. suited to your comfort or purpose or needs
parking,"n. space in which vehicles can be parked
n. the act of maneuvering a vehicle into a location where it can be left temporarily"
convenience,"n. the state of being suitable or opportune
n. the quality of being useful and convenient"
hopeful,a. having or manifesting hope
neighbourhood,"n a surrounding or nearby region
n people living near one another"
wherever,r. where in the world
thief,n. a criminal who takes property belonging to someone else with the intention of keeping it or selling it
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
indeed,"r. in truth (often tends to intensify)
r. (used as an interjection) an expression of surprise or skepticism or irony etc."
fed up,none
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
arrest,n. the state of inactivity following an interruption
bone,"n. rigid connective tissue that makes up the skeleton of vertebrates
n. the porous calcified substance from which bones are made
n. a shade of white the color of bleached bones
v. remove the bones from"
work out,n the activity of exerting your muscles in various ways to keep fit
argue,"v. present reasons and arguments
v. have an argument about something
v. give evidence of"
baggage,"n. cases used to carry belongings when traveling
n. a worthless or immoral woman
n. the portable equipment and supplies of an army"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
ambassador,"n. a diplomat of the highest rank; accredited as representative from one country to another
n. an informal representative"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
grey,"n. United States writer of western adventure novels (1875-1939)
n. Queen of England for nine days in 1553; she was quickly replaced by Mary Tudor and beheaded for treason (1537-1554)
n. Englishman who as Prime Minister implemented social reforms including the abolition of slavery throughout the British Empire (1764-1845)
n. any organization or party whose uniforms or badges are grey"
gentle,"v. stroke soothingly
s. soft and mild; not harsh or stern or severe
s. having or showing a kindly or tender nature
s. quiet and soothing"
fierce,s. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
interpreter,"n. someone who mediates between speakers of different languages
n. someone who uses art to represent something
n. (computer science) a program that translates and executes source language statements one line at a time"
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
timetable,"n. a schedule listing events and the times at which they will take place
n. a schedule of times of arrivals and departures"
foolish,a. devoid of good sense or judgment
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
rely on,none
hostess,"n. a woman host
n. a woman innkeeper"
air hostess,none
non-smoking,none
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
suitcase,n a portable rectangular container for carrying clothes
pull up,n. an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar
pull out,n to break off a military action with an enemy
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
petrol,n a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines
gas,"n. the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
n. a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely
v. attack with gas; subject to gas fumes"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
racer,"n. someone who drives racing cars at high speeds
n. a fast car that competes in races
n. an animal that races
n. slender fast-moving North American snakes"
sunlight,n. the rays of the sun
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
so far,none
take place,none
northwest,"n. the northwestern region of the United States
n. the direction corresponding to the northwestward compass point
n. the compass point midway between north and west; at 315 degrees"
southeast,"n. the compass point midway between south and east; at 135 degrees
n. the southeastern region of the United States
n. the direction corresponding to the southeastward compass point"
chapter,"n. a subdivision of a written work; usually numbered and titled
n. any distinct period in history or in a person's life
n. a local branch of some fraternity or association
n. an ecclesiastical assembly of the monks in a monastery or even of the canons of a church"
impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
reliable,a. worthy of reliance or trust
golf,"n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
v. play golf"
operator,"n. (mathematics) a symbol or function representing a mathematical operation
n. an agent that operates some apparatus or machine
n. someone who owns or operates a business
n. a speculator who trades aggressively on stock or commodity markets"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
shopping,"n. searching for or buying goods or services
n. the commodities purchased from stores"
carbon monoxide,none
highway,n. a major road for any form of motor transport
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
pavement,n. the paved surface of a thoroughfare
crossroads,n. a point where a choice must be made
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
motor,"n. machine that converts other forms of energy into mechanical energy and so imparts motion
n. a nonspecific agent that imparts motion"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
go up,none
engine,"n. motor that converts thermal energy to mechanical work
n. something used to achieve a purpose
n. an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc."
per,"prep. Through; by means of; through the agency of; by; for; for
   each; as, per annum; per capita, by heads, or according to individuals;
   per curiam, by the court; per se, by itself, of itself. Per is also
   sometimes used with English words."
centigrade,a. of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
addicted,a. compulsively or physiologically dependent on something habit-forming
on average,none
occupy,"v. live (in a certain place)
v. occupy the whole of"
somehow,"r. in some unspecified way or manner; or by some unspecified means
r. for some unspecified reason;"
whichever,pron. & a. Alt. of Whichsoever
suit,"n. a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n. (slang) a businessman dressed in a business suit
n. a petition or appeal made to a person of superior status or rank
n. playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color"
damage,"n. the occurrence of a change for the worse
n. loss of military equipment
n. the act of damaging something or someone
v. inflict damage upon"
nowhere,"n. an insignificant place
r. not anywhere; in or at or to no place"
