a bit, 3d sing. pres. of Abide.
be content with,none
feel content with,none
be covered with,none
be crazy about,none
be crowded with,none
be curious about,none
be curious to,none
be decorated with,none
be delighted to,none
be dependent on,none
be devoted to,none
be different from,none
be drafted into,none
be dressed in,none
be dying to,none
be dying for,none
be engaged in,none
be engaged to,none
get engaged to,none
be equal to,none
be equipped with,none
be familiar to,none
be familiar with,none
be famous as,none
be famous for,none
be filled with,none
be fit for,none
be flooded with,none
be fond of,none
be free from,none
be free of,none
be free to do sth.,none
be full of,none
be furnished with,none
be going to do,none
be good at,none
be happy with,none
be hard on,none
be home to,none
be honored for,none
be impressed with,none
be impressed by,none
be inferior to,none
be interested in,none
be known as,none
be known for,none
be likely to,none
be located at,none
be located in,none
be located on,none
be lost in,none
be made from,none
be made in,none
be made of,none
be made out of,none
be made up of,none
be married to,none
be occupied with,none
be opposed to,none
be particular about,none
be pleased at,none
be pleased about,none
be pleased with,none
be popular with,none
be prepared for,none
be proud about,none
be proud of,none
be proud to,none
be ready for,none
be ready to,none
be related to,none
be relevant to,none
be responsible for,none
be responsible to,none
be restricted to,none
be rich in,none
be rude to,none
be satisfied with,none
be scared to death,none
be sensitive to,none
be sentenced to death,none
be short for,none
be short of,none
be similar,none
be similar to,none
be strict in,none
be strict with,none
be superior to,none
be supposed to,none
be sure about,none
be sure of,none
be sure to,none
be tired from,none
be tired of,none
be tired out,none
be to blame,none
be true of,none
be unique to,none
be up to,none
be used to do,none
be used to doing,none
get used to doing,none
be willing to do sth.,none
be worth sth.,none
be worth doing sth.,none
be worthy of,none
be worthy to,none
beat down,none
because of,none
become of,none
before long,none
begin with,none
believe in,none
believe it or not,none
belong to,none
benefit from,none
beyond control,none
beyond description,none
bid for,none
bits and pieces,none
black and blue,s. discolored by coagulation of blood beneath the skin
black out,"n. a suspension of radio or tv broadcasting
n. darkness resulting from the extinction of lights (as in a city invisible to enemy aircraft)
n. the failure of electric power for a general region
n. a momentary loss of consciousness"
blame sb. for ...,none
blame sth. on sb.,none
block out,none
blow away,none
blow up,"n a violent release of energy caused by a chemical or nuclear reaction
n an unrestrained expression of emotion
n a photographic print that has been enlarged"
book up,none
both ... and,none
bow down,none
break away,"n. the act of breaking away or withdrawing from
s. having separated or advocating separation from another entity or policy or attitude"
break away from,none
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
break in,n trespassing for an unlawful purpose; illegal entrance into premises with criminal intent
break into,none
break off,none
break one's promise,none
break out,n an escape from jail
break the record,none
break up,"n. Disruption; a separation and dispersion of the parts or
   members; as, a break-up of an assembly or dinner party; a break-up of
   the government."
bring about,none
bring an end to,none
bring back,none
bring down,none
bring forth,none
bring forward,none
bring in,none
bring on,none
bring out,none
bring up,none
build up,"n. the act of building up an accumulation
n. the result of the process of accumulation
n. highly favorable publicity and praise"
burn down,none
burn one's bridges,none
burn out,none
burn to death,none
burn up,none
burst into,none
burst out,none
but for,none
by accident,none
by air,none
by all means,none
by and by,n. an indefinite time in the future
by chance,none
by coincidence,none
by far,none
by hand,none
by means of,none
by mistake,none
by name,n. A nickname.
by nature,none
by no means,none
by oneself,none
by reason of,none
by the day,none
by the end of,none
by the side of,none
by the time,none
by the way,none
by then,none
by turns,none
by virtue of,none
by way of,none
call attention to,none
call at,none
call for,none
call in,n. a telephone call to a radio station or a television station in which the caller participates in the on-going program
call off,none
call on,none
call upon,none
call out,n. a challenge to a fight or duel
call up,none
calm down,none
can't but,none
can't help but,none
can't help doing,none
can't wait to,none
care about,none
care for,none
carry away,none
carry off,none
carry on,none
carry out,none
cast about for,none
cast aside,none
catch a glimpse of,none
catch fire,none
catch hold of,none
catch on,none
catch sight of,none
catch up,n. Alt. of Catsup
catch up with,none
cater for,none
cater to,none
centre on,none
centre upon,none
change ... for ...,none
change into,none
change ... into,none
change one's mind,none
charge for,none
charge sb. with,none
check in,n. the act of reporting your presence (as at an airport or a hotel)
check on,none
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
check up on,none
cheer ... on,none
cheer up,none
chew over,none
chip in,none
choke off,none
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
clear away,none
clear up,none
click on,none
close down,n termination of operations
collect oneself,none
come about,none
come across,none
come along,none
come back,n. return by a celebrity to some previously successful activity
come down,n. decline to a lower status or level
come forward,none
come from,none
come in,none
come into being,none
come into view,none
come off,none
come on,"n anything that serves as an enticement
n qualities that attract by seeming to promise some kind of reward"
come out,none
come over,none
come straight to the point,none
come through,none
come to,none
come to terms with,none
come true,none
come up,none
come up to,none
come up with,none
compare ... to,none
compared to,none
compare with,none
compensate for,none
complain about,none
complain of,none
complain to,none
concentrate on,none
concentrate upon,none
congratulate ... on,none
congratulate ... upon,none
connect with,none
consider as,none
consist in,none
consist of,none
consist with,none
contrary to,none
contribute to,none
convince ... of ...,none
cool down,none
cool off,none
correspond to,none
correspond with,none
count on,none
count upon,none
cross out,none
crowd in,none
cry out,none
cut across,none
cut back on,none
cut down,none
cut in,"n. (broadcasting) a local announcement inserted into a network program
n. (film) a still picture that is introduced and that interrupts the action of a film"
cut into,none
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
cut out,"n. a switch that interrupts an electric circuit in the event of an overload
n. a photograph from which the background has been cut away
n. a part that is cut out or is intended to be cut out"
cut through,none
cut up,n. someone who plays practical jokes on others
dance to,none
dare to,none
date from,none
date back to,none
day after day,s of or belonging to or occurring every day
day and night,none
day by day,none
"day in, day out",none
deal with,none
debate on,none
debate about,none
decide on,none
decide upon,none
declare for,none
declare war on,none
declare war against,none
dedicate ... to,none
defend ... against,none
defend ... from,none
depend on,none
depend upon,none
deposit ... in,none
descend from,none
describe ... as,none
deserve to do sth.,none
develop into,none
devote ... to,none
die away,none
die down,none
die for,none
die from,none
die of,none
die out,none
differ from,none
differ in,none
dig into,none
dig out,none
dig up,none
distinguish between ... and ...,none
distinguish ... from,none
dive into,none
divide ... into,none
divide up,none
do away with,none
do a good deed,none
do good deeds,none
do good to,none
do harm to,none
do one's best,none
try one's best,none
do one's homework,none
do research on,none
do sb. a favor,none
do some cleaning,none
do up,none
do with,none
do without,none
donate ... to,none
don't mention it,none
dozens of,none
draw a conclusion,none
draw in,none
draw on,none
draw upon,none
draw sb.'s attention,none
draw up,none
dream about,none
dream of,none
dress up,none
drop away,none
drop back,none
drop behind,none
drop by,none
drop over,none
drop in,none
drop off,"n a noticeable deterioration in performance or quality
n a steep high face of rock
n a change downward"
drop out,"n. someone who quits school before graduation
n. someone who withdraws from a social group or environment"
drop out of,none
dry out,none
dry up,none
due to,none
each other,none
earn a living,none
earn one's living,none
ease off,none
eat one's words,none
eat up,none
either ... or,none
empty into,none
end in,none
end up,none
enjoy oneself,none
enter for,none
even as,none
even if,none
even though,none
even now,none
even so,none
ever since,none
ever so,none
every day,"s. found in the ordinary course of events
s. commonplace and ordinary"
every now and then,none
every now and again,none
every other,none
except for,none
exist in,none
expert at,none
expert in,none
expert on,none
expose ... to,none
face to face,"s. in each other's presence
r. within each other's presence
r. directly facing each other"
face up to,none
faced with,none
fade away,none
fade out,"n. a slow or gradual disappearance
n. a gradual temporary loss of a transmitted signal due to electrical disturbances"
fail in,none
fall apart,none
fall asleep,none
fall behind,none
fall down,none
fall for,none
fall ill,none
fall in love with,none
fall into a habit of,none
fall into the habit of,none
fall off,n a noticeable deterioration in performance or quality
fall out,n. the radioactive particles that settle to the ground after a nuclear explosion
fall over,none
fall through,none
far and wide,none
far away,"s. very far away in space or time
s. far removed mentally"
far from,none
fasten on,none
feed on,none
feed up,none
feel like,none
feel one's way,none
feel sorry for,none
fight against,none
fight for,none
figure out,none
fill in,n someone who takes the place of another (as when things get dangerous or difficult)
fill out,none
fill up with,none
find out,none
first of all,none
fit for,none
be fit for,none
fit in,none
fit up,none
fix a date for,none
fix on,none
fix upon,none
focus on,none
focus upon,none
fold up,none
follow sb.'s advice,none
follow up,"n. a piece of work that exploits or builds on earlier work
n. an activity that continues something that has already begun or that repeats something that has already been done
n. a subsequent examination of a patient for the purpose of monitoring earlier treatment"
for a moment,none
for a start,none
for ages,"n bulky food like grass or hay for browsing or grazing horses or cattle
n the act of searching for food and provisions
v collect or look around for (food)
v wander and feed"
for an instant,none
for certain,none
for ever,r. for a very long or seemingly endless time
for example,none
for fear of,none
for free,none
for lack of,none
for nothing,none
for one's part,none
for one thing ... for another,none
for sale,none
for short,none
for sure,none
for the benefit of,none
for the moment,none
for the purpose of,none
for the sake of,none
forget to do sth.,none
free of charge,none
from ... on,none
from the bottom of one's heart,none
from ... to ...,none
from time to time,none
gain access,none
have access,none
gain access to,none
have access to,none
gather up,none
gaze at,none
generally speaking,none
get about,none
get around,none
get across,none
get ahead,none
get along,none
get on,none
get along with,none
get on with,none
get away,n. a rapid escape (as by criminals)
get back,none
get close,none
get close to,none
get down,none
get down to,none
get in,none
get in touch,none
get in touch with,none
get into,none
get involved with,none
get married,none
get married to,none
get off,none
get on,none
get out of control,none
get over,none
get rid of,none
get through,none
get to,none
get to one's feet,none
get together,none
get up,n a set of clothing (with accessories)
get used to,none
give an account of,none
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
give back,none
give birth to,none
give ... credit for,none
give in,none
give life to,none
give off,none
give out,none
give sb. a hand,none
give sb. a lift,none
give up,none
give way to,none
glance at,none
glare at,none
go about,none
go after,none
go against,none
go ahead,"n a signal to proceed
n readiness to embark on bold new ventures"
go along,none
go away,none
go back on,none
go bad,none
go by,"n. A passing without notice; intentional neglect; thrusting
   away; a shifting off; adieu; as, to give a proposal the go-by."
go down,n. (in India and Malaysia) a warehouse
go for a walk,none
go in for,none
go into,none
go mad,none
go off,none
go on,"n an awkward stupid person
n an aggressive and violent young criminal"
go out,none
go over,none
go through,none
go up,none
go wrong,none
graduate from,none
green with envy,none
grow up,none
had better,none
hand back,none
hand down,s passed on from one person to another
hand in,none
hand on,none
hand out,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
hand over,n. act of relinquishing property or authority etc
hang about,none
hang in,none
hang on,none
hang up,"n. an emotional preoccupation
n. an unforeseen obstacle"
happen on,none
happen to,none
hardly ever,none
hardly ... when,none
have a class,none
have classes,none
have a cold,none
have a gift for,none
have a go,none
have a good time,none
have a great time,none
have a hand in,none
have a population of,none
have a say in,none
have a taste of,none
have a temperature,none
have a word with,none
have an appetite for,none
have an effect on,none
have an eye for,none
have an impact on,none
have desire to do,none
have difficulty in,none
have difficulty with,none
have faith in,none
have fun in,none
have fun with,none
have to,none
have got to,none
have ... in common,none
have influence on,none
have an influence on,none
have sb. do,none
have sth. do,none
have sb. doing,none
have sth. doing,none
have something to do with,none
have sth. done,none
have sth. on one's mind,none
have sth. in stock,none
have sth. to do,none
have to,none
have trouble doing,none
have trouble in doing,none
have words with,none
hear about,none
hear of,none
hear from,none
hear out,none
heart and soul,none
help oneself,none
help oneself to,none
help ... out,none
help sb. with,none
here you are,none
hit on,none
hit upon,none
hold back,"n. Check; hindrance; restraint; obstacle.
n. The projection or loop on the thill of a vehicle. to
   which a strap of the harness is attached, to hold back a carriage when
   going down hill, or in backing; also, the strap or part of the harness
   so used."
hold down,n. a limitation or constraint
hold on,none
hold one's breath,none
hold out,"n. a negotiator who hopes to gain concessions by refusing to come to terms
n. a refusal by a negotiator to come to terms in the hope of obtaining a better deal
n. the act of hiding playing cards in a gambling game so they are available for personal use later"
hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
how about,none
how far,none
how long,none
how many,none
how much,none
how often,none
how old,none
how soon,none
hundreds of,none
hunt for,none
hurry into,none
hurry up,none
if only,none
if possible,none
impress on,none
impress ... with,none
improve on,none
improve upon,none
in a dilemma,none
in a flash,none
in a hurry,none
in a rush,none
in a moment,none
in a nutshell,none
in a row,none
in a way,none
in a whisper,none
in whispers,none
in a word,none
in accordance with,none
in addition,none
in advance,none
in agreement with,none
in aid of,none
in all,none
in amazement,none
in answer to,none
in any case,none
in appreciation of,none
in battle,none
in brief,none
in case,"v enclose in, or as if in, a case"
in case of,none
in cash,none
in celebration of,none
in charge,none
in charge of,none
in common,none
in company,none
in comparison with,none
in comparison to,none
in conclusion,none
in ... condition,none
in confidence,none
in contrast to,none
in control,none
in control of,none
in danger,none
in debt,"v. t. To bring into debt; to place under obligation; --
   chiefly used in the participle indebted."
in demand,none
in detail,none
in disguise,none
in effect,none
in English,none
in error,none
in exchange,none
in existence,"n. Inherence; subsistence.
n. That which exists within; a constituent.
n. Want of being or existence."
in face of,none
in the face of,none
in fact,none
in favor of,none
in force,none
in front,none
in front of,none
in future,none
in general,none
in hand,none
in harmony,n. Want of harmony.
in harmony with,none
in honor of,none
in hospital,none
in line,none
in memory of,none
in nature,none
in need,none
in need of,none
in no case,none
in no hurry,none
in no time,none
in one's opinion,none
in one's view,none
in one's sight,none
in one's turn,none
in order,none
in order that,none
in order to,none
in other words,none
in pairs,none
in part,none
in particular,none
in peace,none
in person,s an appearance carried out personally in someone else's physical presence
in place,none
in place of,none
in possession of,none
in practice,none
in praise of,none
in preference to,none
in private,none
in public,none
in rags,none
in reality,none
in recognition of,none
in relief,none
in response to,none
in return,none
in ruins,none
in search of,none
in season,none
in shape,none
in short,none
in sight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
in silence,none
in some case,none
in spite of,none
in store,v. t. To store up; to inclose; to contain.
in sum,none
in support of,none
in surprise,none
in terms of,none
in that case,none
in the abstract,none
in the area of,none
in the balance,none
in the beginning,none
in the charge of,none
in the company of,none
in the course of,none
in the distance,none
in the end,none
in the flesh,none
in the form of,none
in the front of,none
in the future,none
in the history of,none
in the hope of,none
in the least,none
in the long run,none
in the meantime,none
in the middle of,none
in the mood for,none
in the open air,none
in the way,none
in one's way,none
in the world,none
in theory,none
in this way,none
in time,a. Inward; internal; intimate.
in total,none
in trouble,none
in turn,none
in use,none
in vain,none
in view of,none
in want of,none
increase ... to,none
infer from,none
inferior to,none
insist on,none
insist upon,none
insist that,none
instead of,none
join hands,none
join in,none
join the army,none
join up,none
jot down,none
judge by,none
judge from,none
judging by,none
judging from,none
jump in,none
jump the queue,none
just a minute,none
just a moment,none
just about,none
just now,none
just so,none
just then,none
keep a record,none
keep a record of,none
keep an eye on,none
keep an eye out,none
keep an eye out for,none
keep at,none
keep away,none
keep away from,none
keep back,none
keep fit,none
keep from,none
keep ... from,none
keep ... in mind,none
keep in touch,none
keep in touch with,none
keep it up,none
keep off,none
keep on doing,none
keep one's balance,none
keep one's eyes on,none
keep one's head,none
keep one's promise,none
keep a promise,none
keep one's word,none
keep out,none
keep pace with,none
keep to,none
keep up,none
keep up with,none
kick off,"n. (football) a kick from the center of the field to start a football game or to resume it after a score
n. a start given to contestants"
kill off,none
kill time,none
kind of,none
knock about,"n. a sloop with a simplified rig and no bowsprit
s. suitable for rough use"
knock around,none
knock at,none
knock on,none
knock down,s. strong enough to knock down or overwhelm
knock into,none
knock off,n. an unauthorized copy or imitation
knock out,n. a blow that renders the opponent unconscious
knock over,none
knock up,none
know about,none
know of,none
know ... by heart,none
know ... from,none
lack of,none
land on one's feet,none
last but not least,none
later on,none
laugh at,none
laugh one's head off,none
lay aside,none
lay down,none
lay eggs,none
lay off,n. the act of laying off an employee or a work force
lay out,"n. a plan or design of something that is laid out
n. the act of laying out (as by making plans for something)"
lay up,n. a basketball shot made with one hand from a position under or beside the basket (and usually banked off the backboard)
lead a ... life,none
lead the way,none
lead to,none
lead up to,none
learn about,none
learn of,none
learn ... by heart,none
learn from,none
least of all,none
leave a message,none
leave ... alone,none
leave aside,none
leave behind,none
leave for,none
leave off,none
leave out,none
leave school,none
lend sth. to sb.,none
less than,none
let alone,none
let down,n a feeling of dissatisfaction that results when your expectations are not realized
let go,none
let in,none
let off,"n. A device for letting off, releasing, or giving forth, as
   the warp from the cylinder of a loom."
let out,none
let sb. do sth.,none
let up,n. a pause during which things are calm or activities are diminished
lie down,none
lie in,n. a long stay in bed in the morning
lie to,none
lie with,none
lift up,none
link ... to ...,none
link up,n a fastener that serves to join or connect
link up with,none
listen to,none
little by little,none
live by,none
live in,none
live on,none
live through,none
live up to,none
lock up,n. jail in a local police station
log in,v enter a computer
log on,none
long after,none
long before,none
long for,none
look about,none
look around,none
look about for,none
look around for,none
look after,none
look ahead,none
look as if,none
look at,none
look away,none
look away from,none
look back on,none
look down on,none
look down upon,none
look for,none
look forward to,none
look in,none
look in on,none
look in at,none
look into,none
look like,none
look on,none
look upon,none
look on ... as,none
look upon ... as,none
look out,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
look out for,none
look over,n a swift cursory examination or inspection
look the same,none
look through,none
look to,none
look up,n an operation that determines whether one or more of a set of items has a specified property
look up and down,none
look up to,none
lose control,none
lose control of,none
lose face,none
lose heart,none
lose interest in,none
lose balance,none
lose one's balance,none
lose one's head,none
lose one's heart to,none
lose one's life,none
lose one's sight,none
lose one's temper,none
lose one's voice,none
lose one's way,none
lose out,none
lose sight of,none
lose touch with,none
lose weight,none
lots of,none
major in,none
make a bet,none
make a choice,none
make a deal,none
make a decision,none
make a difference,none
make a face,none
make a fire,none
build a fire,none
make a life,none
make a living,none
make one's living,none
make a mistake,none
make a name,none
make a name for ...,none
make a noise,none
make a note of,none
make a plan for,none
make plans for,none
make a promise,none
make a record,none
make a speech,none
make believe,"n. the enactment of a pretense
s. imagined as in a play"
make contact with,none
make do,n. something contrived to meet an urgent need or emergency
make ends meet,none
make both ends meet,none
make effort,none
make for,none
make friends,none
make friends with,none
make fun of,none
make it,none
make of ...,none
make one's fortune,none
make one's way,none
make one's way to ...,none
make one's way towards ...,none
make out,none
make peace with,none
make one's peace with,none
make progress,none
make sb. do sth.,n. something contrived to meet an urgent need or emergency
make sb.'s acquaintance,none
make sense,none
make sense of,none
make sure,none
make the acquaintance of,none
make the best of,none
make the most of,none
make to sb.'s own measure,none
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
make up for,none
make up one's mind,none
make use of,none
manage to,none
mark out,none
masses of,none
match up to,none
match up with,none
mean to do,none
meet with,none
millions of,none
mind out,none
mind your own business,none
miss out,none
mistake ... for ...,none
mix up,n a mistake that results from taking one thing to be another
mix with sb.,none
model after,none
model on,none
more and more,none
more or less,none
more ... than ...,none
more than,none
move away,none
move in,none
move off,none
move on,none
move out,none
much less,none
much the same,none
much too,none
must have done,none
name after,none
narrow escape,none
near by,"s. close at hand
r. not far away in relative terms"
needless to say,none
needn't have done,none
neither ... nor ...,none
nervous about,none
be nervous about,none
never do,none
never mind,none
next to,none
no doubt,none
no less than,none
no longer,none
no matter,none
no more,none
no more than,none
no problem,none
no sooner ... than ...,none
no use,none
no way,adv. Alt. of Noways
no wonder,none
none but,none
not all,none
not always,none
not usually,none
not as ... as,none
not so ... as,none
not ... at all,none
not ... but ...,none
not in the least,none
not likely,none
not more than,none
not only ... but ...,none
not only ... but also ...,none
not really,none
not ... till,none
not ... until,none
not to mention,none
note down,none
nothing but,none
now and then,none
every now and then,none
now that,none
numbers of,none
large numbers of,none
great numbers of,none
object to,none
occur to,none
of all time,none
of course,none
of one's own,none
of the moment,none
off duty,none
on account of,none
on all fours,none
on and on,none
on average,none
on behalf of,none
on board,none
on business,none
on condition that,none
on contact,none
in contact,none
on contact with,none
in contact with,none
on duty,none
on earth,none
on end,none
on fire,none
on foot,none
on good terms with,none
on guard,none
on hand,none
on holiday,none
on occasion,none
on offer,none
on one's own,none
on one's part,none
on one's way,none
on the way,none
on one's way to,none
on the way to,none
on principle,none
on purpose,none
on sale,none
on second thought,none
on second thoughts,none
on show,none
on sight,none
on the alert,none
on the basis of,none
on the brink of,none
on the contrary,none
on the decline,none
on the increase,none
on the one hand ... on the other,none
on the one hand ... on the other hand,none
on the phone,none
on the point of,none
on the radio,none
over the radio,none
on the rise,none
on the run,none
on the spot,s. at the scene of action
on the stage,none
on the tip of one's tongue,none
on the wall,none
on the way out,none
on the whole,none
on time,none
on top of,none
once again,none
once in a blue moon,none
once in a while,none
once more,none
once upon a time,none
one after another,none
one by one,none
one day,none
only if,none
only to,none
only too,none
open the floor,none
open up,none
operate on,none
or else,none
or rather,none
or so,none
other than,none
ought to,none
out of breath,none
out of control,none
out of date,s old; no longer valid or fashionable
out of order,none
out of place,none
out of question,none
out of respect,none
out of sight,none
out of the question,none
out of work,none
over and over,none
over and over again,none
over the years,none
owe ... to,none
owing to,none
pack up,none
participate in,none
pass away,none
pass by,none
pass down,none
pass off as,none
pass on,none
pass out,none
pass through,n. an opening that resembles a window between two rooms (especially a shelved opening between a kitchen and dining room that is used to pass dishes)
pass up,none
pay a visit,none
pay a visit to,none
pay attention,none
pay attention to,none
pay back,n. financial return or reward (especially returns equal to the initial investment)
pay for,none
pay off,n. the final payment of a debt
pay up,none
perform an operation,none
persist in,none
persuade sb. to do sth.,none
pick out,none
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
pile up,n. multiple collisions of vehicles
play a joke on,none
play jokes on,none
play a part in,none
play a role in,none
play with,none
plenty of,none
point at,none
point out,none
point to,none
polish up,none
pour in,none
pour out,none
prefer to,none
prefer to do rather than do,none
prefer to do rather than to do,none
prepare for,none
prevent ... from,none
protect ... against,none
protect ... from,none
prove to be,none
provide sth. for sb.,none
provide sth. to sb.,none
pull down,none
pull in,n. a roadside cafe especially for lorry drivers
pull off,n. designated paved area beside a main road where cars can stop temporarily
pull out,n to break off a military action with an enemy
pull over,n. a sweater that is put on by pulling it over the head
pull round,none
pull through,n. cleaning implement consisting of an oily rag attached by a cord to a weight; is pulled through the barrel of a rifle or handgun to clean it
pull up,n. an arm exercise performed by pulling yourself up on a horizontal bar until your chin is level with the bar
push ahead with,none
push for,none
push on,none
push one's way through,none
push over,n. someone who is easily taken advantage of
put across,none
put an end to,none
put aside,none
put away,none
put back,none
put by,none
put down,n. a crushing remark
put forth,none
put forward,none
put in place,none
put ... in prison,none
put ... into,none
put into practice,none
put off,n. A shift for evasion or delay; an evasion; an excuse.
put on,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n something intended to deceive; deliberate trickery intended to gain an advantage
n a ludicrous or grotesque act done for fun and amusement"
put one's finger,none
put one's foot in one's mouth,none
put one's hands on,none
put out,n. an out resulting from a fielding play (not a strikeout)
put pressure on,none
put pressure upon,none
put ... to ...,none
put through,none
put together,none
put up,s. planned secretly
put up with,none
puzzle about,none
puzzle over,none
quantities of,none
quarrel with sb. about sth.,none
queue up,none
quite a few,none
rain cats and dogs,none
raise money,none
raise one's eyebrows,none
range from ... to,none
rather than,none
rather too,none
reach out,none
reach out to,none
react against,none
react to,none
read out,"n the output of a computer in readable form
n the information displayed or recorded on an electronic device
n an electronic device the displays information is a visual form"
realize one's dream,none
reckon on,none
recognize ... as,none
recommend doing sth.,none
recommend that,none
recover from,none
refer to,none
refer to ... as,none
reflect on,none
refuse to do sth.,none
regard ... as,none
regardless of,none
regret doing sth.,none
relate to,none
relieve from,none
rely on,none
remark on,none
remark upon,none
remember doing sth.,none
remind sb. of sth.,none
remind sb. to do sth.,none
remind sb. not to do sth.,none
replace ... with,none
remove ... from ...,none
resign from,none
resign oneself to,none
respond to ...,none
result from,none
result in,none
retire from,none
return to,none
rid ... of,none
ride on,none
right away,none
right now,none
ring back,none
ring off,none
ring out,none
ring up,none
rip off,n the act of stealing
rise to one's feet,none
rise up against,none
risk doing sth.,none
risk one's life,none
rob sb. of sth.,none
roll in,none
roll over,n. the act of changing the institution that invests your pension plan without incurring a tax penalty
roll up,none
round up,"n. The act of collecting or gathering together scattered
   cattle by riding around them and driving them in."
rule out,none
run across,none
run after,none
run away,"n. an easy victory
s. completely out of control"
run for,none
run into,none
run out,none
run out of,none
run over,none
run through,n. an uninterrupted rehearsal
rush to,none
safe and sound,none
save sb.'s life,none
say hello to,none
