wonderful,s extraordinarily good or great; used especially as intensifiers
five-star,none
overprice,v. price excessively high
on a daily basis,none
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
eat out,none
enclose,"v. close in; darkness enclosed him""
v. surround completely"
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
favorable,"a. encouraging or approving or pleasing
a. (of winds or weather) tending to promote or facilitate
s. occurring at a convenient or suitable time"
improve,"v to make better
v get better"
in the future,none
reply,n. the speech act of continuing a conversational exchange
greatly,r. to an extraordinary extent or degree
at your earliest convenience,none
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
bill,"n. a statute in draft before it becomes law
n. an itemized statement of money owed for goods shipped or services rendered
n. a piece of paper money (especially one issued by a central bank)
n. the entertainment offered at a public presentation"
professor,n. someone who is a member of the faculty at a college or university
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
feedback,"n. the process in which part of the output of a system is returned to its input in order to regulate its further output
n. response to an inquiry or experiment"
simple,"n. any herbaceous plant having medicinal properties
a. having few parts; not complex or complicated or involved
a. (botany) of leaf shapes; of leaves having no divisions or subdivisions
s. unornamented"
lecture,"n. a speech that is open to the public
n. a lengthy rebuke
n. teaching by giving a discourse on some subject (typically to a class)
v. deliver a lecture or talk"
memorable,s. worth remembering
thought,n. the organized beliefs of a period or group or individual
handout,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
in general,none
take down,n. (amateur wrestling) being brought to the mat from a standing position
informative,a. providing or conveying information
discussion,"n. an extended communication (often interactive) dealing with some particular topic
n. an exchange of views on some topic"
inspiring,a. stimulating or exalting to the spirit
method,"n. a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
particularly,"r. to a distinctly greater extent or degree than is common
r. specifically or especially distinguished from others"
suitable,s. meant or adapted for an occasion or use
demonstrate,v. march in protest; take part in a demonstration
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
deepen,"v. make deeper
v. become deeper in tone"
understanding,"n. the cognitive condition of someone who understands
s. characterized by understanding based on comprehension and discernment and empathy"
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
look forward to,none
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
increasingly,r. advancing in amount or intensity
additional,s further or added
in addition,none
computer room,none
lecture note,none
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
lab,n. a workplace for the conduct of scientific research
install,"v. set up for use
v. put into an office or a position
v. place"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
prestigious,s. exerting influence by reason of high status or prestige
life story,none
celebrity,n. a widely known person
disciple,n. someone who believes and helps to spread the doctrine of another
Confucius,n. Chinese philosopher whose ideas and sayings were collected after his death and became the basis of a philosophical doctrine known a Confucianism (circa 551-478 BC)
the Analects,none
thinker,"n. an important intellectual
n. someone who exercises the mind (usually in an effort to reach a decision)"
enduring,s. patiently bearing continual wrongs or trouble
educator,n. someone who educates young people
long-standing,s. having existed for a long time
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
inner world,none
Confucianism,n. the teachings of Confucius emphasizing love for humanity; high value given to learning and to devotion to family (including ancestors); peace; justice; influenced the traditional culture of China
Confucian thought,none
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
the Spring and Autumn Period,none
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
human value,none
congratulation,"n. the act of acknowledging that someone has an occasion for celebration
n. (usually plural) an expression of pleasure at the success or good fortune of another"
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
receive,"v. get something; come into possession of
v. receive a specified treatment (abstract)
v. express willingness to have in one's home or environs
v. accept as true or valid"
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
doctorate,n one of the highest earned academic degrees conferred by a university
success,"n. an event that accomplishes its intended purpose
n. an attainment that is successful
n. a state of prosperity or fame"
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
Yale University,none
no doubt,none
hard work,none
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
on your part,none
certainly,r definitely or positively (`sure' is sometimes used informally for `surely')
achievement,n the action of accomplishing something
complete,"v. come or bring to a finish or an end; others finished in over 4 hours""
v. bring to a whole, with all the necessary parts or elements
v. complete a pass
v. write all the required information onto a form"
be proud of,none
think over,none
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
kindly,"s. pleasant and agreeable
r. in a kind manner or out of kindness"
package tour,none
forward,"n. the person who plays the position of forward in certain games, such as basketball, soccer, or hockey
n. a position on a basketball, soccer, or hockey team
v. send or ship onward from an intermediate post or station in transit
a. at or near or directed toward the front"
include,"v. have as a part, be made up out of
v. consider as part of something
v. add as part of something else; put in as part of a set, group, or category"
detail,"n. an isolated fact that is considered separately from the whole
n. a small part that can be considered separately from the whole
n. extended treatment of particulars
n. a crew of workers selected for a particular task"
length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
in fact,none
customer,n. someone who pays for goods or services
be interested in,none
choice,"n. the person or thing chosen or selected
n. the act of choosing or selecting
s. of superior grade
s. appealing to refined taste"
destination,n. the ultimate goal for which something is done
standard,"n. a basis for comparison; a reference point against which other things can be evaluated
n. a board measure = 1980 board feet
n. the value behind the money in a monetary system
n. an upright pole or beam (especially one used as a support)"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
monument,n. an important site that is marked and preserved as public property
travel insurance,none
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
specialised,"v devote oneself to a special area of work
v be specific about
v suit to a special purpose
v become more focus on an area of activity or field of study
v evolve so as to lead to a new species or develop in a way most suited to the environment
a developed or designed for a special activity or function"
separately,r apart from others
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
at the same time,none
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
inconvenience,"n. an inconvenient discomfort
n. the quality of not being useful or convenient"
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
postpone,v. hold back to a later time
unfortunately,r. by bad luck
look forward to,none
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
be able to,none
infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
inform sb. of sth.,none
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
sense of responsibility,none
serve as,none
manage,"v. be in charge of, act on, or dispose of"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
interpersonal relation,none
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
organize,"v. cause to be structured or ordered or operating according to some principle or idea
v. bring order and organization to
v. arrange by systematic planning and united effort"
develop,"v. make something new, such as a product or a mental or artistic creation
v. gain through experience
v. be gradually disclosed or unfolded; become manifest; 
v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment"
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
a range of,none
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
be involved in,none
empower,v. give or delegate power or authority to
a variety of,none
decided,"v reach, make, or come to a decision about something
v bring to an end; settle conclusively
v cause to decide
v influence or determine
s recognizable; marked"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
musical drama,none
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
group discussion,none
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
written application,none
participation,n. the condition of sharing in common with others (as fellows or partners etc.)
staff office,none
be helpful to,none
deadline,n. the point in time at which something must be completed
strengthen,"v. make strong or stronger
v. gain strength"
sign up,none
symbolically,"r. in a symbolic manner
r. by means of symbols"
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
illustrate,"v. depict with an illustration
v. supply with illustrations"
physical fitness,none
white gown,none
mental health,none
stethoscope,n. a medical instrument for listening to the sounds generated inside the body
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
medical record,none
pull through,n. cleaning implement consisting of an oily rag attached by a cord to a weight; is pulled through the barrel of a rifle or handgun to clean it
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
pain and sorrow,none
apparently,r. from appearances alone
twists and turns,none
do physical exercises,none
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
respectively,r. in the order given
stay up,none
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
be harmful to,none
form good habits,none
persistent,"s. never-ceasing
a. retained; not shed"
to sum up,none
balanced diet,none
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
sufficient sleep,none
plagiarize,v. take without referencing from someone else's writing or speech; of intellectual property
unfair,a. not fair; marked by injustice or partiality or deception
cheat,"n. a deception for profit to yourself
v. deprive somebody of something by deceit
v. defeat someone through trickery or deceit
v. engage in deceitful behavior; practice trickery or fraud"
detrimental,s (sometimes followed by `to') causing harm or injury
tactic,n. a plan for attaining a particular goal
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
in an attempt to,none
worth,"n. an indefinite quantity of something having a specified value
n. the quality that renders something desirable or valuable or useful
n. French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)
s. having a specified value"
propel,v. cause to move forward with force
diploma,n. a document certifying the successful completion of a course of study
laziness,n. relaxed and easy activity
dishonest,a. deceptive or fraudulent; disposed to cheat or defraud or deceive
lack of,none
practice,"n. a customary way of operation or behavior
n. translating an idea into action
n. the exercise of a profession
n. knowledge of how something is usually done"
self-confidence,n freedom from doubt; belief in yourself and your abilities
prevalent,s most frequent or common
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
institution,"n. an organization founded and united for a specific purpose
n. an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated
n. a custom that for a long time has been an important feature of some group or society"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
higher education,none
reveal,v. disclose directly or through prophets
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
respectively,r. in the order given
eventually,r after an unspecified period of time or an especially long delay
plagiarism,"n. a piece of writing that has been copied from someone else and is presented as being your own work
n. the act of plagiarizing; taking someone's words or ideas as if they were your own"
news media,none
adversely,r. in an adverse manner
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
at large,none
perpetrator,n. someone who perpetrates wrongdoing
in short,none
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
end up,none
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
deceitful,s. intended to deceive
for instance,none
form,"n. the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
n. a perceptual structure
n. the visual appearance of something or someone
n. a printed document with spaces in which to write"
extremely,r. to an extreme degree
habitual,s commonly used or practiced; usual
unjust,a. violating principles of justice
dishonesty,"n. the quality of being dishonest
n. lack of honesty; acts of lying or cheating or stealing"
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
facet,n. a smooth surface (as of a bone or cut gemstone)
hard-working,-ing form of hard-work
vividly,r. in a vivid manner
lessen,"v decrease in size, extent, or range
v make smaller
v wear off or die down"
lie,"n. a statement that deviates from or perverts the truth
n. Norwegian diplomat who was the first Secretary General of the United Nations (1896-1968)
n. position or manner in which something is situated
v. be located or situated somewhere; occupy a certain position"
lonely,"s. marked by dejection from being alone
s. devoid of creatures"
sunflower,n. any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays
furthermore,"r. in addition; furthermore, their quality is improving""; moreover, mice nested there"""
surround,v. extend on all sides of simultaneously; encircle
a wide range of,none
lovely,s. appealing to the emotions as well as the eye
tourist,n. someone who travels for pleasure
butterfly,"n. diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
n. a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down
v. flutter like a butterfly
v. cut and spread open, as in preparation for cooking"
marvel,v. express astonishment or surprise about something
extensively,r. in a widespread way
incredible,a. beyond belief or understanding
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
Niagara Falls,none
disturbing,"v move deeply
v change the arrangement or position of
v tamper with
v destroy the peace or tranquility of
v damage as if by shaking or jarring
s causing distress or worry or anxiety"
mingle,v. get involved or mixed-up with
necessary,"a. absolutely essential
s. unavoidably determined by prior circumstances"
throng,v. press tightly together or cram
mental,"a. involving the mind or an intellectual process
a. of or relating to the mind
a. of or relating to the chin- or liplike structure in insects and certain mollusks
s. affected by a disorder of the mind"
stroll,v. walk leisurely and with no apparent aim
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
boulevard,n a wide street or thoroughfare
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
companionship,n the state of being with someone
bitterness,"n. a rough and bitter manner
n. the property of having a harsh unpleasant taste"
instruction,n. (computer science) a line of code written as part of a computer program
last but not least,none
first and foremost,none
intellectual ability,none
faithful,"n. any loyal and steadfast following
a. steadfast in affection or allegiance
a. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
broaden,"v. make broader
v. become broader"
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
mind,"n. that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
n. recall or remembrance
n. attention
n. your intention; what you intend to do"
contentment,n. happiness with one's situation in life
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
cheerful,"a. being full of or promoting cheer; having or showing good spirits
s. pleasantly (even unrealistically) optimistic"
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
cartoon,"n. a humorous or satirical drawing published in a newspaper or magazine
n. a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
v. draw cartoons of"
laboratory test,none
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
live trial,none
ax,"n. an edge tool with a heavy bladed head mounted across a handle
v. terminate"
medicine,"n. the branches of medical science that deal with nonsurgical techniques
n. (medicine) something that treats or prevents or alleviates the symptoms of disease
n. the learned profession that is mastered by graduate training in a medical school and that is devoted to preventing or alleviating or curing diseases and injuries"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
vaccine,n. immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
hew,"v. make or shape as with an axe
v. strike with an axe; cut down, strike"
discover,"v. make a discovery, make a new finding
v. make a discovery
v. see for the first time; make a discovery"
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
in addition,none
precious,"s. of high worth or cost
r. extremely"
be attributed to,none
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
personally,"r. as yourself
r. as a person
r. in a personal way
r. in the flesh; without involving anyone else"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
try,"v. make an effort or attempt
v. give pain or trouble to
v. test the limits of
v. melt (fat or lard) in order to separate out impurities"
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
business model,none
make progress,none
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
stick to old ways,none
chairman,"n the officer who presides at the meetings of an organization
v act or preside as chair, as of an academic department in a university"
regression,"n. (psychiatry) a defense mechanism in which you flee from reality by assuming a more infantile state
n. the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x)
n. returning to a former state"
Internet,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
purpose,"n. an anticipated outcome that is intended or that guides your planned actions
v. reach a decision"
to sum up,none
utmost,n. the greatest possible degree
field,"n. a piece of land cleared of trees and usually enclosed
n. somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected
n. the space around a radiating body within which its electromagnetic oscillations can exert force on another similar body not in contact with it
n. a particular kind of commercial enterprise"
creativity,n. the ability to create
endeavour,"n a purposeful or industrious undertaking (especially one that requires effort or boldness)
n earnest and conscientious activity intended to do or accomplish something
v attempt by employing effort"
begin with,none
engineering,"n. the discipline dealing with the art or science of applying scientific knowledge to practical problems
n. a room (as on a ship) in which the engine is located"
watchword,"n a slogan used to rally support for a cause
n a secret word or phrase known only to a restricted group"
necessary,"a. absolutely essential
s. unavoidably determined by prior circumstances"
motto,n. a favorite saying of a sect or political group
put great emphasis on,none
scientific experiment,none
achieve success,none
carry out,none
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
prevalent,s most frequent or common
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
subtly,r. in a subtle manner
generate,"v. bring into existence
v. produce (energy)"
illustrate,"v. depict with an illustration
v. supply with illustrations"
potentially,r. with a possibility of becoming actual
connect with,none
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
entertainment center,none
for instance,none
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
hermit-like,none
train schedule,none
especially,"r to a distinctly greater extent or degree than is common
r in a special manner"
discount-price goods,none
become addicted to,none
enable,v. render capable or able for some task
be exposed to,none
worldwide,s. spanning or extending throughout the entire world
social interaction,none
despite,n. contemptuous disregard
unquestionably,r. without question
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
