affection,n. a positive feeling of liking
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
continuous,"a. continuing in time or space without interruption
a. of a function or curve; extending without break or irregularity"
dissolve,"n. (film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out
v. become weaker
v. cause to go into a solution
v. come to an end"
domesticate,"v. adapt (a wild plant or unclaimed land) to the environment
v. overcome the wildness of; make docile and tractable
v. make fit for cultivation, domestic life, and service to humans"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
hatch,"n. the production of young from an egg
n. shading consisting of multiple crossing lines
n. a movable barrier covering a hatchway
v. emerge from the eggs"
inhibit,"v. limit the range or extent of
v. limit, block, or decrease the action or function of
v. control and refrain from showing; of emotions, desires, impulses, or behavior"
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
sheathe,"v. cover with a protective sheathing
v. enclose with a sheath
v. plunge or bury (a knife or sword) in flesh"
shed,"n. an outbuilding with a single story; used for shelter or storage
v. get rid of
v. cast off hair, skin, horn, or feathers"
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
brawl,"n. a noisy fight in a crowd
v. to quarrel noisily, angrily or disruptively"
casual,"s. marked by blithe unconcern
s. without or seeming to be without plan or method; offhand
s. appropriate for ordinary or routine occasions
s. occurring or appearing or singled out by chance"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
excel,v. distinguish oneself
exhaust,"n. gases ejected from an engine as waste products
n. system consisting of the parts of an engine through which burned gases or steam are discharged
v. wear out completely
v. use up the whole supply of"
hardy,"n. United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957)
n. English novelist and poet (1840-1928)
s. having rugged physical strength; inured to fatigue or hardships
s. able to survive under unfavorable weather conditions"
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
monotonous,"s tediously repetitious or lacking in variety; all work and no play""
s sounded or spoken in a tone unvarying in pitch"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
punctuate,"v. insert punctuation marks into
v. interrupt periodically"
ravenous,"s extremely hungry
s devouring or craving food in great quantities"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
soothe,v. cause to feel better
stampede,"n. a headlong rush of people on a common impulse
n. a wild headlong rush of frightened animals (horses or cattle)
v. cause to run in panic
v. cause a group or mass of people to act on an impulse or hurriedly and impulsively"
veteran,"n. a serviceman who has seen considerable active service
n. a person who has served in the armed forces
n. an experienced person who has been through many battles; someone who has given long service"
accompany,v. go or travel along with
beneficial,s. promoting or enhancing well-being
captive,"n. an animal that is confined
n. a person held in the grip of a strong emotion or passion
s. being in captivity
s. giving or marked by complete attention to"
convenient,a. suited to your comfort or purpose or needs
ecstasy,"n. a state of being carried away by overwhelming emotion
n. a state of elated bliss"
expanse,n. a wide and open space or area as of surface or land or sky
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
inept,s. revealing lack of perceptiveness or judgment or finesse
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
invaluable,"s. having incalculable monetary, intellectual, or spiritual worth"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
skirmish,v. engage in a skirmish
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
accumulate,v. collect or gather
aggravate,"v make worse
v exasperate or irritate"
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
contaminate,v. make radioactive by adding radioactive material
diminish,"v. lessen the authority, dignity, or reputation of"
drastic,s. forceful and extreme and rigorous
extravagant,s. recklessly wasteful
frugal,s avoiding waste
impurity,"n. worthless or dangerous material that should be removed
n. the condition of being impure"
peril,"n a source of danger; a possibility of incurring loss or misfortune
n a state of danger involving risk
n a venture undertaken without regard to possible loss or injury
v pose a threat to; present a danger to
v put in a dangerous, disadvantageous, or difficult position"
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
sustain,"v. supply with necessities and support
v. admit as valid"
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
brief,"n. a document stating the facts and points of law of a client's case
n. a condensed written summary or abstract
v. give essential information to someone
s. of short duration or distance"
brisk,"v. become brisk
s. very active"
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
compete,v. compete for something; engage in a contest; measure oneself against others
complicate,"v. make more complicated
v. make more complex, intricate, or richer"
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
err,v. to make a mistake or be incorrect
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
fad,n. an interest followed with exaggerated zeal
gripe,"n. informal terms for objecting
v. complain"
knack,n a special way of doing something
leisure,"n. time available for ease and relaxation
n. freedom to choose a pastime or enjoyable activity"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
abbreviate,v. shorten
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
exclude,"v. prevent from being included or considered or accepted
v. prevent from entering; shut out
v. lack or fail to include"
fanciful,"s. indulging in or influenced by fancy
s. not based on fact; unreal
s. having a curiously intricate quality"
futile,s. producing no result or effect
grudge,"n. a resentment strong enough to justify retaliation
v. accept or admit unwillingly"
inspire,"v. heighten or intensify
v. supply the inspiration for"
majority,"n. the property resulting from being or relating to the greater in number of two parts; the main part
n. (elections) more than half of the votes
n. the age at which persons are considered competent to manage their own affairs"
persevere,"v. be persistent, refuse to stop"
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
resolute,a. firm in purpose or belief; characterized by firmness and determination
sneer,"n. a facial expression of contempt or scorn; the upper lip curls
n. a contemptuous or scornful remark
v. express through a scornful smile
v. smile contemptuously"
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
unruly,"s noisy and lacking in restraint or discipline
s unwilling to submit to authority
s of persons"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
adversary,n. someone who offers opposition
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
blunder,n. an embarrassing mistake
colossal,s. so great in size or force or extent as to elicit awe
detect,"v. discover or determine the existence, presence, or fact of"
haul,"v. draw slowly or heavily
v. transport in a vehicle"
overpower,v. overcome by superior force
rejoice,v. feel happiness or joy
scoff,v. treat with contemptuous disregard
sentinel,n a person employed to keep watch for some anticipated event
siege,n. the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
sinister,s. on or starting from the wearer's left
victor,n. a combatant who is able to defeat rivals
woe,n. intense mournfulness
adapt,"v. make fit for, or change to suit a new purpose"
deplete,v use up (resources or materials)
efficient,a. being effective without wasting time or effort or expense
fatigue,"n. temporary loss of strength and energy resulting from hard physical or mental work
n. used of materials (especially metals) in a weakened state caused by long stress
n. (always used with a modifier) boredom resulting from overexposure to something"
gait,"n. a horse's manner of moving
n. a person's manner of walking"
glare,"n. a light within the field of vision that is brighter than the brightness to which the eyes are adapted
n. an angry stare
v. be sharply reflected
v. shine intensely"
glaring,"v look at with a fixed gaze
v be sharply reflected
v shine intensely
s shining intensely
s conspicuously and outrageously bad or reprehensible"
habitat,n. the type of environment in which an organism or group normally lives or occurs
oblivious,s. (followed by `to' or `of') lacking conscious awareness of
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
quench,"v. satisfy (thirst)
v. electronics: suppress (sparking) when the current is cut off in an inductive circuit, or suppress (an oscillation or discharge) in a component or device
v. reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance"
rigor,"n something hard to endure
n the quality of being valid and rigorous
n excessive sternness"
sear,v. make very hot and dry
transport,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes
v. move something or somebody around; usually over long distances
v. move while supporting, either in a vehicle or in one's hands or on one's body
v. transport commercially"
wend,v. direct one's course or way
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
consent,n. permission to do something
discreet,a. marked by prudence or modesty and wise self-restraint
engross,"v devote (oneself) fully to
v consume all of one's attention or time"
esteem,n. the condition of being honored (esteemed or respected or well regarded)
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
extensive,"s. large in spatial extent or range or scope or quantity
a. of agriculture; increasing productivity by using large areas with minimal outlay and labor"
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
marvel,v. express astonishment or surprise about something
mission,"n. an organization of missionaries in a foreign land sent to carry on religious work
n. an operation that is assigned by a higher headquarters
n. a special assignment that is given to a person or group
n. the organized work of a religious missionary"
opportunity,n. a possibility due to a favorable combination of circumstances
relinquish,"v part with a possession or right
v do without or cease to hold or adhere to
v turn away from; give up
v release, as from one's grip"
tyrant,"n. a cruel and oppressive dictator
n. in ancient Greece, a ruler who had seized power without legal right to it
n. any person who exercises power in a cruel way"
vanquish,"v come out better in a competition, race, or conflict"
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
apprehensive,"s. quick to understand
s. mentally upset over possible misfortune or danger etc
s. in fear or dread of possible evil or harm"
coincide,"v. go with, fall together
v. be the same"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
disk,"n. something with a round shape resembling a flat circular plate
n. a flat circular plate"
envelop,v. enclose or enfold completely with or as if with a covering
exist,"v. have an existence, be extant
v. support oneself"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
mere,"n. a small pond of standing water
s. being nothing more than specified"
revolve,v. turn on or around an axis or a center
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
trace,"n. a just detectable amount
n. an indication that something has been present
n. either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
n. a visible mark (as a footprint) left by the passage of person or animal or vehicle"
velocity,n distance travelled per unit time
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
collide,"v. cause to collide
v. crash together with violent impact"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
fatality,"n. a death resulting from an accident or a disaster
n. the quality of being able to cause death or fatal disasters"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
loom,"n. a textile machine for weaving yarn into a textile
v. come into view indistinctly, often threateningly
v. appear very large or occupy a commanding position
v. weave on a loom"
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
placid,s. (of a body of water) free from disturbance by heavy waves
predicament,n. a situation from which extrication is difficult especially an unpleasant or trying one
priority,n. preceding in time
reinforce,"v. make stronger
v. strengthen and support with rewards"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
treacherous,s. dangerously unstable and unpredictable
corrode,"v. cause to deteriorate due to the action of water, air, or an acid
v. become destroyed by water, air, or a corrosive such as an acid"
debris,n. the remains of something that has been destroyed or broken up
elated,"a. exultantly proud and joyful; in high spirits
s. full of high-spirited delight"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
leeway,n. (of a ship or plane) sideways drift
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
onset,n. the beginning or early stages
ooze,"n any thick, viscous matter
n the process of seeping
v pass gradually or leak through or as if through small openings
v release (a liquid) in drops or small quantities"
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
preliminary,"n. a minor match preceding the main event
n. something that serves as a preceding event or introduces what follows
s. denoting an action or event preceding or in preparation for something more important; designed to orient or acquaint with a situation before proceeding"
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
abroad,"s. in a foreign country
r. to or in a foreign country"
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
commence,"v take the first step or steps in carrying out an action
v set in motion, cause to start
v get off the ground"
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
cordial,"s. politely warm and friendly
s. sincerely or intensely felt"
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
elicit,v. derive by reason
exhilaration,n. the feeling of lively and cheerful joy
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
hoax,v. subject to a playful hoax or joke
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
recount,"n. an additional (usually a second) count; especially of the votes in a close election
v. count again"
skeptic,n. someone who habitually doubts accepted beliefs
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
clammy,s. unpleasantly cool and humid
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
fragrant,a. pleasant-smelling
furnish,v. provide or equip with furniture
haven,n. a shelter serving as a place of safety or sanctuary
install,"v. set up for use
v. put into an office or a position
v. place"
massive,"s. imposing in size or bulk or solidity
s. being the same substance throughout
s. imposing in scale or scope or degree or power
s. consisting of great mass; containing a great quantity of matter"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
retaliate,"v. make a counterattack and return like for like, especially evil for evil"
stench,n a distinctive odor that is offensively unpleasant
strew,"v. spread by scattering (""straw"" is archaic)
v. cover; be dispersed over"
vicinity,n. a surrounding or nearby region
bluster,"n. noisy confusion and turbulence
n. a violent gusty wind
v. blow hard; be gusty, as of wind"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
dwell,"v. originate (in)
v. exist or be situated within"
exterminate,v. kill en masse; kill on a large scale; kill many
fee,"n. a fixed charge for a privilege or for professional services
n. an interest in land capable of being inherited"
garment,n. an article of clothing
infest,"v. invade in great numbers
v. live on or in a host, as of parasites"
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
paltry,"s not worth considering
s contemptibly small in amount"
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
rash,"n. any red eruption of the skin
n. a series of unexpected and unpleasant occurrences
s. imprudently incurring risk"
revenge,v. take revenge for a perceived wrong
rodent,n. relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
swarm,n. a group of many things in the air or on the ground
vat,n. a tax levied on the difference between a commodity's price before taxes and its cost of production
