wonderful,s extraordinarily good or great; used especially as intensifiers
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
on a daily basis,none
therefore,r. (used to introduce a logical conclusion) from that fact or reason or as a result
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
eat out,none
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
enclose,"v. close in; darkness enclosed him""
v. surround completely"
improve,"v to make better
v get better"
favorable,"a. encouraging or approving or pleasing
a. (of winds or weather) tending to promote or facilitate
s. occurring at a convenient or suitable time"
in the future,none
greatly,r. to an extraordinary extent or degree
reply,n. the speech act of continuing a conversational exchange
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
at your earliest convenience,none
bill,"n. a statute in draft before it becomes law
n. an itemized statement of money owed for goods shipped or services rendered
n. a piece of paper money (especially one issued by a central bank)
n. the entertainment offered at a public presentation"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
professor,n. someone who is a member of the faculty at a college or university
memorable,s. worth remembering
feedback,"n. the process in which part of the output of a system is returned to its input in order to regulate its further output
n. response to an inquiry or experiment"
handout,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
lecture,"n. a speech that is open to the public
n. a lengthy rebuke
n. teaching by giving a discourse on some subject (typically to a class)
v. deliver a lecture or talk"
take down,n. (amateur wrestling) being brought to the mat from a standing position
thought,n. the organized beliefs of a period or group or individual
discussion,"n. an extended communication (often interactive) dealing with some particular topic
n. an exchange of views on some topic"
in general,none
method,"n. a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
informative,a. providing or conveying information
suitable,s. meant or adapted for an occasion or use
inspiring,a. stimulating or exalting to the spirit
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
particularly,"r. to a distinctly greater extent or degree than is common
r. specifically or especially distinguished from others"
deepen,"v. make deeper
v. become deeper in tone"
demonstrate,v. march in protest; take part in a demonstration
understanding,"n. the cognitive condition of someone who understands
s. characterized by understanding based on comprehension and discernment and empathy"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
simple,"n. any herbaceous plant having medicinal properties
a. having few parts; not complex or complicated or involved
a. (botany) of leaf shapes; of leaves having no divisions or subdivisions
s. unornamented"
look forward to,none
commend,"v. express approval of
v. present as worthy of regard, kindness, or confidence
v. give to in charge
v. express a good opinion of"
increasingly,r. advancing in amount or intensity
additional,s further or added
in addition,none
computer room,none
lecture note,none
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
lab,n. a workplace for the conduct of scientific research
install,"v. set up for use
v. put into an office or a position
v. place"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
prestigious,s. exerting influence by reason of high status or prestige
the Spring and Autumn Period,none
celebrity,n. a widely known person
Confucius,n. Chinese philosopher whose ideas and sayings were collected after his death and became the basis of a philosophical doctrine known a Confucianism (circa 551-478 BC)
life story,none
thinker,"n. an important intellectual
n. someone who exercises the mind (usually in an effort to reach a decision)"
disciple,n. someone who believes and helps to spread the doctrine of another
educator,n. someone who educates young people
the Analects,none
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
enduring,s. patiently bearing continual wrongs or trouble
Confucianism,n. the teachings of Confucius emphasizing love for humanity; high value given to learning and to devotion to family (including ancestors); peace; justice; influenced the traditional culture of China
long-standing,s. having existed for a long time
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
inner world,none
Confucian thought,none
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
human value,none
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
inconvenience,"n. an inconvenient discomfort
n. the quality of not being useful or convenient"
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
postpone,v. hold back to a later time
unfortunately,r. by bad luck
look forward to,none
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
be able to,none
infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
inform sb. of sth.,none
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
situation,"n. the general state of things; the combination of circumstances at a given time
n. a condition or position in which you find yourself
n. a complex or critical or unusual difficulty"
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
congratulation,"n. the act of acknowledging that someone has an occasion for celebration
n. (usually plural) an expression of pleasure at the success or good fortune of another"
Yale University,none
receive,"v. get something; come into possession of
v. receive a specified treatment (abstract)
v. express willingness to have in one's home or environs
v. accept as true or valid"
hard work,none
doctorate,n one of the highest earned academic degrees conferred by a university
on your part,none
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
achievement,n the action of accomplishing something
be proud of,none
no doubt,none
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
certainly,r definitely or positively (`sure' is sometimes used informally for `surely')
success,"n. an event that accomplishes its intended purpose
n. an attainment that is successful
n. a state of prosperity or fame"
complete,"v. come or bring to a finish or an end; others finished in over 4 hours""
v. bring to a whole, with all the necessary parts or elements
v. complete a pass
v. write all the required information onto a form"
undertake,"v. enter upon an activity or enterprise
v. accept as a challenge
v. promise to do or accomplish
v. accept as a charge"
think over,none
sightseeing,n. going about to look at places of interest
Terracotta Warriors,none
trip,"n. a journey for some purpose (usually including the return)
n. a hallucinatory experience induced by drugs
n. an exciting or stimulating experience
n. a light or nimble tread"
guard,"n. a person who keeps watch over something or someone
n. the person who plays that position on a football team
n. a device designed to prevent injury or accidents
n. a posture of defence in boxing or fencing"
be sure,none
tomb,n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
tourist destination,none
emperor,"n. the male ruler of an empire
n. red table grape of California
n. large moth of temperate forests of Eurasia having heavily scaled transparent wings"
in the old days,none
Dayan Pagoda,none
dynasty,n. a sequence of powerful leaders in the same family
the Banpo Museum,none
be full of,none
boast,"n. speaking of yourself in superlatives
v. show off"
relic,n. an antiquity that has survived from the distant past
plenty of,none
major,"n. a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
n. British statesman who was prime minister from 1990 until 1997 (born in 1943)
n. a university student who is studying a particular field as the principal subject
n. the principal field of study of a student at a university"
modern,"n. a contemporary person
n. a typeface (based on an 18th century design by Gianbattista Bodoni) distinguished by regular shape and hairline serifs and heavy downstrokes
a. belonging to the modern era; since the Middle Ages
s. characteristic of present-day art and music and literature and architecture"
attraction,"n. the force by which one object attracts another
n. an entertainment that is offered to the public
n. the quality of arousing interest; being attractive or something that attracts
n. a characteristic that provides pleasure and attracts"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
sense of responsibility,none
serve as,none
manage,"v. be in charge of, act on, or dispose of"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
interpersonal relation,none
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
various,"s of many different kinds purposefully arranged but lacking any uniformity
s considered individually
s distinctly dissimilar or unlike
s having great diversity or variety"
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
organize,"v. cause to be structured or ordered or operating according to some principle or idea
v. bring order and organization to
v. arrange by systematic planning and united effort"
develop,"v. make something new, such as a product or a mental or artistic creation
v. gain through experience
v. be gradually disclosed or unfolded; become manifest; 
v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment"
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
a range of,none
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
be involved in,none
empower,v. give or delegate power or authority to
a variety of,none
decided,"v reach, make, or come to a decision about something
v bring to an end; settle conclusively
v cause to decide
v influence or determine
s recognizable; marked"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
musical drama,none
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
group discussion,none
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
written application,none
participation,n. the condition of sharing in common with others (as fellows or partners etc.)
staff office,none
be helpful to,none
deadline,n. the point in time at which something must be completed
strengthen,"v. make strong or stronger
v. gain strength"
sign up,none
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
speedy,"s characterized by speed; moving with or capable of moving with high speed
s accomplished rapidly and without delay"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
a large number of,none
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
in addition,none
private car,none
a great many,none
all the time,none
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
go up,none
transportation,"n. the act of moving something from one location to another
n. the commercial enterprise of moving goods and materials"
a good many,none
greatly,r. to an extraordinary extent or degree
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
improve,"v to make better
v get better"
as follows,none
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
to begin with,none
household,n a social unit living together
line chart,none
quickening pace,none
gymnasium,n. athletic facility equipped for sports or physical training
urban life,none
doing exercise,none
ever-increasing pressure,none
reveal,v. disclose directly or through prophets
curve,"n. the trace of a point whose direction of motion changes
n. a line on a graph representing data
n. a pitch of a baseball that is thrown with spin so that its path curves as it approaches the batter"
in mounting numbers,none
be on a steady rise,none
considerably,r to a great extent or degree
departments concerned,none
contribute to,none
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
respectively,r. in the order given
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
keep a balanced diet,none
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
burn the midnight oil,none
stay up late,none
persistent,"s. never-ceasing
a. retained; not shed"
studying abroad,none
expand knowledge,none
growth rate,none
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
studying overseas,none
social interaction,none
on a steady rise,none
strong willpower,none
on the contrary,none
augment,"v. enlarge or increase
v. grow or intensify"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
linguistic knowledge,none
dramatically,"r. in a very impressive manner
r. in a dramatic manner
r. with respect to dramatic value"
cultural understanding,none
approximately,r. (of quantities) imprecise but fairly close to correct
equipped with,none
contribute to,none
modern-day workplace,none
aforementioned,s being the one previously mentioned or spoken of
excellent opportunity,none
bar chart,none
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
formality,"n. a requirement of etiquette or custom
n. a manner that strictly observes all forms and ceremonies
n. compliance with formal rules"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
preferable,s. more desirable than another
contribute to,none
undoubtedly,r. without doubt; certainly
above all,none
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
availability,n the quality of being at hand when needed
give birth to,none
foremost,"s. preceding all others in spatial position
s. situated closest to the bow
r. prominently forward"
SOHO,"n. a district in southwestern Manhattan noted for its shops and restaurants and galleries and artist's lofts
n. a city district of central London now noted for restaurants and nightclubs"
information technology,none
promising,s. showing possibility of achievement or excellence
e-commerce,n. commerce conducted electronically (as on the internet)
have access to,none
inevitable,"n. an unavoidable event
a. incapable of being avoided or prevented
s. invariably occurring or appearing"
what is more,none
accordingly,r. in accordance with
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
convenient,a. suited to your comfort or purpose or needs
irreversible,a. incapable of being reversed
last but not least,none
column chart,none
progression,n. a series with a definite pattern of advance
clearly,"r. without doubt or question
r. in an easily perceptible manner"
work life,none
illustrate,"v. depict with an illustration
v. supply with illustrations"
whereby,"adv. By which; -- used relatively.
adv. By what; how; -- used interrogatively."
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
increasingly,r. advancing in amount or intensity
weekly earning,none
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
bureau,"n an administrative unit of government
n furniture with drawers for keeping clothes"
commensurate,a. corresponding in size or degree or extent
educational background,none
in the second place,none
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
range from A to B,none
college degree,none
bachelor's degree,none
diploma,n. a document certifying the successful completion of a course of study
master's degree,none
doctoral degree,none
analysis,"n. an investigation of the component parts of a whole and their relations in making up the whole
n. the abstract separation of a whole into its constituent parts in order to study the parts and their relations
n. a form of literary criticism in which the structure of a piece of writing is analyzed
n. the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
predict,v. make a prediction about; tell in advance
as follows,none
in order to,none
in the first place,none
workplace,n. a place where work is done
accept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper"
people in mounting numbers,none
pre-requisite,"n. something that is required in advance
s. required as a prior condition or course of study"
promising,s. showing possibility of achievement or excellence
higher education,none
imply,"v. express or state indirectly
v. suggest as a logically necessary consequence; in logic
v. have as a necessary feature"
university degree,none
markedly,r. in a clearly noticeable manner
aged people,none
shoot up,none
financially,r. from a financial point of view
approximately,r. (of quantities) imprecise but fairly close to correct
spiritually,r. in a spiritual manner
involvement,n. a connection of inclusion or containment
the elderly,none
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
raise,"n. the amount a salary is increased
n. increasing the size of a bet (as in poker)
v. raise the level or amount of something
v. raise from a lower to a higher position"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
in conclusion,none
be obliged to,none
be conducive to,none
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
art group,none
priceless spiritual treasure,none
mysterious,s. having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding
cultural exchange,none
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
globalization,n. growth to a global or worldwide scale
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
irresistible,"a. impossible to resist; overpowering
s. overpoweringly attractive"
international culture,none
mutual,"s common to or shared by two or more parties
a concerning each of two or more persons or things; especially given or done in return"
controversial,a. marked by or capable of arousing controversy
national culture,none
at first sight,none
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
resist its dark side,none
be confronted with,none
multidimensional,a. having or involving or marked by several dimensions or aspects
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
absorb its essence,none
box office,none
hunger for,none
film-goer,none
in addition,none
dramatically,"r. in a very impressive manner
r. in a dramatic manner
r. with respect to dramatic value"
crowd-puller,none
on a steady rise,none
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
at the same time,none
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
primary reason,none
idolize,v. love unquestioningly and uncritically or to excess; venerate as an idol
special effect,none
in summary,none
basically,r. in essence; at bottom or by one's (or its) very nature
prevalent,s most frequent or common
technology,n. the practical application of science to commerce or industry
temporarily,r. for a limited time only; not permanently
diagram,"n. a drawing intended to explain how something works; a drawing showing the relation between the parts
v. make a schematic or technical drawing of that shows interactions among variables or how something is constructed"
a large number of,none
clearly,"r. without doubt or question
r. in an easily perceptible manner"
get prepared for,none
illustrate,"v. depict with an illustration
v. supply with illustrations"
last but not least,none
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
working pressure,none
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
take ... into account,none
recruitment,n. the act of getting recruits; enlisting people for the army (or for a job or a cause etc.)
predict,v. make a prediction about; tell in advance
Master of Professional,none
speedy,"s characterized by speed; moving with or capable of moving with high speed
s accomplished rapidly and without delay"
Accounting,"n. a convincing explanation that reveals basic causes
n. a system that provides quantitative information about finances
n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts"
forthcoming,s. available when required or as promised
at a low level,none
on the other side of the coin,none
surprisingly,r. in a surprising manner
contribute to,none
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
above-mentioned,s. mentioned or named earlier in the same text
bring about,none
summarize,v. be a summary of
a good many,none
as follow,none
take effective measure,none
first and foremost,none
qualified,"a. meeting the proper standards and requirements and training for an office or position or task
a. limited or restricted; not absolute"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
accountant,n. someone who maintains and audits business accounts
get out of hand,none
job market,none
encourage,"v. inspire with confidence; give hope or courage to
v. spur on"
on the whole,none
theoretical knowledge,none
keep pace with,none
practical skill,none
expansion,"n. the act of increasing (something) in size or volume or quantity or scope
n. a function expressed as a sum or product of terms
n. a discussion that provides additional information"
demand,"n. an urgent or peremptory request
n. the ability and desire to purchase goods and services
n. the act of demanding
v. request urgently and forcefully"
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
reading quantity,none
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
reading volumes,none
companionship,n the state of being with someone
respectively,r. in the order given
instruction,n. (computer science) a line of code written as part of a computer program
on the contrary,none
first and foremost,none
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
disturbing,"v move deeply
v change the arrangement or position of
v tamper with
v destroy the peace or tranquility of
v damage as if by shaking or jarring
s causing distress or worry or anxiety"
faithful,"n. any loyal and steadfast following
a. steadfast in affection or allegiance
a. not having sexual relations with anyone except your husband or wife, or your boyfriend or girlfriend"
on less necessary,none
contentment,n. happiness with one's situation in life
reading extensively,none
furthermore,"r. in addition; furthermore, their quality is improving""; moreover, mice nested there"""
a wide range of,none
broaden our minds,none
last but not the least,none
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
intellectual ability,none
enhance environmental awareness,none
environmental protection,none
keep ecological balance,none
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
nature reserve,none
sustainable development strategy,none
wind and sand breaks,none
pleasant living environment,none
save energy,none
reduce the emission of greenhouse gases,none
slow down the rate of resource degradation,none
environment-friendly products,none
global warming,none
low carbon economy,none
clean renewable energy,none
nuclear energy,none
solar energy,none
high-power electrical appliance,none
carbon dioxide,none
climate change,none
environmental deterioration,none
deforestation,"n. the state of being clear of trees
n. the removal of trees"
protect forests from overexploitation,none
water and soil erosion,none
desertification,n. the gradual transformation of habitable land into desert; is usually caused by climate change or by destructive use of the land
population growth,none
wildlife protection,none
endangered species,none
wild species,none
commercial fishing,none
overfishing,none
reckless exploitation,none
natural disasters,none
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
destructive and disastrous earthquake,none
sandstorm,n a windstorm that lifts up clouds of dust or sand
drought,"n. a shortage of rainfall
n. a prolonged shortage"
flood,"n. the rising of a body of water and its overflowing onto normally dry land
n. an overwhelming number or amount
n. light that is a source of artificial illumination having a broad beam; used in photography
n. a large flow"
