questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
design,"n. the act of working out the form of something (as by making a sketch or outline or plan)
n. an arrangement scheme
n. a decorative or artistic work
n. a preliminary sketch indicating the plan for something"
advertisement,n a public promotion of some product or service
presentation,"n. the activity of formally presenting something (as a prize or reward)
n. a show or display; the act of presenting something to sight or view
n. the act of making something publicly available; presenting news or other information by broadcasting or printing it
n. the act of presenting a proposal"
solve,v. find the solution to (a problem or question) or understand the meaning of
accountant,n. someone who maintains and audits business accounts
tube,"n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
n. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
n. (anatomy) any hollow cylindrical body structure
v. provide with a tube or insert a tube into"
crowded,a. overfilled or compacted or concentrated
nearby,"s. close at hand
r. not far away in relative terms"
otherwise,"s. other than as supposed or expected
r. in other respects or ways"
forecast,v. predict in advance
crowd,"n. a large number of things or people considered together
n. an informal body of friends
v. fill or occupy to the point of overflowing
v. to gather together in large numbers"
lung,n. either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
sickness,n. defectiveness or unsoundness
distance,"n. the property created by the space between two objects or points
n. a distant region
n. size of the gap between two places
n. indifference by personal withdrawal"
distance learning,none
cigar,n. a roll of tobacco for smoking
at the moment,none
over the years,none
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
mini-skirt,n. a very short skirt
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
cycle,"n. an interval during which a recurring sequence of events occurs
n. a series of poems or songs on the same theme
n. a periodically repeated sequence of events
n. a single complete execution of a periodically repeated phenomenon"
kung fu,none
style,"n. a particular kind (as to appearance)
n. (botany) the narrow elongated part of the pistil between the ovary and the stigma
n. editorial directions to be followed in spelling and punctuation and capitalization and typographical display
n. a slender bristlelike or tubular process"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
violent,"a. acting with or marked by or resulting from great force or energy or emotional intensity
s. effected by force or injury rather than natural causes
s. (of colors or sounds) intensely vivid or loud"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
spaceship,n a spacecraft designed to carry a crew into interstellar space (especially in science fiction)
manned spaceship,none
province,n. the proper sphere or extent of your activities
astronaut,n. a person trained to travel in a spacecraft
flight,"n. a formation of aircraft in flight
n. an instance of traveling by air
n. a stairway (set of steps) between one floor or landing and the next
n. an air force unit smaller than a squadron"
launch,"n. a motorboat with an open deck or a half deck
v. propel with force
v. launch for the first time; launch on a maiden voyage
v. get going; give impetus to"
gravity,"n. (physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface
n. a solemn and dignified feeling"
rocket,"n. any vehicle self-propelled by a rocket engine
n. a jet engine containing its own propellant and driven by reaction propulsion
n. erect European annual often grown as a salad crop to be harvested when young and tender
n. propels bright light high in the sky, or used to propel a lifesaving line or harpoon"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
the United Nations,none
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
peacefully,r. in a peaceful manner
reporter,n. a person who investigates and reports or edits news stories
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
parachute,n. rescue equipment consisting of a device that fills with air and retards your fall
helicopter,n. an aircraft without wings that obtains its lift from the rotation of overhead blades
million,"n. the number that is represented as a one followed by 6 zeros
n. a very large indefinite number (usually hyperbole)
s. (in Roman numerals, M written with a macron over it) denoting a quantity consisting of 1,000,000 items or units"
millions of,none
wave,"n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
n. a movement like that of a sudden occurrence or increase in a specified phenomenon
n. (physics) a movement up and down or back and forth
n. something that rises rapidly"
revolution,"n. a drastic and far-reaching change in ways of thinking and behaving
n. the overthrow of a government by those who are governed"
found,"n. food and lodging provided in addition to money
a. come upon unexpectedly or after searching"
republic,n. a form of government whose head of state is not a monarch
light bulb,none
opinion,"n. a personal belief or judgment that is not founded on proof or certainty
n. a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
n. the legal document stating the reasons for a judicial decision
n. the reason for a court's judgment (as opposed to the decision itself)"
in my opinion,none
personally,"r. as yourself
r. as a person
r. in a personal way
r. in the flesh; without involving anyone else"
racism,"n. the prejudice that members of one race are intrinsically superior to members of other races
n. discriminatory or abusive behavior towards members of another race"
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
struggle,"n. an energetic attempt to achieve something
n. strenuous effort
v. to exert strenuous effort against opposition"
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
march,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
skilful,s having or showing knowledge and skill and aptitude
awful,s. causing fear or dread or terror
useless,a. having no beneficial use or incapable of functioning usefully
unusual,"a. not usual or common or ordinary
s. not commonly encountered"
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
violence,"n. an act of aggression (as one against a person who resists)
n. a turbulent state resulting in injuries and destruction etc."
bullet,n. a projectile that is fired from a gun
compete,v. compete for something; engage in a contest; measure oneself against others
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
amazing,"s. surprising greatly
s. inspiring awe or admiration or wonder"
event,"n. something that happens at a given place and time
n. a special set of circumstances
n. a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory"
fortunately,r. by good fortune
athlete,n. a person trained to compete in sports
superhero,none
afterwards,r happening at a time subsequent to a reference time
superman,"n a person with great powers and abilities
n street name for lysergic acid diethylamide"
disaster,n. an act that has disastrous consequences
on one's own,none
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
injury,"n. any physical damage to the body caused by violence or accident or fracture etc.
n. an accident that results in physical damage or hurt
n. an act that causes someone or something to receive physical damage
n. wrongdoing that violates another's rights and is unjustly inflicted"
give up,none
come to do something,none
pull through,n. cleaning implement consisting of an oily rag attached by a cord to a weight; is pulled through the barrel of a rifle or handgun to clean it
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
commit suicide,none
get on,none
relationship,"n. a relation between people; (`relationship' is often used where `relation' would serve, as in `the relationship between inflation and unemployment', but the preferred usage of `relationship' is for human relations or states of relatedness)
n. a state of connectedness between people (especially an emotional connection)
n. a state involving mutual dealings between people or parties or countries"
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
get involved with,none
charity,"n. a foundation created to promote the public good (not for assistance to any particular individuals)
n. a kindly and lenient attitude toward people
n. an activity or gift that benefits the public at large
n. an institution set up to provide help to the needy"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
disabled,"n. people collectively who are crippled or otherwise physically handicapped
s. incapable of functioning as a consequence of injury or illness"
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
far too,none
come off it,none
Olympic,a. of or relating to the Olympic Games
badminton,n. a game played on a court with light long-handled rackets used to volley a shuttlecock over a net
admire,"v. feel admiration for
v. look at with admiration"
dead,"n. people who are no longer living
n. a time when coldness (or some other quality associated with death) is intense
a. no longer having or seeming to have or expecting to have life
a. not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat"
dead right,none
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
medal,n an award for winning a championship or commemorating some other event
You've got a point there.,none
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
graduation,"n. the successful completion of a program of study
n. a line (as on a vessel or ruler) that marks a measurement"
scholarship,n. financial aid provided to a student on the basis of academic merit
the Mid-Autumn Festival,none
wedding,"n. the social event at which the ceremony of marriage is performed
n. a party of people at a wedding"
Halloween,n. the evening before All Saints' Day; often devoted to pranks played by young people
dragon,"n. a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings
n. a fiercely vigilant and unpleasant woman
n. any of several small tropical Asian lizards capable of gliding by spreading winglike membranes on each side of the body"
the Dragon Boat Festival,none
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
occasion,"n. reason
n. the time of a particular event
n. an opportunity to do something
v. give occasion to"
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
bean paste,none
nowadays,r. in these times
lantern,n. light in a transparent protective case
the Lantern Festival,none
lunar,a. of or relating to or associated with the moon
lunar month,none
celebration,"n. a joyful occasion for special festivities to mark some happy event
n. any joyous diversion
n. the public performance of a sacrament or solemn ceremony with all appropriate ritual"
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
darkness,"n. an unilluminated area
n. having a dark or somber color
n. a swarthy complexion"
destroy,"v. do away with, cause the destruction or undoing of
v. destroy completely; damage irreparably
v. put (an animal) to death"
burn down,none
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
battery,"n. group of guns or missile launchers operated together at one place
n. a device that produces electricity; may have several primary or secondary cells arranged in parallel or series
n. a collection of related things intended for use together
n. a unit composed of the pitcher and catcher"
sweet dumpling,none
boil,"n. a painful sore with a hard core filled with pus
v. come to the boiling point and change from a liquid to vapor
v. immerse or be immersed in a boiling liquid, often for cooking purposes
v. bring to, or maintain at, the boiling point"
serve,"n. (sports) a stroke that puts the ball in play
v. serve a purpose, role, or function
v. do duty or hold offices; serve in a specific function
v. contribute or conduce to"
tradition,n. an inherited pattern of thought or action
take part in,none
sticky,"s. moist as with undried perspiration and with clothing sticking to the body
s. covered with an adhesive material"
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
hot pot,n a stew of meat and potatoes cooked in a tightly covered pot
snack,"n a light informal meal
v eat a snack; eat lightly"
reception,"n. the manner in which something is greeted
n. a formal party of people; as after a wedding
n. quality or fidelity of a received broadcast
n. the act of receiving"
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
salary,n something that remunerates
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
apply for,none
opportunity,n. a possibility due to a favorable combination of circumstances
teenager,n a juvenile between the onset of puberty and maturity
depend on,none
smartly,r. in a stylish manner
on time,none
bunch,"n. a grouping of a number of similar things
n. any collection in its entirety
v. gather or cause to gather into a cluster"
congratulation,"n. the act of acknowledging that someone has an occasion for celebration
n. (usually plural) an expression of pleasure at the success or good fortune of another"
bride,"n. a woman who has recently been married
n. a woman participant in her own marriage ceremony"
bridegroom,"n a man who has recently been married
n a man participant in his own marriage ceremony"
best man,none
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
invitation,"n. a request (spoken or written) to participate or be present or take part in something
n. a tempting allurement"
even if,none
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
Indonesian,"n. a native or inhabitant of Indonesia
n. the dialect of Malay used as the national language of the Republic of Indonesia or of Malaysia
a. of or relating to or characteristic of Indonesia or its people or languages"
ought,"n. & adv. See Aught.
imp., p. p., or auxi Was or were under obligation to pay;
   owed.
imp., p. p., or auxi Owned; possessed.
imp., p. p., or auxi To be bound in duty or by moral
   obligation.
imp., p. p., or auxi To be necessary, fit, becoming, or
   expedient; to behoove; -- in this sense formerly sometimes used
   impersonally or without a subject expressed.
 of Owe"
contribute,"v. contribute to some cause
v. be conducive to"
Greek,"n. the Hellenic branch of the Indo-European family of languages
n. a native or inhabitant of Greece
a. of or relating to or characteristic of Greece or the Greeks or the Greek language"
crown,"n. the Crown (or the reigning monarch) as the symbol of the power and authority of a monarchy
n. the part of a tooth above the gum that is covered with enamel
n. a wreath or garland worn on the head to signify victory
n. an ornamental jeweled headdress signifying sovereignty"
ribbon,"n. any long object resembling a thin line
n. a long strip of inked material for making characters on paper with a typewriter
n. notion consisting of a narrow strip of fine material used for trimming"
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
carol,"n. joyful religious song celebrating the birth of Christ
n. a joyful song (usually celebrating the birth of Christ)
v. sing carols"
stocking,"n. close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
n. the activity of supplying a stock of something"
seriously,r. in a serious manner
pole,"n. a long (usually round) rod of wood or metal or plastic
n. a native or inhabitant of Poland
n. one of two divergent or mutually exclusive opinions
n. one of two points of intersection of the Earth's axis and the celestial sphere"
the North Pole,none
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
calendar,"n. a system of timekeeping that defines the beginning and length and divisions of the year
n. a list or register of events (appointments or social events or court cases etc)
n. a tabular array of the days (usually for one year)
v. enter into a calendar"
put up,s. planned secretly
decoration,"n. something used to beautify
n. an award for winning a championship or commemorating some other event
n. the act of decorating something (in the hope of making it more attractive)"
pudding,"n. any of various soft thick unsweetened baked dishes
n. (British) the dessert course of a meal (`pud' is used informally)
n. any of various soft sweet desserts thickened usually with flour and baked or boiled or steamed"
breast,"n. the front of the trunk from the neck to the abdomen
n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman
n. meat carved from the breast of a fowl
n. the part of an animal's body that corresponds to a person's chest"
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
carry on,none
merry,"s full of or showing high-spirited merriment
s offering fun and gaiety
s quick and energetic"
production,"n. the act or process of producing something
n. a presentation for the stage or screen or radio or television
n. (law) the act of exhibiting in a court of law
n. a display that is exaggerated or unduly complicated"
needle,"n. a slender pointer for indicating the reading on the scale of a measuring instrument
n. a sharp pointed implement (usually steel)
v. goad or provoke,as by constant criticism
v. prick with a needle"
pillow,"n. a cushion to support the head of a sleeping person
v. rest on or as if on a pillow"
as well,none
mat,"n. a thick flat pad used as a floor covering
n. mounting consisting of a border or background for a picture
n. sports equipment consisting of a piece of thick padding on the floor for gymnastic sports
n. a mass that is densely tangled or interwoven"
litre,"n a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
unfortunately,r. by bad luck
mess,"n. a state of confusion and disorderliness
n. soft semiliquid food
n. a meal eaten in a mess hall by service personnel
n. a (large) military dining room where service personnel eat or relax"
Brian,none
Tina,none
Bob,"n. a hair style for women and children; a short haircut all around
n. a hanging weight, especially a metal ball on a string
n. a small float usually made of cork; attached to a fishing line
n. a short abrupt inclination (as of the head)"
Mark,"n. a number or letter indicating quality (especially of a student's performance)
n. a visible indication made on a surface
n. the impression created by doing something unusual or extraordinary that people notice and remember
n. a symbol of disgrace or infamy"
Ingrid Bergman,none
Debbie,none
Paul,"n. United States feminist (1885-1977)
n. (New Testament) a Christian missionary to the Gentiles; author of several Epistles in the New Testament; even though Paul was not present at the Last Supper he is considered an Apostle"
Mother Teresa,none
Hamlet,"n. a community of people smaller than a village
n. the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father"
Nemo,none
Bridget Jones,none
Octopus,"n. tentacles of octopus prepared as food
n. bottom-living cephalopod having a soft oval body with eight long tentacles"
Pat,"n. the sound made by a gentle blow
s. exactly suited to the occasion
r. completely or perfectly"
Jennifer,none
Sun Yat-sen,none
Thomas Edison,none
Sam Roberts,none
Martin Luther King,none
Gandhi,"n. daughter of Nehru who served as prime minister of India from 1966 to 1977 (1917-1984)
n. political and spiritual leader during India's struggle with Great Britain for home rule; an advocate of passive resistance (1869-1948)"
Elizabeth Blackwell,none
Nelson Mandela,none
Jane Goodall,none
Venus Williams,none
Serena Williams,none
Richard,none
Brandi Bailey,none
Christopher Reeve,none
Dana,n Celtic goddess who was the mother of the Tuatha De Danann; identified with the Welsh Don
James Dean,none
Dave,none
Mike,n device for converting sound waves into electrical energy
Lisa,none
Eva,none
Alison,none
Kathleen,none
Jamie,none
Katrina,none
Jim,none
Barbara,"n. The first word in certain mnemonic lines which represent
   the various forms of the syllogism. It indicates a syllogism whose
   three propositions are universal affirmatives."
Tom,"n. (ethnic slur) offensive and derogatory name for a Black man who is abjectly servile and deferential to Whites
n. male cat"
Sarah,n. (Old Testament) the wife of Abraham and mother of Isaac
Birmingham,"n. the largest city in Alabama; located in northeastern Alabama
n. a city in central England; 2nd largest English city and an important industrial and transportation center"
Inner Mongolia,none
Atlanta,"n. state capital and largest city of Georgia; chief commercial center of the southeastern United States; was plundered and burned by Sherman's army during the American Civil War
n. a siege in which Federal troops under Sherman cut off the railroads supplying the city and then burned it; 1864"
Georgia,"n. a state in southeastern United States; one of the Confederate states during the American Civil War
n. one of the British colonies that formed the United States
n. a republic in Asia Minor on the Black Sea separated from Russia by the Caucasus mountains; formerly an Asian soviet but became independent in 1991"
Washington DC,none
New York City,none
South Africa,none
Gombe Streams National Park of Tanzania,none
Tanzania,n. a republic in eastern Africa
Indonesia,"n. a republic in southeastern Asia on an archipelago including more than 13,000 islands; achieved independence from the Netherlands in 1945; the principal oil producer in the Far East and Pacific regions"
Greek,"n. the Hellenic branch of the Indo-European family of languages
n. a native or inhabitant of Greece
a. of or relating to or characteristic of Greece or the Greeks or the Greek language"
California,n. a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
Mexico,n. a republic in southern North America; became independent from Spain in 1810
San Francisco,none
silver,"n. a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
n. coins made of silver
v. coat with a layer of silver or a silver amalgam
v. make silver in color"
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
lowdown,none
rebel,"n. `Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
v. take part in a rebellion; renounce a former allegiance
v. break with established customs"
even if,none
hop,"n. the act of hopping; jumping upward or forward (especially on one foot)
n. twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
n. an informal dance where popular music is played
v. jump lightly"
auto shop,none
stupid,"n. a person who is not very bright
a. lacking or marked by lack of intellectual acuity"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
identify with,none
admire,"v. feel admiration for
v. look at with admiration"
Wimbledon,n. a suburb of London and the headquarters of the club where annual international tennis championships are played on grass courts
the US Open,none
the French Open,none
Real Madrid,none
Romeo and Juliet,none
BMW,none
Bavarian Motor Works,none
