abase,v cause to feel shame; hurt the pride of
by-product,"n. a secondary and sometimes unexpected consequence
n. a product made during the manufacture of something else"
calamity,n. an event resulting in great loss and misfortune
calculus,"n. a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body
n. the branch of mathematics that is concerned with limits and with the differentiation and integration of functions"
calf,"n. young of domestic cattle
n. the muscular back part of the shank
n. fine leather from the skin of a calf
n. young of various large placental mammals e.g. whale or giraffe or elephant or buffalo"
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
catalyze,v. change by catalysis or cause to catalyze
cataract,"n. an eye disease that involves the clouding or opacification of the natural lens of the eye
n. a large waterfall; violent rush of water over a precipice"
causal,s. involving or constituting a cause; causing
censor,"n. someone who censures or condemns
n. a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable
v. subject to political, religious, or moral censorship"
centralization,"n. the act of consolidating power under a central control
n. gathering to a center"
championship,"n. the status of being a champion
n. a competition at which a champion is chosen"
chargeable,"s. liable to be accused, or cause for such liability"
cheery,s. bright and pleasant; promoting a feeling of cheer
chimpanzee,n. intelligent somewhat arboreal ape of equatorial African forests
cholesterol,n. an animal sterol that is normally synthesized by the liver; the most abundant steroid in animal tissues
chromosome,n. a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order
chunk,n. a substantial amount
circulation,"n. the dissemination of copies of periodicals (as newspapers or magazines)
n. movement through a circuit; especially the movement of blood through the heart and blood vessels
n. (library science) the count of books that are loaned by a library over a specified period
n. number of copies of a newspaper or magazine that are sold"
clique,n. an exclusive circle of people with a common purpose
coffin,"n. box in which a corpse is buried or cremated
v. place into a coffin"
cog,"n. a subordinate who performs an important but routine function
n. tooth on the rim of gear wheel
v. roll steel ingots"
colossal,s. so great in size or force or extent as to elicit awe
comeback,n. return by a celebrity to some previously successful activity
competence,n. the quality of being adequately or well qualified physically and intellectually
complexion,"n. the coloring of a person's face
n. a combination that results from coupling or interlinking
n. a point of view or general attitude or inclination
n. texture and appearance of the skin of the face"
compliance,"n acting according to certain accepted standards
n a disposition or tendency to yield to the will of others
n the act of submitting; usually surrendering power to another"
compulsion,"n. an urge to do or say something that might be better left undone or unsaid
n. an irrational motive for performing trivial or repetitive actions, even against your will
n. using force to cause something to occur"
confound,"v be confusing or perplexing to; cause to be unable to think clearly
v mistake one thing for another"
congestion,"n. excessive accumulation of blood or other fluid in a body part
n. excessive crowding"
connotation,n. an idea that is implied or suggested
consequent,s following or accompanying as a consequence
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
consul,n. a diplomat appointed by a government to protect its commercial interests and help its citizens in a foreign country
contention,n. a point asserted as part of an argument
coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
corporate,"a. of or belonging to a corporation
s. done by or characteristic of individuals acting together
s. organized and maintained as a legal corporation"
corpse,n the dead body of a human being
corrosive,"n. a substance having the tendency to cause corrosion (such a strong acids or alkali)
s. spitefully sarcastic"
counterbalance,n. a compensating equivalent
coverage,"n. the total amount and type of insurance carried
n. the extent to which something is covered
n. the news as presented by reporters for newspapers or radio or television"
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
Danube,n. the 2nd longest European river (after the Volga); flows from southwestern Germany to the Black Sea
dearth,"n. an acute insufficiency
n. an insufficient quantity or number"
debase,v. lower in value by increasing the base-metal content
debris,n. the remains of something that has been destroyed or broken up
decode,v. convert code into ordinary language
degrade,"v. reduce the level of land, as by erosion
v. lower the grade of something; reduce its worth"
delinquency,"n. nonpayment of a debt when due
n. a tendency to be negligent and uncaring
n. an antisocial misdeed in violation of the law by a minor"
demographer,n. a scientist who studies the growth and density of populations and their vital statistics
depletion,"n. the act of decreasing something markedly
n. the state of being depleted"
depreciate,"v. lower the value of something
v. lose in value"
detrimental,s (sometimes followed by `to') causing harm or injury
devalue,"v. remove the value from; deprive of its value
v. lower the value or quality of"
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
discerning,"a. having or revealing keen insight and good judgment
s. unobtrusively perceptive and sympathetic
s. able to make or detect effects of great subtlety; sensitive"
disparaging,"v express a negative opinion of
s expressive of low opinion"
dispassionate,s. unaffected by strong emotion or prejudice
disproportionate,"a. out of proportion
s. not proportionate"
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
disseminate,v cause to become widely known
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
divergent,"s. diverging from another or from a standard
a. tending to move apart in different directions"
diversify,"v. make (more) diverse
v. spread into new habitats and produce variety or variegate
v. vary in order to spread risk or to expand"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
downscale,s intended for people with low incomes
downshifting,none
downsizing,"n the reduction of expenditures in order to become financially stable
v dismiss from work
v make in a smaller size
v reduce in size or number"
drudgery,n. hard monotonous routine work
dynamics,n. the branch of mechanics concerned with the forces that cause motions of bodies
egalitarian,n. a person who believes in the equality of all people
elude,"v. escape, either physically or mentally
v. be incomprehensible to; escape understanding by"
emancipate,v. give equal rights to; of women and minorities
ember,n. a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
emulation,"n. ambition to equal or excel
n. (computer science) technique of one machine obtaining the same results as another
n. effort to equal or surpass another"
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
encroach,v. advance beyond the usual limit
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
entangle,"v. entrap
v. twist together or entwine into a confusing mass"
entreat,v ask for or request earnestly
entrust,"v. confer a trust upon
v. put into the care or protection of someone"
envision,v. picture to oneself; imagine possible
enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
epithet,n. descriptive word or phrase
espionage,n. the systematic use of spies to get military or political secrets
euthanasia,n. the act of killing someone painlessly (especially someone suffering from an incurable illness)
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
excavation,"n. the act of digging
n. a hole in the ground made by excavating"
expedite,"v. speed up the progress of; facilitate
v. process fast and efficiently"
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
fallacy,n. a misconception resulting from incorrect reasoning
fallout,n. the radioactive particles that settle to the ground after a nuclear explosion
fanatic,"n. a person motivated by irrational enthusiasm (as for a cause)
s. marked by excessive enthusiasm for and intense devotion to a cause or idea"
farfetched,s. highly imaginative but unlikely
fascism,n. a political theory advocating an authoritarian hierarchical government (as opposed to democracy or liberalism)
federation,"n. an organization formed by merging several groups or parties
n. the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
feminist,"n. a supporter of feminism
a. of or relating to or advocating equal rights for women"
feverishly,r. in a feverish manner
fissure,"n. (anatomy) a long narrow slit or groove that divides an organ into lobes
v. break into fissures or fine cracks"
flake,"v. form into flakes
v. cover with flakes or as if with flakes"
flick,"n. a light sharp contact (usually with something flexible)
n. a short stroke
v. look through a book or other written material
v. twitch or flutter"
flicker,"n. a momentary flash of light
n. North American woodpecker
v. move back and forth very rapidly
v. shine unsteadily"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
flowery,"a. of or relating to or suggestive of flowers
s. marked by elaborate rhetoric and elaborated with decorative details"
flutter,"n. abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block
v. flap the wings rapidly or fly with flapping movements"
foe,n. a personal enemy
foresighted,s planning prudently for the future
frenzy,n state of violent mental agitation
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
fungus,n. an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia
fury,"n. a feeling of intense anger
n. (classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals"
futurism,"n. an artistic movement in Italy around 1910 that tried to express the energy and values of the machine age
n. the position that the meaning of life should be sought in the future"
futurist,n. a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) will be fulfilled in the future
futurologist,none
geophysical,a. of or concerned with geophysics
gizmo,"n something unspecified whose name is either forgotten or not known
n a device or control that is very useful for a particular job"
glamor,n. alluring beauty or charm (often with sex-appeal)
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
gland,n. any of various organs that synthesize substances needed by the body and release it through ducts or directly into the bloodstream
gratify,v. yield (to); give satisfaction to
gravel,"n. rock fragments and pebbles
v. cover with gravel"
groove,"n. a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record)
n. (anatomy) any furrow or channel on a bodily structure or part
v. make a groove in, or provide with a groove"
growl,n. the sound of growling (as made by animals)
guardian,n a person who cares for persons or property
gunpowder,"n. a mixture of potassium nitrate, charcoal, and sulfur in a 75:15:10 ratio which is used in gunnery, time fuses, and fireworks"
hack,"n. one who works hard at boring tasks
n. a mediocre and disdained writer
n. a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil
n. an old or over-worked horse"
hallucination,"n. illusory perception; a common symptom of severe mental disorder
n. an object perceived during a hallucinatory episode"
halo,n. a circle of light around the sun or moon
harass,"v. annoy continually or chronically
v. exhaust by attacking repeatedly"
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
headshot,"n. a photograph of a person's head
n. an attempt to put the soccer ball into the net by using the head
n. a shot aimed at a person's head"
hectare,"n. (abbreviated `ha') a unit of surface area equal to 100 ares (or 10,000 square meters)"
heed,v. pay close attention to; give heed to
helix,"n. a curve that lies on the surface of a cylinder or cone and cuts the element at a constant angle
n. type genus of the family Helicidae"
highbrow,"n. a person of intellectual or erudite tastes
s. highly cultured or educated"
hockey,"n a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net
n a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks"
homicide,n. the killing of a human being by another human being
honesty,"n. the quality of being honest
n. southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
horticulture,n the cultivation of plants
hospice,"n. a lodging for travelers (especially one kept by a monastic order)
n. a program of medical and emotional care for the terminally ill"
hospitable,"a. favorable to life and growth
a. disposed to treat guests and strangers with cordiality and generosity
s. having an open mind"
husbandry,n the practice of cultivating the land or raising stock
hydroelectric,a. of or relating to or used in the production of electricity by waterpower
hysteria,"n. excessive or uncontrollable fear
n. neurotic disorder characterized by violent emotional outbreaks and disturbances of sensory and motor functions"
iceberg,n. a large mass of ice floating at sea; usually broken off of a polar glacier
icon,"n. (computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
n. a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church"
impel,v. urge or force (a person) to an action; constrain or motivate
impersonal,"a. not relating to or responsive to individual persons
s. having no personal preference"
impinge,v. impinge or infringe upon
impoverished,"v make poor
v take away
s poor enough to need help from others
s destroyed financially"
imprint,"n. a distinctive influence
n. an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page
n. an impression produced by pressure or printing
n. a device produced by pressure on a surface"
imprison,"v. lock up or confine, in or as in a jail
v. confine as if in a prison; he does not let them go out without a chaperone"""
improper,"a. not suitable or right or appropriate
s. not conforming to legality, moral law, or social convention
s. not appropriate for a purpose or occasion"
inborn,"s present at birth but not necessarily hereditary; acquired during fetal development
s normally existing at birth"
inbuilt,s existing as an essential constituent or characteristic
inclination,"n. an attitude of mind especially one that favors one alternative over others
n. (astronomy) the angle between the plane of the orbit and the plane of the ecliptic stated in degrees
n. (geometry) the angle formed by the x-axis and a given line (measured counterclockwise from the positive half of the x-axis)
n. that toward which you are inclined to feel a liking"
incoming,"a. arriving at a place or position
a. entering upon a position of office vacated by another"
incomplete,"a. not complete or total; not completed
s. not yet finished"
indistinct,a. not clearly defined or easy to perceive or understand
ineptly,"r. with ineptitude; in an incompetent manner
r. in an infelicitous manner"
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
infection,"n. the pathological state resulting from the invasion of the body by pathogenic microorganisms
n. (phonetics) the alteration of a speech sound under the influence of a neighboring sound
n. (medicine) the invasion of the body by pathogenic microorganisms and their multiplication which can lead to tissue damage and disease
n. an incident in which an infectious disease is transmitted"
infest,"v. invade in great numbers
v. live on or in a host, as of parasites"
infuriate,v. make furious
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
innovate,v bring something new to an environment
insane,a. afflicted with or characteristic of mental derangement
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
intake,n. an opening through which fluid is admitted to a tube or container
intent,n. the intended meaning of a communication
interplay,n. reciprocal action and reaction
interlocking,"n contact by fitting together
n the act of interlocking or meshing
v coordinate in such a way that all parts work together effectively
v hold in a locking position
v become engaged or intermeshed with one another
s linked or locked closely together as by dovetailing"
intranet,n. a restricted computer network; a private network created using World Wide Web software
inventive,s (used of persons or artifacts) marked by independence and creativity in thought or action
invoice,v. send an bill to
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
itinerary,"n an established line of travel or access
n a guidebook for travelers
n a proposed route of travel"
jeer,"n. showing your contempt by derision
v. laugh at with contempt and derision"
Jew,n. a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties
juggle,"n. the act of rearranging things to give a misleading impression
n. throwing and catching several objects simultaneously
v. influence by slyness
v. manipulate by or as if by moving around components"
keyword,none
kindle,"v. catch fire
v. cause to start burning"
laborsaving,s. designed to replace or conserve human and especially manual labor
laid-off,s having lost your job
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
lawsuit,n. a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
legible,"a. (of handwriting, print, etc.) capable of being read or deciphered"
ligament,"n. a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs
n. any connection or unifying bond"
light-year,n the distance that light travels in a vacuum in 1 year; 5.88 trillion miles or 9.46 trillion kilometers
limpid,s. (of language) transparently clear; easily understandable
livelihood,n the financial means whereby one lives
lobster,"n. flesh of a lobster
n. any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae"
lookout,"n. a person employed to keep watch for some anticipated event
n. an elevated post affording a wide view
n. a structure commanding a wide view of its surroundings
n. the act of looking out"
maize,"n tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n a strong yellow color"
majestic,s. majestic in manner or bearing; superior to mundane matters
makeup,"n. cosmetics applied to the face to improve or change your appearance
n. an event that is substituted for a previously cancelled event"
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
manicurist,n. a beautician who cleans and trims and polishes the fingernails
mantle,"n. the cloak as a symbol of authority
n. United States baseball player (1931-1997)
n. the layer of the earth between the crust and the core
n. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell"
Mars,"n. a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
n. (Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares"
matchmaker,n. someone who arranges (or tries to arrange) marriages for others
media,"n a means or instrumentality for storing or communicating information
n the surrounding environment
n an intervening substance through which signals can travel as a means for communication
n (bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms
n a liquid with which pigment is mixed by a painter
n (biology) a substance in which specimens are preserved or displayed
n an intervening substance through which something is achieved
n a state that is intermediate between extremes; a middle position
n someone who serves as an intermediary between the living and the dead
n (usually plural) transmissions that are disseminated widely to the public
n an occupation for which you are especially well suited"
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
Medicare,n. health care for the aged; a federally administered system of health insurance available to persons aged 65 and over
medication,n. the act of treating with medicines or remedies
mediocrity,"n ordinariness as a consequence of being average and not outstanding
n a person of second-rate ability or value"
merrymaking,n. a boisterous celebration; a merry festivity
methodology,"n. the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
n. the system of methods followed in a particular discipline"
microprocessor,n. integrated circuit semiconductor chip that performs the bulk of the processing and controls the parts of a system
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
misguided,s. wrong in e.g. opinion or judgment
misuse,n. improper or excessive use
modem,n. (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
monarchy,n. an autocracy governed by a monarch who usually inherits the authority
monk,"n. a male religious living in a cloister and devoting himself to contemplation and prayer and work
n. United States jazz pianist who was one of the founders of the bebop style (1917-1982)"
monoglot,none
morphine,"n. an alkaloid narcotic drug extracted from opium; a powerful, habit-forming narcotic used to relieve pain"
mortify,"v. practice self-denial of one's body and appetites
v. hold within limits and control"
motorist,n. someone who drives (or travels in) an automobile
motorway,n a broad highway designed for high-speed traffic
mummy,n. a body embalmed and dried and wrapped for burial (as in ancient Egypt)
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
Muslim,"n. a believer in or follower of Islam
a. of or relating to or supporting Islamism"
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
mutability,n. the quality of being capable of mutation
narrowly,r. in a narrow manner; not allowing for exceptions
navigate,"v. act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance
v. direct carefully and safely"
Nazism,n. a form of socialism featuring racism and expansionism and obedience to a strong leader
neon,n. a colorless odorless gaseous element that give a red glow in a vacuum tube; one of the six inert gasses; occurs in the air in small amounts
neurology,"n. the branch of medical science that deals with the nervous system
n. (neurology) the branch of medicine that deals with the nervous system and its disorders"
neurologist,n. a medical specialist in the nervous system and the disorders affecting it
newborn,"s. recently born
s. having just or recently arisen or come into existence"
newsletter,n. report or open letter giving informal or confidential news of interest to a special group
newsroom,"n. the staff of a newspaper or the news department of a periodical
n. an office in which news is processed by a newspaper or news agency or television or radio station
n. a reading room (in a library or club) where newspapers and other periodicals can be read"
nicety,"n conformity with some esthetic standard of correctness or propriety
n a subtle difference in meaning or opinion or attitude"
noteworthy,"s. worthy of notice
s. worthy of notice"
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
obsess,v. be preoccupied with something
offshore,"a. (of winds) coming from the land
s. at some distance from the shore
r. away from shore; away from land"
off-the-cuff,s with little or no preparation or forethought
olive,"n. small ovoid fruit of the European olive tree; important food and source of oil
n. evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits
n. hard yellow often variegated wood of an olive tree; used in cabinetwork
n. one-seeded fruit of the European olive tree usually pickled and used as a relish"
oncologist,n. a specialist in oncology
oncoming,s. moving toward one
online,"a on a regular route of a railroad or bus or airline system
a connected to a computer network or accessible by computer
s being in progress now"
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
outburst,"n. a sudden intense happening
n. a sudden violent disturbance"
outcry,"n a loud utterance; often in protest or opposition
v shout louder than
v utter aloud; often with surprise, horror, or joy"
outdated,s. old; no longer valid or fashionable
overrated,v make too high an estimate of
oversee,v. watch and direct
overshadow,"v. be greater in significance than
v. cast a shadow upon"
painstaking,s characterized by extreme care and great effort
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
passionate,a. having or expressing strong emotions
pathway,n. a trodden path
patriarchal,"a. characteristic of a form of social organization in which the male is the family head and title is traced through the male line
a. relating to or characteristic of a man who is older or higher in rank"
peddle,v. sell or offer for sale from place to place
penguin,n. short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers
penicillin,n. any of various antibiotics obtained from Penicillium molds (or produced synthetically) and used in the treatment of various infections and diseases
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
perturbation,"n. (physics) a secondary influence on a system that causes it to deviate slightly
n. activity that is a malfunction, intrusion, or interruption
n. a disposition that is confused or nervous and upset"
pervasive,s spreading or spread throughout
physique,n. constitution of the human body
pigmentation,"n. the deposition of pigment in animals or plants or human beings
n. coloration of living tissues by pigment"
plagiarize,v. take without referencing from someone else's writing or speech; of intellectual property
plank,"n. an endorsed policy in the platform of a political party
v. cover with planks
v. set (something or oneself) down with or as if with a noise
v. cook and serve on a plank"
popularity,n. the quality of being widely admired or accepted or sought after
populist,n an advocate of democratic principles
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
prelude,"n. music that precedes a fugue or introduces an act in an opera
v. serve as a prelude or opening to
v. play as a prelude"
preservative,"n. a chemical compound that is added to protect against decay or decomposition
s. tending or having the power to preserve"
primacy,n. the state of being first in importance
primal,"s serving as an essential component
s having existed from the beginning; in an earliest or original stage or state"
