excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
trudge,n. a long difficult walk
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
promulgate,v. put a law into effect by formal declaration
mercifully,r. in a compassionate manner
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
wholesome,"a. conducive to or characteristic of physical or moral well-being
s. sound or exhibiting soundness in body or mind"
ecological,"a. characterized by the interdependence of living organisms in an environment
a. of or relating to the science of ecology"
afterworld,n. the place where you are after you die
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
app,none
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
automated,s. operated by automation
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
tugboat,n. a powerful small boat designed to pull or push larger ships
oblong,"n. a plane figure that deviates from a square or circle due to elongation
s. (of a leaf shape) having a somewhat elongated form with approximately parallel sides
s. deviating from a square or circle or sphere by being elongated in one direction"
arguably,r. as can be shown by argument
afterlife,n. life after death
focal,"s. having or localized centrally at a focus
a. of or relating to a focus"
blizzard,n. a storm with widespread snowfall accompanied by strong winds
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
subsidize,"v. support through subsidies
v. secure the assistance of by granting a subsidy, as of nations or military forces"
scrabble,n. a board game in which words are formed from letters in patterns similar to a crossword puzzle; each letter has a value and those values are used to score the game
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
hormone,n. the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect
apprenticeship,n. the position of apprentice
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
commentator,n. a writer who reports and analyzes events of the day
informative,a. providing or conveying information
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
disappointment,"n. a feeling of dissatisfaction that results when your expectations are not realized
n. an act (or failure to act) that disappoints someone"
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
instantaneously,r. without any delay
intimidation,"n. the feeling of discouragement in the face of someone's superior fame or wealth or status etc.
n. the feeling of being intimidated; being made to feel afraid or timid"
cosmetic,"n. a toiletry designed to beautify the body
s. serving an esthetic rather than a useful purpose
s. serving an aesthetic purpose in beautifying the body"
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
outcast,n. a person who is rejected (from society or home)
presumably,r. by reasonable assumption
pilgrimage,n. a journey to a sacred place
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
query,"n an instance of questioning
v pose a question"
pyramid,"n. a polyhedron having a polygonal base and triangular sides with a common vertex
n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
v. enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts"
gadget,n a device or control that is very useful for a particular job
sluggish,s. moving slowly
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
erect,a. upright in position or posture
font,n. a specific size and style of type within a type family
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
emotional,"a. determined or actuated by emotion rather than reason
a. of more than usual emotion
a. of or pertaining to emotion"
neural,a. of or relating to neurons
parliament,n. a legislative assembly in certain countries
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
lava,n. rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface
illustrate,"v. depict with an illustration
v. supply with illustrations"
guffaw,"n. a burst of deep loud hearty laughter
v. laugh boisterously"
habitual,s commonly used or practiced; usual
inundate,"v. fill or cover completely, usually with water"
brutal,"s. harsh
s. disagreeably direct and precise"
viral,a. relating to or caused by a virus
footage,"n. film that has been shot
n. a rate of charging by the linear foot of work done"
procurement,n. the act of getting possession of something
influx,n the process of flowing in
reassurance,n. the act of reassuring; restoring someone's confidence
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
prototype,n. a standard or typical example
descend,"v. move downward and lower, but not necessarily all the way"
intricate,s. having many complexly arranged elements; elaborate
scant,v. limit in quality or quantity
diminish,"v. lessen the authority, dignity, or reputation of"
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
anthropologist,n. a social scientist who specializes in anthropology
tumultuous,s characterized by unrest or disorder or insubordination
juggle,"n. the act of rearranging things to give a misleading impression
n. throwing and catching several objects simultaneously
v. influence by slyness
v. manipulate by or as if by moving around components"
fidgety,s nervous and unable to relax
slouch,"n. an incompetent person; usually used in negative constructions
n. a stooping carriage in standing and walking
v. walk slovenly"
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
autopsy,"n. an examination and dissection of a dead body to determine cause of death or the changes produced by disease
v. perform an autopsy on a dead body; do a post-mortem"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
incentive,n. a positive motivational influence
exhaustive,s. performed comprehensively and completely
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
median,"n. the value below which 50% of the cases fall
s. relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values)
s. relating to or situated in or extending toward the middle"
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
exotic,s. strikingly strange or unusual
implication,"n. an accusation that brings into intimate and usually incriminating connection
n. a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false
n. a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)"
opt,v select as an alternative over another
murky,s. dark or gloomy
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
totemic,a. relating to totemism
biblical,"a. of or pertaining to or contained in or in accordance with the Bible
a. in keeping with the nature of the Bible or its times or people"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
typify,"v. embody the essential characteristics of or be a typical example of
v. express indirectly by an image, form, or model; be a symbol"
conquest,"n. the act of conquering
n. success in mastering something difficult"
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
squalor,n sordid dirtiness
headscarf,n. a kerchief worn over the head and tied under the chin
astoundingly,none
fragmentation,"n. the disintegration of social norms governing behavior and thought and social relationships
n. (computer science) the condition of a file that is broken up and stored in many different locations on a magnetic disk
n. the scattering of bomb fragments after the bomb explodes"
thatcher,"n. British stateswoman; first woman to serve as Prime Minister (born in 1925)
n. someone skilled in making a roof from plant stalks or foliage"
estate,"n. everything you own; all of your assets (whether real property or personal property) and liabilities
n. extensive landed property (especially in the country) retained by the owner for his own use"
toddler,n. a young child
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
intrusion,"n. entrance by force or without permission or welcome
n. the forcing of molten rock into fissures or between strata of an earlier rock formation
n. rock produced by an intrusive process"
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
arthritis,n. inflammation of a joint or joints
embargo,"n. a government order imposing a trade barrier
v. ban the publication of (documents), as for security or copyright reasons
v. prevent commerce"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
throng,v. press tightly together or cram
complement,"n. a word or phrase used to complete a grammatical construction
n. a complete number or quantity
n. number needed to make up a whole force
n. something added to complete or embellish or make perfect"
hoard,"n. a secret store of valuables or money
v. save up as for future use"
ordeal,"n. a severe or trying experience
n. a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence"
sequel,"n. something that follows something else
n. a part added to a book or play that continues and extends it"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
encounter,n. a casual meeting with a person or thing
executive,"n. a person responsible for the administration of a business
n. persons who administer the law
a. having the function of carrying out plans or orders etc."
indolence,n. inactivity resulting from a dislike of work
genetically,r. by genetic mechanisms
banquet,"n. a ceremonial dinner party for many people
n. a meal that is well prepared and greatly enjoyed"
briefcase,n. a case with a handle; for carrying papers or files or books
bureau,"n an administrative unit of government
n furniture with drawers for keeping clothes"
bypass,"n. a surgically created shunt (usually around a damaged part)
v. avoid something unpleasant or laborious"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
awesome,s inspiring awe or admiration or wonder
detonate,v. burst and release energy as through a violent chemical or physical reaction
rapport,n. a relationship of mutual understanding or trust and agreement between people
invigilator,n. someone who watches examination candidates to prevent cheating
fatigue,"n. temporary loss of strength and energy resulting from hard physical or mental work
n. used of materials (especially metals) in a weakened state caused by long stress
n. (always used with a modifier) boredom resulting from overexposure to something"
quirky,s informal terms; strikingly unconventional
cranial,a. of or relating to the cranium which encloses the brain
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
inhabit,v. be present in
pandemic,"n. an epidemic that is geographically widespread; occurring throughout a region or even throughout the world
s. epidemic over a wide geographical area
s. existing everywhere"
tangle,"n. a twisted and tangled mass that is highly interwoven
n. something jumbled or confused"
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
snow-stricken,none
limousine,n. large luxurious car; usually driven by a chauffeur
acknowledgement,"n the state or quality of being recognized or acknowledged
n a statement acknowledging something or someone"
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
righteousness,n. adhering to moral principles
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
ornament,v. be an ornament to
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
indulgent,"a. characterized by or given to yielding to the wishes of someone
s. tolerant or lenient
s. being favorably inclined"
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
effort,n. use of physical or mental energy; hard work
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
limp,"v. walk impeded by some physical limitation or injury
v. proceed slowly or with difficulty
s. not firm
s. lacking in strength or firmness or resilience"
gasp,n. a short labored intake of breath with the mouth open
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
rangefinder,n. a measuring instrument (acoustic or optical or electronic) for finding the distance of an object
reinforce,"v. make stronger
v. strengthen and support with rewards"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
adulation,n. servile flattery; exaggerated and hypocritical praise
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
vulgar,"s lacking refinement or cultivation or taste
s of or associated with the great masses of people
s being or characteristic of or appropriate to everyday language
s conspicuously and tastelessly indecent"
slack,"n. dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve
n. a stretch of water without current or movement
n. the quality of being loose (not taut)
n. a cord or rope or cable that is hanging loosely"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
lop,"v cut off from a whole
v cultivate, tend, and cut back the growth of"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
refrain,"n. the part of a song where a soloist is joined by a group of singers
v. resist doing something"
contagious,s. easily diffused or spread as from one person to another
glide,"n. the activity of flying a glider
v. move smoothly and effortlessly
v. fly in or as if in a glider plane
v. cause to move or pass silently, smoothly, or imperceptibly"
critically,r. in a critical manner
Mediterranean,"n. the largest inland sea; between Europe and Africa and Asia
a. of or relating to or characteristic of or located near the Mediterranean Sea"
mockery,"n showing your contempt by derision
n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n humorous or satirical mimicry"
tattered,s. worn to shreds; or wearing torn or ragged clothing
