biography,n. an account of the series of events making up a person's life
fairy,"n. a small being, human in form, playful and having magical powers"
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
burst out laughing,none
giggle,"n. a foolish or nervous laugh
v. laugh nervously"
anecdote,n. short account of an incident (especially a biographical one)
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
unbelievable,"a beyond belief or understanding
s having a probability too low to inspire belief"
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
visa,"n. an endorsement made in a passport that allows the bearer to enter the country issuing it
v. provide (a passport) with a visa
v. approve officially"
my goodness,none
harmony,"n. compatibility in opinion and action
n. the structure of music with respect to the composition and progression of chords
n. a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole
n. agreement of opinions"
cash a cheque,none
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
forgetful,s. failing to keep in mind
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
yell,v. utter or declare in a very loud voice
wait in line,none
identification,"n. evidence of identity; something that identifies a person or thing
n. the condition of having the identity (of a person or object) established
n. the attribution to yourself (consciously or unconsciously) of the characteristics of another person (or group of persons)"
sunburnt,s suffering from overexposure to direct sunlight
messy,s. dirty and disorderly
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
thriller,n. a suspenseful adventure story or play or movie
swiftly,r. in a swift manner
black eye,none
pool,"n. an excavation that is (usually) filled with water
n. an organization of people or resources that can be shared
n. any communal combination of funds
n. a small body of standing water (rainwater) or other liquid"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
nap,"n. a soft or fuzzy surface texture
n. sleeping for a short period of time (usually not in bed)
v. take a siesta"
border,"n. a strip forming the outer edge of something
v. provide with a border or edge
v. lie adjacent to another or share a boundary"
psychology,n. the science of mental life
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
being,n. the state or fact of existing
get rid of,none
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
fool around,none
from time to time,none
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
result in,none
alongside,r side by side
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
caution,"n. the trait of being cautious; being attentive to possible danger
n. a warning against certain acts
n. judiciousness in avoiding harm or danger
v. warn strongly; put on guard"
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
scold,n. someone (especially a woman) who annoys people by constantly finding fault
forbid,v. command against
run into,none
comedy,n. light and humorous drama with a happy ending
comedian,"n. a professional performer who tells jokes and performs comical acts
n. an actor in a comedy"
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
put on,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n something intended to deceive; deliberate trickery intended to gain an advantage
n a ludicrous or grotesque act done for fun and amusement"
turn sb. off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
regardless of,none
purely,r restricted to something
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
seal,"n. a device incised to make an impression; used to secure a closing or to authenticate documents
n. the pelt or fur (especially the underfur) of a seal
n. a stamp affixed to a document (as to attest to its authenticity or to seal it)
n. a finishing coat applied to exclude moisture"
astonish,v affect with wonder
saucer,n. a small shallow dish for holding a cup at the table
steak tartare,none
raw,"n. informal terms for nakedness
s. having the surface exposed and painful
a. not treated with heat to prepare it for eating
s. not processed or refined"
disgusting,s. highly offensive; arousing aversion or disgust
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
boarding school,none
obtain,v. come into possession of
partly,r in part; in some degree; not wholly
compensate,"v. adjust for
v. make amends for; pay compensation for
v. make payment to; compensate"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
play around,none
pull faces,none
rarely,r. not often
presence,"n. the state of being present; current existence
n. the immediate proximity of someone or something
n. an invisible spiritual being felt to be nearby
n. the impression that something is present"
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
depth,"n. the extent downward or backward or inward
n. degree of psychological or intellectual profundity
n. (usually plural) the deepest and most remote part
n. (usually plural) a low moral state"
scare,n. a sudden attack of fear
string,"n. a lightweight cord
n. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed
n. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
n. a linear sequence of symbols (characters or words or phrases)"
starve,"v. be hungry; go without food
v. die of food deprivation
v. deprive of food
v. deprive of a necessity and cause suffering"
loaf,n. a quantity of food (other than bread) formed in a particular shape
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
v. utter a yawn, as from lack of oxygen or when one is tired"
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
cross-talk,n. the presence of an unwanted signal via an accidental coupling
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
thanks to,none
accomplish,"v put in effect
v to gain with effort"
breathless,"a. not breathing or able to breathe except with difficulty
s. tending to cause suspension of regular breathing
s. appearing dead; not breathing or having no perceptible pulse"
masterpiece,"n. the most outstanding work of a creative artist or craftsman
n. an outstanding achievement"
scenic,"s. used of locations; having beautiful natural scenery
a. of or relating to the stage or stage scenery"
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
sideways,"r. with one side forward or to the front
r. toward one side"
vertical,"n. something that is oriented vertically
a. at right angles to the plane of the horizon or a base line
a. relating to or involving all stages of a business from production to distribution
s. of or relating to different levels in a hierarchy (as levels of social class or income group)"
adore,v. love intensely
rainbow,"n. an arc of colored light in the sky caused by refraction of the sun's rays by rain
n. an illusory hope"
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
beholder,n a person who becomes aware (of things or events) through the senses
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
corset,"n. a woman's close-fitting foundation garment
v. dress with a corset"
woollen,"n a fabric made from the hair of sheep
a of or related to or made of wool"
shawl,n. cloak consisting of an oblong piece of cloth used to cover the head and shoulders
tattoo,"n. a drumbeat or bugle call that signals the military to return to their quarters
n. a design on the skin made by tattooing
n. the practice of making a design on the skin by pricking and staining
v. stain (skin) with indelible color"
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
overweight,"n the property of excessive fatness
s usually describes a large person who is fat but has a large frame to carry it"
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
die out,none
accompany,v. go or travel along with
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
conscience,"n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
n. conformity to one's own sense of right conduct
n. a feeling of shame when you do something immoral"
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
subjective,a. taking place within the mind and modified by individual bias
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
tasteless,"a. lacking flavor
a. lacking aesthetic or social taste"
botany,n. the branch of biology that studies plants
skateboard,"n. a board with wheels that is ridden in a standing or crouching position and propelled by foot
v. ride on a flat board with rollers attached to the bottom"
symphony,n. a long and complex sonata for symphony orchestra
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
tune,"n. a succession of notes forming a distinctive sequence
n. the property of producing accurately a note of a given pitch
n. the adjustment of a radio receiver or other circuit to a required frequency
v. adjust for (better) functioning"
deliver,"v. deliver (a speech, oration, or idea)
v. bring to a destination, make a delivery
v. utter (an exclamation, noise, etc.)
v. save from sins"
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
polished,"a. perfected or made shiny and smooth
s. showing a high degree of refinement and the assurance that comes from wide social experience"
refresh,"v. make (to feel) fresh
v. make fresh again"
sentimental,s. given to or marked by sentiment or sentimentality
shabby,s. mean and unworthy and despicable
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
chorus,"n. any utterance produced simultaneously by a group
n. a group of people assembled to sing together
n. a body of dancers or singers who perform together
n. a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play"
tendency,"n. a characteristic likelihood of or natural disposition toward a certain condition or character or effect
n. a general direction in which something tends to move"
vain,"s characteristic of false pride; having an exaggerated sense of self-importance
s unproductive of success"
lyrics,"n the text of a popular song or musical-comedy number
n a short poem of songlike quality
v write lyrics for (a song)"
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
disturbing,"v move deeply
v change the arrangement or position of
v tamper with
v destroy the peace or tranquility of
v damage as if by shaking or jarring
s causing distress or worry or anxiety"
version,"n. an interpretation of a matter from a particular viewpoint
n. something a little different from others of the same type
n. manual turning of a fetus in the uterus (usually to aid delivery)"
stuff,"n. miscellaneous unspecified objects
n. informal terms for personal possessions
n. senseless talk
n. unspecified qualities required to do or be something"
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
Christian,"n. a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
a. relating to or characteristic of Christianity
a. following the teachings or manifesting the qualities or spirit of Jesus Christ"
endless,"s. tiresomely long; seemingly without end
s. infinitely great in number
s. having the ends united so as to form a continuous whole"
freezing,"n the withdrawal of heat to change something from a liquid to a solid
v stop moving or become immobilized
v change to ice
v be cold
v cause to freeze
v stop a process or a habit by imposing a freeze on it
v be very cold, below the freezing point
v change from a liquid to a solid when cold
v prohibit the conversion or use of (assets)
v anesthetize by cold
v suddenly behave coldly and formally"
romantic,"n. a soulful or amorous idealist
a. belonging to or characteristic of Romanticism or the Romantic Movement in the arts"
tranquil,"s (of a body of water) free from disturbance by heavy waves
s not agitated; without losing self-possession"
hoarfrost,n ice crystals forming a white deposit (especially on objects outside)
bend,"n. a circular segment of a curve
n. curved segment (of a road or river or railroad track etc.)
n. a town in central Oregon at the eastern foot of the Cascade Range
n. diagonal line traversing a shield from the upper right corner to the lower left"
homesickness,n. a longing to return home
drown,"v. get rid of as if by submerging
v. die from being submerged in water, getting water into the lungs, and asphyxiating
v. kill by submerging in water"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
hoof,"n. the foot of an ungulate mammal
n. the horny covering of the end of the foot in ungulate mammals
v. dance in a professional capacity"
stout,"n. a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
n. a garment size for a large or heavy person"
bound,"v. form the boundary of; be contiguous to
a. confined by bonds
a. held with another element, substance or material in chemical or physical union
a. secured with a cover or binding; often used as a combining form"
oval,"n a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
s rounded like an egg"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
jerk,"n. a dull stupid fatuous person
n. an abrupt spasmodic movement
n. (mechanics) the rate of change of acceleration
n. raising a weight from shoulder height to above the head by straightening the arms"
chimney,n. a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building
sleigh,"n a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
v ride (on) a sled"
thistle,n. any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
tone,"n. the quality of a person's voice
n. (linguistics) a pitch or change in pitch of the voice that serves to distinguish words in tonal languages
n. a steady sound without overtones
n. a musical interval of two semitones"
unlike,"a. marked by dissimilarity
a. not equal in amount"
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
affection,n. a positive feeling of liking
merchant,n. a businessperson engaged in retail trade
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
trap,"n. a device in which something (usually an animal) can be caught and penned
n. drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas
n. something (often something deceptively attractive) that catches you unawares
n. a device to hurl clay pigeons into the air for trapshooters"
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
manner,"n. how something is done or how it happens
n. a way of acting or behaving
n. a kind"
drawback,n. the quality of being a hindrance
strike,"n. a group's refusal to work in protest against low pay or bad work conditions
n. an attack that is intended to seize or inflict damage on or destroy an objective
n. a score in tenpins: knocking down all ten with the first ball
n. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"
striking,"n the physical coming together of two or more things
n the act of contacting one thing with another
v deliver a sharp blow, as with the hand, fist, or weapon
v have an emotional or cognitive impact upon
v hit against; come into sudden contact with
v make a strategic, offensive, assault against an enemy, opponent, or a target
v indicate (a certain time) by striking
v affect or afflict suddenly, usually adversely
v stop work in order to press demands
v touch or seem as if touching visually or audibly
v attain
v produce by manipulating keys or strings of musical instruments, also metaphorically
v cause to form (an electric arc) between electrodes of an arc lamp
v find unexpectedly
v produce by ignition or a blow
v remove by erasing or crossing out or as if by drawing a line
v cause to experience suddenly
v drive something violently into a location
v occupy or take on
v form by stamping, punching, or printing
v smooth with a strickle
v pierce with force
v arrive at after reckoning, deliberating, and weighing
s sensational in appearance or thrilling in effect
s having a quality that thrusts itself into attention"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
cute,s. obviously contrived to charm
recommend,"v. push for something
v. make attractive or acceptable"
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
DJ,"n a person who announces and plays popular recorded music
v comment on music to be played"
hang on a second,none
catalogue,"v. make an itemized list or catalog of; classify
v. make a catalogue, compile a catalogue"
bits and pieces,none
childish,s. indicating a lack of maturity
