fabled,s. celebrated in fable or legend
serpent,"n. a firework that moves in serpentine manner when ignited
n. an obsolete bass cornet; resembles a snake"
inhabitant,n. a person who inhabits a particular place
tire,"n. hoop that covers a wheel
v. lose interest or become bored with something or somebody
v. exhaust or get tired through overuse or great strain or stress"
wad,n. a small mass of soft material
papier-mâché,none
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
peck,"n. a British imperial capacity measure (liquid or dry) equal to 2 gallons
n. a United States dry measure equal to 8 quarts or 537.605 cubic inches
v. hit lightly with a picking motion
v. eat by pecking at, like a bird"
joystick,n. a manual control consisting of a vertical handle that can move freely in two directions; used as an input device to computers or to devices controlled by computers
momentary,s lasting for a markedly brief time
hypnotic,"a. of or relating to hypnosis
s. attracting and holding interest as if by a spell"
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
sterile,"a. incapable of reproducing
s. deficient in originality or creativity; lacking powers of invention"
hesitant,s. lacking decisiveness of character; unable to act or decide quickly or firmly
pickup,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
stalk,"n. a slender or elongated structure that supports a plant or fungus or a plant part or plant organ
n. a hunt for game carried on by following it stealthily or waiting in ambush
n. the act of following prey stealthily
n. a stiff or threatening gait"
crystal,"n. a solid formed by the solidification of a chemical and having a highly regular atomic structure
n. a crystalline element used as a component in various electronic devices
n. a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces
n. glassware made of quartz"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
give-and-take,"n an exchange of views on some topic
n light teasing repartee
n mutual interaction; the activity of reciprocating or exchanging (especially information)"
vulnerability,"n. the state of being vulnerable or exposed
n. susceptibility to injury or attack"
one-liner,n. a one-line joke
zinger,n. a striking or amusing or caustic remark
caustic,"n. any chemical substance that burns or destroys living tissue
s. of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
put-down,n. a crushing remark
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
zap,"n. a sudden event that imparts energy or excitement, usually with a dramatic impact
v. strike suddenly and with force
v. kill with or as if with a burst of gunfire or electric current or as if by shooting"
intimidate,"v. make timid or fearful
v. to compel or deter by or as if by threats"
gadget,n a device or control that is very useful for a particular job
suck,"v. draw into the mouth by creating a practical vacuum in the mouth
v. draw something in by or as if by a vacuum
v. attract by using an inexorable force, inducement, etc.
v. be inadequate or objectionable"
tiptoe,"n. the tip of a toe
v. walk on one's toes
s. walking on the tips of ones's toes so as to make no noise
r. on tiptoe or as if on tiptoe"
all too,none
hideous,"s. grossly offensive to decency or morality; causing horror
s. so extremely ugly as to be terrifying"
psychotic,"n. a person afflicted with psychosis
s. characteristic of or suffering from psychosis"
carnage,n the savage and excessive killing of many people
maim,v. injure or wound seriously and leave permanent disfiguration or mutilation
immorality,n. the quality of not being in accord with standards of right or good conduct
provost,n. a high-ranking university administrator
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
reprehensible,s bringing or deserving severe rebuke or censure
consent,n. permission to do something
rig,"n. gear (including necessary machinery) for a particular enterprise
n. formation of masts, spars, sails, etc., on a vessel
v. arrange the outcome of by means of deceit
v. manipulate in a fraudulent manner"
enlightened,a. having knowledge and spiritual insight
seemingly,r from appearances alone
beneficent,"a. doing or producing good
s. generous in assistance to the poor"
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
prevalent,s most frequent or common
disk jockey,v comment on music to be played
blush,"n. sudden reddening of the face (as from embarrassment or guilt or shame or modesty)
v. turn red, as if in embarrassment or shame
v. become rosy or reddish"
wicked,a. morally bad in principle or practice
mores,n. (sociology) the conventions that embody the fundamental values of a group
revealing,"s. disclosing unintentionally
a. showing or making known"
abstraction,"n. a concept or idea not associated with any specific instance
n. the act of withdrawing or removing something
n. the process of formulating general concepts by abstracting common properties of instances
n. an abstract painting"
bribe,"n. payment made to a person in a position of trust to corrupt his judgment
v. make illegal payments to in exchange for favors or influence"
persona,n. (Jungian psychology) a personal facade that one presents to the world
decency,"n. the quality of conforming to standards of propriety and morality
n. the quality of being polite and respectable"
sociology,n. the study and classification of human societies
exclusive,"n. a news report that is reported first by one news organization
s. not divided or shared with others
a. excluding much or all; especially all but a particular group or minority"
reverse,"n. a relation of direct opposition
n. the gears by which the motion of a machine can be reversed
n. an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
n. the side of a coin or medal that does not bear the principal design"
dishonor,"n. a state of shame or disgrace
n. lacking honor or integrity
v. bring shame or dishonor upon"
whatnot,n miscellaneous curios
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
lamely,r. in a weak and unconvincing manner
enviously,r. with jealousy; in an envious manner
well-born,s. of good or upper-class lineage
Athenian,"n. a resident of Athens
a. of or relating to or characteristic of Athens or its inhabitants"
honorable,a. worthy of being honored; entitled to honor and respect
pedagogical,a. of or relating to pedagogy
disciple,n. someone who believes and helps to spread the doctrine of another
wary,a. marked by keen caution and watchful prudence
enchantment,"n. a psychological state induced by (or as if induced by) a magical incantation
n. a magical spell"
intellect,"n knowledge and intellectual ability
n the capacity for rational thought or inference or discrimination
n a person who uses the mind creatively"
principally,r for the most part
Christianity,n. a monotheistic system of beliefs and practices based on the Old Testament and the teachings of Jesus as embodied in the New Testament and emphasizing the role of Jesus as savior
alienate,v. make withdrawn or isolated or emotionally dissociated
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
prestige,n. a high standing achieved through success or influence or wealth etc.
demean,"v reduce in worth or character, usually verbally"
overtone,"n. (usually plural) an ulterior implicit meaning or quality
n. a harmonic with a frequency that is a multiple of the fundamental frequency"
Catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
Protestant,"n. an adherent of Protestantism
a. of or relating to Protestants or Protestantism
s. protesting"
vestige,n an indication that something has been present
pagan,n. a person who follows a polytheistic or pre-Christian religion (not a Christian or Muslim or Jew)
detriment,n. a damage or loss
throes,n. violent pangs of suffering
narcissism,n an exceptional interest in and admiration for yourself
immaturity,n. not having reached maturity
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
flatter,v. praise somewhat dishonestly
idealization,"n. a portrayal of something as ideal
n. (psychiatry) a defense mechanism that splits something you are ambivalent about into two representations--one good and one bad
n. something that exists only as an idea"
waistline,n the narrowing of the body between the ribs and hips
complexion,"n. the coloring of a person's face
n. a combination that results from coupling or interlinking
n. a point of view or general attitude or inclination
n. texture and appearance of the skin of the face"
submit,"v. refer for judgment or consideration
v. put before
v. yield to the control of another
v. yield to another's wish or opinion"
scrutiny,n. a prolonged intense look
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
wanting,"v feel or have a desire for; want strongly
v have need of
v hunt or look for; want for a particular reason
v wish or demand the presence of
v be without, lack; be deficient in
s nonexistent
s inadequate in amount or degree"
take in,n. the act of taking in as by fooling or cheating or swindling someone
dissect,v. cut open or cut apart
blemish,"n. a mark or flaw that spoils the appearance of something (especially on a person's body)
v. mar or impair with a flaw"
cluster,v. come together as in a cluster or flock
mole,"n. spicy sauce often containing chocolate
n. a small congenital pigmented spot on the skin
n. small velvety-furred burrowing mammal having small eyes and fossorial forefeet"
depreciation,"n. a decrease in price or value
n. decrease in value of an asset due to obsolescence or use"
lamentable,s bad; unfortunate
negate,v. prove negative; show to be false
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
censure,n. harsh criticism or disapproval
preen,"v. clean with one's bill
v. pride or congratulate (oneself) for an achievement
v. dress or groom with elaborate care"
interminable,s tiresomely long; seemingly without end
disparage,v. express a negative opinion of
adorable,s. lovable especially in a childlike or naive way
prop,n. a support placed beneath or against something to keep it from shaking or falling
mythology,"n. myths collectively; the body of stories associated with a culture or institution or person
n. the study of myths"
agonize,"v. cause to agonize
v. suffer agony or anguish"
sideburn,n. facial hair that has grown down the side of a man's face in front of the ears (especially when the rest of the beard is shaved off)
sartorial,"a. of or relating to the sartorius muscle
a. of or relating to a tailor or to tailoring"
variation,"n. an instance of change; the rate or magnitude of change
n. an activity that varies from a norm or standard
n. a repetition of a musical theme in which it is modified or embellished
n. an artifact that deviates from a norm or standard"
brace,"n. a support that steadies or strengthens something else
n. either of two punctuation marks ({ or }) used to enclose textual material
n. a rope on a square-rigged ship that is used to swing a yard about and secure it
n. elastic straps that hold trousers up (usually used in the plural)"
absorbing,s. capable of arousing and holding the attention
slacks,n. (usually in the plural) pants for casual wear
momentous,s. of very great significance
weave,"n. pattern of weaving or structure of a fabric
v. interlace by or as if by weaving
v. create a piece of cloth by interlacing strands of fabric, such as wool or cotton
v. to move or cause to move in a sinuous, spiral, or circular course"
shun,v. avoid and stay away from deliberately; stay clear of
oxford-cloth,none
mystify,v. make mysterious
ferocity,n. the property of being wild or turbulent
padding,n. artifact consisting of soft or resilient material used to fill or give shape or protect or add comfort
cuff,"n. the lap consisting of a turned-back hem encircling the end of the sleeve or leg
v. hit with the hand"
connote,v. involve as a necessary condition of consequence; as in logic
bonding,"n. a close personal relationship that forms between people (as between husband and wife or parent and child)
n. (dentistry) a technique for repairing a tooth; resinous material is applied to the surface of the tooth where it adheres to the tooth's enamel
n. fastening firmly together"
hindrance,"n. something immaterial that interferes with or delays action or progress
n. any obstruction that impedes or is burdensome
n. the act of hindering or obstructing or impeding"
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
accelerate,"v. move faster
v. cause to move faster"
disconcerting,s. causing an emotional disturbance
discomfiture,n. anxious embarrassment
conspicuous,a. obvious to the eye or mind
turtleneck,n. a sweater or jersey with a high close-fitting collar
bell-bottom,s (of trousers) having legs that flare at the bottom
comfy,a providing or experiencing physical well-being or relief (`comfy' is informal)
anonymity,n. the state of being anonymous
shackle,"n. a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)
n. a U-shaped bar; the open end can be passed through chain links and closed with a bar"
unliberated,none
plumage,n the light horny waterproof structure forming the external covering of birds
prerogative,n. a right reserved exclusively by a particular person or group (especially a hereditary or official right)
overriding,s. having superior power and influence
ruffled,"v stir up (water) so as to form ripples
v trouble or vex
v to walk with a lofty proud gait, often in an attempt to impress others
v discompose
v twitch or flutter
v mix so as to make a random order or arrangement
v erect or fluff up
v disturb the smoothness of
v pleat or gather into a ruffle
s shaken into waves or undulations as by wind
s having decorative ruffles or frills"
bifurcated,s. divided into or made up of two parts
gaudy,n. (Britain) a celebratory reunion feast or entertainment held a college
trimming,"n. the act of adding decoration
n. a decoration or adornment on a garment"
exemption,"n. immunity from an obligation or duty
n. a deduction allowed to a taxpayer because of his status (having certain dependents or being blind or being over 65 etc.)
n. an act exempting someone"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
incur,v. make oneself subject to; bring upon oneself; become liable to
renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
blatantly,r. in a blatant manner
dandy,n. a man who is much concerned with his dress and appearance
finery,n. elaborate or showy attire and accessories
covertly,r. in a covert manner
rule out,none
trinket,n cheap showy jewelry or ornament on clothing
catch on,none
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
combatant,"n. someone who fights (or is fighting)
s. engaging in or ready for combat"
duellum,none
bellum,none
pit,"n. a sizeable hole (usually in the ground)
n. a concavity in a surface (especially an anatomical depression)
n. an enclosure in which animals are made to fight
n. (commodity exchange) the part of the floor of a commodity exchange where trading in a particular commodity is carried on"
legion,"n. association of ex-servicemen
n. a large military unit"
Myrmidon,"n. a follower who carries out orders without question
n. (Greek mythology) a member of the warriors who followed Achilles on the expedition against Troy"
vale,n a long depression in the surface of the land that usually contains a river
woodyard,none
strew,"v. spread by scattering (""straw"" is archaic)
v. cover; be dispersed over"
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
internecine,"s. (of conflict) within a group or organization
s. characterized by bloodshed and carnage for both sides"
resolutely,r. showing firm determination or purpose
vice,n. a specific form of evildoing
tumbling,"n the gymnastic moves of an acrobat
v fall down, as if collapsing
v cause to topple or tumble by pushing
v roll over and over, back and forth
v fly around
v fall apart
v throw together in a confused mass
v understand, usually after some initial difficulty
v fall suddenly and sharply
v put clothes in a tumbling barrel, where they are whirled about in hot air, usually with the purpose of drying
v suffer a sudden downfall, overthrow, or defeat
v do gymnastics, roll and turn skillfully"
gnaw,v. bite or chew on with the teeth
feeler,"n one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste
n a tentative suggestion designed to elicit the reactions of others
n sensitivity similar to that of a receptor organ
n slender tactile process on the jaws of a fish"
dash,"n. distinctive and stylish elegance
n. a quick run
n. a footrace run at top speed
n. the longer of the two telegraphic signals used in Morse code"
divest,"v. deprive of status or authority
v. reduce or dispose of; cease to hold (an investment)"
member,"n. one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
n. anything that belongs to a set or class
n. an organization that is a member of another organization (especially a state that belongs to a group of nations)"
pertinacity,n persistent determination
bulldog,"n. a sturdy thickset short-haired breed with a large head and strong undershot lower jaw; developed originally in England for bull baiting
v. attack viciously and ferociously
v. throw a steer by seizing the horns and twisting the neck, as in a rodeo"
battle-cry,none
dispatch,"n. an official report (usually sent in haste)
n. the act of sending off something
n. the property of being prompt and efficient
n. killing a person or animal"
limb,"n. one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n. any of the main branches arising from the trunk or a bough of a tree
n. (astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
n. either of the two halves of a bow from handle to tip"
perchance,"r. through chance, ""To sleep, perchance to dream.."""
nourish,v. provide with nourishment
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
avenge,v take revenge for a perceived wrong
commence,"v take the first step or steps in carrying out an action
v set in motion, cause to start
v get off the ground"
foreleg,n. the forelimb of a quadruped
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
heroism,n. the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle)
carnage,n the savage and excessive killing of many people
hireling,n. a person who works only for money
windowsill,n. the sill of a window; the horizontal member at the bottom of the window frame
assiduously,r. with care and persistence
vitals,n a bodily organ that is essential for life
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
breastplate,n. armor plate that protects the chest; the front part of a cuirass
pierce,"n. 14th President of the United States (1804-1869)
v. cut or make a way through
v. move or affect (a person's emotions or bodily feelings) deeply or sharply
v. sound sharply or shrilly"
carbuncle,"n. deep-red cabochon garnet cut without facets
n. an infection larger than a boil and with several openings for discharge of pus"
ghastly,s. shockingly repellent; inspiring horror
trophy,"n. an award for success in war or hunting
n. something given as a token of victory"
saddle-bow,n handgrip formed by the raised front part of a saddle
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
harrow,"n. a cultivator that pulverizes or smooths the soil
v. draw a harrow over (land)"
circumstantial,s. fully detailed and specific about particulars
obstinacy,"n the trait of being difficult to handle or overcome
n resolute adherence to your own ideas or desires"
pontificate,"v. administer a pontifical office
v. talk in a dogmatic and pompous manner"
fidelity,"n. accuracy with which an electronic system reproduces the sound or image of its input signal
n. the quality of being faithful"
expulsion,n. the act of expelling or projecting or ejecting
brat,"n a very troublesome child
n a small pork sausage"
kit,"n. a case for containing a set of articles
n. gear consisting of a set of articles or tools for a specified purpose
n. young of any of various fur-bearing animals"
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
upgrade,"n. software that provides better performance than an earlier version did
n. a reservation that is improved
n. the property possessed by a slope or surface that rises
n. hardware that provides better performance than an earlier version did"
gratification,"n. state of being gratified or satisfied
n. the act or an instance of satisfying"
byword,n a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
pampered,v treat with excessive indulgence
recoil,"n. the backward jerk of a gun when it is fired
n. a movement back from an impact"
pushover,n. someone who is easily taken advantage of
parenting,v bring up
disservice,n. an act intended to help that turns out badly
disciplinarian,n someone who demands exact conformity to rules and forms
underage,s. dependent by virtue of youth
despot,n a cruel and oppressive dictator
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
tantrum,n a display of bad temper
lackey,n. a male servant (especially a footman)
livid,"s. (of a light) imparting a deathlike luminosity
s. furiously angry"
perverse,s. marked by a disposition to oppose and contradict
procreate,v have offspring or produce more individuals of a given animal or plant
empathize,v be understanding of
flipside,none
stroppy,s obstreperous
assuage,"v cause to be more favorably inclined; gain the good will of
v satisfy (thirst)
v provide physical relief, as from pain"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
disposable,"n. an item that can be disposed of after it has been used
a. free or available for use or disposition
a. designed to be disposed of after use"
outsource,v. obtain goods or services from an outside supplier; to contract work out
fallout,n. the radioactive particles that settle to the ground after a nuclear explosion
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
terminally,r. at the end
self-absorbed,s. absorbed in your own interests or thoughts etc
cashmere,"n. a soft fabric made from the wool of the Cashmere goat
n. the wool of the Kashmir goat"
whizzy,none
