admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
negotiation,"n. a discussion intended to produce an agreement
n. the activity or business of negotiating an agreement; coming to terms"
neighbor,"n. a person who lives (or is located) near another
n. a nearby object of the same kind
v. live or be located as a neighbor"
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
notice,"n. an announcement containing information about an event
n. the act of noticing or paying attention
n. advance notification (usually written) of the intention to withdraw from an arrangement of contract
n. polite or favorable attention"
novelist,n. one who writes novels
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
particularly,"r. to a distinctly greater extent or degree than is common
r. specifically or especially distinguished from others"
possibility,"n. a future prospect or potential
n. capability of existing or happening or being true
n. a possible alternative"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
publisher,"n. a firm in the publishing business
n. a person engaged in publishing periodicals or books or music
n. the proprietor of a newspaper"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
rush,"n. a sudden forceful flow
n. grasslike plants growing in wet places and having cylindrical often hollow stems
n. physician and American Revolutionary leader; signer of the Declaration of Independence (1745-1813)
n. a sudden burst of activity"
seize,"v. take hold of; grab
v. take or capture by force
v. hook by a pull on the line
v. affect"
side,"n. a place within a region identified relative to a center or reference location
n. one of two or more contesting groups
n. either the left or right half of a body
n. a surface forming part of the outside of an object"
stand,"n. the position where a thing or person stands
n. a growth of similar plants (usually trees) in a particular area
n. a small table for holding articles of various kinds
n. an interruption of normal activity"
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
suspect,"n. someone who is under suspicion
v. imagine to be the case or true or probable
v. hold in suspicion; believe to be guilty"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
terrible,"s causing fear or dread or terror
s exceptionally bad or displeasing
s intensely or extremely bad or unpleasant in degree or quality
s extreme in degree or extent or amount or impact"
transformation,"n. a qualitative change
n. (mathematics) a function that changes the position or direction of the axes of a coordinate system
n. a rule describing the conversion of one syntactic structure into another related syntactic structure"
transport,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes
v. move something or somebody around; usually over long distances
v. move while supporting, either in a vehicle or in one's hands or on one's body
v. transport commercially"
try,"v. make an effort or attempt
v. give pain or trouble to
v. test the limits of
v. melt (fat or lard) in order to separate out impurities"
upper,"n. piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot
s. the topmost one of two
s. higher in place or position
s. superior in rank or accomplishment"
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
impure,"a. combined with extraneous elements
a. (used of persons or behaviors) immoral or obscene"
jam,"n. preserve of crushed fruit
v. push down forcibly
v. crush or bruise
v. interfere with or prevent the reception of signals"
crumble,"v. fall apart
v. break or fall apart into fragments"
caption,"n. taking exception; especially a quibble based on a captious argument
n. brief description accompanying an illustration
v. provide with a caption, as of a photograph or a drawing"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
graph,"n. a visual representation of the relations between certain quantities plotted with reference to a set of axes
v. represent by means of a graph
v. plot upon a graph"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
demolish,"v. destroy completely
v. defeat soundly"
disinfect,v. destroy microorganisms or pathogens by cleansing
erroneous,s. containing or characterized by error
ideological,"a. of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation
s. concerned with or suggestive of ideas"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
layman,n. someone who is not a clergyman or a professional person
gorge,"n. a deep ravine (usually with a river running through it)
v. overeat or eat immodestly; make a pig of oneself"
gorgeous,s. dazzlingly beautiful
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
unpleasant,"a. disagreeable to the senses, to the mind, or feelings"
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
arouse,"v. call forth (emotions, feelings, and responses)
v. to begin moving, ""As the thunder started the sleeping children began to stir""
v. stimulate sexually"
arrest,n. the state of inactivity following an interruption
asset,n. a useful or valuable quality
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
assured,"s. marked by assurance; exhibiting confidence
s. characterized by certainty or security"
atomic,"a. of or relating to or comprising atoms
s. immeasurably small"
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
attentive,a. (often followed by `to') giving care or attention
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
barn,"n. an outlying farm building for storing grain or animal feed and housing farm animals
n. (physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter"
border,"n. a strip forming the outer edge of something
v. provide with a border or edge
v. lie adjacent to another or share a boundary"
coastal,"a. of or relating to a coast
a. located on or near or bordering on a coast"
coastline,n. the outline of a coast
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
considerable,a. large or relatively large in number or amount or extent or degree
contrast,"n. the opposition or dissimilarity of things that are compared
n. the act of distinguishing by comparing differences
n. the perceptual effect of the juxtaposition of very different colors
n. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
fertile,a. capable of reproducing
heroical,s having or displaying qualities appropriate for heroes
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
misfortune,"n. unnecessary and unforeseen trouble resulting from an unfortunate event
n. an unfortunate state resulting from unfavorable outcomes"
mistaken,"v identify incorrectly
v to make a mistake or be incorrect
s wrong in e.g. opinion or judgment
s arising from error"
radius,"n. the length of a line segment between the center and circumference of a circle or sphere
n. a straight line from the center to the perimeter of a circle (or from the center to the surface of a sphere)
n. a circular region whose area is indicated by the length of its radius
n. the outer and slightly shorter of the two bones of the human forearm"
resistance,"n. the action of opposing something that you disapprove or disagree with
n. any mechanical force that tends to retard or oppose motion
n. the military action of resisting the enemy's advance
n. the capacity of an organism to defend itself against harmful environmental agents"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
successive,s in regular succession without gaps
suck,"v. draw into the mouth by creating a practical vacuum in the mouth
v. draw something in by or as if by a vacuum
v. attract by using an inexorable force, inducement, etc.
v. be inadequate or objectionable"
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
sunburn,"n. redness of the skin caused by exposure to the rays of the sun
v. get a sunburn by overexposure to the sun"
sunlight,n. the rays of the sun
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
surgery,"n. the branch of medical science that treats disease or injury by operative procedures
n. a room where a doctor or dentist can be consulted"
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
tropical,"s. relating to or situated in or characteristic of the tropics (the region on either side of the equator)
a. of or relating to the tropics, or either tropic
s. characterized by or of the nature of a trope or tropes; changed from its literal sense
s. of weather or climate; hot and humid as in the tropics"
vary,"v. be subject to change in accordance with a variable
v. make something more diverse and varied"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
postpone,v. hold back to a later time
referee,"n. (sports) the chief official (as in boxing or American football) who is expected to ensure fair play
n. an attorney appointed by a court to investigate and report on a case
v. be a referee or umpire in a sports competition
v. evaluate professionally a colleague's work"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
implore,v call upon in supplication; entreat
rely,v have confidence or faith in
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
suspense,"n. apprehension about what is going to happen
n. an uncertain cognitive state
n. excited anticipation of an approaching climax"
delete,v. remove or make invisible
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
solidarity,n. a union of interests or purposes or sympathies among members of a group
prophesy,"v. predict or reveal through, or as if through, divine inspiration"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
sober,"v. cause to become sober
a. not affected by a chemical substance (especially alcohol)"
contradiction,"n. opposition between two conflicting forces or ideas
n. (logic) a statement that is necessarily false
n. the speech act of contradicting someone"
aerial,a. existing or living or growing or operating in the air
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
assembly,"n. a group of machine parts that fit together to form a self-contained unit
n. a group of persons who are gathered together for a common purpose
n. a unit consisting of components that have been fitted together
n. the social act of assembling"
aviation,"n. the aggregation of a country's military aircraft
n. the operation of aircraft to provide transportation
n. the art of operating aircraft"
committed,"a. bound or obligated, as under a pledge to a particular cause, action, or attitude"
competitive,"a. involving competition or competitiveness
s. subscribing to capitalistic competition
s. showing a fighting disposition"
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
convenience,"n. the state of being suitable or opportune
n. the quality of being useful and convenient"
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
countless,s. too numerous to be counted
creature,"n. a human being; `wight' is an archaic term
n. a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
cruise,"n. an ocean trip taken for pleasure
v. drive around aimlessly but ostentatiously and at leisure
v. travel at a moderate speed
v. look for a sexual partner in a public place"
cultivate,"v. foster the growth of
v. prepare for crops"
disappearance,"n. the act of leaving secretly or without explanation
n. the event of passing out of sight
n. ceasing to exist"
elegance,"n. a refined quality of gracefulness and good taste
n. a quality of neatness and ingenious simplicity in the solution of a problem (especially in science or mathematics)"
emphasis,"n. special importance or significance
n. special and significant stress by means of position or repetition e.g."
forefront,n. the part in the front or nearest the viewer
freshly,"r very recently
r in an impudent or impertinent manner"
graceful,"a. characterized by beauty of movement, style, form, or execution"
individuality,n. the quality of being individual
install,"v. set up for use
v. put into an office or a position
v. place"
likelihood,n. the probability of a specified outcome
lunchroom,n. a restaurant (in a facility) where lunch can be purchased
orient,"v. be oriented
v. determine one's position with reference to another point
v. cause to point
v. familiarize (someone) with new surroundings or circumstances"
payload,"n the front part of a guided missile or rocket or torpedo that carries the nuclear or explosive charge or the chemical or biological agents
n goods carried by a large vehicle"
popularity,n. the quality of being widely admired or accepted or sought after
preferable,s. more desirable than another
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
recreational,a. of or relating to recreation
reward,"n. payment made in return for a service rendered
n. an act performed to strengthen approved behavior
n. the offer of money for helping to find a criminal or for returning lost property
v. act or give recompense in recognition of someone's behavior or actions"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
spite,"n feeling a need to see others suffer
n malevolence by virtue of being malicious or spiteful or nasty
v hurt the feelings of"
stroll,v. walk leisurely and with no apparent aim
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
surrender,"n. the delivery of a principal into lawful custody
v. give up or agree to forgo to the power or possession of another
v. relinquish possession or control over"
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
sustain,"v. supply with necessities and support
v. admit as valid"
sympathize,"v. share the feelings of; understand the sentiments of
v. be understanding of"
synthetic,"n. a compound made artificially by chemical reactions
a. involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
a. systematic combining of root and modifying elements into single words
a. of a proposition whose truth value is determined by observation or facts"
taker,"n. one who accepts an offer
n. one who takes a bet or wager"
tap,"n. a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
n. a tool for cutting female (internal) screw threads
n. a plug for a bunghole in a cask
n. a light touch or stroke"
technological,s. based in scientific and industrial progress
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
thrifty,a. careful and diligent in the use of resources
tight,"a. closely constrained or constricted or constricting
s. set so close together as to be invulnerable to penetration
s. affected by scarcity and expensive to borrow
a. of such close construction as to be impermeable"
traditional,"a. consisting of or derived from tradition
s. pertaining to time-honored orthodox doctrines"
triumph,n. the exultation of victory
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
collision,"n. (physics) a brief event in which two or more bodies come together
n. an accident resulting from violent impact of a moving object
n. a conflict of opposed ideas or attitudes or goals"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
sluggish,s. moving slowly
denote,"v. be a sign or indication of
v. have as a meaning"
unwilling,"a. not disposed or inclined toward
s. in spite of contrary volition"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
obstinate,v. persist stubbornly
subsidiary,"n an assistant subject to the authority or control of another
n a company that is completely controlled by another company
s functioning in a supporting capacity"
stubborn,a. tenaciously unwilling or marked by tenacious unwillingness to yield
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
exhaust,"n. gases ejected from an engine as waste products
n. system consisting of the parts of an engine through which burned gases or steam are discharged
v. wear out completely
v. use up the whole supply of"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
greedy,s. wanting to eat or drink more than one can reasonably consume
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
ferocious,s. marked by extreme and violent energy
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
assortment,n. a collection containing a variety of sorts of things
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
bathe,"n. the act of swimming
v. cleanse the entire body
v. suffuse with or as if with light
v. clean one's body by immersion into water"
behalf,"n. as the agent of or on someone's part (usually expressed as ""on behalf of"" rather than ""in behalf of""); 
n. for someone's benefit (usually expressed as `in behalf' rather than `on behalf' and usually with a possessive)"
bellyache,"n an ache localized in the stomach or abdominal region
v complain"
bestow,v. give as a gift
bibliography,n. a list of writings with time and place of publication (such as the writings of a single author or the works referred to in preparing a document etc.)
