bewail,v regret strongly
paraphernalia,n equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
punctilious,s marked by precise accordance with details
recuperate,"v. restore to good health or strength
v. get over an illness or shock"
regale,v. provide with choice or abundant food or drink
sedentary,s. requiring sitting or little activity
Spartan,"n. a resident of Sparta
a. of or relating to or characteristic of Sparta or its people
s. resolute in the face of pain or danger or adversity"
temporal,"s. not eternal
a. of or relating to or limited by time
a. of or relating to the temples (the sides of the skull behind the orbit)
s. of this earth or world"
wry,s. bent to one side
callow,s young and inexperienced
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
despot,n a cruel and oppressive dictator
enunciate,"v speak, pronounce, or utter in a certain way
v express or state clearly"
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
impoverish,v. make poor
indolent,"s. (of tumors, e.g.) slow to heal or develop and usually painless"
sagacious,s. skillful in statecraft or management
secular,"a. of or relating to the doctrine that rejects religion and religious considerations
a. of or relating to clergy not bound by monastic vows"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
strife,n. bitter conflict; heated often violent dissension
venerate,v regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of
voracious,"s excessively greedy and grasping
s devouring or craving food in great quantities"
wane,"v. become smaller
v. decrease in phase"
apropos,a. of an appropriate or pertinent nature
ascendancy,n the state that exists when one person or group has power over another
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
aver,"v report or maintain
v to declare or affirm solemnly and formally as true"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
deficient,"s. inadequate in amount or degree
s. falling short of some prescribed norm"
dogma,"n. a religious doctrine that is proclaimed as true without proof
n. a doctrine or code of beliefs accepted as authoritative"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
oratory,n. addressing an audience formally (usually a long and rhetorical address and often pompous)
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
proponent,n a person who pleads for a cause or propounds an idea
rudimentary,s. being in the earliest stages of development
sojourn,"n. a temporary stay (e.g., as a guest)
v. spend a certain length of time; reside temporarily"
vociferous,s conspicuously and offensively loud; given to vehement outcry
amorous,"s inclined toward or displaying love
s expressive of or exciting sexual love or romance"
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
censure,n. harsh criticism or disapproval
deem,v. keep in mind or convey as a conviction or view
divulge,v make known to the public information that was previously known only to a few people or that was meant to be kept a secret
exorbitant,s. greatly exceeding bounds of reason or moderation
expostulate,v. reason with (somebody) for the purpose of dissuasion
fateful,"s. having momentous consequences; of decisive importance
s. ominously prophetic"
ingrate,n. a person who shows no gratitude
injunction,"n. a formal command or admonition
n. (law) a judicial remedy issued in order to prohibit a party from doing or continuing to do a certain activity"
moribund,s. being on the point of death; breathing your last
motif,"n. a design or figure that consists of recurring shapes or colors, as in architecture or decoration
n. a theme that is repeated or elaborated in a piece of music"
subsidize,"v. support through subsidies
v. secure the assistance of by granting a subsidy, as of nations or military forces"
sumptuous,s rich and superior in quality
voluble,a. marked by a ready flow of speech
adroit,a. quick or skillful or adept in action or thought
affront,"n a deliberately offensive act or something producing the effect of deliberate disrespect
v treat, mention, or speak to rudely"
avocation,n. an auxiliary activity
crusade,"n. any of the more or less continuous military expeditions in the 11th to 13th centuries when Christian powers of Europe tried to recapture the Holy Land from the Muslims
v. exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for
v. go on a crusade; fight a holy war"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
demeanor,n. (behavioral attributes) the way a person behaves toward other people
erudite,s. having or showing profound knowledge
induct,"v. place ceremoniously or formally in an office or position
v. admit as a member
v. introduce or initiate"
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
pariah,n a person who is rejected (from society or home)
prodigy,"n. an unusually gifted or intelligent (young) person; someone whose talents excite wonder and admiration
n. an impressive or wonderful example of a particular quality"
protégé,none
raucous,"s. unpleasantly loud and harsh
s. disturbing the public peace; loud and rough"
tacit,s implied by or inferred from actions or statements
allure,n. the power to entice or attract through personal charm
antiquity,"n. the historic period preceding the Middle Ages in Europe
n. an artifact surviving from the past"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
cleave,"v. separate or cut with a tool, such as a sharp instrument
v. make by cutting into"
depreciate,"v. lower the value of something
v. lose in value"
facet,n. a smooth surface (as of a bone or cut gemstone)
facsimile,"n. an exact copy or reproduction
n. duplicator that transmits the copy by wire or radio"
impervious,a. not admitting of passage or capable of being affected
nondescript,n. a person is not easily classified and not very interesting
quandary,"n a situation from which extrication is difficult especially an unpleasant or trying one
n state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options"
repose,"n. a disposition free from stress or emotion
v. put or confide something in a person or thing
v. lie when dead"
scintillate,"v. give off
v. physics: fluoresce momentarily when struck by a charged particle or high-energy photon"
scrutinize,"v to look at critically or searchingly, or in minute detail
v examine carefully for accuracy with the intent of verification"
synthetic,"n. a compound made artificially by chemical reactions
a. involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
a. systematic combining of root and modifying elements into single words
a. of a proposition whose truth value is determined by observation or facts"
transmute,v. alter the nature of (elements)
amputate,v. remove surgically
aptitude,n. inherent ability
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
boon,s. very close and convivial
commiserate,v. to feel or express sympathy or compassion
garner,v. store grain
gratis,r. without payment
incapacitate,"v make unable to perform a certain action
v injure permanently"
inception,n an event that is a beginning; a first part or stage of subsequent events
magnanimous,"s noble and generous in spirit
s generous and understanding and tolerant"
myriad,n. a large indefinite number
practicable,"s usable for a specific purpose
s capable of being done with means at hand and circumstances as they are"
remunerate,v make payment to; compensate
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
trite,s repeated too often; overfamiliar through overuse
amenity,n pleasantness resulting from agreeable conditions
averse,s (usually followed by `to') strongly opposed
complacent,s. contented to a fault with oneself or one's actions
decompose,"v. separate (substances) into constituent elements or parts
v. break down"
defray,v. bear the expenses of
emanate,"v. proceed or issue forth, as from a source"
envisage,v form a mental image of something that is not present or that is not the case
facetious,s cleverly amusing in tone
fallacy,n. a misconception resulting from incorrect reasoning
furor,n. a sudden outburst (as of protest)
idyll,n. an episode of such pastoral or romantic charm as to qualify as the subject of a poetic idyll
paucity,n an insufficient quantity or number
porous,"s. able to absorb fluids
a. full of pores or vessels or holes"
supersede,v take the place or move into the position of
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
empathize,v be understanding of
faculty,n. one of the inherent cognitive or perceptual powers of the mind
harrowing,"v draw a harrow over (land)
s extremely painful"
impair,v. make worse or less effective
infer,"v reason by deduction; establish by deduction
v draw from specific cases for more general cases
v conclude by reasoning; in logic
v guess correctly; solve by guessing
v believe to be the case"
intuition,"n. instinctive knowing (without the use of rational processes)
n. an impression that something might be the case"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
nuance,n. a subtle difference in meaning or opinion or attitude
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
solace,n. comfort in disappointment or misery
treatise,n. a formal exposition
vogue,"n. the popular taste at a given time
n. a current state of general acceptance and use"
blandishment,"n. flattery intended to persuade
n. the act of urging by means of teasing or flattery"
deprecate,"v. express strong disapproval of; deplore
v. belittle"
discomfit,v cause to lose one's composure
meteoric,"a. pertaining to or consisting of meteors or meteoroids
s. like a meteor in speed or brilliance or transience"
overbearing,"v overcome
v bear too much
v contract the abdominal muscles during childbirth to ease delivery
s expecting unquestioning obedience
s having or showing arrogant superiority to and disdain of those one views as unworthy"
precocious,"a. characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude)
s. appearing or developing early"
proffer,"n a proposal offered for acceptance or rejection
v present for acceptance or rejection"
remonstrate,"v. argue in protest or opposition
v. present and urge reasons in opposition"
rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
solicitous,"s. full of anxiety and concern
s. showing hovering attentiveness"
succinct,s briefly giving the gist of something
sylvan,"n. a spirit that lives in or frequents the woods
s. relating to or characteristic of wooded regions"
trepidation,n. a feeling of alarm or dread
untoward,"s not in keeping with accepted standards of what is right or proper in polite society
s contrary to your interests or welfare"
virtuoso,n. a musician who is a consummate master of technique and artistry
amass,"v collect or gather
v get or gather together"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
dexterous,s skillful in physical movements; especially of the hands
garb,"n clothing of a distinctive style or for a particular occasion
v provide with clothes or put clothes on"
gregarious,"a. (of animals) tending to form a group with others of the same species
s. instinctively or temperamentally seeking and enjoying the company of others
a. (of plants) growing in groups that are close together"
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
maternal,"a. characteristic of a mother
a. relating to or derived from one's mother"
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
obtrusive,"a. undesirably noticeable
s. sticking out; protruding"
parody,"n. a composition that imitates or misrepresents somebody's style, usually in a humorous way
n. humorous or satirical mimicry
v. make a spoof of or make fun of"
pugnacious,s. ready and able to resort to force or violence
reprehensible,s bringing or deserving severe rebuke or censure
tractable,a. easily managed (controlled or taught or molded)
zany,n. a buffoon in one of the old comedies; imitates others for ludicrous effect
accentuate,"v to stress, single out as important
v put stress on; utter with an accent"
aficionado,"n. a fan of bull fighting
n. a serious devotee of some particular music genre or musical performer"
antecedent,"n. a preceding occurrence or cause or event
n. anything that precedes something similar in time
n. the referent of an anaphor; a phrase or clause that is referred to by an anaphoric pronoun"
centrifugal,"a. tending to move away from a center
s. tending away from centralization, as of authority
s. conveying information to the muscles from the CNS"
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
decapitate,v. cut the head of
disingenuous,a. not straightforward or candid; giving a false appearance of frankness
indubitable,s too obvious to be doubted
jaded,"s. exhausted
s. dulled by surfeit"
masochistic,a. deriving pleasure or sexual gratification from being abused or dominated
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
obsolescent,s. becoming obsolete
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
viscera,n. internal organs collectively (especially those in the abdominal cavity)
volition,"n. the capability of conscious choice and decision and intention
n. the act of making a choice"
belated,s. after the expected or usual time; delayed
caliber,"n a degree or grade of excellence or worth
n diameter of a tube or gun barrel"
chagrin,n. strong feelings of embarrassment
contravene,"v go against, as of rules and laws
v deny the truth of"
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
doldrums,n. a belt of calms and light winds between the northern and southern trade winds of the Atlantic and Pacific
emblazon,v. decorate with heraldic arms
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
expend,"v use up, consume fully
v pay out"
expire,"v lose validity
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v expel air"
exponent,"n. someone who expounds and interprets or explains
n. a mathematical notation indicating the number of times a quantity is multiplied by itself"
novice,n. someone new to a field or activity
spry,s moving quickly and lightly
tenuous,"s. having thin consistency
s. very thin in gauge or diameter"
truism,n. an obvious truth
blight,"n. a state or condition being blighted
n. any plant disease resulting in withering without rotting
v. cause to suffer a blight"
cite,"n a short note recognizing a source of information or of a quoted passage
v make reference to
v commend
v refer to
v repeat a passage from
v refer to for illustration or proof
v advance evidence for
v call in an official matter, such as to attend court"
clemency,n. leniency and compassion shown toward offenders by a person or agency charged with administering justice
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
foray,"n. a sudden short attack
n. an initial attempt (especially outside your usual areas of competence)
v. briefly enter enemy territory"
glean,"v gather, as of natural products"
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
ostracize,v. avoid speaking to or dealing with
posthumous,s. occurring or coming into existence after a person's death
quash,"v put down by force or intimidation
v declare invalid"
recipient,n. a person who receives something
ribald,n. a ribald person; someone who uses vulgar and offensive language
suffrage,n a legal right guaranteed by the 15th amendment to the US Constitution; guaranteed to women by the 19th amendment
verve,n an energetic style
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
aplomb,n. great coolness and composure under strain
brandish,"v. move or swing back and forth
v. exhibit aggressively"
broach,v. bring up a topic for discussion
devotee,n an ardent follower and admirer
diffident,"s. showing modest reserve
a. lacking self-confidence"
extravaganza,n. any lavishly staged or spectacular entertainment
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
plaintive,s expressing sorrow
plaudit,n enthusiastic approval
regalia,n. paraphernalia indicative of royalty (or other high office)
resplendent,s having great beauty and splendor
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
surmount,v. be on top of
tenable,s. based on sound reasoning or evidence
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
collusion,n. secret agreement
incinerate,v. become reduced to ashes
indict,v. accuse formally of a crime
judicial,"s. decreed by or proceeding from a court of justice
a. belonging or appropriate to the office of a judge
a. relating to the administration of justice or the function of a judge"
martyr,"n. one who suffers for the sake of principle
n. one who voluntarily suffers death as the penalty for refusing to renounce their religion
v. kill as a martyr
v. torture and torment like a martyr"
multitude,"n. a large gathering of people
n. the common people generally"
rescind,v cancel officially
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
scion,n. a descendent or heir
sordid,s. meanly avaricious and mercenary
suave,"s having a sophisticated charm
s smoothly agreeable and courteous with a degree of sophistication"
travesty,v. make a travesty of
vindicate,"v. maintain, uphold, or defend
v. clear of accusation, blame, suspicion, or doubt with supporting proof"
vitriolic,"s harsh or corrosive in tone
s of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
bogus,s. fraudulent; having a misleading appearance
demise,v. transfer by a lease or by a will
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
enshrine,"v. enclose in a shrine
v. hold sacred"
evince,v give expression to
irrevocable,a. incapable of being retracted or revoked
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
memorabilia,n. a record of things worth remembering
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
patronize,"v. do one's shopping at; do business with; be a customer or client of
v. treat condescendingly
v. be a regular customer or client of"
querulous,s habitually complaining
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
refute,"v. overthrow by argument, evidence, or proof
v. prove to be false or incorrect"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
tome,n. a (usually) large and scholarly book
