abroad,"s. in a foreign country
r. to or in a foreign country"
occupy,"v. live (in a certain place)
v. occupy the whole of"
old-fashioned,s out of fashion
oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
ordinary,"n. a judge of a probate court
n. the expected or commonplace condition or situation
n. a clergyman appointed to prepare condemned prisoners for death
n. an early bicycle with a very large front wheel and small back wheel"
output,"n. production of a certain amount
n. the quantity of something (as a commodity) that is created (usually within a given period of time)
n. what is produced in a given time period
v. to create or manufacture a specific amount"
overall,"n. (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
n. a loose protective coverall or smock worn over ordinary clothing for dirty work
s. involving only main features
s. including everything"
pan,"n. cooking utensil consisting of a wide metal vessel
n. (Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat's legs and horns and ears; identified with Roman Sylvanus or Faunus
n. shallow container made of metal
n. chimpanzees; more closely related to Australopithecus than to other pongids"
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
persist,v. stay behind
pipe,"n. a tube with a small bowl at one end; used for smoking tobacco
n. a long tube made of metal or plastic that is used to carry water or oil or gas etc.
n. a hollow cylindrical shape
n. a tubular wind instrument"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
pleasure,"n. a fundamental feeling that is hard to define but that people desire to experience
n. a formal expression
n. an activity that affords enjoyment
n. sexual gratification"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
pretend,v. put forward a claim and assert right or possession of
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
proper,"a. marked by suitability or rightness or appropriateness
s. having all the qualities typical of the thing specified; not just a snack""
s. limited to the thing specified
s. appropriate for a condition or purpose or occasion or a person's character, needs"
protect,"v. shield from danger, injury, destruction, or damage
v. use tariffs to favor domestic industry"
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
pump,"n. a mechanical device that moves fluid or gas by pressure or suction
n. a low-cut shoe without fastenings
v. operate like a pump; move up and down, like a handle or a pedal
v. deliver forth"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
reality,"n. the state of being actual or real
n. the state of the world as it really is rather than as you might want it to be
n. the quality possessed by something that is real"
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
relation,"n. an abstraction belonging to or characteristic of two entities or parts together
n. an act of narration
n. (usually plural) mutual dealings or connections among persons or groups"
rely,v have confidence or faith in
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
seafood,n. edible fish (broadly including freshwater fish) or shellfish or roe etc
second-hand,"s. derived from what is primary or original; not firsthand
s. previously used or owned by another
r. by indirect means"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
shock,"n. the violent interaction of individuals or groups entering into combat
n. (pathology) bodily collapse or near collapse caused by inadequate oxygen delivery to the cells; characterized by reduced cardiac output and rapid heartbeat and circulatory insufficiency and pallor
n. an instance of agitation of the earth's crust
n. an unpleasant or disappointing surprise"
sight,"n. an instance of visual perception
n. anything that is seen
n. the ability to see; the visual faculty
n. a range of mental vision"
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
smooth,"n. the act of smoothing
v. make smooth or smoother, as if by rubbing
v. free from obstructions
a. having a surface free from roughness or bumps or ridges or irregularities"
social,"a. relating to human society and its members
a. living together or enjoying life in communities or organized groups
a. relating to or belonging to or characteristic of high society
s. composed of sociable people or formed for the purpose of sociability"
source,"n. a document (or organization) from which information is obtained
n. anything that provides inspiration for later work
n. a facility where something is available
n. (technology) a process by which energy or a substance enters a system"
space,"n. the unlimited expanse in which everything is located
n. an empty area (usually bounded in some way between things)
n. an area reserved for some particular purpose
n. a blank character used to separate successive words in writing or printing"
spirit,"n. the vital principle or animating force within living things
n. the general atmosphere of a place or situation and the effect that it has on people
n. a fundamental emotional and activating principle determining one's character
n. any incorporeal supernatural being that can become visible (or audible) to human beings"
splendid,"s having great beauty and splendor
s very good; of the highest quality
s characterized by grandeur"
spread,"n. process or result of distributing or extending over a wide expanse of space
n. a tasty mixture to be spread on bread or crackers or used in preparing other dishes
n. two facing pages of a book or other publication
n. the expansion of a person's girth (especially at middle age)"
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
standard,"n. a basis for comparison; a reference point against which other things can be evaluated
n. a board measure = 1980 board feet
n. the value behind the money in a monetary system
n. an upright pole or beam (especially one used as a support)"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
stick,"n. an implement consisting of a length of wood
n. a small thin branch of a tree
n. a lever used by a pilot to control the ailerons and elevators of an airplane
n. a rectangular quarter pound block of butter or margarine"
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
store,"n. a supply of something available for future use
v. keep or lay aside for future use
v. find a place for and put away for storage"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
succeed,"v. attain success or reach a desired goal
v. be the successor (of)"
swell,"n. the undulating movement of the surface of the open sea
n. a rounded elevation (especially one on an ocean floor)
n. a crescendo followed by a decrescendo
v. increase in size, magnitude, number, or intensity"
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
taste,"n. the sensation that results when taste buds in the tongue and throat convey information about the chemical composition of a soluble stimulus
n. delicate discrimination (especially of aesthetic values)
n. a brief experience of something
n. a small amount eaten or drunk"
tear,"n. a drop of the clear salty saline solution secreted by the lacrimal glands
n. the act of tearing
v. separate or cause to separate abruptly
v. to separate or be separated by force"
temperature,"n. the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)
n. the somatic sensation of cold or heat"
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
thirsty,"s. needing moisture
a. feeling a need or desire to drink
s. able to take in large quantities of moisture"
thorough,s. painstakingly careful and accurate
thought,n. the organized beliefs of a period or group or individual
thread,"n. a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
v. pass a thread through
v. remove facial hair by tying a fine string around it and pulling at the string
v. pass through or into"
timely,"s. before a time limit expires
s. done or happening at the appropriate or proper time"
tongue,"n. a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
n. any long thin projection that is transient
n. a manner of speaking
n. the tongue of certain animals used as meat"
toss,"n. an abrupt movement
v. agitate"
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
translate,"v. restate (words) from one language into another language
v. change from one form or medium into another
v. bring to a certain spiritual state
v. change the position of (figures or bodies) in space without rotation"
trap,"n. a device in which something (usually an animal) can be caught and penned
n. drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas
n. something (often something deceptively attractive) that catches you unawares
n. a device to hurl clay pigeons into the air for trapshooters"
tutorial,"n. a session of intensive tuition given by a tutor to an individual or to a small number of students
a. of or relating to tutors or tutoring"
unit,"n. an individual or group or structure or other entity regarded as a structural or functional constituent of a whole
n. an organization regarded as part of a larger social group
n. a single undivided whole
n. a single undivided natural thing occurring in the composition of something else"
unusual,"a. not usual or common or ordinary
s. not commonly encountered"
upper,"n. piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot
s. the topmost one of two
s. higher in place or position
s. superior in rank or accomplishment"
urban,"a. relating to or concerned with a city or densely populated area
a. located in or characteristic of a city or city life"
vary,"v. be subject to change in accordance with a variable
v. make something more diverse and varied"
vast,s unusually great in size or amount or degree or especially extent or scope
view,"n. the visual percept of a region
n. the act of looking or seeing or observing
n. the range of the eye
n. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'"
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
vitamin,n. any of a group of organic substances essential in small quantities to normal metabolism
whatever,s one or some or every or all without specification
widespread,s. widely circulated or diffused
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
workshop,"n. small workplace where handcrafts or manufacturing are done
n. a brief intensive course for a small group; emphasizes problem solving"
youth,"n. the time of life between childhood and maturity
n. early maturity; the state of being young or immature or inexperienced
n. an early period of development
n. the freshness and vitality characteristic of a young person"
zero,"n. a mathematical element that when added to another number yields the same number
n. the point on a scale from which positive or negative numerical quantities can be measured
n. the sight setting that will cause a projectile to hit the center of the target with no wind blowing
v. adjust (an instrument or device) to zero value"
adversary,n. someone who offers opposition
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
aggravate,"v make worse
v exasperate or irritate"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
alter,"v. make an alteration to
v. remove the ovaries of"
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
aspire,v have an ambitious plan or a lofty goal
assessment,"n. an amount determined as payable
n. the market value set on assets"
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
aural,"a. of or pertaining to hearing or the ear
a. relating to or characterized by an aura"
baggage,"n. cases used to carry belongings when traveling
n. a worthless or immoral woman
n. the portable equipment and supplies of an army"
balanced,a. being in a state of proper equilibrium
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
blast,"n. a very long fly ball
n. an explosion (as of dynamite)
v. make a strident sound
v. use explosives on"
blaze,"n. a strong flame that burns brightly
n. a light-colored marking
v. shine brightly and intensively
v. burn brightly and intensely"
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
blossom,v. develop or come to a promising stage
blur,"n. a hazy or indistinct representation
v. to make less distinct or clear
v. make dim or indistinct
v. become vague or indistinct"
bonus,"n. anything that tends to arouse
n. an additional payment (or other remuneration) to employees as a means of increasing output"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
bother,"v. intrude or enter uninvited
v. make nervous or agitated
v. make confused or perplexed or puzzled"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
calibre,"n a degree or grade of excellence or worth
n diameter of a tube or gun barrel"
canal,"n. (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
n. long and narrow strip of water made for boats or for irrigation
v. provide (a city) with a canal"
cane,"n. a stick that people can lean on to help them walk
n. a strong slender often flexible stem as of bamboos, reeds, rattans, or sugar cane
n. a stiff switch used to hit students as punishment
v. beat with a cane"
canvas,"n. a heavy, closely woven fabric (used for clothing or chairs or sails or tents)
n. an oil painting on canvas fabric
n. the setting for a narrative or fictional or dramatic account
n. the mat that forms the floor of the ring in which boxers or professional wrestlers compete"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
ceiling,"n. the overhead upper surface of a covered space
n. (meteorology) altitude of the lowest layer of clouds
n. an upper limit on what is allowed
n. maximum altitude at which a plane can fly (under specified conditions)"
celebrated,"s. widely known and esteemed
s. having an illustrious past"
census,"n. a periodic count of the population
v. conduct a census"
centigrade,a. of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
certainty,"n. the state of being certain
n. something that is certain"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
certification,n. the act of certifying or bestowing a franchise on
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
champagne,"n. a white sparkling wine either produced in Champagne or resembling that produced there
n. a region of northeastern France"
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
chancellor,"n. the person who is head of state (in several countries)
n. the honorary or titular head of a university"
chaos,"n. a state of extreme confusion and disorder
n. the formless and disordered state of matter before the creation of the cosmos
n. (Greek mythology) the most ancient of gods; the personification of the infinity of space preceding creation of the universe
n. (physics) a dynamical system that is extremely sensitive to its initial conditions"
convene,v. meet formally
decisive,"a. determining or having the power to determine an outcome
s. unmistakable
a. characterized by decision and firmness"
defer,"v hold back to a later time
v yield to another's wish or opinion"
defiance,"n. intentionally contemptuous behavior or attitude
n. a hostile challenge
n. a defiant act"
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
delete,v. remove or make invisible
deliberate,s. carefully thought out in advance
delicious,n. variety of sweet eating apples
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
description,"n. a statement that represents something in words
n. the act of describing something
n. sort or variety"
desire,"n. the feeling that accompanies an unsatisfied state
n. an inclination to want things
n. something that is desired
v. feel or have a desire for; want strongly"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
efficient,a. being effective without wasting time or effort or expense
effluent,"n. water mixed with waste matter
s. that is flowing outward"
elective,"a. subject to popular election
s. not compulsory"
electric,"n. a car that is powered by electricity
a. using or providing or producing or transmitting or operated by electricity
s. (of a situation) exceptionally tense
s. affected by emotion as if by electricity; thrilling"
elementary,"s. easy and not involved or complicated
a. of or pertaining to or characteristic of elementary school or elementary education
s. of or being the essential or basic part"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
eloquent,"s. expressing yourself readily, clearly, effectively"
embarrassment,"n. the shame you feel when your inadequacy or guilt is made public
n. the state of being embarrassed (usually by some financial inadequacy)
n. some event that causes someone to be embarrassed"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
existence,"n the state or fact of existing
n everything that exists anywhere"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
fantasy,"n. imagination unrestricted by reality
n. fiction with a large amount of imagination in it
v. indulge in fantasies"
farewell,"n. an acknowledgment or expression of goodwill at parting
n. the act of departing politely"
federation,"n. an organization formed by merging several groups or parties
n. the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
feminine,"n. a gender that refers chiefly (but not exclusively) to females or to objects classified as female
a. associated with women and not with men
a. of grammatical gender
s. (music or poetry) ending on an unaccented beat or syllable"
feminism,n. a doctrine that advocates equal rights for women
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
fertile,a. capable of reproducing
forestry,n. the science of planting and caring for forests and the management of growing timber
genetic,"a. pertaining to or referring to origin
a. of or relating to the science of genetics"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
gorgeous,s. dazzlingly beautiful
grab,"n. a mechanical device for gripping an object
v. make a grasping or snatching motion with the hand
v. obtain illegally or unscrupulously
v. take or grasp suddenly"
guilty,"a. responsible for or chargeable with a reprehensible act
s. showing a sense of guilt"
halt,v. cause to stop
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
handicapped,"n people collectively who are crippled or otherwise physically handicapped
v injure permanently
v attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant
v put at a disadvantage
s incapable of functioning as a consequence of injury or illness"
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
hideous,"s. grossly offensive to decency or morality; causing horror
s. so extremely ugly as to be terrifying"
hotspot,"n a place of political unrest and potential violence
n a point of relatively intense heat or radiation
n a lively entertainment spot"
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
illegal,a. prohibited by law or by official or accepted rules
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
impartial,a. showing lack of favoritism
impatient,"a. restless or short-tempered under delay or opposition
s. (usually followed by `to') full of eagerness"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
inapt,s not elegant or graceful in expression
indication,"n. something that serves to indicate or suggest
n. the act of indicating or pointing out by name
n. (medicine) a reason to prescribe a drug or perform a procedure
n. something (as a course of action) that is indicated as expedient or necessary"
infinite,"a. having no limits or boundaries in time or space or extent or magnitude
a. of verbs; having neither person nor number nor mood (as a participle or gerund or infinitive)
s. total and all-embracing"
inflict,v. impose something unpleasant
influential,a. having or exercising influence or power
influx,n the process of flowing in
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
intent,n. the intended meaning of a communication
intention,"n. (usually plural) the goal with respect to a marriage proposal
n. an act of intending; a volition that you intend to carry out"
jail,n. a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
jam,"n. preserve of crushed fruit
v. push down forcibly
v. crush or bruise
v. interfere with or prevent the reception of signals"
journalist,n. a writer for newspapers and magazines
jungle,"n. a location marked by an intense competition and struggle for survival
n. an impenetrable equatorial forest"
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
lateral,"s. situated at or extending to the side
s. lying away from the median and sagittal plane of a body"
legacy,n (law) a gift of personal property by will
lively,"a. full of life and energy
s. full of zest or vigor
s. filled with events or activity"
liver,"n. large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
n. liver of an animal used as meat
n. a person who has a special life style
n. someone who lives in a place"
magnify,"v. increase in size, volume or significance"
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
marble,"n. a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
n. a small ball of glass that is used in various games
n. a sculpture carved from marble
v. paint or stain like marble"
microwave,"n. a short electromagnetic wave (longer than infrared but shorter than radio waves); used for radar and microwave ovens and for transmitting telephone, facsimile, video and data
n. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
v. cook or heat in a microwave oven"
mild,a. moderate in type or degree or effect or force; far from extreme
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
mingle,v. get involved or mixed-up with
naughty,s. badly behaved
neglect,"n. the state of something that has been unused and neglected
v. leave undone or leave out
v. fail to attend to
v. give little or no attention to"
negotiate,"v. succeed in passing through, around, or over"
nuclear,"a. (weapons) deriving destructive energy from the release of atomic energy
a. of or relating to or constituting the nucleus of an atom
a. of or relating to or constituting the nucleus of a cell
s. constituting or like a nucleus"
numerous,s. amounting to a large indefinite number
offense,"n. the team that has the ball (or puck) and is trying to score
n. the action of attacking an enemy"
offshore,"a. (of winds) coming from the land
s. at some distance from the shore
r. away from shore; away from land"
oppress,v. come down on or keep down by unjust use of one's authority
outdated,s. old; no longer valid or fashionable
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
outlook,"n a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
n belief about (or mental picture of) the future
n the act of looking out"
pedal,"n. a lever that is operated with the foot
v. operate the pedals on a keyboard instrument
a. of or relating to the feet"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
pepper,"n. climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
n. pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
n. sweet and hot varieties of fruits of plants of the genus Capsicum
v. add pepper to"
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
peril,"n a source of danger; a possibility of incurring loss or misfortune
n a state of danger involving risk
n a venture undertaken without regard to possible loss or injury
v pose a threat to; present a danger to
v put in a dangerous, disadvantageous, or difficult position"
perish,v pass from physical life and lose all bodily attributes and functions necessary to sustain life
piracy,n. hijacking on the high seas or in similar contexts; taking a ship or plane away from the control of those who are legally entitled to it
possibility,"n. a future prospect or potential
n. capability of existing or happening or being true
n. a possible alternative"
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
quotation,"n. a passage or expression that is quoted or cited
n. a statement of the current market price of a security or commodity
n. the practice of quoting from books or plays etc."
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
ransom,"n. money demanded for the return of a captured person
n. payment for the release of someone
n. the act of freeing from captivity or punishment
v. exchange or buy back for money; under threat"
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
reasonable,"a. showing reason or sound judgment
s. marked by sound judgment"
recipe,n. directions for making something
recite,"v. repeat aloud from memory
v. render verbally, ""recite a poem"""
reckless,"s marked by defiant disregard for danger or consequences
s characterized by careless unconcern"
reckon,v. take account of
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
recommend,"v. push for something
v. make attractive or acceptable"
