musketeer,n. a foot soldier armed with a musket
amour,n a usually secretive or illicit sexual relationship
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
Victorian,"n. a person who lived during the reign of Victoria
a. of or relating to Queen Victoria of Great Britain or to the age in which she ruled
s. typical of the moral standards or conduct of the age of Queen Victoria"
catalytic,a. relating to or causing or involving catalysis
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
obsolescent,s. becoming obsolete
mores,n. (sociology) the conventions that embody the fundamental values of a group
Bohemian,"n. a native or inhabitant of Bohemia in the Czech Republic
n. a nonconformist writer or artist who lives an unconventional life
a. of or relating to Bohemia or its language or people
s. unconventional in especially appearance and behavior"
perversion,"n. a curve that reverses the direction of something
n. an aberrant sexual practice; 
n. the action of perverting something (turning it to a wrong use)"
reveler,n. a celebrant who shares in a noisy party
stalemate,"n. drawing position in chess: any of a player's possible moves would place his king in check
v. subject to a stalemate"
insolence,n. an offensive disrespectful impudent act
belligerent,s. engaged in war
magnolia,"n. dried bark of various magnolias; used in folk medicine
n. any shrub or tree of the genus Magnolia; valued for their longevity and exquisite fragrant blooms"
fracas,n noisy quarrel
corps,"n. an army unit usually consisting of two or more divisions and their support
n. a body of people associated together"
merchant,n. a businessperson engaged in retail trade
marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
sergeant,n. any of several noncommissioned officer ranks in the Army or Air Force or Marines ranking above a corporal
carnival,"n. a festival marked by merrymaking and processions
n. a traveling show; having sideshows and rides and games of skill etc."
contingent,"n. a gathering of persons representative of some larger group
n. a temporary military unit
s. possible but not certain to occur
s. determined by conditions or circumstances that follow"
obliquely,r. at an oblique angle
expatriation,"n the act of expelling a person from their native land
n migration from a place (especially migration from your native country in order to settle in another)"
beget,v. make children
clone,"n. a group of genetically identical cells or organisms derived from a single cell or individual by some kind of asexual reproduction
v. make multiple identical copies of"
preempt,"v. acquire for oneself before others can do so
v. take the place of or have precedence over
v. gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land)"
bilk,"v. cheat somebody out of what is due, especially money
v. evade payment to"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
vivacity,n. characterized by high spirits and animation
precinct,n. a district of a city or town marked out for administrative purposes
subculture,n. a social group within a national culture that has distinctive patterns of behavior and beliefs
boutique,n. a shop that sells women's clothes and jewelry
ancillary,s furnishing added support
malleable,"s easily influenced
s capable of being shaped or bent or drawn out"
turnstile,n. a gate consisting of a post that acts as a pivot for rotating arms; set in a passageway for controlling the persons entering
succumb,v. be fatally overwhelmed
tawdriness,n. Quality or state of being tawdry.
cabana,n. a small tent used as a dressing room beside the sea or a swimming pool
antiseptically,adv. By means of antiseptics.
enclave,n. an enclosed territory that is culturally distinct from the foreign territory that surrounds it
mongrel,"n derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin
n an inferior dog or one of mixed breed"
precariously,r. in a precarious manner
hybrid,"n. a composite of mixed origin
n. (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
s. produced by crossbreeding"
admixture,"n. the state of impairing the quality or reducing the value of something
n. an additional ingredient that is added by mixing with the base"
juxtaposition,"n. the act of positioning close together (or side by side)
n. a side-by-side position"
exasperate,"v exasperate or irritate
v make furious
v make worse"
exhilarate,v. fill with sublime emotion
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
decorous,a. characterized by propriety and dignity and good taste in manners and conduct
mauve,"n. a moderate purple
s. of a pale to moderate greyish violet color"
tambourine,n. a shallow drum with a single drumhead and with metallic disks in the sides
lithe,s moving and bending with ease
archaic,s. little evolved from or characteristic of an earlier ancestral type
stallion,n. uncastrated adult male horse
dulcet,"s. extremely pleasant in a gentle way
s. pleasing to the ear"
utopian,"n. an idealistic (but usually impractical) social reformer
a. of or pertaining to or resembling a utopia
a. characterized by or aspiring to impracticable perfection"
pedant,n. a person who pays more attention to formal rules and book learning than they merit
treason,"n. a crime that undermines the offender's government
n. disloyalty by virtue of subversive behavior"
exuberance,"n. joyful enthusiasm
n. overflowing with eager enjoyment or approval"
languor,"n. a relaxed comfortable feeling
n. a feeling of lack of interest or energy
n. inactivity; showing an unusual lack of energy"
arcane,s. requiring secret or mysterious knowledge
magnanimous,"s noble and generous in spirit
s generous and understanding and tolerant"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
imperious,s having or showing arrogant superiority to and disdain of those one views as unworthy
imbecile,s. having a mental age of three to seven years
genitals,n external sex organ
excrement,n waste matter (as urine or sweat but especially feces) discharged from the body
uncouth,s lacking refinement or cultivation or taste
poignancy,"n a state of deeply felt distress or sorrow
n a quality that arouses emotions (especially pity or sorrow)"
snivel,"n. whining in a tearful manner
v. talk in a tearful manner
v. cry or whine with snuffling"
scuffle,"n. a hoe that is used by pushing rather than pulling
v. fight or struggle in a confused way at close quarters"
shop steward,none
razor-keen,none
impoverish,v. make poor
subsidy,n. a grant paid by a government to an enterprise that benefits the public
franc,n. the basic monetary unit in many countries; equal to 100 centimes
Deutschmark,n formerly the basic unit of money in Germany
overdraft,n. a draft in excess of the credit balance
caper,"n. any of numerous plants of the genus Capparis
n. pickled flower buds used as a pungent relish in various dishes and sauces
n. a crime (especially a robbery)
n. a playful leap or hop"
recoil,"n. the backward jerk of a gun when it is fired
n. a movement back from an impact"
anomalous,s. deviating from the general or common order or type
hippopotamus,n. massive thick-skinned herbivorous animal living in or around rivers of tropical Africa
inept,s. revealing lack of perceptiveness or judgment or finesse
shiftless,s. lacking or characterized by lack of ambition or initiative; lazy
vandalism,n. willful wanton and malicious destruction of the property of others
polo,"n. Venetian traveler who explored Asia in the 13th century and served Kublai Khan (1254-1324)
n. a game similar to field hockey but played on horseback using long-handled mallets and a wooden ball"
repertory,"n. a storehouse where a stock of things is kept
n. the entire range of skills or aptitudes or devices used in a particular field or occupation"
farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
demagogue,n. a political leader who seeks support by appealing to popular passions and prejudices
myopic,"a unable to see distant objects clearly
s lacking foresight or scope"
shareholder,n someone who holds shares of stock in a corporation
counting-house,n. office used by the accountants of a business
loon,"n. a worthless lazy fellow
n. large somewhat primitive fish-eating diving bird of the northern hemisphere having webbed feet placed far back; related to the grebes"
chokecherry,"n. the fruit of the chokecherry tree
n. a common wild cherry of eastern North America having small bitter black berries favored by birds"
patois,n. a regional dialect of a language (especially French); usually considered substandard
obscenities,pl.  of Obscenity
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
tuberculosis,n. infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)
contagious,s. easily diffused or spread as from one person to another
cameo,n. engraving or carving in low relief on a stone (as in a brooch or ring)
filigree,"n. delicate and intricate ornamentation (usually in gold or silver or other fine twisted wire)
v. make filigree, as with a precious metal"
raspberry,"n. woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
n. red or black edible aggregate berries usually smaller than the related blackberries"
moose,n large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
antler,n. deciduous horn of a member of the deer family
coyote,"n. small wolf native to western North America
n. someone who smuggles illegal immigrants into the United States (usually across the Mexican border)
n. a forest fire fighter who is sent to battle remote and severe forest fires (often for days at a time)"
ululate,v emit long loud cries
aeon,"n (Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe
n the longest division of geological time
n an immeasurably long period of time"
chipmunk,n. a burrowing ground squirrel of western America and Asia; has cheek pouches and a light and dark stripe running down the body
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
chrome,"n. another word for chromium when it is used in dyes or pigments
v. plate with chromium
v. treat with a chromium compound"
carmine,v. color carmine
perturb,"v. disturb in mind or make uneasy or cause to be worried or alarmed
v. disturb or interfere with the usual path of an electron or atom
v. cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull"
motley,"n. a garment made of motley (especially a court jester's costume)
n. a multicolored woolen fabric woven of mixed threads in 14th to 17th century England
v. make motley; color with different colors
s. having sections or patches colored differently and usually brightly"
alabaster,"n. a compact fine-textured, usually white gypsum used for carving
n. a hard compact kind of calcite
n. a very light white"
skirmish,v. engage in a skirmish
rung,n. a crosspiece between the legs of a chair
lukewarm,s. moderately warm
paradox,n. (logic) a statement that contradicts itself
paranoia,n. a psychological disorder characterized by delusions of persecution or grandeur
pimp,n. someone who procures customers for whores (in England they call a pimp a ponce)
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
preconception,n. an opinion formed beforehand without adequate evidence
corny,s dull and tiresome but with pretensions of significance or originality
sojourn,"n. a temporary stay (e.g., as a guest)
v. spend a certain length of time; reside temporarily"
incorrigible,a. impervious to correction by punishment
efface,v. make inconspicuous
sustenance,n. the act of sustaining life by food or providing a means of subsistence
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
wed,s. having been taken in marriage
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
bacteria,n. (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
fungi,"n. the taxonomic kingdom including yeast, molds, smuts, mushrooms, and toadstools; distinct from the green plants"
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
physicochemical,a. relating to physical chemistry
cybernetics,n. (biology) the field of science concerned with processes of communication and control (especially the comparison of these processes in biological and artificial systems)
helmsman,n. the person who steers a ship
compass,"n. navigational instrument for finding directions
n. the limit of capability
n. drafting instrument used for drawing circles
v. bring about; accomplish"
rudder,"n. a hinged vertical airfoil mounted at the tail of an aircraft and used to make horizontal course changes
n. (nautical) steering mechanism consisting of a hinged vertical plate mounted at the stern of a vessel"
alga,n. primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
oscillation,"n. the process of oscillating between states
n. (physics) a regular periodic variation in value about a mean"
lynx,"n. a text browser
n. short-tailed wildcats with usually tufted ears; valued for their fur"
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
metabolism,n. the organic processes (in a cell or organism) that are necessary for life
alfalfa,"n. important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop
n. leguminous plant grown for hay or forage"
perturbation,"n. (physics) a secondary influence on a system that causes it to deviate slightly
n. activity that is a malfunction, intrusion, or interruption
n. a disposition that is confused or nervous and upset"
excrete,v. eliminate from the body
carbon dioxide,none
incinerator,n. a furnace for incinerating (especially to dispose of refuse)
technologist,n a person who uses scientific knowledge to solve practical problems
predecessor,n. one who precedes you in time (as in holding a position or office)
x-irradiation,none
mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
albeit,conj. Even though; although; notwithstanding.
viability,"n. (of living things) capable of normal growth and development
n. capable of being done in a practical and useful way"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
variant,"s. differing from a norm or standard
s. exhibiting variation and change"
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
carcinogenic,a. causing or tending to cause cancer
enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
insecticide,n. a chemical used to kill insects
herbicide,n. a chemical agent that destroys plants or inhibits their growth
potentate,n a ruler who is unconstrained by law
enmeshed,s. caught as if in a mesh
condone,"v excuse, overlook, or make allowances for; be lenient with"
elucidate,"v make clear and (more) comprehensible
v make free from confusion or ambiguity; make clear"
miasma,"n. an unwholesome atmosphere
n. unhealthy vapors rising from the ground or other sources"
mansion,n. a large and imposing house
subprime,none
parable,n. (New Testament) any of the stories told by Jesus to convey his religious message
implausible,a. having a quality that provokes disbelief
porte-cochère,none
hyperventilate,"v. produce hyperventilation in
v. breathe excessively hard and fast"
bust,"n. a sculpture of the head and shoulders of a person
n. an occasion for excessive eating or drinking"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
predicament,n. a situation from which extrication is difficult especially an unpleasant or trying one
foreclosure,n. the legal proceedings initiated by a creditor to repossess the collateral for loan that is in default
mendacious,"s. given to lying
s. intentionally untrue"
chandelier,n. branched lighting fixture; often ornate; hangs from the ceiling
tortellini,n. small ring-shaped stuffed pasta
thermostat,"n. a regulator for automatically regulating temperature by starting or stopping the supply of heat
v. control the temperature with a thermostat"
microclimate,none
fossil fuel,none
curtailment,n. the temporal property of being cut short
biofuel,none
ethanol,n the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline
switchgrass,none
prodigal,n. a recklessly extravagant consumer
claustrophobia,n. a morbid fear of being closed in a confined space
credo,n any system of principles or beliefs
autistic,s. characteristic of or affected with autism
homeopathy,"n. a method of treating disease with small amounts of remedies that, in large amounts in healthy people, produce symptoms similar to those being treated"
etymologically,none
circumlocution,"n. a style that involves indirect ways of expressing things
n. an indirect way of expressing something"
recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
veterinarian,n. a doctor who practices veterinary medicine
predatory,s. living by preying on other animals especially by catching living prey
salutary,s tending to promote physical well-being; beneficial to health
inducement,n. act of bringing about a desired result
omniscient,s infinitely wise
omnipotent,s having unlimited power
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
methodology,"n. the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
n. the system of methods followed in a particular discipline"
gravity,"n. (physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface
n. a solemn and dignified feeling"
genome,n. the ordering of genes in a haploid set of chromosomes of a particular organism; the full DNA sequence of an organism
thermodynamics,n. the branch of physics concerned with the conversion of different forms of energy
mutation,"n. (genetics) any event that changes genetic structure; any alteration in the inherited nucleic acid sequence of the genotype of an organism
n. a change or alteration in form or qualities"
corollary,"n. a practical consequence that follows naturally
n. (logic) an inference that follows directly from the proof of another proposition"
streamlining,v contour economically or efficiently
cylinder,"n. a solid bounded by a cylindrical surface and two parallel planes (the bases)
n. a surface generated by rotating a parallel line around a fixed line
n. a chamber within which piston moves
n. a cylindrical container for oxygen or compressed air"
carburetor,n. mixes air with gasoline vapor prior to explosion
transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
plasticity,n the property of being physically malleable; the property of something that can be worked or hammered or shaped without breaking
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
artifact,n. a man-made object taken as a whole
skepticism,"n doubt about the truth of something
n the disbelief in any claims of ultimate knowledge"
particle,"n. a body having finite mass and internal structure but negligible dimensions
n. a function word that can be used in English to form phrasal verbs"
cannibalism,n. the practice of eating the flesh of your own kind
collage,"n. a paste-up made by sticking together pieces of paper or photographs to form an artistic image
n. any collection of diverse things"
virtuosity,n. technical skill or fluency or style exhibited by a virtuoso
etch,"v. make an etching of
v. cause to stand out or be clearly defined or visible
v. selectively dissolve the surface of (a semiconductor or printed circuit) with a solvent, laser, or stream of electrons"
truss,"n. (medicine) a bandage consisting of a pad and belt; worn to hold a hernia in place by pressure
n. a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure
v. tie the wings and legs of a bird before cooking it"
geodesic dome,none
vault,"n. a burial chamber (usually underground)
n. a strongroom or compartment (often made of steel) for safekeeping of valuables
n. an arched brick or stone ceiling or roof
n. the act of jumping over an obstacle"
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
trailer,"n. a large transport conveyance designed to be pulled by a truck or tractor
n. a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy"
magnetic tape,none
