enjoyable,s. affording satisfaction or pleasure
donate,v. give to a charity or good cause
kindness,"n. the quality of being warmhearted and considerate and humane and sympathetic
n. a kind act"
splendid,"s having great beauty and splendor
s very good; of the highest quality
s characterized by grandeur"
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
make use of,none
title,"n. a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
n. the name of a work of art or literary composition etc.
n. a general or descriptive heading for a section of a written work
n. an identifying appellation signifying status or function: e.g. `Mr.' or `General'"
dynasty,n. a sequence of powerful leaders in the same family
somehow,"r. in some unspecified way or manner; or by some unspecified means
r. for some unspecified reason;"
recent,s. new
professor,n. someone who is a member of the faculty at a college or university
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
opening hours,none
run,"n. a score in baseball made by a runner touching all four bases safely
n. (American football) a play in which a player attempts to carry the ball through or past the opposing team
n. a regular trip
n. the act of running; traveling on foot at a fast pace"
host,"n. a person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there
n. an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association
n. archaic terms for army
n. any organization that provides resources and facilities for a function or event"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
charge,"n. an impetuous rush toward someone or something
n. (criminal law) a pleading describing some wrong or offense
n. the price charged for some article or service
n. the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons"
schoolmate,n. an acquaintance that you go to school with
broadcast,"n. message that is transmitted by radio or television
n. a radio or television show
v. sow over a wide area, especially by hand"
preparation,"n. the activity of putting or setting in order in advance of some act or purpose
n. (music) a note that produces a dissonant chord is first heard in a consonant chord"
event,"n. something that happens at a given place and time
n. a special set of circumstances
n. a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory"
outing,"n a journey taken for pleasure
n a day devoted to an outdoor social gathering
v to state openly and publicly one's homosexuality
v reveal (something) about somebody's identity or lifestyle
v be made known; be disclosed or revealed"
graduation,"n. the successful completion of a program of study
n. a line (as on a vessel or ruler) that marks a measurement"
poet,n. a writer of poems (the term is usually reserved for writers of good poetry)
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
literary,"a. of or relating to or characteristic of literature
s. knowledgeable about literature
s. appropriate to literature rather than everyday speech or writing"
select,"v pick out, select, or choose from a number of alternatives
s of superior grade
s selected or chosen for special qualifications"
courtyard,n an area wholly or partly surrounded by walls or buildings
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
curtain,"n. hanging cloth used as a blind (especially for a window)
n. any barrier to communication or vision
v. provide with drapery"
can't wait to do something,none
soccer,n. a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal
frightened,s. made afraid
be supposed to,none
bend,"n. a circular segment of a curve
n. curved segment (of a road or river or railroad track etc.)
n. a town in central Oregon at the eastern foot of the Cascade Range
n. diagonal line traversing a shield from the upper right corner to the lower left"
starve,"v. be hungry; go without food
v. die of food deprivation
v. deprive of food
v. deprive of a necessity and cause suffering"
cash,"n. money in the form of bills or coins
n. prompt payment for goods or services in currency or by check
n. United States country music singer and songwriter (1932-2003)
v. exchange for cash"
garbage,"n. food that is discarded (as from a kitchen)
n. a receptacle where waste can be discarded"
pizza,n. Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese
sink,"n. plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n. (technology) a process that acts to absorb or remove energy or a substance from a system
v. fall or descend to a lower place or level
v. cause to sink"
garbage can,none
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
tolerate,"v. recognize and respect (rights and beliefs of others)
v. have a tolerance for a poison or strong drug or pathogen or environmental condition"
behavior,"n. manner of acting or controlling yourself
n. the action or reaction of something (as a machine or substance) under specified circumstances
n. (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation"
teenager,n a juvenile between the onset of puberty and maturity
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
defend,"v. argue or speak in defense of
v. be on the defensive; act against an attack
v. protect against a challenge or attack
v. be the defense counsel for someone in a trial"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
anyhow,"r. used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r. in any way whatsoever"
deserve,v. be worthy or deserving
explanation,"n. a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.
n. thought that makes something comprehensible
n. the act of explaining; making something plain or intelligible"
clinic,"n. a medical establishment run by a group of medical specialists
n. meeting for diagnosis of problems and instruction or remedial work in a particular activity
n. a healthcare facility for outpatient care"
hard,"a. dispassionate; 
a. resisting weight or pressure
s. very strong or vigorous
a. (of light) transmitted directly from a pointed light source"
now that,none
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
sign,"n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n. a public display of a message
n. (medicine) any objective evidence of the presence of a disorder or disease
n. a gesture that is part of a sign language"
bicycle,"n. a wheeled vehicle that has two wheels and is moved by foot pedals
v. ride a bicycle"
hardworking,s. characterized by hard work and perseverance
stay up,none
handle,"n. the appendage to an object that is designed to be held in order to use or move it
v. touch, lift, or hold with the hands
v. show and train"
error,"n. a misconception resulting from incorrect information
n. (baseball) a failure of a defensive player to make an out when normal play would have sufficed
n. departure from what is ethically acceptable
n. (computer science) the occurrence of an incorrect result produced by a computer"
mix up,n a mistake that results from taking one thing to be another
guidance,"n. something that provides direction or advice as to a decision or course of action
n. the act of guiding or showing the way"
as if,none
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
DVD,n a digital recording (as of a movie) on an optical disk that can be played on a computer or a television set
cafe,n. a small restaurant where drinks and snacks are sold
chat,n. an informal conversation
at present,none
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
freedom,n. the condition of being free; the power to act or speak or think without externally imposed restraints
worried,"v be worried, concerned, anxious, troubled, or uneasy
v be concerned with
v disturb the peace of mind of; afflict with mental agitation or distress
v be on the mind of
v lacerate by biting
v touch or rub constantly
s afflicted with or marked by anxious uneasiness or trouble or grief
s mentally upset over possible misfortune or danger etc"
harm,v. cause or do harm to
foolish,a. devoid of good sense or judgment
patience,n. good-natured tolerance of delay or incompetence
selfish,a. concerned chiefly or only with yourself and your advantage to the exclusion of others
distant,"a. separated in space or coming from or going to a distance
a. far apart in relevance or relationship or kinship
s. separate or apart in time
s. located far away spatially"
annoyed,"s. aroused to impatience or anger
s. troubled persistently especially with petty annoyances"
forbid,v. command against
adolescence,"n. the time period between the beginning of puberty and adulthood
n. in the state that someone is in between puberty and adulthood"
along with,none
misunderstand,v interpret in the wrong way
normal,"a. conforming with or constituting a norm or standard or level or type or social norm; not abnormal
a. in accordance with scientific laws
a. being approximately average or within certain limits in e.g. intelligence and development
s. forming a right angle"
confused,"s. lacking orderly continuity
s. having lost your bearings; confused as to time or place or personal identity
a. mentally confused; unable to think with clarity or act intelligently"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
tend,"v. have a tendency or disposition to do or be something; be inclined
v. have care of or look after
v. manage or run"
limit,"n. the greatest possible degree of something
n. as far as something can go
n. the boundary of a specific area
n. the mathematical value toward which a function goes as the independent variable approaches infinity"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
independence,"n. freedom from control or influence of another or others
n. the successful ending of the American Revolution
n. a city in western Missouri; the beginning of the Santa Fe Trail"
balance,"n. a state of equilibrium
n. equality between the totals of the credit and debit sides of an account
n. equality of distribution
n. the difference between the totals of the credit and debit sides of an account"
last,"n. the last or lowest in an ordering or series
n. a person's dying act; the final thing a person can do
n. a unit of weight equal to 4,000 pounds
n. a unit of capacity for grain equal to 80 bushels"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
work out,n the activity of exerting your muscles in various ways to keep fit
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
figure,"n. a diagram or picture illustrating textual material
n. a model of a bodily form (especially of a person)
n. a combination of points and lines and planes that form a visible palpable shape
n. an amount of money expressed numerically"
ashamed,a. feeling shame or guilt or embarrassment or remorse
weight-loss,none
pill,"n. something that resembles a tablet of medicine in shape or size
n. a dose of medicine in the form of a small pellet
n. a unpleasant or tiresome person
n. something unpleasant or offensive that must be tolerated or endured"
kilogram,n. one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
energetic,"a. possessing or exerting or displaying energy
s. working hard to promote an enterprise"
recover,"v. get or find back; recover the use of
v. regain a former condition after a financial loss
v. regain or make up for
v. cover anew"
liver,"n. large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
n. liver of an animal used as meat
n. a person who has a special life style
n. someone who lives in a place"
failure,"n. an act that fails
n. an event that does not accomplish its intended purpose
n. lack of success
n. a person with a record of failing; someone who loses consistently"
contain,"v. be divisible by
v. be capable of holding or containing"
chemical,"n. material produced by or used in a reaction involving changes in atoms or molecules
a. relating to or used in chemistry
a. of or made from or using substances produced by or used in reactions involving atomic or molecular changes"
treatment,"n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
n. the management of someone or something
n. a manner of dealing with something artistically"
painful,a. causing physical or psychological pain
damage,"n. the occurrence of a change for the worse
n. loss of military equipment
n. the act of damaging something or someone
v. inflict damage upon"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
embarrassed,s. made to feel uncomfortable because of shame or wounded pride
pressure,"n. the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
n. a force that compels
n. the somatic sensation that results from applying force to an area of skin
n. an oppressive condition of physical or mental or social or economic distress"
overweight,"n the property of excessive fatness
s usually describes a large person who is fat but has a large frame to carry it"
diet,"n. a prescribed selection of foods
n. a legislative assembly in certain countries (e.g., Japan)
n. the usual food and drink consumed by an organism (person or animal)
n. the act of restricting your food intake (or your intake of particular foods)"
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
waist,n. the narrowing of the body between the ribs and hips
suffer,"v. undergo or be subjected to
v. undergo (as of injuries and illnesses)
v. experience (emotional) pain
v. get worse"
athlete,n. a person trained to compete in sports
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
fall out,n. the radioactive particles that settle to the ground after a nuclear explosion
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
achievement,n the action of accomplishing something
post,"n. the position where someone (as a guard or sentry) stands or is assigned to stand
n. an upright consisting of a piece of timber or metal fixed firmly in an upright position
n. United States aviator who in 1933 made the first solo flight around the world (1899-1935)
n. United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)"
membership,"n. the body of members of an organization or group
n. the state of being a member"
including,"v have as a part, be made up out of
v consider as part of something
v add as part of something else; put in as part of a set, group, or category
v allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of"
branch,"n. a division of some larger or more complex organization
n. a division of a stem, or secondary stem arising from the main stem of a plant
n. a part of a forked or branching shape
n. a stream or river connected to a larger one"
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
freeway,n a broad highway designed for high-speed traffic
midnight,n. 12 o'clock at night; the middle of the night
equipment,n. an instrumentality needed for an undertaking or to perform a service
get into shape,none
make the most of,none
marathon,"n. any long and arduous undertaking
n. a footrace of 26 miles 385 yards
n. a battle in 490 BC in which the Athenians and their allies defeated the Persians"
expert,n. a person with special knowledge or ability who performs skillfully
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
sadness,"n. emotions experienced when not in a state of well-being
n. the state of being sad"
comfort,"n. a state of being relaxed and feeling no pain
n. a feeling of freedom from worry or disappointment
n. satisfaction or physical well-being provided by a person or thing
n. assistance, such as that provided to an enemy or to a known criminal"
useless,a. having no beneficial use or incapable of functioning usefully
in the long term,none
approximately,r. (of quantities) imprecise but fairly close to correct
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
properly,r. in the right manner
mostly,"r in large part; mainly or chiefly
r usually; as a rule"
system,"n. instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
n. a group of independent but interrelated elements comprising a unified whole
n. (physical chemistry) a sample of matter in which substances in different phases are in equilibrium
n. a complex of methods or rules governing behavior"
skin,"n. a natural protective body covering and site of the sense of touch
n. an outer surface (usually thin)
n. a person's skin regarded as their life
n. a bag serving as a container for liquids; it is made from the hide of an animal"
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
peaceful,a. not disturbed by strife or turmoil or war
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
as a matter of fact,none
loss,"n. something that is lost
n. gradual decline in amount or activity
n. the act of losing someone or something
n. the disadvantage that results from losing something"
gain,"n. the amount by which the revenue of a business exceeds its cost of operating
v. obtain advantages, such as points, etc.
v. increase or develop
v. earn on some commercial or business transaction; earn as salary or wages"
tale,"n a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
n a trivial lie"
unexplained,"s. not explained
s. having the reason or cause not made clear"
puzzled,"v be a mystery or bewildering to
v be uncertain about; think about without fully understanding or being able to decide
s filled with bewilderment"
step up,n the act of increasing something
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
due,"n. that which is deserved or owed
n. a payment that is due (e.g., as the price of membership)
a. owed and payable immediately or on demand
s. scheduled to arrive"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
disappear,"v. get lost, as without warning or explanation"
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
spaceship,n a spacecraft designed to carry a crew into interstellar space (especially in science fiction)
creature,"n. a human being; `wight' is an archaic term
n. a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
flash,"n. a sudden intense burst of radiant energy
n. a momentary brightness
n. a short vivid experience
n. a sudden brilliant understanding"
UFO,n an (apparently) flying object whose nature is unknown; especially those considered to have extraterrestrial origins
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
occur,"v. come to one's mind; suggest itself
v. to be found to exist"
show up,none
aboard,"r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group"
possibility,"n. a future prospect or potential
n. capability of existing or happening or being true
n. a possible alternative"
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
take charge of,none
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
journalist,n. a writer for newspapers and magazines
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
amazing,"s. surprising greatly
s. inspiring awe or admiration or wonder"
evidence,"n. your basis for belief or disbelief; knowledge on which to base belief
n. an indication that makes something evident
n. (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or disproved"
injury,"n. any physical damage to the body caused by violence or accident or fracture etc.
n. an accident that results in physical damage or hurt
n. an act that causes someone or something to receive physical damage
n. wrongdoing that violates another's rights and is unjustly inflicted"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
look into,none
laughter,n. the activity of laughing; the manifestation of joy or mirth or scorn
schoolboy,n. a boy attending school
astronomer,n. a physicist who studies astronomy
enthusiastic,a. having or showing great excitement and interest
base,"n. installation from which a military force initiates operations
n. a place that the runner must touch before scoring
n. the bottom or lowest part
n. (anatomy) the part of an organ nearest its point of attachment"
exist,"v. have an existence, be extant
v. support oneself"
mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
comic strip,none
questionnaire,n. a form containing a set of questions; submitted to people to gain statistical information
tick,"n. a metallic tapping sound
n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals
n. a light mattress
v. make a sound like a clock or a timer"
statement,"n. a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
n. (music) the presentation of a musical theme
n. a nonverbal message
n. a document showing credits and debits"
disagree,"v. be of different opinions
v. be different from one another"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
humour,"n a characteristic (habitual or relatively temporary) state of feeling
n a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
n (Middle Ages) one of the four fluids in the body whose balance was believed to determine your emotional and physical state
n the liquid parts of the body
n the quality of being funny
n the trait of appreciating (and being able to express) the humorous
v put into a good mood"
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
table tennis,none
badminton,n. a game played on a court with light long-handled rackets used to volley a shuttlecock over a net
organize,"v. cause to be structured or ordered or operating according to some principle or idea
v. bring order and organization to
v. arrange by systematic planning and united effort"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
Yeti,n a large hairy humanoid creature said to live in the Himalayas
Bigfoot,n. large hairy humanoid creature said to live in wilderness areas of the United States and Canada
Wild Man of Shennongjia,none
hairy,"a. having or covered with hair
s. hazardous and frightening"
human being,none
attack,"n. (military) an offensive against an enemy (using weapons)
n. an offensive move in a sport or game
n. the act of attacking
n. a decisive manner of beginning a musical tone or phrase"
villager,n. one who has lived in a village most of their life
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
track,"n. a pair of parallel rails providing a runway for wheels
n. an endless metal belt on which tracked vehicles move over the ground
n. (computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
n. a groove on a phonograph recording"
centimetre,n a metric unit of length equal to one hundredth of a meter
length,"n. the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
n. the property of being the extent of something from beginning to end
n. a section of something that is long and narrow"
examine,"v. observe, check out, and look over carefully or inspect
v. question closely"
north-west,"r to, toward, or in the northwest"
dozen,"n the cardinal number that is the sum of eleven and one
s denoting a quantity consisting of 12 items or units"
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
strength,"n. the property of being physically or mentally strong
n. the condition of financial success"
belong,"v. be owned by; be in the possession of
v. be suitable or acceptable
v. be in the right place or situation
v. be rightly classified in a class or category"
existence,"n the state or fact of existing
n everything that exists anywhere"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
link,"n. the means of connection between things linked in series
n. a fastener that serves to join or connect
n. a unit of length equal to 1/100 of a chain
n. (computing) an instruction that connects one part of a program or an element on a list to another program or list"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
make one's way to,none
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
flight,"n. a formation of aircraft in flight
n. an instance of traveling by air
n. a stairway (set of steps) between one floor or landing and the next
n. an air force unit smaller than a squadron"
camel,n. cud-chewing mammal used as a draft or saddle animal in desert regions
desert,"n. arid land with little or no vegetation
v. leave behind"
dusty,s. covered with a layer of dust
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
flashlight,n. a small portable battery-powered electric lamp
altogether,r. with everything included or counted
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
rough,"n. the part of a golf course bordering the fairway where the grass is not cut short
a. having or caused by an irregular surface
s. (of persons or behavior) lacking refinement or finesse
a. of the margin of a leaf shape; having the edge cut or fringed or scalloped"
white-water rafting,none
helmet,"n. armor plate that protects the head
n. a protective headgear made of hard material to resist blows"
life jacket,none
protection,"n. the activity of protecting someone or something
n. the condition of being protected
n. the imposition of duties or quotas on imports in order to protect domestic industry against foreign competition
n. payment extorted by gangsters on threat of violence"
in case,"v enclose in, or as if in, a case"
backpack,"n. a bag carried by a strap on your back or shoulder
v. hike with a backpack"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
supply,"n. an amount of something available for use
n. offering goods and services for sale
v. give something useful or necessary to"
wildlife,n. all living things (except people) that are undomesticated
photograph,"n. a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
v. record on photographic film
v. undergo being photographed in a certain way"
defence,"n (psychiatry) an unconscious process that tries to reduce the anxiety associated with instinctive desires
n (sports) the team that is trying to prevent the other team from scoring
n the defendant and his legal advisors collectively
n an organization of defenders that provides resistance against attack
n the speech act of answering an attack on your assertions
n the justification for some act or belief
n a structure used to defend against attack
n a defendant's answer or plea denying the truth of the charges against him
n (military) military action or resources protecting a country against potential enemies
n protection from harm
n the act of defending someone or something against attack or injury"
scare,n. a sudden attack of fear
up close,none
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
tiring,"v lose interest or become bored with something or somebody
v exhaust or get tired through overuse or great strain or stress
v deplete
v cause to be bored
s producing exhaustion"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
African,"n. a native or inhabitant of Africa
a. of or relating to the nations of Africa or their peoples"
afterwards,r happening at a time subsequent to a reference time
sleeve,"n. the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
n. small case into which an object fits"
cheek,"n. either side of the face below the eyes
v. speak impudently to"
tourism,n. the business of providing services to tourists
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
