preacher,n. someone whose occupation is preaching the gospel
musician,"n. someone who plays a musical instrument (as a profession)
n. artist who composes or conducts music as a profession"
inhabit,v. be present in
regain,"v get or find back; recover the use of
v come upon after searching; find the location of something that was missed or lost"
democracy,"n. the political orientation of those who favor government by the people or by their elected representatives
n. a political system in which the supreme power lies in a body of citizens who can elect people to represent them"
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
combat,n. an engagement fought between two military forces
notion,"n. a general inclusive concept
n. an odd or fanciful or capricious idea
n. (usually plural) small personal articles or clothing or sewing items"
undemocratic,a. not in agreement with or according to democratic doctrine or practice or ideals
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
independent school,none
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
loafer,n. a low leather step-in shoe; the top resembles a moccasin but it has a broad flat heel
avowedly,r. by open declaration
softsoap,none
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
hickory,"n. valuable tough heavy hardwood from various hickory trees
n. American hardwood tree bearing edible nuts"
hickory stick,none
classics,n. study of the literary works of ancient Greece and Rome
Lebanese,"n. a native or inhabitant of Lebanon
a. of or relating to or characteristic of Lebanon or its people"
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
U.N.,n an organization of independent states formed in 1945 to promote international peace and security
weaken,"v. lessen the strength of
v. become weaker"
fiber,"n. a slender and greatly elongated substance capable of being spun into yarn
n. any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n. a leatherlike material made by compressing layers of paper or cloth"
unprecedented,a. having no precedent; novel
influential,a. having or exercising influence or power
tenet,n a religious doctrine that is proclaimed as true without proof
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
denial,"n. the act of refusing to comply (as with a request)
n. the act of asserting that something alleged is not true
n. (psychiatry) a defense mechanism that denies painful thoughts"
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
placement,"n. the spatial property of the way in which something is placed
n. contact established between applicants and prospective employees
n. the act of putting something in a certain place"
core,"n. a small group of indispensable persons or things
n. the center of an object
n. the central part of the Earth
n. a cylindrical sample of soil or rock obtained with a hollow drill"
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
selfishness,n. stinginess resulting from a concern for your own welfare and a disregard of others
selfish,a. concerned chiefly or only with yourself and your advantage to the exclusion of others
consequent,s following or accompanying as a consequence
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
curriculum,n an integrated course of academic studies
capability,"n. the quality of being capable -- physically or intellectually or legally
n. the susceptibility of something to a particular treatment
n. an aptitude that may be developed"
doodle,v. make a doodle; draw aimlessly
pianist,n. a person who plays the piano
regardless,r. in spite of everything; without regard to drawbacks
discern,v detect with the senses
realism,"n. the attribute of accepting the facts of life and favoring practicality and literal truth
n. (philosophy) the philosophical doctrine that physical objects continue to exist when not perceived"
relate,"v. give an account of
v. be in a relationship with
v. have or establish a relationship to"
fire,"n. the event of something burning (often destructive)
n. the act of firing weapons or artillery at an enemy
n. the process of combustion of inflammable materials producing heat and light and (often) smoke
n. a fireplace in which a relatively small fire is burning"
stake,"n. instrument of execution consisting of a vertical post that a victim is tied to for burning
n. the money risked on a gamble
n. a strong wooden or metal post with a point at one end so it can be driven into the ground
v. mark with a stake"
oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
serfdom,n. the state of a serf
a handful of,none
cry for,none
pass for,none
make for,none
small wonder,none
little wonder,none
no wonder,none
regardless of,none
relate to,none
relate with,none
in the light of,none
stake on,none
as opposed to,none
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
scholar,"n. a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
n. a student who holds a scholarship"
postpone,v. hold back to a later time
credential,n a document attesting to the truth of certain stated facts
specialist,"n. an expert who is devoted to one occupation or branch of learning
n. practices one branch of medicine"
savor,"v. taste appreciatively
v. give taste to"
residential,"a. used or designed for residence or limited to residences
a. of or relating to or connected with residence"
stereo,"n. reproducer in which two microphones feed two or more loudspeakers to give a three-dimensional effect to the sound
n. two photographs taken from slightly different angles that appear three-dimensional when viewed together"
humanity,n. the quality of being humane
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
poke,"n. tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
v. stir by poking
v. make a hole by poking"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
destructive,a. causing destruction or much damage
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
preoccupy,"v. engage or engross the interest or attention of beforehand or occupy urgently or obsessively
v. occupy or take possession of beforehand or before another or appropriate for use in advance"
subtlety,n. the quality of being difficult to detect or analyze
subtle,s. able to make fine distinctions
nourish,v. provide with nourishment
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
ill-defined,a. poorly stated or described
recognizable,"s. easily perceived; easy to become aware of
s. capable of being recognized"
conception,n. the act of becoming pregnant; fertilization of an ovum by a spermatozoon
humiliation,"n. state of disgrace or loss of self-respect
n. an instance in which you are caused to lose your prestige or self-respect
n. depriving one of self-esteem"
humiliate,v. cause to feel shame; hurt the pride of
validity,n. the quality of having legal force or effectiveness
valid,"a. well grounded in logic or truth or having legal force
s. still legally acceptable"
consistent,"a. (sometimes followed by `with') in agreement or consistent or reliable
s. the same throughout in structure or composition"
consistency,"n. the property of holding together and retaining its shape
n. a harmonious uniformity or agreement among things or parts
n. logical coherence and accordance with the facts
n. (logic) an attribute of a logical system that is so constituted that none of the propositions deducible from the axioms contradict one another"
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
injustice,"n. an unjust act
n. the practice of being unjust or unfair"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
thereby,r. by that means or because of that
vicious,"s (of persons or their actions) able or disposed to inflict pain or suffering
s having the nature of vice
s bringing or deserving severe rebuke or censure
s marked by deep ill will; deliberately harmful"
vicious cycle,none
beneficent,"a. doing or producing good
s. generous in assistance to the poor"
woebegone,s. affected by or full of grief or woe
hang-dog,s. frightened into submission or compliance
hostility,"n. a hostile (very unfriendly) disposition
n. a state of deep-seated ill-will
n. the feeling of a hostile person"
affront,"n a deliberately offensive act or something producing the effect of deliberate disrespect
v treat, mention, or speak to rudely"
objective,"n. the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
a. undistorted by emotion or personal bias; based on observable phenomena
a. serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
s. emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
sanity,n. normal or sound powers of mind
sane,a. mentally healthy; free from mental disorder
miraculous,"s being or having the character of a miracle
s peculiarly fortunate or appropriate; as if by divine intervention"
prevail,"v. be valid, applicable, or true
v. continue to exist
v. prove superior
v. use persuasion successfully"
heretofore,r used in negative statement to describe a situation that has existed up to this point or up to the present time
circumference,"n. the size of something as given by the distance around it
n. the boundary line encompassing an area or object
n. the length of the closed curve of a circle"
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
defect,"n. an imperfection in a bodily system
n. a failing or deficiency
n. an imperfection in an object or machine
v. desert (a cause, a country or an army), often in order to join the opposing cause, country, or army"
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
folly,"n. the trait of acting stupidly or rashly
n. the quality of being rash and foolish
n. foolish or senseless behavior"
patch,"n. a piece of cloth used as decoration or to mend or cover a hole
n. a short set of commands to correct a bug in a computer program
v. to join or unite the pieces of
v. provide with a patch; also used metaphorically"
garment,n. an article of clothing
crutch,"n. a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking
n. anything that serves as an expedient"
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
keystone,n. the central building block at the top of an arch or vault
ego,"n. an inflated feeling of pride in your superiority to others
n. (psychoanalysis) the conscious mind"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
theorize,"v. construct a theory about
v. form or construct theories"
inconsistent,"a. displaying a lack of consistency
s. not capable of being made consistent or harmonious"
underlie,"v. be or form the base for
v. lie underneath"
viewpoint,"n a mental position from which things are viewed
n a place from which something can be viewed"
accordingly,r. in accordance with
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
definition,"n. a concise explanation of the meaning of a word or phrase or symbol
n. clarity of outline"
self-definition,none
misspell,v. spell incorrectly
flunk,"n failure to reach a minimum required performance
v fail to get a passing grade"
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
speller,"n. someone who spells words
n. an introductory textbook to teach spelling"
counselor,"n. someone who gives advice about problems
n. someone who has supervisory duties at a summer camp"
counsel,"n a lawyer who pleads cases in court
n something that provides direction or advice as to a decision or course of action
v give advice to"
honorable,a. worthy of being honored; entitled to honor and respect
honorable mention,none
literary,"a. of or relating to or characteristic of literature
s. knowledgeable about literature
s. appropriate to literature rather than everyday speech or writing"
mathematical,"a. of or pertaining to or of the nature of mathematics
s. beyond question
s. statistically possible though highly improbable
s. characterized by the exactness or precision of mathematics"
factual,a. of or relating to or characterized by facts
descriptive,"a. serving to describe or inform or characterized by description
a. describing the structure of a language"
flunk-out,none
down to the last detail,none
as the case may be,none
bear out,none
occur to,none
lie in,n. a long stay in bed in the morning
prevail on,none
prevail up on,none
conceive of,none
identify with,none
lay,"v. put in a horizontal position
v. prepare or position for action or operation
v. lay eggs
v. impose as a duty, burden, or punishment"
layman,n. someone who is not a clergyman or a professional person
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
pronoun,n. a function word that is used in place of a noun or noun phrase
applicable,s. capable of being applied; having relevance
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
enhance,"v. increase
v. make better or more attractive"
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
nutrition,"n. (physiology) the organic process of nourishing or being nourished; the processes by which an organism assimilates food and uses it for growth and maintenance
n. the scientific study of food and drink (especially in humans)"
deter,v. try to prevent; show opposition to
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
affection,n. a positive feeling of liking
expectation,"n. belief about (or mental picture of) the future
n. the feeling that something is about to happen"
transactional,none
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
orthodox,"a. of or pertaining to or characteristic of Judaism
a. adhering to what is commonly accepted
a. of or relating to or characteristic of the Eastern Orthodox Church"
acceptance,"n. the state of being acceptable and accepted
n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
n. banking: a time draft drawn on and accepted by a bank
n. the act of taking something that is offered"
therapy,n. (medicine) the act of caring for someone (as by medication or remedial training etc.)
impetus,"n a force that moves something along
n the act of applying force suddenly"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
perceive,"v. to become aware of through the senses
v. become conscious of"
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
fragmented,"v break or cause to break into pieces
s having been divided; having the unity destroyed"
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
precocious,"a. characterized by or characteristic of exceptionally early development or maturity (especially in mental aptitude)
s. appearing or developing early"
precocity,n intelligence achieved far ahead of normal developmental schedules
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
norm,n. a standard or model or pattern regarded as typical
parenting,v bring up
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
tremendous,"s extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman
s extraordinarily good or great; used especially as intensifiers
s extreme in degree or extent or amount or impact"
wail,v. cry weakly or softly
prestigious,s. exerting influence by reason of high status or prestige
prestige,n. a high standing achieved through success or influence or wealth etc.
pregnancy,n. the state of being pregnant; the period from conception to birth when a woman carries a developing fetus in her uterus
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
enriched,"v make better or improve in quality
v make wealthy or richer"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
accelerated,"s. speeded up, as of an academic course"
Olympic,a. of or relating to the Olympic Games
exclusive,"n. a news report that is reported first by one news organization
s. not divided or shared with others
a. excluding much or all; especially all but a particular group or minority"
resort,n. a hotel located in a resort area
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
exceptionality,none
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
soccer,n. a football game in which two teams of 11 players try to kick or head a ball into the opponents' goal
selective,"s. tending to select; characterized by careful choice
s. characterized by very careful or fastidious selection"
hockey,"n a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net
n a game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks"
mentality,n. a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
talented,a. endowed with talent or talents
tutor,"v. be a tutor to someone; give individual instruction
v. act as a guardian to someone"
sprout,"n. any new growth of a plant such as a new branch or a bud
n. a newly grown bud (especially from a germinating seed)
v. put forth and grow sprouts or shoots"
dandelion,n. any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
interpersonal,s. occurring among or involving several people
eligible,a. qualified for or allowed or worthy of being chosen
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
excellence,"n. the quality of excelling; possessing good qualities in high degree
n. an outstanding feature; something in which something or someone excels"
carve,"v. form by carving
v. engrave or cut by chipping away at a surface
v. cut to pieces"
intrusive,"a. tending to intrude (especially upon privacy)
a. of rock material; forced while molten into cracks between layers of other rock
a. thrusting inward"
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
self-esteem,n. a feeling of pride in yourself
esteem,n. the condition of being honored (esteemed or respected or well regarded)
correlation,"n. a reciprocal relation between two or more things
n. a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the other"
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
causation,n the act of causing something to happen
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
ballet,"n. a theatrical representation of a story that is performed to music by trained dancers
n. music written for a ballet"
Brownies,"n. a junior Girl Scout
n. (folklore) fairies that are somewhat mischievous
n. square or bar of very rich chocolate cake usually with nuts"
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
tic,n. a local and habitual twitching especially in the face
cookie,"n. any of various small flat sweet cakes (`biscuit' is the British term)
n. the cook on a ranch or at a camp
n. a short line of text that a web site puts on your computer's hard drive when you access the web site"
hypnosis,n. a state that resembles sleep but that is induced by suggestion
extracurricular,"s. outside the regular academic curriculum
s. outside the regular duties of your job or profession"
symptomatic,a. relating to or according to or affecting a symptom or symptoms
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
permission,n. approval to do something
pushy,s marked by aggressive ambition and energy and initiative
disorder,"n. a physical condition in which there is a disturbance of normal functioning
n. a disturbance of the peace or of public order
v. bring disorder to"
individuality,n. the quality of being individual
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
priority,n. preceding in time
competence,n. the quality of being adequately or well qualified physically and intellectually
well-mannered,"s of good upbringing
s socially correct in behavior"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
look upon ... as,none
ahead of the pack,none
stop by,none
in between,s. being neither at the beginning nor at the end in a series
sprout up,none
carve out,none
be in charge of,none
take charge of,none
take the initiative,none
take responsibility for,none
be involved in,none
cure of,none
cure sb. of,none
be symptomatic of,none
be tailored to,none
impose sth. on sb.,none
for sb.'s own good,none
more likely than not,none
hapless,s. deserving or inciting pity
odyssey,"n. a long wandering and eventful journey
n. a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy"
cum,n the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
soda,"n a sodium salt of carbonic acid; used in making soap powders and glass and paper
n a sweet drink containing carbonated water and flavoring"
parlor,n. reception room in an inn or club where visitors can be received
plight,n. a solemn pledge of fidelity
mercy,"n. something for which to be thankful
n. alleviation of distress; showing great kindness toward the distressed"
doctorate,n one of the highest earned academic degrees conferred by a university
haven,n. a shelter serving as a place of safety or sanctuary
simultaneous,s occurring or operating at the same time
enthusiasm,"n. a feeling of excitement
n. a lively interest"
enthusiastic,a. having or showing great excitement and interest
menial,n. a domestic servant
bemoan,v regret strongly
supervisor,n. one who supervises or has charge and direction of
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
prospective,a. of or concerned with or related to the future
minimal,a. the least possible
alumna,n a person who has received a degree from a school (high school or college or university)
scoop,"n. the quantity a scoop will hold
n. a hollow concave shape made by removing something
n. the shovel or bucket of a dredge or backhoe
n. a large ladle"
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
experimentation,"n the testing of an idea
n the act of conducting a controlled test or investigation"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
contradict,"v. be in contradiction with
v. deny the truth of"
contradiction,"n. opposition between two conflicting forces or ideas
n. (logic) a statement that is necessarily false
n. the speech act of contradicting someone"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
collective,"n. members of a cooperative enterprise
a. forming a whole or aggregate
s. set up on the principle of collectivism or ownership and production by the workers involved usually under the supervision of a government"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
reoccur,none
dependability,n. the quality of being dependable or reliable
prediction,"n. the act of predicting (as by reasoning about the future)
n. a statement made about the future"
headway,n. forward movement
answerable,"s. capable of being answered
s. morally or legally responsible to a higher authority"
superstition,n. an irrational belief arising from ignorance or fear
