acrobatics,"n. the gymnastic moves of an acrobat
n. the performance of stunts while in flight in an aircraft"
sign,"n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n. a public display of a message
n. (medicine) any objective evidence of the presence of a disorder or disease
n. a gesture that is part of a sign language"
advertising,n. the business of drawing public attention to goods and services
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
catalog,"n. a book or pamphlet containing an enumeration of things
n. a complete list of things; usually arranged systematically"
brochure,n a small book usually having a paper cover
flyer,"n an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
n someone who travels by air
n someone who operates an aircraft
s (British informal) not to be deceived or hoodwinked"
promo,none
trailer,"n. a large transport conveyance designed to be pulled by a truck or tractor
n. a wheeled vehicle that can be pulled by a car or truck and is equipped for occupancy"
publicity,n. the quality of being open to public view
slogan,n a favorite saying of a sect or political group
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
food,"n. any substance that can be metabolized by an animal to give energy and build tissue
n. any solid substance (as opposed to liquid) that is used as a source of nourishment
n. anything that provides mental stimulus for thinking"
snack,"n a light informal meal
v eat a snack; eat lightly"
wine,"n. fermented juice (of grapes especially)
n. a red as dark as red wine
v. drink wine
v. treat to wine"
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
automobile,v. travel in an automobile
TV,"n broadcasting visual images of stationary or moving objects
n an electronic device that receives television signals and displays them on a screen"
Internet,n. a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
outdoor,"a. located, suited for, or taking place in the open air
a. pertaining to or concerning the outdoors or outdoor activities"
magazine,"n. a periodic publication containing pictures and stories and articles of interest to those who purchase it or subscribe to it
n. product consisting of a paperback periodic publication as a physical object
n. a business firm that publishes magazines
n. a light-tight supply chamber holding the film and supplying it for exposure as required"
newspaper,"n. a daily or weekly publication on folded sheets; contains news and articles and advertisements
n. a business firm that publishes newspapers
n. the physical object that is the product of a newspaper publisher
n. cheap paper made from wood pulp and used for printing newspapers"
price,"n. the amount of money needed to purchase something
n. value measured by what must be given or done or undergone to obtain something
n. the high value or worth of something
n. a monetary reward for helping to catch a criminal"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
sneakers,"n a canvas shoe with a pliable rubber sole
n someone acting as an informer or decoy for the police"
computer,n. a machine for performing calculations automatically
appliance,"n. a device or control that is very useful for a particular job
n. durable goods for home or office use"
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
skywriting,n. writing formed in the sky by smoke released from an airplane
telemarketing,n. the use of the telephone as an interactive medium for promotion and sales
business section,none
editorial page,none
science and technology page,none
sports section,none
amusement page,none
news hole,none
financial page,none
city news,none
advertisement page,none
daily circulation,none
news vendor,none
press conference,none
news conference,none
publish the news,none
news blockout,none
liberty of speech,none
press coverage,none
gather news,none
advertising agency,none
advertising agent,none
advertise on TV,none
public service advertising,none
attention-getter,none
advertising film,none
neon-light advertisement,none
outdoor advertising,none
junk mail,none
glossy advertisement,none
full-page advertisement,none
advertisement column,none
matrimonial notice,none
marriage announcement,none
want ads,none
vacant,"s. void of thought or knowledge
s. without an occupant or incumbent"
help wanted,none
publishing house,none
visitors' book,none
advertising campaign,none
outdoor billboards,none
rolling boards,none
point-of-purchase media,none
parking meter,none
transit ads,none
station posters,none
consumer credit card,none
product advertisement,none
nutritional food,none
direct mail,none
broadcast media,none
print media,none
electronic media,none
increase the sales,none
promote the products,none
make a profit,none
have a rest,none
provide information about products,none
make people sick,none
exaggerate the functions,none
misguide the consumers,none
not suitable for children to watch,none
cause the negative mood of audience,none
high cost,none
buy the products advertised,none
buy what they don't need,none
update their belongings,none
benefits of consumers,none
functions of products,none
satisfy the demands of children,none
buy what their children like,none
make their children more intelligent and healthier,none
make a wise choice,none
high quality,none
sports facilities,none
famous brands,none
quality of product,none
pursue luxuries,none
theory,"n. a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
n. a belief that can guide behavior"
talent,n. a person who possesses unusual innate ability in some field or activity
art gallery,none
draw the sketch,none
motivate students' interest,none
full of imagination,none
observe objects,none
gain good value,none
symbols of social status,none
decorate rooms with painting,none
flowers or landscape,none
represent social status,none
western paintings,none
different cultures and styles,none
part of education,none
identify objects in nature,none
specific nature of flowers,none
gifted people,none
have better sense of beauty,none
have the skill of observation,none
forget their troubles and worries,none
have the peace of mind,none
theoretical knowledge,none
practical skill,none
beach,"n. an area of sand sloping down to the water of a sea or lake
v. land on a beach"
beachwear,n clothing to be worn at a beach
boardwalk,n. a walkway made of wooden boards; usually at seaside
beachside hotel,none
beach bag,none
bathing beach,none
beach umbrella,none
sparrow,n. any of several small dull-colored singing birds feeding on seeds or insects
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
seabird,n. a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc.
lovebird,n. small African parrot noted for showing affection for their mates
crane,"n. United States writer (1871-1900)
n. United States poet (1899-1932)
n. lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis
n. large long-necked wading bird of marshes and plains in many parts of the world"
songbird,n. any bird having a musical call
rare birds,none
wild duck,none
protect the environment,none
illegal to take their eggs,none
barbecue,"n. meat that has been barbecued or grilled in a highly seasoned sauce
n. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n. a rack to hold meat for cooking over hot charcoal usually out of doors"
memorable,s. worth remembering
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
birthday celebration,none
celebrate birthday,none
baked prawns,none
shells,"n ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
n the material that forms the hard outer covering of many animals
n hard outer covering or case of certain organisms such as arthropods and turtles
n the hard usually fibrous outer layer of some fruits especially nuts
n the exterior covering of a bird's egg
n a rigid covering that envelops an object
n a very light narrow racing boat
n the housing or outer covering of something
n a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners)
n the hard largely calcareous covering of a mollusc or a brachiopod
v use explosives on
v create by using explosives
v fall out of the pod or husk
v hit the pitches of hard and regularly
v look for and collect shells by the seashore
v come out better in a competition, race, or conflict
v remove from its shell or outer covering
v remove the husks from"
bonfire party,none
tell stories,none
prepare a birthday cake,none
make a wish,none
blow the candles,none
share the cake,none
sing and dance,none
have a get-together,none
receive gifts,none
family ceremony,none
special parties,none
important occasions,none
express our concern and emotions,none
chat,n. an informal conversation
video,"n. the visible part of a television transmission
n. (computer science) the appearance of text and graphics on a video display"
farewell party,none
recall precious memory,none
play cards,none
sing songs,"-s form of singsong
n. a regular and monotonous rising and falling intonation
v. speak, chant, or declaim in a singsong
v. move as if accompanied by a singsong"
profuse dinner,none
arrange the party,none
drinks and snacks,none
send invitations,none
prepare activities,none
formal and informal party,none
feel relaxed,none
business negotiation,none
dine out,none
stereo system,none
record the whole process,none
draw attention,none
play games,none
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
individuality,n. the quality of being individual
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
hostile,"n. troops belonging to the enemy's military forces
a. characterized by enmity or ill will
a. not belonging to your own country's forces or those of an ally
s. impossible to bring into friendly accord"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
accessories,"n clothing that is worn or carried, but not part of your main clothing
n a supplementary component that improves capability
n someone who helps another person commit a crime"
fable,n. a short moral story (often with animal characters)
entertainment,n. an activity that is diverting and that holds the attention
cartoon,"n. a humorous or satirical drawing published in a newspaper or magazine
n. a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
v. draw cartoons of"
heroic deed,none
follow suit,none
watch cartoons,none
get education,none
life philosophy,none
successful businessmen,none
traditional virtues,none
negative feelings,none
sports field,none
entertainment field,none
imitate their idols,none
buy the clothes,none
entertainment ways,none
leisure activities,none
make a deep impression,none
comic books,plural of comic-book
picture books,plural of picture-book
retell the story,none
widen their sights,none
nature and science,none
have patience,none
category,n. a general concept that marks divisions or coordinations in a conceptual scheme
traditional way,none
sore eyes,none
share ideas,none
entertainment,n. an activity that is diverting and that holds the attention
Olympic-sized swimming pool,none
tennis court,none
basketball field,none
football pitch,none
resting area,none
foot massage,none
body shape,none
leisure activities,none
physical exercises,none
go rock-climbing,none
shopping mall,none
stressful life,none
bridge,"n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected
n. something resembling a bridge in form or function
n. the hard ridge that forms the upper part of the nose"
church,"n. one of the groups of Christians who have their own beliefs and forms of worship
n. a place for public (especially Christian) worship
n. the body of people who attend or belong to a particular local church
v. perform a special church rite or service for"
prison,"n. a correctional institution where persons are confined while on trial or for punishment
n. a prisonlike situation; a place of seeming confinement"
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
skyscraper,n. a very tall building with many stories
bungalow,n. a small house with a single story
villa,"n. Mexican revolutionary leader (1877-1923)
n. detached or semidetached suburban house
n. country house in ancient Rome consisting of residential quarters and farm buildings around a courtyard
n. pretentious and luxurious country residence with extensive grounds"
duplex,"v. change into a duplex
s. (used technically of a device or process) having two parts
s. allowing communication in opposite directions simultaneously"
landmark,"n. the position of a prominent or well-known object in a particular landscape
n. an event marking a unique or important historical change of course or one on which important developments depend
n. a mark showing the boundary of a piece of land
n. an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken"
cottage,n a small house with a single story
bedsit,n a furnished sitting room with sleeping accommodations (and some plumbing)
brick,"n. rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
n. a good fellow; helpful and trustworthy"
concrete,"n. a strong hard building material composed of sand and gravel and cement and water
v. cover with cement
v. form into a solid mass; coalesce
a. capable of being perceived by the senses; not abstract or imaginary"
cement,"n. concrete pavement is sometimes referred to as cement
n. a building material that is a powder made of a mixture of calcined limestone and clay; used with water and sand or gravel to make concrete and mortar
n. something that hardens to act as adhesive material
n. any of various materials used by dentists to fill cavities in teeth"
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
hay,"n. grass mowed and cured for use as fodder
v. convert (plant material) into hay"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
crowded,a. overfilled or compacted or concentrated
suburb,n. a residential district located on the outskirts of a city
fence,"n. a barrier that serves to enclose an area
n. a dealer in stolen property
v. enclose with a fence
v. receive stolen goods"
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
path,"n. a way especially designed for a particular use
n. an established line of travel or access
n. a line or route along which something travels or moves"
balcony,"n. an upper floor projecting from the rear over the main floor in an auditorium
n. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet"
flat,"n. a level tract of land
n. a shallow box in which seedlings are started
n. a musical notation indicating one half step lower than the note named
n. a deflated pneumatic tire"
apartment,n. a suite of rooms usually on one floor of an apartment house
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
mud,"n. water soaked soil; soft wet earth
n. slanderous remarks or charges
v. plaster with mud"
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
statue,n. a sculpture representing a human or animal
registration,"n. the act of enrolling
n. the body of people (such as students) who register or enroll at the same time
n. a document certifying an act of registering
n. (music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops"
enrollment,"n the act of enrolling
n the body of people (such as students) who register or enroll at the same time"
gym,n athletic facility equipped for sports or physical training
theater,n. a building where theatrical performances or motion-picture shows can be presented
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
modern building,none
office building,none
interior facilities,none
interior decoration,none
city center,none
semi-detached house,none
detached house,none
terraced house,none
front garden,none
front doorbell,none
ancient buildings of famous people,none
historical sites,none
historical events,none
lifestyle of ancestors,none
daily necessities,none
old generations,none
buildings in different styles,none
remains of history,none
appreciate art of construction,none
preserve ancient buildings,none
later generations,none
part of history,none
places of interest,none
go sightseeing,none
remember the history,none
recall the past,none
reminder of history,none
creativity and imagination,none
symbols of history,none
places for recreation,none
landmark building,none
administration building,none
main hall,none
calligraphies of famous people,none
anecdotes and mottos,none
multi-media classrooms,none
surf the internet,none
daily routines,none
OHP,none
qualified teachers,none
study aids,none
teaching aids,none
sports facilities,none
appearance of the building,none
standard of teaching,none
various activities,none
local community,none
local newspaper,none
video surveillance,none
monitor the visitors,none
dynamic technology,none
have a good foundation,none
resist the earthquake,none
modern building,none
use solar energy,none
campground,n a site where people on holiday can pitch a tent
camping,n. the act of encamping and living in tents in a camp
camper,"n. someone living temporarily in a tent or lodge for recreation
n. a recreational vehicle equipped for camping out while traveling"
picnic,"n. any informal meal eaten outside or on an excursion
v. eat alfresco, in the open air"
bonfire,n. a large outdoor fire that is lighted as a signal or in celebration
backpack,"n. a bag carried by a strap on your back or shoulder
v. hike with a backpack"
tent,"n. a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
n. a web that resembles a tent or carpet"
public campground,none
commercial campground,none
sleeping bag,none
ground cloth,none
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
breadwinner,n. one whose earnings are the primary source of support for their dependents
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
selfish,a. concerned chiefly or only with yourself and your advantage to the exclusion of others
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
custom,"n. accepted or habitual practice
n. a specific practice of long standing
n. habitual patronage"
belief,n. any cognitive content held as true
tradition,n. an inherited pattern of thought or action
have delicious food and snacks,none
have what they want,none
have pressure,none
worry about their future,none
have a lot of toys,none
enjoy their childhood,none
learn all kinds of skills,none
try to get good marks at schools,none
have homework to do,none
focus on the theoretical knowledge,none
too monotonous,none
teacher-centered,none
not qualified,none
quality of education,none
set an example,none
material life,none
affect children's happiness,none
compare them with other children,none
lay a solid foundation,none
practical skills,none
set aside,s reserved in advance
responsibility of parents,none
family history,none
past generations,none
family unit,none
from generation to generation,none
circus,"n. a travelling company of entertainers; including trained animals
n. a performance given by a traveling company of acrobats, clowns, and trained animals
n. a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment
n. (antiquity) an open-air stadium for chariot races and gladiatorial games"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
spotlight,"n. a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
v. illuminate with a spotlight, as in the theater"
bandstand,n. a platform where a (brass) band can play in the open air
magic,n. any art that invokes supernatural powers
magician,n. someone who performs magic tricks to amuse an audience
clown,"n. a rude or vulgar fool
n. a person who amuses others by ridiculous behavior
v. act as or like a clown"
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
attractive,"a. pleasing to the eye or mind especially through beauty or charm
s. having power to arouse interest
a. having the properties of a magnet; the ability to draw or pull;"
product,"n. an artifact that has been created by someone or some process
n. a quantity obtained by multiplication
n. a chemical substance formed as a result of a chemical reaction
n. a consequence of someone's efforts or of a particular set of circumstances"
refund,"n. money returned to a payer
n. the act of returning money received previously
v. pay back"
commodity,n. articles of commerce
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
purchaser,n a person who buys
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
circus arena,none
travelling circus,none
spectators' seats,none
acrobatics fan,none
fire-eater,"n. a belligerent grouch
n. a performer who pretends to swallow fire"
comic performance,none
acrobatic feat,none
perform acrobatics,none
animal trainer,none
dog trainer,none
animal act,none
monkey show,none
knife-thrower,none
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
capital,"n. assets available for use in the production of further assets
n. wealth in the form of money or property owned by a person or business and human resources of economic value
n. a seat of government
n. one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; capitals were kept in the upper half of the type case and so became known as upper-case letters"""
landscape,"n. an expanse of scenery that can be seen in a single view
n. painting depicting an expanse of natural scenery
n. a genre of art dealing with the depiction of natural scenery
n. an extensive mental viewpoint"
enchanting,"v hold spellbound
v attract; cause to be enamored
v cast a spell over someone or something; put a hex on someone or something
s capturing interest as if by a spell"
remains,n. any object that is left unused or still extant
tourist,n. someone who travels for pleasure
peaceful,a. not disturbed by strife or turmoil or war
ancient capital,none
municipality under the central government,none
coastal city,none
long history,none
modern city,none
provincial capital,none
ancient city,none
historical city,none
remote city,none
tourist city,none
ancient building,none
local people,none
commercial center,none
cultural sites,none
exquisite sculpture,none
magnificent building,none
scenic spots,none
local food,none
local scenery,none
natural landscape,none
happy memories,none
spicy food,none
hot pot,n a stew of meat and potatoes cooked in a tightly covered pot
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
signpost,"n. a post bearing a sign that gives directions or shows the way
v. mark with a signpost, as of a path"
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
transport,"n. an exchange of molecules (and their kinetic energy and momentum) across the boundary between adjacent layers of a fluid or across cell membranes
v. move something or somebody around; usually over long distances
v. move while supporting, either in a vehicle or in one's hands or on one's body
v. transport commercially"
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
geographical location,none
shipping goods,none
traditional food,none
splendid scenery,none
broadened street,none
local tourism,none
city planning,none
migrating population,none
historical sites,none
natural harbor,none
artificial harbor,none
free port,none
coastal port,none
commercial port,none
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
necklace,n. jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
bracelet,n. jewelry worn around the wrist for decoration
earrings,n jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
gold,"n. coins made of gold
n. a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
n. great wealth
n. something likened to the metal in brightness or preciousness or superiority etc."
diamond,"n. a transparent piece of diamond that has been cut and polished and is valued as a precious gem
n. very hard native crystalline carbon valued as a gem
n. a playing card in the minor suit that has one or more red rhombuses on it"
bead,"n. a small ball with a hole through the middle
v. form into beads, as of water or sweat, for example
v. decorate by sewing beads onto
v. string together like beads"
brooch,"n. a decorative pin worn by women
v. fasten with or as if with a brooch"
bangle,n. cheap showy jewelry or ornament on clothing
crystal,"n. a solid formed by the solidification of a chemical and having a highly regular atomic structure
n. a crystalline element used as a component in various electronic devices
n. a rock formed by the solidification of a substance; has regularly repeating internal structure; external plane faces
n. glassware made of quartz"
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
fashionable,"a. being or in accordance with current social fashions
s. patronized by"
suit,"n. a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n. (slang) a businessman dressed in a business suit
n. a petition or appeal made to a person of superior status or rank
n. playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
stylish,a. having elegance or taste or refinement in manners or dress
boutique,n. a shop that sells women's clothes and jewelry
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
individuality,n. the quality of being individual
casual wear,none
comfortable clothes,none
traditional costume,none
out-going,"a. leaving a place or a position
a. retiring from a position or office"
T-shirt,n a close-fitting pullover shirt
underclothes,n undergarment worn next to the skin and under the outer garments
button,"n. a round fastener sewn to shirts and coats etc to fit through buttonholes
n. any of various plant parts that resemble buttons
n. a round flat badge displaying information and suitable for pinning onto a garment
n. any artifact that resembles a button"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
tiepin,n a pin used to hold the tie in place
sock,"n. hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
v. hit hard"
stocking,"n. close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
n. the activity of supplying a stock of something"
scarf,"n. a garment worn around the head or neck or shoulders for warmth or decoration
v. masturbate while strangling oneself
v. unite by a scarf joint
v. wrap in or adorn with a scarf"
clothes,"n clothing in general
v provide with clothes or put clothes on
v furnish with power or authority; of kings or emperors
v cover as if with clothing"
clothing,n. a covering designed to be worn on a person's body
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
attire,n. clothing of a distinctive style or for a particular occasion
garments,"n an article of clothing
v provide with clothes or put clothes on"
apparel,n. clothing in general
kimono,n. a loose robe; imitated from robes originally worn by Japanese
sleeve,"n. the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
n. small case into which an object fits"
collar,"n. a band that fits around the neck and is usually folded over
n. (zoology) an encircling band or marking around the neck of any animal
n. anything worn or placed about the neck
n. a short ring fastened over a rod or shaft to limit, guide, or secure a machine part"
neckline,n. the line formed by the edge of a garment around the neck
waist,n. the narrowing of the body between the ribs and hips
waistline,n the narrowing of the body between the ribs and hips
hood,"n. an aggressive and violent young criminal
n. a protective covering that is part of a plant
n. (slang) a neighborhood
n. a tubular attachment used to keep stray light out of the lens of a camera"
zipper,"n a fastener for locking together two toothed edges by means of a sliding tab
v close with a zipper"
sandals,n a shoe consisting of a sole fastened by straps to the foot
slippers,"n low footwear that can be slipped on and off easily; usually worn indoors
n a person who slips or slides because of loss of traction"
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
