a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
clerk,"n. an employee who performs clerical work (e.g., keeps records or accounts)
v. work as a clerk, as in the legal business"
coffee,"n. a beverage consisting of an infusion of ground coffee beans
n. any of several small trees and shrubs native to the tropical Old World yielding coffee beans"
cost,"n. the total spent for goods or services including money and time and labor
v. be priced at
v. require to lose, suffer, or sacrifice"
cotton,"n. soft silky fibers from cotton plants in their raw state
n. fabric woven from cotton fibers
n. erect bushy mallow plant or small tree bearing bolls containing seeds with many long hairy fibers
n. thread made of cotton fibers"
cup,"n. a small open container usually used for drinking; usually has a handle
n. the quantity a cup will hold
n. any cup-shaped concavity
n. a United States liquid unit equal to 8 fluid ounces"
customer,n. someone who pays for goods or services
dollar,"n. the basic monetary unit in many countries; equal to 100 cents
n. a piece of paper money worth one dollar
n. a United States coin worth one dollar
n. a symbol of commercialism or greed"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
each,"s. (used of count nouns) every one considered individually
r. to or from every one of two or more (considered individually)"
earring,n. jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
else,"a. & pron. Other; one or something beside; as, Who else is
   coming? What else shall I give? Do you expect anything else?
adv. & conj. Besides; except that mentioned; in addition; as,
   nowhere else; no one else.
adv. & conj. Otherwise; in the other, or the contrary, case; if
   the facts were different."
expensive,a. high in price or charging high prices
flea market,none
fun,"n. activities that are enjoyable or amusing
n. verbal wit or mockery (often at another's expense but not to be taken seriously)
n. violent and excited activity"
gold,"n. coins made of gold
n. a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
n. great wealth
n. something likened to the metal in brightness or preciousness or superiority etc."
gray,"n. a neutral achromatic color midway between white and black
n. the SI unit of energy absorbed from ionizing radiation; equal to the absorption of one joule of radiation energy by one kilogram of matter; one gray equals 100 rad
n. English radiobiologist in whose honor the gray (the SI unit of energy for the absorbed dose of radiation) was named (1905-1965)
n. English poet best known for his elegy written in a country churchyard (1716-1771)"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
happy,"a. enjoying or showing or marked by joy or pleasure
s. well expressed and to the point"
help,"v. give help or assistance; be of service
v. improve the condition of
v. be of use
v. contribute to the furtherance of"
in-line skate,none
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
jealous,s. suspicious or unduly suspicious or fearful of being displaced by a rival
jeans,"n (usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n a coarse durable twill-weave cotton fabric"
large,"n. a garment size for a large person
a. above average in size or number or quantity or magnitude or extent
s. fairly large or important in effect; influential
s. having broad power and range and scope"
leather,"n. an animal skin made smooth and flexible by removing the hair and then tanning
v. whip with a leather strap"
light,"n. (physics) electromagnetic radiation that can produce a visual sensation
n. any device serving as a source of illumination
n. a particular perspective or aspect of a situation
n. an illuminated area"
look,"n. the act of directing the eyes toward something and perceiving it visually
n. physical appearance
v. perceive with attention; direct one's gaze towards
v. give a certain impression or have a certain outward aspect"
look at,none
loving,a. feeling or showing love and affection
meaning,"n. the message that is intended or expressed or signified
n. the idea that is intended
s. rich in significance or implication"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
more,"n. English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
a. (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
a. (comparative of `many' used with count nouns) quantifier meaning greater in number
r. used to form the comparative of some adjectives and adverbs"
mysterious,s. having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding
necklace,n. jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
necktie,n. neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
newspaper,"n. a daily or weekly publication on folded sheets; contains news and articles and advertisements
n. a business firm that publishes newspapers
n. the physical object that is the product of a newspaper publisher
n. cheap paper made from wood pulp and used for printing newspapers"
notebook,"n. a book with blank pages for recording notes or memoranda
n. a small compact portable computer"
orange,"n. round yellow to orange fruit of any of several citrus trees
n. orange color or pigment; any of a range of colors between red and yellow
n. any citrus tree bearing oranges
n. any pigment producing the orange color"
paperback book,none
pay,"v. give money, usually in exchange for goods or services
v. do or give something to somebody in return
v. be worth it
v. render"
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
pink,"n. a light shade of red
n. any of various flowers of plants of the genus Dianthus cultivated for their fragrant flowers
v. sound like a car engine that is firing too early
v. cut in a zigzag pattern with pinking shears, in sewing"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
polyester,"n. any of numerous synthetic resins; they are light and strong and weather resistant
n. a complex ester used for making fibers or resins or plastics or as a plasticizer
n. any of a large class of synthetic fabrics"
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
present,"n. the period of time that is happening now; any continuous stretch of time including the moment of speech
n. something presented as a gift
n. a verb tense that expresses actions or states at the time of speaking
v. bring forward and present to the mind"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
price,"n. the amount of money needed to purchase something
n. value measured by what must be given or done or undergone to obtain something
n. the high value or worth of something
n. a monetary reward for helping to catch a criminal"
price tag,none
pure,"a. free of extraneous elements of any kind
s. free from discordant qualities
s. concerned with theory and data rather than practice; opposed to applied
a. (used of persons or behaviors) having no faults; sinless"
purple,"n. a purple color or pigment
n. of imperial status
v. become purple
v. color purple"
radio,"n. medium for communication
n. a communication system based on broadcasting electromagnetic waves
v. transmit messages via radio waves
a. indicating radiation or radioactivity"
reasonable,"a. showing reason or sound judgment
s. marked by sound judgment"
red,"n. red color or pigment; the chromatic color resembling the hue of blood
n. a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
s. of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
right there,none
ring,"n. a characteristic sound
n. a toroidal shape
n. the sound of a bell ringing
n. a platform usually marked off by ropes in which contestants box or wrestle"
rubber,"n. an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
n. any of various synthetic elastic materials whose properties resemble natural rubber
s. returned for lack of funds"
sad,"a. experiencing or showing sorrow or unhappiness
s. of things that make you feel sad"
shirt,"n. a garment worn on the upper half of the body
v. put a shirt on"
silk,"n. a fabric made from the fine threads produced by certain insect larvae
n. animal fibers produced by silkworms and other larvae that spin cocoons and by most spiders"
silver,"n. a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
n. coins made of silver
v. coat with a layer of silver or a silver amalgam
v. make silver in color"
small,"n. the slender part of the back
n. a garment size for a small person
a. limited or below average in number or quantity or magnitude or extent
s. slight or limited; especially in degree or intensity or scope"
sock,"n. hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
v. hit hard"
spend,"v. pass time in a specific way
v. pay out
v. spend completely"
style,"n. a particular kind (as to appearance)
n. (botany) the narrow elongated part of the pistil between the ovary and the stigma
n. editorial directions to be followed in spelling and punctuation and capitalization and typographical display
n. a slender bristlelike or tubular process"
stylish,a. having elegance or taste or refinement in manners or dress
sunglasses,n. spectacles that are darkened or polarized to protect the eyes from the glare of the sun
tennis racket,none
think of,none
truthful,"a. expressing or given to expressing the truth
s. conforming to truth"
try on,n putting clothes on to see whether they fit
T-shirt,n a close-fitting pullover shirt
VCR,n a magnetic tape recorder for recording (and playing back) TV programs
warm,"v. get warm or warmer
v. make warm or warmer
a. having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
a. psychologically warm; friendly and responsive"
watch,"n. a small portable timepiece
n. a period of time (4 or 2 hours) during which some of a ship's crew are on duty
n. a purposeful surveillance to guard or observe
n. the period during which someone (especially a guard) is on duty"
white,"n. a member of the Caucasoid race
n. the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
n. United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
n. Australian writer (1912-1990)"
wool,"n. a fabric made from the hair of sheep
n. fiber sheared from animals (such as sheep) and twisted into yarn for weaving
n. outer coat of especially sheep and yaks"
yellow,"n. yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
v. turn yellow
s. of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
s. changed to a yellowish color by age"
actor,"n. a theatrical performer
n. a person who acts and gets things done"
actress,n. a female actor
cello,n. a large stringed instrument; seated player holds it upright while playing
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
concert,"n. a performance of music by players or singers not involving theatrical staging
v. contrive (a plan) by mutual agreement
v. settle by agreement"
date,"n. the specified day of the month
n. a participant in a date
n. a meeting arranged in advance
n. a particular but unspecified point in time"
especially,"r to a distinctly greater extent or degree than is common
r in a special manner"
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
from ... until,none
from ... till,none
game show,none
gate,"n. a movable barrier in a fence or wall
n. a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs
n. total admission receipts at a sports event
n. passageway (as in an air terminal) where passengers can embark or disembark"
go out,none
gospel,"n. the four books in the New Testament (Matthew, Mark, Luke, and John) that tell the story of Christ's life and teachings
n. an unquestionable truth
n. folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul)
n. a doctrine that is believed to be of great importance"
guess,"n. a message expressing an opinion based on incomplete evidence
n. an estimate based on little or no information
v. put forward, of a guess, in spite of possible refutation
v. guess correctly; solve by guessing"
guitar,n. a stringed instrument usually having six strings; played by strumming or plucking
have to,none
horror film,none
jazz,"n. a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
n. a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands
v. play something in the style of jazz"
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
know,"n. the fact of being aware of information that is known to few people
v. be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
v. know how to do or perform something
v. be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt"
listen to,none
match,"n. lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
n. a formal contest in which two or more persons or teams compete
n. a burning piece of wood or cardboard
n. an exact duplicate"
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
musical instrument,none
