abdomen,n. the region of the body of a vertebrate between the thorax and the pelvis
bayonet,"n. a knife that can be fixed to the end of a rifle and used as a weapon
v. stab or kill someone with a bayonet"
compassion,"n. a deep awareness of and sympathy for another's suffering
n. the humane quality of understanding the suffering of others and wanting to do something about it"
detain,"v deprive of freedom; take into confinement
v stop or halt
v cause to be slowed down or delayed"
faction,n. a dissenting clique
hue,"n. the quality of a color as determined by its dominant wavelength
v. take on color or become colored"
luster,"n. a quality that outshines the usual
n. a surface coating for ceramics or porcelain"
persevere,"v. be persistent, refuse to stop"
rave,"n. a dance party that lasts all night and electronically synthesized music is played
n. an extravagantly enthusiastic review
v. participate in an all-night techno dance party
v. praise enthusiastically"
slay,v kill intentionally and with premeditation
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
voluptuous,"s having strong sexual appeal
s (of a woman's body) having a large bosom and pleasing curves
s displaying luxury and furnishing gratification to the senses"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
beckon,"v. signal with the hands or nod
v. appear inviting
v. summon with a wave, nod, or some other gesture"
concur,v. happen simultaneously
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
fray,v. wear away by rubbing
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
malady,n. any unwholesome or desperate condition
plod,"n the act of walking with a slow heavy gait
v walk heavily and firmly, as when weary, or through mud"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
snore,"n. the rattling noise produced when snoring
n. the act of snoring or producing a snoring sound
v. breathe noisily during one's sleep"
tinge,v. affect as in thought or feeling
ailment,n. an often persistent bodily disorder or disease; a cause for complaining
bicker,n. a quarrel about petty points
contrive,"v make or work out a plan for; devise
v come up with (an idea, plan, explanation, theory, or principle) after a mental effort
v put or send forth"
dazzle,"n. brightness enough to blind partially and temporarily
v. to cause someone to lose clear vision, especially from intense light
v. amaze or bewilder, as with brilliant wit or intellect or skill"
fumble,"n. (sports) dropping the ball
v. make one's way clumsily or blindly
v. handle clumsily
v. drop or juggle or fail to play cleanly a grounder"
impair,v. make worse or less effective
mortify,"v. practice self-denial of one's body and appetites
v. hold within limits and control"
predominant,"s most frequent or common
s having superior power and influence"
sanitary,a. free from filth and pathogens
wallet,n. a pocket-size case for holding papers and paper money
warrant,"n. a writ from a court commanding police to perform specified acts
n. a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price"
allocate,v. distribute according to a plan or set apart for a special purpose
brawl,"n. a noisy fight in a crowd
v. to quarrel noisily, angrily or disruptively"
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
gallant,"s. unflinching in battle or action
s. having or displaying great dignity or nobility"
immerse,"v. thrust or throw into
v. enclose or envelop completely, as if by swallowing"
ostentatious,"a. intended to attract notice and impress others
s. (of a display) tawdry or vulgar"
presentiment,n a feeling of evil to come
satiate,"v. fill to satisfaction
a. supplied (especially fed) to satisfaction"
undulate,"v. increase and decrease in volume or pitch, as if in waves
s. having a wavy margin and rippled surface"
apparel,n. clothing in general
cajole,"v influence or urge by gentle urging, caressing, or flattering"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
effete,s marked by excessive self-indulgence and moral decay
grudge,"n. a resentment strong enough to justify retaliation
v. accept or admit unwillingly"
kidnap,v. take away to an undisclosed location against their will and usually in order to extract a ransom
pact,n a written agreement between two states or sovereigns
pry,"v. to move or force, especially in an effort to get something open
v. be nosey
v. make an uninvited or presumptuous inquiry"
scour,"n. a place that is scoured (especially by running water)
v. examine minutely
v. rub hard or scrub"
swagger,"v. act in an arrogant, overly self-assured, or conceited manner"
vagary,"n. an unexpected and inexplicable change in something (in a situation or a person's behavior, etc.)"
asset,n. a useful or valuable quality
chasm,n. a deep opening in the earth's surface
despoil,"v steal goods; take as spoils
v destroy and strip of its possession"
facetious,s cleverly amusing in tone
hurtle,v. move with or as if with a rushing sound
larceny,n. the act of taking something from someone unlawfully
pervade,v spread or diffuse through
recant,"v formally reject or disavow a formerly held belief, usually under pressure"
shambles,n. a condition of great disorder
taboo,"n. a prejudice (especially in Polynesia and other South Pacific islands) that prohibits the use or mention of something because of its sacred nature
n. an inhibition or ban resulting from social custom or emotional aversion
v. declare as sacred and forbidden
s. forbidden to profane use especially in South Pacific islands"
trappings,"n (usually plural) accessory wearing apparel
n stable gear consisting of a decorated covering for a horse, especially (formerly) for a warhorse"
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
accrue,"v. grow by addition
v. come into the possession of"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
conjecture,n. reasoning that involves the formation of conclusions from incomplete evidence
derange,"v derange mentally, throw out of mental balance; make insane
v throw into great confusion or disorder"
fiend,"n a cruel wicked and inhuman person
n an evil supernatural being
n a person motivated by irrational enthusiasm (as for a cause)"
pine,"n. a coniferous tree
n. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus"
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
throb,"n. a deep pulsating type of pain
n. an instance of rapid strong pulsation (of the heart)
v. pulsate or pound with abnormal force"
broth,"n. liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces
n. a thin soup of meat or fish or vegetable stock"
crevice,n. a long narrow depression in a surface
demean,"v reduce in worth or character, usually verbally"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
incentive,n. a positive motivational influence
maze,n. complex system of paths or tunnels in which it is easy to get lost
pore,"n. any tiny hole admitting passage of a liquid (fluid or gas)
n. any small opening in the skin or outer surface of an animal"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
speculate,"v. to believe especially on uncertain or tentative grounds
v. talk over conjecturally, or review in an idle or casual way and with an element of doubt or without sufficient reason to reach a conclusion
v. invest at a risk"
transfix,v. pierce with a sharp stake or point
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
converge,"v. be adjacent or come together
v. approach a limit as the number of terms increases without limit
v. move or draw together at a certain location
v. come together so as to form a single product"
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
epoch,"n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
n. a unit of geological time that is a subdivision of a period and is itself divided into ages"
gaunt,s very thin especially from disease or hunger or cold
incessant,s uninterrupted in time and indefinitely long continuing
mute,"n. a deaf person who is unable to speak
n. a device used to soften the tone of a musical instrument
s. expressed without speech"
partisan,"n. a fervent and even militant proponent of something
n. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries
a. devoted to a cause or party"
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
stab,"n. a strong blow with a knife or other sharp pointed instrument
v. stab or pierce"
botch,"v. make a mess of, destroy or ruin"
chafe,"n. soreness and warmth caused by friction
v. become or make sore by or as if by rubbing
v. feel extreme irritation or anger"
dissipate,"v. live a life of pleasure, especially with respect to alcoholic consumption"
efface,v. make inconspicuous
glint,n. a spatially localized brightness
onerous,"s not easily borne; wearing; I only had to greet the guests"""
iterate,v. run or be performed again
propensity,"n an inclination to do something
n a natural inclination
n a disposition to behave in a certain way"
singe,v. burn superficially or lightly
strut,"n. a proud stiff pompous gait
n. brace consisting of a bar or rod used to resist longitudinal compression"
unravel,v. become or cause to become undone by separating the fibers or threads of
bellow,"n. a very loud utterance (like the sound of an animal)
n. United States author (born in Canada) whose novels influenced American literature after World War II (1915-2005)
v. make a loud noise, as of animal"
cloak,"n. anything that covers or conceals
n. a loose outer garment
v. cover with or as if with a cloak"
devout,s. deeply religious
guise,n. an artful or simulated semblance
latent,"s. potentially existing but not presently evident or realized
s. (pathology) not presently active"
pawn,"n. an article deposited as security
n. (chess) the least powerful piece; moves only forward and captures only to the side; it can be promoted to a more powerful piece if it reaches the 8th rank
n. borrowing and leaving an article as security for repayment of the loan
v. leave as a guarantee in return for money"
quake,"n shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
v shake with fast, tremulous movements
v shake with seismic vibrations"
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
sequel,"n. something that follows something else
n. a part added to a book or play that continues and extends it"
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
wizard,"n someone who is dazzlingly skilled in any field
n one who practices magic or sorcery
s possessing or using or characteristic of or appropriate to supernatural powers"
admonish,v. take to task
bide,v. dwell
condone,"v excuse, overlook, or make allowances for; be lenient with"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
fend,v. try to manage without help
hardy,"n. United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957)
n. English novelist and poet (1840-1928)
s. having rugged physical strength; inured to fatigue or hardships
s. able to survive under unfavorable weather conditions"
limber,"n. a two-wheeled horse-drawn vehicle used to pull a field gun or caisson
v. attach the limber
v. cause to become limber"
philanthropy,n. voluntary promotion of human welfare
recollect,v recall knowledge from memory; have a recollection
smite,"v. inflict a heavy blow on, with the hand, a tool, or a weapon
v. affect suddenly with deep feeling"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
ale,n. a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
blend,"n. an occurrence of thorough mixing
n. a new word formed by joining two others and combining their meanings
n. the act of blending components together thoroughly
v. combine into one"
carnivorous,"a. relating to or characteristic of carnivores
a. (used of plants as well as animals) feeding on animals"
denizen,n. a plant or animal naturalized in a region
frenzy,n state of violent mental agitation
incapacitate,"v make unable to perform a certain action
v injure permanently"
massacre,v. kill a large number of people indiscriminately
ponder,v reflect deeply on a subject
riddle,"n. a difficult problem
n. a coarse sieve (as for gravel)
v. pierce with many holes
v. set a difficult problem or riddle"
spank,"n. a slap with the flat of the hand
v. give a spanking to; subject to a spanking"
totter,"v. move without being stable, as if threatening to fall"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
catastrophe,"n. a state of extreme (usually irremediable) ruin and misfortune
n. a sudden violent change in the earth's surface"
daunt,v. cause to lose courage
gape,"n. an expression of openmouthed astonishment
n. a stare of amazement (usually with the mouth open)
v. be wide open"
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
implore,v call upon in supplication; entreat
muffle,"n. a kiln with an inner chamber for firing things at a low temperature
v. deaden (a sound or noise), especially by wrapping"
prank,"v. dress or decorate showily or gaudily
v. dress up showily"
saunter,n. a careless leisurely gait
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
astound,v affect with wonder
clan,n group of people related by blood or marriage
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
entrust,"v. confer a trust upon
v. put into the care or protection of someone"
glutton,"n. a person who is devoted to eating and drinking to excess
n. musteline mammal of northern Eurasia"
invalid,"n. someone who is incapacitated by a chronic illness or injury
v. force to retire, remove from active duty, as of firemen
a. having no cogency or legal force
s. no longer valid"
overtone,"n. (usually plural) an ulterior implicit meaning or quality
n. a harmonic with a frequency that is a multiple of the fundamental frequency"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
shrine,n. a place of worship hallowed by association with some sacred thing or person
statute,"n an act passed by a legislative body
s enacted by a legislative body"
writhe,"v. to move in a twisting or contorted motion, (especially when struggling)"
behold,v. see with attention
condescend,"v. behave in a patronizing and condescending manner
v. do something that one considers to be below one's dignity
v. debase oneself morally, act in an undignified, unworthy, or dishonorable way"
dike,v. enclose with a dike
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
grisly,s shockingly repellent; inspiring horror
knave,"n a deceitful and unreliable scoundrel
n one of four face cards in a deck bearing a picture of a young prince"
parley,"n. a negotiation between enemies
v. discuss, as between enemies"
shred,"n. a tiny or scarcely detectable amount
v. tear into shreds"
surmise,v. infer from incomplete evidence
vicissitude,"n. a variation in circumstances or fortune at different times in your life or in the development of something
n. mutability in life or nature (especially successive alternation from one condition to another)"
warden,n. the chief official in charge of a prison
abhor,v. find repugnant
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
detention,"n. a state of being confined (usually for a short time)
n. a punishment in which a student must stay at school after others have gone home"
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
invidious,s containing or implying a slight or showing prejudice
malign,a. evil or harmful in nature or influence
potable,"n any liquid suitable for drinking
a suitable for drinking"
rue,"n. European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
n. leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy
n. (French) a street or road in France"
subsist,v support oneself
unruly,"s noisy and lacking in restraint or discipline
s unwilling to submit to authority
s of persons"
agile,"s. moving quickly and lightly
s. mentally quick"
caprice,n. a sudden desire
disconsolate,"a sad beyond comforting; incapable of being consoled
s causing dejection"
fallacy,n. a misconception resulting from incorrect reasoning
ingenuous,a. characterized by an inability to mask your feelings; not devious
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
preclude,"v. make impossible, especially beforehand"
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
succinct,s briefly giving the gist of something
arable,s. (of farmland) capable of being farmed productively
complacent,s. contented to a fault with oneself or one's actions
dismember,"v. separate the limbs from the body
v. divide into pieces"
glee,"n great merriment
n malicious satisfaction"
implicit,"a. implied though not directly expressed; inherent in the nature of something
s. being without doubt or reserve"
mischievous,s. deliberately causing harm or damage
redundant,"s more than is needed, desired, or required
s repetition of same sense in different words"
solicitude,n. a feeling of excessive concern
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
abate,v. become less in amount or intensity
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
dwindle,v. become smaller or lose substance
haphazard,"s. dependent upon or characterized by chance
s. marked by great carelessness
r. without care; in a slapdash manner"
obvious,a. easily perceived by the senses or grasped by the mind
overt,a. open and observable; not secret or hidden
rebuff,"n. a deliberate discourteous act (usually as an expression of anger or disapproval)
n. an instance of driving away or warding off
v. reject outright and bluntly"
somber,s. grave or even gloomy in character
thwart,"n. a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat
v. hinder or prevent (the efforts, plans, or desires) of"
vehement,s. characterized by great force or energy
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
degrade,"v. reduce the level of land, as by erosion
v. lower the grade of something; reduce its worth"
ephemeral,s. lasting a very short time
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
peddle,v. sell or offer for sale from place to place
reprove,v take to task
synthetic,"n. a compound made artificially by chemical reactions
a. involving or of the nature of synthesis (combining separate elements to form a coherent whole) as opposed to analysis
a. systematic combining of root and modifying elements into single words
a. of a proposition whose truth value is determined by observation or facts"
unbounded,"s seemingly boundless in amount, number, degree, or especially extent"
wretched,"s of very poor quality or condition
s characterized by physical misery
s very unhappy; full of misery
s morally reprehensible
s deserving or inciting pity"
blithe,"s. lacking or showing a lack of due concern
s. carefree and happy and lighthearted"
dejected,a. affected or marked by low spirits
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
immaculate,"s. completely neat and clean
s. free from stain or blemish"
loathe,v find repugnant
pensive,s. showing pensive sadness
retard,"v. cause to move more slowly or operate at a slower rate
v. be delayed"
stalwart,"s. dependable
s. used especially of persons"
shun,v. avoid and stay away from deliberately; stay clear of
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
auspicious,a. auguring favorable circumstances and good luck
elation,"n. an exhilarating psychological state of pride and optimism; an absence of depression
n. a feeling of joy and pride"
haughty,s having or showing arrogant superiority to and disdain of those one views as unworthy
jeopardy,n a source of danger; a possibility of incurring loss or misfortune
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
rebuke,n. an act or expression of criticism and censure
sparse,s. not dense
undue,"a. not yet payable
a. not appropriate or proper (or even legal) in the circumstances
s. lacking justification or authorization"
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
carnal,a. of or relating to the body or flesh
defunct,"s. no longer in force or use; inactive
s. having ceased to exist or live"
feasible,s. capable of being done with means at hand and circumstances as they are
ingenuity,n. the property of being ingenious
mirth,n great merriment
precarious,"s. affording no ease or reassurance
s. not secure; beset with difficulties"
preordain,v foreordain or determine beforehand
taciturn,a. habitually reserved and uncommunicative
venomous,"s extremely poisonous or injurious; producing venom
s marked by deep ill will; deliberately harmful"
amiss,"s. not functioning properly
r. in an improper or mistaken or unfortunate manner"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
dissemble,"v. hide under a false appearance
v. behave unnaturally or affectedly"
glib,"s. marked by lack of intellectual depth
s. having only superficial plausibility
s. artfully persuasive in speech"
invincible,s. incapable of being overcome or subdued
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
replete,"v fill to satisfaction
s filled to satisfaction with food or drink
s (followed by `with')deeply filled or permeated"
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
thraldom,n the state of being under the control of another person
wilt,"n. any plant disease characterized by drooping and shriveling; usually caused by parasites attacking the roots
n. causing to become limp or drooping
v. lose strength
v. become limp"
abominable,s. unequivocally detestable
brainy,s. having or marked by unusual and impressive intelligence
deteriorate,v. become worse or disintegrate
exquisite,"s. intense or sharp
s. lavishly elegant and refined
s. of extreme beauty"
incurable,"n. a person whose disease is incurable
a. incapable of being cured
s. unalterable in disposition or habits"
manual,"n. a small handbook
a. of or relating to the hands
a. requiring human effort
s. doing or requiring physical work"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
ruthless,s without mercy or pity
voluble,a. marked by a ready flow of speech
vociferous,s conspicuously and offensively loud; given to vehement outcry
bleak,s. unpleasantly cold and damp
castigate,v. inflict severe punishment on
enmity,"n a state of deep-seated ill-will
n the feeling of a hostile person"
impartial,a. showing lack of favoritism
lucid,s. having a clear mind
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
retrospect,n. contemplation of things past
sagacity,n. the mental ability to understand and discriminate between relations
urbane,s showing a high degree of refinement and the assurance that comes from wide social experience
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
derogatory,s expressive of low opinion
discretion,"n. freedom to act or judge on one's own
n. knowing how to avoid embarrassment or distress
n. the trait of judging wisely and objectively"
