finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
ventilation,"n. the act of supplying fresh air and getting rid of foul air
n. a mechanical system in a building that provides fresh air"
ensuing,s. following immediately and as a result of what went before
subordinate,"n. an assistant subject to the authority or control of another
v. rank or order as less important or consider of less value
v. make subordinate, dependent, or subservient
a. lower in rank or importance"
manure,"n. any animal or plant material used to fertilize land especially animal excreta usually with litter material
v. spread manure, as for fertilization"
bidding,n. a request to be present
tenet,n a religious doctrine that is proclaimed as true without proof
merit,n. any admirable quality or attribute
pessimistic,a. expecting the worst possible outcome
same,"a. same in identity
a. closely similar or comparable in kind or quality or quantity or degree
s. unchanged in character or nature"
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
longitudinal,"a. of or relating to lines of longitude
s. running lengthwise
s. over an extended time"
cynicism,n. a cynical feeling of distrust
ethnographic,a. of or relating to ethnography
good-looking,s pleasing in appearance especially by reason of conformity to ideals of form and proportion
affirmation,"n. the act of affirming or asserting or stating something
n. (religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)
n. a judgment by a higher court that the judgment of a lower court was correct and should stand"
combustion,"n. a process in which a substance reacts with oxygen to give heat and light
n. a state of violent disturbance and excitement"
inviting,a. attractive and tempting
rustic,n. an unsophisticated country person
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
invader,n. someone who enters by force in order to conquer
holistic,a. emphasizing the organic or functional relation between parts and the whole
light-year,n the distance that light travels in a vacuum in 1 year; 5.88 trillion miles or 9.46 trillion kilometers
discrete,s. constituting a separate entity or part
straddle,"n. a noncommittal or equivocal position
n. a gymnastic exercise performed with a leg on either side of the parallel bars
n. the act of sitting or standing astride
n. the option to buy or sell a given stock (or stock index or commodity future) at a given price before a given date; consists of an equal number of put and call options"
mantle,"n. the cloak as a symbol of authority
n. United States baseball player (1931-1997)
n. the layer of the earth between the crust and the core
n. (zoology) a protective layer of epidermis in mollusks or brachiopods that secretes a substance forming the shell"
exterior,a. situated in or suitable for the outdoors or outside of a building
aggravate,"v make worse
v exasperate or irritate"
Norwegian,"n. a native or inhabitant of Norway
n. a Scandinavian language that is spoken in Norway
a. of or relating to Norway or its people or culture or language"
haul,"v. draw slowly or heavily
v. transport in a vehicle"
insanity,n. relatively permanent disorder of the mind
consulting,"v get or ask advice from
v seek information from
v have a conference in order to talk something over
v advise professionally"
exaggerated,"s. represented as greater than is true or reasonable
s. enlarged to an abnormal degree"
cornerstone,"n. a stone in the exterior of a large and important building; usually carved with a date and laid with appropriate ceremonies
n. a stone at the outer corner of two intersecting masonry walls"
geometric,"s. characterized by simple geometric forms in design and decoration
a. of or relating to or determined by geometry"
seductive,a. tending to entice into a desired action or state
luncheon,n a midday meal
called,"v assign a specified (usually proper) proper name to
v ascribe a quality to or give a name of a common noun that reflects a quality
v get or try to get into communication (with someone) by telephone
v utter a sudden loud cry
v order, request, or command to come
v pay a brief visit
v call a meeting; invite or command to meet
v read aloud to check for omissions or absentees
v send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message
v utter a characteristic note or cry
v stop or postpone because of adverse conditions, such as bad weather
v greet, as with a prescribed form, title, or name
v make a stop in a harbour
v demand payment of (a loan)
v make a demand, as for a card or a suit or a show of hands
v give the calls (to the dancers) for a square dance
v indicate a decision in regard to
v make a prediction about; tell in advance
v require the presentation of for redemption before maturation
v challenge (somebody) to make good on a statement; charge with or censure for an offense
v declare in the capacity of an umpire or referee
v lure by imitating the characteristic call of an animal
v order or request or give a command for
v order, summon, or request for a specific duty or activity, work, role
v utter in a loud voice or announce
v challenge the sincerity or truthfulness of
v consider or regard as being
v rouse somebody from sleep with a call"
problem-solving,none
wreath,n. flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes
proprietary,a. protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights
troublesome,s. difficult to deal with
enclosure,"n. a structure consisting of an area that has been enclosed for some purpose
n. the act of enclosing something inside something else
n. a naturally enclosed space
n. something (usually a supporting document) that is enclosed in an envelope with a covering letter"
disposable,"n. an item that can be disposed of after it has been used
a. free or available for use or disposition
a. designed to be disposed of after use"
gloomy,s. filled with melancholy and despondency
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
warhead,n. the front part of a guided missile or rocket or torpedo that carries the nuclear or explosive charge or the chemical or biological agents
sling,"n. a highball with liquor and water with sugar and lemon or lime juice
n. a simple weapon consisting of a looped strap in which a projectile is whirled and then released
n. bandage to support an injured forearm; consisting of a wide triangular piece of cloth hanging from around the neck
v. hurl as if with a sling"
kinda,r to some (great or small) extent
wooded,a. covered with growing trees and bushes etc
flop,"n. someone who is unsuccessful
n. a complete failure
n. the act of throwing yourself down
v. fall loosely"
typewriter,n. hand-operated character printer for printing written messages one character at a time
row,"n. an arrangement of objects or people side by side in a line
n. a long continuous strip (usually running horizontally)
n. a linear array of numbers, letters, or symbols side by side
n. a continuous chronological succession without an interruption"
amidst,prep. Alt. of Amid
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
molest,v. harass or assault sexually; make indecent advances to
ambivalence,n. mixed feelings or emotions
nighttime,n the time after sunset and before sunrise while it is dark outside
para,"n. 100 para equal 1 dinar in Yugoslavia
n. an estuary in northern Brazil into which the Tocantins River flows"
flux,"n. the rate of flow of energy or particles across a given surface
n. a flow or discharge
n. a substance added to molten metals to bond with impurities that can then be readily removed
n. excessive discharge of liquid from a cavity or organ (as in watery diarrhea)"
following,"n. a group of followers or enthusiasts
s. about to be mentioned or specified
s. immediately following in time or order
a. going or proceeding or coming after in the same direction"
query,"n an instance of questioning
v pose a question"
torn,s. disrupted by the pull of contrary forces
blizzard,n. a storm with widespread snowfall accompanied by strong winds
condemnation,"n. (law) the act of condemning (as land forfeited for public use) or judging to be unfit for use (as a food product or an unsafe building)
n. the condition of being strongly disapproved of"
warm-up,n. exercising in preparation for strenuous activity
indicative,"a. relating to the mood of verbs that is used simple in declarative statements
s. (usually followed by `of') pointing out or revealing clearly"
umpire,n. an official at a baseball game
scare,n. a sudden attack of fear
managerial,a. of or relating to the function or responsibility or activity of management
imprisonment,"n. putting someone in prison or in jail as lawful punishment
n. the act of confining someone in a prison (or as if in a prison)"
gothic,"n. extinct East Germanic language of the ancient Goths; the only surviving record being fragments of a 4th-century translation of the Bible by Bishop Ulfilas
n. a heavy typeface in use from 15th to 18th centuries
n. a style of architecture developed in northern France that spread throughout Europe between the 12th and 16th centuries; characterized by slender vertical piers and counterbalancing buttresses and by vaulting and pointed arches
a. characteristic of the style of type commonly used for printing German"
tidy,"n. receptacle that holds odds and ends (as sewing materials)
v. put (things or places) in order
a. marked by order and cleanliness in appearance or habits"
hard-core,"s. stubbornly resistant to change or improvement
s. intensely loyal
s. extremely explicit"
revel,"n. unrestrained merrymaking
v. celebrate noisily, often indulging in drinking; engage in uproarious festivities"
humorous,a. full of or characterized by humor
blackness,"n the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n total absence of light"
impaired,"a. diminished in strength, quality, or utility"
vista,n the visual percept of a region
melon,"n. any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
n. any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers"
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
lagoon,n. a body of water cut off from a larger body by a reef of sand or coral
worn,a. affected by wear; damaged by long use
unavailable,a. not available or accessible or at hand
dysfunctional,"s. impaired in function; especially of a bodily system or organ
s. (of a trait or condition) failing to serve an adjustive purpose"
forgotten,"v dismiss from the mind; stop remembering
v be unable to remember
v forget to do something
v leave behind unintentionally
s not noticed inadvertently"
buyout,n. acquisition of a company by purchasing a controlling percentage of its stock
scorer,"n. a player who makes a score in a game or contest
n. a logger who marks trees to be felled"
temper,"n. a characteristic (habitual or relatively temporary) state of feeling
n. a disposition to exhibit uncontrolled anger
n. the elasticity and hardness of a metal object; its ability to absorb considerable energy before cracking
v. harden by reheating and cooling in oil"
unmistakable,s. clearly evident to the mind
divisive,s dissenting (especially dissenting with the majority opinion)
alcoholic,"n. a person who drinks alcohol to excess habitually
a. characteristic of or containing alcohol
s. addicted to alcohol"
sensational,"a. causing intense interest, curiosity, or emotion
a. relating to or concerned in sensation"
soundtrack,n. sound recording on a narrow strip of a motion picture film
beware,v. be on one's guard; be cautious or wary about; be alert to
condominium,"n. one of the dwelling units in a condominium
n. housing consisting of a complex of dwelling units (as an apartment house) in which each unit is individually owned"
pertinent,s. having precise or logical relevance to the matter at hand
wrath,"n. intense anger (usually on an epic scale)
n. belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
shimmering,"v shine with a weak or fitful light
v give off a shimmering reflection, as of silk"
decor,n decoration consisting of the layout and furnishings of a livable interior
wiring,"n. a circuit of wires for the distribution of electricity
n. the work of installing the wires for an electrical system or device"
charm,"n. something believed to bring good luck
n. (physics) one of the six flavors of quark
v. control by magic spells, as by practicing witchcraft
v. protect through supernatural powers or charms"
insofar,r. to the degree or extent that
presumption,"n. (law) an inference of the truth of a fact from other facts proved or admitted or judicially noticed
n. audacious (even arrogant) behavior that you have no right to
n. a kind of discourtesy in the form of an act of presuming"
smoky,"a. marked by or emitting or filled with smoke
s. tasting of smoke"
usefulness,n the quality of being of practical use
videotape,"n. a video recording made on magnetic tape
n. a relatively wide magnetic tape for use in recording visual images and associated sound
v. record on videotape"
unanswered,s. not returned in kind
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
bullshit,n. obscene words for unacceptable behavior
pulpit,n a platform raised above the surrounding level to give prominence to the person on it
downplay,"v represent as less significant or important
v understate the importance or quality of"
vineyard,n. a farm of grapevines where wine grapes are produced
worldview,none
connected,"a. joined or linked together
s. wired together to an alarm system
s. plugged in"
obedience,"n. the act of obeying; dutiful or submissive behavior with respect to another person
n. the trait of being willing to obey
n. behavior intended to please your parents"
tart,"n. a small open pie with a fruit filling
n. a pastry cup with a filling of fruit or custard and no top crust"
endow,"v. give qualities or abilities to
v. furnish with an endowment"
equitable,a. fair to all parties as dictated by reason and conscience
self-efficacy,none
logistics,n. handling an operation that involves providing labor and materials be supplied as needed
flinch,"v. draw back, as with fear or pain"
photon,n. a quantum of electromagnetic radiation; an elementary particle that is its own antiparticle
steam,"n. water at boiling temperature diffused in the atmosphere
v. emit steam
v. rise as vapor
v. get very angry"
utilization,n. the state of having been made use of
disseminate,v cause to become widely known
acknowledgment,n. a statement acknowledging something or someone
witty,s. combining clever conception and facetious expression
racket,"n. a loud and disturbing noise
n. an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit
n. a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games
v. make loud and annoying noises"
rounded,a. curving and somewhat round in shape rather than jagged
favored,s. preferred above all others and treated with partiality
hide,"n. the dressed skin of an animal (especially a large animal)
n. body covering of a living animal
v. prevent from being seen or discovered
v. be or go into hiding; keep out of sight, as for protection and safety"
waterfront,n. the area of a city (such as a harbor or dockyard) alongside a body of water
anyhow,"r. used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r. in any way whatsoever"
injunction,"n. a formal command or admonition
n. (law) a judicial remedy issued in order to prohibit a party from doing or continuing to do a certain activity"
fret,"n. agitation resulting from active worry
n. an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
n. a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch
v. be agitated or irritated"
moss,n. tiny leafy-stemmed flowerless plants
downward,s. on or toward a surface regarded as a base
rapist,n someone who forces another to have sexual intercourse
careless,"a. marked by lack of attention or consideration or forethought or thoroughness; not careful
s. effortless and unstudied
s. (usually followed by `of') without due thought or consideration"
rigor,"n something hard to endure
n the quality of being valid and rigorous
n excessive sternness"
abandonment,"n. the act of giving something up
n. the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away"
marking,"n. a pattern of marks
n. evaluation of performance by assigning a grade or score
n. the act of making a visible mark on a surface"
observed,"v discover or determine the existence, presence, or fact of
v make mention of
v observe with care or pay close attention to
v watch attentively
v show respect towards
v behave as expected during of holidays or rites
v follow with the eyes or the mind
v stick to correctly or closely
v conform one's action or practice to
s discovered or determined by scientific observation"
suspended,s. (of undissolved particles in a fluid) supported or kept from sinking or falling by buoyancy and without apparent attachment
flatter,v. praise somewhat dishonestly
altered,"a. changed in form or character without becoming something else
s. having testicles or ovaries removed"
stale,"v. urinate, of cattle and horses
a. lacking freshness, palatability, or showing deterioration from age"
finishing,"n a decorative texture or appearance of a surface (or the substance that gives it that appearance)
n the act of finishing
v come or bring to a finish or an end; others finished in over 4 hours""
v finally be or do something
v have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
v provide with a finish
v finish eating all the food on one's plate or on the table
v cause to finish a relationship with somebody"
showing,"n the display of a motion picture
n something shown to the public
v give an exhibition of to an interested audience
v establish the validity of something, as by an example, explanation or experiment
v provide evidence for
v make visible or noticeable
v show in, or as in, a picture
v give expression to
v indicate a place, direction, person, or thing; either spatially or figuratively
v be or become visible or noticeable
v indicate a certain reading; of gauges and instruments
v give evidence of, as of records
v take (someone) to their seats, as in theaters or auditoriums
v finish third or better in a horse or dog race"
serum,"n. an amber, watery fluid, rich in proteins, that separates out when blood coagulates"
fetal,a. of or relating to a fetus
runaway,"n. an easy victory
s. completely out of control"
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
errand,n. a short trip that is taken in the performance of a necessary task or mission
ballistic,a. relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity
levee,"n. a formal reception of visitors or guests (as at a royal court)
n. a pier that provides a landing place on a river
n. an embankment that is built in order to prevent a river from overflowing"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
skate,"n. sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
n. large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins
v. move along on skates"
sucker,"n. a shoot arising from a plant's roots
n. a drinker who sucks (as at a nipple or through a straw)
n. flesh of any of numerous North American food fishes with toothless jaws
n. an organ specialized for sucking nourishment or for adhering to objects by suction"
frying,n. cooking in fat or oil in a pan or griddle
short-lived,s lasting a very short time
kitten,"n. young domestic cat
v. have kittens"
traitor,n. someone who betrays his country by committing treason
barge,"n. a flatbottom boat for carrying heavy loads (especially on canals)
v. push one's way
v. transport by barge on a body of water"
unconventional,"a. not conforming to accepted rules or standards
a. not conventional or conformist"
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
envoy,"n. a diplomat having less authority than an ambassador
n. a brief stanza concluding certain forms of poetry"
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
chromosome,n. a threadlike strand of DNA in the cell nucleus that carries the genes in a linear order
driven,"s. compelled forcibly by an outside agency
s. urged or forced to action through moral pressure"
realist,"n. a philosopher who believes that universals are real and exist independently of anyone thinking of them
n. a person who accepts the world as it literally is and deals with it accordingly
n. a painter who represents the world realistically and not in an idealized or romantic style"
psychiatry,n. the branch of medicine dealing with the diagnosis and treatment of mental disorders
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
chopper,n. informal terms for a human `tooth'
rehab,none
chant,"n. a repetitive song in which as many syllables as necessary are assigned to a single tone
v. recite with musical intonation; recite as a chant or a psalm"
judiciary,"n. persons who administer justice
n. the system of law courts that administer justice and constitute the judicial branch of government"
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
analog,"n something having the property of being analogous to something else
a of a circuit or device having an output that is proportional to the input"
espouse,"v. take up the cause, ideology, practice, method, of someone and use it as one's own"
showdown,n a hostile disagreement face-to-face
lame,n. a fabric interwoven with threads of metal
scientifically,r. with respect to science; in a scientific way
re-establish,"v bring back into original existence, use, function, or position"
graveyard,n a tract of land used for burials
midtown,none
journalistic,a. of or relating to or having the characteristics of journalism
improvisation,"n. a creation spoken or written or composed extemporaneously (without prior preparation)
n. an unplanned expedient"
iceberg,n. a large mass of ice floating at sea; usually broken off of a polar glacier
rodent,n. relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
markedly,r. in a clearly noticeable manner
mike,n device for converting sound waves into electrical energy
yeast,"n. a commercial leavening agent containing yeast cells; used to raise the dough in making bread and for fermenting beer or whiskey
n. any of various single-celled fungi that reproduce asexually by budding or division"
powdered,s. consisting of fine particles
thy,"pron. Of thee, or belonging to thee; the more common form of
   thine, possessive case of thou; -- used always attributively, and
   chiefly in the solemn or grave style, and in poetry. Thine is used in
   the predicate; as, the knife is thine. See Thine."
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
thump,"n. a heavy dull sound (as made by impact of heavy objects)
n. a heavy blow with the hand
v. hit hard with the hand, fist, or some heavy instrument"
parrot,"n. usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
n. a copycat who does not understand the words or acts being imitated
v. repeat mindlessly"
divinity,"n. the quality of being divine
n. white creamy fudge made with egg whites"
traction,n. (orthopedics) the act of pulling on a bone or limb (as in a fracture) to relieve pressure or align parts in a special way during healing
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
tempo,"n. (music) the speed at which a composition is to be played
n. the rate of some repeating event"
enrichment,"n. act of making fuller or more meaningful or rewarding
n. a gift that significantly increases the recipient's wealth"
hegemony,n. the dominance or leadership of one social group or nation over others
adherence,"n faithful support for a cause or political party or religion
n the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
strew,"v. spread by scattering (""straw"" is archaic)
v. cover; be dispersed over"
paralysis,n. loss of the ability to move a body part
wilt,"n. any plant disease characterized by drooping and shriveling; usually caused by parasites attacking the roots
n. causing to become limp or drooping
v. lose strength
v. become limp"
flowing,"n the motion characteristic of fluids (liquids or gases)
v move or progress freely as if in a stream
v move along, of liquids
v cause to flow
v be abundantly present
v fall or flow in a certain way
v cover or swamp with water
v undergo menstruation
s designed or arranged to offer the least resistant to fluid flow"
termination,"n. a coming to an end of a contract period
n. the act of ending something"
faulty,"s. characterized by errors; not agreeing with a model or not following established rules; the wrong side of the road"""
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
unfairly,r. in an unfair manner
twenty-three,"n the cardinal number that is the sum of twenty-two and one
s being three more than twenty"
acquit,v. pronounce not guilty of criminal charges
promised,"v make a promise or commitment
v promise to undertake or give
v make a prediction about; tell in advance
v give grounds for expectations"
forceful,a. characterized by or full of force or strength (often but not necessarily physical)
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
pediatric,a. of or relating to the medical care of children
streak,"n. an unbroken series of events
n. a distinctive characteristic
n. a sudden flash (as of lightning)
v. move quickly in a straight line"
emblem,"n. special design or visual object representing a quality, type, group, etc.
n. a visible symbol representing an abstract idea"
convergence,"n. the occurrence of two or more things coming together
n. the approach of an infinite series to a finite limit
n. the act of converging (coming closer)"
homage,n respectful deference
gateway,n. an entrance that can be closed by a gate
deserted,"v leave someone who needs or counts on you; leave in the lurch
v desert (a cause, a country or an army), often in order to join the opposing cause, country, or army
v leave behind
s forsaken by owner or inhabitants"
template,n. a model or standard for making comparisons
congratulations,"n an expression of approval and commendation
n the act of acknowledging that someone has an occasion for celebration
n (usually plural) an expression of pleasure at the success or good fortune of another"
botanical,n. a drug made from part of a plant (as the bark or root or leaves)
tack,"n. the heading or position of a vessel relative to the trim of its sails
n. a short nail with a sharp point and a large head
n. (nautical) the act of changing tack
n. sailing a zigzag course"
police,n. the force of policemen and officers
password,n. a secret word or phrase known only to a restricted group
sailing,"n. riding in a sailboat
n. the departure of a vessel from a port"
thriving,"v grow vigorously
v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
s very lively and profitable"
fed,"n any federal law-enforcement officer
n the central bank of the United States; incorporates 12 Federal Reserve branch banks and all national banks and state-chartered commercial banks and some trust companies
v provide as food
v give food to
v feed into; supply
v introduce continuously
v support or promote
v take in food; used of animals only
v serve as food for; be the food for
v move along, of liquids
v profit from in an exploitatory manner
v gratify
v provide with fertilizers or add nutrients to"
implant,"n. a prosthesis placed permanently in tissue
v. fix or set securely or deeply
v. become attached to and embedded in the uterus"
aboriginal,"a. of or pertaining to members of the indigenous people of Australia
s. having existed from the beginning; in an earliest or original stage or state"
unification,"n an occurrence that involves the production of a union
n the state of being joined or united or linked
n the act of making or becoming a single unit"
wane,"v. become smaller
v. decrease in phase"
adjustable,"s. capable of being changed so as to match or fit
s. capable of being regulated"
displaced,"v cause to move, usually with force or pressure
v take the place of or have precedence over
v terminate the employment of; discharge from an office or position
v cause to move or shift into a new position or place, both in a concrete and in an abstract sense"
sweet,"n. English phonetician; one of the founders of modern phonetics (1845-1912)
n. a food rich in sugar
n. the taste experience when sugar dissolves in the mouth
a. having or denoting the characteristic taste of sugar"
stakeholder,n. someone entrusted to hold the stakes for two or more persons betting against one another; must deliver the stakes to the winner
willow,"n. any of numerous deciduous trees and shrubs of the genus Salix
n. a textile machine having a system of revolving spikes for opening and cleaning raw textile fibers"
savage,"n. a member of an uncivilized people
v. attack brutally and fiercely
v. criticize harshly or violently"
clipping,n. an excerpt cut from a newspaper or magazine
mashed,"v to compress with violence, out of natural shape or condition
v talk or behave amorously, without serious intentions
v reduce to small pieces or particles by pounding or abrading"
clinician,n. a practitioner (of medicine or psychology) who does clinical work instead of laboratory experiments
styling,"v designate by an identifying term
v make consistent with a certain fashion or style
v make consistent with certain rules of style"
mantra,"n. a commonly repeated word or phrase
n. (Sanskrit) literally a `sacred utterance' in Vedism; one of a collection of orally transmitted poetic hymns"
pickle,"n. vegetables (especially cucumbers) preserved in brine or vinegar
v. preserve in a pickling liquid"
immensely,r to an exceedingly great extent or degree
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
watchdog,"n. a guardian or defender against theft or illegal practices or waste
n. a dog trained to guard property"
stationary,"s. standing still
s. not capable of being moved"
imagined,"v form a mental image of something that is not present or that is not the case
v expect, believe, or suppose"
palpable,"a. capable of being perceived; especially capable of being handled or touched or felt
s. can be felt by palpation"
virgin,"n. a person who has never had sex
s. being used or worked for the first time"
periphery,n. the outside boundary or surface of something
cosmetics,n a toiletry designed to beautify the body
continual,"a. occurring without interruption; chiefly restricted to what recurs regularly or frequently in a prolonged and closely spaced series
s. `continual' (meaning seemingly uninterrupted) is often used interchangeably with `continuous' (meaning without interruption)"
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
pitching,n. (baseball) playing the position of pitcher on a baseball team
imperfect,a. not perfect; defective or inadequate
rectangle,n. a parallelogram with four right angles
close,"v. move so that an opening or passage is obstructed; make shut
v. become closed
v. finish or terminate (meetings, speeches, etc.)
v. complete a business deal, negotiation, or an agreement"
whim,"n a sudden desire
n an odd or fanciful or capricious idea"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
ridicule,"n. language or behavior intended to mock or humiliate
v. subject to laughter or ridicule"
engaging,s. attracting or delighting
mobilization,"n. act of assembling and putting into readiness for war or other emergency: ""mobilization of the troops""
n. act of marshaling and organizing and making ready for use or action"
statesman,n. a man who is a respected leader in national or international affairs
Marxist,"n. an advocate of Marxism
a. following the ideas of Marx and Engels"
DJ,"n a person who announces and plays popular recorded music
v comment on music to be played"
denim,n. a coarse durable twill-weave cotton fabric
comparatively,r in a relative manner; by comparison to something else
angular,"a. measured by an angle or by the rate of change of an angle
a. having angles or an angular shape"
villa,"n. Mexican revolutionary leader (1877-1923)
n. detached or semidetached suburban house
n. country house in ancient Rome consisting of residential quarters and farm buildings around a courtyard
n. pretentious and luxurious country residence with extensive grounds"
proactive,"a. descriptive of any event or stimulus or process that has an effect on events or stimuli or processes that occur subsequently
s. (of a policy or person or action) controlling a situation by causing something to happen rather than waiting to respond to it after it happens"
pardon,"n. a warrant granting release from punishment for an offense
v. grant a pardon to"
ulcer,n. a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
two-hour,none
stimulating,a. rousing or quickening activity or the senses
hoof,"n. the foot of an ungulate mammal
n. the horny covering of the end of the foot in ungulate mammals
v. dance in a professional capacity"
invaluable,"s. having incalculable monetary, intellectual, or spiritual worth"
revert,"v. go back to a previous state
v. undergo reversion, as in a mutation"
spotted,"v catch sight of
v detect with the senses
v mar or impair with a flaw
v make a spot or mark onto
v become spotted
v mark with a spot or spots so as to allow easy recognition
s having spots or patches (small areas of contrasting color or texture)"
