alphabet,n. a character set that includes letters and is used to write a language
church,"n. one of the groups of Christians who have their own beliefs and forms of worship
n. a place for public (especially Christian) worship
n. the body of people who attend or belong to a particular local church
v. perform a special church rite or service for"
excuse me,none
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
late,"a. being or occurring at an advanced period of time or after a usual or expected time
s. of the immediate past or just previous to the present time
s. having died recently
a. of a later stage in the development of a language or literature; used especially of dead languages"
left,"n. location near or direction toward the left side; i.e. the side to the north when a person or object faces east
n. those who support varying degrees of social or political or economic change designed to promote the public welfare
n. the hand that is on the left side of the body
n. a turn toward the side of the body that is on the north when the person is facing east"
museum,n. a depository for collecting and displaying objects having scientific or historical or artistic value
neighbour,"n a person who lives (or is located) near another
n a nearby object of the same kind
v live or be located as a neighbor
v be located near or adjacent to"
next,r. at the time or occasion immediately following
next to,none
on,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
past,"n. the time that has elapsed
n. a earlier period in someone's life (especially one that they have reason to keep secret)
n. a verb tense that expresses actions or states in the past
a. earlier than the present time; no longer current"
police station,none
post office,n. See under 4th Post.
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
side,"n. a place within a region identified relative to a center or reference location
n. one of two or more contesting groups
n. either the left or right half of a body
n. a surface forming part of the outside of an object"
straight,"n. a poker hand with 5 consecutive cards (regardless of suit)
s. successive (without a break)
a. having no deviations
a. (of hair) having no waves or curls"
tell,"n. a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
v. let something be known
v. narrate or give a detailed account of
v. discern or comprehend"
tourist office,none
town,"n. an urban area with a fixed boundary that is smaller than a city
n. the people living in a municipality smaller than a city
n. United States architect who was noted for his design and construction of truss bridges (1784-1844)"
train station,none
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
badly,"r. to a severe or serious degree
r. evilly or wickedly
r. in a disobedient or naughty way
r. with great intensity (`bad' is a nonstandard variant for `badly')"
blood,"n. the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets
n. temperament or disposition
n. people viewed as members of a group
v. smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill"
boat,"n. a small vessel for travel on water
v. ride in a boat on water"
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
Children's Day,none
city,"n. a large and densely populated urban area; may include several independent administrative districts
n. an incorporated administrative district established by state charter
n. people living in a large densely populated municipality"
clear,"n. the state of being free of suspicion
v. make a way or path by removing objects
v. remove
v. be debited and credited to the proper bank accounts"
close,"v. move so that an opening or passage is obstructed; make shut
v. become closed
v. finish or terminate (meetings, speeches, etc.)
v. complete a business deal, negotiation, or an agreement"
cloudy,"s. lacking definite form or limits
a. full of or covered with clouds
s. (of liquids) clouded as with sediment"
come along,none
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
hurt,"v. give trouble or pain to
v. cause damage or affect negatively
v. hurt the feelings of
v. feel physical pain"
island,"n. a land mass (smaller than a continent) that is surrounded by water
n. a zone or area resembling an island"
jet-ski,none
most,"a. (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
a. the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree
r. used to form the superlative
r. very"
nearby,"s. close at hand
r. not far away in relative terms"
pass by,none
rain,"n. water falling in drops from vapor condensed in the atmosphere
n. drops of fresh water that fall as precipitation from clouds
n. anything happening rapidly or in quick successive
v. precipitate as rain"
rock,"n. a lump or mass of hard consolidated mineral matter
n. material consisting of the aggregate of minerals like those making up the Earth's crust
n. United States gynecologist and devout Catholic who conducted the first clinical trials of the oral contraceptive pill (1890-1984)
n. (figurative) someone who is strong and stable and dependable"
sand,"n. a loose material consisting of grains of rock or coral
n. French writer known for works concerning women's rights and independence (1804-1876)"
snorkel,"n. breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface; allows swimmer to breathe while face down in the water
n. air passage provided by a retractable device containing intake and exhaust pipes; permits a submarine to stay submerged for extended periods of time
v. dive with a snorkel"
snorkelling,none
starfish,n. echinoderms characterized by five arms extending from a central disk
sun,"n. the star that is the source of light and heat for the planets in the solar system
n. a person considered as a source of warmth or energy or glory etc
n. any star around which a planetary system revolves
v. expose one's body to the sun"
sunny,s bright and pleasant; promoting a feeling of cheer
too,"r to a degree exceeding normal or proper limits
r in addition"
tourist,n. someone who travels for pleasure
windy,"s. resembling the wind in speed, force, or variability"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
afraid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness"
age,"n. how long something has existed
n. a time of life (usually defined in years) at which some particular qualification or power arises
v. begin to seem older; get older
v. make older"
ago,"s. gone by; or in the past
r. in the past"
alone,"s. isolated from others
s. lacking companions or companionship
s. exclusive of anyone or anything else
s. radically distinctive and without equal"
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
be afraid of,none
boot,"n. footwear that covers the whole foot and lower leg
n. British term for the luggage compartment in a car
n. protective casing for something that resembles a leg
n. an instrument of torture that is used to heat or crush the foot and leg"
born to,none
cactus,n. any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
cowboy hat,none
dark,"n. absence of light or illumination
n. an unenlightened state
a. devoid of or deficient in light or brightness; shadowed or black
a. (used of color) having a dark hue"
good at,none
ground,"n. a position to be won or defended in battle (or as if in battle)
n. a relatively homogeneous percept extending back of the figure on which attention is focused
n. a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)
n. (art) the surface (as a wall or canvas) prepared to take the paint for a painting"
Hands up!,none
hero,"n. a man distinguished by exceptional courage and nobility and strength
n. the principal character in a play or movie or novel or poem
n. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
n. (classical mythology) a being of great strength and courage celebrated for bold exploits; often the offspring of a mortal and a god"
horror film,none
hot,"a. used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
s. characterized by violent and forceful activity or movement; very intense
a. extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm
s. (color) bold and intense"
last,"n. the last or lowest in an ordering or series
n. a person's dying act; the final thing a person can do
n. a unit of weight equal to 4,000 pounds
n. a unit of capacity for grain equal to 80 bushels"
pancake,n. a flat cake of thin batter fried on both sides on a griddle
proud,a. feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
ride,"n. a mechanical device that you ride for amusement or excitement
v. sit and travel on the back of animal, usually while controlling its motions
v. be carried or travel on or in a vehicle
v. continue undisturbed and without interference"
robber,n. a thief who steals from someone by threatening violence
sheriff,n. the principal law-enforcement officer in a county
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
soup,"n. liquid food especially of meat or fish or vegetable stock often containing pieces of solid food
n. any composition having a consistency suggestive of soup
n. an unfortunate situation
v. dope (a racehorse)"
strong,"a. having strength or power greater than average or expected
s. not faint or feeble
s. of verbs not having standard (or regular) inflection
s. freshly made or left"
swimmer,"n. a trained athlete who participates in swimming meets
n. a person who travels through the water by swimming"
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
worry,"n. a strong feeling of anxiety
v. be worried, concerned, anxious, troubled, or uneasy
v. be concerned with
v. disturb the peace of mind of; afflict with mental agitation or distress"
build,"v. build or establish something abstract
v. improve the cleansing action of
v. order, supervise, or finance the construction of
v. give form to, according to a plan"
butter,"n. an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
n. a fighter who strikes the opponent with his head
v. spread butter on"
childish,s. indicating a lack of maturity
daughter,n. a female human offspring
drink,"n. a single serving of a beverage
n. the act of drinking alcoholic beverages to excess
n. any large deep body of water
v. take in liquids"
quite a lot,none
Really?,"r in accordance with truth or fact or reality
r in actual fact
r in fact (used as intensifiers or sentence modifiers)
r used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
sand castle,none
