abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
addictive,a. causing or characterized by addiction
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
adept,s. having or showing knowledge and skill and aptitude
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adherence,"n faithful support for a cause or political party or religion
n the property of sticking together (as of glue and wood) or the joining of surfaces of different composition"
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
adoption,"n. the act of accepting with approval; favorable reception
n. a legal proceeding that creates a parent-child relation between persons not related by blood; the adopted child is entitled to all privileges belonging to a natural child of the adoptive parents (including the right to inherit)"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
advertising,n. the business of drawing public attention to goods and services
advocacy,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
aerodynamic,a. of or relating to aerodynamics
affiliation,"n. a social or business relationship
n. the act of becoming formally connected or joined"
affirmative,"n. a reply of affirmation
a. affirming or giving assent
s. expecting the best"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
affordable,s that you have the financial means for
aftermath,n. the consequences of an event (especially a catastrophic event)
aggravate,"v make worse
v exasperate or irritate"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
aggression,"n. a disposition to behave aggressively
n. a feeling of hostility that arouses thoughts of attack
n. violent action that is hostile and usually unprovoked
n. the act of initiating hostilities"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
agrarian,s. relating to rural matters
ailment,n. an often persistent bodily disorder or disease; a cause for complaining
airliner,n. a commercial airplane that carries passengers
ale,n. a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
alga,n. primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
alignment,"n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
n. the act of adjusting or aligning the parts of a device in relation to each other"
allay,"v lessen the intensity of or calm
v satisfy (thirst)"
allege,v. report or maintain
allegiance,n. the loyalty that citizens owe to their country (or subjects to their sovereign)
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
allergy,n. hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
alleviate,"v provide physical relief, as from pain
v make easier"
alliance,"n. the state of being allied or confederated
n. a connection based on kinship or marriage or common interest
n. an organization of people (or countries) involved in a pact or treaty
n. a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim"
alligator,"n. leather made from alligator's hide
n. either of two amphibious reptiles related to crocodiles but with shorter broader snouts
v. crack and acquire the appearance of alligator hide, as from weathering or improper application; of paint and varnishes"
allocate,v. distribute according to a plan or set apart for a special purpose
allotment,"n. a share set aside for a specific purpose
n. the act of distributing by allotting or apportioning; distribution according to a plan"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
allude,v. make a more or less disguised reference to
alluvial,a. of or relating to alluvium
ally,"n. a friendly nation
n. an associate who provides cooperation or assistance
v. become an ally or associate, as by a treaty or marriage"
alpha,"n. the 1st letter of the Greek alphabet
n. the beginning of a series or sequence
s. first in order of importance"
alter,"v. make an alteration to
v. remove the ovaries of"
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
altruism,n. the quality of unselfish concern for the welfare of others
aluminum,n. a silvery ductile metallic element found primarily in bauxite
alumna,n a person who has received a degree from a school (high school or college or university)
alumnus,n. a person who has received a degree from a school (high school or college or university)
amalgam,"n. an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams
n. a combination or blend of diverse things"
amass,"v collect or gather
v get or gather together"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
amber,"n. a deep yellow color
n. a hard yellowish to brownish translucent fossil resin; used for jewelry
s. of a medium to dark brownish yellow color"
ambiguity,"n. an expression whose meaning cannot be determined from its context
n. unclearness by virtue of having more than one meaning"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
ambivalent,s. uncertain or unable to decide about what course to follow
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
amend,v. make amendments to
amenity,n pleasantness resulting from agreeable conditions
amino acid,none
amphitheater,"n. a sloping gallery with seats for spectators (as in an operating room or theater)
n. an oval large stadium with tiers of seats; an arena in which contests and spectacles are held"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
amplifier,n. electronic equipment that increases strength of signals passing through it
amplify,v. increase the volume of
amplitude,"n. (physics) the maximum displacement of a periodic wave
n. the property of copious abundance
n. greatness of magnitude"
anaerobic,"a. living or active in the absence of free oxygen
a. not aerobic"
analog,"n something having the property of being analogous to something else
a of a circuit or device having an output that is proportional to the input"
analogue,"n. something having the property of being analogous to something else
a. of a circuit or device having an output that is proportional to the input"
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
analytic,"a. using or subjected to a methodology using algebra and calculus
a. using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a. expressing a grammatical category by using two or more words rather than inflection"
analytical,"a using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a of a proposition that is necessarily true independent of fact or experience"
anatomical,"n an expression that relates to anatomy
a of or relating to the structure of the body
a of or relating to the branch of morphology that studies the structure of organisms"
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
ancestry,n. inherited properties shared with others of your bloodline
anecdotal,a. having the character of an anecdote
anemia,"n. a deficiency of red blood cells
n. a lack of vitality
n. genus of terrestrial or lithophytic ferns having pinnatifid fronds; chiefly of tropical America"
anesthesia,n. loss of bodily sensation with or without loss of consciousness
animate,"v. give new life or energy to
a. belonging to the class of nouns that denote living beings
a. endowed with animal life as distinguished from plant life"
animosity,n. a feeling of ill will arousing active hostility
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
anole,n small arboreal tropical American insectivorous lizards with the ability to change skin color
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
answerable,"s. capable of being answered
s. morally or legally responsible to a higher authority"
antagonism,"n. the relation between opposing principles or forces or factors
n. an actively expressed feeling of dislike and hostility
n. (biochemistry) interference in or inhibition of the physiological action of a chemical substance by another having a similar structure"
antedate,"v be earlier in time; go back further
v establish something as being earlier relative to something else"
anterior,"a. of or near the head end or toward the front plane of a body
s. earlier in time"
anthropologist,n. a social scientist who specializes in anthropology
antibiotic,"n. a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
a. of or relating to antibiotic drugs"
antibiotics,n a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections
antibody,"n. any of a large variety of proteins normally present in the body or produced in response to an antigen which it neutralizes, thus producing an immune response"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
antifreeze,n. a liquid added to the water in a cooling system to lower its freezing point
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
antiquity,"n. the historic period preceding the Middle Ages in Europe
n. an artifact surviving from the past"
antitrust,s of laws and regulations; designed to protect trade and commerce from unfair business practices
aperiodic,a. not recurring at regular intervals
apex,n. the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars
apiece,r to or from every one of two or more (considered individually)
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
apparel,n. clothing in general
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
appendicitis,n. inflammation of the vermiform appendix
appetite,n. a feeling of craving something
appliance,"n. a device or control that is very useful for a particular job
n. durable goods for home or office use"
applicable,s. capable of being applied; having relevance
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
apportion,"v distribute according to a plan or set apart for a special purpose
v give out as one's portion or share"
apprentice,"n. works for an expert to learn a trade
v. be or work as an apprentice"
apprenticeship,n. the position of apprentice
approbation,"n. official approval
n. official recognition or approval"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
appropriation,"n. money set aside (as by a legislature) for a specific purpose
n. a deliberate act of acquisition of something, often without the permission of the owner"
approval,"n. a feeling of liking something or someone good
n. acceptance as satisfactory
n. a message expressing a favorable opinion"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
aquarium,n. a tank or pool or bowl filled with water for keeping live fish and underwater animals
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
arable,s. (of farmland) capable of being farmed productively
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arboreal,"a. inhabiting or frequenting trees
s. resembling a tree in form and branching structure"
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
archaeological,a. related to or dealing with or devoted to archaeology
archaeologist,n an anthropologist who studies prehistoric people and their culture
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
archenemy,"n. A principal enemy. Specifically, Satan, the grand
   adversary of mankind."
architect,n. someone who creates plans to be used in making something (such as buildings)
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
aristocracy,"n a privileged class holding hereditary titles
n the most powerful members of a society"
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
arrest,n. the state of inactivity following an interruption
artery,"n. a blood vessel that carries blood from the heart to the body
n. a major thoroughfare that bears important traffic"
arthritis,n. inflammation of a joint or joints
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
artifact,n. a man-made object taken as a whole
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
artisan,n a skilled worker who practices some trade or handicraft
ascending,a. moving or going or growing upward
ascribe,v attribute or credit to
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
aspen,n. any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
aspersion,"n. a disparaging remark
n. an abusive attack on a person's character or good name
n. the act of sprinkling water in baptism (rare)"
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
assemble,"v. create by putting components or members together
v. get people together"
assembler,n. a program to convert assembly language into machine language
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
assertion,n. a declaration that is made emphatically (as if no supporting evidence were necessary)
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
asset,n. a useful or valuable quality
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
assist,"n. (sports) the act of enabling another player to make a good play
v. act as an assistant in a subordinate or supportive function"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
association,"n. a formal organization of people or groups of people
n. the act of consorting with or joining with others
n. the state of being connected together as in memory or imagination
n. the process of bringing ideas or events together in memory or imagination"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
assumption,"n. a hypothesis that is taken for granted
n. the act of taking possession of or power over something
n. celebration in the Roman Catholic Church of the Virgin Mary's being taken up into heaven when her earthly life ended; corresponds to the Dormition in the Eastern Orthodox Church
n. (Christianity) the taking up of the body and soul of the Virgin Mary when her earthly life had ended"
asteroid,"n. any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)
s. shaped like a star"
asthma,n. respiratory disorder characterized by wheezing; usually of allergic origin
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
attempt,n. earnest and conscientious activity intended to do or accomplish something
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
attendee,n a person who is present and participates in a meeting
attorney,n a professional person authorized to practice law; conducts lawsuits or gives legal advice
attraction,"n. the force by which one object attracts another
n. an entertainment that is offered to the public
n. the quality of arousing interest; being attractive or something that attracts
n. a characteristic that provides pleasure and attracts"
attributable,a. capable of being attributed
attribute,n. an abstraction belonging to or characteristic of an entity
attrition,"n. sorrow for sin arising from fear of damnation
n. a wearing down to weaken or destroy
n. the act of rubbing together; wearing something down by friction"
auction,"n. a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
n. the public sale of something to the highest bidder
v. sell at an auction"
audiophile,none
audit,"n. a methodical examination or review of a condition or situation
v. examine carefully for accuracy with the intent of verification
v. attend academic courses without getting credit"
auditorium,n. the area of a theater or concert hall where the audience sits
aura,"n. a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure
n. an indication of radiant light drawn around the head of a saint"
aurora,"n. an atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force
n. (Roman mythology) goddess of the dawn; counterpart of Greek Eos"
austere,"s. severely simple
s. of a stern or strict bearing or demeanor; forbidding in aspect"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
authenticate,v. establish the authenticity of something
authoritative,"s. having authority or ascendancy or influence
s. of recognized authority or excellence
s. sanctioned by established authority"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
authorize,v. grant authorization or clearance for
autobiography,n. a biography of yourself
automate,v make automatic or control or operate automatically
automatic,"a. operating with minimal human intervention; independent of external control
s. resembling the unthinking functioning of a machine
s. without volition or conscious control"
automation,"n. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware
n. the condition of being automatically operated or controlled
n. equipment used to achieve automatic control or operation"
automobile,v. travel in an automobile
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
availability,n the quality of being at hand when needed
avalanche,"n. a slide of large masses of snow and ice and mud down a mountain
n. a sudden appearance of an overwhelming number of things
v. gather into a huge mass and roll down a mountain, of snow"
aversion,n. the act of turning yourself (or your gaze) away
avian,a. pertaining to or characteristic of birds
aviation,"n. the aggregation of a country's military aircraft
n. the operation of aircraft to provide transportation
n. the art of operating aircraft"
aviator,n. someone who operates an aircraft
avidly,r. in an avid manner
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
backwater,"n. a body of water that was created by a flood or tide or by being held or forced back by a dam
n. a place or condition in which no development or progress is occurring"
bacterium,n (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
balcony,"n. an upper floor projecting from the rear over the main floor in an auditorium
n. a platform projecting from the wall of a building and surrounded by a balustrade or railing or parapet"
ballistic,a. relating to or characteristic of the motion of objects moving under their own momentum and the force of gravity
bankruptcy,"n. a state of complete lack of some abstract property
n. inability to discharge all your debts as they come due
n. a legal process intended to insure equality among the creditors of a corporation declared to be insolvent"
bar,"n. a counter where you can obtain food or drink
n. a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon
n. an obstruction (usually metal) placed at the top of a goal
n. (meteorology) a unit of pressure equal to a million dynes per square centimeter"
barb,"n. the pointed part of barbed wire
n. a subsidiary point facing opposite from the main point that makes an arrowhead or spear hard to remove
n. one of the parallel filaments projecting from the main shaft of a feather"
bark,"n. tough protective covering of the woody stems and roots of trees and other woody plants
n. a noise resembling the bark of a dog
n. a sailing ship with 3 (or more) masts
n. the sound made by a dog"
barracks,"n a building or group of buildings used to house military personnel
v lodge in barracks
v spur on or encourage especially by cheers and shouts
v laugh at with contempt and derision"
barrel,"n. a tube through which a bullet travels when a gun is fired
n. a cylindrical container that holds liquids
n. a bulging cylindrical shape; hollow with flat ends
n. the quantity that a barrel (of any size) will hold"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
batch,"n. all the loaves of bread baked at the same time
n. (often followed by `of') a large number or amount or extent
n. a collection of things or persons to be handled together
v. batch together; assemble or process as a batch"
battalion,"n. an army unit usually consisting of a headquarters and three or more companies
n. a large indefinite number"
bead,"n. a small ball with a hole through the middle
v. form into beads, as of water or sweat, for example
v. decorate by sewing beads onto
v. string together like beads"
beam,"n. long thick piece of wood or metal or concrete, etc., used in construction
n. a group of nearly parallel lines of electromagnetic radiation
n. a column of light (as from a beacon)
n. (nautical) breadth amidships"
bearer,n. a messenger who bears or presents
beckon,"v. signal with the hands or nod
v. appear inviting
v. summon with a wave, nod, or some other gesture"
beehive,"n. any workplace where people are very busy
n. a structure that provides a natural habitation for bees; as in a hollow tree
n. a hairdo resembling a beehive"
behavioral,a. of or relating to behavior
bellows,n. a mechanical device that blows a strong current of air; used to make a fire burn more fiercely or to sound a musical instrument
benchmark,"n. a standard by which something can be measured or judged
n. a surveyor's mark on a permanent object of predetermined position and elevation used as a reference point"
benefactor,n. a person who helps people or institutions (especially with financial help)
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
benevolence,"n. disposition to do good
n. an inclination to do kind or charitable acts
n. an act intending or showing kindness and good will"
bestow,v. give as a gift
betrayal,n. the quality of aiding an enemy
better-off,none
beverage,n. any liquid suitable for drinking
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
bicker,n. a quarrel about petty points
bid,"n. an attempt to get something
n. a formal proposal to buy at a specified price
n. (bridge) the number of tricks a bridge player is willing to contract to make
v. ask for or request earnestly"
bifurcation,"n. a bifurcating branch (one or both of them)
n. the place where something divides into two branches
n. the act of splitting into two branches"
bilateral,"s. having identical parts on each side of an axis
s. affecting or undertaken by two parties
s. having two sides or parts"
billing,"n request for payment of a debt
v demand payment
v advertise especially by posters or placards
v publicize or announce by placards"
bind,"n. something that hinders as if with bonds
v. create social or emotional ties
v. make fast; tie or secure, with or as if with a rope
v. wrap around with something so as to cover or enclose"
biodegradable,s. capable of being decomposed by e.g. bacteria
bioengineer,none
biography,n. an account of the series of events making up a person's life
biomedical,a. relating to the activities and applications of science to clinical medicine
biophysicist,n. a physicist who applies the methods of physics to biology
biosphere,n. the regions of the surface and atmosphere of the Earth (or other planet) where living organisms exist
bisect,v. cut in half or cut in two
bizarre,s. conspicuously or grossly unconventional or unusual
blackout,"n. a suspension of radio or tv broadcasting
n. darkness resulting from the extinction of lights (as in a city invisible to enemy aircraft)
n. the failure of electric power for a general region
n. a momentary loss of consciousness"
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
blast,"n. a very long fly ball
n. an explosion (as of dynamite)
v. make a strident sound
v. use explosives on"
bloc,n. a group of countries in special alliance
block,"n. a solid piece of something (usually having flat rectangular sides)
n. a rectangular area in a city surrounded by streets and usually containing several buildings
n. a three-dimensional shape with six square or rectangular sides
n. a number or quantity of related things dealt with as a unit"
blot,"n. an act that brings discredit to the person who does it
v. dry (ink) with blotting paper"
bluegrass,"n. any of various grasses of the genus Poa
n. an area in central Kentucky noted for it bluegrass and thoroughbred horses
n. a type of country music played at a rapid tempo on banjos and guitars"
bluntly,r in a blunt direct manner
boarder,"n. someone who forces their way aboard ship
n. a pupil who lives at school during term time"
boardinghouse,n a private house that provides accommodations and meals for paying guests
bold,"a. fearless and daring
s. clear and distinct"
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
bolt,"n. a sliding bar in a breech-loading firearm that ejects an empty cartridge and replaces it and closes the breech
n. the part of a lock that is engaged or withdrawn with a key
n. a roll of cloth or wallpaper of a definite length
n. a screw that screws into a nut to form a fastener"
bombard,"v. throw bombs at or attack with bombs
v. address with continuously or persistently, as if with a barrage
v. direct high energy particles or radiation against"
bona fide," In or with good faith; without fraud or deceit; real or
   really; actual or actually; genuine or genuinely; as, you must proceed
   bona fide; a bona fide purchaser or transaction."
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
