unidimensional,a. relating to a single dimension or aspect; having no depth or scope
impertinent,s. characterized by a lightly pert and exuberant quality
byproduct,"n a secondary and sometimes unexpected consequence
n a product made during the manufacture of something else"
virtuoso,n. a musician who is a consummate master of technique and artistry
dismember,"v. separate the limbs from the body
v. divide into pieces"
strive,v. to exert much effort or energy
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
temporal,"s. not eternal
a. of or relating to or limited by time
a. of or relating to the temples (the sides of the skull behind the orbit)
s. of this earth or world"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
covet,"v. wish, long, or crave for (something, especially the property of another person)"
tenable,s. based on sound reasoning or evidence
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
compassion,"n. a deep awareness of and sympathy for another's suffering
n. the humane quality of understanding the suffering of others and wanting to do something about it"
fortuitous,s. occurring by happy chance
glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
solicitude,n. a feeling of excessive concern
ill-will," See under Ill, a."
flamboyant,s. marked by ostentation but often tasteless
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
obsessed,s. influenced or controlled by a powerful force such as a strong emotion
whimsical,s determined by chance or impulse or whim rather than by necessity or reason
gouge,"n. and edge tool with a blade like a trough for cutting channels or grooves
n. the act of gouging
v. force with the thumb"
jocular,"s characterized by jokes and good humor
r with humor"
reticent,"s. temperamentally disinclined to talk
s. reluctant to draw attention to yourself"
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
ascent,n. an upward slope or grade (as in a road)
discernible,"a. perceptible by the senses or intellect
s. capable of being perceived clearly
s. capable of being seen or noticed"
unwieldy,"a. difficult to use or handle or manage because of size or weight or shape
s. difficult to work or manipulate"
coterie,n an exclusive circle of people with a common purpose
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
burdensome,"s. not easily borne; wearing; I only had to greet the guests"""
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
seriousness,"n. the quality of arousing fear or distress
n. the trait of being serious"
fascinate,"v. to render motionless, as with a fixed stare or by arousing terror or awe"
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
apropos,a. of an appropriate or pertinent nature
taxing,"v levy a tax on
v set or determine the amount of (a payment such as a fine)
v use to the limit
v make a charge against or accuse
s not easily borne; wearing; I only had to greet the guests"""
perfidious,s tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans
eviscerate,"v. remove the contents of
v. take away a vital or essential part of
s. having been disembowelled"
congruent,a. coinciding when superimposed
compelling,"s. driving or forcing
s. tending to persuade by forcefulness of argument"
brusqueness,n an abrupt discourteous manner
commensurate,a. corresponding in size or degree or extent
contemplation,"n. a long and thoughtful observation
n. a calm, lengthy, intent consideration"
insider,n. an officer of a corporation or others who have access to private information about the corporation's operations
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
exalted,s. of high moral or intellectual value; elevated in nature or style
exhale,"v. expel air
v. give out (breath or an odor)"
munificence,n. liberality in bestowing gifts; extremely liberal and generous of spirit
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
ascribe,v attribute or credit to
inherently,r. in an inherent manner
recapitulate,"v. summarize briefly
v. repeat stages of evolutionary development during the embryonic phase of life"
eulogistic,s formally expressing praise
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
strenuous,s. characterized by or performed with much energy or force
iconoclastic,"s. characterized by attack on established beliefs or institutions
s. destructive of images used in religious worship; said of religions, such as Islam, in which the representation of living things is prohibited"
nocturnal,"a. belonging to or active during the night
a. of or relating to or occurring in the night"
hilarity,n. great merriment
impermissible,"a. not permitted
s. not allowable"
buoyant,"s. tending to float on a liquid or rise in air or gas
s. characterized by liveliness and lightheartedness"
synoptic,"a. presenting a summary or general view of a whole
s. presenting or taking the same point of view; used especially with regard to the first three gospels of the New Testament"
infiltrate,"v. cause (a liquid) to enter by penetrating the interstices
v. enter a group or organization in order to spy on the members
v. pass into or through by filtering or permeating
v. pass through an enemy line; in a military conflict"
instantly,"r without delay or hesitation; with no time intervening
r without any delay"
misapprehension,n an understanding of something that is not correct
prescient,s. perceiving the significance of events before they occur
shortrange,none
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
incoherent,"a. without logical or meaningful connection
a. (physics) of waves having no stable definite or stable phase relation
s. unable to express yourself clearly or fluently"
unbridgeable,a. not bridgeable
imperturbable,s. not easily perturbed or excited or upset; marked by extreme calm and composure
eventual,s. expected to follow in the indefinite future from causes already operating
cacophonous,a. having an unpleasant sound
shoal,"n. a sandbank in a stretch of water that is visible at low tide
n. a stretch of shallow water"
hostility,"n. a hostile (very unfriendly) disposition
n. a state of deep-seated ill-will
n. the feeling of a hostile person"
evanescent,s. tending to vanish like vapor
reinstate,v. restore to the previous state or rank
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
artless,"a. simple and natural; without cunning or deceit
s. showing lack of art
s. (of persons) lacking art or knowledge"
vogue,"n. the popular taste at a given time
n. a current state of general acceptance and use"
identifiable,a. capable of being identified
underrepresented,none
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
cite,"n a short note recognizing a source of information or of a quoted passage
v make reference to
v commend
v refer to
v repeat a passage from
v refer to for illustration or proof
v advance evidence for
v call in an official matter, such as to attend court"
fast,"n. abstaining from food
v. abstain from certain foods, as for religious or medical reasons
v. abstain from eating
a. acting or moving or capable of acting or moving quickly"
discourage,v. deprive of courage or hope; take away hope from; cause to feel discouraged
somber,s. grave or even gloomy in character
bootless,s. unproductive of success
bastion,"n. a group that defends a principle
n. a stronghold into which people could go for shelter during a battle
n. projecting part of a rampart or other fortification"
politically,"r. with regard to social relationships involving authority
r. with regard to government"
resign,v. accept as inevitable
rarefy,"v. lessen the density or solidity of
v. make more subtle or refined
v. weaken the consistency of (a chemical substance)"
flaunt,"n. the act of displaying something ostentatiously
v. display proudly; act ostentatiously or pretentiously"
hover,"v. be undecided about something; waver between conflicting positions or courses of action
v. move to and fro
v. hang in the air; fly or be suspended above"
defy,"v. resist or confront with resistance
v. elude, especially in a baffling way
v. challenge"
diehard,n one who adheres to traditional views
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
sanguine,"n. a blood-red color
s. confidently optimistic and cheerful"
blithe,"s. lacking or showing a lack of due concern
s. carefree and happy and lighthearted"
credible,"a. capable of being believed
s. (a common but incorrect usage where `credulous' would be appropriate) credulous
s. appearing to merit belief or acceptance"
congruity,n. the quality of agreeing; being suitable and appropriate
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
criss-cross,"n. a marking that consists of lines that cross each other
v. cross in a pattern, often random
v. mark with or consist of a pattern of crossed lines
v. mark with a pattern of crossing lines"
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
morose,s showing a brooding ill humor
persuasive,a. intended or having the power to induce action or belief
spurious,"s plausible but false
s born out of wedlock
s intended to deceive"
prudent,a. careful and sensible; marked by sound judgment
empiricism,"n. (philosophy) the doctrine that knowledge derives from experience
n. the application of empirical methods in any art or science"
soothe,v. cause to feel better
sedative,n. a drug that reduces excitability and calms a person
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
irrational,"a. not consistent with or using reason
a. real but not expressible as the quotient of two integers"
sanctimonious,s excessively or hypocritically pious
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
span,"n. the complete duration of something
n. the distance or interval between two points
n. a unit of length based on the width of the expanded human hand (usually taken as 9 inches)"
plethora,n extreme excess
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
ruin,"n. an irrecoverable state of devastation and destruction
n. a ruined building
n. an event that results in destruction
v. destroy or cause to fail"
petulant,s easily irritated or annoyed
spinal,a. of or relating to the spine or spinal cord
intent,n. the intended meaning of a communication
tangential,a. of or relating to or acting along or in the direction of a tangent
dossier,n. a collection of papers containing detailed information about a particular person or subject (usually a person's record)
ulterior,s. beyond or outside an area of immediate interest; remote
resurge,v. rise again
antiseptic,"n. a substance that destroys micro-organisms that carry disease without harming body tissues
a. thoroughly clean and free of or destructive to disease-causing organisms
s. clean and honest
s. freeing from error or corruption"
squirt,"v. cause to come out in a squirt
v. wet with a spurt of liquid"
steadiness,"n. freedom from wavering or indecision; constancy of resolve or conduct
n. the quality of being steady or securely and immovably fixed in place
n. the quality of being steady--regular and unvarying"
improvised,s. done or made using whatever is available
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
inflamed,"s. resulting from inflammation; hot and swollen and reddened
s. adorned with tongues of flame"
conciliatory,a. intended to placate
inedible,a. not suitable for food
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
chip,"n. a triangular wooden float attached to the end of a log line
n. a piece of dried bovine dung
n. a thin crisp slice of potato fried in deep fat
n. a small disk-shaped counter used to represent money when gambling"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
universal,"n. (linguistics) a grammatical rule (or other linguistic feature) that is found in all languages
n. (logic) a proposition that asserts something of all members of a class
n. a behavioral convention or pattern characteristic of all members of a particular culture or of all human beings
s. applicable to or common to all members of a group or set"
igneous,"a. produced under conditions involving intense heat; especially from molten magma""
a. produced by the action of fire or intense heat"
nonentity,"n the state of not existing
n a person of no influence"
opposed,a. being in opposition or having an opponent
reportorial,"a. Of or pertaining to a reporter or reporters; as, the
   reportorial staff of a newspaper."
self-sacrifice,n acting with less concern for yourself than for the success of the joint activity
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
prodigal,n. a recklessly extravagant consumer
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
ill-paying,none
multicellular,s. consisting of many cells
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
warranted,"v show to be reasonable or provide adequate ground for
v stand behind and guarantee the quality, accuracy, or condition of"
particularity,n. the quality of being particular and pertaining to a specific case or instance
circulation,"n. the dissemination of copies of periodicals (as newspapers or magazines)
n. movement through a circuit; especially the movement of blood through the heart and blood vessels
n. (library science) the count of books that are loaned by a library over a specified period
n. number of copies of a newspaper or magazine that are sold"
arboreal,"a. inhabiting or frequenting trees
s. resembling a tree in form and branching structure"
resignation,"n. acceptance of despair
n. the act of giving up (a claim or office or possession etc.)
n. a formal document giving notice of your intention to resign"
mischievous,s. deliberately causing harm or damage
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
quiescence,n. quiet and inactive restfulness
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
deficient,"s. inadequate in amount or degree
s. falling short of some prescribed norm"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
prerogative,n. a right reserved exclusively by a particular person or group (especially a hereditary or official right)
tasteless,"a. lacking flavor
a. lacking aesthetic or social taste"
balm,n. any of various aromatic resinous substances used for healing and soothing
aspen,n. any of several trees of the genus Populus having leaves on flattened stalks so that they flutter in the lightest wind
plumb,"v. measure the depth of something
v. weight with lead
v. examine thoroughly and in great depth
v. adjust with a plumb line so as to make vertical"
farce,"n. a comedy characterized by broad satire and improbable situations
v. fill with a stuffing while cooking"
unwitting,a. not aware or knowing
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
efficacious,a. marked by qualities giving the power to produce an intended effect
infant,n a very young child (birth to 1 year) who has not yet begun to walk or talk
monolith,n. a single great stone (often in the form of a column or obelisk)
applicability,n. relevance by virtue of being applicable to the matter at hand
disjunctive,a. serving or tending to divide or separate
foodstuff,n. a substance that can be used or prepared for use as food
exemplar,n. something to be imitated
fractious,"s. stubbornly resistant to authority or control
s. unpredictably difficult in operation; likely to be troublesome"
sedimentary,a. resembling or containing or formed by the accumulation of sediment
condescending,"v behave in a patronizing and condescending manner
v do something that one considers to be below one's dignity
v debase oneself morally, act in an undignified, unworthy, or dishonorable way
v treat condescendingly
s (used of behavior or attitude) characteristic of those who treat others with condescension"
fetid,s. offensively malodorous
aggravate,"v make worse
v exasperate or irritate"
cognitive,a. of or being or relating to or involving cognition
idealism,"n. (philosophy) the philosophical theory that ideas are the only reality
n. impracticality by virtue of thinking of things in their ideal form rather than as they really are"
devastate,v. overwhelm or overpower
self-deprecating,s conscious of your own shortcomings
inexhaustible,"s. that cannot be entirely consumed or used up
a. incapable of being entirely consumed or used up"
protozoan,n. any of diverse minute acellular or unicellular organisms usually nonphotosynthetic
assail,v. attack someone physically or emotionally
inviolate,"s (of a woman) having the hymen unbroken
s must be kept sacred"
periphery,n. the outside boundary or surface of something
recompose,"v. t. To compose again; to form anew; to put together again
   or repeatedly.
v. t. To restore to composure; to quiet anew; to
   tranquilize; as, to recompose the mind."
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
replenish,v. fill something that had previously been emptied
jubilant,"s joyful and proud especially because of triumph or success
s full of high-spirited delight"
appreciative,"s. feeling or expressive of gratitude
s. having or showing appreciation or a favorable critical judgment or opinion"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
irascible,"s quickly aroused to anger
s characterized by anger"
caustic,"n. any chemical substance that burns or destroys living tissue
s. of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
abrasive,"n. a substance that abrades or wears down
s. causing abrasion"
intricacy,n marked by elaborately complex detail
recurrent,s recurring again and again
unwarranted,"s incapable of being justified or explained
s without a basis in reason or fact
s lacking justification or authorization"
traceable,"s. (usually followed by `to') able to be traced to
a. capable of being traced or tracked"
acerbic,"s sour or bitter in taste
s harsh or corrosive in tone"
inadvisable,"a. not prudent or wise; not recommended
s. not advisable"
untenable,s (of theories etc) incapable of being defended or justified
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
cognizant,a (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
dissect,v. cut open or cut apart
ranching,n. farming for the raising of livestock (particularly cattle)
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
poignant,s. keenly distressing to the mind or feelings
convex,a. curving or bulging outward
unfailing,"s. always able to supply more
s. unceasing"
complacency,n. the feeling you have when you are satisfied with yourself
discriminatory,"s. containing or implying a slight or showing prejudice
s. manifesting partiality"
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
reconcile,v. come to terms
unsurpassed,s not capable of being improved on
climax,"n. the highest point of anything conceived of as growing or developing or unfolding
n. the decisive moment in a novel or play
n. the most severe stage of a disease
n. arrangement of clauses in ascending order of forcefulness"
potable,"n any liquid suitable for drinking
a suitable for drinking"
disprove,v. prove to be false
veer,v. shift to a clockwise direction
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
stymie,"n. a situation in golf where an opponent's ball blocks the line between your ball and the hole
n. a thwarting and distressing situation"
timorous,s timid by nature or revealing timidity
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
supercilious,s. expressive of contempt
idiosyncracy,none
florid,"s elaborately or excessively ornamented
s inclined to a healthy reddish color often associated with outdoor life"
slipperiness,"n a slippery smoothness
n the quality of being a slippery rascal"
exasperation,n. actions that cause great irritation (or even anger)
promptness,n. the characteristic of doing things without delay
salutary,s tending to promote physical well-being; beneficial to health
myriad,n. a large indefinite number
distinctive,s. of a feature that helps to distinguish a person or thing
introspective,a. given to examining own sensory and perceptual experiences
incorruptible,s. incapable of being morally corrupted
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
considerable,a. large or relatively large in number or amount or extent or degree
skimp,v. work hastily or carelessly; deal with inadequately and superficially
enthral,v hold spellbound
receptive,"s. open to arguments, ideas, or change
a. ready or willing to receive favorably
s. able to absorb liquid (not repellent)"
blindness,n. the state of being blind or lacking sight
constitute,v. form or compose
religion,"n. a strong belief in a supernatural power or powers that control human destiny
n. an institution to express belief in a divine power"
dogged,s. stubbornly unyielding
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
demobilize,"v. release from military service or remove from the active list of military service
v. retire from military service"
avocational,a. of or involved in an avocation
rhapsodic,s feeling great rapture or delight
definite,"a. precise; explicit and clearly defined
s. known for certain"
vindictive,"s disposed to seek revenge or intended for revenge
s showing malicious ill will and a desire to hurt; motivated by spite"
equitable,a. fair to all parties as dictated by reason and conscience
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
hedonist,n. someone motivated by desires for sensual pleasures
justify,"v. show to be reasonable or provide adequate ground for
v. show to be right by providing justification or proof
v. adjust the spaces between words"
ironic,s. characterized by often poignant difference or incongruity between what is expected and what actually is
domineer,v rule or exercise power over (somebody) in a cruel and autocratic manner
reluctance,"n. (physics) opposition to magnetic flux (analogous to electric resistance)
n. a certain degree of unwillingness"
terse,"s brief and to the point; effectively cut short; `yes'"""
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
glossy,"n. a photograph that is printed on smooth shiny paper
s. (of paper and fabric and leather) having a surface made smooth and glossy especially by pressing between rollers
s. superficially attractive and stylish; suggesting wealth or expense"
unlikely,a. has little chance of being the case or coming about
transcendent,"s. exceeding or surpassing usual limits especially in excellence
s. beyond and outside the ordinary range of human experience or understanding"
feign,v. make believe with the intent to deceive
blissful,s. completely happy and contented
recondite,s difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
culpable,s deserving blame or censure as being wrong or evil or injurious
tactile,s. producing a sensation of touch
unpretentious,a. lacking pretension or affectation
prig,n a person regarded as arrogant and annoying
pomposity,n lack of elegance as a consequence of being pompous and puffed up with vanity
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
overpower,v. overcome by superior force
viscous,"s having a relatively high resistance to flow
s having the sticky properties of an adhesive"
horrific,"s grossly offensive to decency or morality; causing horror
s causing fear or dread or terror"
venerate,v regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of
ethos,n. (anthropology) the distinctive spirit of a culture or an era
flounder,"n. flesh of any of various American and European flatfish
n. any of various European and non-European marine flatfish
v. behave awkwardly; have difficulties"
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
clarification,n. an interpretation that removes obstacles to understanding
capricious,"s. changeable
s. determined by chance or impulse or whim rather than by necessity or reason"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
sculpt,"v. create by shaping stone or wood or any other hard material
v. shape (a material like stone or wood) by whittling away at it"
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
remorselessly,r without pity; in a merciless manner
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
automated,s. operated by automation
insolent,"s marked by casual disrespect
s unrestrained by convention or propriety"
deplete,v use up (resources or materials)
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
empty,"n. a container that has been emptied
v. make void or empty of contents
v. become empty or void of its content
v. remove"
prevalent,s most frequent or common
oust,"v. remove from a position or office
v. remove and replace"
caterpillar,"n. a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
n. a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work"
overawe,"v. subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats)"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
fecund,"s. capable of producing offspring or vegetation
s. intellectually productive"
rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
recuperate,"v. restore to good health or strength
v. get over an illness or shock"
dissolve,"n. (film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out
v. become weaker
v. cause to go into a solution
v. come to an end"
defensive,"n. an attitude of defensiveness (especially in the phrase `on the defensive')
a. intended or appropriate for defending against or deterring aggression or attack
s. attempting to justify or defend in speech or writing"
irrelevant,a. having no bearing on or connection with the subject at issue
vulnerable,"a. susceptible to attack
s. susceptible to criticism or persuasion or temptation
s. capable of being wounded or hurt"
renowned,s widely known and esteemed
proscribe,v command against
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
prudish,s exaggeratedly proper
specialization,"n. the act of specializing; making something suitable for a special purpose
n. the special line of work you have adopted as your career
n. (biology) the structural adaptation of some body part for a particular function"
inspire,"v. heighten or intensify
v. supply the inspiration for"
defecate,v have a bowel movement
anarchy,n. a state of lawlessness and disorder (usually resulting from a failure of government)
detriment,n. a damage or loss
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
insubordinate,"a. not submissive to authority
s. disposed to or engaged in defiance of established authority"
disinterest,n. tolerance attributable to a lack of involvement
raze,v tear down so as to make flat with the ground
assessment,"n. an amount determined as payable
n. the market value set on assets"
belligerent,s. engaged in war
fearsome,s causing fear or dread or terror
fallacious,"s. containing or based on a fallacy
s. based on an incorrect or misleading notion or information"
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
novice,n. someone new to a field or activity
sentimentalize,"v. look at with sentimentality or turn into an object of sentiment
v. make (someone or something) sentimental or imbue with sentimental qualities"
bolster,"n. a pillow that is often put across a bed underneath the regular pillows
v. support and strengthen
v. prop up with a pillow or bolster"
uninitiated,s not initiated; deficient in relevant experience
opprobrious,"s expressing offensive reproach
s (used of conduct or character) deserving or bringing disgrace or shame"
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
flickering,s. shining unsteadily
exhilaration,n. the feeling of lively and cheerful joy
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
rescind,v cancel officially
neolithic,a. of or relating to the most recent period of the Stone Age (following the mesolithic)
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
rivet,"n. heavy pin having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together
v. fasten with a rivet or rivets
v. hold (someone's attention)"
facile,"s. arrived at without due care or effort; lacking depth
s. performing adroitly and without effort"
off-key,s inaccurate in pitch
insoluble,"a. (of a substance) incapable of being dissolved
a. admitting of no solution or explanation
s. without hope of solution"
unbroken,"a. marked by continuous or uninterrupted extension in space or time or sequence
s. not subdued or trained for service or use
a. (especially of promises or contracts) not violated or disregarded
a. not broken; whole and intact; in one piece"
underrate,v make too low an estimate of
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
impunity,n. exemption from punishment or loss
unimpassioned,s. free from emotional appeal; marked by reasonableness
insinuate,v. introduce or insert (oneself) in a subtle manner
grim,s. not to be placated or appeased or moved by entreaty
unobtrusive,a. not obtrusive or undesirably noticeable
synchronization,"n. an adjustment that causes something to occur or recur in unison
n. coordinating by causing to indicate the same time"
momentous,s. of very great significance
unsound,"a. not in good condition; damaged or decayed
a. not sound financially
s. of e.g. advice"
reprehensible,s bringing or deserving severe rebuke or censure
potted,"a. of plants; planted or grown in a pot
s. preserved in a pot or can or jar
s. (British informal) summarized or abridged"
provident,"a. providing carefully for the future
s. careful in regard to your own interests"
investigative,s designed to find information or ascertain facts
concoction,"n. any foodstuff made by combining different ingredients
n. an occurrence of an unusual mixture
n. the invention of a scheme or story to suit some purpose"
moderately,r. with moderation; in a moderate manner
anomaly,"n. deviation from the normal or common order or form or rule
n. a person who is unusual
n. (astronomy) position of a planet as defined by its angular distance from its perihelion (as observed from the sun)"
omnipotent,s having unlimited power
verifiable,s. capable of being verified
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
detour,"n. a roundabout road (especially one that is used temporarily while a main route is blocked)
v. travel via a detour"
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
motif,"n. a design or figure that consists of recurring shapes or colors, as in architecture or decoration
n. a theme that is repeated or elaborated in a piece of music"
protract,v lengthen in time; cause to be or last longer
impartiality,n. an inclination to weigh both views or opinions equally
adulatory,s. obsequiously complimentary
sanctum,n. a place of inviolable privacy
flagging,"n. flagstones collectively
n. a walk of flagstones"
fertilize,"v. provide with fertilizers or add nutrients to
v. make fertile or productive"
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
uneventful,a. marked by no noteworthy or significant events
counterbalance,n. a compensating equivalent
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
detest,v dislike intensely; feel antipathy or aversion towards
indubitably,r. in a manner or to a degree that could not be doubted
indefatigable,s. showing sustained enthusiastic action with unflagging vitality
overrule,v. rule against
sloping,s. having a slanting form or direction
choreographic,a. of or concerned with choreography
archive,"n. a depository containing historical records and documents
v. put into an archive"
irradicable,none
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
foresight,n. providence by virtue of planning prudently for the future
misconstrue,v. interpret in the wrong way
devious,"s. indirect in departing from the accepted or proper way; misleading
s. characterized by insincerity or deceit; evasive
s. deviating from a straight course"
invulnerable,a. immune to attack; impregnable
impulse,n. the act of applying force suddenly
polite,"a. showing regard for others in manners, speech, behavior, etc."
coercive,s. serving or intended to coerce
