unidimensional,a. relating to a single dimension or aspect; having no depth or scope
irk,v irritate or vex
hazy,"s filled or abounding with fog or mist
s indistinct or hazy in outline"
lot,"n. a parcel of land having fixed boundaries
n. (Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction
v. divide into lots, as of land, for example"
conciliate,"v cause to be more favorably inclined; gain the good will of
v come to terms
v make (one thing) compatible with (another)"
wrest,"v. obtain by seizing forcibly or violently, also metaphorically"
dilapidate,v. bring into a condition of decay or partial ruin by neglect or misuse
insurrection,n organized opposition to authority; a conflict in which one faction tries to wrest control from another
metrical,"a based on the meter as a standard of measurement
s the rhythmic arrangement of syllables"
debunk,v. expose while ridiculing; especially of pretentious or false claims and ideas
unbosom,v. relieve oneself of troubling information
underlying,s. located beneath or below
hull,"n. dry outer covering of a fruit or seed or nut
n. persistent enlarged calyx at base of e.g. a strawberry or raspberry
n. United States naval officer who commanded the `Constitution' during the War of 1812 and won a series of brilliant victories against the British (1773-1843)
n. United States diplomat who did the groundwork for creating the United Nations (1871-1955)"
detonate,v. burst and release energy as through a violent chemical or physical reaction
bicker,n. a quarrel about petty points
canorous,s. richly melodious
puissant,s. powerful
variance,"n. the second moment around the mean; the expected value of the square of the deviations of a random variable from its mean value
n. an official dispensation to act contrary to a rule or regulation (typically a building regulation)"
exactitude,n the quality of being exact
omelet,n. beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
fallacy,n. a misconception resulting from incorrect reasoning
disjunction,n. state of being disconnected
virtuosity,n. technical skill or fluency or style exhibited by a virtuoso
goblet,n. a drinking glass with a base and stem
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
intercede,v. act between parties with a view to reconciling differences
nascent,a. being born or beginning
lunge,"n. (fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward
v. make a thrusting forward movement"
meld,v. announce for a score; of cards in a card game
covenant,"n. a signed written agreement between two or more parties (nations) to perform some action
n. (Bible) an agreement between God and his people in which God makes certain promises and requires certain behavior from them in return
v. enter into a covenant
v. enter into a covenant or formal agreement"
immolate,v. offer as a sacrifice by killing or by giving up to destruction
foolproof,s. not liable to failure
hash,"n. chopped meat mixed with potatoes and browned
v. chop up"
behold,v. see with attention
recompense,"n. payment or reward (as for service rendered)
n. the act of compensating for service or loss or injury"
interrupt,"n. a signal that temporarily stops the execution of a program so that another procedure can be carried out
v. make a break in
v. destroy the peace or tranquility of
v. interfere in someone else's activity"
obverse,"n. the more conspicuous of two alternatives or cases or sides
n. the side of a coin or medal bearing the principal stamp or design"
ravel,"n. French composer and exponent of Impressionism (1875-1937)
v. disentangle
v. tangle or complicate"
bumptious,s. offensively self-assertive
affiliation,"n. a social or business relationship
n. the act of becoming formally connected or joined"
artifact,n. a man-made object taken as a whole
cameo,n. engraving or carving in low relief on a stone (as in a brooch or ring)
ensnare,v. take or catch as if in a snare or trap
guffaw,"n. a burst of deep loud hearty laughter
v. laugh boisterously"
vile,"s morally reprehensible
s causing or able to cause nausea"
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
impoverish,v. make poor
guise,n. an artful or simulated semblance
bracing,s. imparting vitality and energy
justification,"n. something (such as a fact or circumstance) that shows an action to be reasonable or necessary
n. a statement in explanation of some action or belief
n. the act of defending or explaining or making excuses for by reasoning"
incur,v. make oneself subject to; bring upon oneself; become liable to
acquiesce,v to agree or express agreement
flunk,"n failure to reach a minimum required performance
v fail to get a passing grade"
suavity,n. the quality of being bland and gracious or ingratiating in manner
bide,v. dwell
demolition,n. the act of demolishing
wanton,"n. lewd or lascivious woman
v. indulge in a carefree or voluptuous way of life
v. spend wastefully
v. engage in amorous play"
lathe,n. machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool
deface,v. mar or spoil the appearance of
violet,"n. any of numerous low-growing violas with small flowers
n. a variable color that lies beyond blue in the spectrum"
choosy,s. difficult to please
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
