affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
civilize,v. raise from a barbaric to a civilized state
creativity,n. the ability to create
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
cultural,"a. of or relating to the arts and manners that a group favors
s. denoting or deriving from or distinctive of the ways of living built up by a group of people
a. of or relating to the shared knowledge and values of a society
a. relating to the raising of plants or animals"
deny,"v. declare untrue; contradict
v. refuse to accept or believe
v. refuse to grant, as of a petition or request
v. refuse to let have"
heritage,n. practices that are handed down from the past by tradition
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
inspire,"v. heighten or intensify
v. supply the inspiration for"
legacy,n (law) a gift of personal property by will
luxury,"n. something that is an indulgence rather than a necessity
n. wealth as evidenced by sumptuous living"
memorial,"n. a recognition of meritorious service
n. a written statement of facts submitted in conjunction with a petition to an authority
n. a structure erected to commemorate persons or events"
talented,a. endowed with talent or talents
censor,"n. someone who censures or condemns
n. a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable
v. subject to political, religious, or moral censorship"
censorship,"n counterintelligence achieved by banning or deleting any information of value to the enemy
n deleting parts of publications or correspondence or theatrical performances"
encroach,v. advance beyond the usual limit
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
misinform,v. give false or misleading information to
obscene,s. designed to incite to indecency or lust
obliterate,"v. remove completely from recognition or memory
v. do away with completely, without leaving a trace"
offensive,"s. violating or tending to violate or offend against
a. for the purpose of attack rather than defense
a. causing anger or annoyance
a. unpleasant or disgusting especially to the senses"
repressive,s restrictive of action
equal,"v. be identical or equivalent to
v. be equal to in quality or ability
v. make equal, uniform, corresponding, or matching
a. having the same quantity, value, or measure as another"
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
suppression,"n. the failure to develop some part or organ
n. the act of withholding or withdrawing some book or writing from publication or circulation
n. forceful prevention; putting down by power or authority"
unjustifiable,s incapable of being justified or explained
ageing population,none
baby boom,none
birth rate,n. the ratio of live births in an area to the population of that area; expressed per 1000 population per year
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
conservative,"n. a person who is reluctant to accept changes and new ideas
n. a member of a Conservative Party
a. resistant to change
s. having social or political views favoring conservatism"
retiree,n. someone who has retired from active working
life expectancy,none
longevity,"n. duration of service
n. the property of being long-lived"
offset,"n. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
v. compensate for or counterbalance
v. cause (printed matter) to transfer or smear onto another surface
v. create an offset in"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
curriculum,n an integrated course of academic studies
characterize,v. be characteristic of
exceeding,s. far beyond what is usual in magnitude or degree
pursuit,"n. the act of pursuing in an effort to overtake or capture
n. a search for an alternative that meets cognitive criteria"
on-the-job,a. relating to or associated with a job or employment
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
remunerate,v make payment to; compensate
vacancy,n. being unoccupied
vocational guidance,none
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
apartment,n. a suite of rooms usually on one floor of an apartment house
dwelling,n. housing that someone is living in
housing,"n. structures collectively in which people are housed
n. a protective cover designed to contain or support a mechanical component"
indissolubly,adv. In an indissoluble manner.
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
ownership,"n. the relation of an owner to the thing possessed; possession with the right to transfer possession to others
n. the state or fact of being an owner"
plight,n. a solemn pledge of fidelity
pressing,"n. a metal or plastic part that is made by a mechanical press
s. compelling immediate action"
profiteering,"v make an unreasonable profit, as on the sale of difficult to obtain goods"
tenement,n. a run-down apartment house barely meeting minimal standards
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
biological,"a. pertaining to biology or to life and living things
a. of parents and children; related by blood"
competent,"a. properly or sufficiently qualified or capable or efficient
s. adequate for the purpose
a. legally qualified or sufficient"
conscientious,"s. characterized by extreme care and great effort
a. guided by or in accordance with conscience or sense of right and wrong"
deep-seated,s (used especially of ideas or principles) deeply rooted; firmly fixed or held
discrimination,"n. unfair treatment of a person or group on the basis of prejudice
n. the cognitive process whereby two or more stimuli are distinguished"
discourage,v. deprive of courage or hope; take away hope from; cause to feel discouraged
emotional,"a. determined or actuated by emotion rather than reason
a. of more than usual emotion
a. of or pertaining to emotion"
endurable,s capable of being borne though unpleasant
frailty,n. moral weakness
leader,n. a person who rules or guides or inspires others
amiable,s. disposed to please
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
assessment,"n. an amount determined as payable
n. the market value set on assets"
behave,"v. behave in a certain manner
v. behave well or properly"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
creative,"a. having the ability or power to create
s. promoting construction or creation"
cultivate,"v. foster the growth of
v. prepare for crops"
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
distinguish right from wrong,none
endowment,"n. natural abilities or qualities
n. the capital that provides income for an institution
n. the act of endowing with a permanent source of income"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
impractical,a. not practical; not workable or not given to practical matters
individuality,n. the quality of being individual
ingenious,s showing inventiveness and skill
inquisitive,"s. showing curiosity
s. inquiring or appearing to inquire"
scholarship,n. financial aid provided to a student on the basis of academic merit
sophisticated,"a. having or appealing to those having worldly knowledge and refinement and savoir-faire
s. intellectually appealing"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
instructive,a. serving to instruct or enlighten or inform
intelligence,"n. the ability to comprehend; to understand and profit from experience
n. a unit responsible for gathering and interpreting information about an enemy
n. secret information about an enemy (or potential enemy)
n. the operation of gathering information about an enemy"
judgment,"n. an opinion formed by judging something
n. the act of judging or assessing a person or situation or event
n. (law) the determination by a court of competent jurisdiction on matters submitted to it
n. the cognitive process of reaching a decision or drawing conclusions"
literacy,n. the ability to read and write
mentality,n. a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
merit,n. any admirable quality or attribute
mold,"n. container into which liquid is poured to create a given shape when it hardens
n. loose soil rich in organic matter
n. a fungus that produces a superficial growth on various kinds of damp or decaying organic matter"
reinforce,"v. make stronger
v. strengthen and support with rewards"
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
achievement,n the action of accomplishing something
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
tool,"n. an implement used in the practice of a vocation
v. drive
v. furnish with tools
v. work with a tool"
tradition,n. an inherited pattern of thought or action
collaborate,"v. work together on a common enterprise of project
v. cooperate as a traitor"
compassion,"n. a deep awareness of and sympathy for another's suffering
n. the humane quality of understanding the suffering of others and wanting to do something about it"
effort,n. use of physical or mental energy; hard work
emotion,n. any strong feeling
endeavor,v. attempt by employing effort
frustrated,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly
s disappointingly unsuccessful"
hardship,n. something that causes or entails suffering
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
optimistic,a. expecting the best in this best of all possible worlds
pessimistic,a. expecting the worst possible outcome
self-access,none
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
willing,a. disposed or inclined toward
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
astray,r. away from the right path or direction
bookworm,n. someone who spends a great deal of time reading
burden,"n. an onerous or difficult concern
n. the central idea that is expanded in a document or discourse
v. weight down with a load"
campus,n. a field on which the buildings of a university are situated
extracurricular,"s. outside the regular academic curriculum
s. outside the regular duties of your job or profession"
goal,"n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
n. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
n. a successful attempt at scoring"
home environment,none
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
lax,"s. lacking in rigor or strictness
a. pronounced with muscles of the tongue and jaw relatively relaxed (e.g., the vowel sound in `bet')
a. lacking in strength or firmness or resilience
s. emptying easily or excessively"
lie with,none
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
model,"n. a hypothetical description of a complex entity or process
n. a type of product
n. a person who poses for a photographer or painter or sculptor
n. representation of something (sometimes on a smaller scale)"
righteous,"a. characterized by or proceeding from accepted standards of morality or justice
s. morally justified"
motivate,v. give an incentive for action
upright,"n. a vertical structural member as a post or stake
n. a piano with a vertical sounding board
s. in a vertical position; not sloping"
well-educated,s highly educated; having extensive information or understanding
nervous,"s. easily agitated
a. of or relating to the nervous system"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
beneficial,s. promoting or enhancing well-being
method,"n. a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
comprehensive,"a. including all or everything
s. broad in scope"
cope with,none
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
maternal,"a. characteristic of a mother
a. relating to or derived from one's mother"
paternal,"a. belonging to or inherited from one's father
a. characteristic of a father"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
aptitude,n. inherent ability
attitude,"n. a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
n. a theatrical pose created for effect
n. position of aircraft or spacecraft relative to a frame of reference (the horizon or direction of motion)"
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
communicative,"a. of or relating to communication
a. able or tending to communicate"
cooperative,"n. a jointly owned commercial enterprise (usually organized by farmers or consumers) that produces and distributes goods and services and is run for the benefit of its owners
n. an association formed and operated for the benefit of those using it
a. done with or working with others for a common purpose or benefit"
culture,"n. a particular society at a particular time and place
n. the tastes in art and manners that are favored by a social group
n. (biology) the growing of microorganisms in a nutrient medium (such as gelatin or agar)
n. the attitudes and behavior that are characteristic of a particular social group or organization"
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
integrative,a. combining and coordinating diverse elements into a whole
interactive,"a used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)
s capable of acting on or influencing each other"
native speaker,none
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
production,"n. the act or process of producing something
n. a presentation for the stage or screen or radio or television
n. (law) the act of exhibiting in a court of law
n. a display that is exaggerated or unduly complicated"
aboriginal,"a. of or pertaining to members of the indigenous people of Australia
s. having existed from the beginning; in an earliest or original stage or state"
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
ancestry,n. inherited properties shared with others of your bloodline
archaeologist,n an anthropologist who studies prehistoric people and their culture
artistic value,none
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
bilingual,"n. a person who speaks two languages fluently
s. using or knowing two languages"
calligraphy,n. beautiful handwriting
cherish,v be fond of; be attached to
dialect,n. the usage or vocabulary that is characteristic of a specific group of people
diverse,s. distinctly dissimilar or unlike
inheritance,"n. hereditary succession to a title or an office or property
n. that which is inherited; a title or property or estate that passes by law to the heir on the death of the owner
n. (genetics) attributes acquired via biological heredity from the parents
n. any attribute or immaterial possession that is inherited from ancestors"
language,"n. a systematic means of communicating by the use of sounds or conventional symbols
n. the mental faculty or power of vocal communication"
linguistic,"a. consisting of or related to language
a. of or relating to the scientific study of language"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
endanger,v. pose a threat to; present a danger to
forebear,n. a person from whom you are descended
popular,"a. regarded with great favor, approval, or affection especially by the general public
s. carried on by or for the people (or citizens) at large
s. (of music or art) new and of general appeal (especially among young people)"
preservation,"n. the activity of protecting something from loss or danger
n. the condition of being (well or ill) preserved
n. a process that saves organic substances from decay"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
construction,"n. the act of constructing something
n. a group of words that form a constituent of a sentence and are considered as a single unit
n. the creation of a construct; the process of combining ideas into a congruous object of thought
n. drawing a figure satisfying certain conditions as part of solving a problem or proving a theorem"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
demolish,"v. destroy completely
v. defeat soundly"
devastate,v. overwhelm or overpower
disappearance,"n. the act of leaving secretly or without explanation
n. the event of passing out of sight
n. ceasing to exist"
ethnic,n. a person who is a member of an ethnic group
folk art,none
invaluable,"s. having incalculable monetary, intellectual, or spiritual worth"
monument,n. an important site that is marked and preserved as public property
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
national identity,none
obsolete,s no longer in use
relic,n. an antiquity that has survived from the distant past
renovation,"n. the act of improving by renewing and restoring
n. the state of being restored to its former good condition"
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
residence,"n. any address at which you dwell more than temporarily
n. the official house or establishment of an important person (as a sovereign or president)"
sculpture,"n. a three-dimensional work of plastic art
n. creating figures or designs in three dimensions"
temple,"n. place of worship consisting of an edifice for the worship of a deity
n. the flat area on either side of the forehead
n. an edifice devoted to special or exalted purposes"
vanish,"v. become invisible or unnoticeable
v. cease to exist
v. decrease rapidly and disappear"
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
addicted,a. compulsively or physiologically dependent on something habit-forming
amusement,n. a feeling of delight at being entertained
athletic,"a. relating to or befitting athletics or athletes
s. having a sturdy and well proportioned body"
aggravate,"v make worse
v exasperate or irritate"
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
bonding,"n. a close personal relationship that forms between people (as between husband and wife or parent and child)
n. (dentistry) a technique for repairing a tooth; resinous material is applied to the surface of the tooth where it adheres to the tooth's enamel
n. fastening firmly together"
commercialize,"v. exploit for maximal profit, usually by sacrificing quality
v. make commercial"
conducive,s. tending to bring about; being partly responsible for
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
contradiction,"n. opposition between two conflicting forces or ideas
n. (logic) a statement that is necessarily false
n. the speech act of contradicting someone"
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
discord,"n. lack of agreement or harmony
n. disagreement among those expected to cooperate
n. strife resulting from a lack of agreement"
dispute,"n. a disagreement or argument about something important
n. coming into conflict with"
