arroyo,n. a stream or brook
scabrous,s. dealing with salacious or indecent material
amplitude,"n. (physics) the maximum displacement of a periodic wave
n. the property of copious abundance
n. greatness of magnitude"
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
colossal,s. so great in size or force or extent as to elicit awe
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
gargantuan,s of great mass; huge and bulky
immense,s unusually great in size or amount or degree or especially extent or scope
immensity,n unusual largeness in size or extent or number
impregnable,"s. immune to attack; incapable of being tampered with
s. incapable of being overcome, challenged or refuted"
irrepressible,s. impossible to repress or control
mammoth,n. any of numerous extinct elephants widely distributed in the Pleistocene; extremely large with hairy coats and long upcurved tusks
massive,"s. imposing in size or bulk or solidity
s. being the same substance throughout
s. imposing in scale or scope or degree or power
s. consisting of great mass; containing a great quantity of matter"
metropolis,"n a large and densely populated urban area; may include several independent administrative districts
n people living in a large densely populated municipality"
metropolitan,"n. in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity
n. a person who lives in a metropolis
a. relating to or characteristic of a metropolis"
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
monolithic,s. characterized by massiveness and rigidity and total uniformity
monstrous,s. abnormally large
monumental,"a. relating or belonging to or serving as a monument
s. of outstanding significance"
mountainous,"s. like a mountain in size and impressiveness
s. containing many mountains"
peerless,s eminent beyond or above comparison
predominant,"s most frequent or common
s having superior power and influence"
predominate,"v. be larger in number, quantity, power, status or importance"
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
puissant,s. powerful
stupendous,s so great in size or force or extent as to elicit awe
titanic,s. of great force or power
aspect,"n. a distinct feature or element in a problem
n. a characteristic to be considered
n. the beginning or duration or completion or repetition of the action of a verb"
capacious,s. large in capacity
commodious,a. large and roomy (`convenient' is archaic in this sense)
compass,"n. navigational instrument for finding directions
n. the limit of capability
n. drafting instrument used for drawing circles
v. bring about; accomplish"
earshot,n. the range within which a voice can be heard
ecumenical,"s concerned with promoting unity among churches or religions
s of worldwide scope or applicability"
endemic,"n. a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
n. a plant that is native to a certain limited area
a. of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
a. native to or confined to a certain region"
inclusive,a. including much or everything; and especially including stated limits
indigenous,s originating where it is found
interminable,s tiresomely long; seemingly without end
ken,"n range of what one can know or understand
n the range of vision"
limited,"a. small in range or scope
s. including only a part
s. mediocre
s. not excessive"
panoramic,s as from an altitude or distance
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
pervade,v spread or diffuse through
province,n. the proper sphere or extent of your activities
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
scope,"n. an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""
spacious,"s very large in expanse or scope
s (of buildings and rooms) having ample space"
span,"n. the complete duration of something
n. the distance or interval between two points
n. a unit of length based on the width of the expanded human hand (usually taken as 9 inches)"
sprawling,s. spreading out in different directions
subsume,"v. contain or include
v. consider (an instance of something) as part of a general rule or principle"
tether,v. tie with a tether
unidimensional,a. relating to a single dimension or aspect; having no depth or scope
unilateral,"a. involving only one part or side
s. tracing descent from either the paternal or the maternal line only"
vista,n the visual percept of a region
precinct,n. a district of a city or town marked out for administrative purposes
