man-made,s. not of natural origin; prepared or made artificially
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
nearly,"r (of actions or states) slightly short of or not quite accomplished; all but
r in a close manner"
on top of,none
canyon,n. a ravine formed by a river in an area with little rainfall
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
by,r. so as to pass a given point
found,"n. food and lodging provided in addition to money
a. come upon unexpectedly or after searching"
since then,none
flag,"n. emblem usually consisting of a rectangular piece of cloth of distinctive design
n. a rectangular piece of fabric used as a signalling device
n. stratified stone that splits into pieces suitable as paving stones
n. a conspicuously marked or shaped tail"
until,"prep. To; unto; towards; -- used of material objects.
prep. To; up to; till; before; -- used of time; as, he staid
   until evening; he will not come back until the end of the month.
conj. As far as; to the place or degree that; especially, up to
   the time that; till. See Till, conj."
off,"a. not in operation or operational
s. below a satisfactory level
a. (of events) no longer planned or scheduled
s. in an unpalatable state"
all kinds of,none
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
take a vacation,none
season,"n. a period of the year marked by special events or activities in some field
n. one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n. a recurrent time marked by major holidays
v. lend flavor to"
kid,"n. soft smooth leather from the hide of a young goat
n. young goat
v. be silly or tease one another"
have fun,none
band,"n. instrumentalists not including string players
n. a stripe or stripes of contrasting color
n. an adornment consisting of a strip of a contrasting color or material
n. a range of frequencies between two limits"
UK,n a monarchy in northwestern Europe occupying most of the British Isles; divided into England and Scotland and Wales and Northern Ireland; `Great Britain' is often used loosely to refer to the United Kingdom
as soon as,none
fourth,"n. following the third position; number four in a countable series
n. the musical interval between one note and another four notes away from it
s. coming next after the third and just before the fifth in position or time or degree or magnitude"
sixth,"n. position six in a countable series of things
n. the musical interval between one note and another six notes away from it
s. coming next after the fifth and just before the seventh in position"
seventh,"n. position seven in a countable series of things
n. the musical interval between one note and another seven notes away from it
s. coming next after the sixth and just before the eighth in position"
eighth,"n. position eight in a countable series of things
s. coming next after the seventh and just before the ninth in position"
ninth,"n. position nine in a countable series of things
s. coming next after the eighth and just before the tenth in position"
tenth,"n. position ten in a countable series of things
s. coming next after the ninth and just before the eleventh in position"
twelfth,"n. position 12 in a countable series of things
s. coming next after the eleventh and just before the thirteenth in position"
twentieth,"n. position 20 in a countable series of things
s. coming next after the nineteenth in position"
among,prep. Alt. of Amongst
speech,"n. (language) communication by word of mouth
n. something spoken
n. the exchange of spoken words"
pioneer,"n. someone who helps to open up a new line of research or technology or art
n. one the first colonists or settlers in a new territory
v. open up an area or prepare a way
v. open up and explore a new area"
grow,"v. become larger, greater, or bigger; expand or gain
v. increase in size by natural process
v. cause to grow or develop
v. cultivate by growing, often involving improvements by means of agricultural techniques"
corn,"n. tall annual cereal grass bearing kernels on large ears: widely cultivated in America in many varieties; the principal cereal in Mexico and Central and South America since pre-Columbian times
n. the dried grains or kernels or corn used as animal feed or ground for meal
n. ears of corn that can be prepared and served for human food
n. a hard thickening of the skin (especially on the top or sides of the toes) caused by the pressure of ill-fitting shoes"
following,"n. a group of followers or enthusiasts
s. about to be mentioned or specified
s. immediately following in time or order
a. going or proceeding or coming after in the same direction"
lay,"v. put in a horizontal position
v. prepare or position for action or operation
v. lay eggs
v. impose as a duty, burden, or punishment"
lay the table,none
over,"n. (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch
r. at or to a point across intervening space etc.
r. throughout an area
r. throughout a period of time"
dish,"n. a piece of dishware normally used as a container for holding or serving food
n. a particular item of prepared food
n. the quantity that a dish will hold
n. directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation"
parade,"n. a ceremonial procession including people marching
n. an extended (often showy) succession of persons or things
n. a visible display
v. walk ostentatiously"
ourselves,"pl.  of Myself
pron. ; sing. Ourself (/). An emphasized form of the
   pronoun of the first person plural; -- used as a subject, usually with
   we; also, alone in the predicate, in the nominative or the objective
   case."
including,"v have as a part, be made up out of
v consider as part of something
v add as part of something else; put in as part of a set, group, or category
v allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of"
medal,n an award for winning a championship or commemorating some other event
attend,"v. be present at (meetings, church services, university), etc.
v. take charge of or deal with
v. to accompany as a circumstance or follow as a result
v. give heed (to)"
abroad,"s. in a foreign country
r. to or in a foreign country"
once again,none
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
degree,"n. a position on a scale of intensity or amount or quality
n. a specific identifiable position in a continuum or series or especially in a process
n. a measure for arcs and angles
n. the highest power of a term or variable"
whatever,s one or some or every or all without specification
give up,none
amazing,"s. surprising greatly
s. inspiring awe or admiration or wonder"
will,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice"
victory,n. a successful ending of a struggle or contest
simply,r. absolutely; altogether; really
Canadian,"n. a native or inhabitant of Canada
n. a river rising in northeastern New Mexico and flowing eastward across the Texas panhandle to become a tributary of the Arkansas River in Oklahoma
a. of or relating to Canada or its people"
sick,"n. people who are sick
s. deeply affected by a strong feeling"
soldier,"n. an enlisted man or woman who serves in an army
n. a wingless sterile ant or termite having a large head and powerful jaws adapted for defending the colony
v. serve as a soldier in the military"
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
war,"n. the waging of armed conflict against an enemy
n. a legal state created by a declaration of war and ended by official declaration during which the international rules of war apply
n. an active struggle between competing entities
n. a concerted campaign to end something that is injurious"
wound,"n. an injury to living tissue (especially an injury involving a cut or break in the skin)
n. a casualty to military personnel resulting from combat
n. a figurative injury (to your feelings or pride)
n. the act of inflicting a wound"
die for,none
wounded,n. people who are wounded
realise,"v earn on some commercial or business transaction; earn as salary or wages
v convert into cash; of goods and property
v expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass
v make real or concrete; give reality or substance to
v be fully aware or cognizant of
v perceive (an idea or situation) mentally"
dying,a. in or associated with the process of passing from life or ceasing to be
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
take care of,none
tool,"n. an implement used in the practice of a vocation
v. drive
v. furnish with tools
v. work with a tool"
invention,"n. the creation of something in the mind
n. a creation (a new device or process) resulting from study and experimentation
n. the act of inventing"
at that time,none
on one's own,none
useful,a. being of use or service
rest,"n. freedom from activity (work or strain or responsibility)
n. a state of inaction
n. euphemisms for death (based on an analogy between lying in a bed and in a tomb)
n. a support on which things can be put"
himself,"pron. An emphasized form of the third person masculine
   pronoun; -- used as a subject usually with he; as, he himself will bear
   the blame; used alone in the predicate, either in the nominative or
   objective case; as, it is himself who saved himself.
pron. One's true or real character; one's natural temper and
   disposition; the state of being in one's right or sane mind (after
   unconsciousness, passion, delirium, or abasement); as, the man has come
   to himself.
pron. pl. Alt. of Himselven"
manage,"v. be in charge of, act on, or dispose of"
operation,"n. the state of being in effect or being operative
n. a business especially one run on a large scale
n. a planned activity involving many people performing various actions
n. (computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)"
continue,"v. continue a certain state, condition, or activity
v. continue talking
v. keep or maintain in unaltered condition; cause to remain or last
v. do something repeatedly and showing no intention to stop"
die of,none
Canada,n. a nation in northern North America; the French were the first Europeans to settle in mainland Canada
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
meeting,"n. a formally arranged gathering
n. a small informal social gathering
n. a casual or unexpected convergence
n. the social act of assembling for some common purpose"
miss,"n. a failure to hit (or meet or find etc)
n. a form of address for an unmarried woman
v. fail to perceive or to catch with the senses or the mind
v. feel or suffer from the lack of"
shut,a. not open
lock,"n. a fastener fitted to a door or drawer to keep it firmly closed
n. a strand or cluster of hair
n. a mechanism that detonates the charge of a gun
n. enclosure consisting of a section of canal that can be closed to control the water level; used to raise or lower vessels that pass through it"
simple,"n. any herbaceous plant having medicinal properties
a. having few parts; not complex or complicated or involved
a. (botany) of leaf shapes; of leaves having no divisions or subdivisions
s. unornamented"
anybody,"n. Any one out of an indefinite number of persons; anyone;
   any person.
n. A person of consideration or standing."
clock,"n. a timepiece that shows the time of day
v. measure the time or duration of an event or action or the person who performs an action in a certain period of time"
ring,"n. a characteristic sound
n. a toroidal shape
n. the sound of a bell ringing
n. a platform usually marked off by ropes in which contestants box or wrestle"
passenger,n. a traveler riding in a vehicle (a boat or bus or car or plane or train etc) who is not operating it
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
text,"n. the words of something written
n. a passage from the Bible that is used as the subject of a sermon
n. the main body of a written work (as distinct from illustrations or footnotes etc.)"
text message,none
couple,"n. a pair who associate with one another
n. a pair of people who live together
n. a small indefinite number
n. two items of the same kind"
a couple of,none
actually,"r. in actual fact
r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
r. at the present moment
r. as a sentence modifier to add slight emphasis"
manage,"v. be in charge of, act on, or dispose of"
unhappy,"a. experiencing or marked by or causing sadness or sorrow or discontent
s. causing discomfort"
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
be worried about,none
business,"n. a commercial or industrial enterprise and the people who constitute it
n. a rightful concern or responsibility
n. an immediate objective
n. the volume of commercial activity"
on business,none
sofa,n. an upholstered seat for more than one person
snack,"n a light informal meal
v eat a snack; eat lightly"
midnight,n. 12 o'clock at night; the middle of the night
wake up,none
hand in,none
empty,"n. a container that has been emptied
v. make void or empty of contents
v. become empty or void of its content
v. remove"
unable,"a. (usually followed by `to') not having the necessary means or skill or know-how
s. (usually followed by `to') lacking necessary physical or mental ability"
all day long,none
burn,"n. pain that feels hot as if it were on fire
n. an injury caused by exposure to heat or chemicals or radiation
n. a place or area that has been burned (especially on a person's body)
n. damage inflicted by fire"
cup,"n. a small open container usually used for drinking; usually has a handle
n. the quantity a cup will hold
n. any cup-shaped concavity
n. a United States liquid unit equal to 8 fluid ounces"
task,v. assign a task to
upstairs,"n. the part of a building above the ground floor
a. on or of upper floors of a building
r. on a floor above
r. with respect to the mind"
exhibition,"n. the act of exhibiting
n. a collection of things (goods or works of art etc.) for public display"
rule,"n. a principle or condition that customarily governs behavior
n. prescribed guide for conduct or action
n. (linguistics) a rule describing (or prescribing) a linguistic practice
n. the duration of a monarch's or government's power"
against the rules,none
in trouble,none
tail,"n. the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
n. any projection that resembles the tail of an animal
n. a spy employed to follow someone and report their movements
n. (usually plural) the reverse side of a coin that does not bear the representation of a person's head"
rope,"n. a strong line
v. fasten with a rope"
entry,"n. an item inserted in a written record
n. a written record of a commercial transaction"
No entry,none
no good,"s without merit
s returned for lack of funds"
no wonder,none
missing,s. not able to be found
downstairs,"a. on or of lower floors of a building
r. on a floor below"
punish,v. impose a penalty on; inflict punishment on
communications,n. the discipline that studies the principles of transmiting information and the methods by which it is delivered (as print or radio or television etc.)
physics,"n. the science of matter and energy and their interactions
n. the physical properties, phenomena, and laws of something"
chemistry,"n. the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions
n. the chemical composition and properties of a substance or object
n. the way two individuals relate to each other"
dig,"n. the site of an archeological exploration
n. a small gouge (as in the cover of a book)
n. the act of touching someone suddenly with your finger or elbow
v. turn up, loosen, or remove earth"
coal,"n. fossil fuel consisting of carbonized vegetable matter deposited in the Carboniferous period
v. supply with coal
v. take in coal"
energy,"n. (physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs
n. forceful exertion
n. enterprising or ambitious drive
n. an imaginative lively style (especially style of writing)"
X-ray,"v. examine by taking x-rays
v. take an x-ray of something or somebody"
experiment,"n. the act of conducting a controlled test or investigation
n. the testing of an idea
n. a venture at something new or different
v. to conduct a test or investigation"
sand,"n. a loose material consisting of grains of rock or coral
n. French writer known for works concerning women's rights and independence (1804-1876)"
control,"n. power to direct or determine
n. a relation of constraint of one entity (thing or person or group) by another
n. (physiology) regulation or maintenance of a function or action or reflex etc
n. the activity of managing or exerting control over something"
truck,"n. an automotive vehicle suitable for hauling
v. convey (goods etc.) by truck"
wheel,"n. a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n. forces that provide energy and direction
n. a circular helm to control the rudder of a vessel
v. change directions as if revolving on a pivot"
compare ... with ...,none
of all ages,none
whole,"n. all of something including all its component elements or parts
n. an assemblage of parts that is regarded as a single entity
a. including all components without exception; being one unit or constituting the full amount or extent or duration; complete
a. (of siblings) having the same parents"
deal,"n. a particular instance of buying or selling
n. a plank of softwood (fir or pine board)
n. the type of treatment received (especially as the result of an agreement)
n. the act of distributing playing cards"
exam,n a set of questions or exercises evaluating skill or knowledge
fail,"v. fail to do something; leave something undone
v. be unsuccessful
v. disappoint, prove undependable to; abandon, forsake
v. stop operating or functioning"
guitar,n. a stringed instrument usually having six strings; played by strumming or plucking
instrument,"n. a device that requires skill for proper use
n. the means whereby some act is accomplished
n. a person used by another to gain an end
v. equip with instruments for measuring, recording, or controlling"
musical,"n. a play or film whose action and dialogue is interspersed with singing and dancing
a. characterized by or capable of producing music
a. talented in or devoted to music
a. characteristic of or resembling or accompanied by music"
habit,"n. an established custom
n. (psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
n. a distinctive attire worn by a member of a religious order
n. the general form or mode of growth (especially of a plant or crystal)"
get into the habit of ...,none
schoolwork,n a school task performed by a student to satisfy the teacher
volunteer,"n. (military) a person who freely enlists for service
n. a person who performs voluntary work
v. tell voluntarily
v. agree freely"
necessary,"a. absolutely essential
s. unavoidably determined by prior circumstances"
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
instead,"r in place of, or as an alternative to
r on the contrary; rather (or instead), he wrote her a letter"""
instead of,none
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
knowledge,n the psychological result of perception and learning and reasoning
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
last word,none
come round,none
reason,"n. a rational motive for a belief or action
n. an explanation of the cause of some phenomenon
n. the capacity for rational thought or inference or discrimination
n. a fact that logically justifies some premise or conclusion"
try out,"n trying something to find out about it
n a test of the suitability of a performer"
angry,"a. feeling or showing anger
s. (of the elements) as if showing violent anger
s. severely inflamed and painful"
no longer,none
be angry with sb.,none
repair,"n. the act of putting something in working order again
n. a formal way of referring to the condition of something
v. restore by replacing a part or putting together what is torn or broken
v. move, travel, or proceed toward some place"
truth,"n. a fact that has been verified
n. conformity to reality or actuality
n. a true statement
n. United States abolitionist and feminist who was freed from slavery and became a leading advocate of the abolition of slavery and for the rights of women (1797-1883)"
least,"n. something that is of no importance
a. the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree
r. used to form the superlative"
at least,none
honest,"a. not disposed to cheat or defraud; not deceptive or fraudulent
s. without dissimulation; frank
s. without pretensions
s. marked by truth"
apologise,"v defend, explain, clear away, or make excuses for by reasoning
v acknowledge faults or shortcomings or failing"
bill,"n. a statute in draft before it becomes law
n. an itemized statement of money owed for goods shipped or services rendered
n. a piece of paper money (especially one issued by a central bank)
n. the entertainment offered at a public presentation"
pocket money,none
discuss,"n an athletic competition in which a disk-shaped object is thrown as far as possible
n a disk used in throwing competitions
v to consider or examine in speech or writing
v speak with others about (something); talk (something) over in detail; have a discussion"
thinker,"n. an important intellectual
n. someone who exercises the mind (usually in an effort to reach a decision)"
wise,"n. a way of doing or being
n. United States Jewish leader (born in Hungary) (1874-1949)
n. United States religious leader (born in Bohemia) who united reform Jewish organizations in the United States (1819-1900)
a. having or prompted by wisdom or discernment"
review,"n. an essay or article that gives a critical evaluation (as of a book or play)
n. (accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data
n. a periodical that publishes critical essays on current affairs or literature or art
n. (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
sense,"n. a general conscious awareness
n. the meaning of a word or expression; the way in which a word or expression or situation can be interpreted
n. the faculty through which the external world is apprehended
n. a natural appreciation or ability"
make sense,none
by the way,none
suppose,v. express a supposition
well-known,s. widely or fully known
adventure,n. a wild and exciting undertaking (not necessarily lawful)
get into trouble,none
run away,"n. an easy victory
s. completely out of control"
escape,"n. the act of escaping physically
n. an inclination to retreat from unpleasant realities through diversion or fantasy
n. an avoidance of danger or difficulty
n. a means or way of escaping"
cave,"n. a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
v. hollow out as if making a cave or opening
v. explore natural caves"
dead,"n. people who are no longer living
n. a time when coldness (or some other quality associated with death) is intense
a. no longer having or seeming to have or expecting to have life
a. not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat"
for a time,none
neighbour,"n a person who lives (or is located) near another
n a nearby object of the same kind
v live or be located as a neighbor
v be located near or adjacent to"
funeral,n. a ceremony at which a dead person is buried or cremated
surprised,a. taken unawares or suddenly and feeling wonder or astonishment
alive,"a. possessing life
s. (often followed by `with') full of life and spirit
s. (followed by `to' or `of') aware of
s. capable of erupting"
southern,"a. in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line
a. situated in or coming from regions of the south"
state,"n. the territory occupied by one of the constituent administrative districts of a nation
n. the way something is with respect to its main attributes
n. the group of people comprising the government of a sovereign state
n. a politically organized body of people under a single government"
pay for,none
action,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful"
everyday,"s. found in the ordinary course of events
s. commonplace and ordinary"
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
stand for,none
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
point,"n. a geometric element that has position but no extension
n. the precise location of something; a spatially limited location
n. a brief version of the essential meaning of something
n. an instant of time"
decision,"n. the act of making up your mind about something
n. a position or opinion or judgment reached after consideration
n. (boxing) a victory won on points when no knockout has occurred
n. the outcome of a game or contest"
excuse,"n. a defense of some offensive behavior or some failure to keep a promise etc.
n. a note explaining an absence
v. accept an excuse for
v. grant exemption or release to"
noon,n. the middle of the day
seat,"n. a space reserved for sitting (as in a theater or on a train or airplane)
n. furniture that is designed for sitting on
n. any support where you can sit (especially the part of a chair or bench etc. on which you sit)
n. a center of authority (as a city from which authority is exercised)"
no way,adv. Alt. of Noways
fair,"n. gathering of producers to promote business
n. a competitive exhibition of farm products
v. join so that the external surfaces blend smoothly
a. free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
kick,"n. the act of delivering a blow with the foot
n. the sudden stimulation provided by strong drink (or certain drugs)
n. a rhythmic thrusting movement of the legs as in swimming or calisthenics
v. drive or propel with the foot"
mad,"s roused to anger
s affected with madness or insanity
s marked by uncontrolled excitement or emotion
s very foolish"
sportsman,n someone who engages in sports
high jump,none
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
hurdling,"n a footrace in which contestants must negotiate a series of hurdles
v jump a hurdle"
sportswoman,n someone who engages in sports
race,"n. any competition
n. a contest of speed
n. people who are believed to belong to the same genetic stock
v. compete in a race"
record,"n. anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
n. the number of wins versus losses and ties a team has had
n. the sum of recognized accomplishments
n. a compilation of the known facts regarding something or someone"
method,"n. a way of doing something, especially a systematic way; implies an orderly logical arrangement (usually in steps)"
hurdles,"n a footrace in which contestants must negotiate a series of hurdles
n a light movable barrier that competitors must leap over in certain races
n an obstacle that you are expected to overcome
n the act of jumping over an obstacle
v jump a hurdle"
Japan,"n. a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean
n. a constitutional monarchy occupying the Japanese Archipelago; a world leader in electronics and automobile manufacture and ship building
n. lacquerware decorated and varnished in the Japanese manner with a glossy durable black lacquer"
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
sportsperson,none
Asian,"n. a native or inhabitant of Asia
a. of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture"
suffer,"v. undergo or be subjected to
v. undergo (as of injuries and illnesses)
v. experience (emotional) pain
v. get worse"
suffer from,none
first place,none
stop sb. doing sth.,none
stop sb. from doing sth.,none
courage,n. a quality of spirit that enables you to face danger or pain without showing fear
pride,"n. a feeling of self-respect and personal worth
n. satisfaction with your (or another's) achievements
n. the trait of being spurred on by a dislike of falling below your standards
n. a group of lions"
take pride in,none
borrow,v. get temporarily
put up,s. planned secretly
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
mail,"n. the bags of letters and packages that are transported by the postal service
n. the system whereby messages are transmitted via the post office
n. a conveyance that transports the letters and packages that are conveyed by the postal system
n. any particular collection of letters or packages that is delivered"
textbook,n. a book prepared for use in schools or colleges
mainly,r for the most part
thousands of,none
page,"n. one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
n. English industrialist who pioneered in the design and manufacture of aircraft (1885-1962)
n. United States diplomat and writer about the Old South (1853-1922)
n. a boy who is employed to run errands"
electronic,"a. of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons
a. of or concerned with electrons"
technology,n. the practical application of science to commerce or industry
powerful,a. having great power or force or potency or effect
memory,"n. something that is remembered
n. the cognitive processes whereby past experience is remembered
n. the power of retaining and recalling past experience
n. an electronic memory device"
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
fix,"n. informal terms for a difficult situation
n. something craved, especially an intravenous injection of a narcotic drug
n. an exemption granted after influence (e.g., money) is brought to bear
v. set or place definitely"
instructions,"n a manual usually accompanying a technical device and explaining how to install or operate it
n a message describing how something is to be done
n the activities of educating or instructing; activities that impart knowledge or skill
n the profession of a teacher
n (computer science) a line of code written as part of a computer program"
lend,"v. bestow a quality on
v. give temporarily; let have for a limited time
v. have certain characteristics of qualities for something; be open or vulnerable to"
properly,r. in the right manner
look through,none
printing,"n. text handwritten in the style of printed matter
n. the business of producing printed material for sale or distribution
n. reproduction by applying ink to paper as for publication"
at a time,none
by hand,none
development,"n. act of improving by expanding or enlarging or refining
n. a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
n. a recent event that has some relevance for the present situation
n. a district that has been developed to serve some purpose"
trade,"n. the commercial exchange (buying and selling on domestic or international markets) of goods and services
n. the skilled practice of a practical occupation
n. the business given to a commercial establishment by its customers
v. engage in the trade of"
result,"n. something that results
v. issue or terminate (in a specified way, state, etc.); end
v. come about or follow as a consequence"
spread,"n. process or result of distributing or extending over a wide expanse of space
n. a tasty mixture to be spread on bread or crackers or used in preparing other dishes
n. two facing pages of a book or other publication
n. the expansion of a person's girth (especially at middle age)"
in a way,none
compare ... to,none
introduction,"n. the act of beginning something new
n. the first section of a communication
n. a basic or elementary instructional text
n. a new proposal"
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
store,"n. a supply of something available for future use
v. keep or lay aside for future use
v. find a place for and put away for storage"
varied,"a. characterized by variety
s. widely different
s. broken away from sameness or identity or duplication"
form,"n. the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
n. a perceptual structure
n. the visual appearance of something or someone
n. a printed document with spaces in which to write"
connection,"n. a relation between things or events (as in the case of one causing the other or sharing features with it)
n. the state of being connected
n. an instrumentality that connects
n. (usually plural) a person who is influential and to whom you are connected in some way (as by family or friendship)"
single,"n. a base hit on which the batter stops safely at first base
v. hit a single
a. used of flowers having usually only one row or whorl of petals
a. existing alone or consisting of one entity or part or aspect or individual"
direction,"n. a line leading to a place or point
n. the spatial relation between something and the course along which it points or moves
n. a general course along which something has a tendency to develop
n. a message describing how something is to be done"
replace,"v. substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)
v. put something back where it belongs"
wait and see,none
here we go,none
central,"n. a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
a. in or near a center or constituting a center; the inner area"
according to,none
magical,s possessing or using or characteristic of or appropriate to supernatural powers
height,n. the vertical dimension of extension; distance from the base of something to the top
sailing boat,none
