fray,v. wear away by rubbing
secretive,s inclined to secrecy or reticence about divulging information
wizard,"n someone who is dazzlingly skilled in any field
n one who practices magic or sorcery
s possessing or using or characteristic of or appropriate to supernatural powers"
turbulent,"s characterized by unrest or disorder or insubordination
s (of a liquid) agitated vigorously; in a state of turbulence"
dossier,n. a collection of papers containing detailed information about a particular person or subject (usually a person's record)
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
unsuspecting,"s. not suspicious
s. (often followed by `of') not knowing or expecting; not thinking likely"
holding,"n the act of retaining something
n something owned; any tangible or intangible possession that is owned by someone; 
v keep in a certain state, position, or activity; e.g., ""keep clean""
v have or hold in one's hands or grip
v organize or be responsible for
v have or possess, either in a concrete or an abstract sense
v keep in mind or convey as a conviction or view
v maintain (a theory, thoughts, or feelings)
v to close within bounds, limit or hold back from movement
v secure and keep for possible future use or application
v have rightfully; of rights, titles, and offices
v be the physical support of; carry the weight of
v contain or hold; have within
v have room for; hold without crowding
v remain in a certain state, position, or condition
v support or hold in a certain manner
v be valid, applicable, or true
v assert or affirm
v have as a major characteristic
v be capable of holding or containing
v arrange for and reserve (something for someone else) in advance
v protect against a challenge or attack
v bind by an obligation; cause to be indebted
v hold the attention of
v remain committed to
v resist or confront with resistance
v be pertinent or relevant or applicable
v stop dealing with
v lessen the intensity of; temper; hold in restraint; hold or keep within limits
v keep from departing
v take and maintain control over, often by violent means
v cause to stop
v cover as for protection against noise or smell
v drink alcohol without showing ill effects
v aim, point, or direct
v declare to be
v be in accord; be in agreement
v keep from exhaling or expelling"
cocaine,n. a narcotic (alkaloid) extracted from coca leaves; used as a surface anesthetic or taken for pleasure; can become powerfully addictive
snort,"v. indicate contempt by breathing noisily and forcefully through the nose
v. make a snorting sound by exhaling hard"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
bum,"v. be lazy or idle
s. of very poor quality; flimsy"
nonchalant,s marked by blithe unconcern
hearth,"n. home symbolized as a part of the fireplace
n. an area near a fireplace (usually paved and extending out into a room)"
sanctum,n. a place of inviolable privacy
asylum,"n a shelter from danger or hardship
n a hospital for mentally incompetent or unbalanced person"
hormone,n. the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect
reinstate,v. restore to the previous state or rank
relapse,v. go back to bad behavior
relegate,"v. refer to another person for decision or judgment
v. assign to a class or kind"
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
lacquer,"n. a black resinous substance obtained from certain trees and used as a natural varnish
n. a hard glossy coating
v. coat with lacquer"
relinquish,"v part with a possession or right
v do without or cease to hold or adhere to
v turn away from; give up
v release, as from one's grip"
retaliate,"v. make a counterattack and return like for like, especially evil for evil"
reverend,"n. a title of respect for a clergyman
s. worthy of adoration or reverence"
credulous,"a. disposed to believe on little evidence
s. showing a lack of judgment or experience"
retarded,a. relatively slow in mental or emotional or physical development
ulterior,s. beyond or outside an area of immediate interest; remote
antelope,n. graceful Old World ruminant with long legs and horns directed upward and backward; includes gazelles; springboks; impalas; addax; gerenuks; blackbucks; dik-diks
waive,v. do without or cease to hold or adhere to
wares,"n articles of the same kind or material; usually used in combination: `silverware', `software'
n commodities offered for sale
v spend extravagantly
v make or wage war"
iterate,v. run or be performed again
excise,"n. a tax that is measured by the amount of business done (not on property or income from real estate)
v. levy an excise tax on
v. remove by cutting"
verbatim,r. using exactly the same words
fastidious,"a. giving careful attention to detail; hard to please; excessively concerned with cleanliness
a. having complicated nutritional requirements; especially growing only in special artificial cultures"
hilarious,s. marked by or causing boisterous merriment or convulsive laughter
gregarious,"a. (of animals) tending to form a group with others of the same species
s. instinctively or temperamentally seeking and enjoying the company of others
a. (of plants) growing in groups that are close together"
congenital,s. present at birth but not necessarily hereditary; acquired during fetal development
concord,"n. capital of the state of New Hampshire; located in south central New Hampshire on the Merrimack river
n. town in eastern Massachusetts near Boston where the first battle of the American Revolution was fought
v. arrange by concord or agreement"
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
blemish,"n. a mark or flaw that spoils the appearance of something (especially on a person's body)
v. mar or impair with a flaw"
blotter,n. the daily written record of events (as arrests) in a police station
slimy,"s covered with or resembling slime
s morally reprehensible"
infamous,s known widely and usually unfavorably; 
vigilant,s carefully observant or attentive; on the lookout for possible danger
jostle,"n. the act of jostling (forcing your way by pushing)
v. make one's way by jostling, pushing, or shoving
v. come into rough contact with while moving"
confederate,"n. a supporter of the Confederate States of America
n. someone who assists in a plot
v. form a confederation with; of nations
s. of or having to do with the southern Confederacy during the American Civil War"
dupe,"n a person who is tricked or swindled
v fool or hoax"
incipient,s. only partly in existence; imperfectly formed
inadvertent,s happening by chance or unexpectedly or unintentionally
loathe,v find repugnant
conform,"v. be similar, be in line with"
comply,"v. act in accordance with someone's rules, commands, or wishes"
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
preposterous,s incongruous; inviting ridicule
tatty,"s showing signs of wear and tear
s tastelessly showy"
overhaul,"n. periodic maintenance on a car or machine
v. make repairs, renovations, revisions or adjustments to"
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
pier,"n. a platform built out from the shore into the water and supported by piles; provides access to ships and boats
n. (architecture) a vertical supporting structure (as a portion of wall between two doors or windows)
n. a support for two adjacent bridge spans"
beckoning,"v signal with the hands or nod
v appear inviting
v summon with a wave, nod, or some other gesture"
ken,"n range of what one can know or understand
n the range of vision"
arcade,"n. a covered passageway with shops and stalls on either side
n. a structure composed of a series of arches supported by columns"
hiss,"n. a fricative sound (especially as an expression of disapproval)
v. make a sharp hissing sound, as if to show disapproval
v. move with a whooshing sound
v. express or utter with a hiss"
expectancy,"n an expectation
n something expected (as on the basis of a norm)"
vie,v compete for something; engage in a contest; measure oneself against others
shin,"n. the front part of the human leg between the knee and the ankle
n. a cut of meat from the lower part of the leg
n. the 22nd letter of the Hebrew alphabet"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
taint,"n the state of being contaminated
v place under suspicion or cast doubt upon
v contaminate with a disease or microorganism"
incriminate,v. suggest that someone is guilty
consecrate,v. render holy by means of religious rites
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
temporal,"s. not eternal
a. of or relating to or limited by time
a. of or relating to the temples (the sides of the skull behind the orbit)
s. of this earth or world"
ail,v. be ill or unwell
shred,"n. a tiny or scarcely detectable amount
v. tear into shreds"
gloat,"n. malicious satisfaction
v. dwell on with satisfaction
v. gaze at or think about something with great self-satisfaction, gratification, or joy"
cedar,"n. any of numerous trees of the family Cupressaceae that resemble cedars
n. durable aromatic wood of any of numerous cedar trees; especially wood of the red cedar often used for cedar chests
n. any cedar of the genus Cedrus"
haze,"n. atmospheric moisture or dust or smoke that causes reduced visibility
v. become hazy, dull, or cloudy
v. harass by imposing humiliating or painful tasks, as in military institutions"
impend,v. be imminent or about to happen
cartridge,"n. ammunition consisting of a cylindrical casing containing an explosive charge and a bullet; fired from a rifle or handgun
n. a module designed to be inserted into a larger piece of equipment
n. an electro-acoustic transducer that is the part of the arm of a record player that holds the needle and that is removable"
plumb,"v. measure the depth of something
v. weight with lead
v. examine thoroughly and in great depth
v. adjust with a plumb line so as to make vertical"
veer,v. shift to a clockwise direction
tinker,"n. a person who enjoys fixing and experimenting with machines and their parts
n. formerly a person (traditionally a Gypsy) who traveled from place to place mending pots and kettles and other metal utensils as a way to earn a living
v. work as a tinker or tinkerer
v. try to fix or mend"
credentials,"n a document attesting to the truth of certain stated facts
n a document attesting to the truth of certain stated facts"
crescent,"n. any shape resembling the curved shape of the moon in its first or last quarters
s. resembling the new moon in shape"
cleave,"v. separate or cut with a tool, such as a sharp instrument
v. make by cutting into"
hack,"n. one who works hard at boring tasks
n. a mediocre and disdained writer
n. a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil
n. an old or over-worked horse"
heckle,"v. comb with a heckle
v. challenge aggressively"
hoot,"n. a loud raucous cry (as of an owl)
v. to utter a loud clamorous shout
v. utter the characteristic sound of owls"
chuck,"n. the part of a forequarter from the neck to the ribs and including the shoulder blade
n. a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill
v. throw carelessly
v. throw away"
eddy,"n. founder of Christian Science in 1866 (1821-1910)
n. a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
v. flow in a circular current, of liquids"
flounder,"n. flesh of any of various American and European flatfish
n. any of various European and non-European marine flatfish
v. behave awkwardly; have difficulties"
fickle,s. marked by erratic changeableness in affections or attachments
frivolous,a. not serious in content or attitude or behavior
facile,"s. arrived at without due care or effort; lacking depth
s. performing adroitly and without effort"
congenial,"a. suitable to your needs
s. (used of plants) capable of cross-fertilization or of being grafted"
hoard,"n. a secret store of valuables or money
v. save up as for future use"
conserve,"n. fruit preserved by cooking with sugar
v. keep constant through physical or chemical reactions or evolutionary change
v. keep in safety and protect from harm, decay, loss, or destruction
v. use cautiously and frugally"
heed,v. pay close attention to; give heed to
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
aegis,"n kindly endorsement and guidance
n armor plate that protects the chest; the front part of a cuirass"
imprudent,"a. not prudent or wise
s. lacking wise self-restraint"
detriment,n. a damage or loss
unreal,"a. lacking in reality or substance or genuineness; not corresponding to acknowledged facts or criteria
a. not actually such; being or seeming fanciful or imaginary"
rapist,n someone who forces another to have sexual intercourse
psychopath,n someone with a sociopathic personality; a person with an antisocial personality disorder (`psychopath' was once widely used but has now been superseded by `sociopath')
endorsement,"n. a promotional statement (as found on the dust jackets of books)
n. a signature that validates something
n. the act of endorsing"
literally,"r. in a literal sense
r. (intensifier before a figurative expression) without exaggeration"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
instill,"v. impart gradually
v. enter drop by drop"
humility,"n. a disposition to be humble; a lack of false pride
n. a humble feeling"
psychic,"n. a person apparently sensitive to things beyond the natural range of perception
s. affecting or influenced by the human mind
s. outside the sphere of physical science"
boosterism,none
entrench,"v. fix firmly or securely
v. occupy a trench or secured area"
spurious,"s plausible but false
s born out of wedlock
s intended to deceive"
detract,v take away a part from; diminish
instigate,"v provoke or stir up
v serve as the inciting cause of"
digress,"v. lose clarity or turn aside especially from the main subject of attention or course of argument in writing, thinking, or speaking"
outnumber,v. be larger in number
disclaim,"v. renounce a legal claim or title to
v. make a disclaimer about"
disband,"v. cause to break up or cease to function
v. stop functioning or cohering as a unit"
regent,"n. members of a governing board
n. someone who rules during the absence or incapacity or minority of the country's monarch
s. acting or functioning as a regent or ruler"
tweed,n. thick woolen fabric used for clothing; originated in Scotland
flax,"n. fiber of the flax plant that is made into thread and woven into linen fabric
n. plant of the genus Linum that is cultivated for its seeds and for the fibers of its stem"
enrage,v. put into a rage; make violently angry
forebode,v make a prediction about; tell in advance
harrow,"n. a cultivator that pulverizes or smooths the soil
v. draw a harrow over (land)"
rinse,"n. a liquid preparation used on wet hair to give it a tint
n. the removal of soap with clean water in the final stage of washing
n. the act of giving a light tint to the hair
n. washing lightly without soap"
rum,n. liquor distilled from fermented molasses
rouge,"n. makeup consisting of a pink or red powder applied to the cheeks
v. redden by applying rouge to"
seedy,a. full of seeds
slurry,n. a suspension of insoluble particles (as plaster of Paris or lime or clay etc.) usually in water
rapport,n. a relationship of mutual understanding or trust and agreement between people
singe,v. burn superficially or lightly
munition,"n. military supplies
v. supply with weapons"
glee,"n great merriment
n malicious satisfaction"
pang,"n. a sudden sharp feeling
n. a mental pain or distress
n. a sharp spasm of pain"
partisan,"n. a fervent and even militant proponent of something
n. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries
a. devoted to a cause or party"
luscious,"s having strong sexual appeal
s extremely pleasing to the sense of taste"
bequeath,v. leave or give by will after one's death
bungalow,n. a small house with a single story
rattling,"n a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders)
v make short successive sounds
v shake and cause to make a rattling noise
s extraordinarily good or great; used especially as intensifiers
s quick and energetic
r used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
cleanse,"v. clean one's body or parts thereof, as by washing
v. purge of an ideology, bad thoughts, or sins"
clump,v. walk clumsily
docile,"a. willing to be taught or led or supervised or directed
s. ready and willing to be taught
s. easily handled or managed"
tractable,a. easily managed (controlled or taught or molded)
permeate,v. spread or diffuse through
alleviate,"v provide physical relief, as from pain
v make easier"
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
inundate,"v. fill or cover completely, usually with water"
encumber,v hold back
expedite,"v. speed up the progress of; facilitate
v. process fast and efficiently"
pertinent,s. having precise or logical relevance to the matter at hand
celerity,n. a rate that is rapid
doddering,s. mentally or physically infirm with age
chancellor,"n. the person who is head of state (in several countries)
n. the honorary or titular head of a university"
centrist,"n. a person who takes a position in the political center
s. supporting or pursuing a course of action that is neither liberal nor conservative"
tramp,"n. a disreputable vagrant
n. a heavy footfall
v. travel on foot, especially on a walking expedition
v. cross on foot"
senile,s mentally or physically infirm with age
fractious,"s. stubbornly resistant to authority or control
s. unpredictably difficult in operation; likely to be troublesome"
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
breach,"n. a failure to perform some promised act or obligation
n. an opening (especially a gap in a dike or fortification)"
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
errand,n. a short trip that is taken in the performance of a necessary task or mission
acquit,v. pronounce not guilty of criminal charges
circumvent,"v surround so as to force to give up
v beat through cleverness and wit
v avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
parenthesis,n. either of two punctuation marks (or) used to enclose textual material
treatise,n. a formal exposition
dismantle,"v tear down so as to make flat with the ground
v take apart into its constituent pieces
v take off or remove"
devolve,"v. pass on or delegate to another
v. grow worse"
flak,"n a slick spokesperson who can turn any criticism to the advantage of their employer
n intense adverse criticism
n artillery designed to shoot upward at airplanes"
fleck,"n a small fragment of something broken off from the whole
n a small contrasting part of something
v make a spot or mark onto"
furtive,s. marked by quiet and caution and secrecy; taking pains to avoid being observed
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
stark,"s. complete or extreme
r. completely"
consortium,n. an association of companies for some definite purpose
parody,"n. a composition that imitates or misrepresents somebody's style, usually in a humorous way
n. humorous or satirical mimicry
v. make a spoof of or make fun of"
zoom,"v. move along very quickly
v. move with a low humming noise"
doom,"n. an unpleasant or disastrous destiny
v. make certain of the failure or destruction of"
clog,"n. footwear usually with wooden soles
n. any object that acts as a hindrance or obstruction
v. become or cause to become obstructed
v. dance a clog dance"
clot,"n. a lump of material formed from the content of a liquid
v. change from a liquid to a thickened or solid state
v. cause to change from a liquid to a solid or thickened state"
fuzz,n. the first beard of an adolescent boy
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
squint,"n. the act of squinting; looking with the eyes partly closed
v. cross one's eyes as if in strabismus
v. be cross-eyed; have a squint or strabismus
v. partly close one's eyes, as when hit by direct blinding light"
hike,"n. a long walk usually for exercise or pleasure
v. increase
v. walk a long way, as for pleasure or physical exercise"
restitution,"n. the act of restoring something to its original state
n. getting something back again"
hoary,s. ancient
gallant,"s. unflinching in battle or action
s. having or displaying great dignity or nobility"
audacious,"s. invulnerable to fear or intimidation
s. unrestrained by convention or propriety
s. disposed to venture or take risks"
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
creak,n. a squeaking sound
squeak,n. a short high-pitched noise
covet,"v. wish, long, or crave for (something, especially the property of another person)"
cramp,"n. a clamp for holding pieces of wood together while they are glued
n. a strip of metal with ends bent at right angles; used to hold masonry together
v. secure with a cramp
v. affect with or as if with a cramp"
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
deadlock,n. a situation in which no progress can be made or no advancement is possible
impasse,"n a situation in which no progress can be made or no advancement is possible
n a street with only one way in or out"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
nomad,n. a member of a people who have no permanent home but move about according to the seasons
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
exacerbate,v. exasperate or irritate
measles,n. an acute and highly contagious viral disease marked by distinct red spots followed by a rash; occurs primarily in children
syphilis,n. a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
centralize,v. make central
discourse,"n. extended verbal expression in speech or writing
v. to consider or examine in speech or writing"
espouse,"v. take up the cause, ideology, practice, method, of someone and use it as one's own"
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
handicap,"n. advantage given to a competitor to equalize chances of winning
v. attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant
v. put at a disadvantage"
benighted,"s. overtaken by night or darkness
s. lacking enlightenment or knowledge or culture"
whine,"v. move with a whining sound
v. make a high-pitched, screeching noise
v. complain whiningly"
complacent,s. contented to a fault with oneself or one's actions
thrust,"n. verbal criticism
v. push forcefully
v. press or force
v. force (molten rock) into pre-existing rock"
outright,"s. without reservation or exception
r. without restrictions or stipulations or further payments
r. without reservation or concealment"
Nazism,n. a form of socialism featuring racism and expansionism and obedience to a strong leader
reshuffle,"n. a redistribution of something
n. shuffling again
v. shuffle again
v. reorganize and assign posts to different people"
repulse,"n an instance of driving away or warding off
v force or drive back
v be repellent to; cause aversion in
v cause to move back by force or influence"
revert,"v. go back to a previous state
v. undergo reversion, as in a mutation"
rivet,"n. heavy pin having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together
v. fasten with a rivet or rivets
v. hold (someone's attention)"
boggle,"v. startle with amazement or fear
v. hesitate when confronted with a problem, or when in doubt or fear"
bereave,v. deprive through death
pester,v annoy persistently
squirm,"n the act of wiggling
v to move in a twisting or contorted motion, (especially when struggling)"
orgasm,n. the moment of most intense pleasure in sexual intercourse
acoustics,n. the study of the physical properties of sound
collaborate,"v. work together on a common enterprise of project
v. cooperate as a traitor"
corpus,"n. a collection of writings
n. the main part of an organ or other bodily structure"
cumbersome,s. difficult to handle or use especially because of size or weight
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
tilt,"n. a slight but noticeable partiality
n. the property possessed by a line or surface that departs from the vertical
v. charge with a tilt"
lobe,"n. (anatomy) a somewhat rounded subdivision of a bodily organ or part
n. (botany) a part into which a leaf is divided
n. the enhanced response of an antenna in a given direction as indicated by a loop in its radiation pattern
n. a rounded projection that is part of a larger structure"
loft,"n. floor consisting of a large unpartitioned space over a factory or warehouse or other commercial space
n. floor consisting of open space at the top of a house just below roof; often used for storage
n. (golf) the backward slant on the head of some golf clubs that is designed to drive the ball high in the air
n. a raised shelter in which pigeons are kept"
malt,"n. a lager of high alcohol content; by law it is considered too alcoholic to be sold as lager or beer
n. a cereal grain (usually barley) that is kiln-dried after having been germinated by soaking in water; used especially in brewing and distilling
v. treat with malt or malt extract
v. turn into malt, become malt"
doleful,s. filled with or evoking sadness
charitable,"a. relating to or characterized by charity
a. full of love and generosity
s. showing or motivated by sympathy and understanding and generosity"
forage,v. wander and feed
forbear,v. refrain from doing
grate,"n. a frame of iron bars to hold a fire
n. a harsh rasping sound made by scraping something
n. a barrier that has parallel or crossed bars blocking a passage but admitting air
v. furnish with a grate"
laurel,"n. any of various aromatic trees of the laurel family
n. United States slapstick comedian (born in England) who played the scatterbrained and often tearful member of the Laurel and Hardy duo who made many films (1890-1965)
n. (antiquity) a wreath of laurel foliage worn on the head as an emblem of victory"
flippant,s. showing inappropriate levity
lenient,"s. not strict
s. characterized by tolerance and mercy"
rake,"n. a dissolute man in fashionable society
n. a long-handled tool with a row of teeth at its head; used to move leaves or loosen soil
v. move through with or as if with a rake
v. level or smooth with a rake"
rasp,"n. uttering in an irritated tone
n. a coarse file with sharp pointed projections
v. scrape with a rasp
v. utter in a grating voice"
intermittent,s. stopping and starting at irregular intervals
devastate,v. overwhelm or overpower
ignite,v. cause to start burning; subject to fire or great heat
inborn,"s present at birth but not necessarily hereditary; acquired during fetal development
s normally existing at birth"
rodent,n. relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
rite,n. an established ceremony prescribed by a religion
bandwagon,"n. a popular trend that attracts growing support
n. a large ornate wagon for carrying a musical band"
dislocate,"v. move out of position
v. put out of its usual place, position, or relationship"
repressive,s restrictive of action
perceive,"v. to become aware of through the senses
v. become conscious of"
propaganda,n. information that is spread for the purpose of promoting some cause
seethe,"v. be in an agitated emotional state
v. foam as if boiling
v. boil vigorously"
standing,"n. social or financial or professional status or reputation
n. an ordered listing of scores or results showing the relative positions of competitors (individuals or teams) in a sporting event
n. the act of assuming or maintaining an erect upright position
s. having a supporting base"
fauna,n. all the animal life in a particular region or period
cholera,n. an acute intestinal infection caused by ingestion of contaminated water or food
agonizing,s. extremely painful
chic,"n. elegance by virtue of being fashionable
s. elegant and stylish"
wade,"n. English tennis player who won many women's singles titles (born in 1945)
v. walk (through relatively shallow water)"
chapel,n. a place of worship that has its own altar
strangle,"v. kill by squeezing the throat of so as to cut off the air
v. die from strangulation"
unobtrusive,a. not obtrusive or undesirably noticeable
slither,v. to pass or move unobtrusively or smoothly
slop,"n. wet feed (especially for pigs) consisting of mostly kitchen waste mixed with water or skimmed or sour milk
n. deep soft mud in water or slush
n. (usually plural) waste water from a kitchen or bathroom or chamber pot that has to be emptied by hand
n. (usually plural) weak or watery unappetizing food or drink"
aspire,v have an ambitious plan or a lofty goal
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
custard,n. sweetened mixture of milk and eggs baked or boiled or frozen
repository,"n. a person to whom a secret is entrusted
n. a burial vault (usually for some famous person)"
lotus,"n. native to eastern Asia; widely cultivated for its large pink or white flowers
n. annual or perennial herbs or subshrubs
n. white Egyptian lotus: water lily of Egypt to southeastern Africa; held sacred by the Egyptians"
lotion,"n. any of various cosmetic preparations that are applied to the skin
n. liquid preparation having a soothing or antiseptic or medicinal action when applied to the skin"
snarl,"n. a vicious angry growl
n. an angry vicious expression
v. make a snarling noise or move with a snarling noise
v. make more complicated or confused through entanglements"
snare,"n. a surgical instrument consisting of wire hoop that can be drawn tight around the base of polyps or small tumors to sever them; used especially in body cavities
n. strings stretched across the lower head of a snare drum; they make a rattling sound when the drum is hit
n. a trap for birds or small mammals; often has a slip noose"
terracotta,none
tepid,"s moderately warm
s feeling or showing little interest or enthusiasm"
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
eligible,a. qualified for or allowed or worthy of being chosen
enshrine,"v. enclose in a shrine
v. hold sacred"
enthrall,v hold spellbound
husk,"n. outer membranous covering of some fruits or seeds
v. remove the husks from"
hump,"n something that bulges out or is protuberant or projects from its surroundings
v round one's back by bending forward and drawing the shoulders forward
v have sexual intercourse with"
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
mash,"n. a mixture of mashed malt grains and hot water; used in brewing
n. mixture of ground animal feeds"
provisional,s under terms not final or fully worked out or agreed upon
wring,"v. twist and compress, as if in pain or anguish
v. twist, squeeze, or compress in order to extract liquid"
dingy,"s thickly covered with ingrained dirt or soot
s (of color) discolored by impurities; not bright and clear
s causing dejection"
audible,"n. a football play is changed orally after both teams have assumed their positions at the line of scrimmage
a. heard or perceptible by the ear"
perceptible,"a. capable of being perceived by the mind or senses
s. easily perceived by the senses or grasped by the mind"
babble,"n. gibberish resembling the sounds of a baby
v. utter meaningless sounds, like a baby, or utter in an incoherent way
v. to talk foolishly"
cult,"n. followers of an exclusive system of religious beliefs and practices
n. followers of an unorthodox, extremist, or false religion or sect who often live outside of conventional society under the direction of a charismatic leader
n. a religion or sect that is generally considered to be unorthodox, extremist, or false
n. a system of religious beliefs and rituals"
inquisitive,"s. showing curiosity
s. inquiring or appearing to inquire"
motley,"n. a garment made of motley (especially a court jester's costume)
n. a multicolored woolen fabric woven of mixed threads in 14th to 17th century England
v. make motley; color with different colors
s. having sections or patches colored differently and usually brightly"
ostentatious,"a. intended to attract notice and impress others
s. (of a display) tawdry or vulgar"
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
reputed,v look on as or consider
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
duress,n. compulsory force or threat
accolade,n a tangible symbol signifying approval or distinction
bestow,v. give as a gift
felt,"n. a fabric made of compressed matted animal fibers
v. mat together and make felt-like
v. cover with felt"
pinnacle,"n. (architecture) a slender upright spire at the top of a buttress of tower
n. a lofty peak
v. surmount with a pinnacle
v. raise on or as if on a pinnacle"
lurid,"s. horrible in fierceness or savagery
s. glaringly vivid and graphic; marked by sensationalism
s. shining with an unnatural red glow as of fire seen through smoke
s. ghastly pale"
bulge,"n. something that bulges out or is protuberant or projects from its surroundings
v. swell or protrude outwards
v. bulge out; form a bulge outward, or be so full as to appear to bulge
v. cause to bulge or swell outwards"
paunchy,s having a large belly
booming,"s. very lively and profitable
s. used of the voice"
decry,v express strong disapproval of
yuppie,n. a young upwardly mobile professional individual; a well-paid middle-class professional who works in a city and has a luxurious life style
sip,"n. a small drink
v. drink in sips"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
unplug,v. pull the plug of (electrical appliances) and render inoperable
energize,"v cause to be alert and energetic
v raise to a higher energy level"
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
glitter,"n. the quality of shining with a bright reflected light
n. the occurrence of a small flash or spark
v. be shiny, as if wet"
renown,n the state or quality of being widely honored and acclaimed
ravage,n. (usually plural) a destructive action
coronation,n. the ceremony of installing a new monarch
coroner,n. a public official who investigates by inquest any death not due to natural causes
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
claimant,n. someone who claims a benefit or right or title
vault,"n. a burial chamber (usually underground)
n. a strongroom or compartment (often made of steel) for safekeeping of valuables
n. an arched brick or stone ceiling or roof
n. the act of jumping over an obstacle"
wield,"v. have and exercise
v. handle effectively"
vantage,n. place or situation affording some advantage (especially a comprehensive view or commanding perspective)
serenade,"n. a song characteristically played outside the house of a woman
v. sing and play for somebody"
