oh,n a midwestern state in north central United States in the Great Lakes region
glasses,"n optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
n a brittle transparent solid with irregular atomic structure
n a container for holding liquids while drinking
n the quantity a glass will hold
n a small refracting telescope
n an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant
n a mirror; usually a ladies' dressing mirror
n glassware collectively
v furnish with glass
v scan (game in the forest) with binoculars
v enclose with glass
v put in a glass container
v become glassy or take on a glass-like appearance"
walking,"n the act of traveling by foot
v use one's feet to advance; advance by steps
v accompany or escort
v obtain a base on balls
v traverse or cover by walking
v give a base on balls to
v live or behave in a specified manner
v be or act in association with
v walk at a pace
v make walk
v take a walk; go for a walk; walk for pleasure
s close enough to be walked to"
really,"r in accordance with truth or fact or reality
r in actual fact
r in fact (used as intensifiers or sentence modifiers)
r used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
bowl,"n. a round vessel that is open at the top; used chiefly for holding food or liquids; 
n. a concave shape with an open top
n. a dish that is round and open at the top for serving foods
n. the quantity contained in a bowl"
time,"n. an instance or single occasion for some event
n. a period of time considered as a resource under your control and sufficient to accomplish something
n. an indefinite period (usually marked by specific attributes or activities)
n. a suitable moment"
tennis,n. a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court
volleyball,"n. a game in which two teams hit an inflated ball over a high net using their hands
n. an inflated ball used in playing volleyball"
enjoy,"v. derive or receive pleasure from; get enjoyment from; take pleasure in
v. have benefit from
v. have for one's benefit"
go swimming,none
player,"n. a person who participates in or is skilled at some game
n. a person who pursues a number of different social and sexual partners simultaneously
n. an important participant (as in a business deal)"
member,"n. one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
n. anything that belongs to a set or class
n. an organization that is a member of another organization (especially a state that belongs to a group of nations)"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
free,"n. people who are free
v. grant freedom to; free from confinement
v. make (information) available for publication
v. free from obligations or duties"
hope,"n. a specific instance of feeling hopeful
n. the general feeling that some desire will be fulfilled
n. someone (or something) on which expectations are centered
n. United States comedian (born in England) who appeared in films with Bing Crosby (1903-2003)"
dream,"n. a series of mental images and emotions occurring during sleep
n. imaginative thoughts indulged in while awake
n. a state of mind characterized by abstraction and release from reality
n. someone or something wonderful"
true,"n. proper alignment; the property possessed by something that is in correct or proper alignment
v. make level, square, balanced, or concentric
a. consistent with fact or reality; not false
s. accurately placed or thrown"
come true,none
drawing,"n. an illustration that is drawn by hand and published in a book, magazine, or newspaper
n. a representation of forms or objects on a surface by means of lines
n. the creation of artistic pictures or diagrams
n. act of getting or draining something such as electricity or a liquid from a source"
weekend,"n. a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
v. spend the weekend"
at weekends,none
on weekends,none
at the weekend,none
on the weekend,none
of course,none
shop,"n. a mercantile establishment for the retail sale of goods or services
v. do one's shopping
v. shop around; not necessarily buying"
table tennis,none
else,"a. & pron. Other; one or something beside; as, Who else is
   coming? What else shall I give? Do you expect anything else?
adv. & conj. Besides; except that mentioned; in addition; as,
   nowhere else; no one else.
adv. & conj. Otherwise; in the other, or the contrary, case; if
   the facts were different."
lot,"n. a parcel of land having fixed boundaries
n. (Old Testament) nephew of Abraham; God destroyed Sodom and Gomorrah but chose to spare Lot and his family who were told to flee without looking back at the destruction
v. divide into lots, as of land, for example"
a lot of,none
lots of,none
fun,"n. activities that are enjoyable or amusing
n. verbal wit or mockery (often at another's expense but not to be taken seriously)
n. violent and excited activity"
team,"n. a cooperative unit (especially in sports)
n. two or more draft animals that work together to pull something
v. form a team"
talk about,none
talk of,none
match,"n. lighter consisting of a thin piece of wood or cardboard tipped with combustible chemical; ignites with friction
n. a formal contest in which two or more persons or teams compete
n. a burning piece of wood or cardboard
n. an exact duplicate"
hero,"n. a man distinguished by exceptional courage and nobility and strength
n. the principal character in a play or movie or novel or poem
n. Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century)
n. (classical mythology) a being of great strength and courage celebrated for bold exploits; often the offspring of a mortal and a god"
which,"a. Of what sort or kind; what; what a; who.
a. A interrogative pronoun, used both substantively and
   adjectively, and in direct and indirect questions, to ask for, or refer
   to, an individual person or thing among several of a class; as, which
   man is it? which woman was it? which is the house? he asked which route
   he should take; which is best, to live or to die? See the Note under
   What, pron., 1.
pron. A relative pronoun, used esp. in referring to an
   antecedent noun or clause, but sometimes with reference to what is
   specified or implied in a sentence, or to a following noun or clause
   (generally involving a reference, however, to something which has
   preceded). It is used in all numbers and genders, and was formerly used
   of persons.
pron. A compound relative or indefinite pronoun, standing for
   any one which, whichever, that which, those which, the . . . which, and
   the like; as, take which you will."
best,"n. the supreme effort one can make
n. the person who is most outstanding or excellent; someone who tops all others
n. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)"
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
geography,n. study of the earth's surface; includes people's responses to topography and climate and soil and vegetation
history,"n. the aggregate of past events
n. a record or narrative description of past events
n. the discipline that records and interprets past events involving human beings
n. the continuum of events occurring in succession leading from the past to the present and even into the future"
date,"n. the specified day of the month
n. a participant in a date
n. a meeting arranged in advance
n. a particular but unspecified point in time"
meeting,"n. a formally arranged gathering
n. a small informal social gathering
n. a casual or unexpected convergence
n. the social act of assembling for some common purpose"
o'clock,r. according to the clock
OK,"n a state in south central United States
k an endorsement
s being satisfactory or in satisfactory condition
r an expression of agreement normally occurring at the beginning of a sentence"
okay,r. in a satisfactory or adequate manner; (`alright' is a nonstandard variant of `all right')
gate,"n. a movable barrier in a fence or wall
n. a computer circuit with several inputs but only one output that can be activated by particular combinations of inputs
n. total admission receipts at a sports event
n. passageway (as in an air terminal) where passengers can embark or disembark"
so,"r. to a very great extent or degree
r. in a manner that facilitates
r. in such a condition or manner, especially as expressed or implied
r. to a certain unspecified extent or degree"
show,"n. the act of publicly exhibiting or entertaining
n. a social event involving a public performance or entertainment
v. give an exhibition of to an interested audience
v. make visible or noticeable"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
show sb. around,none
front,"n. the side that is forward or prominent
n. the outward appearance of a person
n. the side that is seen or that goes first
n. a sphere of activity involving effort"
in front of,none
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
ground,"n. a position to be won or defended in battle (or as if in battle)
n. a relatively homogeneous percept extending back of the figure on which attention is focused
n. a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage)
n. (art) the surface (as a wall or canvas) prepared to take the paint for a painting"
ground floor,s on the floor closest to level with the ground
first floor,none
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
modern,"n. a contemporary person
n. a typeface (based on an 18th century design by Gianbattista Bodoni) distinguished by regular shape and hairline serifs and heavy downstrokes
a. belonging to the modern era; since the Middle Ages
s. characteristic of present-day art and music and literature and architecture"
hall,"n. a large room for gatherings or entertainment
n. English writer whose novel about a lesbian relationship was banned in Britain for many years (1883-1943)
n. United States child psychologist whose theories of child psychology strongly influenced educational psychology (1844-1924)
n. United States chemist who developed an economical method of producing aluminum from bauxite (1863-1914)"
diary,"n. a daily written record of (usually personal) experiences and observations
n. a personal journal (as a physical object)"
look at,none
wall,"n. an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
n. anything that suggests a wall in structure or function or effect
n. (anatomy) a layer (a lining or membrane) that encloses a structure
n. a difficult or awkward situation"
let me see,none
after class,none
pardon,"n. a warrant granting release from punishment for an offense
v. grant a pardon to"
phone,n. (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
telephone,"n. electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
n. transmitting speech at a distance"
on the phone,none
from ... to ...,none
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
get up,n a set of clothing (with accessories)
go to school,none
a.m.,"s before noon
r before noon"
p.m.,"s after noon
r between noon and midnight"
reading room,none
only,"r. with nevertheless the final result
r. in the final outcome
r. except that; only this time she came out better""
r. never except when"
sure,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
kind,"n. a category of things distinguished by some common characteristic or quality
a. having or showing a tender and considerate and helpful nature; used especially of persons and their behavior
s. agreeable, conducive to comfort
s. tolerant and forgiving under provocation"
all kinds of,none
borrow,v. get temporarily
borrow ... from ...,none
letter,"n. a written message addressed to a person or organization
n. the conventional characters of the alphabet used to represent speech
n. owner who lets another person use something (housing usually) for hire
n. a strictly literal interpretation (as distinct from the intention)"
few,"n. a small elite group
a. a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number"
a few,none
away,"s. not present; having left
a. used of an opponent's ground
s. (of a baseball pitch) on the far side of home plate from the batter
r. from a particular thing or place or position (`forth' is obsolete)"
far away from,none
on foot,none
best,"n. the supreme effort one can make
n. the person who is most outstanding or excellent; someone who tops all others
n. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)"
all the best,none
wake,"n. the wave that spreads behind a boat as it moves forward
n. a vigil held over a corpse the night before burial
v. be awake, be alert, be there
v. make aware of"
wake up,none
shall,"v. i. & auxiliary. To owe; to be under obligation for.
v. i. & auxiliary. To be obliged; must.
v. i. & auxiliary. As an auxiliary, shall indicates a duty or
   necessity whose obligation is derived from the person speaking; as, you
   shall go; he shall go; that is, I order or promise your going. It thus
   ordinarily expresses, in the second and third persons, a command, a
   threat, or a promise. If the auxillary be emphasized, the command is
   made more imperative, the promise or that more positive and sure. It is
   also employed in the language of prophecy; as, ""the day shall come when
   . . . , "" since a promise or threat and an authoritative prophecy
   nearly coincide in significance. In shall with the first person, the
   necessity of the action is sometimes implied as residing elsewhere than
   in the speaker; as, I shall suffer; we shall see; and there is always a
   less distinct and positive assertion of his volition than is indicated
   by will. ""I shall go"" implies nearly a simple futurity; more exactly, a
   foretelling or an expectation of my going, in which, naturally enough,
   a certain degree of plan or intention may be included; emphasize the
   shall, and the event is described as certain to occur, and the
   expression approximates in meaning to our emphatic ""I will go."" In a
   question, the relation of speaker and source of obligation is of course
   transferred to the person addressed; as, ""Shall you go?"" (answer, ""I
   shall go""); ""Shall he go?"" i. e., ""Do you require or promise his
   going?"" (answer, ""He shall go"".) The same relation is transferred to
   either second or third person in such phrases as ""You say, or think,
   you shall go;"" ""He says, or thinks, he shall go."" After a conditional
   conjunction (as if, whether) shall is used in all persons to express
   futurity simply; as, if I, you, or he shall say they are right. Should
   is everywhere used in the same connection and the same senses as shall,
   as its imperfect. It also expresses duty or moral obligation; as, he
   should do it whether he will or not. In the early English, and hence in
   our English Bible, shall is the auxiliary mainly used, in all the
   persons, to express simple futurity. (Cf. Will, v. t.) Shall may be
   used elliptically; thus, with an adverb or other word expressive of
   motion go may be omitted."
hill,"n. a local and well-defined elevation of the land
n. United States railroad tycoon (1838-1916)
n. risque English comedian (1925-1992)
v. form into a hill"
seldom,r not often
out,"n. (baseball) a failure by a batter or runner to reach a base safely in baseball
v. reveal (something) about somebody's identity or lifestyle
v. be made known; be disclosed or revealed
a. not allowed to continue to bat or run"
go out,none
have breakfast,none
have lunch,none
have dinner,none
need,"n. a condition requiring relief
n. anything that is necessary but lacking
v. have or feel a need for"
rest,"n. freedom from activity (work or strain or responsibility)
n. a state of inaction
n. euphemisms for death (based on an analogy between lying in a bed and in a tomb)
n. a support on which things can be put"
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
have fun,none
have lessons,none
after-school,s outside regular school hours
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
homework,n. preparatory school work done outside school (especially at home)
go to bed,none
usually,r under normal conditions
never,"r. not ever; at no time in the past or future
r. not at all; certainly not; not in any circumstances"
be late for,none
start,"n. the beginning of anything
n. a turn to be a starter (in a game at the beginning)
n. a line indicating the location of the start of a race or a game
n. the advantage gained by beginning early (as in a race)"
quarter,"n. a district of a city having some distinguishing character
n. (football, professional basketball) one of four divisions into which some games are divided
n. a unit of time equal to 15 minutes or a quarter of an hour
n. one of four periods into which the school year is divided"
past,"n. the time that has elapsed
n. a earlier period in someone's life (especially one that they have reason to keep secret)
n. a verb tense that expresses actions or states in the past
a. earlier than the present time; no longer current"
in the morning,none
in the afternoon,none
in the evening,none
first,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree"
chat,n. an informal conversation
each,"s. (used of count nouns) every one considered individually
r. to or from every one of two or more (considered individually)"
other,"a. not the same one or ones already mentioned or implied
s. recently past
s. very unusual; different in character or quality from the normal or expected"
each other,none
practise,"v engage in a rehearsal (of)
v carry out or practice; as of jobs and professions
v learn by repetition"
have a good time,none
wish,"n. a specific feeling of desire
n. an expression of some desire or inclination
n. the particular preference that you have
v. hope for; have a wish"
would,"imp. of Will
v. t. Commonly used as an auxiliary verb, either in the past
   tense or in the conditional or optative present. See 2d & 3d Will.
n. See 2d Weld."
would like,none
'd like,none
life,"n. a characteristic state or mode of living
n. the experience of being alive; the course of human events and activities
n. the course of existence of an individual; the actions and events that occur in living
n. the period during which something is functional (as between birth and death)"
lives,"n a characteristic state or mode of living
n the experience of being alive; the course of human events and activities
n the course of existence of an individual; the actions and events that occur in living
n the condition of living or the state of being alive
n the period during which something is functional (as between birth and death)
n the period between birth and the present time
n the period from the present until death
n a living person
n animation and energy in action or expression
n living things collectively
n the organic phenomenon that distinguishes living organisms from nonliving ones
n an account of the series of events making up a person's life
n a motive for living
n a prison term lasting as long as the prisoner lives
v inhabit or live in; be an inhabitant of
v lead a certain kind of life; live in a certain style
v continue to live through hardship or adversity
v support oneself
v have life, be alive
v have firsthand knowledge of states, situations, emotions, or sensations
v pursue a positive and satisfying existence"
roller skating,-ing form of rollerskate
wish,"n. a specific feeling of desire
n. an expression of some desire or inclination
n. the particular preference that you have
v. hope for; have a wish"
luck,"n. an unknown and unpredictable phenomenon that causes an event to result one way rather than another
n. an unknown and unpredictable phenomenon that leads to a favorable outcome"
museum,n. a depository for collecting and displaying objects having scientific or historical or artistic value
twice,r. two times
picnic,"n. any informal meal eaten outside or on an excursion
v. eat alfresco, in the open air"
once,"r. on one occasion
r. as soon as
r. at a previous time;"
dislike,"n. a feeling of aversion or antipathy
v. have or feel a dislike or distaste for"
reason,"n. a rational motive for a belief or action
n. an explanation of the cause of some phenomenon
n. the capacity for rational thought or inference or discrimination
n. a fact that logically justifies some premise or conclusion"
ready,"n. poised for action
a. completely prepared or in condition for immediate action or use or progress
s. (of especially money) immediately available
s. mentally disposed"
get ready for sth.,none
learn,"v. gain knowledge or skills
v. get to know or become aware of, usually accidentally
v. be a student of a certain subject"
world,"n. people in general; especially a distinctive group of people with some shared interest
n. all of your experiences that determine how things appear to you
n. a part of the earth that can be considered separately
n. all of the living human inhabitants of the earth"
celebrate,v. have a celebration
guess,"n. a message expressing an opinion based on incomplete evidence
n. an estimate based on little or no information
v. put forward, of a guess, in spite of possible refutation
v. guess correctly; solve by guessing"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
dress up,none
as,"n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
n a United States territory on the eastern part of the island of Samoa
n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
n the basic unit of electric current adopted under the Systeme International d'Unites
n the 1st letter of the Roman alphabet
n the blood group whose red cells carry the A antigen
r to the same degree (often followed by `as')"
ghost,"n. a mental representation of some haunting experience
n. the visible disembodied soul of a dead person
v. move like a ghost
v. write for someone else"
Christmas,"n. period extending from Dec. 24 to Jan. 6
n. a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
festival,"n. a day or period of time set aside for feasting and celebration
n. an organized series of acts and performances (usually in one place)"
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
present,"n. the period of time that is happening now; any continuous stretch of time including the moment of speech
n. something presented as a gift
n. a verb tense that expresses actions or states at the time of speaking
v. bring forward and present to the mind"
together,"s. mentally and emotionally stable
r. in contact with each other or in proximity
r. assembled in one place
r. in each other's company"
get together,none
moon cake,none
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
USA,"n North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
n the army of the United States of America; the agency that organizes and trains soldiers for land warfare"
United States of America,none
mask,"n. a covering to disguise or conceal the face
n. activity that tries to conceal something
n. a protective covering worn over the face
v. put a mask on or cover with a mask"
paint,"n. a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
v. make a painting
v. apply paint to; coat with paint
v. make a painting of"
pumpkin,"n. a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes
n. usually large pulpy deep-yellow round fruit of the squash family maturing in late summer or early autumn"
lantern,n. light in a transparent protective case
when,"adv. At what time; -- used interrogatively.
adv. At what time; at, during, or after the time that; at or
   just after, the moment that; -- used relatively.
adv. While; whereas; although; -- used in the manner of a
   conjunction to introduce a dependent adverbial sentence or clause,
   having a causal, conditional, or adversative relation to the principal
   proposition; as, he chose to turn highwayman when he might have
   continued an honest man; he removed the tree when it was the best in
   the grounds.
adv. Which time; then; -- used elliptically as a noun."
inside,"n. the region that is inside of something
n. the inner or enclosed surface of something
a. relating to or being on the side closer to the center or within a defined space
s. being or applying to the inside of a building"
knock,"n. the sound of knocking (as on a door or in an engine or bearing)
n. negative criticism
n. a vigorous blow
n. a bad experience"
knock on the door,none
shout,"v. utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking)
v. utter a sudden loud cry"
trick or treat,none
if,"conj. In case that; granting, allowing, or supposing that; --
   introducing a condition or supposition.
conj. Whether; -- in dependent questions."
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
trick,"n. a cunning or deceitful action or device
n. a period of work or duty
n. an attempt to get you to do something foolish or imprudent
n. (card games) in a single round, the sequence of cards played by all the players; the high card is the winner"
special,"n. a special offering (usually temporary and at a reduced price) that is featured in advertising
n. a dish or meal given prominence in e.g. a restaurant
n. a television production that features a particular person or work or topic
s. for a special service or occasion"
question,"n. an instance of questioning
n. the subject matter at issue
n. a sentence of inquiry that asks for a reply
n. an informal reference to a marriage proposal"
dumpling,"n. small balls or strips of boiled or steamed dough
n. dessert made by baking fruit wrapped in pastry"
rice dumpling,none
grandparent,n. a parent of your father or mother
other,"a. not the same one or ones already mentioned or implied
s. recently past
s. very unusual; different in character or quality from the normal or expected"
thing,"n. a special situation
n. an action
n. a special abstraction
n. an artifact"
lion,"n. large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n. a celebrity who is lionized (much sought after)"
lion dance,none
firework,n. (usually plural) a device with an explosive that burns at a low rate and with colored flames; can be used to illuminate areas or send signals etc.
find out,none
more,"n. English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
a. (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
a. (comparative of `many' used with count nouns) quantifier meaning greater in number
r. used to form the comparative of some adjectives and adverbs"
radio,"n. medium for communication
n. a communication system based on broadcasting electromagnetic waves
v. transmit messages via radio waves
a. indicating radiation or radioactivity"
take photos,none
at night,none
show,"n. the act of publicly exhibiting or entertaining
n. a social event involving a public performance or entertainment
v. give an exhibition of to an interested audience
v. make visible or noticeable"
seem,"v. appear to exist
v. appear to one's own mind or opinion"
different,"a. unlike in nature or quality or form or degree
s. distinctly separate from the first
s. differing from all others; not ordinary
s. distinct or separate"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
important,"a. of great significance or value
s. having or suggesting a consciousness of high position"
most,"a. (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
a. the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree
r. used to form the superlative
r. very"
off,"a. not in operation or operational
s. below a satisfactory level
a. (of events) no longer planned or scheduled
s. in an unpalatable state"
let off,"n. A device for letting off, releasing, or giving forth, as
   the warp from the cylinder of a loom."
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
packet,"n. (computer science) a message or message fragment
n. a small package or bundle"
red packet,none
lifestyle,n a manner of living that reflects the person's values and attitudes
noon,n. the middle of the day
hamburger,"n. a sandwich consisting of a fried cake of minced beef served on a bun, often with other ingredients"
keep,"n. the main tower within the walls of a medieval castle or fortress
v. keep in a certain state, position, or activity; e.g., ""keep clean""
v. retain possession of
v. look after; be the keeper of; have charge of"
lemon,"n. yellow oval fruit with juicy acidic flesh
n. a small evergreen tree that originated in Asia but is widely cultivated for its fruit
n. a distinctive tart flavor characteristic of lemons
n. an artifact (especially an automobile) that is defective or unsatisfactory"
watermelon,"n. an African melon
n. large oblong or roundish melon with a hard green rind and sweet watery red or occasionally yellowish pulp"
chocolate,"n. a food made from roasted ground cacao beans
n. a medium brown to dark-brown color"
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
carrot,"n. deep orange edible root of the cultivated carrot plant
n. perennial plant widely cultivated as an annual in many varieties for its long conical orange edible roots; temperate and tropical regions
n. orange root; important source of carotene
n. promise of reward as in ""carrot and stick"";"
pork,n. meat from a domestic hog or pig
sweet,"n. English phonetician; one of the founders of modern phonetics (1845-1912)
n. a food rich in sugar
n. the taste experience when sugar dissolves in the mouth
a. having or denoting the characteristic taste of sugar"
candy,n. a rich sweet made of flavored sugar and often combined with fruit or nuts
meat,n. the flesh of animals (including fishes and birds and snails) used as food
snack,"n a light informal meal
v eat a snack; eat lightly"
health,"n. a healthy state of wellbeing free from disease
n. the general condition of body and mind"
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
keep fit,none
meal,"n. the food served and eaten at one time
n. any of the occasions for eating food that occur by custom or habit at more or less fixed times
n. coarsely ground foodstuff; especially seeds of various cereal grasses or pulse"
pear,"n. sweet juicy gritty-textured fruit available in many varieties
n. Old World tree having sweet gritty-textured juicy fruit; widely cultivated in many varieties"
sugar,"n. a white crystalline carbohydrate used as a sweetener and preservative
v. sweeten with sugar"
tooth,"n. hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n. something resembling the tooth of an animal
n. toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell
n. a means of enforcement"
teeth,"n the kind and number and arrangement of teeth (collectively) in a person or animal
n hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n something resembling the tooth of an animal
n toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell
n a means of enforcement
n one of a number of uniform projections on a gear"
computer game,none
cola,"n. large genus of African trees bearing kola nuts
n. carbonated drink flavored with extract from kola nuts (`dope' is a southernism in the United States)"
change,"n. an event that occurs when something passes from one state or phase to another
n. a relational difference between states; especially between states before and after some event
n. the action of changing something
n. the result of alteration or modification"
plan,"n. a series of steps to be carried out or goals to be accomplished
n. scale drawing of a structure
v. have the will and intention to carry out some action
v. make plans for something"
pool,"n. an excavation that is (usually) filled with water
n. an organization of people or resources that can be shared
n. any communal combination of funds
n. a small body of standing water (rainwater) or other liquid"
swimming pool,none
piece,"n. a separate part of a whole
n. an item that is an instance of some type; 
n. an instance of some kind
n. an artistic or literary composition"
a piece of,none
glass,"n. a brittle transparent solid with irregular atomic structure
n. a container for holding liquids while drinking
n. the quantity a glass will hold
n. glassware collectively"
plate,"n. a sheet of metal or wood or glass or plastic
n. a full-page illustration (usually on slick paper)
n. dish on which food is served or from which food is eaten
n. the quantity contained in a plate"
salt,"n. a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal)
n. white crystalline form of especially sodium chloride used to season and preserve food
n. the taste experience when common salt is taken into the mouth
v. add salt to"
cup,"n. a small open container usually used for drinking; usually has a handle
n. the quantity a cup will hold
n. any cup-shaped concavity
n. a United States liquid unit equal to 8 fluid ounces"
kilo,n one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
kilogram,n. one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
carton,"n. the quantity contained in a carton
n. a box made of cardboard; opens by flaps on top"
bottle,"n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n. the quantity contained in a bottle
n. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
v. store (liquids or gases) in bottles"
