lantern,n. light in a transparent protective case
leaped,"v move forward by leaps and bounds
v pass abruptly from one state or topic to another
v jump down from an elevated point
v cause to jump or leap"
leaped,"v move forward by leaps and bounds
v pass abruptly from one state or topic to another
v jump down from an elevated point
v cause to jump or leap"
mankind,n all of the living human inhabitants of the earth
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
transmit,v. send from one person or place to another
data,n. a collection of facts from which conclusions may be drawn
disappointed,"v fail to meet the hopes or expectations of
s disappointingly unsuccessful"
desire,"n. the feeling that accompanies an unsatisfied state
n. an inclination to want things
n. something that is desired
v. feel or have a desire for; want strongly"
carry on,none
ongoing,s. currently happening
on board,none
independently,"r. on your own; without outside help
r. apart from others"
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
spacecraft,"n. a craft capable of traveling in outer space; technically, a satellite around the sun"
spacewalk,v. move in space outside a space craft
jade,"n. a semiprecious gemstone that takes a high polish; is usually green but sometimes whitish; consists of jadeite or nephrite
s. of something having the color of jade; especially varying from bluish green to yellowish green"
dock,"n. an enclosure in a court of law where the defendant sits during the trial
n. any of certain coarse weedy plants with long taproots, sometimes used as table greens or in folk medicine
n. a platform where trucks or trains can be loaded or unloaded
n. landing in a harbor next to a pier where ships are loaded and unloaded or repaired; may have gates to let water in or out"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
in the hope of doing sth.,none
so as to,none
so as to do sth.,none
recycle,"v. cause to repeat a cycle
v. use again after processing"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
lack,n. the state of needing something that is absent or unavailable
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
otherwise,"s. other than as supposed or expected
r. in other respects or ways"
beyond,"r. farther along in space or time or degree
r. on the farther side from the observer
r. in addition"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
solar system,none
current,"n. a flow of electricity through a conductor
n. a steady flow of a fluid (usually from natural causes)
a. occurring in or belonging to the present time"
figure out,none
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
soap,"n. a cleansing agent made from the salts of vegetable or animal fats
n. money offered as a bribe
n. street names for gamma hydroxybutyrate
v. rub soap all over, usually with the purpose of cleaning"
towel,"n. a rectangular piece of absorbent cloth (or paper) for drying or wiping
v. wipe with a towel"
microwave,"n. a short electromagnetic wave (longer than infrared but shorter than radio waves); used for radar and microwave ovens and for transmitting telephone, facsimile, video and data
n. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
v. cook or heat in a microwave oven"
microwave oven,none
tissue,"n. part of an organism consisting of an aggregate of cells having a similar structure and function
n. a soft thin (usually translucent) paper"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
keen,"n. a funeral lament sung with loud wailing
s. having a sharp cutting edge or point"
globe,n. a sphere on which a map (especially of the earth) is represented
argue,"v. present reasons and arguments
v. have an argument about something
v. give evidence of"
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
fatal,"a. bringing death
s. controlled or decreed by fate; predetermined"
shallow,"v. make shallow
v. become shallow
a. lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
a. not deep or strong; not affecting one deeply"
result in,none
pattern,"n. a model considered worthy of imitation
v. form a pattern"
analysis,"n. an investigation of the component parts of a whole and their relations in making up the whole
n. the abstract separation of a whole into its constituent parts in order to study the parts and their relations
n. a form of literary criticism in which the structure of a piece of writing is analyzed
n. the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'"
analyses,"n an investigation of the component parts of a whole and their relations in making up the whole
n the abstract separation of a whole into its constituent parts in order to study the parts and their relations
n a form of literary criticism in which the structure of a piece of writing is analyzed
n the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'
n a branch of mathematics involving calculus and the theory of limits; sequences and series and integration and differentiation
n a set of techniques for exploring underlying motives and a method of treating various mental disorders; based on the theories of Sigmund Freud
v consider in detail and subject to an analysis in order to discover essential features or meaning
v break down into components or essential features
v make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v subject to psychoanalytic treatment"
as a result,none
high-end,none
monitor,"n. an ironclad vessel built by Federal forces to do battle with the Merrimac
n. display produced by a device that takes signals and displays them on a television screen or a computer monitor
n. electronic equipment that is used to check the quality or content of electronic transmissions
n. a piece of electronic equipment that keeps track of the operation of a system continuously and warns of trouble"
regularly,"r. in a regular manner
r. having a regular form
r. in a regular way without variation"
regular,"n. a regular patron
n. a soldier in the regular army
n. a dependable follower (especially in party politics)
n. a garment size for persons of average height and weight"
foam,"n. a mass of small bubbles formed in or on a liquid
n. a lightweight material in cellular form; made by introducing gas bubbles during manufacture
v. become bubbly or frothy or foaming"
pillow,"n. a cushion to support the head of a sleeping person
v. rest on or as if on a pillow"
smartphone,none
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
limited,"a. small in range or scope
s. including only a part
s. mediocre
s. not excessive"
provide for sb.,none
closing,"n. approaching a particular destination; a coming closer; a narrowing of a gap
a. final or ending"
in closing,p. pr. & vb. n. of Inclose
mystery,"n. something that baffles understanding and cannot be explained
n. a story about a crime (usually murder) presented as a novel or play or movie"
run out,none
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
oxygen,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
Sputnik,n. a Russian artificial satellite
the USSR,none
the Union of Soviet Socialist Republics,none
Yuri Gagarin,none
Neil Armstrong,none
NASA,n an independent agency of the United States government responsible for aviation and spaceflight
National Aeronautics and Space Administration,none
Voyager,n. a traveler to a distant land (especially one who travels by sea)
Soyuz,none
Challenger,n the contestant you hope to defeat
the International Space Station,none
Jade Rabbit,none
Mars,"n. a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color
n. (Roman mythology) Roman god of war and agriculture; father of Romulus and Remus; counterpart of Greek Ares"
Jupiter,"n. the largest planet and the 5th from the sun; has many satellites and is one of the brightest objects in the night sky
n. (Roman mythology) supreme god of Romans; counterpart of Greek Zeus"
Typhoon Goni,none
GPS,n a navigational system involving satellites and computers that can determine the latitude and longitude of a receiver on Earth by computing the time difference for signals from different satellites to reach the receiver
global positioning system,none
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
on the basis of,none
loan,n. the temporary provision of money (usually at interest)
take out a loan,none
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
apologise,"v defend, explain, clear away, or make excuses for by reasoning
v acknowledge faults or shortcomings or failing"
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
ignore,"v. refuse to acknowledge
v. fail to notice
v. be ignorant of or in the dark about"
in return,none
judge,"n. a public official authorized to decide questions brought before a court of justice
v. determine the result of (a competition)
v. put on trial or hear a case and sit as the judge at the trial of"
scene,"n. the place where some action occurs
n. an incident (real or imaginary)
n. a consecutive series of pictures that constitutes a unit of action in a film
n. a subdivision of an act of a play"
narrator,n. someone who tells a story
narration,"n. the act of giving an account describing incidents or a course of events
n. (rhetoric) the second section of an oration in which the facts are set forth"
bet,"n. the act of gambling
v. maintain with or as if with a bet
v. stake on the outcome of an issue"
bet,"n. the act of gambling
v. maintain with or as if with a bet
v. stake on the outcome of an issue"
bet,"n. the act of gambling
v. maintain with or as if with a bet
v. stake on the outcome of an issue"
make a bet,none
servant,n. a person working in the service of another (especially in the household)
as a matter of fact,none
by accident,none
sail,"n. a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel
n. any structure that resembles a sail
v. traverse or travel on (a body of water)
v. travel on water propelled by wind"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
consulate,n. diplomatic building that serves as the residence or workplace of a consul
dare,"n. a challenge to do something dangerous or foolhardy
v. to be courageous enough to try or do something"
sort,"n. an approximate definition or example
n. a person of a particular character or nature
n. an operation that segregates items into groups according to a specified criterion"
mining,"n. the act of extracting ores or coal etc from the earth
n. laying explosive mines in concealed places to destroy enemy personnel and equipment"
patience,n. good-natured tolerance of delay or incompetence
to be honest,none
ought to,none
be about to do sth.,none
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
beneath,r in or to a place that is lower
postpone,v. hold back to a later time
odd,"a. not divisible by two
s. not easily explained
s. an indefinite quantity more than that specified
s. of the remaining member of a pair, of socks e.g."
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
intention,"n. (usually plural) the goal with respect to a marriage proposal
n. an act of intending; a volition that you intend to carry out"
nowhere,"n. an insignificant place
r. not anywhere; in or at or to no place"
in case,"v enclose in, or as if in, a case"
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
to ... extent,none
opera,"n. a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes
n. a commercial browser
n. a building where musical dramas are performed"
musical,"n. a play or film whose action and dialogue is interspersed with singing and dancing
a. characterized by or capable of producing music
a. talented in or devoted to music
a. characteristic of or resembling or accompanied by music"
dinosaur,n. any of numerous extinct terrestrial reptiles of the Mesozoic era
hug,"n. a tight or amorous embrace
v. fit closely or tightly"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
duty,"n. the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr
n. work that you are obliged to perform for moral or legal reasons
n. a government tax on imports or exports"
on duty,none
hesitate,"v. pause or hold back in uncertainty or unwillingness
v. interrupt temporarily an activity before continuing"
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
eventually,r after an unspecified period of time or an especially long delay
tailor,"n. a person whose occupation is making and altering garments
v. adjust to a specific need or market"
clerk,"n. an employee who performs clerical work (e.g., keeps records or accounts)
v. work as a clerk, as in the legal business"
manner,"n. how something is done or how it happens
n. a way of acting or behaving
n. a kind"
in a ... manner,none
downstairs,"a. on or of lower floors of a building
r. on a floor below"
stair,n support consisting of a place to rest the foot while ascending or descending a stairway
aside,"n. a line spoken by an actor to the audience but not intended for others on the stage
r. on or to one side
r. out of the way (especially away from one's thoughts)
r. placed or kept separate and distinct as for a purpose"
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
in that case,none
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
broad,"n. slang term for a woman
s. not detailed or specific
s. lacking subtlety; obvious
s. being at a peak or culminating point"
indeed,"r. in truth (often tends to intensify)
r. (used as an interjection) an expression of surprise or skepticism or irony etc."
normal,"a. conforming with or constituting a norm or standard or level or type or social norm; not abnormal
a. in accordance with scientific laws
a. being approximately average or within certain limits in e.g. intelligence and development
s. forming a right angle"
willing,a. disposed or inclined toward
be willing to do sth.,none
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
ambassador,"n. a diplomat of the highest rank; accredited as representative from one country to another
n. an informal representative"
upper-class,a. occupying the highest socioeconomic position in a society
upper,"n. piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot
s. the topmost one of two
s. higher in place or position
s. superior in rank or accomplishment"
the upper class,none
maintain,v. state or assert
permission,n. approval to do something
permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
saying,n. a word or phrase that particular people use in particular situations
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
Roderick,none
Oliver,n. United States jazz musician who influenced the style of Louis Armstrong (1885-1938)
Henry Adams,none
The Phantom of the Opera,none
Reid,n. Scottish philosopher of common sense who opposed the ideas of David Hume (1710-1796)
Todd,"n. Scottish chemist noted for his research into the structure of nucleic acids (born in 1907)
n. fictional character in a play by George Pitt; a barber who murdered his customers"
Portia Langham,none
