bowel,n the part of the alimentary canal between the stomach and the anus
blueprint,"n. something intended as a guide for making something else
n. photographic print of plans or technical drawings etc.
v. make a blueprint of"
motive,s. causing or able to cause motion
vicious,"s (of persons or their actions) able or disposed to inflict pain or suffering
s having the nature of vice
s bringing or deserving severe rebuke or censure
s marked by deep ill will; deliberately harmful"
submerge,"v. sink below the surface; go under or as if under water
v. cover completely or make imperceptible
v. put under water"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
reconcile,v. come to terms
inhale,"v. draw deep into the lungs in by breathing
v. draw in (air)"
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
ventilate,"v. expose to the circulation of fresh air so as to retard spoilage
v. circulate through and freshen
v. furnish with an opening to allow air to circulate or gas to escape"
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
whisper,"n. speaking softly without vibration of the vocal cords
v. speak softly; in a low voice"
aisle,"n. a long narrow passage (as in a cave or woods)
n. passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
n. part of a church divided laterally from the nave proper by rows of pillars or columns"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
sham,"n something that is a counterfeit; not what it seems to be
n a person who makes deceitful pretenses
v make a pretence of
v make believe with the intent to deceive
s adopted in order to deceive"
strife,n. bitter conflict; heated often violent dissension
bait,"n. anything that serves as an enticement
n. something used to lure fish or other animals into danger so they can be trapped or killed
v. lure, entice, or entrap with bait
v. attack with dogs or set dogs upon"
awe,"n. an overwhelming feeling of wonder or admiration
v. inspire awe in"
contradict,"v. be in contradiction with
v. deny the truth of"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
compatible,"a. able to exist and perform in harmonious or agreeable combination
a. capable of being used with or connected to other devices or components without modification
s. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction"
bizarre,s. conspicuously or grossly unconventional or unusual
conspicuous,a. obvious to the eye or mind
exterior,a. situated in or suitable for the outdoors or outside of a building
gender,n. a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
cherish,v be fond of; be attached to
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
grim,s. not to be placated or appeased or moved by entreaty
expend,"v use up, consume fully
v pay out"
accumulate,v. collect or gather
bruise,"n. an injury that doesn't break the skin but results in some discoloration
v. injure the underlying soft tissue or bone of
v. break up into small pieces for food preparation
v. damage (plant tissue) by abrasion or pressure"
herb,"n. a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
n. aromatic potherb used in cookery for its savory qualities"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
average,"n. a statistic describing the location of a distribution
n. (sports) the ratio of successful performances to opportunities
n. an intermediate scale value regarded as normal or usual
v. amount to or come to an average, without loss or gain"
assurance,"n. freedom from doubt; belief in yourself and your abilities
n. a binding commitment to do or give or refrain from something
n. a statement intended to inspire confidence
n. a British term for some kinds of insurance"
ban,"n. 100 bani equal 1 leu in Moldova
n. 100 bani equal 1 leu in Romania
n. an official prohibition or edict against something
v. forbid the public distribution of ( a movie or a newspaper)"
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
volunteer,"n. (military) a person who freely enlists for service
n. a person who performs voluntary work
v. tell voluntarily
v. agree freely"
chorus,"n. any utterance produced simultaneously by a group
n. a group of people assembled to sing together
n. a body of dancers or singers who perform together
n. a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
cordial,"s. politely warm and friendly
s. sincerely or intensely felt"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
comply,"v. act in accordance with someone's rules, commands, or wishes"
dedicate,"v. open to public use, as of a highway, park, or building
v. inscribe or address by way of compliment
v. set apart to sacred uses with solemn rites, of a church"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
auxiliary,s. functioning in a supporting capacity
clergy,"n. in Christianity, clergymen collectively (as distinguished from the laity)"
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
correspondent,"n. someone who communicates by means of letters
n. a journalist employed to provide news stories for newspapers or broadcast media"
devote,v. set aside or apart for a specific purpose or use
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
exemplify,"v. be characteristic of
v. clarify by giving an example of"
glory,"n. a state of high honor
n. brilliant radiant beauty
v. rejoice proudly"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
harassment,"n. a feeling of intense annoyance caused by being tormented
n. the act of tormenting by continued persistent attacks and criticism"
maneuver,"n. a military training exercise
n. a deliberate coordinated movement requiring dexterity and skill
n. a move made to gain a tactical end"
futile,s. producing no result or effect
zeal,n. excessive fervor to do something or accomplish some end
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
radiant,s radiating or as if radiating light
layoff,n. the act of laying off an employee or a work force
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
coalition,n. the state of being combined into one body
gorgeous,s. dazzlingly beautiful
vigor,n. active strength of body or mind
ebb,"n. a gradual decline (in size or strength or power or number)
n. the outward flow of the tide
v. flow back or recede"
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
supreme,"s. final or last in your life or progress
s. highest in excellence or achievement
s. greatest or maximal in degree; extreme"
value,"n. a numerical quantity measured or assigned or computed
n. the quality (positive or negative) that renders something desirable or valuable
n. the amount (of money or goods or services) that is considered to be a fair equivalent for something else
n. relative darkness or lightness of a color"
meditate,"v reflect deeply on a subject
v think intently and at length, as for spiritual purposes"
motivate,v. give an incentive for action
bewilderment,n. confusion resulting from failure to understand
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
necessitate,"v. require as useful, just, or proper
v. cause to be a concomitant"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
deform,"v. make formless
v. become misshapen
v. alter the shape of (something) by stress"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
notwithstanding,r despite anything to the contrary (usually following a concession)
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
generate,"v. bring into existence
v. produce (energy)"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
snob,n. a person regarded as arrogant and annoying
incline,"v. bend or turn (one's ear) towards a speaker in order to listen well
v. lower or bend (the head or upper body), as in a nod or bow
v. feel favorably disposed or willing"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
momentary,s lasting for a markedly brief time
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
belly,"n. a protruding abdomen
n. a part that bulges deeply
n. the hollow inside of something
n. the underpart of the body of certain vertebrates such as snakes or fish"
stagger,"v. walk as if unable to control one's movements
v. walk with great difficulty
v. to arrange in a systematic order
v. astound or overwhelm, as with shock"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
intermittent,s. stopping and starting at irregular intervals
perceive,"v. to become aware of through the senses
v. become conscious of"
hysterical,s. marked by excessive or uncontrollable emotion
quiver,"n. case for holding arrows
v. shake with fast, tremulous movements"
lapse,"n. a break or intermission in the occurrence of something
v. end, at least for a long time
v. drop to a lower level, as in one's morals or standards
v. let slip"
brittle,"n. caramelized sugar cooled in thin sheets
s. having little elasticity; hence easily cracked or fractured or snapped
s. lacking warmth and generosity of spirit
s. (of metal or glass) not annealed and consequently easily cracked or fractured"
fury,"n. a feeling of intense anger
n. (classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals"
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
paralyze,"v. make powerless and unable to function
v. cause to be paralyzed and immobile"
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
scrape,"n. a harsh noise made by scraping
n. a deep bow with the foot drawn backwards (indicating excessive humility)
v. scratch repeatedly
v. make by scraping"
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
rot,"n a state of decay usually accompanied by an offensive odor
n (biology) the process of decay caused by bacterial or fungal action
n unacceptable behavior (especially ludicrously false statements)
v break down
v become physically weaker"
spit,"n. a narrow strip of land that juts out into the sea
n. a skewer for holding meat over a fire
n. the act of spitting (forcefully expelling saliva)
v. expel or eject (saliva or phlegm or sputum) from the mouth"
exile,"n. a person who is voluntarily absent from home or country
n. a person who is expelled from home or country by authority
n. the act of expelling a person from their native land"
refugee,n. an exile who flees for safety
conceal,v. hold back; keep from being perceived by others
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
browse,"n. vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat
n. reading superficially or at random
n. the act of feeding by continual nibbling
v. look around casually and randomly, without seeking anything in particular"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
acquaint,v. inform
abide,"v dwell
v put up with something or somebody unpleasant"
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
celebrity,n. a widely known person
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
undergo,v. pass through
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
thrust,"n. verbal criticism
v. push forcefully
v. press or force
v. force (molten rock) into pre-existing rock"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
veil,"n. a membranous covering attached to the immature fruiting body of certain mushrooms
v. to obscure, or conceal with or as if with a veil"
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
utter,"v. express audibly; utter sounds (not necessarily words)
v. put into circulation"
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
arouse,"v. call forth (emotions, feelings, and responses)
v. to begin moving, ""As the thunder started the sleeping children began to stir""
v. stimulate sexually"
subtle,s. able to make fine distinctions
accelerate,"v. move faster
v. cause to move faster"
spicy,"s having an agreeably pungent taste
s producing a burning sensation on the taste nerves
s suggestive of sexual impropriety"
blouse,n. a top worn by women
sniff,"n. sensing an odor by inhaling through the nose
v. perceive by inhaling through the nose
v. inhale audibly through the nose"
foul,"n. an act that violates the rules of a sport
v. hit a foul ball
v. commit a foul; break the rules
v. spot, stain, or pollute"
auditorium,n. the area of a theater or concert hall where the audience sits
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
paperback,s. (of books) having a flexible binding
reluctant,"s. disinclined to become involved
s. not eager"
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
wrap,"n. cloak that is folded or wrapped around a person
n. a sandwich in which the filling is rolled up in a soft tortilla
v. arrange or fold as a cover or protection
v. crash into so as to coil around"
iron,"n. a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
n. a golf club that has a relatively narrow metal head
n. implement used to brand live stock
n. home appliance consisting of a flat metal base that is heated and used to smooth cloth"
wrinkle,"n. a slight depression in the smoothness of a surface
n. a minor difficulty
n. a clever method of doing something (especially something new and different)
v. make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in"
temperament,"n. excessive emotionalism or irritability and excitability (especially when displayed openly)
n. an adjustment of the intervals (as in tuning a keyboard instrument) so that the scale can be used to play in different keys"
robust,"a. sturdy and strong in form, constitution, or construction
s. strong enough to withstand or overcome intellectual challenges or adversity
s. rough and crude"
clumsy,"s lacking grace in movement or posture
s not elegant or graceful in expression
s difficult to handle or manage especially because of shape
s showing lack of skill or aptitude"
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
grin,"v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
articulate,"v. unite by forming a joint or joints
v. express or state clearly
a. expressing yourself easily or characterized by clear expressive language"
boast,"n. speaking of yourself in superlatives
v. show off"
allege,v. report or maintain
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
ego,"n. an inflated feeling of pride in your superiority to others
n. (psychoanalysis) the conscious mind"
majesty,n impressiveness in scale or proportion
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
aspire,v have an ambitious plan or a lofty goal
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
spouse,n. a person's partner in marriage
bureaucracy,"n. nonelective government officials
n. a government that is administered primarily by bureaus that are staffed with nonelective officials
n. any organization in which action is obstructed by insistence on unnecessary procedures and red tape"
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
hierarchy,"n. a series of ordered groupings of people or things within a system
n. the organization of people at different ranks in an administrative body"
administrate,v work in an administrative capacity; supervise or be in charge of
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
credentials,"n a document attesting to the truth of certain stated facts
n a document attesting to the truth of certain stated facts"
graphic,"n. an image that is generated by a computer
s. written or drawn or engraved
s. describing nudity or sexual activity in graphic detail
a. of or relating to the graphic arts"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
decent,"s. socially or conventionally correct; refined or virtuous
a. conforming to conventions of sexual behavior
s. decently clothed
s. observing conventional sexual mores in speech or behavior or dress"
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
rip,"n. an opening made forcibly as by pulling apart
n. a stretch of turbulent water in a river or the sea caused by one current flowing into or across another current
v. move precipitously or violently
v. cut (wood) along the grain"
expel,v. force to leave or move out
undesirable,"n. one whose presence is undesirable
a. not wanted
s. not worthy of being chosen (especially as a spouse)"
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
depress,"v. lower someone's spirits; make downhearted
v. lower (prices or markets)
v. lessen the activity or force of"
forbid,v. command against
forge,"n. furnace consisting of a special hearth where metal is heated before shaping
n. a workplace where metal is worked by heating and hammering
v. create by hammering
v. make a copy of with the intent to deceive"
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
salvation,"n. a means of preserving from harm or unpleasantness
n. the state of being saved or preserved from harm
n. saving someone or something from harm or from an unpleasant situation"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
flat,"n. a level tract of land
n. a shallow box in which seedlings are started
n. a musical notation indicating one half step lower than the note named
n. a deflated pneumatic tire"
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
flush,"n. a poker hand with all 5 cards in the same suit
n. a sudden rapid flow (as of water)
v. flow freely
v. glow or cause to glow with warm color or light"
saturate,"v. cause (a chemical compound, vapour, solution, magnetic material) to unite with the greatest possible amount of another substance"
texture,"n. the feel of a surface or a fabric
n. the essential quality of something
n. the musical pattern created by parts being played or sung together
n. the characteristic appearance of a surface having a tactile quality"
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
highlight,"n. the most interesting or memorable part
n. an area of lightness in a picture
v. apply a highlighter to one's cheeks or eyebrows in order to make them more prominent"
stereotype,n. a conventional or formulaic conception or image
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
toxic,a. of or relating to or caused by a toxin or poison
hazard,"n. a source of danger; a possibility of incurring loss or misfortune
n. an obstacle on a golf course"
corrode,"v. cause to deteriorate due to the action of water, air, or an acid
v. become destroyed by water, air, or a corrosive such as an acid"
contaminate,v. make radioactive by adding radioactive material
aesthetics,n. (art) the branch of philosophy dealing with beauty and taste (emphasizing the evaluative criteria that are applied to art)
sane,a. mentally healthy; free from mental disorder
glare,"n. a light within the field of vision that is brighter than the brightness to which the eyes are adapted
n. an angry stare
v. be sharply reflected
v. shine intensely"
sneak,"n. a person who is regarded as underhanded and furtive and contemptible
v. to go stealthily or furtively
v. put, bring, or take in a secretive or furtive manner"
aside,"n. a line spoken by an actor to the audience but not intended for others on the stage
r. on or to one side
r. out of the way (especially away from one's thoughts)
r. placed or kept separate and distinct as for a purpose"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
attentive,a. (often followed by `to') giving care or attention
underestimate,"n. an estimation that is too low; an estimate that is less than the true or actual value
v. make too low an estimate of"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
trash,"n. worthless people
v. dispose of (something useless or old)"
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
setback,n an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
aggravate,"v make worse
v exasperate or irritate"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
cease,n. (`cease' is a noun only in the phrase `without cease') end
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
repression,"n. a state of forcible subjugation
n. (psychiatry) the classical defense mechanism that protects you from impulses or ideas that would cause anxiety by preventing them from becoming conscious
n. the act of repressing; control by holding down"
spine,"n. a small sharp-pointed tip resembling a spike on a stem or leaf
n. the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved
n. a sharp rigid animal process or appendage; as a porcupine quill or a ridge on a bone or a ray of a fish fin"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
bore,"n. a person who evokes boredom
n. diameter of a tube or gun barrel
n. a hole or passage made by a drill; usually made for exploratory purposes
v. cause to be bored"
participate,v. share in something
verge,"n. the limit beyond which something happens or changes
n. a grass border along a road
v. border on; come close to"
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
void,"n. an empty area or space
v. clear (a room, house, place) of occupants or empty or clear (a place or receptacle) of something
s. containing nothing"
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
deliberate,s. carefully thought out in advance
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
amaze,v. affect with wonder
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
unfold,"v. open to the view
v. extend or stretch out to a greater or the full length
v. spread out or open from a closed or folded state"
accuse,v. bring an accusation against; level a charge against
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
