carpenter,"n. a woodworker who makes or repairs wooden objects
v. work as a carpenter"
yawn,"n. an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom
v. utter a yawn, as from lack of oxygen or when one is tired"
razor,"n. edge tool used in shaving
v. shave with a razor"
shaver,"n. an adult male who shaves
n. a razor powered by an electric motor"
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
haircut,"n. the style in which hair has been cut
n. the act of cutting the hair"
conservative,"n. a person who is reluctant to accept changes and new ideas
n. a member of a Conservative Party
a. resistant to change
s. having social or political views favoring conservatism"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
roundabout,"n a road junction at which traffic streams circularly around a central island
n a large, rotating machine with seats for children to ride or amusement
s marked by obliqueness or indirection in speech or conduct
s deviating from a straight course"
parking,"n. space in which vehicles can be parked
n. the act of maneuvering a vehicle into a location where it can be left temporarily"
look somebody in the eye,none
look somebody in the eyes,none
wag,"n. a witty amusing person who makes jokes
n. causing to move repeatedly from side to side
v. move from side to side"
follow something up,none
give somebody the edge,none
punctuation,"n. something that makes repeated and regular interruptions or divisions
n. the marks used to clarify meaning by indicating separation of words into sentences and clauses and phrases
n. the use of certain marks to clarify meaning of written material by grouping words grammatically into sentences and clauses and phrases"
as easy as pie,none
management,"n. the act of managing something
n. those in charge of running a business"
trainee,n. someone who is being trained
smartly,r. in a stylish manner
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
relaxed,a. without strain or anxiety
team player,none
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
diploma,n. a document certifying the successful completion of a course of study
videophone,none
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
fluency,"n. skillfulness in speaking or writing
n. the quality of being facile in speech and writing"
CV,"n a summary of your academic and work history
s being five more than one hundred"
ladder,"n. steps consisting of two parallel members connected by rungs; for climbing up or down
n. ascending stages by which somebody or something can progress
v. come unraveled or undone as if by snagging"
Antarctic,n. the region around the south pole: Antarctica and surrounding waters
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
Brazil,n. the largest Latin American country and the largest Portuguese speaking country in the world; located in the central and northeastern part of South America; world's leading coffee exporter
Amazon,"n. a large strong and aggressive woman
n. (Greek mythology) one of a nation of women warriors of Scythia (who burned off the right breast in order to use a bow and arrow more effectively)
n. a major South American river; arises in the Andes and flows eastward into the South Atlantic; the world's 2nd longest river (4000 miles)"
Ghana,n. a republic in West Africa on the Gulf of Guinea
cooker,n. a utensil for cooking
switch,"n. control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
n. hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure
n. railroad track having two movable rails and necessary connections; used to turn a train from one track to another or to store rolling stock
n. a flexible implement used as an instrument of punishment"
nail,"n. horny plate covering and protecting part of the dorsal surface of the digits
n. a thin pointed piece of metal that is hammered into materials as a fastener
n. a former unit of length for cloth equal to 1/16 of a yard
v. attach something somewhere by means of nails"
mayor,n. the head of a city government
improvement,"n. a change for the better; progress in development
n. the act of improving something
n. a condition superior to an earlier condition"
self-educated,s. educated by your own efforts rather than by formal instruction
geometry,n. the pure mathematics of points and lines and curves and surfaces
diagram,"n. a drawing intended to explain how something works; a drawing showing the relation between the parts
v. make a schematic or technical drawing of that shows interactions among variables or how something is constructed"
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
resign,v. accept as inevitable
pocket-sized,"s limited in size or scope
s small enough to be carried in a garment pocket"
pull out,n to break off a military action with an enemy
the last minute,none
the last moment,none
put out,n. an out resulting from a fielding play (not a strikeout)
take off,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
calculator,"n. an expert at calculation (or at operating calculating machines)
n. a small machine that is used for mathematical calculations"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
put together,none
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
motor,"n. machine that converts other forms of energy into mechanical energy and so imparts motion
n. a nonspecific agent that imparts motion"
ridiculous,"s inspiring scornful pity
s incongruous; inviting ridicule
s broadly or extravagantly humorous; resembling farce"
tire,"n. hoop that covers a wheel
v. lose interest or become bored with something or somebody
v. exhaust or get tired through overuse or great strain or stress"
throw oneself into,none
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
cycle,"n. an interval during which a recurring sequence of events occurs
n. a series of poems or songs on the same theme
n. a periodically repeated sequence of events
n. a single complete execution of a periodically repeated phenomenon"
will,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
graph,"n. a visual representation of the relations between certain quantities plotted with reference to a set of axes
v. represent by means of a graph
v. plot upon a graph"
economical,s. avoiding waste
sanitary,a. free from filth and pathogens
correctional,s. concerned with or providing correction
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
downsize,"v. dismiss from work
v. make in a smaller size
v. reduce in size or number"
body count,none
survivor,"n. one who lives through affliction
n. one who outlives another
n. an animal that survives in spite of adversity"
unsure,"a lacking self-confidence
a lacking or indicating lack of confidence or assurance"
reveal,v. disclose directly or through prophets
informer,n. one who reveals confidential information in return for money
offshore,"a. (of winds) coming from the land
s. at some distance from the shore
r. away from shore; away from land"
scratch,"n. a competitor who has withdrawn from competition
n. (golf) a handicap of zero strokes
n. an indication of damage
v. cut the surface of; wear away the surface of"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
employment,"n. the state of being employed or having a job
n. the occupation for which you are paid
n. the act of giving someone a job"
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
capital punishment,none
taxpayer,n. someone who pays taxes
pre-owned,none
flexibility,"n. the property of being flexible; easily bent or shaped
n. the quality of being adaptable or variable"
unemployed,a. not engaged in a gainful occupation
penalty,"n. a payment required for not fulfilling a contract
n. the disadvantage or painful consequences of an action or condition
n. (games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game"
faith,"n. complete confidence in a person or plan etc
n. loyalty or allegiance to a cause or a person"
optional,a. possible but not necessary; left to personal choice
fibre,"n a slender and greatly elongated substance capable of being spun into yarn
n any of several elongated, threadlike cells (especially a muscle fiber or a nerve fiber)
n the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n a leatherlike material made by compressing layers of paper or cloth"
thirst,"n. a physiological need to drink
v. feel the need to drink"
microscope,n. magnifier of the image of small objects
drive,"n. the act of applying force to propel something
n. a mechanism by which force or power is transmitted in a machine
n. the trait of being highly motivated
n. hitting a golf ball off of a tee with a driver"
for the taking,none
bless,"v. give a benediction to
v. confer prosperity or happiness on
v. make the sign of the cross over someone in order to call on God for protection; consecrate"
nursery,n. a child's room for a baby
porter,"n. a person employed to carry luggage and supplies
n. United States writer of novels and short stories (1890-1980)
n. United States composer and lyricist of musical comedies (1891-1946)
n. United States writer of short stories whose pen name was O. Henry (1862-1910)"
mop,"n cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
v to wash or wipe with or as if with a mop
v make a sad face and thrust out one's lower lip"
jar,"n. a vessel (usually cylindrical) with a wide mouth and without handles
n. the quantity contained in a jar
v. shock physically
v. affect in a disagreeable way"
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
brunch,"n. combination breakfast and lunch; usually served in late morning
v. eat a meal in the late morning"
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
archaeology,n the branch of anthropology that studies prehistoric people and their cultures
preview,"n. an advertisement consisting of short scenes from a motion picture that will appear in the near future
n. a screening for a select audience in advance of release for the general public
v. watch (a movie or play) before it is released to the general public"
numerous,s. amounting to a large indefinite number
brochure,n a small book usually having a paper cover
catalogue,"v. make an itemized list or catalog of; classify
v. make a catalogue, compile a catalogue"
psychology,n. the science of mental life
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
pepper,"n. climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam
n. pungent seasoning from the berry of the common pepper plant of East India; use whole or ground
n. sweet and hot varieties of fruits of plants of the genus Capsicum
v. add pepper to"
steak,n. a slice of meat cut from the fleshy part of an animal or large fish
rice cooker,none
bean curd,none
garlic,"n. bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
n. aromatic bulb used as seasoning"
microwave,"n. a short electromagnetic wave (longer than infrared but shorter than radio waves); used for radar and microwave ovens and for transmitting telephone, facsimile, video and data
n. kitchen appliance that cooks food by passing an electromagnetic wave through it; heat results from the absorption of energy by the water molecules in the food
v. cook or heat in a microwave oven"
saucer,n. a small shallow dish for holding a cup at the table
Thermos,n. vacuum flask that preserves temperature of hot or cold drinks
put something away,none
furnished,a. provided with whatever is necessary for a purpose (as furniture or equipment or authority)
basin,"n. a bowl-shaped vessel; usually used for holding food or liquids
n. the quantity that a basin will hold
n. a natural depression in the surface of the land often with a lake at the bottom of it"
hook,"n. a catch for locking a door
n. a sharp curve or crook; a shape resembling a hook
n. a mechanical device that is curved or bent to suspend or hold or pull something
n. a curved or bent implement for suspending or pulling something"
millimetre,n a metric unit of length equal to one thousandth of a meter
room-mate,n. an associate who shares a room with you
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
mineral,"n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition
a. relating to minerals
s. composed of matter other than plant or animal"
bat,"n. nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
n. (baseball) a turn trying to get a hit
n. a club used for hitting a ball in various games
v. strike with, or as if with a baseball bat"
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
terrify,v. fill with terror; frighten greatly
as for,none
universe,"n. everything that exists anywhere
n. everything stated or assumed in a given discussion"
embassy,"n. a diplomatic building where ambassadors live or work
n. an ambassador and his entourage collectively"
allusion,n. passing reference or indirect mention
surprisingly,r. in a surprising manner
den,"n. a unit of 8 to 10 cub scouts
n. a room that is comfortable and secluded"
catch-22,none
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
mythology,"n. myths collectively; the body of stories associated with a culture or institution or person
n. the study of myths"
unbeatable,s. hard to defeat
prophet,"n. an authoritative person who divines the future
n. someone who speaks by divine inspiration; someone who is an interpreter of the will of God"
overboard,"r. to extremes
r. from on board a vessel into the water"
vomit,"n. the matter ejected in vomiting
n. the reflex act of ejecting the contents of the stomach through the mouth
v. eject the contents of the stomach through the mouth"
Herculean,"s. displaying superhuman strength or power
s. extremely difficult; requiring the strength of a Hercules"
a good Samaritan,none
bang,"n. a sudden very loud noise
n. a border of hair that is cut short and hangs across the forehead
n. the swift release of a store of affective force
v. to produce a sharp often metallic explosive or percussive sound"
aimless,s. continually changing especially as from one abode or occupation to another
land on one's feet,none
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
nuclear,"a. (weapons) deriving destructive energy from the release of atomic energy
a. of or relating to or constituting the nucleus of an atom
a. of or relating to or constituting the nucleus of a cell
s. constituting or like a nucleus"
missile,n. a rocket carrying a warhead of conventional or nuclear explosives; may be ballistic or directed by remote control
communism,"n. a form of socialism that abolishes private ownership
n. a political theory favoring collectivism in a classless society"
socialism,"n. a political theory advocating state ownership of industry
n. an economic system based on state ownership of capital"
socialist,n. a political advocate of socialism
fountain,"n. a structure from which an artificially produced jet of water arises
n. an artificially produced flow of water
n. a plumbing fixture that provides a flow of water"
currently,r at this time or period; now
premier,"v. be performed for the first time
v. perform a work for the first time
s. first in rank or degree
s. preceding all others in time"
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
sharpen,"v. make sharp or sharper
v. make crisp or more crisp and precise
v. become sharp or sharper
v. make (images or sounds) sharp or sharper"
shuttle,"n. public transport that consists of a bus or train or airplane that plies back and forth between two points
n. bobbin that passes the weft thread between the warp threads
v. travel back and forth between two points"
