triumph,n. the exultation of victory
feeble,"s. pathetically lacking in force or effectiveness
s. lacking strength"
formulate,v. prepare according to a formula
hatred,n the emotion of intense dislike; a feeling of dislike so strong that it demands action
honor,"n. the state of being honored
n. the quality of being honorable and having a good name
n. a woman's virtue or chastity"
image,"n. an iconic mental representation
n. (mathematics) the set of values of the dependent variable for which a function is defined
n. the general impression that something (a person or organization or product) presents to the public
v. render visible, as by means of MRI"
imagine,v. form a mental image of something that is not present or that is not the case
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
shove,"n. the act of shoving (giving a push to someone or something)
v. push roughly"
slippery,"a. causing or tending to cause things to slip or slide
s. not to be trusted"
deceive,"v. be false to; be dishonest with
v. cause someone to believe an untruth"
decisive,"a. determining or having the power to determine an outcome
s. unmistakable
a. characterized by decision and firmness"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
decade,n. a period of 10 years
deed,n. a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
recur,"v. happen or occur again
v. return in thought or speech to something"
rein,"n. one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
n. any means of control
v. stop or slow up one's horse or oneself by or as if by pulling the reins
v. stop or check by or as if by a pull at the reins"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
shabby,s. mean and unworthy and despicable
spirit,"n. the vital principle or animating force within living things
n. the general atmosphere of a place or situation and the effect that it has on people
n. a fundamental emotional and activating principle determining one's character
n. any incorporeal supernatural being that can become visible (or audible) to human beings"
spur,"n. any sharply pointed projection
n. tubular extension at the base of the corolla in some flowers
n. a sharp prod fixed to a rider's heel and used to urge a horse onward
v. incite or stimulate"
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
temperament,"n. excessive emotionalism or irritability and excitability (especially when displayed openly)
n. an adjustment of the intervals (as in tuning a keyboard instrument) so that the scale can be used to play in different keys"
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
wander,v. go via an indirect route or at no set pace
wild,"n. a wild primitive state untouched by civilization
a. marked by extreme lack of restraint or control
a. in a natural state; not tamed or domesticated or cultivated
s. in a state of extreme emotion"
controversial,a. marked by or capable of arousing controversy
contrive,"v make or work out a plan for; devise
v come up with (an idea, plan, explanation, theory, or principle) after a mental effort
v put or send forth"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
conspicuous,a. obvious to the eye or mind
conscientious,"s. characterized by extreme care and great effort
a. guided by or in accordance with conscience or sense of right and wrong"
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
prudent,a. careful and sensible; marked by sound judgment
punctual,a. acting or arriving or performed exactly at the time appointed
purify,"v. remove impurities from, increase the concentration of, and separate through the process of distillation
v. make pure or free from sin or guilt
v. become clean or pure or free of guilt and sin"
qualitative,"a. involving distinctions based on qualities
a. relating to or involving comparisons based on qualities"
quantitative,"a. expressible as a quantity or relating to or susceptible of measurement
a. relating to the measurement of quantity
a. (of verse) having a metric system based on relative duration of syllables"
racial,"a. of or related to genetically distinguished groups of people
a. of or characteristic of race or races or arising from differences among groups"
renovate,v. restore to a previous or better condition
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
retention,n. the act of retaining something
