declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
hail,"n. precipitation of ice pellets when there are strong rising air currents
n. many objects thrown forcefully through the air
n. enthusiastic greeting
v. be a native of"
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
anxious,"s. eagerly desirous
s. causing or fraught with or showing anxiety"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
rough,"n. the part of a golf course bordering the fairway where the grass is not cut short
a. having or caused by an irregular surface
s. (of persons or behavior) lacking refinement or finesse
a. of the margin of a leaf shape; having the edge cut or fringed or scalloped"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
crack,"n. a long narrow opening
n. a sudden sharp noise
n. a blemish resulting from a break without complete separation of the parts
n. a purified and potent form of cocaine that is smoked rather than snorted; highly addictive"
subject,"n. the subject matter of a conversation or discussion
n. something (a person or object or scene) selected by an artist or photographer for graphic representation
n. (grammar) one of the two main constituents of a sentence; the grammatical constituent about which something is predicated
n. a person who is subjected to experimental or other observational procedures; someone who is an object of investigation"
fantastic,"s. extraordinarily good or great; used especially as intensifiers
s. fanciful and unrealistic; foolish
s. existing in fancy only
s. extravagantly fanciful in design, construction, appearance"
ignorant,"s. uneducated in general; lacking knowledge or sophistication
s. uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field
s. unaware because of a lack of relevant information or knowledge"
contribute,"v. contribute to some cause
v. be conducive to"
operate,"v. direct or control; projects, businesses, etc.
v. handle and cause to function
v. happen"
compulsory,s. required by rule
defend,"v. argue or speak in defense of
v. be on the defensive; act against an attack
v. protect against a challenge or attack
v. be the defense counsel for someone in a trial"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
twist,"n. a jerky pulling movement
n. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
n. turning or twisting around (in place)
v. turn in the opposite direction"
invest,"v. make an investment
v. furnish with power or authority; of kings or emperors
v. provide with power and authority"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
unify,v. become one
esteem,n. the condition of being honored (esteemed or respected or well regarded)
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
dependent,"a. relying on or requiring a person or thing for support, supply, or what is needed
s. contingent on something else
a. (of a clause) unable to stand alone syntactically as a complete sentence"
cluster,v. come together as in a cluster or flock
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
humid,s. containing or characterized by a great deal of water vapor
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
counsel,"n a lawyer who pleads cases in court
n something that provides direction or advice as to a decision or course of action
v give advice to"
struggle,"n. an energetic attempt to achieve something
n. strenuous effort
v. to exert strenuous effort against opposition"
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
rash,"n. any red eruption of the skin
n. a series of unexpected and unpleasant occurrences
s. imprudently incurring risk"
surmount,v. be on top of
grasp,v. hold firmly
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
urgent,s compelling immediate action
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
investment,"n. money that is invested with an expectation of profit
n. the commitment of something other than money (time, energy, or effort) to a project with the expectation of some worthwhile result
n. outer layer or covering of an organ or part or organism
n. the act of putting on robes or vestments"
guarantee,"n. a written assurance that some product or service will be provided or will meet certain specifications
n. an unconditional commitment that something will happen or that something is true
n. a collateral agreement to answer for the debt of another in case that person defaults
v. give surety or assume responsibility"
buoy,"n. bright-colored; a float attached by rope to the seabed to mark channels in a harbor or underwater hazards
v. float on the surface of water
v. keep afloat
v. mark with a buoy"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
comprise,"v be composed of
v include or contain; have as a component
v form or compose"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
inward,"a. relating to or existing in the mind or thoughts
r. toward the center or interior"
eloquent,"s. expressing yourself readily, clearly, effectively"
furnish,v. provide or equip with furniture
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
bless,"v. give a benediction to
v. confer prosperity or happiness on
v. make the sign of the cross over someone in order to call on God for protection; consecrate"
detect,"v. discover or determine the existence, presence, or fact of"
excel,v. distinguish oneself
dazzle,"n. brightness enough to blind partially and temporarily
v. to cause someone to lose clear vision, especially from intense light
v. amaze or bewilder, as with brilliant wit or intellect or skill"
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
spectator,n. a close observer; someone who looks at something (such as an exhibition of some kind)
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
harsh,"s. unpleasantly stern
s. disagreeable to the senses
s. unkind or cruel or uncivil
s. severe"
boast,"n. speaking of yourself in superlatives
v. show off"
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
resolute,a. firm in purpose or belief; characterized by firmness and determination
contradict,"v. be in contradiction with
v. deny the truth of"
distrust,"n. the trait of not trusting others
v. regard as untrustworthy; regard with suspicion; have no faith or confidence in"
oppress,v. come down on or keep down by unjust use of one's authority
maternal,"a. characteristic of a mother
a. relating to or derived from one's mother"
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
legacy,n (law) a gift of personal property by will
oppose,"v. be against; express opposition to
v. contrast with equal weight or force
v. be resistant to"
hinder,"v be a hindrance or obstacle to
v hinder or prevent the progress or accomplishment of
v put at a disadvantage
s located at or near the back of an animal
s located at or near the back of an animal"
inspire,"v. heighten or intensify
v. supply the inspiration for"
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
notion,"n. a general inclusive concept
n. an odd or fanciful or capricious idea
n. (usually plural) small personal articles or clothing or sewing items"
contaminate,v. make radioactive by adding radioactive material
shame,"n. a painful emotion resulting from an awareness of inadequacy or guilt
n. a state of dishonor
v. compel through a sense of shame
v. cause to be ashamed"
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
waken,"v cause to become awake or conscious
v stop sleeping"
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
foster,"n. United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864)
v. promote the growth of
v. bring up under fosterage; of children
v. help develop, help grow"
habitual,s commonly used or practiced; usual
indifferent,"s. showing no care or concern in attitude or action
s. fairly poor to not very good
s. marked by no especial liking or dislike or preference for one thing over another
s. characterized by a lack of partiality"
lofty,"s of high moral or intellectual value; elevated in nature or style
s of imposing height; especially standing out above others
s having or displaying great dignity or nobility"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
breed,"n. a special variety of domesticated animals within a species
n. a special type
v. copulate with a female, used especially of horses
v. cause to procreate (animals)"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
deficient,"s. inadequate in amount or degree
s. falling short of some prescribed norm"
combat,n. an engagement fought between two military forces
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
dispute,"n. a disagreement or argument about something important
n. coming into conflict with"
precise,a. sharply exact or accurate or delimited
vice,n. a specific form of evildoing
leap,"n. a light, self-propelled movement upwards or forwards
n. an abrupt transition
n. the distance leaped (or to be leaped)
v. pass abruptly from one state or topic to another"
magnet,n. (physics) a device that attracts iron and produces a magnetic field
instruction,n. (computer science) a line of code written as part of a computer program
amiss,"s. not functioning properly
r. in an improper or mistaken or unfortunate manner"
defy,"v. resist or confront with resistance
v. elude, especially in a baffling way
v. challenge"
renounce,"v give up, such as power, as of monarchs and emperors, or duties and obligations
v leave (a job, post, or position) voluntarily
v turn away from; give up
v cast off"
stiff,"n. an ordinary man
s. not moving or operating freely
s. powerful
r. extremely"
sprain,n. a painful injury to a joint caused by a sudden wrenching of its ligaments
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
climax,"n. the highest point of anything conceived of as growing or developing or unfolding
n. the decisive moment in a novel or play
n. the most severe stage of a disease
n. arrangement of clauses in ascending order of forcefulness"
shrug,"n. a gesture involving the shoulders
v. raise one's shoulders to indicate indifference or resignation"
stray,"n. an animal that has strayed (especially a domestic animal)
v. wander from a direct course or at random
s. (of an animal) having no home or having wandered away from home"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
irritate,"v. excite to an abnormal condition, or chafe or inflame
v. excite to some characteristic action or condition, such as motion, contraction, or nervous impulse, by the application of a stimulus"
interpret,"v. make sense of; assign a meaning to
v. give an interpretation or rendition of"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
curiosity,n. a state in which you want to learn more about something
behalf,"n. as the agent of or on someone's part (usually expressed as ""on behalf of"" rather than ""in behalf of""); 
n. for someone's benefit (usually expressed as `in behalf' rather than `on behalf' and usually with a possessive)"
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
isolation,"n. a state of separation between persons or groups
n. a feeling of being disliked and alone
n. the act of isolating something; setting something apart from others
n. (psychiatry) a defense mechanism in which memory of an unacceptable act or impulse is separated from the emotion originally associated with it"
stir,"n. a prominent or sensational but short-lived news event
n. emotional agitation and excitement
v. move an implement through
v. move very slightly"
crumble,"v. fall apart
v. break or fall apart into fragments"
grim,s. not to be placated or appeased or moved by entreaty
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
threaten,"v. to utter intentions of injury or punishment against:""He threatened me when I tried to call the police""
v. to be a menacing indication of something:""The clouds threaten rain"""
ordeal,"n. a severe or trying experience
n. a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
slumber,n. a dormant or quiescent state
accuse,v. bring an accusation against; level a charge against
sway,n. controlling influence
fathom,"n. a linear unit of measurement (equal to 6 feet) for water depth
n. (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore
v. measure the depth of (a body of water) with a sounding line"
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
depart,"v. leave
v. go away or leave"
feasible,s. capable of being done with means at hand and circumstances as they are
invade,"v. march aggressively into another's territory by military force for the purposes of conquest and occupation
v. occupy in large numbers or live on a host
v. penetrate or assault, in a harmful or injurious way"
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
predominant,"s most frequent or common
s having superior power and influence"
transplant,"n. an operation moving an organ from one organism (the donor) to another (the recipient)
n. the act of removing something from one location and introducing it in another location
v. lift and reset in another soil or situation
v. be transplantable"
unreasonable,a. not reasonable; not showing good judgment
solicit,"v. make a solicitation or entreaty for something; request urgently or persistently
v. incite, move, or persuade to some act of lawlessness or insubordination
v. make a solicitation or petition for something desired"
affix,"n. a linguistic element added to a word to produce an inflected or derived form
v. attach to
v. attach or become attached to a stem word"
browse,"n. vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat
n. reading superficially or at random
n. the act of feeding by continual nibbling
v. look around casually and randomly, without seeking anything in particular"
mock,"n. the act of mocking or ridiculing
v. treat with contempt
v. imitate with mockery and derision
s. constituting a copy or imitation of something"
interject,v. to insert between other elements
simplify,v. make simpler or easier or reduce in complexity or extent
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
jealous,s. suspicious or unduly suspicious or fearful of being displaced by a rival
heritage,n. practices that are handed down from the past by tradition
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
demolish,"v. destroy completely
v. defeat soundly"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
detriment,n. a damage or loss
corrupt,"v. corrupt morally or by intemperance or sensuality
v. alter from the original
a. lacking in integrity
s. containing errors or alterations"
courteously,r in a polite manner
satire,n witty language used to convey insults or scorn
withdrawal,"n. a retraction of a previously held position
n. the act of taking out money or other capital
n. the act of withdrawing
n. avoiding emotional involvement"
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
wither,"v wither, as with a loss of moisture
v lose freshness, vigor, or vitality"
underline,v. draw a line or lines underneath to call attention to
petition,v. write a petition for something to somebody; request formally and in writing
tug,"n. a sudden abrupt pull
v. pull hard
v. strive and make an effort to reach a goal
v. tow (a vessel) with a tug"
dispense,v. grant a dispensation; grant an exemption
ponder,v reflect deeply on a subject
engulf,v. flow over or cover completely
institution,"n. an organization founded and united for a specific purpose
n. an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated
n. a custom that for a long time has been an important feature of some group or society"
imaginative,s. (used of persons or artifacts) marked by independence and creativity in thought or action
notable,"n a celebrity who is an inspiration to others
s worthy of notice
s widely known and esteemed"
massive,"s. imposing in size or bulk or solidity
s. being the same substance throughout
s. imposing in scale or scope or degree or power
s. consisting of great mass; containing a great quantity of matter"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
demonstrative,"a. given to or marked by the open expression of emotion
s. serving to demonstrate"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
intense,"a. possessing or displaying a distinctive feature to a heightened degree
s. (of color) having the highest saturation"
hatred,n the emotion of intense dislike; a feeling of dislike so strong that it demands action
civilized,"a. having a high state of culture and development both social and technological
s. marked by refinement in taste and manners"
coarse,"a. of textures that are rough to the touch or substances consisting of relatively large particles
s. lacking refinement or cultivation or taste
s. of low or inferior quality or value"
expire,"v lose validity
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v expel air"
stripe,"n. a piece of braid, usually on the sleeve, indicating military rank or length of service
n. a kind or category
n. a narrow marking of a different color or texture from the background
v. mark with stripes"
intercept,"n. the point at which a line intersects a coordinate axis
v. seize on its way"
legend,n. a story about mythical or supernatural beings or events
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
brag,n. an instance of boastful talk
accordance,n. the act of granting rights
sane,a. mentally healthy; free from mental disorder
margin,"n. the boundary line or the area immediately inside the boundary
n. an amount beyond the minimum necessary
n. the amount of collateral a customer deposits with a broker when borrowing from the broker to buy securities
n. the blank space that surrounds the text on a page"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
outlaw,v. declare illegal; outlaw
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
review,"n. an essay or article that gives a critical evaluation (as of a book or play)
n. (accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data
n. a periodical that publishes critical essays on current affairs or literature or art
n. (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)"
monopoly,"n. (economics) a market in which there are many buyers but only one seller
n. exclusive control or possession of something
n. a board game in which players try to gain a monopoly on real estate as pieces advance around the board according to the throw of a die"
knit,"n. a fabric made by knitting
n. a basic knitting stitch
n. needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine
v. make (textiles) by knitting"
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
negotiate,"v. succeed in passing through, around, or over"
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
vibrate,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
brink,"n. a region marking a boundary
n. the edge of a steep place"
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
cope,"n. a long cloak; worn by a priest or bishop on ceremonial occasions
v. come to terms with"
lag,"v. hang (back) or fall (behind) in movement, progress, development, etc.
v. throw or pitch at a mark, as with coins
v. cover with lagging to prevent heat loss"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
diversify,"v. make (more) diverse
v. spread into new habitats and produce variety or variegate
v. vary in order to spread risk or to expand"
lease,"n. property that is leased or rented out or let
n. a contract granting use or occupation of property during a specified time for a specified payment
n. the period of time during which a contract conveying property to a person is in effect
v. grant use or occupation of under a term of contract"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
superstition,n. an irrational belief arising from ignorance or fear
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
decorate,"v. make more attractive by adding ornament, colour, etc.
v. award a mark of honor, such as a medal, to"
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
drowsy,"s. half asleep
s. showing lack of attention or boredom"
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
comprehensive,"a. including all or everything
s. broad in scope"
disguise,"n. an outward semblance that misrepresents the true nature of something
n. any attire that modifies the appearance in order to conceal the wearer's identity
n. the act of concealing the identity of something by modifying its appearance
v. make unrecognizable"
frugal,s avoiding waste
immoral,a. deliberately violating accepted principles of right and wrong
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
sympathetic,"a. of or relating to the sympathetic nervous system
a. expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward
a. (of characters in literature or drama) evoking empathic or sympathetic feelings
s. having similar disposition and tastes"
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
envious,s showing extreme cupidity; painfully desirous of another's advantages
narrate,"v. provide commentary for a film, for example"
uncover,"v. make visible
v. remove all or part of one's clothes to show one's body"
constitute,v. form or compose
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
magnify,"v. increase in size, volume or significance"
angular,"a. measured by an angle or by the rate of change of an angle
a. having angles or an angular shape"
transmission,"n. the act of sending a message; causing a message to be transmitted
n. communication by means of transmitted signals
n. the gears that transmit power from an automobile engine via the driveshaft to the live axle"
naughty,s. badly behaved
absolve,v. let off the hook
vital,"s. performing an essential function in the living body
s. manifesting or characteristic of life"
soar,"n. the act of rising upward into the air
v. rise rapidly
v. fly upwards or high in the sky
v. go or move upward"
custody,n. holding by the police
compress,"n. a cloth pad or dressing (with or without medication) applied firmly to some part of the body (to relieve discomfort or reduce fever)
v. make more compact by or as if by pressing
v. squeeze or press together"
predict,v. make a prediction about; tell in advance
refine,"v. treat or prepare so as to put in a usable condition
v. reduce to a fine, unmixed, or pure state; separate from extraneous matter or cleanse from impurities
v. attenuate or reduce in vigor, strength, or validity by polishing or purifying
v. make more precise or increase the discriminatory powers of"
swarm,n. a group of many things in the air or on the ground
swerve,"n. the act of turning aside suddenly
v. turn sharply; change direction abruptly"
emigrate,v. leave one's country of residence for a new one
emphasize,"v to stress, single out as important
v give extra weight to (a communication)"
retail,"n. the selling of goods to consumers; usually in small quantities and not for resale
v. be sold at the retail level
v. sell on the retail market
r. at a retail price"
skim,"n. a thin layer covering the surface of a liquid
n. reading or glancing through quickly
v. cause to skip over a surface
v. coat (a liquid) with a layer"
batter,"n. (baseball) a ballplayer who is batting
n. a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking"
untidy,a. not neat and tidy
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
sling,"n. a highball with liquor and water with sugar and lemon or lime juice
n. a simple weapon consisting of a looped strap in which a projectile is whirled and then released
n. bandage to support an injured forearm; consisting of a wide triangular piece of cloth hanging from around the neck
v. hurl as if with a sling"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
overthrow,"n. the termination of a ruler or institution (especially by force)
v. cause the downfall of; of rulers"
terrify,v. fill with terror; frighten greatly
intensify,"v. make more intense, stronger, or more marked
v. become more intense
v. make the chemically affected part of (a negative) denser or more opaque in order produce a stronger contrast between light and dark"
naval,a. connected with or belonging to or used in a navy
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
opponent,s. characterized by active hostility
supreme,"s. final or last in your life or progress
s. highest in excellence or achievement
s. greatest or maximal in degree; extreme"
commit,"v. cause to be admitted; of persons to an institution
v. engage in or perform"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
surgery,"n. the branch of medical science that treats disease or injury by operative procedures
n. a room where a doctor or dentist can be consulted"
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
smuggle,v. import or export without paying customs duties
flock,"n. a church congregation guided by a pastor
n. a group of birds
n. a group of sheep or goats
v. move as a crowd or in a group"
flaw,"n. defect or weakness in a person's character
n. an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
v. add a flaw or blemish to; make imperfect or defective"
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
payable,"n a liability account showing how much is owed for goods and services purchased on credit
s subject to or requiring payment especially as specified"
scope,"n. an area in which something acts or operates or has power or control: ""the range of a supersonic jet"""
inequality,n. lack of equality
repeal,"n the act of abrogating; an official or legal cancellation
v cancel officially"
illegible,"a. (of handwriting, print, etc.) not legible"
siege,n. the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
eruption,"n. symptom consisting of a breaking out and becoming visible
n. (of volcanos) pouring out fumes or lava (or a deposit so formed)
n. the emergence of a tooth as it breaks through the gum"
vaccination,n. the scar left following inoculation with a vaccine
haunt,"n. a frequently visited place
v. follow stealthily or recur constantly and spontaneously to
v. haunt like a ghost; pursue"
