overcome,v. get on top of; deal with successfully
favor,"n. an act of gracious kindness
n. an advantage to the benefit of someone or something
n. an inclination to approve"
blank,"n. a piece of material ready to be made into something
n. a cartridge containing an explosive charge but no bullet
v. keep the opposing (baseball) team from winning
s. (of a surface) not written or printed on"
campfire,n. a small outdoor fire for warmth or cooking (as at a camp)
BYOB,none
go off,none
get into,none
at large,none
hang out,n a frequently visited place
as a whole,none
bring about,none
think of as,none
lord it over sb.,none
go down,n. (in India and Malaysia) a warehouse
in earnest,none
fall apart,none
in favor of,none
point to,none
enough said,none
give in to,none
be in the majority,none
