cent,n. a fractional monetary unit of several countries
resignation,"n. acceptance of despair
n. the act of giving up (a claim or office or possession etc.)
n. a formal document giving notice of your intention to resign"
signature,"n. your name written in your own handwriting
n. a melody used to identify a performer or a dance band or radio/tv program
n. a sheet with several pages printed on it; it folds to page size and is bound with other signatures to form a book"
consignment,n. the delivery of goods for sale or disposal
signalize,"v. provide with traffic signals
v. point out carefully and clearly
v. make conspicuous or noteworthy"
miniskirt,n. a very short skirt
minute,"n. a unit of time equal to 60 seconds or 1/60th of an hour
n. a unit of angular distance equal to a 60th of a degree
n. a short note
s. characterized by painstaking care and detailed examination"
minor,"a. of lesser importance or stature or rank
a. lesser in scope or effect
a. inferior in number or size or amount
a. of a scale or mode"
minus,"a. on the negative side or lower end of a scale
s. involving disadvantage or harm"
minimum,"n. the smallest possible quantity
n. the point on a curve where the tangent changes from negative on the left to positive on the right"
ministry,"n. religious ministers collectively (especially Presbyterian)
n. building where the business of a government department is transacted
n. a government department under the direction of a minister
n. the work of a minister of religion"
minim,"n. a British imperial capacity measure (liquid or dry) equal to 1/60th fluid dram or 0.059194 cubic centimeters
n. a United States liquid unit equal to 1/60 fluidram"
mince,"n. food chopped into small bits
v. make less severe or harsh
v. walk daintily
v. cut into small pieces"
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
minimize,"v. make small or insignificant
v. cause to seem less serious; play down"
diminish,"v. lessen the authority, dignity, or reputation of"
minister,"n. a person appointed to a high office in the government
n. a diplomat representing one government to another; ranks below ambassador
n. the job of a head of a government department
v. attend to the wants and needs of others"
minify,v make smaller
creative,"a. having the ability or power to create
s. promoting construction or creation"
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
creature,"n. a human being; `wight' is an archaic term
n. a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
decrease,"n. a change downward
n. a process of becoming smaller or shorter
n. the amount by which something decreases
n. the act of decreasing or reducing something"
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
secrete,"v. generate and separate from cells or bodily fluids
v. place out of sight; keep secret"
crescent,"n. any shape resembling the curved shape of the moon in its first or last quarters
s. resembling the new moon in shape"
procreate,v have offspring or produce more individuals of a given animal or plant
recreate,v. create anew
sum,"n. a quantity of money
n. a quantity obtained by the addition of a group of numbers
n. the final aggregate
n. the whole amount"
summit,"n. a meeting of heads of governments
v. reach the summit (of a mountain)"
summary,n. a brief statement that presents the main points in a concise form
summarize,v. be a summary of
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
public,"n. a body of people sharing some common interest
a. not private; open to or concerning the people as a whole
s. affecting the people or community as a whole"
population,"n. the people who inhabit a territory or state
n. a group of organisms of the same species inhabiting a given area
n. (statistics) the entire aggregation of items from which samples can be drawn
n. the number of inhabitants (either the total number or the number of a particular race or class) in a given place (country or city etc.)"
popular,"a. regarded with great favor, approval, or affection especially by the general public
s. carried on by or for the people (or citizens) at large
s. (of music or art) new and of general appeal (especially among young people)"
publication,"n. a copy of a printed work offered for distribution
n. the communication of something to the public; making information generally known
n. the business of issuing printed matter for sale or distribution"
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
popularity,n. the quality of being widely admired or accepted or sought after
popularize,"v. cater to popular taste to make popular and present to the general public; bring into general or common use
v. make understandable to the general public"
publicize,v. make public
publicity,n. the quality of being open to public view
populous,s. densely populated
model,"n. a hypothetical description of a complex entity or process
n. a type of product
n. a person who poses for a photographer or painter or sculptor
n. representation of something (sometimes on a smaller scale)"
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
modify,"v. make less severe or harsh or extreme
v. add a modifier to a constituent"
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
remodel,"v. do over, as of (part of) a house"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
commodity,n. articles of commerce
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
type,"n. a subdivision of a particular kind of thing
n. (biology) the taxonomic group whose characteristics are used to define the next higher taxon
n. printed characters
n. all of the tokens of the same symbol"
typewriter,n. hand-operated character printer for printing written messages one character at a time
typical,"a. exhibiting the qualities or characteristics that identify a group or kind or category
s. conforming to a type"
prototype,n. a standard or typical example
typify,"v. embody the essential characteristics of or be a typical example of
v. express indirectly by an image, form, or model; be a symbol"
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
disarrange,"v. destroy the arrangement or order of
v. disturb the arrangement of"
rearrange,v. put into a new order or arrangement
misarrange,"v. t. To place in a wrong order, or improper manner."
derange,"v derange mentally, throw out of mental balance; make insane
v throw into great confusion or disorder"
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
settlement,"n. a conclusive resolution of a matter and disposition of it
n. something settled or resolved; the outcome of decision making
n. an area where a group of families live together"
settle,"n. a long wooden bench with a back
v. settle into a position, usually on a surface or ground
v. settle conclusively; come to terms
v. take up residence and become established"
upset,"n. the act of disturbing the mind or body
n. a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
n. the act of upsetting something
v. disturb the balance or stability of"
reset,"n. device for resetting instruments or controls
v. set anew
v. set to zero"
preset,s. set in advance
inset,"n. a small picture inserted within the bounds or a larger one
v. set or place in"
unsettle,v disturb the composure of
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
opponent,s. characterized by active hostility
postpone,v. hold back to a later time
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
dispose,"v. give, sell, or transfer to another
v. make receptive or willing towards an action or attitude or belief
v. place or put in a particular order"
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
impose,"v compel to behave in a certain way
v impose something unpleasant
v impose and collect"
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
suppose,v. express a supposition
position,"n. the particular portion of space occupied by something
n. a way of regarding situations or topics etc.
n. the arrangement of the body and its limbs
n. a job in an organization"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
compound,"n. a whole formed by a union of two or more elements or parts
n. (chemistry) a substance formed by chemical union of two or more elements or ingredients in definite proportion by weight
n. an enclosure of residences and other building (especially in the Orient)
v. put or add together"
composition,"n. the spatial property resulting from the arrangement of parts in relation to each other and to the whole
n. a mixture of ingredients
n. an essay (especially one written as an assignment)
n. something that is created by arranging several things to form a unified whole"
exposition,"n. a systematic interpretation or explanation (usually written) of a specific topic
n. an account that sets forth the meaning or intent of a writing or discourse
n. (music) the section of a movement (especially in sonata form) where the major musical themes first occur"
discompose,v cause to lose one's composure
depose,v. force to leave (an office)
media,"n a means or instrumentality for storing or communicating information
n the surrounding environment
n an intervening substance through which signals can travel as a means for communication
n (bacteriology) a nutrient substance (solid or liquid) that is used to cultivate micro-organisms
n a liquid with which pigment is mixed by a painter
n (biology) a substance in which specimens are preserved or displayed
n an intervening substance through which something is achieved
n a state that is intermediate between extremes; a middle position
n someone who serves as an intermediary between the living and the dead
n (usually plural) transmissions that are disseminated widely to the public
n an occupation for which you are especially well suited"
middle,"n. an intermediate part or section
n. the middle area of the human torso (usually in front)
n. time between the beginning and the end of a temporal period
v. put in the middle"
midday,n the middle of the day
midnight,n. 12 o'clock at night; the middle of the night
midsummer,"n June 21, when the sun is at its northernmost point"
midway,"n. the place at a fair or carnival where sideshows and similar amusements are located
n. naval battle of World War II (June 1942); American planes based on land and on carriers decisively defeated a Japanese fleet on its way to invade the Midway Islands"
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
midfield,n. (sports) the middle part of a playing field (as in football or lacrosse)
mediation,"n. a negotiation to resolve differences that is conducted by some impartial party
n. the act of intervening for the purpose of bringing about a settlement"
midst,n. the location of something surrounded by other things
mediator,n. a negotiator who acts as a link between parties
intermediate,"n. a substance formed during a chemical process before the desired product is obtained
a. lying between two extremes in time or space or state"
meddle,v. intrude in other people's affairs or business; interfere unwantedly
midterm,"n. the middle of the gestation period
n. middle of an academic term or a political term in office"
local,"n. public transport consisting of a bus or train that stops at all stations or stops
a. relating to or applicable to or concerned with the administration of a city or town or district rather than a larger area
a. of or belonging to or characteristic of a particular locality or neighborhood
a. affecting only a restricted part or area of the body"
localism,n. a phrase or pronunciation that is peculiar to a particular locality
relocate,"v. become established in a new location
v. move or establish in a new location"
locate,"v. discover the location of; determine the place of; find by searching or examining
v. assign a location to"
allocate,v. distribute according to a plan or set apart for a special purpose
locality,n a surrounding or nearby region
collocate,"v. have a strong tendency to occur side by side
v. group or chunk together in a certain order or place side by side"
dislocate,"v. move out of position
v. put out of its usual place, position, or relationship"
terminal,"n. station where transport vehicles load or unload passengers or goods
n. a contact on an electrical device (such as a battery) at which electric current enters or leaves
n. electronic equipment consisting of a device providing access to a computer; has a keyboard and display
a. of or relating to or situated at the ends of a delivery route"
determine,"v. establish after a calculation, investigation, experiment, survey, or study
v. shape or influence; give direction to
v. fix conclusively or authoritatively
v. fix in scope; fix the boundaries of"
determined,"s. characterized by great determination
a. having been learned or found or determined especially by investigation
s. devoting full strength and concentrated attention to
s. determined or decided upon as by an authority"
terminate,"v bring to an end or halt
v have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical
v be the end of; be the last or concluding part of
v terminate the employment of; discharge from an office or position"
termination,"n. a coming to an end of a contract period
n. the act of ending something"
exterminate,v. kill en masse; kill on a large scale; kill many
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
reform,"n. a change for the better as a result of correcting abuses
n. a campaign aimed to correct abuses or malpractices
n. self-improvement in behavior or morals by abandoning some vice
v. make changes for improvement in order to remove abuse and injustices"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
conform,"v. be similar, be in line with"
informative,a. providing or conveying information
formation,"n. an arrangement of people or things acting as a unit
n. the act of fabricating something in a particular shape
n. a particular spatial arrangement
n. natural process that causes something to form"
formulate,v. prepare according to a formula
formalism,"n. the doctrine that formal structure rather than content is what should be represented
n. (philosophy) the philosophical theory that formal (logical or mathematical) statements have no meaning but that its symbols (regarded as physical entities) exhibit a form that has useful applications
n. the practice of scrupulous adherence to prescribed or external forms"
deform,"v. make formless
v. become misshapen
v. alter the shape of (something) by stress"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
ideology,n. imaginary or visionary theorization
ideological,"a. of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation
s. concerned with or suggestive of ideas"
idealism,"n. (philosophy) the philosophical theory that ideas are the only reality
n. impracticality by virtue of thinking of things in their ideal form rather than as they really are"
idealize,"v. consider or render as ideal
v. form ideals"
ideograph,n a graphic character that indicates the meaning of a thing without indicating the sounds used to say it
computer,n. a machine for performing calculations automatically
dispute,"n. a disagreement or argument about something important
n. coming into conflict with"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
repute,n. the state of being held in high esteem and honor
disrepute,n. the state of being held in low esteem
compute,v make a mathematical calculation or computation
impute,"v. attribute or credit to
v. attribute (responsibility or fault) to a cause or source"
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
question,"n. an instance of questioning
n. the subject matter at issue
n. a sentence of inquiry that asks for a reply
n. an informal reference to a marriage proposal"
conquest,"n. the act of conquering
n. success in mastering something difficult"
request,"n. a formal message requesting something that is submitted to an authority
n. the verbal act of requesting
v. express the need or desire for; ask for
v. ask (a person) to do something"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
conquer,v. overcome by conquest
acquirement,n an ability that has been acquired by training
inquest,n. an inquiry into the cause of an unexpected death
inquisition,"n. a former tribunal of the Roman Catholic Church (1232-1820) created to discover and suppress heresy
n. a severe interrogation (often violating the rights or privacy of individuals)"
requisite,"n anything indispensable
s necessary for relief or supply"
acquired,s. gotten through environmental forces
sense,"n. a general conscious awareness
n. the meaning of a word or expression; the way in which a word or expression or situation can be interpreted
n. the faculty through which the external world is apprehended
n. a natural appreciation or ability"
sensible,"a. able to feel or perceive
s. readily perceived by the senses
s. aware intuitively or intellectually of something sensed"
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
consensus,n. agreement in the judgment or opinion reached by a group as a whole
consent,n. permission to do something
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
resentment,n. a feeling of deep and bitter anger and ill-will
resent,v. feel bitter or indignant about
sensory,a. involving or derived from the senses
sensibility,"n. mental responsiveness and awareness
n. refined sensitivity to pleasurable or painful impressions"
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
consentient,s in complete agreement
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
sentimental,s. given to or marked by sentiment or sentimentality
clear,"n. the state of being free of suspicion
v. make a way or path by removing objects
v. remove
v. be debited and credited to the proper bank accounts"
clarify,"v. make clear and (more) comprehensible
v. make clear by removing impurities or solids, as by heating"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
declaration,"n. a statement that is emphatic and explicit (spoken or written)
n. (law) unsworn statement that can be admitted in evidence in a legal transaction
n. a statement of taxable goods or of dutiable properties"
clearance,"n. the distance by which one thing clears another; the space between them
n. permission to proceed"
clarity,n. free from obscurity and easy to understand; the comprehensibility of clear expression
clearing,"n. a tract of land with few or no trees in the middle of a wooded area
n. the act of freeing from suspicion
n. the act of removing solid particles from a liquid"
pardon,"n. a warrant granting release from punishment for an offense
v. grant a pardon to"
donor,"n. person who makes a gift of property
n. (medicine) someone who gives blood or tissue or an organ to be used in another person (the host)"
donate,v. give to a charity or good cause
condition,"n. a state at a particular time
n. an assumption on which rests the validity or effect of something else
n. a mode of being or form of existence of a person or thing
n. the state of (good) health (especially in the phrases `in condition' or `in shape' or `out of condition' or `out of shape')"
tradition,n. an inherited pattern of thought or action
edit,"v. prepare for publication or presentation by correcting, revising, or adapting
v. supervise the publication of
v. cut and assemble the components of
v. cut or eliminate"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
acting,"n. the performance of a part or role in a drama
s. serving temporarily especially as a substitute"
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
exact,a. marked by strict and particular and complete accordance with fact
interact,v. act together or towards others or with others
transact,v. conduct business
counteract,v. oppose and mitigate the effects of by contrary actions
enact,v. act out; represent or perform as if in a play
inactivity,n. being inactive; being less active
actualize,v. represent or describe realistically
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
agile,"s. moving quickly and lightly
s. mentally quick"
agility,n. the gracefulness of a person or animal that is quick and nimble
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
fiction,n. a literary work based on the imagination and not necessarily on fact
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
sacrifice,"n. personnel that are sacrificed (e.g., surrendered or lost in order to gain an objective)
n. a loss entailed by giving up or selling something at less than its value
n. the act of killing (an animal or person) in order to propitiate a deity
n. (baseball) an out that advances the base runners"
feasible,s. capable of being done with means at hand and circumstances as they are
defect,"n. an imperfection in a bodily system
n. a failing or deficiency
n. an imperfection in an object or machine
v. desert (a cause, a country or an army), often in order to join the opposing cause, country, or army"
efficient,a. being effective without wasting time or effort or expense
infectious,"s. caused by infection or capable of causing infection
a. easily spread; children catch it from their elders""- Bertrand Russell
a. of or relating to infection"
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
defection,"n withdrawing support or help despite allegiance or responsibility
n the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes)"
facile,"s. arrived at without due care or effort; lacking depth
s. performing adroitly and without effort"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
suffice,"v. be sufficient; be adequate, either in quality or quantity"
emotion,n. any strong feeling
automobile,v. travel in an automobile
motion,"n. a change of position that does not entail a change of location
n. a state of change
n. a formal proposal for action made to a deliberative assembly for discussion and vote
n. the act of changing location from one place to another"
motive,s. causing or able to cause motion
motivate,v. give an incentive for action
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
mob,n. a disorderly crowd of people
mobilize,"v. make ready for action or use
v. get ready for war
v. cause to move around"
mobster,n a criminal who is a member of gang
immobile,a. not capable of movement or of being moved
locomotive,"n. a wheeled vehicle consisting of a self-propelled engine that is used to draw trains along railway tracks
a. of or relating to locomotion"
operate,"v. direct or control; projects, businesses, etc.
v. handle and cause to function
v. happen"
operator,"n. (mathematics) a symbol or function representing a mathematical operation
n. an agent that operates some apparatus or machine
n. someone who owns or operates a business
n. a speculator who trades aggressively on stock or commodity markets"
operation,"n. the state of being in effect or being operative
n. a business especially one run on a large scale
n. a planned activity involving many people performing various actions
n. (computer science) data processing in which the result is completely specified by a rule (especially the processing that results from a single instruction)"
cooperate,v work together on a common enterprise of project
cooperation,"n. joint operation or action
n. the practice of cooperating"
operable,"a. capable of being treated by surgical operation
s. usable for a specific purpose"
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
treatment,"n. care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
n. the management of someone or something
n. a manner of dealing with something artistically"
treaty,n. a written agreement between two states or sovereigns
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
maltreat,v treat badly
entreat,v ask for or request earnestly
