precise,a. sharply exact or accurate or delimited
puzzled,"v be a mystery or bewildering to
v be uncertain about; think about without fully understanding or being able to decide
s filled with bewilderment"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
simple-minded,"s lacking subtlety and insight
s lacking mental capacity and subtlety"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
regulation,"n. an authoritative rule
n. the state of being controlled or governed
n. (embryology) the ability of an early embryo to continue normal development after its structure has been somehow damaged or altered
n. the act of bringing to uniformity; making regular"
co-worker,n an associate that one works with
secure,"v. assure payment of
a. free from fear or doubt; easy in mind
a. free from danger or risk
a. not likely to fail or give way"
bacterium,n (microbiology) single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be plants
zoom,"v. move along very quickly
v. move with a low humming noise"
explicit,a. precisely and clearly expressed or readily observable; leaving nothing to implication
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
labour,"n a social class comprising those who do manual labor or work for wages
n concluding state of pregnancy; from the onset of contractions to the birth of a child
n a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries
n productive work (especially physical work done for wages)
v work hard
v strive and make an effort to reach a goal
v undergo the efforts of childbirth"
opposite,"s. being directly across from each other; facing
a. of leaves etc; growing in pairs on either side of a stem
s. moving or facing away from each other
s. the other one of a complementary pair"
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
shelter,"n. a structure that provides privacy and protection from danger
n. protective covering that provides protection from the weather
n. temporary housing for homeless or displaced persons
v. provide shelter for"
forehead,"n the part of the face above the eyes
n the large cranial bone forming the front part of the cranium: includes the upper part of the orbits"
wave,"n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
n. a movement like that of a sudden occurrence or increase in a specified phenomenon
n. (physics) a movement up and down or back and forth
n. something that rises rapidly"
unconscious,"a. not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
s. without conscious volition
s. (followed by `of') not knowing or perceiving"
error,"n. a misconception resulting from incorrect information
n. (baseball) a failure of a defensive player to make an out when normal play would have sufficed
n. departure from what is ethically acceptable
n. (computer science) the occurrence of an incorrect result produced by a computer"
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
recognise,"v show approval or appreciation of
v grant credentials to
v detect with the senses
v express greetings upon meeting someone
v express obligation, thanks, or gratitude for
v be fully aware or cognizant of
v perceive to be the same
v accept (someone) to be what is claimed or accept his power and authority"
useless,a. having no beneficial use or incapable of functioning usefully
mankind,n all of the living human inhabitants of the earth
flesh,"n. the soft tissue of the body of a vertebrate: mainly muscle tissue and fat
v. remove adhering flesh from (hides) when preparing leather manufacture"
fault,"n. (geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other
n. (electronics) equipment failure attributable to some defect in a circuit (loose connection or insulation failure or short circuit etc.)
n. responsibility for a bad situation or event
n. (sports) a serve that is illegal (e.g., that lands outside the prescribed area)"
niece,n. a daughter of your brother or sister
deal,"n. a particular instance of buying or selling
n. a plank of softwood (fir or pine board)
n. the type of treatment received (especially as the result of an agreement)
n. the act of distributing playing cards"
allocate,v. distribute according to a plan or set apart for a special purpose
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
saying,n. a word or phrase that particular people use in particular situations
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
spray,"n. a pesticide in suspension or solution; intended for spraying
n. a quantity of small objects flying through the air
n. flower arrangement consisting of a single branch or shoot bearing flowers and foliage
n. water in small drops in the atmosphere; blown from waves or thrown up by a waterfall"
hive,"n. a teeming multitude
v. store, like bees
v. move together in a hive or as if in a hive
v. gather into a hive"
interval,"n. a set containing all points (or all real numbers) between two given endpoints
n. the distance between things
n. the difference in pitch between two notes"
quarter,"n. a district of a city having some distinguishing character
n. (football, professional basketball) one of four divisions into which some games are divided
n. a unit of time equal to 15 minutes or a quarter of an hour
n. one of four periods into which the school year is divided"
chant,"n. a repetitive song in which as many syllables as necessary are assigned to a single tone
v. recite with musical intonation; recite as a chant or a psalm"
tradition,n. an inherited pattern of thought or action
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
dynasty,n. a sequence of powerful leaders in the same family
freezing,"n the withdrawal of heat to change something from a liquid to a solid
v stop moving or become immobilized
v change to ice
v be cold
v cause to freeze
v stop a process or a habit by imposing a freeze on it
v be very cold, below the freezing point
v change from a liquid to a solid when cold
v prohibit the conversion or use of (assets)
v anesthetize by cold
v suddenly behave coldly and formally"
separation,"n. the state of lacking unity
n. coming apart
n. sorting one thing from others
n. the social act of separating or parting company"
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
playmate,n. a companion at play
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
title,"n. a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
n. the name of a work of art or literary composition etc.
n. a general or descriptive heading for a section of a written work
n. an identifying appellation signifying status or function: e.g. `Mr.' or `General'"
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
develop,"v. make something new, such as a product or a mental or artistic creation
v. gain through experience
v. be gradually disclosed or unfolded; become manifest; 
v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment"
weakness,"n. the property of lacking physical or mental strength; liability to failure under pressure or stress or strain
n. the condition of being financially weak
n. a penchant for something even though it might not be good for you"
advice,n. a proposal for an appropriate course of action
against,"prep. Abreast; opposite to; facing; towards; as, against the
   mouth of a river; -- in this sense often preceded by over.
prep. From an opposite direction so as to strike or come in
   contact with; in contact with; upon; as, hail beats against the roof.
prep. In opposition to, whether the opposition is of
   sentiment or of action; on the other side; counter to; in contrariety
   to; hence, adverse to; as, against reason; against law; to run a race
   against time.
prep. By of before the time that; in preparation for; so as
   to be ready for the time when."
grateful,"a. feeling or showing gratitude
s. affording comfort or pleasure"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
astonish,v affect with wonder
literary,"a. of or relating to or characteristic of literature
s. knowledgeable about literature
s. appropriate to literature rather than everyday speech or writing"
unite,"v. act in concert or unite in a common purpose or belief
v. have or possess in combination
v. bring together for a common purpose or action or ideology or in a shared situation
v. join or combine"
woollen,"n a fabric made from the hair of sheep
a of or related to or made of wool"
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
information,"n. a message received and understood
n. knowledge acquired through study or experience or instruction
n. formal accusation of a crime
n. (communication theory) a numerical measure of the uncertainty of an outcome"
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
attack,"n. (military) an offensive against an enemy (using weapons)
n. an offensive move in a sport or game
n. the act of attacking
n. a decisive manner of beginning a musical tone or phrase"
scholarship,n. financial aid provided to a student on the basis of academic merit
live,"v. lead a certain kind of life; live in a certain style
v. pursue a positive and satisfying existence
a. actually being performed at the time of hearing or viewing
a. exerting force or containing energy"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
promise,"n. a verbal commitment by one person to another agreeing to do (or not to do) something in the future
n. grounds for feeling hopeful about the future
v. make a promise or commitment
v. promise to undertake or give"
province,n. the proper sphere or extent of your activities
enlarge,"v. make larger
v. become larger or bigger"
aggression,"n. a disposition to behave aggressively
n. a feeling of hostility that arouses thoughts of attack
n. violent action that is hostile and usually unprovoked
n. the act of initiating hostilities"
run,"n. a score in baseball made by a runner touching all four bases safely
n. (American football) a play in which a player attempts to carry the ball through or past the opposing team
n. a regular trip
n. the act of running; traveling on foot at a fast pace"
librarian,n. a professional person trained in library science and engaged in library services
least,"n. something that is of no importance
a. the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree
r. used to form the superlative"
hibernate,"v. sleep during winter
v. be in an inactive or dormant state"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
darkness,"n. an unilluminated area
n. having a dark or somber color
n. a swarthy complexion"
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
destination,n. the ultimate goal for which something is done
science,n. a particular branch of scientific knowledge
funny,s. experiencing odd bodily sensations
cause,"n. events that provide the generative force that is the origin of something
n. a justification for something existing or happening
v. give rise to; cause to happen or occur, not always intentionally"
violence,"n. an act of aggression (as one against a person who resists)
n. a turbulent state resulting in injuries and destruction etc."
workforce,n the force of workers available
airspace,"n. the space in the atmosphere immediately above the earth
n. the atmosphere above a nation that is deemed to be under its jurisdiction"
correspond,v. exchange messages
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
meeting,"n. a formally arranged gathering
n. a small informal social gathering
n. a casual or unexpected convergence
n. the social act of assembling for some common purpose"
dining-room,n a room used for dining
website,n a computer connected to the internet that maintains a series of web pages on the World Wide Web
undivided,"s. not parted by conflict of opinion
s. not shared by or among others
s. not separated into parts or shares; constituting an undivided unit"
debt,"n. the state of owing something (especially money)
n. money or goods or services owed by one person to another
n. an obligation to pay or do something"
bid,"n. an attempt to get something
n. a formal proposal to buy at a specified price
n. (bridge) the number of tricks a bridge player is willing to contract to make
v. ask for or request earnestly"
unfortunately,r. by bad luck
consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
dare,"n. a challenge to do something dangerous or foolhardy
v. to be courageous enough to try or do something"
construct,"v. make by combining materials and parts
v. draw with suitable instruments and under specified conditions
v. create by linking linguistic units
v. create by organizing and linking ideas, arguments, or concepts"
trial,"n. trying something to find out about it
n. (law) the determination of a person's innocence or guilt by due process of law
n. (sports) a preliminary competition to determine qualifications
n. an annoying or frustrating or catastrophic event"
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
saucer,n. a small shallow dish for holding a cup at the table
mud,"n. water soaked soil; soft wet earth
n. slanderous remarks or charges
v. plaster with mud"
separate,"n. a garment that can be purchased separately and worn in combinations with other garments
v. act as a barrier between; stand between
v. force, take, or pull apart
v. divide into components or constituents"
nervous,"s. easily agitated
a. of or relating to the nervous system"
suspension,"n. a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy
n. an interruption in the intensity or amount of something
n. a mechanical system of springs or shock absorbers connecting the wheels and axles to the chassis of a wheeled vehicle
n. the act of suspending something (hanging it from above so it moves freely)"
funeral,n. a ceremony at which a dead person is buried or cremated
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
sort,"n. an approximate definition or example
n. a person of a particular character or nature
n. an operation that segregates items into groups according to a specified criterion"
steward,"n. someone who manages property or other affairs for someone else
n. the ship's officer who is in charge of provisions and dining arrangements
n. an attendant on an airplane"
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
kind-hearted,s having or proceeding from an innately kind disposition
complete,"v. come or bring to a finish or an end; others finished in over 4 hours""
v. bring to a whole, with all the necessary parts or elements
v. complete a pass
v. write all the required information onto a form"
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
punish,v. impose a penalty on; inflict punishment on
cautious,"a. showing careful forethought; never making swift decisions""
s. avoiding excess"
end,"n. either extremity of something that has length
n. the point in time at which something ends
n. the concluding parts of an event or occurrence
n. a final part or section"
material,"n. the tangible substance that goes into the makeup of a physical object
n. information (data or ideas or observations) that can be used or reworked into a finished form
n. things needed for doing or making something
n. a person judged suitable for admission or employment"
sweater,n. a crocheted or knitted garment covering the upper part of the body
touch,"n. the event of something coming in contact with the body
n. the faculty by which external objects or forces are perceived through contact with the body (especially the hands)
n. a suggestion of some quality
n. a distinguishing style"
printing,"n. text handwritten in the style of printed matter
n. the business of producing printed material for sale or distribution
n. reproduction by applying ink to paper as for publication"
though,r. (postpositive) however
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
physician,n a licensed medical practitioner
publicly,"r. in a manner accessible to or observable by the public; openly
r. by the public or the people generally"
debate,"n. the formal presentation of a stated proposition and the opposition to it (usually followed by a vote)
v. argue with one another
v. discuss the pros and cons of an issue"
achieve,v. to gain with effort
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
accountant,n. someone who maintains and audits business accounts
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
brake,"n. a restraint used to slow or stop a vehicle
n. any of various ferns of the genus Pteris having pinnately compound leaves and including several popular houseplants
n. an area thickly overgrown usually with one kind of plant
n. anything that slows or hinders a process"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
spy,"n. (military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
n. a secret watcher; someone who secretly watches other people
v. watch, observe, or inquire secretly
v. catch sight of; to perceive with the eyes"
praise,"n. an expression of approval and commendation
n. offering words of homage as an act of worship
v. express approval of"
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
power,"n. possession of controlling influence
n. (physics) the rate of doing work; measured in watts (= joules/second)
n. one possessing or exercising power or influence or authority
v. supply the force or power for the functioning of"
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
advertisement,n a public promotion of some product or service
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
regret,"v. feel sad about the loss or absence of
v. decline formally or politely
v. express with regret"
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
director,"n. someone who controls resources and expenditures
n. member of a board of directors
n. someone who supervises the actors and directs the action in the production of a show"
burst,"n. a sudden flurry of activity (often for no obvious reason)
v. come open suddenly and violently, as if from internal pressure
v. move suddenly, energetically, or violently
v. emerge suddenly"
push,"n. the act of applying force in order to move something away
n. the force used in pushing
n. an effort to advance
v. move with force, ""He pushed the table into a corner"""
permit,"n. large game fish; found in waters of the West Indies
v. consent to, give permission"
mouthful,n. the quantity that can be held in the mouth
guilty,"a. responsible for or chargeable with a reprehensible act
s. showing a sense of guilt"
load,"n. weight to be borne or conveyed
n. a quantity that can be processed or transported at one time
n. an amount of alcohol sufficient to intoxicate
n. the power output of a generator or power plant"
neither,s. not either; not one or the other
solid,"n. matter that is solid at room temperature and pressure
n. the state in which a substance has no tendency to flow under moderate stress; resists forces (such as compression) that tend to deform it; and retains a definite size and shape
n. a three-dimensional shape
s. characterized by good substantial quality"
competition,"n. a business relation in which two parties compete to gain customers
n. the act of competing as for profit or a prize"
practice,"n. a customary way of operation or behavior
n. translating an idea into action
n. the exercise of a profession
n. knowledge of how something is usually done"
attraction,"n. the force by which one object attracts another
n. an entertainment that is offered to the public
n. the quality of arousing interest; being attractive or something that attracts
n. a characteristic that provides pleasure and attracts"
teamwork,n. cooperative work done by a team (especially when it is effective)
failure,"n. an act that fails
n. an event that does not accomplish its intended purpose
n. lack of success
n. a person with a record of failing; someone who loses consistently"
volunteer,"n. (military) a person who freely enlists for service
n. a person who performs voluntary work
v. tell voluntarily
v. agree freely"
graduate,"n. a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
v. receive an academic degree upon completion of one's studies
v. confer an academic degree upon
s. of or relating to studies beyond a bachelor's degree"
bravery,"n a quality of spirit that enables you to face danger or pain without showing fear
n feeling no fear"
lift,"n. the act of giving temporary assistance
n. a wave that lifts the surface of the water or ground
n. a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg
n. one of the layers forming the heel of a shoe or boot"
skillfully,r. with skill
market,"n. the world of commercial activity where goods and services are bought and sold
n. the customers for a particular product or service
n. the securities markets in the aggregate
v. engage in the commercial promotion, sale, or distribution of"
biography,n. an account of the series of events making up a person's life
tourist,n. someone who travels for pleasure
tip,"n. the extreme end of something; especially something pointed
n. an indication of potential opportunity
v. cause to tilt
v. mark with a tip"
appetite,n. a feeling of craving something
web,"n. an intricate network suggesting something that was formed by weaving or interweaving
n. an intricate trap that entangles or ensnares its victim
n. a fabric (especially a fabric in the process of being woven)
n. membrane connecting the toes of some aquatic birds and mammals"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
stupid,"n. a person who is not very bright
a. lacking or marked by lack of intellectual acuity"
native,"n. an indigenous person who was born in a particular place
n. a person born in a particular place or country
n. indigenous plants and animals
a. characteristic of or existing by virtue of geographic origin"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
successful,a. having succeeded or being marked by a favorable outcome
relax,"v. become less tense, rest, or take one's ease
v. make less taut
v. cause to feel relaxed
v. become less tense, less formal, or less restrained, and assume a friendlier manner"
untrue,"s. not according with the facts
s. not true to an obligation or trust"
lame,n. a fabric interwoven with threads of metal
poster,n. a sign posted in a public place as an advertisement
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
shake,"v. move or cause to move back and forth
v. move with or as if with a tremor
v. undermine or cause to waver
v. get rid of"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
left-wing,s believing in or supporting tenets of the political left
overweight,"n the property of excessive fatness
s usually describes a large person who is fat but has a large frame to carry it"
shot,"n. a solid missile discharged from a firearm
n. a chance to do something
n. a person who shoots (usually with respect to their ability to shoot)
n. an aggressive remark directed at a person like a missile and intended to have a telling effect"
distance,"n. the property created by the space between two objects or points
n. a distant region
n. size of the gap between two places
n. indifference by personal withdrawal"
pump,"n. a mechanical device that moves fluid or gas by pressure or suction
n. a low-cut shoe without fastenings
v. operate like a pump; move up and down, like a handle or a pedal
v. deliver forth"
turn,"n. the act of changing or reversing the direction of the course
n. (game) the activity of doing something in an agreed succession
n. an unforeseen development
n. the act of turning away or in the opposite direction"
quarrel,"n. an angry dispute
n. an arrow that is shot from a crossbow; has a head with four edges
v. have a disagreement over something"
miss,"n. a failure to hit (or meet or find etc)
n. a form of address for an unmarried woman
v. fail to perceive or to catch with the senses or the mind
v. feel or suffer from the lack of"
review,"n. an essay or article that gives a critical evaluation (as of a book or play)
n. (accounting) a service (less exhaustive than an audit) that provides some assurance to interested parties as to the reliability of financial data
n. a periodical that publishes critical essays on current affairs or literature or art
n. (law) a judicial reexamination of the proceedings of a court (especially by an appellate court)"
melon,"n. any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh
n. any of various fruit of cucurbitaceous vines including: muskmelons; watermelons; cantaloupes; cucumbers"
prevent,"v. keep from happening or arising; make impossible
v. stop (someone or something) from doing something or being in a certain state"
abroad,"s. in a foreign country
r. to or in a foreign country"
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
imagine,v. form a mental image of something that is not present or that is not the case
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
rare,"s. not widely known; especially valued for its uncommonness
s. recurring only at long intervals
s. not widely distributed
s. having low density"
examine,"v. observe, check out, and look over carefully or inspect
v. question closely"
unwilling,"a. not disposed or inclined toward
s. in spite of contrary volition"
hit,"n. (baseball) a successful stroke in an athletic contest (especially in baseball)
n. the act of contacting one thing with another
n. a conspicuous success
n. a dose of a narcotic drug"
split,"n. extending the legs at right angles to the trunk (one in front and the other in back)
n. a bottle containing half the usual amount
n. a promised or claimed share of loot or money
n. a lengthwise crack in wood"
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
reliable,a. worthy of reliance or trust
humorous,a. full of or characterized by humor
carry,"n. the act of carrying something
v. have with oneself; have on one's person
v. serve as a means for expressing something
v. bear or be able to bear the weight, pressure,or responsibility of"
worthy,"n. an important, honorable person (word is often used humorously)
a. having worth or merit or value; being honorable or admirable
s. having qualities or abilities that merit recognition in some way"
greengrocer,n. a grocer who sells fresh fruits and vegetables
cuisine,n. the practice or manner of preparing food or the food so prepared
