alphabet,n. a character set that includes letters and is used to write a language
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
pen,"n. a writing implement with a point from which ink flows
n. an enclosure for confining livestock
n. female swan"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
pencil,"n. a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
n. graphite (or a similar substance) used in such a way as to be a medium of communication
n. a figure formed by a set of straight lines or light rays meeting at a point
n. a cosmetic in a long thin stick; designed to be applied to a particular part of the face"
notebook,"n. a book with blank pages for recording notes or memoranda
n. a small compact portable computer"
bookshelf,n. a shelf on which to keep books
globe,n. a sphere on which a map (especially of the earth) is represented
map,"n. a diagrammatic representation of the earth's surface (or part of it)
v. make a map of; show or establish the features of details of
v. explore or survey for the purpose of making a map
v. locate within a specific region of a chromosome in relation to known DNA or gene sequences"
board,"n. a committee having supervisory powers
n. a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
n. a flat piece of material designed for a special purpose
n. food or meals in general"
wall,"n. an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
n. anything that suggests a wall in structure or function or effect
n. (anatomy) a layer (a lining or membrane) that encloses a structure
n. a difficult or awkward situation"
clock,"n. a timepiece that shows the time of day
v. measure the time or duration of an event or action or the person who performs an action in a certain period of time"
bulletin board,none
computer,n. a machine for performing calculations automatically
table,"n. a set of data arranged in rows and columns
n. a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n. a piece of furniture with tableware for a meal laid out on it
n. a company of people assembled at a table for a meal or game"
chair,"n. a seat for one person, with a support for the back
n. a particular seat in an orchestra
v. act or preside as chair, as of an academic department in a university"
ruler,n. a person who rules or commands
desk,n. a piece of furniture with a writing surface and usually drawers or other compartments
dictionary,n. a reference book containing an alphabetical list of words with information about them
living room,n a room in a private house or establishment where people can sit and talk and relax
dining room,n a room used for dining
kitchen,n. a room equipped for preparing meals
bedroom,n. a room used primarily for sleeping
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
attic,"n. the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
n. informal terms for a human head
n. (architecture) a low wall at the top of the entablature; hides the roof
a. of or relating to Attica or its inhabitants or to the dialect spoken in Athens in classical times"
yard,"n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n. the enclosed land around a house or other building
n. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)
n. a tract of land where logs are accumulated"
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
board,"n. a committee having supervisory powers
n. a stout length of sawn timber; made in a wide variety of sizes and used for many purposes
n. a flat piece of material designed for a special purpose
n. food or meals in general"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
bookshelf,n. a shelf on which to keep books
bulletin board,none
chair,"n. a seat for one person, with a support for the back
n. a particular seat in an orchestra
v. act or preside as chair, as of an academic department in a university"
clock,"n. a timepiece that shows the time of day
v. measure the time or duration of an event or action or the person who performs an action in a certain period of time"
computer,n. a machine for performing calculations automatically
desk,n. a piece of furniture with a writing surface and usually drawers or other compartments
dictionary,n. a reference book containing an alphabetical list of words with information about them
globe,n. a sphere on which a map (especially of the earth) is represented
map,"n. a diagrammatic representation of the earth's surface (or part of it)
v. make a map of; show or establish the features of details of
v. explore or survey for the purpose of making a map
v. locate within a specific region of a chromosome in relation to known DNA or gene sequences"
notebook,"n. a book with blank pages for recording notes or memoranda
n. a small compact portable computer"
pen,"n. a writing implement with a point from which ink flows
n. an enclosure for confining livestock
n. female swan"
pencil,"n. a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
n. graphite (or a similar substance) used in such a way as to be a medium of communication
n. a figure formed by a set of straight lines or light rays meeting at a point
n. a cosmetic in a long thin stick; designed to be applied to a particular part of the face"
ruler,n. a person who rules or commands
table,"n. a set of data arranged in rows and columns
n. a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
n. a piece of furniture with tableware for a meal laid out on it
n. a company of people assembled at a table for a meal or game"
wall,"n. an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
n. anything that suggests a wall in structure or function or effect
n. (anatomy) a layer (a lining or membrane) that encloses a structure
n. a difficult or awkward situation"
attic,"n. the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
n. informal terms for a human head
n. (architecture) a low wall at the top of the entablature; hides the roof
a. of or relating to Attica or its inhabitants or to the dialect spoken in Athens in classical times"
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
bedroom,n. a room used primarily for sleeping
dining room,n a room used for dining
garage,"n. an outbuilding (or part of a building) for housing automobiles
n. a repair shop where cars and trucks are serviced and repaired
v. keep or store in a garage"
kitchen,n. a room equipped for preparing meals
living room,n a room in a private house or establishment where people can sit and talk and relax
yard,"n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n. the enclosed land around a house or other building
n. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)
n. a tract of land where logs are accumulated"
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
movie theater,none
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
post office,n. See under 4th Post.
restaurant,n. a building where people go to eat
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
zoo,n the facility where wild animals are housed for exhibition
eating,n. the act of consuming food
drinking,n. the act of consuming liquids
cooking,n. the act of preparing something (as food) by the application of heat
reading,"n. the cognitive process of understanding a written linguistic message
n. a particular interpretation or performance
n. a datum about some physical state that is presented to a user by a meter or similar instrument
n. written material intended to be read"
studying,"n reading carefully with intent to remember
v consider in detail and subject to an analysis in order to discover essential features or meaning
v be a student; follow a course of study; be enrolled at an institute of learning
v give careful consideration to
v be a student of a certain subject
v learn by reading books; I must hit the books now""
v think intently and at length, as for spiritual purposes"
teaching,"n. the profession of a teacher
n. a doctrine that is taught"
singing,n. the act of singing vocal music
sleeping,"n. the state of being asleep
n. the suspension of consciousness and decrease in metabolic rate"
swimming,n. the act of swimming
planting,"n. the act of fixing firmly in place
n. a collection of plants (trees or shrubs or flowers) in a particular area
n. putting seeds or young plants in the ground to grow"
watching TV,none
listening to music,none
playing cards,plural of playing-card
playing baseball,none
playing the piano,none
cooking dinner,none
drinking milk,none
drinking lemonade,none
eating breakfast,none
eating lunch,none
eating dinner,none
listening to music,none
listening to the radio,none
planting flowers,none
playing cards,plural of playing-card
playing baseball,none
playing the guitar,none
playing the piano,none
reading a book,none
reading the newspaper,none
singing,n. the act of singing vocal music
sleeping,"n. the state of being asleep
n. the suspension of consciousness and decrease in metabolic rate"
studying English,none
swimming,n. the act of swimming
teaching,"n. the profession of a teacher
n. a doctrine that is taught"
watching TV,none
brushing,"n the act of brushing your teeth
n the act of brushing your hair
v rub with a brush, or as if with a brush
v touch lightly and briefly
v clean with a brush
v sweep across or over
v remove with or as if with a brush
v cover by brushing"
cleaning,n. the act of making something clean
feeding,n. the act of supplying food and nourishment
fixing,"n the act of putting something in working order again
n restraint that attaches to something or holds something in place
n the sterilization of an animal
n (histology) the preservation and hardening of a tissue sample to retain as nearly as possible the same relations they had in the living body
v restore by replacing a part or putting together what is torn or broken
v cause to be firmly attached
v decide upon or fix definitely
v prepare for eating by applying heat
v take vengeance on or get even
v set or place definitely
v kill, preserve, and harden (tissue) in order to prepare for microscopic study
v make fixed, stable or stationary
v make infertile
v influence an event or its outcome by illegal means
v put (something somewhere) firmly
v make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
painting,"n. graphic art consisting of an artistic composition made by applying paints to a surface
n. creating a picture with paints
n. the act of applying paint to a surface
n. the occupation of a house painter"
reading,"n. the cognitive process of understanding a written linguistic message
n. a particular interpretation or performance
n. a datum about some physical state that is presented to a user by a meter or similar instrument
n. written material intended to be read"
washing,"n the work of cleansing (usually with soap and water)
n garments or white goods that can be cleaned by laundering
v clean with some chemical process
v cleanse (one's body) with soap and water
v cleanse with a cleaning agent, such as soap, and water
v move by or as if by water
v be capable of being washed
v admit to testing or proof
v separate dirt or gravel from (precious minerals)
v apply a thin coating of paint, metal, etc., to
v remove by the application of water or other liquid and soap or some other cleaning agent
v form by erosion
v make moist
v wash or flow against
v to cleanse (itself or another animal) by licking"
brushing my teeth,none
cleaning his apartment,none
cleaning his garage,none
cleaning his living room,none
cleaning his room,none
cleaning his yard,none
doing her exercises,none
doing her homework,none
feeding our cat,none
feeding our dog,none
fixing your bicycle,none
fixing your car,none
fixing your sink,none
fixing your TV,none
painting their bathroom,none
painting their bedroom,none
painting their kitchen,none
painting their living room,none
washing my car,none
washing my clothes,none
washing my hair,none
washing my windows,none
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
young,"n. any immature animal
n. United States film and television actress (1913-2000)
n. United States civil rights leader (1921-1971)
n. British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)"
old,"n. past times (especially in the phrase `in days of old')
a. (used especially of persons) having lived for a relatively long time or attained a specific age
a. of long duration; not new
s. (used for emphasis) very familiar"
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
fat,"n. a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
a. having an (over)abundance of flesh
s. having a relatively large diameter
s. lucrative"
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
new,"a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
s. having no previous example or precedent or parallel
s. other than the former one(s); different
a. unaffected by use or exposure"
old,"n. past times (especially in the phrase `in days of old')
a. (used especially of persons) having lived for a relatively long time or attained a specific age
a. of long duration; not new
s. (used for emphasis) very familiar"
married,"n. a person who is married
a. joined in matrimony"
single,"n. a base hit on which the batter stops safely at first base
v. hit a single
a. used of flowers having usually only one row or whorl of petals
a. existing alone or consisting of one entity or part or aspect or individual"
handsome,"s pleasing in appearance especially by reason of conformity to ideals of form and proportion
s given or giving freely"
ugly,a. displeasing to the senses
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
ugly,a. displeasing to the senses
large,"n. a garment size for a large person
a. above average in size or number or quantity or magnitude or extent
s. fairly large or important in effect; influential
s. having broad power and range and scope"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
small,"n. the slender part of the back
n. a garment size for a small person
a. limited or below average in number or quantity or magnitude or extent
s. slight or limited; especially in degree or intensity or scope"
little,"n. a small amount or duration
a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some
s. (of children and animals) young, immature
s. (of a voice) faint"
noisy,"a. full of or characterized by loud and nonmusical sounds
s. attracting attention by showiness or bright colors"
loud,a. characterized by or producing sound of great volume or intensity
quiet,"a. characterized by an absence or near absence of agitation or activity
a. free of noise or uproar; or making little if any sound
s. not showy or obtrusive
a. of the sun characterized by a low level of surface phenomena like sunspots e.g."
expensive,a. high in price or charging high prices
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
easy,"a. posing no difficulty; requiring little effort
s. not hurried or forced
a. free from worry or anxiety
s. affording pleasure"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
rich,"a. possessing material wealth
a. having an abundant supply of desirable qualities or substances (especially natural resources)
s. of great worth or quality
s. very productive"
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
young,"n. any immature animal
n. United States film and television actress (1913-2000)
n. United States civil rights leader (1921-1971)
n. British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)"
old,"n. past times (especially in the phrase `in days of old')
a. (used especially of persons) having lived for a relatively long time or attained a specific age
a. of long duration; not new
s. (used for emphasis) very familiar"
new,"a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
s. having no previous example or precedent or parallel
s. other than the former one(s); different
a. unaffected by use or exposure"
old,"n. past times (especially in the phrase `in days of old')
a. (used especially of persons) having lived for a relatively long time or attained a specific age
a. of long duration; not new
s. (used for emphasis) very familiar"
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
fat,"n. a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides)
a. having an (over)abundance of flesh
s. having a relatively large diameter
s. lucrative"
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
married,"n. a person who is married
a. joined in matrimony"
single,"n. a base hit on which the batter stops safely at first base
v. hit a single
a. used of flowers having usually only one row or whorl of petals
a. existing alone or consisting of one entity or part or aspect or individual"
handsome,"s pleasing in appearance especially by reason of conformity to ideals of form and proportion
s given or giving freely"
ugly,a. displeasing to the senses
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
pretty,"s. pleasing by delicacy or grace; not imposing
s. (used ironically) unexpectedly bad"
ugly,a. displeasing to the senses
large,"n. a garment size for a large person
a. above average in size or number or quantity or magnitude or extent
s. fairly large or important in effect; influential
s. having broad power and range and scope"
small,"n. the slender part of the back
n. a garment size for a small person
a. limited or below average in number or quantity or magnitude or extent
s. slight or limited; especially in degree or intensity or scope"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
little,"n. a small amount or duration
a. (quantifier used with mass nouns) small in quantity or degree; not much or almost none or (with `a') at least some
s. (of children and animals) young, immature
s. (of a voice) faint"
noisy,"a. full of or characterized by loud and nonmusical sounds
s. attracting attention by showiness or bright colors"
loud,a. characterized by or producing sound of great volume or intensity
quiet,"a. characterized by an absence or near absence of agitation or activity
a. free of noise or uproar; or making little if any sound
s. not showy or obtrusive
a. of the sun characterized by a low level of surface phenomena like sunspots e.g."
expensive,a. high in price or charging high prices
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
easy,"a. posing no difficulty; requiring little effort
s. not hurried or forced
a. free from worry or anxiety
s. affording pleasure"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
rich,"a. possessing material wealth
a. having an abundant supply of desirable qualities or substances (especially natural resources)
s. of great worth or quality
s. very productive"
poor,"a. having little money or few possessions
a. characterized by or indicating poverty
a. lacking in specific resources, qualities or substances
s. unsatisfactory"
wife,n. a married woman; a man's partner in marriage
husband,n. a married man; a woman's partner in marriage
mother,"n. a woman who has given birth to a child (also used as a term of address to your mother)
n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
n. a term of address for an elderly woman
n. a term of address for a mother superior"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
daughter,n. a female human offspring
son,"n. a male human offspring
n. the divine word of God; the second person in the Trinity (incarnate in Jesus)"
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
grandmother,n the mother of your father or mother
grandfather,n. the father of your father or mother
granddaughter,n. a female grandchild
grandson,n. a male grandchild
aunt,n. the sister of your father or mother; the wife of your uncle
uncle,"n. the brother of your father or mother; the husband of your aunt
n. a source of help and advice and encouragement"
niece,n. a daughter of your brother or sister
nephew,n. a son of your brother or sister
cousin,n. the child of your aunt or uncle
mother,"n. a woman who has given birth to a child (also used as a term of address to your mother)
n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
n. a term of address for an elderly woman
n. a term of address for a mother superior"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
parents,"n a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
n an organism (plant or animal) from which younger ones are obtained
v bring up"
son,"n. a male human offspring
n. the divine word of God; the second person in the Trinity (incarnate in Jesus)"
daughter,n. a female human offspring
children,"n a young person of either sex
n a human offspring (son or daughter) of any age
n an immature childish person
n a member of a clan or tribe"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
grandmother,n the mother of your father or mother
grandfather,n. the father of your father or mother
grandparents,n a parent of your father or mother
grandson,n. a male grandchild
granddaughter,n. a female grandchild
grandchildren,n a child of your son or daughter
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
wife,n. a married woman; a man's partner in marriage
husband,n. a married man; a woman's partner in marriage
aunt,n. the sister of your father or mother; the wife of your uncle
uncle,"n. the brother of your father or mother; the husband of your aunt
n. a source of help and advice and encouragement"
niece,n. a daughter of your brother or sister
nephew,n. a son of your brother or sister
cousin,n. the child of your aunt or uncle
acting,"n. the performance of a part or role in a drama
s. serving temporarily especially as a substitute"
baking,"n. making bread or cake or pastry etc.
n. cooking by dry heat in an oven
s. as hot as if in an oven"
crying,"n. the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
s. conspicuously and outrageously bad or reprehensible"
dancing,n. taking a series of rhythmical steps (and movements) in time to music
having dinner,none
laughing,s. showing or feeling mirth or pleasure or happiness
riding,"n. the sport of siting on the back of a horse while controlling its movements
n. travel by being carried on horseback"
skateboarding,n. the sport of skating on a skateboard
talking,"n an exchange of ideas via conversation
v exchange thoughts; talk with
v express in speech
v use language
v reveal information
v divulge confidential information or secrets
v deliver a lecture or talk"
vacuuming,v clean with a vacuum cleaner
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
barber shop,n. a shop where men can get their hair cut
book store,n a shop where books are sold
bus station,none
cafeteria,n. a restaurant where you serve yourself and pay a cashier
clinic,"n. a medical establishment run by a group of medical specialists
n. meeting for diagnosis of problems and instruction or remedial work in a particular activity
n. a healthcare facility for outpatient care"
department store,none
drug store,n. a retail shop where medicine and other articles are sold
hair salon,none
health club,none
hotel,n. a building where travelers can pay for lodging and meals and other services
laundromat,n a self-service laundry (service mark Laundromat) where coin-operated washing machines are available to individual customers
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
train station,none
video store,none
airport,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
barber shop,n. a shop where men can get their hair cut
book store,n a shop where books are sold
bus station,none
cafeteria,n. a restaurant where you serve yourself and pay a cashier
church,"n. one of the groups of Christians who have their own beliefs and forms of worship
n. a place for public (especially Christian) worship
n. the body of people who attend or belong to a particular local church
v. perform a special church rite or service for"
clinic,"n. a medical establishment run by a group of medical specialists
n. meeting for diagnosis of problems and instruction or remedial work in a particular activity
n. a healthcare facility for outpatient care"
clothing store,none
department store,none
drug store,n. a retail shop where medicine and other articles are sold
fire station,none
gas station,none
hair salon,none
health club,none
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
hotel,n. a building where travelers can pay for lodging and meals and other services
laundromat,n a self-service laundry (service mark Laundromat) where coin-operated washing machines are available to individual customers
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
movie theater,none
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
police station,none
post office,n. See under 4th Post.
restaurant,n. a building where people go to eat
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
shopping mall,none
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
train station,none
video store,none
zoo,n the facility where wild animals are housed for exhibition
air conditioner,none
apartment building,none
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
bus stop,none
closet,"n. a small private room for study or prayer
v. confine to a small space, as for intensive work"
elevator,"n. lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building
n. the airfoil on the tailplane of an aircraft that makes it ascend or descend"
fire escape,none
floor,"n. the inside lower horizontal surface (as of a room, hallway, tent, or other structure)
n. a structure consisting of a room or set of rooms at a single position along a vertical scale
n. a lower limit
n. the ground on which people and animals move about"
jacuzzi,none
mailbox,n. a private box for delivery of mail
refrigerator,n. white goods in which food can be stored at low temperatures
stove,"n. a kitchen appliance used for cooking food
n. any heating apparatus"
superintendent,n. a caretaker for an apartment house; represents the owner as janitor and rent collector
washing machine,none
shirt,"n. a garment worn on the upper half of the body
v. put a shirt on"
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
dress,"n. a one-piece garment for a woman; has skirt and bodice
v. put on clothes
v. provide with clothes or put clothes on
v. put a finish on"
skirt,"n. cloth covering that forms the part of a garment below the waist
n. a garment hanging from the waist; worn mainly by girls and women
v. pass around or about; move along the border
v. form the edge of"
blouse,n. a top worn by women
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
suit,"n. a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
n. (slang) a businessman dressed in a business suit
n. a petition or appeal made to a person of superior status or rank
n. playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
belt,"n. endless loop of flexible material between two rotating shafts or pulleys
n. a band to tie or buckle around the body (usually at the waist)
n. an elongated region where a specific condition or characteristic is found
n. ammunition (usually of small caliber) loaded in flexible linked strips for use in a machine gun"
sweater,n. a crocheted or knitted garment covering the upper part of the body
pants,"n underpants worn by women
n the noise made by a short puff of steam (as from an engine)
n (usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately
n a short labored intake of breath with the mouth open
v breathe noisily, as when one is exhausted
v utter while panting, as if out of breath"
jeans,"n (usually plural) close-fitting trousers of heavy denim for manual work or casual wear
n a coarse durable twill-weave cotton fabric"
pajamas,"n a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries
n (usually plural) loose-fitting nightclothes worn for sleeping or lounging; have a jacket top and trousers"
shoes,"n a particular situation
n footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
n (card games) a case from which playing cards are dealt one at a time
n U-shaped plate nailed to underside of horse's hoof
n a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation
v furnish with shoes"
socks,"n hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
n a truncated cloth cone mounted on a mast; used (e.g., at airports) to show the direction of the wind
v hit hard"
shirt,"n. a garment worn on the upper half of the body
v. put a shirt on"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
