abase,v cause to feel shame; hurt the pride of
corrode,"v. cause to deteriorate due to the action of water, air, or an acid
v. become destroyed by water, air, or a corrosive such as an acid"
corrosion,"n. a state of deterioration in metals caused by oxidation or chemical action
n. erosion by chemical action"
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
counteract,v. oppose and mitigate the effects of by contrary actions
counterbalance,n. a compensating equivalent
counterfeit,"n. a copy that is represented as the original
a. not genuine; imitating something superior"
coup,n. a brilliant and notable success
covenant,"n. a signed written agreement between two or more parties (nations) to perform some action
n. (Bible) an agreement between God and his people in which God makes certain promises and requires certain behavior from them in return
v. enter into a covenant
v. enter into a covenant or formal agreement"
coverage,"n. the total amount and type of insurance carried
n. the extent to which something is covered
n. the news as presented by reporters for newspapers or radio or television"
covet,"v. wish, long, or crave for (something, especially the property of another person)"
crackle,"n. the sharp sound of snapping noises
n. glazed china with a network of fine cracks on the surface
v. to become, or to cause to become, covered with a network of small cracks
s. having the surface decorated with a network of fine cracks, as in crackleware"
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
cramp,"n. a clamp for holding pieces of wood together while they are glued
n. a strip of metal with ends bent at right angles; used to hold masonry together
v. secure with a cramp
v. affect with or as if with a cramp"
crap,n. obscene terms for feces
crease,"n an angular or rounded shape made by folding
n a slight depression in the smoothness of a surface
n a Malayan dagger with a wavy blade
v make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in
v make wrinkled or creased
v scrape gently
v become wrinkled or crumpled or creased"
credentials,"n a document attesting to the truth of certain stated facts
n a document attesting to the truth of certain stated facts"
credibility,n. the quality of being believable or trustworthy
cringe,"v draw back, as with fear or pain
v show submission or fear"
crinkle,"n a slight depression in the smoothness of a surface
v make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in
v become wrinkled or crumpled or creased"
crook,"n. a long staff with one end being hook shaped
v. bend or cause to bend"
crooked,"a. having or marked by bends or angles; not straight or aligned
a. not straight; dishonest or immoral or evasive"
cross-examine,"v. t. To examine or question, as a witness who has been
   called and examined by the opposite party."
crucify,v. kill by nailing onto a cross
crunch,"n. the sound of something crunching
n. a critical situation that arises because of a shortage (as a shortage of time or money or resources)
v. make a crushing noise
v. press or grind with a crushing noise"
cuddle,"n. a close and affectionate (and often prolonged) embrace
v. move or arrange oneself in a comfortable and cozy position
v. hold (a person or thing) close, as for affection, comfort, or warmth"
cudgel,"n. a club that is used as a weapon
v. strike with a cudgel"
culminate,"v. end, especially to reach a final or climactic stage
v. bring to a head or to the highest point
v. reach the highest or most decisive point
v. reach the highest altitude or the meridian, of a celestial body"
cult,"n. followers of an exclusive system of religious beliefs and practices
n. followers of an unorthodox, extremist, or false religion or sect who often live outside of conventional society under the direction of a charismatic leader
n. a religion or sect that is generally considered to be unorthodox, extremist, or false
n. a system of religious beliefs and rituals"
cumbersome,s. difficult to handle or use especially because of size or weight
cumulative,s increasing by successive addition
curfew,"n. the time that the curfew signal is sounded
n. a signal (usually a bell) announcing the start of curfew restrictions
n. an order that after a specific time certain activities (as being outside on the streets) are prohibited"
cursive,s. having successive letter joined together
cursory,s hasty and without attention to detail; not thorough
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
dab,"n. a small quantity of something moist or liquid
v. apply (usually a liquid) to a surface
v. hit lightly"
dainty,"n. something considered choice to eat
s. affectedly dainty or refined
s. delicately beautiful
s. especially pleasing to the taste;"
dampen,"v. reduce the amplitude (of oscillations or waves)
v. make vague or obscure or make (an image) less visible
v. check; keep in check (a fire)
v. lessen in force or effect"
damper,"n. a movable iron plate that regulates the draft in a stove or chimney or furnace
n. a device that decreases the amplitude of electronic, mechanical, acoustical, or aerodynamic oscillations
n. a depressing restraint"
dapper,s. marked by up-to-dateness in dress and manners
