abase,v cause to feel shame; hurt the pride of
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
baleful,"s. deadly or sinister
s. threatening or foreshadowing evil or tragic developments"
balk,"n. the area on a billiard table behind the balkline
n. an illegal pitching motion while runners are on base"
ballast,"n. any heavy material used to stabilize a ship or airship
n. coarse gravel laid to form a bed for streets and railroads
n. an attribute that tends to give stability in character and morals; something that steadies the mind or feelings
n. an electrical device for starting and regulating fluorescent and discharge lamps"
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
banal,s. repeated too often; overfamiliar through overuse
bandwagon,"n. a popular trend that attracts growing support
n. a large ornate wagon for carrying a musical band"
bane,n. something causing misery or death
banish,"v. expel from a community or group
v. ban from a place of residence, as for punishment
v. expel, as if by official decree
v. drive away"
banter,n. light teasing repartee
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
barrage,"n. the rapid and continuous delivery of linguistic communication (spoken or written)
n. the heavy fire of artillery to saturate an area rather than hit a specific target"
barricade,"n. a barrier (usually thrown up hastily) to impede the advance of an enemy
v. render unsuitable for passage
v. prevent access to by barricading
v. block off with barricades"
barter,"n. an equal exchange
v. exchange goods without involving money"
bash,n. an uproarious party
bashful,"s. self-consciously timid; lowering my head, I looked at the wall""- Ezra Pound
s. disposed to avoid notice; (`blate' is a Scottish term for bashful)"
bask,v. be exposed
battalion,"n. an army unit usually consisting of a headquarters and three or more companies
n. a large indefinite number"
bawl,"v. shout loudly and without restraint
v. cry loudly"
bay,"n. an indentation of a shoreline larger than a cove but smaller than a gulf
n. the sound of a hound on the scent
n. a compartment on a ship between decks; often used as a hospital
n. a compartment in an aircraft used for some specific purpose"
beating,"n. the act of overcoming or outdoing
n. the act of inflicting corporal punishment with repeated blows"
beckon,"v. signal with the hands or nod
v. appear inviting
v. summon with a wave, nod, or some other gesture"
befall,v. become of; happen to
befit,v. accord or comport with
begrudge,v. wish ill or allow unwillingly
beguile,"v influence by slyness
v attract; cause to be enamored"
belie,"v be in contradiction with
v represent falsely"
bemoan,v regret strongly
benediction,n. a ceremonial prayer invoking divine protection
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bequeath,v. leave or give by will after one's death
bequest,n. (law) a gift of personal property by will
bereaved,"n. a person who has suffered the death of someone they loved
s. sorrowful through loss or deprivation"
beset,"v. assail or attack on all sides: ""The zebra was beset by leopards"""
bewitch,"v attract; cause to be enamored
v attract strongly, as if with a magnet
v cast a spell over someone or something; put a hex on someone or something"
bicker,n. a quarrel about petty points
bile,n. a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats
billow,"n. a large sea wave
v. rise up as if in waves
v. move with great difficulty
v. rise and move, as in waves or billows"
bipartisan,s. supported by both sides
bizarre,s. conspicuously or grossly unconventional or unusual
blackmail,"n. extortion of money by threats to divulge discrediting information
v. exert pressure on someone through threats
v. obtain through threats"
blackout,"n. a suspension of radio or tv broadcasting
n. darkness resulting from the extinction of lights (as in a city invisible to enemy aircraft)
n. the failure of electric power for a general region
n. a momentary loss of consciousness"
blanch,v. cook (vegetables) briefly
blatant,"s. without any attempt at concealment; completely obvious
s. conspicuously and offensively loud; given to vehement outcry"
bleep,v. emit a single short high-pitched signal
blemish,"n. a mark or flaw that spoils the appearance of something (especially on a person's body)
v. mar or impair with a flaw"
bliss,n. a state of extreme happiness
blitz,"n. a swift and violent military offensive with intensive aerial bombardment
v. attack suddenly and without warning"
blizzard,n. a storm with widespread snowfall accompanied by strong winds
blunder,n. an embarrassing mistake
blur,"n. a hazy or indistinct representation
v. to make less distinct or clear
v. make dim or indistinct
v. become vague or indistinct"
blurt,v utter impulsively
bog,n. wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
boggle,"v. startle with amazement or fear
v. hesitate when confronted with a problem, or when in doubt or fear"
bogus,s. fraudulent; having a misleading appearance
bombard,"v. throw bombs at or attack with bombs
v. address with continuously or persistently, as if with a barrage
v. direct high energy particles or radiation against"
bombshell,"n. an entertainer who has a sensational effect
n. a shocking surprise
n. an explosive bomb or artillery shell"
bona fide," In or with good faith; without fraud or deceit; real or
   really; actual or actually; genuine or genuinely; as, you must proceed
   bona fide; a bona fide purchaser or transaction."
bonnet,"n. a hat tied under the chin
v. dress in a bonnet"
boo,"n. a cry or noise made to express displeasure or contempt
v. show displeasure, as after a performance or speech"
boon,s. very close and convivial
boost,"n. the act of giving hope or support to someone
n. the act of giving a push
v. give a boost to; be beneficial to
v. increase or raise"
bootleg,"n. the part of a boot above the instep
v. sell illicit products such as drugs or alcohol
v. produce or distribute illegally
s. distributed or sold illicitly"
bountiful,s. producing in abundance
bounty,"n. payment or reward (especially from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military
n. generosity evidenced by a willingness to give freely
n. a ship of the British navy; in 1789 part of the crew mutinied against their commander William Bligh and set him afloat in an open boat"
bout,"n. a period of illness
n. a contest or fight (especially between boxers or wrestlers)"
braid,"n. a hairdo formed by braiding or twisting the hair
n. trimming used to decorate clothes or curtains
v. make by braiding or interlacing
v. decorate with braids or ribbons"
brainstorming,n. a group problem-solving technique in which members spontaneously share ideas and solutions
brainwash,"v. persuade completely, often through coercion
v. submit to brainwashing; indoctrinate forcibly"
brash,s. offensively bold
bravado,n. a swaggering show of courage
bridal,"n. archaic terms for a wedding or wedding feast
a. of or relating to a wedding
a. of or pertaining to a bride"
bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
brittle,"n. caramelized sugar cooled in thin sheets
s. having little elasticity; hence easily cracked or fractured or snapped
s. lacking warmth and generosity of spirit
s. (of metal or glass) not annealed and consequently easily cracked or fractured"
broke,s. lacking funds
broker,v. act as a broker
brokerage,"n. a stock broker's business; charges a fee to act as intermediary between buyer and seller
n. the business of a broker; charges a fee to arrange a contract between two parties"
brunt,n. main force of a blow etc
brusque,s. marked by rude or peremptory shortness
budge,n. United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
buffer,"n. (chemistry) an ionic compound that resists changes in its pH
n. (computer science) a part of RAM used for temporary storage of data that is waiting to be sent to a device; used to compensate for differences in the rate of flow of data between components of a computer system
n. a power tool used to buff surfaces
n. a cushion-like device that reduces shock due to an impact"
bulge,"n. something that bulges out or is protuberant or projects from its surroundings
v. swell or protrude outwards
v. bulge out; form a bulge outward, or be so full as to appear to bulge
v. cause to bulge or swell outwards"
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
bullheaded,s. obstinate and stupid
bumper,"n. a glass filled to the brim (especially as a toast)
n. a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage"
burrow,"n. a hole made by an animal, usually for shelter
v. move through by or as by digging"
bustle,"n. a rapid active commotion
n. a framework worn at the back below the waist for giving fullness to a woman's skirt
v. move or cause to move energetically or busily"
bypass,"n. a surgically created shunt (usually around a damaged part)
v. avoid something unpleasant or laborious"
cajole,"v influence or urge by gentle urging, caressing, or flattering"
calamity,n. an event resulting in great loss and misfortune
calculating,s. used of persons
callous,"v. make insensitive or callous; deaden feelings or morals
s. emotionally hardened"
callow,s young and inexperienced
camouflage,"n. fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background
n. device or stratagem for concealment or deceit
v. disguise by camouflaging; exploit the natural surroundings to disguise something"
candid,"s. informal or natural; especially caught off guard or unprepared
s. openly straightforward and direct without reserve or secretiveness"
canny,s showing self-interest and shrewdness in dealing with others
canoe,"n. small and light boat; pointed at both ends; propelled with a paddle
v. travel by canoe"
canter,"n. a smooth three-beat gait; between a trot and a gallop
v. ride at a canter
v. go at a canter, of horses
v. ride at a cantering pace"
canvass,"v. solicit votes from potential voters in an electoral campaign
v. solicit votes from potential voters in an electoral campaign"
capitulate,v. surrender under agreed conditions
capsize,v. overturn accidentally
captivate,v attract; cause to be enamored
captivity,n. the state of being imprisoned
caress,"n. a gentle affectionate stroking (or something resembling it)
v. touch or stroke lightly in a loving or endearing manner"
caricature,"n. a representation of a person that is exaggerated for comic effect
v. represent in or produce a caricature of"
carnivore,"n. a terrestrial or aquatic flesh-eating mammal
n. any animal that feeds on flesh"
cascade,"n. a small waterfall or series of small waterfalls
n. a succession of stages or operations or processes or units
v. rush down in big quantities, like a cascade
v. arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible"
caste,"n. social status or position conferred by a system based on class
n. (Hinduism) a hereditary social class among Hindus; stratified according to ritual purity
n. a social class separated from others by distinctions of hereditary rank or profession or wealth
n. in some social insects (such as ants) a physically distinct individual or group of individuals specialized to perform certain functions in the colony"
catalyst,"n. (chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected
n. something that causes an important event to happen"
categorical,a. relating to or included in a category or categories
causal,s. involving or constituting a cause; causing
cavity,"n. space that is surrounded by something
n. soft decayed area in a tooth; progressive decay can lead to the death of a tooth
n. (anatomy) a natural hollow or sinus within the body"
cede,"v give over; surrender or relinquish to the physical control of another
v relinquish possession or control over"
censorious,s. harshly critical or expressing censure
censorship,"n counterintelligence achieved by banning or deleting any information of value to the enemy
n deleting parts of publications or correspondence or theatrical performances"
censure,n. harsh criticism or disapproval
centralise,v make central
cerebral,"a. involving intelligence rather than emotions or instinct
a. of or relating to the cerebrum or brain"
ceremonious,s. rigidly formal or bound by convention
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
chant,"n. a repetitive song in which as many syllables as necessary are assigned to a single tone
v. recite with musical intonation; recite as a chant or a psalm"
chaplain,n. a clergyman ministering to some institution
charismatic,s. possessing an extraordinary ability to attract
chaste,"a. morally pure (especially not having experienced sexual intercourse)
s. pure and simple in design or style
s. abstaining from unlawful sexual intercourse"
checkmate,"n. complete victory
n. a chess move constituting an inescapable and indefensible attack on the opponent's king
v. place an opponent's king under an attack from which it cannot escape and thus ending the game"
chime,"n. a percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
v. emit a sound"
chirp,n. a sharp sound made by small birds or insects
chisel,"n. an edge tool with a flat steel blade with a cutting edge
v. carve with a chisel"
chivalry,"n. courtesy towards women
n. the medieval principles governing knighthood and knightly conduct"
choppy,"s. marked by abrupt transitions
s. rough with small waves"
chubby,s. sufficiently fat so as to have a pleasing fullness of figure;
chuck,"n. the part of a forequarter from the neck to the ribs and including the shoulder blade
n. a holding device consisting of adjustable jaws that center a workpiece in a lathe or center a tool in a drill
v. throw carelessly
v. throw away"
churlish,"s. rude and boorish
s. having a bad disposition; surly"
churn,"n. a vessel in which cream is agitated to separate butterfat from buttermilk
v. stir (cream) vigorously in order to make butter
v. be agitated"
cinder,n. a fragment of incombustible matter left after a wood or coal or charcoal fire
circumstantial,s. fully detailed and specific about particulars
circumvent,"v surround so as to force to give up
v beat through cleverness and wit
v avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
clamber,"n. an awkward climb
v. climb awkwardly, as if by scrambling"
clandestine,s. conducted with or marked by hidden aims or methods
clatter,"n. a rattling noise (often produced by rapid movement)
v. make a rattling sound"
cleanse,"v. clean one's body or parts thereof, as by washing
v. purge of an ideology, bad thoughts, or sins"
cleave,"v. separate or cut with a tool, such as a sharp instrument
v. make by cutting into"
climactic,a. consisting of or causing a climax
clinch,"n. (boxing) the act of one boxer holding onto the other to avoid being hit and to rest momentarily
n. a small slip noose made with seizing
n. the flattened part of a nail or bolt or rivet
v. secure or fasten by flattening the ends of nails or bolts"
clog,"n. footwear usually with wooden soles
n. any object that acts as a hindrance or obstruction
v. become or cause to become obstructed
v. dance a clog dance"
closure,"n. a rule for limiting or ending debate in a deliberative body
n. a Gestalt principle of organization holding that there is an innate tendency to perceive incomplete objects as complete and to close or fill gaps and to perceive asymmetric stimuli as symmetric
n. termination of operations
v. terminate debate by calling for a vote"
clump,v. walk clumsily
clutter,"n. a confused multitude of things
n. unwanted echoes that interfere with the observation of signals on a radar screen
v. fill a space in a disorderly way"
coax,"n a transmission line for high-frequency signals
v influence or urge by gentle urging, caressing, or flattering"
cobble,"n. rectangular paving stone with curved top; once used to make roads
v. pave with cobblestones
v. repair or mend"
coddle,v. cook in nearly boiling water
coerce,"v. to cause to do through pressure or necessity, by physical, moral or intellectual means :""She forced him to take a job in the city"""
coexist,"v. coexist peacefully, as of nations
v. exist together"
cog,"n. a subordinate who performs an important but routine function
n. tooth on the rim of gear wheel
v. roll steel ingots"
cognitive,a. of or being or relating to or involving cognition
coherent,"a. marked by an orderly, logical, and aesthetically consistent relation of parts
s. capable of thinking and expressing yourself in a clear and consistent manner
a. (physics) of waves having a constant phase relation
s. sticking together"
cohesive,"s. causing cohesion
s. cohering or tending to cohere; well integrated"
collate,"v. compare critically; of texts
v. to assemble in proper sequence"
collude,v act in unison or agreement and in secret towards a deceitful or illegal purpose
collusion,n. secret agreement
colonize,"v. settle as a colony; of countries in the developing world
v. settle as colonists or establish a colony (in)"
colt,"n. a young male horse under the age of four
n. a kind of revolver"
combustible,"n. a substance that can be burned to provide heat or power
a. capable of igniting and burning"
commensurate,a. corresponding in size or degree or extent
commentate,"v. make a commentary on
v. serve as a commentator, as in sportscasting"
communicable,s. readily communicated
communique,n an official report (usually sent in haste)
compassionate,a. showing or having compassion
compatible,"a. able to exist and perform in harmonious or agreeable combination
a. capable of being used with or connected to other devices or components without modification
s. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction"
complementary,s. of words or propositions so related that each is the negation of the other
complexion,"n. the coloring of a person's face
n. a combination that results from coupling or interlinking
n. a point of view or general attitude or inclination
n. texture and appearance of the skin of the face"
composite,"n. considered the most highly evolved dicotyledonous plants, characterized by florets arranged in dense heads that resemble single flowers
s. consisting of separate interconnected parts
a. of or relating to or belonging to the plant family Compositae"
composure,n. steadiness of mind under stress
compulsion,"n. an urge to do or say something that might be better left undone or unsaid
n. an irrational motive for performing trivial or repetitive actions, even against your will
n. using force to cause something to occur"
con,"n. an argument opposed to a proposal
r. in opposition to a proposition, opinion, etc."
concentric,a. having a common center
conciliate,"v cause to be more favorably inclined; gain the good will of
v come to terms
v make (one thing) compatible with (another)"
concord,"n. capital of the state of New Hampshire; located in south central New Hampshire on the Merrimack river
n. town in eastern Massachusetts near Boston where the first battle of the American Revolution was fought
v. arrange by concord or agreement"
concur,v. happen simultaneously
condescend,"v. behave in a patronizing and condescending manner
v. do something that one considers to be below one's dignity
v. debase oneself morally, act in an undignified, unworthy, or dishonorable way"
confederate,"n. a supporter of the Confederate States of America
n. someone who assists in a plot
v. form a confederation with; of nations
s. of or having to do with the southern Confederacy during the American Civil War"
confer,"v. have a conference in order to talk something over
v. present"
confide,v. reveal in private; tell confidentially
confinement,"n. the act of restraining of a person's liberty by confining them
n. the state of being confined"
conflate,v mix together different elements
congenial,"a. suitable to your needs
s. (used of plants) capable of cross-fertilization or of being grafted"
congenital,s. present at birth but not necessarily hereditary; acquired during fetal development
congested,s. overfull as with blood
conjecture,n. reasoning that involves the formation of conclusions from incomplete evidence
conjure,"v summon into action or bring into existence, often as if by magic
v ask for or request earnestly
v engage in plotting or enter into a conspiracy, swear together"
connote,v. involve as a necessary condition of consequence; as in logic
conscript,v. enroll into service compulsorily
consecrate,v. render holy by means of religious rites
consensus,n. agreement in the judgment or opinion reached by a group as a whole
consign,"v. commit forever; commit irrevocably
v. give over to another for care or safekeeping
v. send to an address"
console,"n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
n. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)"
conspiracy,"n. a secret agreement between two or more people to perform an unlawful act
n. a plot to carry out some harmful or illegal act (especially a political plot)
n. a group of conspirators banded together to achieve some harmful or illegal purpose"
conspire,"v. engage in plotting or enter into a conspiracy, swear together
v. act in unison or agreement and in secret towards a deceitful or illegal purpose"
constancy,"n. the quality of being enduring and free from change or variation
n. (psychology) the tendency for perceived objects to give rise to very similar perceptual experiences in spite of wide variations in the conditions of observation
n. faithfulness and dependability in personal attachments (especially sexual fidelity)"
constrain,"v hold back
v restrict"
constraint,"n. the state of being physically constrained
n. the act of constraining; the threat or use of force to control the thoughts or behavior of others"
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
contort,v. twist and press out of shape
converge,"v. be adjacent or come together
v. approach a limit as the number of terms increases without limit
v. move or draw together at a certain location
v. come together so as to form a single product"
conversant,s. (usually followed by `with') well informed about or knowing thoroughly
convertible,"n. a car that has top that can be folded or removed
n. a corporate security (usually bonds or preferred stock) that can be exchanged for another form of security (usually common stock)
n. a sofa that can be converted into a bed
a. capable of being exchanged for or replaced by something of equal value"
convoy,"n. a procession of land vehicles traveling together
n. a collection of merchant ships with an escort of warships
n. the act of escorting while in transit
v. escort in transit"
convulse,"v. make someone convulse with laughter
v. be overcome with laughter
v. move or stir about violently"
coop,"n a farm building for housing poultry
n an enclosure made or wire or metal bars in which birds or animals can be kept"
corps,"n. an army unit usually consisting of two or more divisions and their support
n. a body of people associated together"
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
corroborate,v. support with evidence or authority or make more certain or confirm
