truant,"n. one who is absent from school without permission
s. absent without permission"
under water,"s beneath the surface of the water
s growing or remaining under water"
tricycle,n. a vehicle with three wheels that is moved by foot pedals
compete against sb.,none
come up,none
yard,"n. a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
n. the enclosed land around a house or other building
n. a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings)
n. a tract of land where logs are accumulated"
gasp,n. a short labored intake of breath with the mouth open
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
ambassador,"n. a diplomat of the highest rank; accredited as representative from one country to another
n. an informal representative"
Escalopia,none
fire extinguisher,none
drily,r in a dry laconic manner
set on fire,none
embassy,"n. a diplomatic building where ambassadors live or work
n. an ambassador and his entourage collectively"
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
aim sth. at sb.,none
aim sth. at sth.,none
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
post,"n. the position where someone (as a guard or sentry) stands or is assigned to stand
n. an upright consisting of a piece of timber or metal fixed firmly in an upright position
n. United States aviator who in 1933 made the first solo flight around the world (1899-1935)
n. United States female author who wrote a book and a syndicated newspaper column on etiquette (1872-1960)"
shot,"n. a solid missile discharged from a firearm
n. a chance to do something
n. a person who shoots (usually with respect to their ability to shoot)
n. an aggressive remark directed at a person like a missile and intended to have a telling effect"
fire a shot,none
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
diplomatic relations,none
lantern,n. light in a transparent protective case
all night long,none
moving,"a. in motion
a. arousing or capable of arousing deep emotion
a. used of a series of photographs presented so as to create the illusion of motion"
spectacle,"n. something or someone seen (especially a notable or unusual sight)
n. an elaborate and remarkable display on a lavish scale
n. a blunder that makes you look ridiculous; used in the phrase `make a spectacle of' yourself"
drift away,none
