spaceship,n a spacecraft designed to carry a crew into interstellar space (especially in science fiction)
went,"v change location; move, travel, or proceed, also metaphorically
v follow a procedure or take a course
v move away from a place into another direction
v enter or assume a certain state or condition
v be awarded; be allotted
v have a particular form
v stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point
v follow a certain course
v be abolished or discarded
v be or continue to be in a certain condition
v make a certain noise or sound
v perform as expected when applied
v to be spent or finished
v progress by being changed
v continue to live through hardship or adversity
v pass, fare, or elapse; of a certain state of affairs or action
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v be in the right place or situation
v be ranked or compare
v begin or set in motion
v have a turn; make one's move in a game
v be contained in
v be sounded, played, or expressed
v blend or harmonize
v lead, extend, or afford access
v be the right size or shape; fit correctly or as desired
v go through in search of something; search through someone's belongings in an unauthorized way
v be spent
v give support (to) or make a choice (of) one out of a group or number
v stop operating or functioning"
slowly,r. without speed (`slow' is sometimes used informally for `slowly')
want,"v. have need of
v. hunt or look for; want for a particular reason
v. wish or demand the presence of
v. be without, lack; be deficient in"
wanted,a. desired or wished for or sought
pass,"n. (military) a written leave of absence
n. (American football) a play that involves one player throwing the ball to a teammate
n. the location in a range of mountains of a geological formation that is lower than the surrounding peaks
n. any authorization to pass or go somewhere"
passed,"v go across or through
v move past
v make laws, bills, etc. or bring into effect by legislation
v pass by
v place into the hands or custody of
v stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point
v travel past
v come to pass
v go unchallenged; be approved
v pass time in a specific way
v pass over, across, or through
v transmit information
v disappear gradually
v go successfully through a test or a selection process
v be superior or better than some standard
v accept or judge as acceptable
v allow to go without comment or censure
v transfer to another; of rights or property
v pass into a specified state or condition
v throw (a ball) to another player
v be inherited by
v cause to pass
v grant authorization or clearance for
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v eliminate from the body"
eat,"v. take in solid food
v. eat a meal; take a meal
v. worry or cause anxiety in a persistent way"
ate,n. goddess of criminal rashness and its punishment
quickly,r. with rapid movements
another,s. any of various alternatives; some other
suddenly,r. happening unexpectedly
look,"n. the act of directing the eyes toward something and perceiving it visually
n. physical appearance
v. perceive with attention; direct one's gaze towards
v. give a certain impression or have a certain outward aspect"
looked,imp. & p. p. of Look
sick,"n. people who are sick
s. deeply affected by a strong feeling"
cough,"n. a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis
v. exhale abruptly, as when one has a chest cold or congestion"
coughed,imp. & p. p. of Cough
everywhere,r. to or in any or all places; (`everyplace' is used informally for `everywhere')
help,"v. give help or assistance; be of service
v. improve the condition of
v. be of use
v. contribute to the furtherance of"
helped,"v give help or assistance; be of service
v improve the condition of
v be of use
v abstain from doing; always used with a negative
v help to some food; help with food or drink
v contribute to the furtherance of
v take or use
v improve; change for the better"
careful,"a. exercising caution or showing care or attention
s. cautiously attentive
s. unhurried and with care and dignity
s. full of cares or anxiety"
first,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree"
second,"n. 1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
n. following the first in an ordering or series
n. a 60th part of a minute of arc
n. the official attendant of a contestant in a duel or boxing match"
third,"n. following the second position in an ordering or series
n. the musical interval between one note and another three notes away from it
s. coming next after the second and just before the fourth in position
r. in the third place"
fourth,"n. following the third position; number four in a countable series
n. the musical interval between one note and another four notes away from it
s. coming next after the third and just before the fifth in position or time or degree or magnitude"
fifth,"n. a quantity of liquor equal to one fifth of a United States gallon
n. position five in a countable series of things
n. the musical interval between one note and another five notes away from it
s. coming next after the fourth and just before the sixth in position"
run,"n. a score in baseball made by a runner touching all four bases safely
n. (American football) a play in which a player attempts to carry the ball through or past the opposing team
n. a regular trip
n. the act of running; traveling on foot at a fast pace"
ran,"v move fast by using one's feet, with one foot off the ground at any given time
v flee; take to one's heels; cut and run
v stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point
v direct or control; projects, businesses, etc.
v have a particular form
v move along, of liquids
v perform as expected when applied
v change or be different within limits
v run, stand, or compete for an office or a position
v cause to emit recorded audio or video
v move about freely and without restraint, or act as if running around in an uncontrolled way
v have a tendency or disposition to do or be something; be inclined
v be operating, running or functioning
v change from one state to another
v cause to perform
v be affected by; be subjected to
v continue to exist
v occur persistently
v carry out a process or program, as on a computer or a machine
v include as the content; broadcast or publicize
v carry out
v pass over, across, or through
v cause something to pass or lead somewhere
v make without a miss
v deal in illegally, such as arms or liquor
v cause an animal to move fast
v be diffused
v sail before the wind
v cover by running; run a certain distance
v extend or continue for a certain period of time
v set animals loose to graze
v keep company
v run with the ball; in such sports as football
v travel rapidly, by any (unspecified) means
v travel a route regularly
v pursue for food or sport (as of wild animals)
v compete in a race
v progress by being changed
v reduce or cause to be reduced from a solid to a liquid state, usually by heating
v come unraveled or undone as if by snagging
v become undone"
race,"n. any competition
n. a contest of speed
n. people who are believed to belong to the same genetic stock
v. compete in a race"
meter,"n. the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
n. any of various measuring instruments for measuring a quantity
n. (prosody) the accent in a metrical foot of verse
n. rhythm as given by division into parts of equal duration"
win,"n. a victory (as in a race or other competition)
v. be the winner in a contest or competition; be victorious"
won,a. not subject to defeat
excited,a. in an aroused state
last,"n. the last or lowest in an ordering or series
n. a person's dying act; the final thing a person can do
n. a unit of weight equal to 4,000 pounds
n. a unit of capacity for grain equal to 80 bushels"
prize,"n. something given for victory or superiority in a contest or competition or for winning a lottery
v. hold dear"
sad,"a. experiencing or showing sorrow or unhappiness
s. of things that make you feel sad"
decide,"v. reach, make, or come to a decision about something
v. bring to an end; settle conclusively
v. cause to decide
v. influence or determine"
decided,"v reach, make, or come to a decision about something
v bring to an end; settle conclusively
v cause to decide
v influence or determine
s recognizable; marked"
high,"n. a lofty level or position or degree
n. an air mass of higher than normal pressure
n. a state of sustained elation
n. a state of altered consciousness induced by alcohol or narcotics"
happy,"a. enjoying or showing or marked by joy or pleasure
s. well expressed and to the point"
sixth,"n. position six in a countable series of things
n. the musical interval between one note and another six notes away from it
s. coming next after the fifth and just before the seventh in position"
seventh,"n. position seven in a countable series of things
n. the musical interval between one note and another seven notes away from it
s. coming next after the sixth and just before the eighth in position"
eighth,"n. position eight in a countable series of things
s. coming next after the seventh and just before the ninth in position"
ninth,"n. position nine in a countable series of things
s. coming next after the eighth and just before the tenth in position"
tenth,"n. position ten in a countable series of things
s. coming next after the ninth and just before the eleventh in position"
birthday,"n. an anniversary of the day on which a person was born (or the celebration of it)
n. the date on which a person was born"
June,n. the month following May and preceding July
May,n. the month following April and preceding June
September,n. the month following August and preceding October
November,n. the month following October and preceding December
July,n. the month following June and preceding August
spring,"n. the season of growth
n. a metal elastic device that returns to its shape or position when pushed or pulled or pressed
n. a natural flow of ground water
n. a point at which water issues forth"
March,"n. the month following February and preceding April
n. the act of marching; walking with regular steps (especially in a procession of some kind)
n. a steady advance
n. a procession of people walking together"
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
checked,s. patterned with alternating squares of color
autumn,n the season when the leaves fall from the trees
either,r. after a negative statement used as an intensive meaning something like `likewise' or `also'
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
called,"v assign a specified (usually proper) proper name to
v ascribe a quality to or give a name of a common noun that reflects a quality
v get or try to get into communication (with someone) by telephone
v utter a sudden loud cry
v order, request, or command to come
v pay a brief visit
v call a meeting; invite or command to meet
v read aloud to check for omissions or absentees
v send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message
v utter a characteristic note or cry
v stop or postpone because of adverse conditions, such as bad weather
v greet, as with a prescribed form, title, or name
v make a stop in a harbour
v demand payment of (a loan)
v make a demand, as for a card or a suit or a show of hands
v give the calls (to the dancers) for a square dance
v indicate a decision in regard to
v make a prediction about; tell in advance
v require the presentation of for redemption before maturation
v challenge (somebody) to make good on a statement; charge with or censure for an offense
v declare in the capacity of an umpire or referee
v lure by imitating the characteristic call of an animal
v order or request or give a command for
v order, summon, or request for a specific duty or activity, work, role
v utter in a loud voice or announce
v challenge the sincerity or truthfulness of
v consider or regard as being
v rouse somebody from sleep with a call"
talk,"n. an exchange of ideas via conversation
n. discussion; (`talk about' is a less formal alternative for `discussion of')
n. the act of giving a talk to an audience
n. idle gossip or rumor"
talked,imp. & p. p. of Talk
December,n. the last (12th) month of the year
summer,"n. the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox
n. the period of finest development, happiness, or beauty
v. spend the summer"
October,n. the month following September and preceding November
January,n. the first month of the year; begins 10 days after the winter solstice
February,n. the month following January and preceding March
April,n. the month following March and preceding May
August,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
winter,"n. the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
v. spend the winter"
season,"n. a period of the year marked by special events or activities in some field
n. one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n. a recurrent time marked by major holidays
v. lend flavor to"
height,n. the vertical dimension of extension; distance from the base of something to the top
weight,"n. the vertical force exerted by a mass as a result of gravity
n. sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n. the relative importance granted to something
n. an artifact that is heavy"
centimeter,n. a metric unit of length equal to one hundredth of a meter
weigh,"v. have a certain weight
v. determine the weight of
v. to be oppressive or burdensome"
kilogram,n. one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites
take,"n. the act of photographing a scene or part of a scene without interruption
v. carry out
v. require (time or space)
v. get into one's hands, take physically"
took,"v carry out
v require (time or space)
v take somebody somewhere
v get into one's hands, take physically
v take on a certain form, attribute, or aspect
v interpret something in a certain way; convey a particular meaning or impression
v take something or somebody with oneself somewhere
v take into one's possession
v travel or go by means of a certain kind of transportation, or a certain route
v pick out, select, or choose from a number of alternatives
v receive willingly something given or offered
v assume, as of positions or roles
v take into consideration for exemplifying purposes
v require as useful, just, or proper
v experience or feel or submit to
v make a film or photograph of something
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v serve oneself to, or consume regularly
v accept or undergo, often unwillingly
v make use of or accept for some purpose
v take by force
v occupy or take on
v admit into a group or community
v ascertain or determine by measuring, computing or take a reading from a dial
v be a student of a certain subject
v take as an undesirable consequence of some event or state of affairs
v head into a specified direction
v point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v be seized or affected in a specified way
v have with oneself; have on one's person
v engage for service under a term of contract
v receive or obtain regularly
v buy, select
v to get into a position of having, e.g., safety, comfort
v have sex with; archaic use
v lay claim to; as of an idea
v be designed to hold or take
v be capable of holding or containing
v develop a habit
v proceed along in a vehicle
v obtain by winning
v be stricken by an illness, fall victim to an illness"
center,"n. an area that is approximately central within some larger region
n. a building dedicated to a particular activity
n. a point equidistant from the ends of a line or the extremities of a figure"
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
taller,"a. great in vertical dimension; high in stature
s. lofty in style
s. impressively difficult"
tallest,"a great in vertical dimension; high in stature
s lofty in style
s impressively difficult
s too improbable to admit of belief"
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
shorter,"a primarily temporal sense; indicating or being or seeming to be limited in duration
a (primarily spatial sense) having little length or lacking in length
a low in stature; not tall
s not sufficient to meet a need
a (of memory) deficient in retentiveness or range
a not holding securities or commodities that one sells in expectation of a fall in prices
a of speech sounds or syllables of relatively short duration
s less than the correct or legal or full amount often deliberately so
s lacking foresight or scope
s tending to crumble or break into flakes due to a large amount of shortening
s marked by rude or peremptory shortness"
shortest,"a primarily temporal sense; indicating or being or seeming to be limited in duration
a (primarily spatial sense) having little length or lacking in length
a low in stature; not tall
s not sufficient to meet a need
a (of memory) deficient in retentiveness or range
a not holding securities or commodities that one sells in expectation of a fall in prices
a of speech sounds or syllables of relatively short duration
s less than the correct or legal or full amount often deliberately so
s lacking foresight or scope
s tending to crumble or break into flakes due to a large amount of shortening
s marked by rude or peremptory shortness"
than,"conj. A particle expressing comparison, used after certain
   adjectives and adverbs which express comparison or diversity, as more,
   better, other, otherwise, and the like. It is usually followed by the
   object compared in the nominative case. Sometimes, however, the object
   compared is placed in the objective case, and than is then considered
   by some grammarians as a preposition. Sometimes the object is expressed
   in a sentence, usually introduced by that; as, I would rather suffer
   than that you should want.
adv. Then. See Then."
heavy,"n. an actor who plays villainous roles
n. a serious (or tragic) role in a play
a. of comparatively great physical weight or density
a. unusually great in degree or quantity or number"
heavier,"a of comparatively great physical weight or density
a unusually great in degree or quantity or number
a of the military or industry; using (or being) the heaviest and most powerful armaments or weapons or equipment
a marked by great psychological weight; weighted down especially with sadness or troubles or weariness
s usually describes a large person who is fat but has a large frame to carry it
s (used of soil) compact and fine-grained
s darkened by clouds
a of great intensity or power or force
a (physics, chemistry) being or containing an isotope with greater than average atomic mass or weight
s (of an actor or role) being or playing the villain
s permitting little if any light to pass through because of denseness of matter
s of relatively large extent and density
s made of fabric having considerable thickness
s prodigious
s full and loud and deep
s given to excessive indulgence of bodily appetites especially for intoxicating liquors
s of great gravity or crucial import; requiring serious thought
s slow and laborious because of weight
s large and powerful; especially designed for heavy loads or rough work
s dense or inadequately leavened and hence likely to cause distress in the alimentary canal
s sharply inclined
s full of; bearing great weight
s requiring or showing effort
s characterized by effort to the point of exhaustion; especially physical effort
s lacking lightness or liveliness
s (of sleep) deep and complete
s in an advanced stage of pregnancy"
heaviest,"a of comparatively great physical weight or density
a unusually great in degree or quantity or number
a of the military or industry; using (or being) the heaviest and most powerful armaments or weapons or equipment
a marked by great psychological weight; weighted down especially with sadness or troubles or weariness
s usually describes a large person who is fat but has a large frame to carry it
s (used of soil) compact and fine-grained
s darkened by clouds
a of great intensity or power or force
a (physics, chemistry) being or containing an isotope with greater than average atomic mass or weight
s (of an actor or role) being or playing the villain
s permitting little if any light to pass through because of denseness of matter
s of relatively large extent and density
s made of fabric having considerable thickness
s prodigious
s full and loud and deep
s given to excessive indulgence of bodily appetites especially for intoxicating liquors
s of great gravity or crucial import; requiring serious thought
s slow and laborious because of weight
s large and powerful; especially designed for heavy loads or rough work
s dense or inadequately leavened and hence likely to cause distress in the alimentary canal
s sharply inclined
s full of; bearing great weight
s requiring or showing effort
s characterized by effort to the point of exhaustion; especially physical effort
s lacking lightness or liveliness
s (of sleep) deep and complete
s in an advanced stage of pregnancy"
something,"n. Anything unknown, undetermined, or not specifically
   designated; a certain indefinite thing; an indeterminate or unknown
   event; an unspecified task, work, or thing.
n. A part; a portion, more or less; an indefinite quantity
   or degree; a little.
n. A person or thing importance.
adv. In some degree; somewhat; to some extent; at some
   distance."
wrong,"n. that which is contrary to the principles of justice or law
n. any harm or injury resulting from a violation of a legal right
v. treat unjustly; do wrong to
a. contrary to conscience or morality or law"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
bigger,s. large or big relative to something else
biggest,"a above average in size or number or quantity or magnitude or extent
s significant
s very intense
s loud and firm
s conspicuous in position or importance
s prodigious
s exhibiting self-importance
s feeling self-importance
s (of animals) fully developed
s marked by intense physical force
s generous and understanding and tolerant
s given or giving freely
s in an advanced stage of pregnancy"
small,"n. the slender part of the back
n. a garment size for a small person
a. limited or below average in number or quantity or magnitude or extent
s. slight or limited; especially in degree or intensity or scope"
smaller,s. small or little relative to something else
smallest,"a limited or below average in number or quantity or magnitude or extent
s limited in size or scope
s (of children and animals) young, immature
s slight or limited; especially in degree or intensity or scope
s low or inferior in station or quality
s lowercase
s (of a voice) faint
s have fine or very small constituent particles
s not large but sufficient in size or amount
s made to seem smaller or less (especially in worth)"
long,"a. primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
a. primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified
s. of relatively great height
a. holding securities or commodities in expectation of a rise in prices"
longer,"n. a person with a strong desire for something
r. for more time"
longest,r. for the most time
young,"n. any immature animal
n. United States film and television actress (1913-2000)
n. United States civil rights leader (1921-1971)
n. British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)"
younger,s. used of the younger of two persons of the same name especially used to distinguish a son from his father
youngest,"a (used of living things especially persons) in an early period of life or development or growth
s (of crops) harvested at an early stage of development; before complete maturity
s suggestive of youth; vigorous and fresh
s being in its early stage
s not tried or tested by experience"
old,"n. past times (especially in the phrase `in days of old')
a. (used especially of persons) having lived for a relatively long time or attained a specific age
a. of long duration; not new
s. (used for emphasis) very familiar"
older,"s advanced in years; (`aged' is pronounced as two syllables)
s used of the older of two persons of the same name especially used to distinguish a father from his son
s skilled through long experience
a (used especially of persons) having lived for a relatively long time or attained a specific age
a of long duration; not new
s (used for emphasis) very familiar
s skilled through long experience
s belonging to some prior time
s (used informally especially for emphasis)
s of a very early stage in development
s just preceding something else in time or order"
oldest,"a (used especially of persons) having lived for a relatively long time or attained a specific age
a of long duration; not new
s (used for emphasis) very familiar
s skilled through long experience
s belonging to some prior time
s (used informally especially for emphasis)
s of a very early stage in development
s just preceding something else in time or order"
thin,"v. lose thickness; become thin or thinner
v. make thin or thinner
a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh"
thinner,"n a diluting agent
a of relatively small extent from one surface to the opposite or in cross section
a lacking excess flesh
s very narrow
s not dense
a relatively thin in consistency or low in density; not viscous
a (of sound) lacking resonance or volume
s lacking spirit or sincere effort
s lacking substance or significance; a fragile claim to fame"""
thinnest,"a. of relatively small extent from one surface to the opposite or in cross section
a. lacking excess flesh
s. very narrow"
date,"n. the specified day of the month
n. a participant in a date
n. a meeting arranged in advance
n. a particular but unspecified point in time"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
planet,"n. (astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction
n. any celestial body (other than comets or satellites) that revolves around a star"
sun,"n. the star that is the source of light and heat for the planets in the solar system
n. a person considered as a source of warmth or energy or glory etc
n. any star around which a planetary system revolves
v. expose one's body to the sun"
American,"n. a native or inhabitant of the United States
n. a native or inhabitant of a North American or Central American or South American country
a. of or relating to the United States of America or its people or language or culture"
