a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
assistant,n. a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
at,n. 100 at equal 1 kip in Laos
aunt,n. the sister of your father or mother; the wife of your uncle
autumn,n the season when the leaves fall from the trees
away,"s. not present; having left
a. used of an opponent's ground
s. (of a baseball pitch) on the far side of home plate from the batter
r. from a particular thing or place or position (`forth' is obsolete)"
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
back,"n. the posterior part of a human (or animal) body from the neck to the end of the spine
n. the part of something that is furthest from the normal viewer
n. (football) a person who plays in the backfield
n. the part of a garment that covers the back of your body"
bad,"n. that which is below standard or expectations as of ethics or decency
a. having undesirable or negative qualities
s. very intense
s. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad')"
bag,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold"
ball,"n. round object that is hit or thrown or kicked in games
n. an object with a spherical shape
n. the people assembled at a lavish formal dance
n. a spherical object used as a plaything"
banana,"n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
n. elongated crescent-shaped yellow fruit with soft sweet flesh"
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
basket,"n. a container that is usually woven and has handles
n. the quantity contained in a basket
n. horizontal circular metal hoop supporting a net through which players try to throw the basketball
n. a score in basketball made by throwing the ball through the hoop"
basketball,"n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop
n. an inflated ball used in playing basketball"
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
bathroom,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
be,"v. have the quality of being; (copula, used with an adjective or a predicate noun)
v. be identical to; be someone or something
v. occupy a certain position or area; be somewhere
v. happen, occur, take place; this was during the visit to my parents' house"""
bear,"n. massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n. an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price
v. have
v. move while holding up or supporting"
beat,"n. a regular route for a sentry or policeman
n. a single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations
n. the sound of stroke or blow
n. a regular rate of repetition"
beautiful,"a. delighting the senses or exciting intellectual or emotional admiration
s. (of weather) highly enjoyable"
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
become,"v. enter or assume a certain state or condition
v. undergo a change or development
v. come into existence
v. enhance the appearance of"
bed,"n. a piece of furniture that provides a place to sleep
n. a plot of ground in which plants are growing
n. a depression forming the ground under a body of water
n. (geology) a stratum of rock (especially sedimentary rock)"
bedroom,n. a room used primarily for sleeping
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
beer,n. a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
before,"r earlier in time; previously
r at or in the front"
begin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
v. have a beginning, in a temporal, spatial, or evaluative sense
v. set in motion, cause to start
v. begin to speak or say"
behind,"s. having the lower score or lagging position in a contest
r. in or to or toward the rear
r. remaining in a place or condition that has been left or departed from
r. of timepieces"
believe,"v. accept as true; take to be true
v. be confident about something
v. follow a credo; have a faith; be a believer
v. credit with veracity"
bell,"n. a hollow device made of metal that makes a ringing sound when struck
n. the sound of a bell being struck
n. (nautical) each of the eight half-hour units of nautical time signaled by strokes of a ship's bell; eight bells signals 4:00, 8:00, or 12:00 o'clock, either a.m. or p.m.
n. the shape of a bell"
below,"r. in or to a place that is lower
r. at a later place
r. (in writing) see below"
beside,"n. At the side of; on one side of.
n. Aside from; out of the regular course or order of; in a
   state of deviation from; out of.
n. Over and above; distinct from; in addition to.
adv. On one side.
adv. More than that; over and above; not included in the
   number, or in what has been mentioned; moreover; in addition."
best,"n. the supreme effort one can make
n. the person who is most outstanding or excellent; someone who tops all others
n. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978)"
better,"n. something superior in quality or condition or effect
n. a superior person having claim to precedence
n. the superior one of two alternatives
v. surpass in excellence"
between,"r. in the interval
r. in between"
bicycle,"n. a wheeled vehicle that has two wheels and is moved by foot pedals
v. ride a bicycle"
bike,"n a motor vehicle with two wheels and a strong frame
n a wheeled vehicle that has two wheels and is moved by foot pedals
v ride a bicycle"
big,"s. significant
s. loud and firm
s. conspicuous in position or importance
s. prodigious"
bird,"n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
n. the flesh of a bird or fowl (wild or domestic) used as food
v. watch and study birds in their natural habitat"
birthday,"n. an anniversary of the day on which a person was born (or the celebration of it)
n. the date on which a person was born"
bit,"n. a small fragment of something broken off from the whole
n. piece of metal held in horse's mouth by reins and used to control the horse while riding
n. a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states
n. the part of a key that enters a lock and lifts the tumblers"
black,"n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
n. popular child actress of the 1930's (born in 1928)
n. a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
blackboard,n. sheet of slate; for writing with chalk
block,"n. a solid piece of something (usually having flat rectangular sides)
n. a rectangular area in a city surrounded by streets and usually containing several buildings
n. a three-dimensional shape with six square or rectangular sides
n. a number or quantity of related things dealt with as a unit"
blow,"n. a powerful stroke with the fist or a weapon
n. an impact (as from a collision)
n. forceful exhalation through the nose or mouth
v. exhale hard"
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
boat,"n. a small vessel for travel on water
v. ride in a boat on water"
body,"n. the entire structure of an organism (an animal, plant, or human being)
n. a group of persons associated by some common tie or occupation and regarded as an entity
n. a natural object consisting of a dead animal or person
n. an individual 3-dimensional object that has mass and that is distinguishable from other objects"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
borrow,v. get temporarily
both,s. (used with count nouns) two considered together; the two
bother,"v. intrude or enter uninvited
v. make nervous or agitated
v. make confused or perplexed or puzzled"
bottle,"n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
n. the quantity contained in a bottle
n. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children
v. store (liquids or gases) in bottles"
box,"n. a (usually rectangular) container; may have a lid
n. private area in a theater or grandstand where a small group can watch the performance
n. the quantity contained in a box
n. a rectangular drawing"
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
bread,"n. food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
v. cover with bread crumbs"
break,"n. an unexpected piece of good luck
n. the occurrence of breaking
n. an abrupt change in the tone or register of the voice (as at puberty or due to emotion)
n. the opening shot that scatters the balls in billiards or pool"
breakfast,"n. the first meal of the day (usually in the morning)
v. eat an early morning meal
v. provide breakfast for"
bridge,"n. a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
n. a circuit consisting of two branches (4 arms arranged in a diamond configuration) across which a meter is connected
n. something resembling a bridge in form or function
n. the hard ridge that forms the upper part of the nose"
bright,"a. emitting or reflecting light readily or in large amounts
s. having striking color
s. characterized by quickness and ease in learning
s. having lots of light either natural or artificial"
bring,"v. take something or somebody with oneself somewhere
v. cause to come into a particular state or condition
v. cause to happen or to occur as a consequence
v. go or come after and bring or take back"
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
brown,"n. an orange of low brightness and saturation
n. Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)
n. abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)
v. fry in a pan until it changes color"
brush,"n. a dense growth of bushes
n. an implement that has hairs or bristles firmly set into a handle
n. momentary contact
n. conducts current between rotating and stationary parts of a generator or motor"
build,"v. build or establish something abstract
v. improve the cleansing action of
v. order, supervise, or finance the construction of
v. give form to, according to a plan"
building,"n. a structure that has a roof and walls and stands more or less permanently in one place
n. the occupants of a building"
bus,"n. a vehicle carrying many passengers; used for public transport
n. a car that is old and unreliable
v. send or move around by bus
v. ride in a bus"
business,"n. a commercial or industrial enterprise and the people who constitute it
n. a rightful concern or responsibility
n. an immediate objective
n. the volume of commercial activity"
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
but,r and nothing more
buy,"v. obtain by purchase; acquire by means of a financial transaction
v. be worth or be capable of buying
v. acquire by trade or sacrifice or exchange
v. accept as true"
by,r. so as to pass a given point
bye,n. you advance to the next round in a tournament without playing an opponent
cake,"n. a block of solid substance (such as soap or wax)
n. baked goods made from or based on a mixture of flour, sugar, eggs, and fat"
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
camera,n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
can,"n. airtight sealed metal container for food or drink or paint etc.
n. the quantity contained in a can
n. a buoy with a round bottom and conical top
v. preserve in a can or tin"
car,"n. a motor vehicle with four wheels; usually propelled by an internal combustion engine
n. a wheeled vehicle adapted to the rails of railroad
n. the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant
n. where passengers ride up and down"
card,"n. one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
n. a card certifying the identity of the bearer
n. a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures)
n. thin cardboard, usually rectangular"
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
careful,"a. exercising caution or showing care or attention
s. cautiously attentive
s. unhurried and with care and dignity
s. full of cares or anxiety"
carry,"n. the act of carrying something
v. have with oneself; have on one's person
v. serve as a means for expressing something
v. bear or be able to bear the weight, pressure,or responsibility of"
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
cashier,"n. a person responsible for receiving payments for goods and services (as in a shop or restaurant)
v. discard or do away with
v. discharge with dishonor, as in the army"
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
catch,"n. a drawback or difficulty that is not readily evident
n. the quantity that was caught
n. a person regarded as a good matrimonial prospect
n. anything that is caught (especially if it is worth catching)"
cent,n. a fractional monetary unit of several countries
centre,n. a low-lying region in central France
center,"n. an area that is approximately central within some larger region
n. a building dedicated to a particular activity
n. a point equidistant from the ends of a line or the extremities of a figure"
certain,"s. definite but not specified or identified
a. having or feeling no doubt or uncertainty; confident and assured
a. established beyond doubt or question; definitely known
a. certain to occur; destined or inevitable"
certainly,r definitely or positively (`sure' is sometimes used informally for `surely')
chair,"n. a seat for one person, with a support for the back
n. a particular seat in an orchestra
v. act or preside as chair, as of an academic department in a university"
chance,"n. a risk involving danger
v. be the case by chance"
change,"n. an event that occurs when something passes from one state or phase to another
n. a relational difference between states; especially between states before and after some event
n. the action of changing something
n. the result of alteration or modification"
cheap,"a. relatively low in price or charging low prices
s. embarrassingly stingy"
check,"n. a written order directing a bank to pay money
n. the bill in a restaurant
n. the act of inspecting or verifying
n. a mark left after a small piece has been chopped or broken off of something"
cheque,v. withdraw money by writing a check
child,"n. a young person of either sex
n. a human offspring (son or daughter) of any age
n. an immature childish person
n. a member of a clan or tribe"
Christmas,"n. period extending from Dec. 24 to Jan. 6
n. a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
cinema,n. a theater where films are shown
city,"n. a large and densely populated urban area; may include several independent administrative districts
n. an incorporated administrative district established by state charter
n. people living in a large densely populated municipality"
class,"n. a collection of things sharing a common attribute
n. a body of students who are taught together
n. people having the same social, economic, or educational status
n. a league ranked by quality"
classmate,n an acquaintance that you go to school with
classroom,n. a room in a school where lessons take place
clean,"v. make clean by removing dirt, filth, or unwanted substances from
v. remove unwanted substances from, such as feathers or pits
v. be cleanable
v. deprive wholly of money in a gambling game, robbery, etc."
clear,"n. the state of being free of suspicion
v. make a way or path by removing objects
v. remove
v. be debited and credited to the proper bank accounts"
clever,s. showing inventiveness and skill
climb,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n. the act of climbing something
v. go upward with gradual or continuous progress
v. move with difficulty, by grasping"
close,"v. move so that an opening or passage is obstructed; make shut
v. become closed
v. finish or terminate (meetings, speeches, etc.)
v. complete a business deal, negotiation, or an agreement"
clothes,"n clothing in general
v provide with clothes or put clothes on
v furnish with power or authority; of kings or emperors
v cover as if with clothing"
cloud,"n. any collection of particles (e.g., smoke or dust) or gases that is visible
n. a visible mass of water or ice particles suspended at a considerable altitude
n. out of touch with reality
n. a cause of worry or gloom or trouble"
cloudy,"s. lacking definite form or limits
a. full of or covered with clouds
s. (of liquids) clouded as with sediment"
coat,"n. an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
n. growth of hair or wool or fur covering the body of an animal
v. put a coat on; cover the surface of; furnish with a surface
v. cover or provide with a coat"
coffee,"n. a beverage consisting of an infusion of ground coffee beans
n. any of several small trees and shrubs native to the tropical Old World yielding coffee beans"
coke,"n. carbon fuel produced by distillation of coal
n. street names for cocaine
v. become coke"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
college,"n. the body of faculty and students of a college
n. an institution of higher education created to educate and grant degrees; often a part of a university
n. a complex of buildings in which an institution of higher education is housed"
color,"n. a visual attribute of things that results from the light they emit or transmit or reflect
n. interest and variety and intensity
n. the timbre of a musical sound"
colour,"n any material used for its color
n a race with skin pigmentation different from the white race (especially Blacks)
n (physics) the characteristic of quarks that determines their role in the strong interaction
n interest and variety and intensity
n the timbre of a musical sound
n a visual attribute of things that results from the light they emit or transmit or reflect
n an outward or token appearance or form that is deliberately misleading
n the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation
v modify or bias
v decorate with colors
v give a deceptive explanation or excuse for
v affect as in thought or feeling
v add color to
v change color, often in an undesired manner
a having or capable of producing colors"
come,"v. move toward, travel toward something or somebody or approach something or somebody
v. come to pass; arrive, as in due course
v. reach or enter a state, relation, condition, use, or position
v. to be the product or result"
company,"n. an institution created to conduct business
n. small military unit; usually two or three platoons
n. the state of being with someone
n. organization of performers and associated personnel (especially theatrical)"
computer,n. a machine for performing calculations automatically
control,"n. power to direct or determine
n. a relation of constraint of one entity (thing or person or group) by another
n. (physiology) regulation or maintenance of a function or action or reflex etc
n. the activity of managing or exerting control over something"
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
cook,"n. someone who cooks food
n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779)
v. prepare a hot meal
v. prepare for eating by applying heat"
cool,"n. the quality of being at a refreshingly low temperature
v. make cool or cooler
v. loose heat
v. lose intensity"
copy,"n. a thing made to be similar or identical to another thing
n. matter to be printed; exclusive of graphical materials
n. material suitable for a journalistic account
v. copy down as is"
corner,"n. a place off to the side of an area
n. the point where two lines meet or intersect
n. an interior angle formed by two meeting walls
n. the intersection of two streets"
correct,"v. make right or correct
v. treat a defect
a. free from error; especially conforming to fact or truth
s. socially right or correct"
cost,"n. the total spent for goods or services including money and time and labor
v. be priced at
v. require to lose, suffer, or sacrifice"
could,"imp. of Can
imp. Was, should be, or would be, able, capable, or
   susceptible. Used as an auxiliary, in the past tense or in the
   conditional present."
country,"n. the territory occupied by a nation
n. an area outside of cities and towns"
countryside,n. rural regions
cover,"n. the act of concealing the existence of something by obstructing the view of it
n. fire that makes it difficult for the enemy to fire on your own individuals or formations
n. a recording of a song that was first recorded or made popular by somebody else
n. a false identity and background (especially one created for an undercover agent)"
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
cross,"n. a wooden structure consisting of an upright post with a transverse piece
n. a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry
n. any affliction that causes great suffering
v. fold so as to resemble a cross"
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
cry,"n. a loud utterance; often in protest or opposition
n. a loud utterance of emotion (especially when inarticulate)
n. a fit of weeping
n. the characteristic utterance of an animal"
cup,"n. a small open container usually used for drinking; usually has a handle
n. the quantity a cup will hold
n. any cup-shaped concavity
n. a United States liquid unit equal to 8 fluid ounces"
cut,"n. a share of the profits
n. (film) an immediate transition from one shot to the next
n. a trench resembling a furrow that was made by erosion or excavation
n. a step on some scale"
dad,n. an informal term for a father; probably derived from baby talk
dance,"n. an artistic form of nonverbal communication
n. a party of people assembled for dancing
n. a party for social dancing
v. move in a graceful and rhythmical way"
dark,"n. absence of light or illumination
n. an unenlightened state
a. devoid of or deficient in light or brightness; shadowed or black
a. (used of color) having a dark hue"
date,"n. the specified day of the month
n. a participant in a date
n. a meeting arranged in advance
n. a particular but unspecified point in time"
daughter,n. a female human offspring
day,"n. time for Earth to make a complete rotation on its axis
n. some point or period in time
n. a day assigned to a particular purpose or observance
n. the time after sunrise and before sunset while it is light outside"
dead,"n. people who are no longer living
n. a time when coldness (or some other quality associated with death) is intense
a. no longer having or seeming to have or expecting to have life
a. not showing characteristics of life especially the capacity to sustain life; no longer exerting force or having energy or heat"
dear,"s. with or in a close or intimate relationship
s. earnest"
decide,"v. reach, make, or come to a decision about something
v. bring to an end; settle conclusively
v. cause to decide
v. influence or determine"
deep,"n. the central and most intense or profound part
n. literary term for an ocean
a. relatively deep or strong; affecting one deeply
s. marked by depth of thinking"
delicious,n. variety of sweet eating apples
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
desk,n. a piece of furniture with a writing surface and usually drawers or other compartments
develop,"v. make something new, such as a product or a mental or artistic creation
v. gain through experience
v. be gradually disclosed or unfolded; become manifest; 
v. grow, progress, unfold, or evolve through a process of evolution, natural growth, differentiation, or a conducive environment"
dialog,"n a conversation between two persons
n the lines spoken by characters in drama or fiction
n a literary composition in the form of a conversation between two people"
dialogue,"n. a conversation between two persons
n. the lines spoken by characters in drama or fiction
n. a literary composition in the form of a conversation between two people"
dictionary,n. a reference book containing an alphabetical list of words with information about them
die,"n. a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
n. a device used for shaping metal
n. a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods
v. pass from physical life and lose all bodily attributes and functions necessary to sustain life"
different,"a. unlike in nature or quality or form or degree
s. distinctly separate from the first
s. differing from all others; not ordinary
s. distinct or separate"
difficult,a. not easy; requiring great physical or mental effort to accomplish or comprehend or endure
dig,"n. the site of an archeological exploration
n. a small gouge (as in the cover of a book)
n. the act of touching someone suddenly with your finger or elbow
v. turn up, loosen, or remove earth"
dinner,"n. the main meal of the day served in the evening or at midday
n. a party of people assembled to have dinner together"
direction,"n. a line leading to a place or point
n. the spatial relation between something and the course along which it points or moves
n. a general course along which something has a tendency to develop
n. a message describing how something is to be done"
dirty,"v. make soiled, filthy, or dirty
a. soiled or likely to soil with dirt or grime
a. (of behavior or especially language) characterized by obscenity or indecency
s. vile; despicable"
discuss,"n an athletic competition in which a disk-shaped object is thrown as far as possible
n a disk used in throwing competitions
v to consider or examine in speech or writing
v speak with others about (something); talk (something) over in detail; have a discussion"
dish,"n. a piece of dishware normally used as a container for holding or serving food
n. a particular item of prepared food
n. the quantity that a dish will hold
n. directional antenna consisting of a parabolic reflector for microwave or radio frequency radiation"
do,"n. the syllable naming the first (tonic) note of any major scale in solmization
v. get (something) done
v. proceed or get along
v. create or design, often in a certain way"
doctor,"n. a licensed medical practitioner
n. children take the roles of physician or patient or nurse and pretend they are at the physician's office
n. a person who holds Ph.D. degree (or the equivalent) from an academic institution
v. give medical treatment to"
dog,"n. a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n. informal term for a man"
dollar,"n. the basic monetary unit in many countries; equal to 100 cents
n. a piece of paper money worth one dollar
n. a United States coin worth one dollar
n. a symbol of commercialism or greed"
door,"n. a swinging or sliding barrier that will close the entrance to a room or building or vehicle
n. anything providing a means of access (or escape)
n. a structure where people live or work (usually ordered along a street or road)
n. a room that is entered via a door"
double,"n. a base hit on which the batter stops safely at second base
n. a stand-in for movie stars to perform dangerous stunts
n. someone who closely resembles a famous person (especially an actor)
n. a quantity that is twice as great as another"
