fiction,n. a literary work based on the imagination and not necessarily on fact
chairwoman,n the officer who presides at the meetings of an organization
gramme,n a metric unit of weight equal to one thousandth of a kilogram
gram,"n. a metric unit of weight equal to one thousandth of a kilogram
n. Danish physician and bacteriologist who developed a method of staining bacteria to distinguish among them (1853-1938)"
flour,"n. fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
v. cover with flour
v. convert grain into flour"
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
salesman,n. a man salesperson
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
pros and cons,none
blurred,s. unclear in form or expression
superior,"n. one of greater rank or station or quality
n. the head of a religious community
n. a town in northwest Wisconsin on Lake Superior across from Duluth
a. of high or superior quality or performance"
superior to,none
take over,n. a change by sale or merger in the controlling interest of a corporation
inaction,n. the state of being inactive
conflict with,none
labour,"n a social class comprising those who do manual labor or work for wages
n concluding state of pregnancy; from the onset of contractions to the birth of a child
n a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries
n productive work (especially physical work done for wages)
v work hard
v strive and make an effort to reach a goal
v undergo the efforts of childbirth"
leather,"n. an animal skin made smooth and flexible by removing the hair and then tanning
v. whip with a leather strap"
lever,"n. a rigid bar pivoted about a fulcrum
n. a simple machine that gives a mechanical advantage when given a fulcrum
n. a flat metal tumbler in a lever lock"
panel,"n. sheet that forms a distinct (usually flat and rectangular) section or component of something
n. (law) a group of people summoned for jury service (from whom a jury will be chosen)
n. a group of people gathered for a special purpose as to plan or discuss an issue or judge a contest etc
n. a soft pad placed under a saddle"
inch,n. a unit of length equal to one twelfth of a foot
backwards,"r at or to or toward the back or rear
r in a manner or order or direction the reverse of normal"
backward,"a. directed or facing toward the back or rear
a. (used of temperament or behavior) marked by a retiring nature
s. retarded in intellectual development
s. having made less than normal progress"
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
hazy,"s filled or abounding with fog or mist
s indistinct or hazy in outline"
niece,n. a daughter of your brother or sister
fetch,"n. the action of fetching
v. be sold for a certain price
v. take away or remove"
handkerchief,n. a square piece of cloth used for wiping the eyes or nose or as a costume accessory
lamp,"n. an artificial source of visible illumination
n. a piece of furniture holding one or more electric light bulbs"
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
pace,"n. the rate of moving (especially walking or running)
n. the relative speed of progress or change
n. a step in walking or running
v. walk with slow or fast paces"
fall away,none
division,"n. an army unit large enough to sustain combat
n. the act or process of dividing
n. an administrative unit in government or business
n. discord that splits a group"
puff,"n. a short light gust of air
n. a light inflated pastry or puff shell
n. exaggerated praise (as for promotional purposes)
n. a slow inhalation (as of tobacco smoke)"
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
have an urge to,none
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
maximum,"n. the largest possible quantity
n. the point on a curve where the tangent changes from positive on the left to negative on the right"
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
stun,"v. make senseless or dizzy by or as if by a blow
v. overcome as with astonishment or disbelief"
mud,"n. water soaked soil; soft wet earth
n. slanderous remarks or charges
v. plaster with mud"
overstatement,n making to seem more important than it really is
Isaac Asimov,none
Larry Belmont,none
Claire,none
Gladys Claffern,none
Braille,"n. French educator who lost his sight at the age of three and who invented a system of writing and printing for sightless people (1809-1852)
n. a point system of writing in which patterns of raised dots represent letters and numerals
v. transcribe in braille"
braille,"n. French educator who lost his sight at the age of three and who invented a system of writing and printing for sightless people (1809-1852)
n. a point system of writing in which patterns of raised dots represent letters and numerals
v. transcribe in braille"
The Three-Body Problem,none
Hugo Award,none
iconic,a. relating to or having the characteristics on an icon
foundation,"n. the basis on which something is grounded
n. an institution supported by an endowment
n. lowest support of a structure
n. education or instruction in the fundamentals of a field of knowledge"
political,"a. involving or characteristic of politics or parties or politicians
a. of or relating to your views about social relationships involving authority or power
a. of or relating to the profession of governing"
didgeridoo,none
located,s. situated in a particular spot or position
equator,"n. an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles
n. a circle dividing a sphere or other surface into two usually equal and symmetrical parts"
koala,n. sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
barbecue,"n. meat that has been barbecued or grilled in a highly seasoned sauce
n. a cookout in which food is cooked over an open fire; especially a whole animal carcass roasted on a spit
n. a rack to hold meat for cooking over hot charcoal usually out of doors"
BBQ,none
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
joint,"n. (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
n. a disreputable place of entertainment
n. junction by which parts or objects are joined together
n. marijuana leaves rolled into a cigarette for smoking"
butcher,"n. a retailer of meat
n. a brutal indiscriminate murderer
n. a person who slaughters or dresses meat for market
v. kill (animals) usually for food consumption"
premier,"v. be performed for the first time
v. perform a work for the first time
s. first in rank or degree
s. preceding all others in time"
herb,"n. a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
n. aromatic potherb used in cookery for its savory qualities"
dim sim,none
hollow,"n. a cavity or space in something
n. a small valley between mountains
v. remove the interior of
a. not solid; having a space or gap or cavity"
vibrate,"v. shake, quiver, or throb; move back and forth rapidly, usually in an uncontrolled manner"
horn,"n. a noisemaker (as at parties or games) that makes a loud noise when you blow through it
n. one of the bony outgrowths on the heads of certain ungulates
n. a noise made by the driver of an automobile to give warning; 
n. a high pommel of a Western saddle (usually metal covered with leather)"
pitch,"n. the property of sound that varies with variation in the frequency of vibration
n. (baseball) the act of throwing a baseball by a pitcher to a batter
n. a vendor's position (especially on the sidewalk)
n. degree of deviation from a horizontal plane"
straightforward,"s. free from ambiguity
s. pointed directly ahead"
slogan,n a favorite saying of a sect or political group
minister,"n. a person appointed to a high office in the government
n. a diplomat representing one government to another; ranks below ambassador
n. the job of a head of a government department
v. attend to the wants and needs of others"
prime minister,none
frog,"n. any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species
n. a person of French descent
n. a decorative loop of braid or cord
v. hunt frogs for food"
arrow,"n. a mark to indicate a direction or relation
n. a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow"
entitle,"v. give the right to
v. give a title to"
getaway,n. a rapid escape (as by criminals)
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
dived,"v drop steeply
v plunge into water
v swim under water"
dove,"n. any of numerous small pigeons
n. someone who prefers negotiations to armed conflict in the conduct of foreign relations
n. an emblem of peace"
kayaking,v travel in a small canoe
peak season,none
freedom,n. the condition of being free; the power to act or speak or think without externally imposed restraints
domain,"n. territory over which rule or control is exercised
n. (mathematics) the set of values of the independent variable for which a function is defined"
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
liberty,"n. freedom of choice
n. personal freedom from servitude or confinement or oppression"
golf,"n. a game played on a large open course with 9 or 18 holes; the object is use as few strokes as possible in playing all the holes
v. play golf"
strait,"n. a narrow channel of the sea joining two larger bodies of water
s. narrow"
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
monument,n. an important site that is marked and preserved as public property
kiwi,"n. fuzzy brown egg-shaped fruit with slightly tart green flesh
n. nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes"
geyser,"n. a spring that discharges hot water and steam
v. to overflow like a geyser"
sulphuric pool,none
manuka honey,none
bungee jumping,none
a flock of,none
geothermal,a. of or relating to the heat in the interior of the earth
distribution,"n. (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
n. the spatial or geographic property of being scattered about over a range, area, or volume
n. the act of distributing or spreading or apportioning
n. the commercial activity of transporting and selling goods from a producer to a consumer"
pouch,"n. a small or medium size container for holding or carrying things
n. an enclosed space
n. (anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)
v. put into a small bag"
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
phase,"n. any distinct time period in a sequence of events
n. (physical chemistry) a distinct state of matter in a system; matter that is identical in chemical composition and physical state and separated from other material by the phase boundary
n. a particular point in the time of a cycle; measured from some arbitrary zero and expressed as an angle
n. (astronomy) the particular appearance of a body's state of illumination (especially one of the recurring shapes of the part of Earth's moon that is illuminated by the sun)"
trunk,"n. the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
n. luggage consisting of a large strong case used when traveling or for storage"
licensed,"v authorize officially
s given official approval to act"
license,"n. a legal document giving official permission to do something
n. freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n. excessive freedom; lack of due restraint
n. the act of giving a formal (usually written) authorization"
licence,"n excessive freedom; lack of due restraint
n freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n a legal document giving official permission to do something
v authorize officially"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
frequency,"n. the number of occurrences within a given time period
n. the ratio of the number of observations in a statistical category to the total number of observations
n. the number of observations in a given statistical category"
violent,"a. acting with or marked by or resulting from great force or energy or emotional intensity
s. effected by force or injury rather than natural causes
s. (of colors or sounds) intensely vivid or loud"
violence,"n. an act of aggression (as one against a person who resists)
n. a turbulent state resulting in injuries and destruction etc."
nest,"n. a structure in which animals lay eggs or give birth to their young
n. a kind of gun emplacement
n. a cosy or secluded retreat
n. a gang of people (criminals or spies or terrorists) assembled in one locality"
mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
biology,"n. the science that studies living organisms
n. characteristic life processes and phenomena of living organisms"
hatch,"n. the production of young from an egg
n. shading consisting of multiple crossing lines
n. a movable barrier covering a hatchway
v. emerge from the eggs"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
a handful of,none
fence,"n. a barrier that serves to enclose an area
n. a dealer in stolen property
v. enclose with a fence
v. receive stolen goods"
prison,"n. a correctional institution where persons are confined while on trial or for punishment
n. a prisonlike situation; a place of seeming confinement"
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
Aborigine,n. a dark-skinned member of a race of people living in Australia when Europeans arrived
Sydney,n. the largest Australian city located in southeastern Australia on the Tasman Sea; state capital of New South Wales; Australia's chief port
Bondi Beach,none
Chiang Mai,none
the Bay of Islands,none
the haka,none
Edmonds,none
Felicity,n. pleasing and appropriate manner or style (especially manner or style of expression)
Tasmanian devil,none
Tasmania,"n. an Australian state on the island of Tasmania
n. an island off the southeastern coast of Australia"
duck-billed platypus,none
tale,"n a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
n a trivial lie"
merchant,n. a businessperson engaged in retail trade
set sail,none
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
negotiate,"v. succeed in passing through, around, or over"
fleet,"n. group of aircraft operating together under the same ownership
n. group of motor vehicles operating together under the same ownership
n. a group of steamships operating together under the same ownership
n. a group of warships organized as a tactical unit"
behold,v. see with attention
beheld,v see with attention
league,"n. an association of sports teams that organizes matches for its members
n. an association of states or organizations or individuals for common action
n. an obsolete unit of distance of variable length (usually 3 miles)
v. unite to form a league"
in a league of one's own,none
royal,"n. a sail set next above the topgallant on a royal mast
n. stag with antlers of 12 or more branches
a. of or relating to or indicative of or issued or performed by a king or queen or other monarch
a. established or chartered or authorized by royalty"
spice,"n. aromatic substances of vegetable origin used as a preservative
n. any of a variety of pungent aromatic vegetable substances used for flavoring food
v. make more interesting or flavorful"
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
withdrew,"v pull back or move away or backward
v withdraw from active participation
v release from something that holds fast, connects, or entangles
v cause to be returned
v take back what one has said
v keep away from others
v break from a meeting or gathering
v retire gracefully
v remove (a commodity) from (a supply source)
v lose interest
v make a retreat from an earlier commitment or activity
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract"
withdrawn,"v pull back or move away or backward
v withdraw from active participation
v release from something that holds fast, connects, or entangles
v cause to be returned
v take back what one has said
v keep away from others
v break from a meeting or gathering
v retire gracefully
v remove (a commodity) from (a supply source)
v lose interest
v make a retreat from an earlier commitment or activity
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
s withdrawn from society; seeking solitude
s tending to reserve or introspection"
withdraw from,none
channel,"n. a path over which electrical signals can pass
n. a passage for water (or other fluids) to flow through
n. a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels
n. (often plural) a means of communication or access"
maritime,s. bordering on or living or characteristic of those near the sea
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
in hand,none
politics,"n. social relations involving intrigue to gain authority or power
n. the study of government of states and other political units
n. the profession devoted to governing and to political affairs
n. the opinion you hold with respect to political questions"
profession,"n. the body of people in a learned occupation
n. an occupation requiring special education (especially in the liberal arts or sciences)
n. an open avowal (true or false) of some belief or opinion
n. affirmation of acceptance of some religion or faith"
tournament,"n. a sporting competition in which contestants play a series of games to decide the winner
n. a series of jousts between knights contesting for a prize"
mixture,n. (chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)
laptop,n. a portable computer small enough to use in your lap
coverage,"n. the total amount and type of insurance carried
n. the extent to which something is covered
n. the news as presented by reporters for newspapers or radio or television"
press conference,none
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
tax,"n. charge against a citizen's person or property or activity for the support of government
v. levy a tax on
v. set or determine the amount of (a payment such as a fine)
v. use to the limit"
manned,a. having a crew
submersible,"n. an apparatus intended for use under water
n. a warship designed to operate under water
a. capable of being immersed in water or functioning while submerged"
underwater,"s beneath the surface of the water
s growing or remaining under water"
capsule,"n. a small container
n. a pill in the form of a small rounded gelatinous container with medicine inside
n. a dry dehiscent seed vessel or the spore-containing structure of e.g. mosses
n. a structure that encloses a body part"
coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
migration,"n. the movement of persons from one country or locality to another
n. a group of people migrating together (especially in some given time period)
n. (chemistry) the nonrandom movement of an atom or radical from one place to another within a molecule"
directory,"n. an alphabetical list of names and addresses
n. (computer science) a listing of the files stored in memory (usually on a hard disk)"
meanwhile,"r. at the same time but in another place
r. during the intervening time"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
gallon,"n. United States liquid unit equal to 4 quarts or 3.785 liters
n. a British imperial capacity measure (liquid or dry) equal to 4 quarts or 4.545 liters"
murder,"n. unlawful premeditated killing of a human being by a human being
v. kill intentionally and with premeditation"
mercy,"n. something for which to be thankful
n. alleviation of distress; showing great kindness toward the distressed"
possession,"n. the act of having and controlling property
n. anything owned or possessed
n. being controlled by passion or the supernatural
n. a territory that is controlled by a ruling state"
opponent,s. characterized by active hostility
Log,"n. a segment of the trunk of a tree when stripped of branches
n. a written record of messages sent or received
n. a written record of events on a voyage (of a ship or plane)
n. measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water"
marine,"n. a member of the United States Marine Corps
n. a soldier who serves both on shipboard and on land
a. of or relating to the sea
a. of or relating to military personnel who serve both on land and at sea (specifically the U.S. Marine Corps)"
arrest,n. the state of inactivity following an interruption
Marco Polo,none
Columbus,"n. the state capital of Ohio; located in the center of the state; site of Ohio State University
n. Italian navigator who discovered the New World in the service of Spain while looking for a route to China (1451-1506)
n. a town in eastern Mississippi near the border with Alabama"
Ceylon,n. an island in the Indian Ocean off the southeastern coast of India
Churchill,"n. English general considered one of the greatest generals in history (1650-1722)
n. British statesman and leader during World War II; received Nobel prize for literature in 1953 (1874-1965)
n. a Canadian town in northern Manitoba on Hudson Bay; important port for shipping grain"
Ferdinand Magellan,none
Zac Sunderland,none
Robin Lee Graham,none
parcel,"n. the allotment of some amount by dividing something
v. divide into parts
v. cover with strips of canvas
v. make into a wrapped container"
jam,"n. preserve of crushed fruit
v. push down forcibly
v. crush or bruise
v. interfere with or prevent the reception of signals"
mail,"n. the bags of letters and packages that are transported by the postal service
n. the system whereby messages are transmitted via the post office
n. a conveyance that transports the letters and packages that are conveyed by the postal system
n. any particular collection of letters or packages that is delivered"
secondary,"n. the defensive football players who line up behind the linemen
a. being of second rank or importance or value; not direct or immediate
s. depending on or incidental to what is original or primary
s. not of major importance"
clay,"n. a very fine-grained soil that is plastic when moist but hard when fired
n. United States general who commanded United States forces in Europe from 1945 to 1949 and who oversaw the Berlin airlift (1897-1978)
n. United States politician responsible for the Missouri Compromise between free and slave states (1777-1852)"
dust,"n. fine powdery material such as dry earth or pollen that can be blown about in the air
n. free microscopic particles of solid material
v. remove the dust from
v. rub the dust over a surface so as to blur the outlines of a shape"
dusty,s. covered with a layer of dust
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
chorus,"n. any utterance produced simultaneously by a group
n. a group of people assembled to sing together
n. a body of dancers or singers who perform together
n. a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play"
a chorus of,none
cotton,"n. soft silky fibers from cotton plants in their raw state
n. fabric woven from cotton fibers
n. erect bushy mallow plant or small tree bearing bolls containing seeds with many long hairy fibers
n. thread made of cotton fibers"
uniform,"n. clothing of distinctive design worn by members of a particular group as a means of identification
v. provide with uniforms
a. always the same; showing a single form or character in all occurrences
s. evenly spaced"
not to mention,none
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
rubber,"n. an elastic material obtained from the latex sap of trees (especially trees of the genera Hevea and Ficus) that can be vulcanized and finished into a variety of products
n. any of various synthetic elastic materials whose properties resemble natural rubber
s. returned for lack of funds"
washroom,n. a lavatory (particularly a lavatory in a public place)
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
tube,"n. conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
n. electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
n. (anatomy) any hollow cylindrical body structure
v. provide with a tube or insert a tube into"
circus,"n. a travelling company of entertainers; including trained animals
n. a performance given by a traveling company of acrobats, clowns, and trained animals
n. a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment
n. (antiquity) an open-air stadium for chariot races and gladiatorial games"
chemist,n. a scientist who specializes in chemistry
shade,"n. relative darkness caused by light rays being intercepted by an opaque body
n. a quality of a given color that differs slightly from another color
n. protective covering that protects something from direct sunlight
n. a position of relative inferiority"
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
wrinkle,"n. a slight depression in the smoothness of a surface
n. a minor difficulty
n. a clever method of doing something (especially something new and different)
v. make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in"
forehead,"n the part of the face above the eyes
n the large cranial bone forming the front part of the cranium: includes the upper part of the orbits"
hut,n. temporary military shelter
housing,"n. structures collectively in which people are housed
n. a protective cover designed to contain or support a mechanical component"
platform,"n. a raised horizontal surface
n. a document stating the aims and principles of a political party
n. the combination of a particular computer and a particular operating system
n. any military structure or vehicle bearing weapons"
fireplace,n. an open recess in a wall at the base of a chimney where a fire can be built
saucer,n. a small shallow dish for holding a cup at the table
kettle,"n. a metal pot for stewing or boiling; usually has a lid
n. the quantity a kettle will hold
n. a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it"
pan,"n. cooking utensil consisting of a wide metal vessel
n. (Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat's legs and horns and ears; identified with Roman Sylvanus or Faunus
n. shallow container made of metal
n. chimpanzees; more closely related to Australopithecus than to other pongids"
jar,"n. a vessel (usually cylindrical) with a wide mouth and without handles
n. the quantity contained in a jar
v. shock physically
v. affect in a disagreeable way"
ripe,"a. fully developed or matured and ready to be eaten or used
s. fully prepared or eager
s. at the highest point of development especially in judgment or knowledge"
grill,"n. a framework of metal bars used as a partition or a grate
v. cook over a grill
v. examine thoroughly"
doorway,n. the entrance (the space in a wall) through which you enter or leave a room or building; the space that a door can close
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
handshake,n. grasping and shaking a person's hand (as to acknowledge an introduction or to agree on a contract)
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
plug,"n. blockage consisting of an object designed to fill a hole tightly
n. an electrical device with two or three pins that is inserted in a socket to make an electrical connection
v. fill or close tightly with or as if with a plug
v. persist in working hard"
disabled,"n. people collectively who are crippled or otherwise physically handicapped
s. incapable of functioning as a consequence of injury or illness"
resign,v. accept as inevitable
deserve,v. be worthy or deserving
lately,r in the recent past
input,"n. a component of production; something that goes into the production of output
v. enter (data or a program) into a computer"
tune,"n. a succession of notes forming a distinctive sequence
n. the property of producing accurately a note of a given pitch
n. the adjustment of a radio receiver or other circuit to a required frequency
v. adjust for (better) functioning"
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
take for granted,none
cardiac,a. of or relating to the heart
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
disability,n. the condition of being unable to perform as a consequence of physical or mental unfitness
consultation,"n. a conference (usually with someone important)
n. a conference between two or more people to consider a particular question"
relay,"n. the act of passing something along from one person or group to another
n. a crew of workers who relieve another crew
n. a fresh team to relieve weary draft animals
n. a race between teams; each member runs or swims part of the distance"
relay to,none
criterion,n. the ideal in terms of which something can be judged
criteria,"n a basis for comparison; a reference point against which other things can be evaluated
n the ideal in terms of which something can be judged"
stability,"n. the quality or attribute of being firm and steadfast
n. a stable order (especially of society)"
pray,"v. address a deity, a prophet, a saint or an object of worship; say a prayer"
pray that,none
hypothetical,"n. a hypothetical possibility, circumstance, statement, proposal, situation, etc."
Papua New Guinea,none
Ghana,n. a republic in West Africa on the Gulf of Guinea
Congo,"n. a republic in central Africa; achieved independence from Belgium in 1960
n. a major African river (one of the world's longest); flows through Congo into the South Atlantic
n. a republic in west-central Africa; achieved independence from France in 1960"
Panama,n. a republic on the Isthmus of Panama; achieved independence from Colombia in 1903
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
bounce around,none
aptitude,n. inherent ability
head start,none
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
lawyer,n. a professional person authorized to practice law; conducts lawsuits or gives legal advice
assemble,"v. create by putting components or members together
v. get people together"
drawer,"n. a boxlike container in a piece of furniture; made so as to slide in and out
n. the person who writes a check or draft instructing the drawee to pay someone else"
a chest of drawers,none
breast,"n. the front of the trunk from the neck to the abdomen
n. either of two soft fleshy milk-secreting glandular organs on the chest of a woman
n. meat carved from the breast of a fowl
n. the part of an animal's body that corresponds to a person's chest"
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
radium,n. an intensely radioactive metallic element that occurs in minute amounts in uranium ores
wrist,n. a joint between the distal end of the radius and the proximal row of carpal bones
