classmate,n an acquaintance that you go to school with
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
cold,"n. a mild viral infection involving the nose and respiratory passages (but not the lungs)
n. the sensation produced by low temperatures
a. having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
a. extended meanings; especially of psychological coldness; without human warmth or emotion"
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
kite,"n. a bank check that has been fraudulently altered to increase its face value
n. a bank check drawn on insufficient funds at another bank in order to take advantage of the float
n. plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string
n. any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals"
what about,none
swim,"v. travel through water
v. be dizzy or giddy
v. be covered with or submerged in a liquid
v. move as if gliding through water"
skate,"n. sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
n. large edible rays having a long snout and thick tail with pectoral fins continuous with the head; swim by undulating the edges of the pectoral fins
v. move along on skates"
sunny,s bright and pleasant; promoting a feeling of cheer
climb,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n. the act of climbing something
v. go upward with gradual or continuous progress
v. move with difficulty, by grasping"
hill,"n. a local and well-defined elevation of the land
n. United States railroad tycoon (1838-1916)
n. risque English comedian (1925-1992)
v. form into a hill"
cloudy,"s. lacking definite form or limits
a. full of or covered with clouds
s. (of liquids) clouded as with sediment"
windy,"s. resembling the wind in speed, force, or variability"
put on,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n something intended to deceive; deliberate trickery intended to gain an advantage
n a ludicrous or grotesque act done for fun and amusement"
snow,"n. precipitation falling from clouds in the form of ice crystals
n. a layer of snowflakes (white crystals of frozen water) covering the ground
n. English writer of novels about moral dilemmas in academe (1905-1980)
v. fall as snow"
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
rain,"n. water falling in drops from vapor condensed in the atmosphere
n. drops of fresh water that fall as precipitation from clouds
n. anything happening rapidly or in quick successive
v. precipitate as rain"
sorry,"a feeling or expressing regret or sorrow or a sense of loss over something done or undone
s bad; unfortunate
s without merit
s causing dejection"
dad,n. an informal term for a father; probably derived from baby talk
raincoat,n. a water-resistant coat
tomorrow,"n. the day after today
n. the near future
r. the next day, the day after, following the present day"
will,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice"
shall,"v. i. & auxiliary. To owe; to be under obligation for.
v. i. & auxiliary. To be obliged; must.
v. i. & auxiliary. As an auxiliary, shall indicates a duty or
   necessity whose obligation is derived from the person speaking; as, you
   shall go; he shall go; that is, I order or promise your going. It thus
   ordinarily expresses, in the second and third persons, a command, a
   threat, or a promise. If the auxillary be emphasized, the command is
   made more imperative, the promise or that more positive and sure. It is
   also employed in the language of prophecy; as, ""the day shall come when
   . . . , "" since a promise or threat and an authoritative prophecy
   nearly coincide in significance. In shall with the first person, the
   necessity of the action is sometimes implied as residing elsewhere than
   in the speaker; as, I shall suffer; we shall see; and there is always a
   less distinct and positive assertion of his volition than is indicated
   by will. ""I shall go"" implies nearly a simple futurity; more exactly, a
   foretelling or an expectation of my going, in which, naturally enough,
   a certain degree of plan or intention may be included; emphasize the
   shall, and the event is described as certain to occur, and the
   expression approximates in meaning to our emphatic ""I will go."" In a
   question, the relation of speaker and source of obligation is of course
   transferred to the person addressed; as, ""Shall you go?"" (answer, ""I
   shall go""); ""Shall he go?"" i. e., ""Do you require or promise his
   going?"" (answer, ""He shall go"".) The same relation is transferred to
   either second or third person in such phrases as ""You say, or think,
   you shall go;"" ""He says, or thinks, he shall go."" After a conditional
   conjunction (as if, whether) shall is used in all persons to express
   futurity simply; as, if I, you, or he shall say they are right. Should
   is everywhere used in the same connection and the same senses as shall,
   as its imperfect. It also expresses duty or moral obligation; as, he
   should do it whether he will or not. In the early English, and hence in
   our English Bible, shall is the auxiliary mainly used, in all the
   persons, to express simple futurity. (Cf. Will, v. t.) Shall may be
   used elliptically; thus, with an adverb or other word expressive of
   motion go may be omitted."
can't, A colloquial contraction for can not.
can not," Am, is, or are, not able; -- written either as one word or
   two."
tall,"n. a garment size for a tall person
a. great in vertical dimension; high in stature
s. impressively difficult"
strong,"a. having strength or power greater than average or expected
s. not faint or feeble
s. of verbs not having standard (or regular) inflection
s. freshly made or left"
has,"n (astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day
v have or possess, either in a concrete or an abstract sense
v have as a feature
v go through (mental or physical states or experiences)
v have ownership or possession of
v cause to move; cause to be in a certain position or condition
v serve oneself to, or consume regularly
v have a personal or business relationship with someone
v organize or be responsible for
v have left
v be confronted with
v undergo
v suffer from; be ill with
v cause to do; cause to act in a specified manner
v receive willingly something given or offered
v get something; come into possession of
v undergo (as of injuries and illnesses)
v achieve a point or goal
v cause to be born
v have sex with; archaic use"
short,"n. the location on a baseball field where the shortstop is stationed
a. primarily temporal sense; indicating or being or seeming to be limited in duration
a. (primarily spatial sense) having little length or lacking in length
a. low in stature; not tall"
hair,"n. a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
n. filamentous hairlike growth on a plant
n. any of the cylindrical filaments characteristically growing from the epidermis of a mammal
n. a filamentous projection or process on an organism"
long,"a. primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
a. primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified
s. of relatively great height
a. holding securities or commodities in expectation of a rise in prices"
parent,"n. a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
n. an organism (plant or animal) from which younger ones are obtained"
work,"n. activity directed toward making or doing something
n. a product produced or accomplished through the effort or activity or agency of a person or thing
n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force
v. exert oneself by doing mental or physical work for a purpose or out of necessity"
businessman,n. a person engaged in commercial or industrial business (especially an owner or executive)
cute,s. obviously contrived to charm
nurse,"n. one skilled in caring for young children or the sick (usually under the supervision of a physician)
v. try to cure by special care of treatment, of an illness or injury
v. serve as a nurse; care for sick or handicapped people
v. treat carefully"
hospital,"n. a health facility where patients receive treatment
n. a medical institution where sick or injured people are given medical or surgical care"
policeman,n. a member of a police force
gardener,"n. someone who takes care of a garden
n. someone employed to work in a garden"
park,"n. a large area of land preserved in its natural state as public property
n. a piece of open land for recreational use in an urban area
n. Scottish explorer in Africa (1771-1806)
n. a gear position that acts as a parking brake"
speak,"v. use language
v. make a characteristic or natural sound"
may,n. the month following April and preceding June
hold on,none
call,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
do some training,none
write,"v. produce a literary work
v. communicate or express by writing
v. communicate (with) in writing
v. communicate by letter"
email,"n (computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
v communicate electronically on the computer"
sure,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
everyone,"n. Everybody; -- commonly separated, every one."
winner,"n. the contestant who wins the contest
n. a gambler who wins a bet"
jump,"n. a sudden and decisive increase
n. (film) an abrupt transition from one scene to another
n. descent with a parachute
n. the act of jumping; propelling yourself off the ground"
long jump,none
high,"n. a lofty level or position or degree
n. an air mass of higher than normal pressure
n. a state of sustained elation
n. a state of altered consciousness induced by alcohol or narcotics"
high jump,none
come on,"n anything that serves as an enticement
n qualities that attract by seeming to promise some kind of reward"
