abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
accomplished,"s. highly skilled
s. successfully completed or brought to an end
s. settled securely and unconditionally"
accumulate,v. collect or gather
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
accustom,v make psychologically or physically used (to something)
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
assail,v. attack someone physically or emotionally
asset,n. a useful or valuable quality
assimilate,"v. become similar to one's environment
v. make similar
v. take (gas, light or heat) into a solution
v. become similar in sound"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
attempt,n. earnest and conscientious activity intended to do or accomplish something
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
acquiesce,v to agree or express agreement
acquit,v. pronounce not guilty of criminal charges
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
advisable,a. worthy of being recommended or suggested; prudent or wise
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
aggravate,"v make worse
v exasperate or irritate"
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
appease,"v cause to be more favorably inclined; gain the good will of
v overcome or allay
v make peace with"
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
apprehend,v. anticipate with dread or anxiety
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
attire,n. clothing of a distinctive style or for a particular occasion
attract,"v. direct toward itself or oneself by means of some psychological power or physical attributes
v. be attractive to
v. exert a force on (a body) causing it to approach or prevent it from moving away"
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
accelerate,"v. move faster
v. cause to move faster"
acquaint,v. inform
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
annul,"v declare invalid
v cancel officially"
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
attenuate,"v. become weaker, in strength, value, or magnitude
s. reduced in strength"
accuse,v. bring an accusation against; level a charge against
behave,"v. behave in a certain manner
v. behave well or properly"
belie,"v be in contradiction with
v represent falsely"
bequeath,v. leave or give by will after one's death
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
bestow,v. give as a gift
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
beneficent,"a. doing or producing good
s. generous in assistance to the poor"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
benevolent,"a. intending or showing kindness
s. generous in providing aid to others"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
biannual,s occurring or payable twice each year
bicameral,"a. composed of two legislative bodies
s. consisting of two chambers"
bilateral,"s. having identical parts on each side of an axis
s. affecting or undertaken by two parties
s. having two sides or parts"
bilingualism,n. the ability to speak two languages colloquially
binary,"n. a pre-compiled, pre-linked program that is ready to run under a given operating system; a binary for one operating system will not run on a different operating system
a. of or pertaining to a number system have 2 as its base
s. consisting of two (units or components or elements or terms)"
biped,n. an animal with two feet
bisect,v. cut in half or cut in two
coalition,n. the state of being combined into one body
conduct,"v. direct the course of; manage or control
v. lead, as in the performance of a composition; Barenboim conducted the Chicago symphony for years""
v. lead musicians in the performance of"
coefficient,n. a constant number that serves as a measure of some property or characteristic
coexist,"v. coexist peacefully, as of nations
v. exist together"
cohabitation,n. the act of living together and having a sexual relationship (especially without being married)
cohere,"v. cause to form a united, orderly, and aesthetically consistent whole
v. have internal elements or parts logically connected so that aesthetic consistency results"
collaborate,"v. work together on a common enterprise of project
v. cooperate as a traitor"
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
collide,"v. cause to collide
v. crash together with violent impact"
collision,"n. (physics) a brief event in which two or more bodies come together
n. an accident resulting from violent impact of a moving object
n. a conflict of opposed ideas or attitudes or goals"
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
compact,"n. a small cosmetics case with a mirror; to be carried in a woman's purse
n. a small and economical car
v. have the property of being packable or of compacting easily
a. closely and firmly united or packed together"
companion,"n. a friend who is frequently in the company of another
n. a traveler who accompanies you
n. one paid to accompany or assist or live with another"
comparison,"n. the act of examining resemblances
n. relation based on similarities and differences
n. qualities that are comparable"
compass,"n. navigational instrument for finding directions
n. the limit of capability
n. drafting instrument used for drawing circles
v. bring about; accomplish"
compel,"v. force somebody to do something
v. necessitate or exact"
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
composer,n. someone who composes music as a profession
compromise,"n. a middle way between two extremes
n. an accommodation in which both sides make concessions
v. make a compromise; arrive at a compromise; we all must compromise""
v. settle by concession"
concentrate,"n. a concentrated form of a foodstuff; the bulk is reduced by removing water
n. a concentrated example of something
v. make denser, stronger, or purer
v. direct one's attention on something"
concentration,"n. the strength of a solution; number of molecules of a substance in a given volume
n. the spatial property of being crowded together
n. strengthening the concentration (as of a solute in a mixture) by removing diluting material
n. increase in density"
concentric,a. having a common center
concert,"n. a performance of music by players or singers not involving theatrical staging
v. contrive (a plan) by mutual agreement
v. settle by agreement"
concomitant,"n an event or situation that happens at the same time as or in connection with another
s following or accompanying as a consequence"
concord,"n. capital of the state of New Hampshire; located in south central New Hampshire on the Merrimack river
n. town in eastern Massachusetts near Boston where the first battle of the American Revolution was fought
v. arrange by concord or agreement"
concur,v. happen simultaneously
condole,"v. express one's sympathetic grief, on the occasion of someone's death"
configuration,n. an arrangement of parts or elements
confiscate,s. surrendered as a penalty
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
conjure,"v summon into action or bring into existence, often as if by magic
v ask for or request earnestly
v engage in plotting or enter into a conspiracy, swear together"
consonant,"n. a speech sound that is not a vowel
n. a letter of the alphabet standing for a spoken consonant
s. involving or characterized by harmony"
consort,"n. the husband or wife of a reigning monarch
v. keep company with; hang out with"
constricted,"s. especially tense; especially in some dialects
a. drawn together or squeezed physically or by extension psychologically"
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
content,"n. everything that is included in a collection and that is held or included in something
n. the proportion of a substance that is contained in a mixture or alloy etc.
n. the sum or range of what has been perceived, discovered, or learned
v. satisfy in a limited way"
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
convection,"n. the transfer of heat through a fluid (liquid or gas) caused by molecular motion
n. (meteorology) the vertical movement of heat or other properties by massive motion within the atmosphere"
converge,"v. be adjacent or come together
v. approach a limit as the number of terms increases without limit
v. move or draw together at a certain location
v. come together so as to form a single product"
cooperation,"n. joint operation or action
n. the practice of cooperating"
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
comment,"n. a written explanation or criticism or illustration that is added to a book or other textual material
v. make or write a comment on
v. explain or interpret something"
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
complaint,"n. (formerly) a loud cry (or repeated cries) of pain or rage or sorrow
n. an expression of grievance or resentment
n. (civil law) the first pleading of the plaintiff setting out the facts on which the claim for relief is based"
concave,a. curving inward
conceal,v. hold back; keep from being perceived by others
conceit,"n. an elaborate poetic image or a far-fetched comparison of very dissimilar things
n. a witty or ingenious turn of phrase
n. an artistic device or effect
n. the trait of being unduly vain and conceited; false pride"
condensation,"n. (psychoanalysis) an unconscious process whereby two ideas or images combine into a single symbol; especially in dreams
n. the process of changing from a gaseous to a liquid or solid state
n. atmospheric moisture that has condensed because of cold"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
confirm,"v. establish or strengthen as with new evidence or facts
v. strengthen or make more firm
v. make more firm
v. support a person for a position"
contemplate,"v. look at thoughtfully; observe deep in thought
v. consider as a possibility"
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
convince,"v make (someone) agree, understand, or realize the truth or validity of something"
corrosion,"n. a state of deterioration in metals caused by oxidation or chemical action
n. erosion by chemical action"
corrupt,"v. corrupt morally or by intemperance or sensuality
v. alter from the original
a. lacking in integrity
s. containing errors or alterations"
console,"n. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)
n. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)"
contradict,"v. be in contradiction with
v. deny the truth of"
contrary,"n. exact opposition
n. a logical relation such that two propositions are contraries if both cannot be true but both can be false
s. very opposed in nature or character or purpose
s. of words or propositions so related that both cannot be true but both may be false"
contrast,"n. the opposition or dissimilarity of things that are compared
n. the act of distinguishing by comparing differences
n. the perceptual effect of the juxtaposition of very different colors
n. the range of optical density and tone on a photographic negative or print (or the extent to which adjacent areas on a television screen differ in brightness)"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
debris,n. the remains of something that has been destroyed or broken up
decipher,v. read with difficulty
decode,v. convert code into ordinary language
defense,"n. (military) military action or resources protecting a country against potential enemies
n. protection from harm
n. (sports) the team that is trying to prevent the other team from scoring"
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
delay,"n. time during which some action is awaited
n. the act of delaying; inactivity resulting in something being put off until a later time
v. cause to be slowed down or delayed
v. act later than planned, scheduled, or required"
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
decompose,"v. separate (substances) into constituent elements or parts
v. break down"
desegregate,v. open (a place) to members of all races and ethnic groups
deserted,"v leave someone who needs or counts on you; leave in the lurch
v desert (a cause, a country or an army), often in order to join the opposing cause, country, or army
v leave behind
s forsaken by owner or inhabitants"
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
devote,v. set aside or apart for a specific purpose or use
devour,"v. destroy completely
v. enjoy avidly
v. eat immoderately
v. eat greedily"
devout,s. deeply religious
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
dioxide,n. an oxide containing two atoms of oxygen in the molecule
diplomat,"n. an official engaged in international negotiations
n. a person who deals tactfully with others"
dilapidate,v. bring into a condition of decay or partial ruin by neglect or misuse
dilute,v. lessen the strength or flavor of a solution or mixture
dispersal,n the act of dispersing or diffusing something
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
diversification,"n. the act of introducing variety (especially in investments or in the variety of goods and services offered)
n. the condition of being varied; every day it is the same"""
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
dessert,n. a dish served as the last course of a meal
disadvantage,"n. the quality of having an inferior or less favorable position
v. put at a disadvantage; hinder, harm"
disaster,n. an act that has disastrous consequences
disconcert,"v cause to feel embarrassment
v cause to lose one's composure"
disinterest,n. tolerance attributable to a lack of involvement
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
disorder,"n. a physical condition in which there is a disturbance of normal functioning
n. a disturbance of the peace or of public order
v. bring disorder to"
disprove,v. prove to be false
disquiet,n. the trait of seeming ill at ease
disarm,"v. remove offensive capability from
v. make less hostile; win over
v. take away the weapons from; render harmless"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
discharge,"n. the sudden giving off of energy
n. the act of venting
n. a substance that is emitted or released
n. any of several bodily processes by which substances go out of the body"
discourage,v. deprive of courage or hope; take away hope from; cause to feel discouraged
disguise,"n. an outward semblance that misrepresents the true nature of something
n. any attire that modifies the appearance in order to conceal the wearer's identity
n. the act of concealing the identity of something by modifying its appearance
v. make unrecognizable"
displace,"v. cause to move, usually with force or pressure
v. terminate the employment of; discharge from an office or position"
display,"n. something intended to communicate a particular impression
n. something shown to the public
n. a visual representation of something
n. behavior that makes your feelings public"
discern,v detect with the senses
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
discourse,"n. extended verbal expression in speech or writing
v. to consider or examine in speech or writing"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
disseminate,v cause to become widely known
dissipate,"v. live a life of pleasure, especially with respect to alcoholic consumption"
distend,"v. cause to expand as it by internal pressure
v. swell from or as if from internal pressure"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
distract,v. draw someone's attention away from something
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
elapse,v. pass by
elicit,v. derive by reason
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
enunciate,"v speak, pronounce, or utter in a certain way
v express or state clearly"
erect,a. upright in position or posture
erupt,"v. start abruptly
v. erupt or intensify suddenly
v. start to burn or burst into flames
v. break out"
espouse,"v. take up the cause, ideology, practice, method, of someone and use it as one's own"
evaluate,v. form a critical opinion of
evaporate,"v. lose or cause to lose liquid by vaporization leaving a more concentrated residue
v. cause to change into a vapor
v. change into a vapor"
eviscerate,"v. remove the contents of
v. take away a vital or essential part of
s. having been disembowelled"
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
emblem,"n. special design or visual object representing a quality, type, group, etc.
n. a visible symbol representing an abstract idea"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
encase,"v. enclose in, or as if in, a case"
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
encounter,n. a casual meeting with a person or thing
encroach,v. advance beyond the usual limit
endeavor,v. attempt by employing effort
endorse,v. sign as evidence of legal transfer
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
engulf,v. flow over or cover completely
enlist,"v. join the military
v. engage somebody to enter the army"
enroll,v. register formally as a participant or member
ensconce,v. fix firmly
enthusiasm,"n. a feeling of excitement
n. a lively interest"
entry,"n. an item inserted in a written record
n. a written record of a commercial transaction"
envelop,v. enclose or enfold completely with or as if with a covering
envelope,"n. a flat (usually rectangular) container for a letter, thin package, etc.
n. any wrapper or covering
n. a curve that is tangent to each of a family of curves
n. a natural covering (as by a fluid)"
enzyme,n. any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
empower,v. give or delegate power or authority to
encourage,"v. inspire with confidence; give hope or courage to
v. spur on"
endanger,v. pose a threat to; present a danger to
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
enhance,"v. increase
v. make better or more attractive"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
enlightenment,"n. education that results in understanding and the spread of knowledge
n. a movement in Europe from about 1650 until 1800 that advocated the use of reason and individualism instead of tradition and established doctrine"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
enslave,v. make a slave of; bring into servitude
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
entitle,"v. give the right to
v. give a title to"
entreat,v ask for or request earnestly
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
epigraph,"n. a quotation at the beginning of some piece of writing
n. an engraved inscription"
epitome,n. a brief abstract (as of an article or book)
epoch,"n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
n. a unit of geological time that is a subdivision of a period and is itself divided into ages"
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
exhort,"v spur on or encourage especially by cheers and shouts
v force or impel in an indicated direction"
exalt,"v. raise in rank, character, or status"
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
exception,"n. a deliberate act of omission
n. an instance that does not conform to a rule or generalization; the only exception was her last child""
n. grounds for adverse criticism"
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
exemplary,s. worthy of imitation
exempt,"v. grant relief or an exemption from a rule or requirement to
a. (of persons) freed from or not subject to an obligation or liability (as e.g. taxes) to which others or other things are subject"
exhale,"v. expel air
v. give out (breath or an odor)"
exhaust,"n. gases ejected from an engine as waste products
n. system consisting of the parts of an engine through which burned gases or steam are discharged
v. wear out completely
v. use up the whole supply of"
exodus,"n. a journey by a large group to escape from a hostile environment
n. the second book of the Old Testament: tells of the departure of the Israelites out of slavery in Egypt led by Moses; God gave them the Ten Commandments and the rest of Mosaic law on Mount Sinai during the Exodus"
exorbitant,s. greatly exceeding bounds of reason or moderation
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
expel,v. force to leave or move out
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
extort,"v. obtain through intimidation
v. obtain by coercion or intimidation
v. get or cause to become in a difficult or laborious manner"
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
forecast,v. predict in advance
forefront,n. the part in the front or nearest the viewer
forerunner,"n a person who goes before or announces the coming of another
n something that precedes and indicates the approach of something or someone
n anything that precedes something similar in time"
foreshorten,v. shorten lines in a drawing so as to create an illusion of depth
forestall,"v keep from happening or arising; make impossible
v act in advance of; deal with ahead of time"
illuminate,v. add embellishments and paintings to (medieval manuscripts)
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
illusory,s based on or having the nature of an illusion
illustrate,"v. depict with an illustration
v. supply with illustrations"
illustration,"n. artwork that helps make something clear or attractive
n. a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand"
immature,"a. characteristic of a lack of maturity
a. not yet mature"
immutable,a. not subject or susceptible to change or variation in form or quality or nature
impenetrable,"a. not admitting of penetration or passage into or through
s. impossible to understand"
impermeable,a. preventing especially liquids to pass or diffuse through
impersonal,"a. not relating to or responsive to individual persons
s. having no personal preference"
imprecise,a. not precise
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
inaccessible,"a. capable of being reached only with great difficulty or not at all
s. not capable of being obtained"
inactivate,v. make inactive
inconspicuous,a. not prominent or readily noticeable
inconvenient,"a. not suited to your comfort, purpose or needs
s. not conveniently timed"
indecipherable,"s. not easily deciphered
s. impossible to determine the meaning of"
indifference,n. unbiased impartial unconcern
infirm,"s. lacking firmness of will or character or purpose; give me the daggers"" - Shakespeare"
insanity,n. relatively permanent disorder of the mind
insufficient,a. of a quantity not able to fulfill a need or requirement
intrepid,s invulnerable to fear or intimidation
irregular,"n. merchandise that has imperfections; usually sold at a reduced price without the brand name
a. contrary to rule or accepted order or general practice
s. not occurring at expected times
a. (used of the military) not belonging to or engaged in by regular army forces"
irreverent,a. showing lack of due respect or veneration
impair,v. make worse or less effective
improve,"v to make better
v get better"
imbibe,v. receive into the mind and retain
immerse,"v. thrust or throw into
v. enclose or envelop completely, as if by swallowing"
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
impede,v. be a hindrance or obstacle to
impel,v. urge or force (a person) to an action; constrain or motivate
impetus,"n a force that moves something along
n the act of applying force suddenly"
implant,"n. a prosthesis placed permanently in tissue
v. fix or set securely or deeply
v. become attached to and embedded in the uterus"
implore,v call upon in supplication; entreat
imprint,"n. a distinctive influence
n. an identification of a publisher; a publisher's name along with the date and address and edition that is printed at the bottom of the title page
n. an impression produced by pressure or printing
n. a device produced by pressure on a surface"
impulse,n. the act of applying force suddenly
inaugurate,"v. commence officially
v. open ceremoniously or dedicate formally
v. be a precursor of"
incoming,"a. arriving at a place or position
a. entering upon a position of office vacated by another"
incorporate,"v. include or contain; have as a component
v. form a corporation
v. unite or merge with something already in existence
s. formed or united into a whole"
incubate,v. grow under conditions that promote development
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
influential,a. having or exercising influence or power
influx,n the process of flowing in
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
innovate,v bring something new to an environment
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
