textbook,n. a book prepared for use in schools or colleges
mammal,n. any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
aquatic mammal,none
marine life,none
reptile,"n. any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms"
amphibian,"n. a flat-bottomed motor vehicle that can travel on land or water
n. an airplane designed to take off and land on water
n. cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form"
herbivore,n. any animal that feeds chiefly on grass and other plants
grazing animals,none
prehistoric animals,none
modern animals,none
cold-blooded animal,none
invertebrate animals,none
primate,n. any placental mammal of the order Primates; has good eyesight and flexible hands and feet
seabird,n. a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc.
physical trait,none
songbird,n. any bird having a musical call
beak,"n. beaklike mouth of animals other than birds (e.g., turtles)
n. horny projecting mouth of a bird
n. a beaklike, tapering tip on certain plant structures
n. informal terms for the nose"
blowhole,n. the spiracle of a cetacean located far back on the skull
forehead,"n the part of the face above the eyes
n the large cranial bone forming the front part of the cranium: includes the upper part of the orbits"
skull,n. the bony skeleton of the head of vertebrates
extremity,"n. an external body part that projects from the body
n. an extreme condition or state (especially of adversity or disease)
n. the greatest or utmost degree"
skeletal structure,none
tail,"n. the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
n. any projection that resembles the tail of an animal
n. a spy employed to follow someone and report their movements
n. (usually plural) the reverse side of a coin that does not bear the representation of a person's head"
hind feet,none
limb,"n. one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n. any of the main branches arising from the trunk or a bough of a tree
n. (astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
n. either of the two halves of a bow from handle to tip"
paw,"n. a clawed foot of an animal especially a quadruped
v. scrape with the paws
v. touch clumsily"
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
furry,s covered with a dense coat of fine silky hairs
feather,"n. the light horny waterproof structure forming the external covering of birds
n. turning an oar parallel to the water between pulls
v. join tongue and groove, in carpentry
v. cover or fit with feathers"
organ,"n. a fully differentiated structural and functional unit in an animal that is specialized for some particular function
n. a government agency or instrument devoted to the performance of some specific function
n. a periodical that is published by a special interest group
n. wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard"
reside,v. make one's home in a particular place or community
habitat,n. the type of environment in which an organism or group normally lives or occurs
nature habitat,none
original habitat,none
territory,"n. an area of knowledge or interest
n. the geographical area under the jurisdiction of a sovereign state"
territorial,"n. nonprofessional soldier member of a territorial military unit
n. a territorial military unit
a. of or relating to a territory
a. displaying territoriality; defending a territory from intruders"
nesting sites,none
burrow,"n. a hole made by an animal, usually for shelter
v. move through by or as by digging"
hibernate,"v. sleep during winter
v. be in an inactive or dormant state"
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
dormant state,none
mating,"n the act of pairing a male and female for reproductive purposes
v engage in sexual intercourse
v bring two objects, ideas, or people together
v place an opponent's king under an attack from which it cannot escape and thus ending the game
v twist together or entwine into a confusing mass
v change texture so as to become matted and felt-like"
mating ritual,none
newborn,"s. recently born
s. having just or recently arisen or come into existence"
hatch,"n. the production of young from an egg
n. shading consisting of multiple crossing lines
n. a movable barrier covering a hatchway
v. emerge from the eggs"
reproduction,"n. the process of generating offspring
n. recall that is hypothesized to work by storing the original stimulus input and reproducing it during recall
n. the act of making copies
n. the sexual activity of conceiving and bearing offspring"
spawn,"n. the mass of eggs deposited by fish or amphibians or molluscs
v. lay spawn"
lay egg,none
breeding,"n. elegance by virtue of fineness of manner and expression
n. helping someone grow up to be an accepted member of the community
n. the production of animals or plants by inbreeding or hybridization"
parenting,v bring up
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
thrive,v. make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
chick,n. young bird especially of domestic fowl
offspring,"n. the immediate descendants of a person
n. something that comes into existence as a result"
descendant,"n. a person considered as descended from some ancestor or race
s. going or coming down
s. proceeding by descent from an ancestor"
migration route,none
migration pattern,none
seasonal migration,none
translocate,"v. transfer (a chromosomal segment) to a new position
v. move from one place to another, especially of wild animals"
trek,"n. a journey by ox wagon (especially an organized migration by a group of settlers)
n. any long and difficult trip
v. journey on foot, especially in the mountains
v. make a long and difficult journey"
oceangoing,s. used on the high seas
hop,"n. the act of hopping; jumping upward or forward (especially on one foot)
n. twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
n. an informal dance where popular music is played
v. jump lightly"
dynamic soaring,none
echolocation,n. determining the location of something by measuring the time it takes for an echo to return from it
forage,v. wander and feed
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
predator,n. any animal that lives by preying on other animals
predation,n. the act of preying by a predator who kills and eats the prey
predator-prey relationship,none
enemy,"n. an opposing military force
n. an armed adversary (especially a member of an opposing military force)
n. any hostile group of people"
camouflage,"n. fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background
n. device or stratagem for concealment or deceit
v. disguise by camouflaging; exploit the natural surroundings to disguise something"
captivity,n. the state of being imprisoned
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
defense mechanism,none
swallow,"n. a small amount of liquid food
n. the act of swallowing
n. small long-winged songbird noted for swift graceful flight and the regularity of its migrations
v. pass through the esophagus as part of eating or drinking"
ingest,"v serve oneself to, or consume regularly
v take up mentally"
digest,"n. a periodical that summarizes the news
v. convert food into absorbable substances
v. arrange and integrate in the mind
v. put up with something or somebody unpleasant"
digestive system,none
digestive organ,none
metabolism,n. the organic processes (in a cell or organism) that are necessary for life
exist,"v. have an existence, be extant
v. support oneself"
survival,"n. a state of surviving; remaining alive
n. a natural process resulting in the evolution of organisms best adapted to the environment
n. something that survives"
survival rate,none
lifespan,n the period during which something is functional (as between birth and death)
degrade,"v. reduce the level of land, as by erosion
v. lower the grade of something; reduce its worth"
over-hunting,none
domestication,"n. adaptation to intimate association with human beings
n. accommodation to domestic life"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
revive,"v. be brought back to life, consciousness, or strength
v. restore from a depressed, inactive, or unused state"
adaptation,"n. a written work (as a novel) that has been recast in a new form
n. the process of adapting to something (such as environmental conditions)
n. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)"
symbiotic,s. used of organisms (especially of different species) living together but not necessarily in a relation beneficial to each
evolution,n. (biology) the sequence of events involved in the evolutionary development of a species or taxonomic group of organisms
evolutionary process,none
coevolve,none
natural selection,none
natural variation,none
biodiversity,n. the diversity of plant and animal life in a particular habitat (or in the world as a whole)
biological response,none
diversification,"n. the act of introducing variety (especially in investments or in the variety of goods and services offered)
n. the condition of being varied; every day it is the same"""
conservationist,n someone who works to protect the environment from destruction or pollution
conservation biologist,none
marine biologist,none
genus,"n. a general kind of something
n. (biology) taxonomic group containing one or more species"
herb,"n. a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
n. aromatic potherb used in cookery for its savory qualities"
dominant plant,none
vegetation,"n. all the plant life in a particular region or period
n. the process of growth in plants
n. an abnormal growth or excrescence (especially a warty excrescence on the valves of the heart)
n. inactivity that is passive and monotonous, comparable to the inactivity of plant life"
shrub,n. a low woody perennial plant usually having several major stems
jungle,"n. a location marked by an intense competition and struggle for survival
n. an impenetrable equatorial forest"
old-growth forest,none
prairie,n. a treeless grassy plain
bulb,"n. a modified bud consisting of a thickened globular underground stem serving as a reproductive structure
n. a rounded part of a cylindrical instrument (usually at one end)
n. anything with a round shape resembling a teardrop
n. a rounded dilation or expansion in a canal or vessel or organ"
cluster,v. come together as in a cluster or flock
root,"n. (botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground
n. (linguistics) the form of a word after all affixes are removed
n. a number that, when multiplied by itself some number of times, equals a given number
n. the part of a tooth that is embedded in the jaw and serves as support"
stem,"n. the tube of a tobacco pipe
v. grow out of, have roots in, originate in
v. cause to point inward
v. stop the flow of a liquid"
growth ring,none
flora,"n all the plant life in a particular region or period
n (botany) a living organism lacking the power of locomotion"
plant fiber,none
bloom,"n. the best time of youth
n. a rosy color (especially in the cheeks) taken as a sign of good health
v. produce or yield flowers"
germinate,v. cause to grow or sprout
germination,"n. the process whereby seeds or spores sprout and begin to grow
n. the origin of some development"
flowing cycle,none
nectar,"n. a sweet liquid secretion that is attractive to pollinators
n. fruit juice especially when undiluted"
scent,"n. an odor left in passing by which a person or animal can be traced
v. catch the scent of; get wind of"
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
pollinate,v. fertilize by transfering pollen
pollination,n. transfer of pollen from the anther to the stigma of a plant
pollinator,n. an insect that carries pollen from one flower to another
pollination cycle,none
architect,n. someone who creates plans to be used in making something (such as buildings)
architectural,a. of or pertaining to the art and science of architecture
city planner,none
functional design,none
design principle,none
floor plan,none
drawing,"n. an illustration that is drawn by hand and published in a book, magazine, or newspaper
n. a representation of forms or objects on a surface by means of lines
n. the creation of artistic pictures or diagrams
n. act of getting or draining something such as electricity or a liquid from a source"
dwelling,n. housing that someone is living in
residential architecture,none
public architecture,none
apartment complex,none
residential community,none
suburb,n. a residential district located on the outskirts of a city
downtown,"a. of or located in the lower part of a town, or in the business center
r. toward or in the lower or central part of town"
