admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
prioritize,v. assign a priority to
purposefulness,n. the quality of having a definite purpose
range,"n. the limits within which something can be effective
n. a large tract of grassy open land on which livestock can graze
n. a series of hills or mountains
n. a place for shooting (firing or driving) projectiles of various kinds"
reassurance,n. the act of reassuring; restoring someone's confidence
reciprocal,"n. something (a term or expression or concept) that has a reciprocal relation to something else
a. concerning each of two or more persons or things; especially given or done in return
s. of or relating to the multiplicative inverse of a quantity or function"
relaxation,"n. (physiology) the gradual lengthening of inactive muscle or muscle fibers
n. (physics) the exponential return of a system to equilibrium after a disturbance
n. an occurrence of control or strength weakening"
seek,"n. the movement of a read/write head to a specific data track on a disk
v. try to get or reach
v. go to or towards
v. inquire for"
setting,"n. the context and environment in which something is set
n. the state of the environment in which a situation exists
n. the physical position of something"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
simultaneously,r. at the same instant
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
structure,"n. a thing constructed; a complex entity constructed of many parts
n. the manner of construction of something and the arrangement of its parts
n. the complex composition of knowledge as elements and their combinations
n. a particular complex anatomical part of a living thing"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
valid,"a. well grounded in logic or truth or having legal force
s. still legally acceptable"
well-being,n a contented state of being happy and healthy and prosperous
adapt to,none
adjust to,none
conducive to,none
be conducive to,none
conform to,none
contribute to,none
cope with,none
focus on,none
in accordance with,none
make one's way,none
on the line,none
relevant to,none
be relevant to,none
take into account,none
couch,"n. a flat coat of paint or varnish used by artists as a primer
n. a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment"
dinosaur,n. any of numerous extinct terrestrial reptiles of the Mesozoic era
driveway,n. a road leading up to a private house
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
figurine,n. a small carved or molded figure
fingerprint,"n. a print made by an impression of the ridges in the skin of a finger; often used for biometric identification in criminal investigations
n. a generic term for any identifying characteristic
v. take an impression of a person's fingerprints"
freezer,n electric refrigerator (trade name Deepfreeze) in which food is frozen and stored for long periods of time
fryer,n. flesh of a medium-sized young chicken suitable for frying
gash,"n a wound made by cutting
n a trench resembling a furrow that was made by erosion or excavation
n a strong sweeping cut made with a sharp instrument
v cut open"
item,"n. a distinct part that can be specified separately in a group of things that could be enumerated on a list
n. a whole individual unit; especially when included in a list or collection
r. (used when listing or enumerating items) also"
mysteriously,r in a cryptic manner
outfit,"n. any cohesive unit such as a military company
n. a set of clothing (with accessories)"
ponder,v reflect deeply on a subject
ponytail,n. a hair style that draws the hair back so that it hangs down in back of the head like a pony's tail
residence,"n. any address at which you dwell more than temporarily
n. the official house or establishment of an important person (as a sovereign or president)"
scrub,"n. dense vegetation consisting of stunted trees or bushes
n. the act of cleaning a surface by rubbing it with a brush and soap and water
v. clean with hard rubbing
v. wash thoroughly"
sink,"n. plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
n. (technology) a process that acts to absorb or remove energy or a substance from a system
v. fall or descend to a lower place or level
v. cause to sink"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
straighten,"v. straighten up or out; make straight
v. make straight
v. get up from a sitting or slouching position
v. make straight or straighter"
stressful,s extremely irritating to the nerves
stuffed,"s. filled with something
s. crammed with food"
toss,"n. an abrupt movement
v. agitate"
turkey,"n. large gallinaceous bird with fan-shaped tail; widely domesticated for food
n. a Eurasian republic in Asia Minor and the Balkans; on the collapse of the Ottoman Empire in 1918, the Young Turks, led by Kemal Ataturk, established a republic in 1923
n. flesh of large domesticated fowl usually roasted
n. an event that fails badly or is totally ineffectual"
wiggle,n. the act of wiggling
at the sound of,none
drive off,none
due to,none
in particular,none
kind of,none
last but not least,none
leave behind,none
look back on,none
pick up,"n. a light truck with an open body and low sides and a tailboard
n. a warrant to take someone into custody
n. anything with restorative powers"
remind sb. of sth.,none
sort through,none
think back to,none
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
attribute,n. an abstraction belonging to or characteristic of an entity
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
bushwalking,none
catch-up,n. Alt. of Catsup
clinical,"a. relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
s. scientifically detached; unemotional"
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
consumption,"n. the process of taking food into the body through the mouth (as by eating)
n. (economics) the utilization of economic goods to satisfy needs or in manufacturing
n. the act of consuming something"
detail,"n. an isolated fact that is considered separately from the whole
n. a small part that can be considered separately from the whole
n. extended treatment of particulars
n. a crew of workers selected for a particular task"
divorced,s. of someone whose marriage has been legally dissolved
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
drain,"n. emptying something accomplished by allowing liquid to run out of it
n. tube inserted into a body cavity (as during surgery) to remove unwanted material
n. a pipe through which liquid is carried away
n. a gradual depletion of energy or resources"
dramatically,"r. in a very impressive manner
r. in a dramatic manner
r. with respect to dramatic value"
encounter,n. a casual meeting with a person or thing
enhance,"v. increase
v. make better or more attractive"
eventually,r after an unspecified period of time or an especially long delay
exhibit,"n. an object or statement produced before a court of law and referred to while giving evidence
v. show an attribute, property, knowledge, or skill"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
flesh-and-blood,none
fluid,"n. a substance that is fluid at room temperature and pressure
n. continuous amorphous matter that tends to flow and to conform to the outline of its container: a liquid or a gas
s. subject to change; variable
s. characteristic of a fluid; capable of flowing and easily changing shape"
goal,"n. the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it
n. game equipment consisting of the place toward which players of a game try to advance a ball or puck in order to score points
n. a successful attempt at scoring"
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
inactivity,n. being inactive; being less active
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
instinct,"n. inborn pattern of behavior often responsive to specific stimuli
s. (followed by `with')deeply filled or permeated"
intelligent,"a. having the capacity for thought and reason especially to a high degree
s. possessing sound knowledge
s. endowed with the capacity to reason"
like-minded,s. of the same turn of mind
milestone,"n. stone post at side of a road to show distances
n. a significant event in your life (or in a project)"
mortality,n. the quality or state of being mortal
negative,"n. a reply of denial
n. a piece of photographic film showing an image with light and shade or colors reversed
a. characterized by or displaying negation or denial or opposition or resistance; having no positive features
a. expressing or consisting of a negation or refusal or denial"
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
obesity,n more than average fatness
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
pal,v. become friends; act friendly towards
participant,n. someone who takes part in an activity
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
predictor,"n. information that supports a probabilistic estimate of future events
n. a computer for controlling antiaircraft fire that computes the position of an aircraft at the instant of a shell's arrival"
priority,n. preceding in time
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
psychologist,n. a scientist trained in psychology
queue,"n. a line of people or vehicles waiting for something
n. (information processing) an ordered list of tasks to be performed or messages to be transmitted
n. a braid of hair at the back of the head"
rapport,n. a relationship of mutual understanding or trust and agreement between people
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
recommend,"v. push for something
v. make attractive or acceptable"
redefine,"v. give a new or different definition to
v. give a new or different definition of (a word)"
reluctant,"s. disinclined to become involved
s. not eager"
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
self-esteem,n. a feeling of pride in yourself
spontaneous,a. happening or arising without apparent external cause
suburb,n. a residential district located on the outskirts of a city
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
sustain,"v. supply with necessities and support
v. admit as valid"
tangible,"a. perceptible by the senses especially the sense of touch
a. (of especially business assets) having physical substance and intrinsic monetary value"
tempting,"v dispose or incline or entice to
v provoke someone to do something through (often false or exaggerated) promises or persuasion
v give rise to a desire by being attractive or inviting
v induce into action by using one's charm
v try to seduce
v try presumptuously
s highly attractive and able to arouse hope or desire
s very pleasantly inviting"
tonic,"n. lime- or lemon-flavored carbonated water containing quinine
n. (music) the first note of a diatonic scale
n. a medicine that strengthens and invigorates
a. of or relating to or producing normal tone or tonus in muscles or tissue"
toxic,a. of or relating to or caused by a toxin or poison
tweet,"n. a weak chirping sound as of a small bird
v. make a weak, chirping sound"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
a wide range of,none
connect with sb.,none
engage in,none
give away,"n. a gift of public land or resources for the private gain of a limited group
n. an unintentional disclosure"
in contrast,none
interact with,none
invest in,none
lead to,none
light up,none
take the initiative,none
ups and downs,none
with a view to,none
adagio,"n. (music) a composition played in adagio tempo (slowly and gracefully)
n. a slow section of a pas de deux requiring great skill and strength by the dancers
s. (of tempo) leisurely"
adore,v. love intensely
baroque,"n. the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe
n. elaborate and extensive ornamentation in decorative art and architecture that flourished in Europe in the 17th century
s. having elaborate symmetrical ornamentation
a. of or relating to or characteristic of the elaborately ornamented style of architecture, art, and music popular in Europe between 1600 and 1750"
cantonal,a. of or relating to a canton
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
classical,"a. of or relating to the most highly developed stage of an earlier civilisation and its culture
a. of or relating to the study of the literary works of ancient Greece and Rome
s. (language) having the form used by ancient standard authors
s. of or pertaining to or characteristic of the ancient Greek and Roman cultures"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
confide,v. reveal in private; tell confidentially
distinctive,s. of a feature that helps to distinguish a person or thing
enhancer,n anything that serves by contrast to call attention to another thing's good qualities
equation,"n. a mathematical statement that two expressions are equal
n. the act of regarding as equal"
genius,"n. someone who has exceptional intellectual ability and originality
n. exceptional creative ability"
glimpse,"n. a brief or incomplete view
n. a vague indication
v. catch a glimpse of or see briefly"
gorgeous,s. dazzlingly beautiful
gravitational,a. of or relating to or caused by gravitation
heed,v. pay close attention to; give heed to
icon,"n. (computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
n. a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church"
improvise,"v. perform without preparation
v. manage in a makeshift way; do with whatever is at hand"
inconceivable,s totally unlikely
jam,"n. preserve of crushed fruit
v. push down forcibly
v. crush or bruise
v. interfere with or prevent the reception of signals"
moustache,n an unshaved growth of hair on the upper lip
opus,n a musical work that has been created
perform,"v. carry out or perform an action
v. perform a function
v. give a performance (of something)"
performance,"n. a dramatic or musical entertainment
n. the act of presenting a play or a piece of music or other entertainment
n. the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
n. any recognized accomplishment"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
platinum,n. a heavy precious metallic element; grey-white and resistant to corroding; occurs in some nickel and copper ores and is also found native in some deposits
popularity,n. the quality of being widely admired or accepted or sought after
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
prowess,n a superior skill that you can learn by study and practice and observation
quartet,"n. four performers or singers who perform together
n. a set of four similar things considered as a unit
n. four people considered as a unit
n. a musical composition for four performers"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
relativity,"n. (physics) the theory that space and time are relative concepts rather than absolute concepts
n. the quality of being relative and having significance only in relation to something else"
resolve,"v. make clearly visible
v. find the solution"
reveal,v. disclose directly or through prophets
rival,"n. the contestant you hope to defeat
v. be the rival of, be in competition with"
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
sonata,n. a musical composition of 3 or 4 movements of contrasting forms
strike,"n. a group's refusal to work in protest against low pay or bad work conditions
n. an attack that is intended to seize or inflict damage on or destroy an objective
n. a score in tenpins: knocking down all ten with the first ball
n. (baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders"
theory,"n. a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena
n. a belief that can guide behavior"
toil,"n productive work (especially physical work done for wages)
v work hard"
trade,"n. the commercial exchange (buying and selling on domestic or international markets) of goods and services
n. the skilled practice of a practical occupation
n. the business given to a commercial establishment by its customers
v. engage in the trade of"
tuition,n. a fee paid for instruction (especially for higher education)
unclipped,s. not clipped
unkempt,"s. not neatly combed
s. not properly maintained or cared for"
worship,"n. the activity of worshipping
n. a feeling of profound love and admiration
v. show devotion to (a deity)
v. attend religious services"
bring out,none
deal with,none
in addition to,none
jot down,none
pass as,none
pass for,none
take refuge,none
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
alleviate,"v provide physical relief, as from pain
v make easier"
assessment,"n. an amount determined as payable
n. the market value set on assets"
bearable,s. capable of being borne though unpleasant
bet,"n. the act of gambling
v. maintain with or as if with a bet
v. stake on the outcome of an issue"
detrimental,s (sometimes followed by `to') causing harm or injury
digit,"n. one of the elements that collectively form a system of numeration
n. a finger or toe in human beings or corresponding body part in other vertebrates"
distracting,"v draw someone's attention away from something
v disturb in mind or make uneasy or cause to be worried or alarmed"
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
genre,"n. a kind of literary or artistic work
n. a class of art (or artistic endeavor) having a characteristic form or technique"
heater,n. device that heats water or supplies warmth to a room
hypothesize,v to believe especially on uncertain or tentative grounds
imply,"v. express or state indirectly
v. suggest as a logically necessary consequence; in logic
v. have as a necessary feature"
intriguing,s. capable of arousing interest or curiosity
linguistic,"a. consisting of or related to language
a. of or relating to the scientific study of language"
movie-addict,none
numerous,s. amounting to a large indefinite number
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
repetitive,a. characterized by repetition
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
soundtrack,n. sound recording on a narrow strip of a motion picture film
spatial,a. pertaining to or involving or having the nature of space
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
subjective,a. taking place within the mind and modified by individual bias
tempo,"n. (music) the speed at which a composition is to be played
n. the rate of some repeating event"
variation,"n. an instance of change; the rate or magnitude of change
n. an activity that varies from a norm or standard
n. a repetition of a musical theme in which it is modified or embellished
n. an artifact that deviates from a norm or standard"
