off and on,s intermittently stopping and starting
social,"a. relating to human society and its members
a. living together or enjoying life in communities or organized groups
a. relating to or belonging to or characteristic of high society
s. composed of sociable people or formed for the purpose of sociability"
respectable,a. characterized by socially or conventionally acceptable morals
put down,n. a crushing remark
recapture,"n. a legal seizure by the government of profits beyond a fixed amount
n. the act of taking something back
v. experience anew
v. take up anew"
relive,"v. experience again, often in the imagination"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
turn in,none
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
what's more,none
contempt,"n. lack of respect accompanied by a feeling of intense dislike
n. a manner that is generally disrespectful and contemptuous
n. open disrespect for a person or thing
n. a willful disobedience to or disrespect for the authority of a court or legislative body"
ridicule,"n. language or behavior intended to mock or humiliate
v. subject to laughter or ridicule"
open-hearted,s. freely communicative; candidly straightforward
enjoyment,"n. the pleasure felt when having a good time
n. act of receiving pleasure from something"
hold back,"n. Check; hindrance; restraint; obstacle.
n. The projection or loop on the thill of a vehicle. to
   which a strap of the harness is attached, to hold back a carriage when
   going down hill, or in backing; also, the strap or part of the harness
   so used."
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
demonstration,"n. a show of military force or preparedness
n. a public display of group feelings (usually of a political nature)
n. proof by a process of argument or a series of proposition proving an asserted conclusion
n. a visual presentation showing how something works"
calling,"n the particular occupation for which you are trained
v assign a specified (usually proper) proper name to
v ascribe a quality to or give a name of a common noun that reflects a quality
v get or try to get into communication (with someone) by telephone
v utter a sudden loud cry
v order, request, or command to come
v pay a brief visit
v call a meeting; invite or command to meet
v read aloud to check for omissions or absentees
v send a message or attempt to reach someone by radio, phone, etc.; make a signal to in order to transmit a message
v utter a characteristic note or cry
v stop or postpone because of adverse conditions, such as bad weather
v greet, as with a prescribed form, title, or name
v make a stop in a harbour
v demand payment of (a loan)
v make a demand, as for a card or a suit or a show of hands
v give the calls (to the dancers) for a square dance
v indicate a decision in regard to
v make a prediction about; tell in advance
v require the presentation of for redemption before maturation
v challenge (somebody) to make good on a statement; charge with or censure for an offense
v declare in the capacity of an umpire or referee
v lure by imitating the characteristic call of an animal
v order or request or give a command for
v order, summon, or request for a specific duty or activity, work, role
v utter in a loud voice or announce
v challenge the sincerity or truthfulness of
v consider or regard as being
v rouse somebody from sleep with a call"
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
seal,"n. a device incised to make an impression; used to secure a closing or to authenticate documents
n. the pelt or fur (especially the underfur) of a seal
n. a stamp affixed to a document (as to attest to its authenticity or to seal it)
n. a finishing coat applied to exclude moisture"
essence,n. any substance possessing to a high degree the predominant properties of a plant or drug or other natural product from which it is extracted
tradition,n. an inherited pattern of thought or action
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
valedictorian,n. the student with the best grades who usually delivers the valedictory address at commencement
maintain,v. state or assert
look forward to,none
participate in,none
registration,"n. the act of enrolling
n. the body of people (such as students) who register or enroll at the same time
n. a document certifying an act of registering
n. (music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops"
fee,"n. a fixed charge for a privilege or for professional services
n. an interest in land capable of being inherited"
gym,n athletic facility equipped for sports or physical training
compare to,none
falsify,"v. make false by mutilation or addition; as of a message or story
v. prove false
v. falsify knowingly"
plus,"a. on the positive side or higher end of a scale
s. involving advantage or good"
tie,"n. equality of score in a contest
n. a horizontal beam used to prevent two other structural members from spreading apart or separating
n. (music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value
n. one of the cross braces that support the rails on a railway track"
drown out,none
here and there,none
filter,"n. device that removes something from whatever passes through it
n. an electrical device that alters the frequency spectrum of signals passing through it
v. remove by passing through a filter"
resign,v. accept as inevitable
make it,none
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
policy,"n. a plan of action adopted by an individual or social group
n. a line of argument rationalizing the course of action of a government
n. written contract or certificate of insurance"
regarding,"v deem to be
v look at attentively
v connect closely and often incriminatingly"
dignity,"n. the quality of being worthy of esteem or respect
n. formality in bearing and appearance
n. high office or rank or station"
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
expectation,"n. belief about (or mental picture of) the future
n. the feeling that something is about to happen"
clasp,"n. a fastener (as a buckle or hook) that is used to hold two things together
n. the act of grasping
v. hold firmly and tightly
v. grasp firmly"
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
hoe,"n. a tool with a flat blade attached at right angles to a long handle
v. dig with a hoe"
spring up,none
delicate,"a. exquisitely fine and subtle and pleasing; susceptible to injury
s. marked by great skill especially in meticulous technique
s. easily broken or damaged or destroyed
s. easily hurt"
withdrawn,"v pull back or move away or backward
v withdraw from active participation
v release from something that holds fast, connects, or entangles
v cause to be returned
v take back what one has said
v keep away from others
v break from a meeting or gathering
v retire gracefully
v remove (a commodity) from (a supply source)
v lose interest
v make a retreat from an earlier commitment or activity
v remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
s withdrawn from society; seeking solitude
s tending to reserve or introspection"
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
exception,"n. a deliberate act of omission
n. an instance that does not conform to a rule or generalization; the only exception was her last child""
n. grounds for adverse criticism"
tremble,"n. a reflex motion caused by cold or fear or excitement
v. move or jerk quickly and involuntarily up and down or sideways"
yell,v. utter or declare in a very loud voice
innocent,"n. a person who lacks knowledge of evil
a. free from evil or guilt
s. lacking intent or capacity to injure
s. lacking in sophistication or worldliness"
hug,"n. a tight or amorous embrace
v. fit closely or tightly"
pat,"n. the sound made by a gentle blow
s. exactly suited to the occasion
r. completely or perfectly"
cabbie,none
be lost in,none
lose oneself in,none
windshield,n. transparent screen (as of glass) to protect occupants of a vehicle
cab,"n. a compartment at the front of a motor vehicle or locomotive where driver sits
n. small two-wheeled horse-drawn carriage; with two seats and a folding hood
n. a car driven by a person whose job is to take passengers where they want to go in exchange for money"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
apologetically,r. in an apologetic manner
apologetic,a. offering or expressing apology
or something,none
go ahead,"n a signal to proceed
n readiness to embark on bold new ventures"
know ... by heart,none
learn by heart,none
on the road,none
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
might as well,none
might just as well,none
may as well,none
may just as well,none
not much of a,none
keep up,none
correspondence,n. communication by the exchange of letters
practically,"r. almost; nearly
r. in a practical manner"
all the way,none
neighborhood,"n. people living near one another
n. an area within a city or town that has some distinctive features (especially one forming a community)"
kind of,none
sort of,none
lose touch,none
lose touch with sb.,none
guy,"n. an informal term for a youth or man
n. an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day
n. a cable, wire, or rope that is used to brace something (especially a tent)
v. steady or support with a guy wire or cable"
a couple of,none
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
on one's mind,none
keep in touch,none
keep in touch with,none
come up,none
shrug,"n. a gesture involving the shoulders
v. raise one's shoulders to indicate indifference or resignation"
urge,"n. an instinctive motive
n. a strong restless desire
v. force or impel in an indicated direction"
postpone,v. hold back to a later time
reference,"n. the most direct or specific meaning of a word or expression; the class of objects that an expression refers to
n. the act of referring or consulting
n. a publication (or a passage from a publication) that is referred to
n. the relation between a word or phrase and the object or idea it refers to"
Halloween,n. the evening before All Saints' Day; often devoted to pranks played by young people
absolutely,"r. completely and without qualification; used informally as intensifiers
r. totally and definitely; without question"
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
reunion,"n. a party of former associates who have come together again
n. the act of coming together again"
go by,"n. A passing without notice; intentional neglect; thrusting
   away; a shifting off; adieu; as, to give a proposal the go-by."
hang out,n a frequently visited place
every now and then,none
mostly,"r in large part; mainly or chiefly
r usually; as a rule"
awful,s. causing fear or dread or terror
choke,"n. a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current
n. a valve that controls the flow of air into the carburetor of a gasoline engine
v. breathe with great difficulty, as when experiencing a strong emotion
v. be too tight; rub or press"
choke up,none
destination,n. the ultimate goal for which something is done
skip,"n. a gait in which steps and hops alternate
v. bound off one point after another"
sorrowful,a. experiencing or marked by or expressing sorrow especially that associated with irreparable loss
sorrow,"n. an emotion of great sadness associated with loss or bereavement
n. sadness associated with some wrong done or some disappointment"
in the distance,none
unpack,v. remove from its packing
right away,none
let down,n a feeling of dissatisfaction that results when your expectations are not realized
burn off,none
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
uneasy,"a. lacking a sense of security or affording no ease or reassurance
s. relating to bodily unease that causes discomfort"
bump,"n. a lump on the body caused by a blow
v. knock against with force or violence
v. dance erotically or dance with the pelvis thrust forward"
get rid of,none
stuff,"n. miscellaneous unspecified objects
n. informal terms for personal possessions
n. senseless talk
n. unspecified qualities required to do or be something"
tow,"n. the act of hauling something (as a vehicle) by means of a hitch or rope
v. drag behind"
soak,"n. the process of becoming softened and saturated as a consequence of being immersed in water (or other liquid)
n. washing something by allowing it to soak
v. submerge in a liquid
v. beat severely"
pitch,"n. the property of sound that varies with variation in the frequency of vibration
n. (baseball) the act of throwing a baseball by a pitcher to a batter
n. a vendor's position (especially on the sidewalk)
n. degree of deviation from a horizontal plane"
swing,"n. a state of steady vigorous action that is characteristic of an activity
n. mechanical device used as a plaything to support someone swinging back and forth
n. a sweeping blow or stroke
n. changing location by moving back and forth"
burst into,none
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
spin,"n. a swift whirling motion (usually of a missile)
n. the act of rotating rapidly
n. a short drive in a car
n. a distinctive interpretation (especially as used by politicians to sway public opinion)"
fling,"n. the act of flinging
v. throw with force or recklessness
v. move in an abrupt or headlong manner"
roar,"n. the sound made by a lion
v. make a loud noise, as of wind, water, or vehicles
v. act or proceed in a riotous, turbulent, or disorderly way
v. laugh unrestrainedly and heartily"
crash,"n. a serious accident (usually involving one or more vehicles)
n. a sudden large decline of business or the prices of stocks (especially one that causes additional failures)
n. the act of colliding with something
n. (computer science) an event that causes a computer system to become inoperative"
steer,"v. direct the course; determine the direction of travelling
v. direct (oneself) somewhere"
bare,"v. lay bare
s. completely unclothed
s. lacking in amplitude or quantity
a. lacking its natural or customary covering"
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
injury,"n. any physical damage to the body caused by violence or accident or fracture etc.
n. an accident that results in physical damage or hurt
n. an act that causes someone or something to receive physical damage
n. wrongdoing that violates another's rights and is unjustly inflicted"
worse still,none
in bad shape,none
in good shape,none
despair,"n. a state in which all hope is lost or absent
n. the feeling that everything is wrong and nothing will turn out well
v. abandon hope; give up hope; lose heart"
hang on,none
permanently,r. for a long time without essential change
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
draw on,none
character,"n. the inherent complex of attributes that determines a persons moral and ethical actions and reactions
n. an actor's portrayal of someone in a play
n. a person of a specified kind (usually with many eccentricities)
n. good repute"
lean,"v. to incline or bend from a vertical position
v. cause to lean or incline
v. rely on for support
a. lacking in mineral content or combustible material"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
grab,"n. a mechanical device for gripping an object
v. make a grasping or snatching motion with the hand
v. obtain illegally or unscrupulously
v. take or grasp suddenly"
slide,"n. a small flat rectangular piece of glass on which specimens can be mounted for microscopic study
n. (geology) the descent of a large mass of earth or rocks or snow etc.
n. plaything consisting of a sloping chute down which children can slide
n. the act of moving smoothly along a surface while remaining in contact with it"
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
grin,"v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
medal,n an award for winning a championship or commemorating some other event
courageous,a possessing or displaying courage; able to face and deal with danger or fear without flinching
rescue,"n. recovery or preservation from loss or danger
v. free from harm or evil
v. take forcibly from legal custody"
highlight,"n. the most interesting or memorable part
n. an area of lightness in a picture
v. apply a highlighter to one's cheeks or eyebrows in order to make them more prominent"
likely,"a. has a good chance of being the case or of coming about
s. expected to become or be; in prospect
s. within the realm of credibility"
privileged,"a. blessed with privileges
s. not subject to usual rules or penalties"
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
minority,"n. a group of people who differ racially or politically from a larger group of which it is a part
n. being or relating to the smaller in number of two parts
n. any age prior to the legal age"
do without,none
highly,"r. to a high degree or extent; favorably or with much respect
r. at a high rate or wage
r. in a high position or level or rank"
risky,"s involving risk or danger
s not financially safe or secure"
nasty,"a. offensive or even (of persons) malicious
s. exasperatingly difficult to handle or circumvent"
brutish,s resembling a beast; showing lack of human sensibility
anyway,"r used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r in any way whatsoever"
put the clock back,none
turn the clock back,none
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
competition,"n. a business relation in which two parties compete to gain customers
n. the act of competing as for profit or a prize"
bring about,none
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
inquiring,a. given to inquiry
inquire,"v inquire about
v have a wish or desire to know something
v conduct an inquiry or investigation of"
global,s. involving the entire earth; not limited or provincial in scope
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
inventiveness,n. the power of creative imagination
slow down,n. the act of slowing down or falling behind
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
democratic,"a. characterized by or advocating or based upon the principles of democracy or social equality
a. belong to or relating to the Democratic Party
s. representing or appealing to or adapted for the benefit of the people at large"
informed,a. having much knowledge or education
inform,"v. impart knowledge of some fact, state or affairs, or event to
v. give character or essence to
v. act as an informer"
at the moment,none
in two minds,none
steady,"v. make steady
a. not subject to change or variation especially in behavior
s. securely in position; not shaky
s. not easily excited or upset"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
cartoon,"n. a humorous or satirical drawing published in a newspaper or magazine
n. a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
v. draw cartoons of"
element,"n. the most favorable environment for a plant or animal
n. one of four substances thought in ancient and medieval cosmology to constitute the physical universe
n. the situation in which you are happiest and most effective
n. a straight line that generates a cylinder or cone"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
fiction,n. a literary work based on the imagination and not necessarily on fact
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
background,"n. a person's social heritage: previous experience or training
n. the part of a scene (or picture) that lies behind objects in the foreground
n. information that is essential to understanding a situation or problem
n. extraneous signals that can be confused with the phenomenon to be observed or measured"
acid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid"
greenhouse,"n. a building with glass walls and roof; for the cultivation and exhibition of plants under controlled conditions
a. of or relating to or caused by the greenhouse effect"
nuclear,"a. (weapons) deriving destructive energy from the release of atomic energy
a. of or relating to or constituting the nucleus of an atom
a. of or relating to or constituting the nucleus of a cell
s. constituting or like a nucleus"
weapon,"n. any instrument or instrumentality used in fighting or hunting
n. a means of persuading or arguing"
genetic,"a. pertaining to or referring to origin
a. of or relating to the science of genetics"
engineering,"n. the discipline dealing with the art or science of applying scientific knowledge to practical problems
n. a room (as on a ship) in which the engine is located"
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
lie in,n. a long stay in bed in the morning
rote,n. memorization by repetition
relevance,n. the relation of something to the matter at hand
in terms of,none
equation,"n. a mathematical statement that two expressions are equal
n. the act of regarding as equal"
brief,"n. a document stating the facts and points of law of a client's case
n. a condensed written summary or abstract
v. give essential information to someone
s. of short duration or distance"
mathematical,"a. of or pertaining to or of the nature of mathematics
s. beyond question
s. statistically possible though highly improbable
s. characterized by the exactness or precision of mathematics"
halve,v. divide by two; divide into halves
tend,"v. have a tendency or disposition to do or be something; be inclined
v. have care of or look after
v. manage or run"
in the form of,none
precise,a. sharply exact or accurate or delimited
qualitative,"a. involving distinctions based on qualities
a. relating to or involving comparisons based on qualities"
grasp,v. hold firmly
concept,n. an abstract or general idea inferred or derived from specific instances
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
convey,"v. make known; pass on, of information
v. transfer to another
v. transmit a title or property"
diagram,"n. a drawing intended to explain how something works; a drawing showing the relation between the parts
v. make a schematic or technical drawing of that shows interactions among variables or how something is constructed"
framework,"n. the underlying structure
n. a structure supporting or containing something"
molecular,"a. relating to or produced by or consisting of molecules
a. relating to simple or elementary organization"
transistor,n. a semiconductor device capable of amplification
put across,none
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
truly,r. in accordance with truth or fact or reality
magic,n. any art that invokes supernatural powers
fit into,none
producer,"n. someone who finds financing for and supervises the making and presentation of a show (play or film or program or similar work)
n. something that produces"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
educate,"v. give an education to
v. teach or refine to be discriminative in taste or judgment"
entertain,"v. provide entertainment for
v. take into consideration, have in view"
hence,"r. from this place
r. from this time"
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
deadline,n. the point in time at which something must be completed
headline,"n. the heading or caption of a newspaper article
v. publicize widely or highly, as if with a headline
v. provide (a newspaper page or a story) with a headline"
immediately,"r. without delay or hesitation; with no time intervening
r. near or close by
r. bearing an immediate relation"
victim,"n. an unfortunate person who suffers from some adverse circumstance
n. a person who is tricked or swindled"
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
step by step,s one thing at a time
outcome,"n something that results
n a phenomenon that follows and is caused by some previous phenomenon"
result in,none
gradual,"n. (Roman Catholic Church) an antiphon (usually from the Book of Psalms) immediately after the epistle at Mass
a. proceeding in small stages
a. (of a topographical gradient) not steep or abrupt"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
conclusion,"n. an intuitive assumption
n. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)
n. a final settlement
n. the last section of a communication"
propose,"v. make a proposal, declare a plan for something
v. ask (someone) to marry you"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
compare with,none
evaluate,v. form a critical opinion of
quiet work,none
characterize,v. be characteristic of
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
submit,"v. refer for judgment or consideration
v. put before
v. yield to the control of another
v. yield to another's wish or opinion"
publish,"v. prepare and issue for public distribution or sale
v. have (one's written work) issued for publication"
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
press release,none
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
wear down,none
organic,"n. a fertilizer that is derived from animal or vegetable matter
a. relating or belonging to the class of chemical compounds having a carbon basis
a. being or relating to or derived from or having properties characteristic of living organisms
a. involving or affecting physiology or bodily organs"
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
reverse,"n. a relation of direct opposition
n. the gears by which the motion of a machine can be reversed
n. an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
n. the side of a coin or medal that does not bear the principal design"
somehow,"r. in some unspecified way or manner; or by some unspecified means
r. for some unspecified reason;"
driveway,n. a road leading up to a private house
mow,v. cut with a blade or mower
lawn,n. a field of cultivated and mowed grass
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
turn away,none
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
work out,n the activity of exerting your muscles in various ways to keep fit
weekly,"n. a periodical that is published every week (or 52 issues per year)
s. of or occurring every seven days"
