anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
starlet,"n. a young (film) actress who is publicized as a future star
n. a small star"
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
toss,"n. an abrupt movement
v. agitate"
typecast,v. cast repeatedly in the same kind of role
tyrant,"n. a cruel and oppressive dictator
n. in ancient Greece, a ruler who had seized power without legal right to it
n. any person who exercises power in a cruel way"
unscrupulous,a. without scruples or principles
whatsoever,s one or some or every or all without specification
yacht,"n. an expensive vessel propelled by sail or power and used for cruising or racing
v. travel in a yacht"
hold on a tight rein,none
in vain,none
interfere in,none
motion picture,none
agile,"s. moving quickly and lightly
s. mentally quick"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
binding,"n. the capacity to attract and hold something
n. strip sewn over or along an edge for reinforcement or decoration
n. the protective covering on the front, back, and spine of a book
s. executed with proper legal authority"
bungalow,n. a small house with a single story
curl,"n. American chemist who with Richard Smalley and Harold Kroto discovered fullerenes and opened a new branch of chemistry (born in 1933)
v. form a curl, curve, or kink
v. twist or roll into coils or ringlets
v. play the Scottish game of curling"
dazed,"s. in a state of mental numbness especially as resulting from shock
s. stunned or confused and slow to react (as from blows or drunkenness or exhaustion)"
descend,"v. move downward and lower, but not necessarily all the way"
desperate,"n. a person who is frightened and in need of help
s. desperately determined
s. (of persons) dangerously reckless or violent as from urgency or despair
s. showing extreme courage; especially of actions courageously undertaken in desperation as a last resort"
despise,v look down on with disdain
earthen,a. made of earth (or baked clay)
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
faded,"v become less clearly visible or distinguishable; disappear gradually or seemingly
v lose freshness, vigor, or vitality
v disappear gradually
v become feeble
s having lost freshness or brilliance of color
s reduced in strength"
grub,"n. a soft thick wormlike larva of certain beetles and other insects
v. search about busily"
gruffness,n. a throaty harshness
heed,v. pay close attention to; give heed to
heritage,n. practices that are handed down from the past by tradition
household,n a social unit living together
hypocrisy,"n. an expression of agreement that is not supported by real conviction
n. insincerity by virtue of pretending to have qualities or beliefs that you do not really have"
immense,s unusually great in size or amount or degree or especially extent or scope
indecision,n. doubt concerning two or more possible alternatives or courses of action
indefatigable,s. showing sustained enthusiastic action with unflagging vitality
inestimable,s beyond calculation or measure
isolate,"v. place or set apart
v. obtain in pure form
v. separate (experiences) from the emotions relating to them"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
martyr,"n. one who suffers for the sake of principle
n. one who voluntarily suffers death as the penalty for refusing to renounce their religion
v. kill as a martyr
v. torture and torment like a martyr"
mission,"n. an organization of missionaries in a foreign land sent to carry on religious work
n. an operation that is assigned by a higher headquarters
n. a special assignment that is given to a person or group
n. the organized work of a religious missionary"
mouth,"n. the opening through which food is taken in and vocalizations emerge
n. the externally visible part of the oral cavity on the face and the system of organs surrounding the opening
n. an opening that resembles a mouth (as of a cave or a gorge)
n. the point where a stream issues into a larger body of water"
muddy,"v. dirty with mud
v. cause to become muddy
v. make turbid"
obligation,"n. the state of being obligated to do or pay something
n. a personal relation in which one is indebted for a service or favor
n. a legal agreement specifying a payment or action and the penalty for failure to comply"
pantry,n. a small storeroom for storing foods or wines
peanut,"n. underground pod of the peanut vine
n. widely cultivated American plant cultivated in tropical and warm regions; showy yellow flowers on stalks that bend over to the soil so that seed pods ripen underground
n. a young child who is small for his age
n. pod of the peanut vine containing usually 2 nuts or seeds; `groundnut' and `monkey nut' are British terms"
perch,"n. support consisting of a branch or rod that serves as a resting place (especially for a bird)
n. a linear measure of 16.5 feet
n. a square rod of land
n. an elevated place serving as a seat"
peril,"n a source of danger; a possibility of incurring loss or misfortune
n a state of danger involving risk
n a venture undertaken without regard to possible loss or injury
v pose a threat to; present a danger to
v put in a dangerous, disadvantageous, or difficult position"
pious,a. having or showing or expressing reverence for a deity
render,"n. a substance similar to stucco but exclusively applied to masonry walls
v. cause to become
v. give or supply
v. pass down"
rouse,"v become active
v force or drive out
v cause to be agitated, excited, or roused
v cause to become awake or conscious"
sentimental,s. given to or marked by sentiment or sentimentality
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
sinister,s. on or starting from the wearer's left
solitary,"n confinement of a prisoner in isolation from other prisoners
n one who lives in solitude
s characterized by or preferring solitude
s of plants and animals; not growing or living in groups or colonies
s lacking companions or companionship
s being the only one; single and isolated from others
s devoid of creatures"
somber,s. grave or even gloomy in character
splash,"n. the sound like water splashing
n. a patch of bright color
n. the act of scattering water about haphazardly
v. mark or overlay with patches of contrasting color or texture; cause to appear splashed or spattered"
stool,"n. a simple seat without a back or arms
n. (forestry) the stump of a tree that has been felled or headed for the production of saplings
v. lure with a stool, as of wild fowl
v. react to a decoy, of wildfowl"
stream,"n. a natural body of running water flowing on or under the earth
n. dominant course (suggestive of running water) of successive events or ideas
n. something that resembles a flowing stream in moving continuously
v. to extend, wave or float outward, as if in the wind"
thresh,"v move or stir about violently
v move like a flail; thresh about
v beat the seeds out of a grain
v give a thrashing to; beat hard"
treacherous,s. dangerously unstable and unpredictable
unctuous,s unpleasantly and excessively suave or ingratiating in manner or speech
undiluted,a. not diluted
vendor,n someone who promotes or exchanges goods or services for money
veranda,n. a porch along the outside of a building (sometimes partly enclosed)
voracious,"s excessively greedy and grasping
s devouring or craving food in great quantities"
wretched,"s of very poor quality or condition
s characterized by physical misery
s very unhappy; full of misery
s morally reprehensible
s deserving or inciting pity"
zest,v. add herbs or spices to
make off,none
altar,"n. the table in Christian churches where communion is given
n. a raised structure on which gifts or sacrifices to a god are made"
braid,"n. a hairdo formed by braiding or twisting the hair
n. trimming used to decorate clothes or curtains
v. make by braiding or interlacing
v. decorate with braids or ribbons"
congregation,"n. a group of people who adhere to a common faith and habitually attend a given church
n. an assemblage of people or animals or things collected together
n. the act of congregating"
deacon,"n. a Protestant layman who assists the minister
n. a cleric ranking just below a priest in Christian churches; one of the Holy Orders"
dire,"s fraught with extreme danger; nearly hopeless
s causing fear or dread or terror"
ecstatic,s. feeling great rapture or delight
escort,"n. the act of accompanying someone or something in order to protect them
n. an attendant who is employed to accompany someone
v. accompany as an escort"
fold,"n. an angular or rounded shape made by folding
n. a geological process that causes a bend in a stratum of rock
n. a folded part (as in skin or muscle)
n. a pen for sheep"
grin,"v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
hardened,"a. protected against attack (especially by nuclear weapons)
s. converted to solid form (as concrete)"
hushed,s. in a softened tone
jet-black,s of the blackest black; similar to the color of jet or coal
knickerbockered,past tense of knickerbocker
lower,"v. move something or somebody to a lower position
v. set lower
v. cause to drop or sink"
membership,"n. the body of members of an organization or group
n. the state of being a member"
mighty,"s. having or showing great strength or force or intensity
r. (Southern regional intensive) very; to a great degree"
moan,"n an utterance expressing pain or disapproval
v indicate pain, discomfort, or displeasure"
mourner,n. a person who is feeling grief (as grieving over someone who has died)
preach,"v. deliver a sermon
v. speak, plead, or argue in favor of"
punctuate,"v. insert punctuation marks into
v. interrupt periodically"
rejoicing,n. a feeling of great happiness
revival,"n. bringing again into activity and prominence
n. an evangelistic meeting intended to reawaken interest in religion"
rhythmical,a. recurring with measured regularity
rounder,n. a tool for rounding corners or edges
salvation,"n. a means of preserving from harm or unpleasantness
n. the state of being saved or preserved from harm
n. saving someone or something from harm or from an unpleasant situation"
serenely,r. in a peacefully serene manner
sin,"n. estrangement from god
n. an act that is regarded by theologians as a transgression of God's will
n. (Akkadian) god of the Moon; counterpart of Sumerian Nanna
n. the 21st letter of the Hebrew alphabet"
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
sob,"n. convulsive gasp made while weeping
v. weep convulsively"
swirl,"n the shape of something rotating rapidly
v turn in a twisting or spinning motion
v flow in a circular current, of liquids"
wail,v. cry weakly or softly
work-gnarled,none
be left out in the cold,none
break into,none
by leaps and bounds,none
hold out,"n. a negotiator who hopes to gain concessions by refusing to come to terms
n. a refusal by a negotiator to come to terms in the hope of obtaining a better deal
n. the act of hiding playing cards in a gambling game so they are available for personal use later"
hold up,"n robbery at gunpoint
n the act of delaying; inactivity resulting in something being put off until a later time"
quiet down,none
take sb.'s name in vain,none
babe,"n a very young child (birth to 1 year) who has not yet begun to walk or talk
n (slang) sometimes used as a term of address for attractive young women"
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
chick,n. young bird especially of domestic fowl
commonplace,"s. completely ordinary and unremarkable
s. not challenging; dull and lacking excitement"
connotation,n. an idea that is implied or suggested
denote,"v. be a sign or indication of
v. have as a meaning"
destruction,"n. the termination of something by causing so much damage to it that it cannot be repaired or no longer exists
n. an event (or the result of an event) that completely destroys something"
discerning,"a. having or revealing keen insight and good judgment
s. unobtrusively perceptive and sympathetic
s. able to make or detect effects of great subtlety; sensitive"
disparity,n. inequality or difference in some respect
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
encode,v. convert information into code
endow,"v. give qualities or abilities to
v. furnish with an endowment"
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
exalted,s. of high moral or intellectual value; elevated in nature or style
feminine,"n. a gender that refers chiefly (but not exclusively) to females or to objects classified as female
a. associated with women and not with men
a. of grammatical gender
s. (music or poetry) ending on an unaccented beat or syllable"
gender,n. a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness
genealogy,"n. successive generations of kin
n. the study or investigation of ancestry and family history"
genetics,n. the branch of biology that studies heredity and variation in organisms
grace,"n. (Christian theology) a state of sanctification by God; the state of one who is under such divine influence
n. elegance and beauty of movement or expression
n. a disposition to kindness and compassion
n. (Greek mythology) one of three sisters who were the givers of beauty and charm; a favorite subject for sculptors"
harbor,"n. a place of refuge and comfort and security
v. maintain (a theory, thoughts, or feelings)
v. secretly shelter (as of fugitives or criminals)"
ill-tempered,s annoyed and irritable
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
inherently,r. in an inherent manner
internally,r. on or from the inside
linguistic,"a. consisting of or related to language
a. of or relating to the scientific study of language"
masculine,"n. a gender that refers chiefly (but not exclusively) to males or to objects classified as male
a. of grammatical gender
a. associated with men and not with women
s. (music or poetry) ending on an accented beat or syllable"
mechanism,"n. the atomic process that occurs during a chemical reaction
n. the technical aspects of doing something
n. a natural object resembling a machine in structure or function
n. (philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes"
nuance,n. a subtle difference in meaning or opinion or attitude
ombudsman,n. a government appointee who investigates complaints by private persons against the government
oriented,a. adjusted or located in relation to surroundings or circumstances; sometimes used in combination
perpetuate,v. cause to continue or prevail
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
qualify,"v. prove capable or fit; meet requirements
v. pronounce fit or able
v. make more specific
v. make fit or prepared"
scoff,v. treat with contemptuous disregard
scolding,"n rebuking a person harshly
v censure severely or angrily
v show one's unhappiness or critical attitude"
shrew,"n. a scolding nagging bad-tempered woman
n. small mouselike mammal with a long snout; related to moles"
shrewd,"s marked by practical hardheaded intelligence
s used of persons"
subservience,"n. the condition of being something that is useful in reaching an end or carrying out a plan
n. in a subservient state"
supremacy,n power to dominate or defeat
tomboy,n. a girl who behaves in a boyish manner
unmerited,"a. not merited or deserved
s. not merited"
virginity,n. the condition or quality of being a virgin
vicious,"s (of persons or their actions) able or disposed to inflict pain or suffering
s having the nature of vice
s bringing or deserving severe rebuke or censure
s marked by deep ill will; deliberately harmful"
wed,s. having been taken in marriage
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
identify sb. with,none
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
accolade,n a tangible symbol signifying approval or distinction
addiction,"n. being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n. an abnormally strong craving
n. (Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor); a surrender to a master"
alter,"v. make an alteration to
v. remove the ovaries of"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
blues,"n. a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes
n. a state of depression"
clarity,n. free from obscurity and easy to understand; the comprehensibility of clear expression
clinical,"a. relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
s. scientifically detached; unemotional"
clutter,"n. a confused multitude of things
n. unwanted echoes that interfere with the observation of signals on a radar screen
v. fill a space in a disorderly way"
deception,n. the act of deceiving
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
diabetes,n. a polygenic disease characterized by abnormally high glucose levels in the blood; any of several metabolic disorders marked by excessive urination and persistent thirst
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
drift,"n. a force that moves something along
n. the gradual departure from an intended course due to external influences (as a ship or plane)
n. a process of linguistic change over a period of time
n. a large mass of material that is heaped up by the wind or by water currents"
hallway,n. an interior passage or corridor onto which rooms open
heartbreaking,s causing or marked by grief or anguish
junk,n. any of various Chinese boats with a high poop and lugsails
juvenile,"n. a young person, not fully developed
a. of or relating to or characteristic of or appropriate for children or young people"
melancholic,n. someone subject to melancholia
milky,s. resembling milk in color not clear
misplace,"v. place (something) where one cannot find it again
v. place or position wrongly; put in the wrong position"
nightmare,"n. a situation resembling a terrifying dream
n. a terrifying or deeply upsetting dream"
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
psychiatric,a. relating to or used in or engaged in the practice of psychiatry
remedy,"n. a medicine or therapy that cures disease or relieve pain
v. provide relief for"
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
reveal,v. disclose directly or through prophets
rummage,"n. a jumble of things to be given away
v. search haphazardly"
seep,v. pass gradually or leak through or as if through small openings
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
strenuous,s. characterized by or performed with much energy or force
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
strip,"n. a relatively long narrow piece of something
n. artifact consisting of a narrow flat piece of material
n. thin piece of wood or metal
n. a form of erotic entertainment in which a dancer gradually undresses to music"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
uncaring,"s lacking affection or warm feeling
s without care or thought for others; `Let them eat cake'"""
vision,"n. a vivid mental image
n. the perceptual experience of seeing
n. a religious or mystical experience of a supernatural appearance"
voluntarily,r. out of your own free will
keep up appearances,none
settle upon,none
accompany,v. go or travel along with
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
body,"n. the entire structure of an organism (an animal, plant, or human being)
n. a group of persons associated by some common tie or occupation and regarded as an entity
n. a natural object consisting of a dead animal or person
n. an individual 3-dimensional object that has mass and that is distinguishable from other objects"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
competence,n. the quality of being adequately or well qualified physically and intellectually
contact,"n. close interaction
n. the act of touching physically
n. the state or condition of touching or of being in immediate proximity
n. the physical coming together of two or more things"
cultivated,"a. (of land or fields) prepared for raising crops by plowing or fertilizing
s. no longer in the natural state; developed by human care and for human use"
diction,"n the articulation of speech regarded from the point of view of its intelligibility to the audience
n the manner in which something is expressed in words"
discipline,"n. a branch of knowledge
n. a system of rules of conduct or method of practice; 
n. the trait of being well behaved
n. training to improve strength or self-control"
efficiency,"n. the ratio of the output to the input of any system
n. skillfulness in avoiding wasted time and effort"
endeavor,v. attempt by employing effort
inconsiderable,a. too small or unimportant to merit attention
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
institution,"n. an organization founded and united for a specific purpose
n. an establishment consisting of a building or complex of buildings where an organization for the promotion of some cause is situated
n. a custom that for a long time has been an important feature of some group or society"
outstanding,"s. distinguished from others in excellence
s. having a quality that thrusts itself into attention
s. owed as a debt"
philosopher,"n. a specialist in philosophy
n. a wise person who is calm and rational; someone who lives a life of reason with equanimity"
precision,n the quality of being reproducible in amount or performance
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
refined,"a. (used of persons and their behavior) cultivated and genteel
a. freed from impurities by processing"
scholarship,n. financial aid provided to a student on the basis of academic merit
slovenliness,n. habitual uncleanliness
superficial,"a. concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
a. of, affecting, or being on or near the surface
s. of little substance or significance"
trait,n. a distinguishing feature of your personal nature
unconscious,"a. not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead
s. without conscious volition
s. (followed by `of') not knowing or perceiving"
variously,r. in diverse ways
visionary,"n. a person given to fanciful speculations and enthusiasms with little regard for what is actually possible
n. a person with unusual powers of foresight"
vulgarity,n the quality of lacking taste and refinement
after all,none
in letters,none
stand out,none
settle down to,none
