a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
academy,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge"
accelerate,"v. move faster
v. cause to move faster"
accent,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
accept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
accident,"n. an unfortunate mishap; especially one causing damage or injury
n. anything that happens suddenly or by chance without an apparent cause"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accommodation,"n. a settlement of differences
n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
n. living quarters provided for public convenience
n. the act of providing something (lodging or seat or food) to meet a need"
accompany,v. go or travel along with
accomplish,"v put in effect
v to gain with effort"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
accountant,n. someone who maintains and audits business accounts
accumulate,v. collect or gather
accuracy,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
accuse,v. bring an accusation against; level a charge against
accustomed,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual"
ache,"n. a dull persistent (usually moderately intense) pain
v. have a desire for something or someone who is not present
v. be the source of pain"
achieve,v. to gain with effort
achievement,n the action of accomplishing something
acid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
acre,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean"
across,"r. to the opposite side
r. transversely"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
action,"n. something done (usually as opposed to something said)
n. the state of being active
n. the series of events that form a plot
n. the trait of being active and energetic and forceful"
active,"n. a person who is a participating member of an organization
a. tending to become more severe or wider in scope
s. engaged in or ready for military or naval operations
a. disposed to take action or effectuate change"
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
actor,"n. a theatrical performer
n. a person who acts and gets things done"
actress,n. a female actor
actual,"a. presently existing in fact and not merely potential or possible
s. taking place in reality; not pretended or imitated
s. being or reflecting the essential or genuine character of something
s. existing in act or fact"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
ad,"n. a public promotion of some product or service
r. in the Christian era; used before dates after the supposed year Christ was born"
AD,"n. a public promotion of some product or service
r. in the Christian era; used before dates after the supposed year Christ was born"
adapt,"v. make fit for, or change to suit a new purpose"
adaptation,"n. a written work (as a novel) that has been recast in a new form
n. the process of adapting to something (such as environmental conditions)
n. (physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)"
add,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
addicted,a. compulsively or physiologically dependent on something habit-forming
addictive,a. causing or characterized by addiction
addition,"n. a component that is added to something to improve it
n. the act of adding one thing to another
n. a quantity that is added
n. a suburban area laid out in streets and lots for a future residential area"
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
adjustment,"n. making or becoming suitable; adjusting to circumstances
n. the act of adjusting something to match a standard"
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
admire,"v. feel admiration for
v. look at with admiration"
admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
adolescence,"n. the time period between the beginning of puberty and adulthood
n. in the state that someone is in between puberty and adulthood"
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
adore,v. love intensely
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
advanced,"s. farther along in physical or mental development
s. comparatively late in a course of development
s. ahead of the times
s. at a higher level in training or knowledge or skill"
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
adventure,n. a wild and exciting undertaking (not necessarily lawful)
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
advertisement,n a public promotion of some product or service
advice,n. a proposal for an appropriate course of action
advise,v. inform (somebody) of something
adviser,n. an expert who gives advice
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
affection,n. a positive feeling of liking
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
afraid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness"
Africa,n. the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
African,"n. a native or inhabitant of Africa
a. of or relating to the nations of Africa or their peoples"
after,"s. located farther aft
r. behind or in the rear"
afternoon,n. the part of the day between noon and evening
afterward,r happening at a time subsequent to a reference time
afterwards,r happening at a time subsequent to a reference time
again,r. anew
against,"prep. Abreast; opposite to; facing; towards; as, against the
   mouth of a river; -- in this sense often preceded by over.
prep. From an opposite direction so as to strike or come in
   contact with; in contact with; upon; as, hail beats against the roof.
prep. In opposition to, whether the opposition is of
   sentiment or of action; on the other side; counter to; in contrariety
   to; hence, adverse to; as, against reason; against law; to run a race
   against time.
prep. By of before the time that; in preparation for; so as
   to be ready for the time when."
age,"n. how long something has existed
n. a time of life (usually defined in years) at which some particular qualification or power arises
v. begin to seem older; get older
v. make older"
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
ago,"s. gone by; or in the past
r. in the past"
agree,"v. be in accord; be in agreement
v. consent or assent to a condition, or agree to do something
v. show grammatical agreement
v. be agreeable or suitable"
agreement,"n. the statement (oral or written) of an exchange of promises
n. compatibility of observations
n. harmony of people's opinions or actions or characters
n. the thing arranged or agreed to"
agricultural,a. relating to or used in or promoting agriculture or farming
agriculture,n. the class of people engaged in growing food
ahead,"s. having the leading position or higher score in a contest
r. at or in the front
r. toward the future; forward in time
r. in a forward direction"
aid,"n. a resource
n. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n. money to support a worthy person or cause"
AIDS,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
air,"n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
n. the region above the ground
n. a distinctive but intangible quality surrounding a person or thing
n. once thought to be one of four elements composing the universe (Empedocles)"
aircraft,n. a vehicle that can fly
airline,"n. a hose that carries air under pressure
n. a commercial enterprise that provides scheduled flights for passengers"
airmail,"n. letters and packages that are transported by aircraft
n. a system of conveying mail by aircraft
v. send or transport by airmail"
airplane,n. an aircraft that has a fixed wing and is powered by propellers or jets
airport,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
airspace,"n. the space in the atmosphere immediately above the earth
n. the atmosphere above a nation that is deemed to be under its jurisdiction"
alarm,"n. fear resulting from the awareness of danger
n. a device that signals the occurrence of some undesirable event
n. an automatic signal (usually a sound) warning of danger
v. warn or arouse to a sense of danger or call to a state of preparedness"
album,"n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
n. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc"
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
alcoholic,"n. a person who drinks alcohol to excess habitually
a. characteristic of or containing alcohol
s. addicted to alcohol"
algebra,n. the mathematics of generalized arithmetical operations
alike,"a. having the same or similar characteristics
r. equally
r. in a like manner"
alive,"a. possessing life
s. (often followed by `with') full of life and spirit
s. (followed by `to' or `of') aware of
s. capable of erupting"
all,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by"
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
alley,n. a narrow street with walls on both sides
allocate,v. distribute according to a plan or set apart for a special purpose
allow,"v. let have
v. give or assign a resource to a particular person or cause
v. allow or plan for a certain possibility; concede the truth or validity of something
v. grant as a discount or in exchange"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
almost,r (of actions or states) slightly short of or not quite accomplished; all but
alone,"s. isolated from others
s. lacking companions or companionship
s. exclusive of anyone or anything else
s. radically distinctive and without equal"
along,"r. with a forward motion
r. in accompaniment or as a companion
r. to a more advanced state
r. in addition (usually followed by `with')"
alongside,r side by side
aloud,r. using the voice; not silently
alphabet,n. a character set that includes letters and is used to write a language
already,r. prior to a specified or implied time
also,r in addition
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
although,"conj. Grant all this; be it that; supposing that;
   notwithstanding; though."
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
altogether,r. with everything included or counted
aluminum,n. a silvery ductile metallic element found primarily in bauxite
aluminium,n a silvery ductile metallic element found primarily in bauxite
always,"r. at all times; all the time and on every occasion
r. at any time or in any event
r. forever; throughout all time"
am,"n a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms
n a master's degree in arts and sciences
n modulation of the amplitude of the (radio) carrier wave
v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
am,"n a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms
n a master's degree in arts and sciences
n modulation of the amplitude of the (radio) carrier wave
v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
a.m.,"s before noon
r before noon"
A.M.,"s before noon
r before noon"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
amaze,v. affect with wonder
amazing,"s. surprising greatly
s. inspiring awe or admiration or wonder"
ambassador,"n. a diplomat of the highest rank; accredited as representative from one country to another
n. an informal representative"
ambassadress,n. a woman ambassador
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
ambulance,n. a vehicle that takes people to and from hospitals
America,n. North America and South America and Central America
American,"n. a native or inhabitant of the United States
n. a native or inhabitant of a North American or Central American or South American country
a. of or relating to the United States of America or its people or language or culture"
among,prep. Alt. of Amongst
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
amusement,n. a feeling of delight at being entertained
analyse,"v consider in detail and subject to an analysis in order to discover essential features or meaning
v break down into components or essential features
v make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v subject to psychoanalytic treatment"
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
analysis,"n. an investigation of the component parts of a whole and their relations in making up the whole
n. the abstract separation of a whole into its constituent parts in order to study the parts and their relations
n. a form of literary criticism in which the structure of a piece of writing is analyzed
n. the use of closed-class words instead of inflections: e.g., `the father of the bride' instead of `the bride's father'"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
anchor,"n. a mechanical device that prevents a vessel from moving
n. a central cohesive source of support and stability
n. a television reporter who coordinates a broadcast to which several correspondents contribute
v. fix firmly and stably"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
anecdote,n. short account of an incident (especially a biographical one)
anger,"n. a strong emotion; a feeling that is oriented toward some real or supposed grievance
n. the state of being angry
v. make angry
v. become angry"
angle,"n. the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
n. a member of a Germanic people who conquered England and merged with the Saxons and Jutes to become Anglo-Saxons
v. move or proceed at an angle
v. fish with a hook"
angry,"a. feeling or showing anger
s. (of the elements) as if showing violent anger
s. severely inflamed and painful"
animal,"n. a living organism characterized by voluntary movement
s. marked by the appetites and passions of the body"
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
annoy,"v. cause annoyance in; disturb, especially by minor irritations"
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
another,s. any of various alternatives; some other
answer,"n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
n. the speech act of replying to a question
n. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims
n. a nonverbal reaction"
ant,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
Antarctic,n. the region around the south pole: Antarctica and surrounding waters
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
anxious,"s. eagerly desirous
s. causing or fraught with or showing anxiety"
any,"s. one or some or every or all without specification
r. to any degree or extent"
anyhow,"r. used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r. in any way whatsoever"
anyone,"n. One taken at random rather than by selection; anybody.
   [Commonly written as two words.]"
anybody,"n. Any one out of an indefinite number of persons; anyone;
   any person.
n. A person of consideration or standing."
anything,"n. Any object, act, state, event, or fact whatever; thing of
   any kind; something or other; aught; as, I would not do it for
   anything.
n. Expressing an indefinite comparison; -- with as or like.
adv. In any measure; anywise; at all."
anyway,"r used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""
r in any way whatsoever"
anywhere,r. at or in or to any place; (`anyplace' is used informally for `anywhere')
apart,"s. remote and separate physically or socially
s. having characteristics not shared by others
r. separated or at a distance in place or position or time
r. not taken into account or excluded from consideration"
apartment,n. a suite of rooms usually on one floor of an apartment house
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
apology,"n. an expression of regret at having caused trouble for someone
n. a formal written defense of something you believe in strongly
n. a poor example"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
appear,"v. come into sight or view
v. be issued or published
v. seem to be true, probable, or apparent
v. come into being or existence, or appear on the scene"
appearance,"n. outward or visible aspect of a person or thing
n. the event of coming into sight
n. formal attendance (in court or at a hearing) of a party in an action
n. a mental representation"
appendix,"n. supplementary material that is collected and appended at the back of a book
n. a vestigial process that extends from the lower end of the cecum and that resembles a small pouch"
appetite,n. a feeling of craving something
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
apple,"n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
applicant,n. a person who requests or seeks something such as assistance or employment or admission
application,"n. the act of bringing something to bear; using it for a particular purpose
n. a verbal or written request for assistance or employment or admission to a school
n. the work of applying something; 
n. a program that gives a computer instructions that provide the user with tools to accomplish a task"
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
appointment,"n. the act of putting a person into a non-elective position
n. (usually plural) furnishings and equipment (especially for a ship or hotel)
n. the job to which you are (or hope to be) appointed
n. (law) the act of disposing of property by virtue of the power of appointment"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
appreciation,"n. understanding of the nature or meaning or quality or magnitude of something
n. an expression of gratitude
n. an increase in price or value"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
approval,"n. a feeling of liking something or someone good
n. acceptance as satisfactory
n. a message expressing a favorable opinion"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
approximately,r. (of quantities) imprecise but fairly close to correct
April,n. the month following March and preceding May
apron,"n. a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
n. (golf) the part of the fairway leading onto the green
n. a paved surface where aircraft stand while not being used"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
architect,n. someone who creates plans to be used in making something (such as buildings)
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
Arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
are,n. a unit of surface area equal to 100 square meters
area,"n. a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
n. a subject of study
n. a part of an animal that has a special function or is supplied by a given artery or nerve
n. a part of a structure having some specific characteristic or function"
argue,"v. present reasons and arguments
v. have an argument about something
v. give evidence of"
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
arise,"v. originate or come into being
v. rise to one's feet
v. result or issue"
arithmetic,n. the branch of pure mathematics dealing with the theory of numerical calculations
arm,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation"
arm,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation"
armchair,n. chair with a support on each side for arms
army,"n. a permanent organization of the military land forces of a nation or state
n. a large number of people united for some specific purpose"
around,"r. by a circular or circuitous route
r. in a circle or circular motion
r. to a particular destination either specified or understood
r. in circumference"
arrange,"v. put into a proper or systematic order
v. make arrangements for
v. adapt for performance in a different way
v. arrange thoughts, ideas, temporal events"
arrangement,"n. an orderly grouping (of things or persons) considered as a unit; the result of arranging
n. an organized structure for arranging or classifying
n. the act of arranging and adapting a piece of music"
arrest,n. the state of inactivity following an interruption
arrival,"n. accomplishment of an objective
n. the act of arriving at a certain place
n. someone who arrives (or has arrived)"
arrive,"v. reach a destination; arrive by movement or progress
v. succeed in a big way; get to the top"
arrow,"n. a mark to indicate a direction or relation
n. a projectile with a straight thin shaft and an arrowhead on one end and stabilizing vanes on the other; intended to be shot from a bow"
art,"n. the products of human creativity; works of art collectively
n. the creation of beautiful or significant things
n. a superior skill that you can learn by study and practice and observation"
article,"n. nonfictional prose forming an independent part of a publication
n. one of a class of artifacts
n. a separate section of a legal document (as a statute or contract or will)
n. (grammar) a determiner that may indicate the specificity of reference of a noun phrase"
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
artist,n. a person whose creative work shows sensitivity and imagination
as,"n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
n a United States territory on the eastern part of the island of Samoa
n a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
n any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
n one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
n (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
n the basic unit of electric current adopted under the Systeme International d'Unites
n the 1st letter of the Roman alphabet
n the blood group whose red cells carry the A antigen
r to the same degree (often followed by `as')"
ash,"n. the residue that remains when something is burned
n. any of various deciduous pinnate-leaved ornamental or timber trees of the genus Fraxinus
n. strong elastic wood of any of various ash trees; used for furniture and tool handles and sporting goods such as baseball bats
v. convert into ashes"
ashamed,a. feeling shame or guilt or embarrassment or remorse
Asia,"n. the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations
n. the nations of the Asian continent collectively"
Asian,"n. a native or inhabitant of Asia
a. of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture"
