abide,"v dwell
v put up with something or somebody unpleasant"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
academy,"n. a secondary school (usually private)
n. an institution for the advancement of art or science or literature
n. a school for special training
n. a learned establishment for the advancement of knowledge"
accent,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
accept,"v. consider or hold as true
v. receive willingly something given or offered
v. give an affirmative reply to; respond favorably to
v. react favorably to; consider right and proper"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
succeed,"v. attain success or reach a desired goal
v. be the successor (of)"
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
excess,"n. a quantity much larger than is needed
n. immoderation as a consequence of going beyond sufficient or permitted limits
s. more than is needed, desired, or required"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
unprecedented,a. having no precedent; novel
procession,n. the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
predecessor,n. one who precedes you in time (as in holding a position or office)
recede,v. become faint or more distant
ascend,"v. travel up, ""We ascended the mountain""
v. go back in order of genealogical succession
v. become king or queen
v. appear to be moving upward, as by means of tendrils"
descend,"v. move downward and lower, but not necessarily all the way"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
accelerate,"v. move faster
v. cause to move faster"
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accomplish,"v put in effect
v to gain with effort"
accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
accordingly,r. in accordance with
care,"n. the work of providing treatment for or attending to someone or something
n. a cause for feeling concern
n. attention and management implying responsibility for safety
n. activity involved in maintaining something in good working order"
cordial,"s. politely warm and friendly
s. sincerely or intensely felt"
concern,"n. something that interests you because it is important or affects you
n. an anxious feeling
n. a feeling of sympathy for someone or something
n. something or someone that causes anxiety; a source of unhappiness"
concerning,"v be relevant to
v be on the mind of"
discern,v detect with the senses
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
encounter,n. a casual meeting with a person or thing
country,"n. the territory occupied by a nation
n. an area outside of cities and towns"
county,"n. (United Kingdom) a region created by territorial division for the purpose of local government
n. (United States) the largest administrative district within a state"
accumulate,v. collect or gather
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
accuse,v. bring an accusation against; level a charge against
accustom,v make psychologically or physically used (to something)
achieve,v. to gain with effort
acid,"n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
n. street name for lysergic acid diethylamide
s. having the characteristics of an acid"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
acquaint,v. inform
acquaintance,"n. personal knowledge or information about someone or something
n. a relationship less intimate than friendship
n. a person with whom you are acquainted"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
acre,"n. a unit of area (4840 square yards) used in English-speaking countries
n. a territory of western Brazil bordering on Bolivia and Peru
n. a town and port in northwestern Israel in the eastern Mediterranean"
across,"r. to the opposite side
r. transversely"
act,"n. a legal document codifying the result of deliberations of a committee or society or legislative body
n. something that people do or cause to happen
n. a subdivision of a play or opera or ballet
n. a short theatrical performance that is part of a longer program"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
adapt,"v. make fit for, or change to suit a new purpose"
adaptive,a. having a capacity for adaptation
additional,s further or added
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adjective,"n. a word that expresses an attribute of something
n. the word class that qualifies nouns
a. relating to court practice and procedure as opposed to the principles of law"
adjoin,v. attach or add
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
admire,"v. feel admiration for
v. look at with admiration"
adore,v. love intensely
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
advantageous,"a. giving an advantage
s. appropriate for achieving a particular end; implies a lack of concern for fairness"
adverb,"n. the word class that qualifies verbs or clauses
n. a word that modifies something other than a noun"
advisable,a. worthy of being recommended or suggested; prudent or wise
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
business,"n. a commercial or industrial enterprise and the people who constitute it
n. a rightful concern or responsibility
n. an immediate objective
n. the volume of commercial activity"
trifle,"n. a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate"
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
effect,"n. an impression (especially one that is artificial or contrived)
n. the central meaning or theme of a speech or literary work
n. (of a law) having legal validity
n. a symptom caused by an illness or a drug"
affection,n. a positive feeling of liking
defect,"n. an imperfection in a bodily system
n. a failing or deficiency
n. an imperfection in an object or machine
v. desert (a cause, a country or an army), often in order to join the opposing cause, country, or army"
shortcoming,n a failing or deficiency
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
efficient,a. being effective without wasting time or effort or expense
coefficient,n. a constant number that serves as a measure of some property or characteristic
sufficient,a. of a quantity that can fulfill a need or requirement but without being abundant
deficient,"s. inadequate in amount or degree
s. falling short of some prescribed norm"
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
afraid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness"
fraction,"n. a component of a mixture that has been separated by a fractional process
n. a small part or item forming a piece of a whole
n. the quotient of two rational numbers"
frame,"n. the framework for a pair of eyeglasses
n. a single one of a series of still transparent pictures forming a cinema, television or video film
n. a single drawing in a comic_strip
n. an application that divides the user's display into two or more windows that can be scrolled independently"
fragile,s. vulnerably delicate
frequent,"v. be a regular or frequent visitor to a certain place
a. coming at short intervals or habitually
s. frequently encountered;"
fridge,n a refrigerator in which the coolant is pumped around by an electric motor
frown,"n. a facial expression of dislike or displeasure
v. look angry or sullen, wrinkle one's forehead, as if to signal disapproval"
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
fragrance,"n a distinctive odor that is pleasant
n a pleasingly sweet olfactory property"
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
fright,"n an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
v cause fear in"
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
freight,"n. transporting goods commercially at rates cheaper than express rates
n. the charge for transporting something by common carrier
v. transport commercially as cargo
v. load with goods for transportation"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
frank,"n. a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
n. a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
v. exempt by means of an official pass or letter, as from customs or other checks
s. clearly manifest; evident"
friend,"n. a person you know well and regard with affection and trust
n. a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)"
fret,"n. agitation resulting from active worry
n. an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
n. a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch
v. be agitated or irritated"
fro,"adv. From; away; back or backward; -- now used only in opposition
   to the word to, in the phrase to and fro, that is, to and from. See To
   and fro under To.
prep. From."
against,"prep. Abreast; opposite to; facing; towards; as, against the
   mouth of a river; -- in this sense often preceded by over.
prep. From an opposite direction so as to strike or come in
   contact with; in contact with; upon; as, hail beats against the roof.
prep. In opposition to, whether the opposition is of
   sentiment or of action; on the other side; counter to; in contrariety
   to; hence, adverse to; as, against reason; against law; to run a race
   against time.
prep. By of before the time that; in preparation for; so as
   to be ready for the time when."
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
aggress,v take the initiative and go on the offensive
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agree,"v. be in accord; be in agreement
v. consent or assent to a condition, or agree to do something
v. show grammatical agreement
v. be agreeable or suitable"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
agriculture,n. the class of people engaged in growing food
alarm,"n. fear resulting from the awareness of danger
n. a device that signals the occurrence of some undesirable event
n. an automatic signal (usually a sound) warning of danger
v. warn or arouse to a sense of danger or call to a state of preparedness"
alcohol,"n. a liquor or brew containing alcohol as the active agent
n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
alienate,v. make withdrawn or isolated or emotionally dissociated
alike,"a. having the same or similar characteristics
r. equally
r. in a like manner"
all,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by"
allowance,"n. an amount allowed or granted (as during a given period)
n. a sum granted as reimbursement for expenses
n. an amount added or deducted on the basis of qualifying circumstances
n. a permissible difference; allowing some freedom to move within limits"
alloy,"n. a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
v. make an alloy of"
ally,"n. a friendly nation
n. an associate who provides cooperation or assistance
v. become an ally or associate, as by a treaty or marriage"
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
almost,r (of actions or states) slightly short of or not quite accomplished; all but
along,"r. with a forward motion
r. in accompaniment or as a companion
r. to a more advanced state
r. in addition (usually followed by `with')"
alphabet,n. a character set that includes letters and is used to write a language
alter,"v. make an alteration to
v. remove the ovaries of"
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
although,"conj. Grant all this; be it that; supposing that;
   notwithstanding; though."
altitude,"n. elevation especially above sea level or above the earth's surface
n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)"
aluminum,n. a silvery ductile metallic element found primarily in bauxite
sulfur,n. an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
oxide,n. any compound of oxygen with another element or a radical
carbon,"n. an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
n. a copy made with carbon paper"
hydrogen,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
hydrocarbon,n. an organic compound containing only carbon and hydrogen
hydrate,"n. any compound that contains water of crystallization
v. supply water or liquid to in order to maintain a healthy balance
v. become hydrated and combine with water"
nitrogen,n. a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas; constitutes 78 percent of the atmosphere by volume; a constituent of all living tissues
uranium,n. a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
silicon,n. a tetravalent nonmetallic element; next to oxygen it is the most abundant element in the earth's crust; occurs in clay and feldspar and granite and quartz and sand; used as a semiconductor in transistors
zinc,"n. a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende
v. coat or cover with zinc"
tin,"n. a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
n. a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking
v. plate with tin
v. prepare (a metal) for soldering or brazing by applying a thin layer of solder to the surface"
lead,"n. an advantage held by a competitor in a race
n. a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
n. evidence pointing to a possible solution
n. a position of leadership (especially in the phrase `take the lead')"
amaze,v. affect with wonder
ambassador,"n. a diplomat of the highest rank; accredited as representative from one country to another
n. an informal representative"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambition,"n. a cherished desire
n. a strong drive for success
v. have as one's ambition"
ambulance,n. a vehicle that takes people to and from hospitals
amount,"n. the relative magnitude of something with reference to a criterion
v. be tantamount or equivalent to"
amplify,v. increase the volume of
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
album,"n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
n. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc"
algebra,n. the mathematics of generalized arithmetical operations
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
align,"v. place in a line or arrange so as to be parallel or straight
v. be or come into adjustment with
v. align oneself with a group or a way of thinking
v. bring (components or parts) into proper or desirable coordination correlation"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
ambient,s. completely enveloping
Arctic,"n. the regions to the north of the Arctic Circle centered on the North Pole
n. a waterproof overshoe that protects shoes from water or snow
s. extremely cold"
ass,"n. a pompous fool
n. hardy and sure-footed animal smaller and with longer ears than the horse"
analog,"n something having the property of being analogous to something else
a of a circuit or device having an output that is proportional to the input"
analyze,"v. consider in detail and subject to an analysis in order to discover essential features or meaning
v. make a mathematical, chemical, or grammatical analysis of; break down into components or essential features
v. break down into components or essential features"
ancient,"n. a very old person
n. a person who lived in ancient times
s. belonging to times long past especially of the historical period before the fall of the Western Roman Empire
s. very old"
ankle,n. a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus
skull,n. the bony skeleton of the head of vertebrates
cheek,"n. either side of the face below the eyes
v. speak impudently to"
beard,"n. the hair growing on the lower part of a man's face
n. a tuft or growth of hairs or bristles on certain plants such as iris or grasses
n. a person who diverts suspicion from someone (especially a woman who accompanies a male homosexual in order to conceal his homosexuality)
n. hairy growth on or near the face of certain mammals"
lip,"n. either of two fleshy folds of tissue that surround the mouth and play a role in speaking
n. (botany) either of the two parts of a bilabiate corolla or calyx
n. either the outer margin or the inner margin of the aperture of a gastropod's shell"
tooth,"n. hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense
n. something resembling the tooth of an animal
n. toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell
n. a means of enforcement"
tongue,"n. a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
n. any long thin projection that is transient
n. a manner of speaking
n. the tongue of certain animals used as meat"
chin,"n. the protruding part of the lower jaw
v. raise oneself while hanging from one's hands until one's chin is level with the support bar"
skin,"n. a natural protective body covering and site of the sense of touch
n. an outer surface (usually thin)
n. a person's skin regarded as their life
n. a bag serving as a container for liquids; it is made from the hide of an animal"
arm,"n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
n. any projection that is thought to resemble a human arm
n. the part of an armchair or sofa that supports the elbow and forearm of a seated person
v. prepare oneself for a military confrontation"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
elbow,"n. hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
n. a sharp bend in a road or river
n. a length of pipe with a sharp bend in it
n. the part of a sleeve that covers the elbow joint"
wrist,n. a joint between the distal end of the radius and the proximal row of carpal bones
lung,n. either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
stomach,"n. an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
n. an inclination or liking for things involving conflict or difficulty or unpleasantness
n. an appetite for food
v. bear to eat"
liver,"n. large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
n. liver of an animal used as meat
n. a person who has a special life style
n. someone who lives in a place"
kidney,n. either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
spine,"n. a small sharp-pointed tip resembling a spike on a stem or leaf
n. the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved
n. a sharp rigid animal process or appendage; as a porcupine quill or a ridge on a bone or a ray of a fish fin"
waist,n. the narrowing of the body between the ribs and hips
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
thigh,n. the part of the leg between the hip and the knee
kneel,"n. supporting yourself on your knees
v. rest one's weight on one's knees"
toe,"n. one of the digits of the foot
n. the part of footwear that provides a covering for the toes
n. forepart of a hoof
n. (golf) the part of a clubhead farthest from the shaft"
heel,"n. the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
n. the back part of the human foot
n. one of the crusty ends of a loaf of bread
n. the lower end of a ship's mast"
wheel,"n. a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n. forces that provide energy and direction
n. a circular helm to control the rudder of a vessel
v. change directions as if revolving on a pivot"
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
antenna,"n. an electrical device that sends or receives radio or television signals
n. sensitivity similar to that of a receptor organ
n. one of a pair of mobile appendages on the head of e.g. insects and crustaceans; typically sensitive to touch and taste"
anthropology,n. the social science that studies the origins and social relationships of human beings
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
geology,n. a science that deals with the history of the earth as recorded in rocks
psychology,n. the science of mental life
physiology,"n. the branch of the biological sciences dealing with the functioning of organisms
n. processes and functions of an organism"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
anxious,"s. eagerly desirous
s. causing or fraught with or showing anxiety"
apparatus,"n. equipment designed to serve a specific function
n. (anatomy) a group of body parts that work together to perform a given function"
apparent,"s. clearly revealed to the mind or the senses or judgment
s. appearing as such but not necessarily so"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
appear,"v. come into sight or view
v. be issued or published
v. seem to be true, probable, or apparent
v. come into being or existence, or appear on the scene"
appendix,"n. supplementary material that is collected and appended at the back of a book
n. a vestigial process that extends from the lower end of the cecum and that resembles a small pouch"
depend,v. be contingent upon (something that is elided)
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
pendulum,n. an apparatus consisting of an object mounted so that it swings freely under the influence of gravity
suspend,"v. hang freely
v. cause to be held in suspension in a fluid
v. bar temporarily; from school, office, etc.
v. make inoperative or stop"
appetite,n. a feeling of craving something
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
apply,"v. be pertinent or relevant or applicable
v. ask (for something)
v. refer (a word or name) to a person or thing
v. apply oneself to"
appliance,"n. a device or control that is very useful for a particular job
n. durable goods for home or office use"
applicable,s. capable of being applied; having relevance
applicant,n. a person who requests or seeks something such as assistance or employment or admission
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
praise,"n. an expression of approval and commendation
n. offering words of homage as an act of worship
v. express approval of"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
appreciable,s. enough to be estimated or measured
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
reproach,"n. a mild rebuke or criticism
n. disgrace or shame
v. express criticism towards"
appropriate,"v. take possession of by force, as after an invasion
a. suitable for a particular person or place or condition etc"
approve,"v. give sanction to
v. judge to be right or commendable; think well of"
approximate,"v. be close or similar
s. not quite exact or correct
s. very close in resemblance
s. located close together"
