childishly,r. in a childlike manner
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
plating,"n. a thin coating of metal deposited on a surface
n. the application of a thin coat of metal (as by electrolysis)"
carat,n. a unit of weight for precious stones = 200 mg
at the moment,none
have sth. in mind,none
have sb. in mind,none
essential,"s. absolutely necessary; vitally necessary
a. basic and fundamental
a. being or relating to or containing the essence of a plant etc"
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
exertion,n use of physical or mental energy; hard work
specialized,a. developed or designed for a special activity or function
gear,"n. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion
n. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
n. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.
v. set the level or character of"
stunt,"n. a difficult or unusual or dangerous feat; usually done to gain attention
n. a creature (especially a whale) that has been prevented from attaining full growth
v. check the growth or development of
v. perform a stunt or stunts"
steep,"n. a steep place (as on a hill)
v. devote (oneself) fully to
v. let sit in a liquid to extract a flavor or to cleanse
a. having a sharp inclination"
windsurf,"v. ride standing on a surfboard with an attached sail, on water"
white-water rafting,none
rapids,n a part of a river where the current is very fast
bungy-jump,none
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
skateboard,"n. a board with wheels that is ridden in a standing or crouching position and propelled by foot
v. ride on a flat board with rollers attached to the bottom"
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
sky surfing,none
contestant,n. a person who participates in competitions
baggy,s. not fitting closely; hanging loosely
philosophy,"n. the rational investigation of questions about existence and knowledge and ethics
n. any personal belief about how to live or how to deal with a situation"
daredevil,"n. a reckless impetuous irresponsible person
s. presumptuously daring"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
recreation,"n an activity that diverts or amuses or stimulates
n activity that refreshes and recreates; activity that renews your health and spirits by enjoyment and relaxation"
hype,v. publicize in an exaggerated and often misleading manner
the Nobel Prize,none
award,"n. a grant made by a law court
n. a tangible symbol signifying approval or distinction
v. give, especially as an honor or reward
v. give as judged due or on the basis of merit"
achievement,n the action of accomplishing something
physiology,"n. the branch of the biological sciences dealing with the functioning of organisms
n. processes and functions of an organism"
be linked to,none
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
Nobel Foundation,none
will,"n. a fixed and persistent intent or purpose
n. a legal document declaring a person's wishes regarding the disposal of their property when they die
v. decree or ordain
v. determine by choice"
establishment,"n. a public or private structure (business or governmental or educational) including buildings and equipment for business or residence
n. any large organization
n. (ecology) the process by which a plant or animal becomes established in a new habitat
n. the cognitive process of establishing a valid proof"
start with,none
call sb. sth.,"n. a telephone connection
n. a special disposition (as if from a divine source) to pursue a particular course
n. a demand especially in the phrase ""the call of duty""
n. a brief social visit"
trade in,n. an item of property that is given in part payment for a new one
explosive,"n. a chemical substance that undergoes a rapid chemical change (with the production of gas) on being heated or struck
a. serving to explode or characterized by explosion or sudden outburst
s. liable to lead to sudden change or violence
s. sudden and loud"
put down,n. a crushing remark
make a mistake,none
all the same,none
spend time doing sth.,none
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
invent,"v. come up with (an idea, plan, explanation, theory, or principle) after a mental effort"
weapon,"n. any instrument or instrumentality used in fighting or hunting
n. a means of persuading or arguing"
of one's day,none
North Pole,none
at last,none
do with,none
honor,"n. the state of being honored
n. the quality of being honorable and having a good name
n. a woman's virtue or chastity"
wonder,"n. the feeling aroused by something strange and surprising
n. something that causes feelings of wonder
v. have a wish or desire to know something
v. place in doubt or express doubtful speculation"
learn of,none
in the field of,none
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
as a result,none
Swedish,"n. a Scandinavian language that is the official language of Sweden and one of two official languages of Finland
a. of or relating to or characteristic of Sweden or its people or culture or language"
Caltech,none
zoom,"v. move along very quickly
v. move with a low humming noise"
phone line,none
Egyptian,"n. a native or inhabitant of Egypt
n. the ancient and now extinct language of Egypt under the Pharaohs; written records date back to 3000 BC
a. of or relating to or characteristic of Egypt or its people or their language"
native,"n. an indigenous person who was born in a particular place
n. a person born in a particular place or country
n. indigenous plants and animals
a. characteristic of or existing by virtue of geographic origin"
reaction,"n. an idea evoked by some experience
n. a bodily process occurring due to the effect of some antecedent stimulus or agent
n. (mechanics) the equal and opposite force that is produced when any force is applied to a body
n. a response that reveals a person's feelings or attitude"
so what,none
Royal Swedish Academy,none
groundbreaking,n. the ceremonial breaking of the ground to formally begin a construction project
chemical,"n. material produced by or used in a reaction involving changes in atoms or molecules
a. relating to or used in chemistry
a. of or made from or using substances produced by or used in reactions involving atomic or molecular changes"
atomic,"a. of or relating to or comprising atoms
s. immeasurably small"
laser,n. an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
molecule,n. (physics and chemistry) the simplest structural unit of an element or compound
femtochemistry,none
Swede,n. a native or inhabitant of Sweden
investigation,n. the work of inquiring into something thoroughly and systematically
predict,v. make a prediction about; tell in advance
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
fundamental,"n. any factor that could be considered important to the understanding of a particular business
n. the lowest tone of a harmonic series
s. being or involving basic facts or principles
s. far-reaching and thoroughgoing in effect especially on the nature of something"
alumnus,n. a person who has received a degree from a school (high school or college or university)
tumultuous,s characterized by unrest or disorder or insubordination
forefront,n. the part in the front or nearest the viewer
arena,"n. the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n. a playing field where sports events take place"
Alexandria University,none
tenure-track,none
PhD,d a doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded graduate study
University of Pennsylvania,none
institute,"n. an association organized to promote art or science or education
v. advance or set forth in court"
prestigious,s. exerting influence by reason of high status or prestige
postdoctoral,"n. a grant that funds postdoctoral study or research
a. of or relating to study or research that is done after work for the doctoral degree has been completed"
handful,"n. a small number or amount
n. the quantity that can be held in the hand"
dynamics,n. the branch of mechanics concerned with the forces that cause motions of bodies
professorship,n. the position of professor
breakthrough,"n. making an important discovery
n. a penetration of a barrier such as an enemy's defense"
track,"n. a pair of parallel rails providing a runway for wheels
n. an endless metal belt on which tracked vehicles move over the ground
n. (computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
n. a groove on a phonograph recording"
push the envelope,none
celebrity,n. a widely known person
generation,"n. group of genetically related organisms constituting a single step in the line of descent
n. the normal time between successive generations
n. a stage of technological development or innovation
n. the production of heat or electricity"
wisdom,"n. accumulated knowledge or erudition or enlightenment
n. the trait of utilizing knowledge and experience with common sense and insight
n. ability to apply knowledge or experience or understanding or common sense and insight
n. the quality of being prudent and sensible"
gain from,none
distinguished,"s. (used of persons) standing above others in character or attainment or reputation
s. used of a person's appearance or behavior; befitting an eminent person"
cleric,n. a clergyman or other person in religious orders
contribution,"n. the part played by a person in bringing about a result
n. a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n. act of giving in common with others for a common purpose especially to a charity
n. an amount of money contributed"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
primatologist,none
conservationist,n someone who works to protect the environment from destruction or pollution
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
above all,none
dream of,none
mess,"n. a state of confusion and disorderliness
n. soft semiliquid food
n. a meal eaten in a mess hall by service personnel
n. a (large) military dining room where service personnel eat or relax"
make a mess,none
make a mess of,none
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
adversely,r. in an adverse manner
care about,none
some sort of,none
western,"n. a film about life in the western United States during the period of exploration and development
n. a sandwich made from a western omelet
a. relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts
a. of or characteristic of regions of the United States west of the Mississippi River"
knock out,n. a blow that renders the opponent unconscious
take ... seriously,none
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
tuna,"n. tropical American prickly pear of Jamaica
n. important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks
n. any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters
n. New Zealand eel"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
aspiring,"v have an ambitious plan or a lofty goal
s desiring or striving for recognition or advancement"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
antiapartheid,a opposing the policy of apartheid in South Africa
humiliate,v. cause to feel shame; hurt the pride of
triumph,n. the exultation of victory
mask,"n. a covering to disguise or conceal the face
n. activity that tries to conceal something
n. a protective covering worn over the face
v. put a mask on or cover with a mask"
boldness,"n. the trait of being willing to undertake things that involve risk or danger
n. impudent aggressiveness
n. the quality of standing out strongly and distinctly"
conquer,v. overcome by conquest
goodwill,"n (accounting) an intangible asset valued according to the advantage or reputation a business has acquired (over and above its tangible assets)
n the friendly hope that something will succeed
n a disposition to kindness and compassion"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
intractable,a. not tractable; difficult to manage or mold
lead,"n. an advantage held by a competitor in a race
n. a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
n. evidence pointing to a possible solution
n. a position of leadership (especially in the phrase `take the lead')"
be likely to,none
adolescence,"n. the time period between the beginning of puberty and adulthood
n. in the state that someone is in between puberty and adulthood"
puberty,n. the time of life when sex glands become functional
longstanding,s. having existed for a long time
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
teenage,s being of the age 13 through 19
clash with,none
rebel against,none
suppress,"v. to put down by force or authority
v. put out of one's consciousness
v. reduce the incidence or severity of or stop"
confusing,"s. causing confusion or disorientation
s. lacking clarity of meaning; causing confusion or perplexity"
no matter,none
in one's hands,none
frustrated,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly
s disappointingly unsuccessful"
be used to,none
get used to,none
step in,n short underpants for women or children (usually used in the plural)
interaction,"n. a mutual or reciprocal action; interacting
n. (physics) the transfer of energy between elementary particles or between an elementary particle and a field or between fields; mediated by gauge bosons"
argumentative,a. given to or characterized by argument
chore,n a specific piece of work required to be done as a duty or for a specific fee
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
make demand on,none
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
emotional,"a. determined or actuated by emotion rather than reason
a. of more than usual emotion
a. of or pertaining to emotion"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
cope with,none
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
potentially,r. with a possibility of becoming actual
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
distract,v. draw someone's attention away from something
provoking,"v call forth (emotions, feelings, and responses)
v evoke or provoke to appear or occur
v provide the needed stimulus for
v annoy continually or chronically
s causing or tending to cause anger or resentment"
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
lap,"n. the upper side of the thighs of a seated person
n. an area of control or responsibility
n. the part of a piece of clothing that covers the thighs
n. a flap that lies over another part"
preferably,r. more readily or willingly
progressive,"n. a tense of verbs used in describing action that is on-going
a. favoring or promoting progress
s. favoring or promoting reform (often by government action)
a. (of taxes) adjusted so that the rate increases as the amount of income increases"
muscular,"a. of or relating to or consisting of muscle
s. having or suggesting great physical power or force"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
serenity,"n a disposition free from stress or emotion
n the absence of mental stress or anxiety"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
oxygen requirement,none
visualization,n a mental image that is similar to a visual perception
deserted,"v leave someone who needs or counts on you; leave in the lurch
v desert (a cause, a country or an army), often in order to join the opposing cause, country, or army
v leave behind
s forsaken by owner or inhabitants"
balanced diet,none
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
maintain,v. state or assert
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
tension,"n. (psychology) a state of mental or emotional strain or suspense
n. the physical condition of being stretched or strained
n. a balance between and interplay of opposing elements or tendencies (especially in art or literature)
n. (physics) a stress that produces an elongation of an elastic physical body"
cereal,"n. grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet
n. a breakfast food prepared from grain
a. made of grain or relating to grain or the plants that produce it"
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
deficiency,"n the state of needing something that is absent or unavailable
n lack of an adequate quantity or number"
vitamin,n. any of a group of organic substances essential in small quantities to normal metabolism
mineral,"n. solid homogeneous inorganic substances occurring in nature having a definite chemical composition
a. relating to minerals
s. composed of matter other than plant or animal"
frustration,"n. the feeling that accompanies an experience of being thwarted in attaining your goals
n. an act of hindering someone's plans or efforts
n. a feeling of annoyance at being hindered or criticized"
bottle up,none
explode with,none
pent-up,s. characterized by or showing the suppression of impulses or emotions
yell,v. utter or declare in a very loud voice
let off steam,none
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
ritual,"n. any customary observance or practice
n. the prescribed procedure for conducting religious ceremonies
n. stereotyped behavior
a. of or relating to or characteristic of religious rituals"
shower,"n. a plumbing fixture that sprays water over you
n. washing yourself by standing upright under water sprayed from a nozzle
n. a brief period of precipitation
n. a sudden downpour (as of tears or sparks etc) likened to a rain shower"
strategy,n. the branch of military science dealing with military command and the planning and conduct of a war
sympathy,"n. an inclination to support or be loyal to or to agree with an opinion
n. sharing the feelings of others (especially feelings of sorrow or anguish)
n. a relation of affinity or harmony between people; whatever affects one correspondingly affects the other"
inducing,"n act of bringing about a desired result
v cause to arise
v cause to do; cause to act in a specified manner
v cause to occur rapidly
v reason or establish by induction
v produce electric current by electrostatic or magnetic processes"
identify,"v. recognize as being; establish the identity of someone or something
v. consider (oneself) as similar to somebody else
v. conceive of as united or associated
v. identify as in botany or biology, for example"
reject,"v. refuse to accept or acknowledge
v. reject with contempt
v. refuse entrance or membership"
focus on,none
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
automatic,"a. operating with minimal human intervention; independent of external control
s. resembling the unthinking functioning of a machine
s. without volition or conscious control"
subconscious,s. just below the level of consciousness
irritable,s. abnormally sensitive to a stimulus
migraine,n. a severe recurring vascular headache; occurs more frequently in women than men
heartburn,n. a painful burning sensation in the chest caused by gastroesophageal reflux (backflow from the stomach irritating the esophagus); symptomatic of an ulcer or a diaphragmatic hernia or other disorder
subject to,none
prolonged,"v lengthen in time; cause to be or last longer
v lengthen or extend in duration or space
s relatively long in duration; tediously protracted
s drawn out or made longer spatially"
permanently,r. for a long time without essential change
accustomed,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual"
instantaneous,s. occurring with no delay
accountability,n. responsibility to someone or for some activity
muscle spasm,none
hyperactive,s. more active than normal
deteriorate,v. become worse or disintegrate
bedwetting,none
tantrum,n a display of bad temper
phobia,n. an anxiety disorder characterized by extreme and irrational fear of simple things or social situations
obsession,n. an unhealthy and compulsive preoccupation with something or someone
esteem,n. the condition of being honored (esteemed or respected or well regarded)
trivial,s. concerned with trivialities
deadline,n. the point in time at which something must be completed
impending,"v be imminent or about to happen
s close in time; about to occur"
adrenal,"a. of or pertaining to the adrenal glands or their secretions
a. near the kidneys"
noradrenaline,n. a catecholamine precursor of epinephrine that is secreted by the adrenal medulla and also released at synapses
dilate,v. become wider
salivary gland,none
secrete,"v. generate and separate from cells or bodily fluids
v. place out of sight; keep secret"
blood vessel," Any vessel or canal in which blood circulates in an
   animal, as an artery or vein."
counteract,v. oppose and mitigate the effects of by contrary actions
urination,n the discharge of urine
defecation,n. the elimination of fecal waste through the anus
suggest,"v. imply as a possibility
v. call to mind"
glamor,n. alluring beauty or charm (often with sex-appeal)
fulfill,"v put in effect
v meet the requirements or expectations of
v fill or meet a want or need"
luxurious,"s displaying luxury and furnishing gratification to the senses
s rich and superior in quality"
fringed,"s. surrounded as with a border or fringe; sometimes used in combination
s. having a decorative edging of hanging cords or strips
s. having edges irregularly and finely slashed"
millionaire,n. a person whose material wealth is valued at more than a million dollars
spend ... on ...,none
yacht,"n. an expensive vessel propelled by sail or power and used for cruising or racing
v. travel in a yacht"
be left with,none
colossal,s. so great in size or force or extent as to elicit awe
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
fame,"n. the state or quality of being widely honored and acclaimed
n. favorable public reputation"
reach one's peak,none
be in business,none
immortal,"n. a person (such as an author) of enduring fame
a. not subject to death"
magnet,n. (physics) a device that attracts iron and produces a magnetic field
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
recommend,"v. push for something
v. make attractive or acceptable"
occasionally,r. now and then or here and there
stunt rider,none
be connected with,none
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
persuade,"v. cause somebody to adopt a certain position, belief, or course of action; twist somebody's arm"
typecast,v. cast repeatedly in the same kind of role
hit,"n. (baseball) a successful stroke in an athletic contest (especially in baseball)
n. the act of contacting one thing with another
n. a conspicuous success
n. a dose of a narcotic drug"
interfere in,none
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
cease to,none
expertly,r. in an expert manner
at all costs,none
unscrupulous,a. without scruples or principles
film,"n. a medium that disseminates moving pictures
n. photographic material consisting of a base of celluloid covered with a photographic emulsion; used to make negatives or transparencies
n. a thin coating or layer
n. a thin sheet of (usually plastic and usually transparent) material used to wrap or cover things"
lease,"n. property that is leased or rented out or let
n. a contract granting use or occupation of property during a specified time for a specified payment
n. the period of time during which a contract conveying property to a person is in effect
v. grant use or occupation of under a term of contract"
entertainment,n. an activity that is diverting and that holds the attention
pageant,"n. an elaborate representation of scenes from history etc; usually involves a parade with rich costumes
n. a rich and spectacular ceremony"
conceive,v. become pregnant; undergo conception
on a large scale,none
auspice,n. a favorable omen
allocation,n. (computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
mount,"n. a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
v. attach to a support
v. fix onto a backing, setting, or support
v. put up or launch"
ingenuity,n. the property of being ingenious
stretch,"n. a large and unbroken expanse or distance
n. a straightaway section of a racetrack
n. exercise designed to extend the limbs and muscles to their full extent
n. extension to or beyond the ordinary limit"
adequately,r. in an adequate manner or to an adequate degree
flavor,n. (physics) the six kinds of quarks
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
archive,"n. a depository containing historical records and documents
v. put into an archive"
workable,s capable of being done with means at hand and circumstances as they are
leading,"s. indicating the most important performer or role
s. greatest in importance or degree or significance or achievement
a. going or proceeding or going in advance; showing the way"
massed,v join together into a mass or collect or form a mass
bear in mind,none
costume,"n. the attire worn in a play or at a fancy dress ball
n. unusual or period attire not characteristic of or appropriate to the time and place
n. the prevalent fashion of dress (including accessories and hair style as well as garments)
n. the attire characteristic of a country or a time or a social class"
artificial,"a. contrived by art rather than nature
s. artificially formal
s. not arising from natural growth or characterized by vital processes"
be subject to,none
distraction,"n. mental turmoil
n. an obstacle to attention
n. the act of distracting; drawing someone's attention away from something"
be aware of,none
theatrically,r. in a theatrical manner
verdant,s. characterized by abundance of verdure
stately,s. of size and dignity suggestive of a statue
harmonize,"v. go together
v. write a harmony for
v. sing or play in harmony
v. bring (several things) into consonance or relate harmoniously"
recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
pin,"n. a piece of jewelry that is pinned onto the wearer's garment
n. informal terms for the leg
n. cylindrical tumblers consisting of two parts that are held in place by springs; when they are aligned with a key the bolt can be thrown
n. flagpole used to mark the position of the hole on a golf green"
garment,n. an article of clothing
necessity,"n. the condition of being essential or indispensable
n. anything indispensable"
invaluable,"s. having incalculable monetary, intellectual, or spiritual worth"
admirable,"s. deserving of the highest esteem or admiration
s. inspiring admiration or approval"
tunic,"n. an enveloping or covering membrane or layer of body tissue
n. any of a variety of loose fitting cloaks extending to the hips or knees"
velvet,"n. a silky densely piled fabric with a plain back
s. smooth and soft to sight or hearing or touch or taste
s. resembling velvet in having a smooth soft surface"
chenille,"n. a soft tufted cord used in embroidery
n. a heavy fabric woven with chenille cord; used in rugs and bedspreads"
substantially,r. in a strong substantial way
jumble,"n. small flat ring-shaped cake or cookie
v. be all mixed up or jumbled together
v. assemble without order or sense"
identical,"s. exactly alike; incapable of being perceived as different
s. being the exact same one; not any other:
a. (of twins) derived from a single egg or ovum
s. having properties with uniform values along all axes"
cardboard,"n. a stiff moderately thick paper
s. without substance"
negligible,"s. so small as to be meaningless; insignificant
s. not worth considering"
helmet,"n. armor plate that protects the head
n. a protective headgear made of hard material to resist blows"
plume,"n. anything that resembles a feather in shape or lightness
n. a feather or cluster of feathers worn as an ornament
v. deck with a plume
v. form a plume"
drape,"n. the manner in which fabric hangs or falls
n. a sterile covering arranged over a patient's body during a medical examination or during surgery in order to reduce the possibility of contamination
v. arrange in a particular way
v. place casually"
banner,"n. long strip of cloth or paper used for decoration or advertising
s. unusually good; outstanding"
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
pennant,"n. the award given to the champion
n. a flag longer than it is wide (and often tapering)
n. a long flag; often tapering"
garland,"n. United States singer and film actress (1922-1969)
n. a city in northeastern Texas (suburb of Dallas)
v. adorn with bands of flowers or leaves"
device,"n. an instrumentality invented for a particular purpose
n. something in an artistic work designed to achieve a particular effect
n. any clever maneuver
n. any ornamental pattern or design (as in embroidery)"
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
remain,"v. be left; of persons, questions, problems, results, evidence, etc."
trace back to,none
professional,"n. a person engaged in one of the learned professions
n. an athlete who plays for pay
a. engaged in a profession or engaging in as a profession or means of livelihood
a. of or relating to or suitable as a profession"
date back to,none
